#漢字	音標	解釋
壺	fɨə2	
壽	ɕiu6	
夏	huo6	
外	ŋa6	
多	tu1	
夜	ia6	
夠	tɕie5	
夢	muŋ6	
大	tʰa6	
天	tʰe1	
太	tʰa5	
夫	fɨə1	
夾	tɕieʔ7	
奇	tɕʰi2	
套	tʰu5	
女	nye3	
奴	niu2	
好	hu3	
妖	iuo1	
妝	tsuŋ1	
妹	mɨe5	
始	tʃʰʅ3	
姐	tsia3	
姑	kuə1	
姓	siaŋ5	
姨	i2	
姪	tʃʰʅʔ8	
娘	niau2	
婆	pʰu2	
婚	faŋ1	
婢	pʰi1	
婦	pɨə1	
婿	sə5	
媒	mɨe2	
媳	siʔ7	
嫁	kuo5	
嫂	su3	
嫩	naŋ6	
嬭	nie1	母亲面称
子	tsə1-	兒～
子	tsɿ3=	
孔	kʰuŋ3	
字	tsʰɿ6	
存	tsʰaŋ2	
孝	ha5	
季	kuə5	
孫	saŋ1	
學	huʔ8	～校
孽	ŋieʔ7	
守	ɕiu3	
安	ai1	
宋	siŋ5	
完	ve1	
官	kuai1	
定	tʰaŋ6	
宜	i2	
客	kʰuoʔ7	
宮	tʃuŋ1	
害	hə6	
家	kuo1	
寄	tɕi5	
寅	i2	
密	məʔ8	
富	fɨə5	
寒	hai2	
察	tsʰaʔ7	
寡	kuo3	
實	ʃʅʔ8	
寧	naŋ2	
寫	sia3	
寮	la2	
寶	pu3	
寸	tsʰaŋ5	
寺	sɿ6	
封	fuŋ1	
射	ʃuo6	
尊	tsaŋ1	
尋	tsʰiŋ2	
對	tie5	
小	siuo3	
少	ɕiuo3	
尖	tse1	
尚	ɕiau5	
尬	kə5	
就	siu6	
尷	kau1	
尺	tʃʰuoʔ7	
尼	nə2	
尾	mɨe1	
尿	ŋiu6	
屁	pʰi5	
屋	vɨəʔ7	
屍	ʃʅ1	
屎	ʃʅ3	
屐	tɕʰiaʔ8	
屑	səʔ7	
屙	u1	
屠	tʰiu2	
層	tsʰaŋ2	
山	sai1	
岳	ŋuʔ8	
嶺	tiaŋ3	
巖	ŋau2	
州	tɕiu1	
工	kuŋ1	
左	tsu3	
差	tsʰuo1	
己	tɕi3	
已	i3	
巳	tsʰɿ6	
巴	puo1	
市	ʃʅ6	
希	ɕi1	
帕	pʰuo5	
帝	ti5	
師	sɿ1	
席	tsʰiaʔ8	
帳	tɕiau5	
帶	ta5	
常	tɕʰiau2	
帽	mu6	
幎	miaŋ1	覆盖
幣	pʰi6	
幫	puŋ1	
平	pʰiaŋ2	
年	ne2	
幼	iuo5	
幾	tɕi3	
底	ti3	
店	te5	
庚	kau1	
府	fɨə3	
庭	tʰaŋ2	
庵	au1	
康	kʰau1	
廈	huo6	
廚	tʃʰye2	
廟	miuo6	
廠	tʃʰau3	
廣	kau3	
廳	tʰaŋ1	
建	tʃe5	
建	tɕie5	
弄	liŋ6	
弓	tʃuŋ1	
弟	tʰə1-	兄～
弟	tʰi6=	
弱	ŋiuʔ8	
張	tɕiau1	
強	tɕʰiau2	
