#漢字	音標	解釋
蜞	tɕʰi2	
蜦	laŋ1	石～
蜰	pi1	
蝦	huo2	
蝨	səʔ7	
蝴	fɨə2	
蝶	tʰieʔ8	
螺	lu2	
蟄	tʃʰʅʔ8	
蟆	muo2	
蟈	kuoʔ7	
蟲	tʃʰuŋ2	
蟹	hə3	
蟻	ŋi5-	
蠅	tɕʰiŋ2	
蠟	luoʔ8	
蠶	tsʰau2	
蠻	mai2	
血	fiʔ7	
行	hau2	
行	haŋ2	～李
術	fiʔ8	
街	kə1	
衙	ŋuo2	
衛	i6	
衣	i1	
表	piuo3	
衫	sau1	
衰	sie1	
袁	ve1	
袋	tʰie6	
袖	tsʰiu6	
被	pʰi1	
被	pə1=	～打
裏	ti3	
裙	kʰuaŋ2	
補	pɨə3	
裝	tsuŋ1	
褡	tuoʔ7	
褥	yeʔ8	
褲	kʰuə5	
襖	u3	
襪	maʔ8	
西	si1	
見	tʃe5	
見	tɕie5	
親	tsʰiŋ1	
覺	kuʔ7	
觀	kuai1	
角	kuʔ7	
解	kə3-	
解	tɕia3	
言	ŋie2	
討	tʰu3	
託	tʰuʔ7	
記	tɕi5	
許	ʃye3	
診	tsaŋ3	
試	tʃʰʅ5	
詩	ʃʅ1	
話	uo6-	
話	fuo6=	
認	ŋiŋ6	
誓	ʃʅ5	
語	ŋye3	
調	tʰiuo6	
談	tʰau2	
請	tsʰiaŋ3	
諧	ha2	
講	kuŋ3	
謝	tsʰia6	姓氏
謝	sia6	话～
識	ʃʅʔ7	
譜	pʰɨə3	
警	tɕiŋ3	
護	fɨə6	
讀	tʰiuʔ8	
變	pe5	
讓	ŋiau6	
豆	tʰie6	
豉	ʃʅ6	
豐	fuŋ1	
象	siau6	
豬	tʃye1	
豹	pa5	
豺	sa2	～虫：蛔虫
貓	miu5	
貝	pə5	
負	fɨə6	
財	tsʰa2	
貨	fu5	
貪	tʰau1	
貫	kuai5	
貴	kuə5	
買	mə3	
貼	tieʔ7	
賊	tsʰəʔ8	
賠	pʰɨe2	
賣	mə6	
賭	tiu3	
賴	la6	
賺	tsʰai6	
購	tɕie5	
贏	iaŋ2	
贛	kau5	
赤	tʃʰuoʔ7	
走	tsie3	
起	tɕʰi3	
越	vieʔ8	
趙	tʃiuo6	
足	tsiuʔ7	
跌	tieʔ7	
跟	kaŋ1	
跪	kʰuə6	
路	liu6	
跳	tʰiuo5	
踏	tʰuoʔ8	
踢	tʰəʔ7	
踭	tsau1	脚后跟
蹄	tʰə2	
身	saŋ1	
車	tʃʰuo1	
車	tʃye1	
軌	kuə3	
軍	tɕiŋ1	
軛	uoʔ7	
軟	ŋie3	
較	ka5	
載	tsa5	
輕	tɕʰiaŋ1	
輛	tiau6	
輝	fi1	
輩	pʰə5	
輪	laŋ2	
輸	ʃye1	
轉	tʃe3	
轎	tʃʰu6	
辛	siŋ1	
辣	laʔ8	
辦	pʰai5	
辰	saŋ2	
農	niu2	
迎	ŋiaŋ2	
近	tɕʰiŋ1-	
近	tɕʰiŋ6=	
迷	mi2	
送	siŋ5	
透	tʰie5	
逐	tʃʰyeʔ8	
通	tʰiŋ1	
逢	fuŋ2	
連	le2	
進	tsiŋ5	
逼	piʔ7	
運	viŋ6	
遍	pe5	
過	ku5	
道	tʰu6	
遠	ve3	
適	ʃʅʔ7	
遮	tʃuo1	
選	se3	
避	pʰi6	
邊	pe1	
邪	tsʰia2	
郎	lau2	
部	pʰɨə6	
郭	kuʔ7	
鄉	ɕiau1	
鄒	tsie1	
鄧	tʰaŋ6	
鄭	tʃʰau6	
鄰	liŋ2	
酉	iu3	
配	pʰə5	
酒	tsiu3	
酥	sɿ1	
酵	ha5	
酸	sai1	
醉	tɕi5	
醋	tsʰɿ5	
醒	tsʰiaŋ3	
醫	i1	
醬	tsiau5	
醮	tsiu5	
釃	sa1	～酒：倒酒
釅	ŋie2	
里	li3	
重	tʃʰuŋ1	
野	ia3	
量	tiau2	
金	tɕiŋ1	
釘	taŋ1	
釘	tau5	～被：用大针缝制
針	tsaŋ1	
釣	ta5	
鈕	nie3	
鈴	laŋ2	
鉗	tʃʰe2	
鉗	tɕʰie2	
鉢	paʔ7	
鉤	tɕie1	
銀	ŋaŋ2	
銃	tʃʰuŋ5	
銅	tʰiŋ2	
鋒	fuŋ1	
鋤	tsʰɿ2	
鋪	pʰɨə1	
鋸	tʃye5	
鋼	kuŋ5	
錢	tsʰe2	
錦	tɕiŋ3	
錫	siaʔ7	
錶	piuo3	
鍊	le6	
鍬	tsʰiu1	
鎖	su3	
鎮	tsaŋ5	
鏟	tsʰai3	
鏡	tɕiaŋ5	
鐘	tʃuŋ1	
鐲	tsʰuʔ8	
鐵	tʰieʔ7	
鑊	vɨəʔ8	
鑼	lu2	
鑽	tsai1	
鑽	tsai5	
鑿	tsʰuʔ8	
钁	tɕiuʔ7	
長	tʃʰau2	
長	tɕiau3	
門	maŋ2	
閃	ʃe3	
開	kʰɨe1	
閏	viŋ6	
閑	ʃe2	
間	tʃe1	
間	tɕie1	
閩	miŋ1	
閻	ie2	
闊	kʰuaʔ1	
闕	tɕʰieʔ7	
關	kuai1	
阿	uo1	
陀	tʰu2	
陂	pi1	
降	kuŋ5	
院	ve5	
除	tʃʰye2	
陪	pʰɨe2	
陰	iŋ1	
陳	tsʰaŋ2	
陽	iau2	
隊	tʰə6	
隔	kuoʔ7	
隨	sə2	
險	ʃe3	
險	ɕie3	
隻	tʃuoʔ7	
雀	tsiuʔ7	
雁	ŋai6	
雄	ʃuŋ2	
雙	siŋ1	
雜	tsʰuoʔ8	
離	li2	
難	nai2	
難	nai6	
雨	ye3	
雪	siʔ7	
雲	viŋ2	
零	laŋ2	
雷	lie2	
雹	pʰuʔ8	
電	te6	
震	tsaŋ5	
霜	suŋ1	
露	liu5	
靈	laŋ2	
青	tsʰiaŋ1	
靜	tsʰiŋ6	
非	fi1	
面	me5	
革	kuoʔ7	
靴	ɕiu1	
鞋	hə2	
韌	ŋiŋ6	
韭	tɕiu3	
音	iŋ1	
響	ɕiau3	
頂	taŋ3	
項	hau6	
順	fiŋ6	
領	tiaŋ3	
頭	tʰie2	
頰	tɕieʔ7	
頸	tɕiaŋ3	
顉	ŋau3	点头
題	tʰi2	
額	ŋiaʔ8	
顏	ŋai2	
願	ŋie6	
顯	ʃe3	
頷	ŋau3	点头
風	fuŋ1	
飛	pɨe1-	鸟～
飛	fi1=	
食	ʃəʔ8	
飢	tɕi1	
飯	pʰai6	
飲	iŋ3	粥水
飽	pa3	
餅	piaŋ3	
餈	tsʰi2	
養	iau1	
餐	tsʰai1	
餓	ŋu6	
餞	tsʰe5	
餿	tsʰie1	
饅	mai2	
首	ɕiu3	
香	ɕiau1	
馬	muo3	
馮	pʰuŋ2	
駁	puʔ7	
駝	tʰu2	
騎	tɕʰi2	
騙	pʰe5	
驚	tɕiaŋ1	
驢	li2	
骨	kuəʔ7	
體	tʰi3	
高	ku1	
鬆	siŋ1	
鬍	fɨə2	
鬥	tie5	
鬧	na6	
鬼	kuə3	
魏	ŋuə6	
魚	ŋye2	
魯	liu3	
鮑	pa5	
鮮	se1	
鯉	ti3	
鯽	tsiʔ7	
鰍	tsiu1	
鰓	sie1	
鰱	te1	
鰻	mai2	
鱔	ʃe1	
鱗	tiŋ2	
鱷	ŋuʔ8	
鳥	ta3	
鴉	uo1	
鴨	uoʔ7	
鴿	kuoʔ7	
鵝	ŋu2	
鵡	vɨə3	
鵬	pʰaŋ2	
鵲	siaʔ7	
鶴	huʔ8	
鷂	iu6	
鹽	ie2	
鹿	liuʔ8	
麥	muoʔ8	
麴	tʃʰyeʔ7	
麵	me6	
麻	muo2	
黃	vau2	
黐	tʃʰʅ1	蜘蛛网黏昆虫
黑	həʔ7	
點	te3	
黨	tau3	
鼓	kuə3	
鼠	tʃʰye3	
鼻	pʰi6	
齊	tsʰi2	
齊	tsʰə2	
齋	tsa1	
齒	tʃʰʅ3	
龍	tiŋ2-	
龍	liŋ2=	
龔	tʃuŋ1	
龜	kuə1	
