#漢字	音標	解釋
㐴	pʰɑ̟n1	
䶅	xɔ7	
䶎	ɕi̯ɑ7	
䶘	l̃ɑ7	
䶘	l̃i̯e̞7	
䶛	l̃ɑ7	
䶜	kɔ7	
䶢	t͡ɕi̯ɑ7	
䶢	t͡ɕʰi̯ɑ7	
䶦	t͡sʰɐ̝7	
䶬	l̃i̯e̞7	
丁	tin1	
丈	t͡sɑŋ5	
三	sɑ̟n1	
上	sɑŋ5	
下	ɕi̯ɑ5	
下	xɑ5	一下 等下
下	xɑ2	地下
不	pɔ7	
不	pe̞7	白讀
丐	kɑɪ̯5	
且	t͡ɕʰi3	
丕	pʰe̞ɪ̯1	
世	szᵚ5	
丗	szᵚ5	
丘	t͡ɕʰi̯ə̞ʊ̯1	
丙	pin3	
丞	t͡sʰə̞n2	
丟	ti̯ə̞ʊ̯1	
並	pin3	白讀，如：～做一坨(進行趸售)
並	pin5	
丫	ɕi̯ɑ1	
中	t͡sɔŋ1	
中	t͡sɔŋ5	
丮	t͡ɕi̯e̞7	
丯	kɑɪ̯5	
串	t͡sʰwɑ̟n5	
丵	t͡sɔ7	
丸	wɑ̟n2	
丹	tɑ̟n1	
主	t͡su̜3	
丿	pʰi̯e̞7	
乀	fɔ7	
乂	l̃i5	
乃	l̃ɑɪ̯3	
久	t͡ɕi̯ə̞ʊ̯3	
之	t͡szᵚ1	
乍	t͡sɑ5	
乎	fʋ̩2	
乏	fɑ7	
乖	kwɑɪ̯1	
乘	sə̞n2	
乘	sə̞n5	千～之國
乙	je̞7	
九	t͡ɕi̯ə̞ʊ̯3	
乞	t͡ɕʰi̯e̞7	
也	ji3	
乯	fʋ̩2	
乳	zu̜3	
亂	l̃wɑ̟n5	
亄	je̞7	
亅	t͡ɕy̑e̞7	
了	l̃i̯ɑʊ̯3	
事	szᵚ5	
二	ɭ̩5	
亍	t͡sʰɔ7	
于	jy2	姓氏
互	fʋ̩5	
五	ʋ̩3	
井	t͡ɕin3	
亙	kə̞n5	
些	ɕi1	
亞	jɑ5	
亟	t͡ɕi̯e̞7	
亡	wɑŋ2	
亢	kʰɑŋ5	
交	t͡ɕi̯ɑʊ̯1	
亥	xɑɪ̯5	
亦	je̞7	
亨	xə̞n1	
享	ɕi̯ɑŋ3	
京	t͡ɕin1	
亭	tʰin2	
亮	l̃i̯ɑŋ5	
亳	pɔ7	
人	zə̞n2	
亼	t͡ɕi̯e̞7	
亽	t͡ɕi̯e̞7	
什	se̞7	
仁	zə̞n2	
仂	l̃ɐ̝7	
仄	t͡sɐ̝7	
仇	t͡sʰə̞ʊ̯2	
今	t͡sə̞n1	白讀，～朝
今	t͡ɕin1	
介	kɑɪ̯5	
介	t͡ɕi̯ɑɪ̯5	文讀
仌	pin1	
仍	zə̞n2	
仒	pin1	
仔	t͡szᵚ3	～細
仔	t͡sɑɪ̯3	又作(崽)
他	tʰɑ1	
仗	t͡sɑŋ5	
付	fʋ̩5	
仙	ɕi̯ɐ̝n1	
仚	ɕi̯ɐ̝n1	
仛	tɔ7	
仟	t͡ɕʰi̯ɐ̝n1	
仡	l̃i̯e̞7	
仡	kɐ̝7	～佬族
仢	sɔ7	
代	tɑɪ̯5	
令	l̃in5	
以	ji3	
仫	mᵇɔ5	
仯	t͡sʰɑʊ̯5	
仰	l̃i̯ɑŋ3	
仱	t͡ɕʰin1	
仲	t͡sɔŋ5	
仳	pʰi3	形容(小孩等)黏著某人, 不願離開
件	t͡ɕi̯ɐ̝n5	
任	zə̞n2	姓氏
任	zə̞n5	
份	fə̞n5	
仿	fɑŋ3	
企	t͡ɕʰi5	
伆	ɔ7	
伈	ɕin3	
伉	kʰɑŋ5	
伊	ji1	
伋	t͡ɕi̯e̞7	
伍	ʋ̩3	
伏	fɔ7	
伐	fɑ7	
休	ɕi̯ə̞ʊ̯1	
伢	jɑ2	
伭	ɕy̑ɐ̝n2	形容兒童與成年人間或兒童與兒童間略令人生厭的嬉鬧
伯	pɐ̝7	
估	ku̜3	
伴	pɑ̟n5	
伶	l̃in2	
伸	t͡sʰə̞n1	白讀
伸	sə̞n1	
伺	szᵚ5	
似	szᵚ5	
佃	tʰi̯ɐ̝n2	
佃	ti̯ɐ̝n5	佃農
但	tɑ̟n5	
佈	pu̜5	
位	we̞ɪ̯5	
低	ti1	
住	t͡sɔ5	白讀動詞，如：在xx〜
住	t͡su̜5	
佐	t͡sɔ3	
佑	jə̞ʊ̯5	
佔	t͡sɑ̟n5	
何	xɔ2	
佖	pi̯e̞7	
余	jy2	
佚	je̞7	
佛	fɔ7	
作	t͡sɔ7	
佞	l̃in5	
佤	wɑ3	
佨	pɑʊ̯1	出格失态
佩	pe̞ɪ̯5	
佫	xɔ7	
佬	l̃ɑʊ̯3	
佮	kɔ7	
佯	jɑŋ2	
佰	pɐ̝7	
佳	t͡ɕi̯ɑ1	
佶	t͡ɕi̯e̞7	
佸	xɔ7	
佾	je̞7	
使	szᵚ3	
侂	tʰɔ7	
侃	kʰɑ̟n3	
侃	kʰwɑ̟n3	白讀一，表示吹牛.擺白之意
侃	kʰwɑ3	白讀二，如：吹～～
侄	t͡se̞7	
來	l̃ɑɪ̯2	
侈	t͡sʰzᵚ2	
例	l̃i5	
侍	szᵚ5	
侐	ɕi̯ɔ7	
侑	jə̞ʊ̯5	
侗	tɔŋ5	
侙	t͡sʰe̞7	
供	t͡ɕi̯ɔŋ1	白讀，如：～他讀書
供	kɔŋ5	
依	ji1	
侮	ʋ̩3	
侯	xə̞ʊ̯2	
侵	t͡ɕʰin5	
侶	l̃we̞ɪ̯3	
侷	t͡ɕi̯ɔ7	
侻	tʰɔ7	
便	pi̯ɐ̝n5	
係	ɕi5	
促	t͡sɔ7	
促	t͡sʰɔ7	
俄	ŋɔ2	
俊	t͡ɕyn5	
俋	je̞7	
俏	t͡ɕʰi̯ɑʊ̯5	
俗	ɕi̯ɔ7	
俘	fʋ̩1	
保	pɑʊ̯3	
俞	jy2	
俞	jy5	
俟	szᵚ5	
俠	ɕi̯ɑ7	
信	ɕin5	
俥	t͡sʰe̞ɪ̯1	借（錢）
修	ɕi̯ə̞ʊ̯1	
俯	fʋ̩3	
俱	t͡ɕy5	
俵	pi̯ɑʊ̯5	
俶	t͡sʰɔ7	
俸	fɔŋ5	
俾	pi3	
倅	t͡sɔ7	
倉	t͡sʰɑŋ1	
個	ke̞1	白讀1
個	ke̞5	白讀2
個	kɔ5	
倍	pe̞ɪ̯5	
倏	sɔ7	
倐	sɔ7	
們	mᵇə̞n1	白讀
們	mᵇə̞n2	文讀
倒	tɑʊ̯3	
倒	tɑʊ̯5	
倔	t͡ɕʰi̯ɔ7	
倘	tʰɑŋ3	
候	xə̞ʊ̯5	
倜	tʰi̯e̞7	
借	t͡ɕi5	
倡	t͡sʰɑŋ1	
倦	t͡ɕy̑ɐ̝n5	
倩	t͡ɕʰi̯ɐ̝n5	
倪	l̃i2	
倫	l̃ə̞n2	
倬	t͡sɔ7	
倭	ɔ1	
值	t͡se̞7	
假	t͡ɕi̯ɑ3	
假	t͡ɕi̯ɑ5	
偈	t͡ɕi̯e̞7	
偉	we̞ɪ̯3	
偏	pʰi̯ɐ̝n1	
偓	ɔ7	
偔	ŋɔ7	
偕	ɕi̯ɑɪ̯2	
做	t͡su̜5	
偛	t͡sɑ7	
停	tʰin2	
偝	pe̞ɪ̯5	
偞	ɕi̯e̞7	
偠	jɑʊ̯3	
偤	jə̞ʊ̯2	
健	t͡ɕi̯ɐ̝n5	
偪	fɔ7	
偰	ɕi̯e̞7	
側	t͡sɐ̝7	老派，如：～邊
側	t͡sʰɐ̝7	
偵	t͡sə̞n1	
偶	ŋə̞ʊ̯3	
偷	l̃ə̞ʊ̯1	白讀
偷	tʰə̞ʊ̯1	
僞	we̞ɪ̯5	
僞	wɑɪ̯3	白讀，如：～貨
傀	kʰwe̞ɪ̯3	
傀	kʰwɑɪ̯3	白讀
傂	t͡szᵚ5	
傄	xwɑ7	
傅	fʋ̩5	
傈	l̃i̯e̞7	
傉	l̃ɔ7	
傍	pɑŋ5	
傑	t͡ɕi̯e̞7	
傓	sɑ̟n5	
傕	t͡ɕi̯ɔ7	
傗	t͡sʰɔ7	
傘	sɑ̟n3	
備	pi5	
傝	tʰɑ7	
傢	t͡ɕi̯ɑ1	
傣	tɑɪ̯3	
催	t͡sʰwe̞ɪ̯1	
傰	pə̞n1	
傰	pʰə̞n2	
傱	sɔŋ3	
傲	ŋɑʊ̯5	
傳	t͡sʰwɑ̟n2	
傳	t͡swɑ̟n5	
債	t͡sɑɪ̯5	
傶	t͡sɔ7	
傷	sɑŋ1	
傺	t͡sʰzᵚ5	
傻	sɑ3	
傾	t͡ɕʰyn1	
僁	ɕi̯e̞7	
僅	t͡ɕin3	
僇	l̃ɔ7	
僉	t͡ɕʰi̯ɐ̝n1	
僊	ɕi̯ɐ̝n1	
像	ɕi̯ɑŋ5	
像	t͡ɕʰi̯ɑŋ5	白讀
僕	pʰɔ7	
僚	l̃i̯ɑʊ̯2	
僤	tɑ̟n5	
僧	sə̞n1	
僭	t͡ɕi̯ɐ̝n5	
僰	pɐ̝7	
僱	ku̜5	
僳	sɔ7	
僵	t͡ɕi̯ɑŋ1	
價	t͡ɕi̯ɑ5	
僻	pʰi̯e̞7	
儀	l̃i2	
儃	tʰɑ̟n3	
儃	sɑ̟n2	
億	ji5	
儉	t͡ɕi̯ɐ̝n3	
儋	tɑ̟n1	
儑	ŋɔ7	
儒	zu̜2	
償	sɑŋ3	賠償
儠	l̃i̯e̞7	
儡	l̃we̞ɪ̯3	
儣	kʰwɑŋ3	
儥	tɔ7	
儥	jɔ7	
優	jə̞ʊ̯1	
儲	t͡sʰu̜2	
儵	sɔ7	
儼	l̃i̯ɐ̝n3	
兀	ŋɔ7	
允	jyn3	
元	ɥɐ̝n2	
兄	ɕi̯ɔŋ1	
充	t͡sʰɔŋ1	
兆	t͡sɑʊ̯5	
兇	ɕi̯ɔŋ1	
先	ɕi̯ɐ̝n1	
光	kwɑŋ1	
光	kwɑŋ5	～溜溜
兌	twe̞ɪ̯5	
免	mᵇi̯ɐ̝n3	
兒	ɭ̩2	
兔	tʰu̜5	
兗	ɥɐ̝n3	
兙	se̞7	
兙	kʰɐ̝7	
兜	tə̞ʊ̯1	
兢	t͡ɕin1	
入	ze̞7	流話
入	zɔ7	
內	l̃we̞ɪ̯5	
全	t͡ɕʰy̑ɐ̝n2	
兩	l̃i̯ɑŋ3	一兩
公	kɔŋ1	
六	l̃ɔ7	
兮	ɕi1	
共	kɔŋ5	
兵	pin1	
其	t͡ɕʰi2	
具	t͡ɕy5	
典	ti̯ɐ̝n3	
冀	t͡ɕi5	
冉	zɑ̟n3	
冊	t͡sʰɐ̝7	
冋	t͡ɕyn1	
再	t͡sɑɪ̯5	
冒	mᵇɑʊ̯5	
冗	zɔŋ3	
冚	xɑŋ2	～八郎:形容詞,表示所有一切的.
冟	se̞7	
冠	kwɑ̟n1	
冠	kwɑ̟n5	
冤	ɥɐ̝n1	冤深
冥	mᵇin2	
冪	mᵇi̯e̞7	
冬	tɔŋ1	
冰	pin1	
冶	ji3	
冷	l̃ə̞n3	
冹	fɑ7	
冹	fɔ7	
冽	l̃i̯e̞7	
准	t͡swə̞n3	
凊	t͡ɕʰin5	
凌	l̃in2	
凌	l̃in5	凌氷
凍	tɔŋ5	
凓	l̃i̯e̞7	
凙	tɔ7	
凜	l̃in3	
凝	l̃in2	
凡	fɑ̟n2	
凩	mᵇɔ7	
凱	kʰɑɪ̯3	
凳	tə̞n5	
凸	tʰɔ7	
凹	wɑ5	
出	t͡sʰɔ7	
函	xɑ̟n2	
刀	tɑʊ̯1	
刁	ti̯ɑʊ̯1	
刃	zə̞n3	
分	fə̞n1	
切	t͡ɕʰi̯e̞7	
刈	l̃i5	
刊	kʰɑ̟n1	
刎	wə̞n3	
刑	ɕin2	
刖	ɥe̞7	
列	l̃i̯e̞7	
刜	fɔ7	
初	t͡sʰu̜1	
判	pʰɑ̟n5	
別	pi̯e̞7	
別	pʰi̯e̞7	白讀，作動詞
刨	pʰɑʊ̯2	
刨	pɑʊ̯5	
利	l̃i5	
刪	swɑ̟n1	
刮	kwɑ7	
到	tɑʊ̯5	
制	t͡szᵚ5	
刷	swɑ7	
券	t͡ɕʰy̑ɐ̝n5	
刺	t͡sʰzᵚ5	
刻	kʰɐ̝7	
剁	tɔ5	剁，剁碎
剃	tʰi5	
則	t͡sɐ̝7	
削	ɕy̑e̞7	
剋	kʰɐ̝7	
剌	l̃ɑ7	
前	t͡ɕʰi̯ɐ̝n2	
剎	sɑ7	剎車
剎	t͡sʰɑ7	剎那
剒	t͡sʰɔ7	
剔	tʰi1	白讀，作動詞
剔	tʰi̯e̞7	
剖	pʰɔ5	白讀，作動詞。如：～魚
剖	pʰɔ3	
剛	kɑŋ1	
剜	wɑ̟n1	
剝	pɔ7	
剟	tɔ7	
剟	t͡swɐ̝7	
剢	tɔ7	
剦	jɐ̝n1	
剨	xwɐ̝7	
剩	sə̞n5	
剪	t͡ɕi̯ɐ̝n3	
剫	tɔ7	
剭	ɔ7	
剮	kwɑ3	
副	pʰu̜1	白讀，如：一～牌
副	fʋ̩5	
割	kɔ7	
剳	t͡sɑ7	
創	t͡sʰwɑŋ1	
創	t͡sʰwɑŋ5	
剹	l̃ɔ7	
剺	l̃i2	
剽	pʰi̯ɑʊ̯2	
剿	t͡ɕi̯ɑʊ̯3	
劀	kwɑ7	
劂	t͡ɕy̑e̞7	
劃	xwɑ5	文讀，如計劃
劃	xwɑ1	動詞，表示用刀～開
劃	xwɑ7	作動詞，如：～龍船，～不著
劄	t͡sɑ7	
劇	t͡ɕy5	
劈	pʰi̯e̞7	
劉	l̃i̯ə̞ʊ̯2	
劊	kwɑɪ̯5	
劋	t͡ɕi̯ɑʊ̯3	
劍	t͡ɕi̯ɐ̝n5	
劐	xɔ7	
劕	t͡se̞7	
力	l̃i̯e̞7	
劜	jɑ7	
功	kɔŋ1	
加	t͡ɕi̯ɑ1	
劣	l̃ɐ̝7	最老派
努	l̃u̜3	
劫	t͡ɕʰi̯e̞7	
劬	t͡ɕʰy2	
劮	je̞7	
劼	t͡ɕi̯e̞7	
劾	xɐ̝7	
勀	kʰɐ̝7	
勁	t͡ɕin5	
勃	pɔ7	
敕	t͡sʰe̞7	
勇	jɔŋ3	
勉	mᵇi̯ɐ̝n3	
勐	mᵇɔŋ3	
勒	l̃ɐ̝7	
動	tɔŋ5	
勖	ɕi̯ɔ7	
勗	ɕi̯ɔ7	
勘	kʰɑ̟n1	
務	ʋ̩5	
勛	ɕyn1	
勝	sə̞n5	
勞	l̃ɑʊ̯2	
勠	l̃ɔ7	
勢	szᵚ5	
勣	t͡ɕi̯e̞7	
勤	t͡ɕʰin2	
勵	l̃i5	
勸	t͡ɕʰy̑ɐ̝n5	
勺	sɔ7	
勻	jyn2	
勾	kə̞ʊ̯1	
勿	ɔ7	
匃	kɔ7	
匆	t͡sʰɔŋ1	
匊	t͡ɕi̯ɔ7	
匌	kɔ7	
匐	fɔ7	
匒	tɑ7	
匕	pi3	
化	xwɑ5	
北	pɐ̝7	
匙	szᵚ2	
匠	t͡ɕi̯ɑŋ5	
匡	kʰwɑŋ1	
匣	ɕi̯ɑ7	
匤	t͡ɕʰi̯ɔ7	
匧	t͡ɕʰi̯e̞7	
匪	fe̞ɪ̯3	
匫	xɔ7	
匯	xwe̞ɪ̯5	
匴	swɑ̟n3	
匵	tɔ7	
匹	pʰi̯e̞7	
匾	pi̯ɐ̝n3	
匿	l̃i̯e̞7	
區	t͡ɕʰy1	
區	ŋə̞ʊ̯1	
十	se̞7	
千	t͡ɕʰi̯ɐ̝n1	
卅	sɑ7	
升	sə̞n1	
午	ʋ̩3	
卉	xwe̞ɪ̯5	
半	pɑ̟n5	
卌	ɕi̯e̞7	
卑	pe̞ɪ̯1	
卒	t͡ɕi̯ɔ7	
卓	t͡sɔ7	
協	ɕi̯e̞7	
南	l̃ɑ̟n2	
卙	t͡sʰe̞7	
博	pɔ7	
卜	pʰɔ7	
卟	pɔ7	
占	t͡sɑ̟n5	
卡	kʰɑ3	
卦	kwɑ5	
卯	mᵇɑʊ̯3	
印	jin5	
危	we̞ɪ̯2	
即	t͡ɕi̯e̞7	
卵	l̃wɑ̟n3	
卷	t͡ɕy̑ɐ̝n5	
卸	ɕi5	
卻	t͡ɕʰi̯ɔ7	
卽	t͡ɕi̯e̞7	
卿	t͡ɕʰin1	
厀	ɕi̯e̞7	
厄	ŋɐ̝7	
厇	t͡sɐ̝7	
厓	ŋɑɪ̯2	
厔	t͡se̞7	
厘	l̃i2	
厚	xə̞ʊ̯5	
原	ɥɐ̝n2	
厤	l̃i̯e̞7	
厥	t͡ɕy̑e̞7	
厥	t͡ɕi̯ɔ7	
厭	jɐ̝n5	
厲	l̃i5	
厶	szᵚ1	
厶	mᵇɔŋ3	
去	t͡ɕi̯e̞1	白讀1
去	t͡ɕʰy5	
參	t͡sʰɑ̟n1	
參	sə̞n1	人參
又	jə̞ʊ̯5	
叉	t͡sʰɑ1	
及	t͡ɕi̯e̞7	
友	jə̞ʊ̯3	
反	fɑ̟n3	
叒	zɔ7	
叔	sɔ7	
叕	t͡swɐ̝7	
取	t͡ɕʰy3	
受	sə̞ʊ̯5	
叛	pʰɑ̟n5	
叟	sə̞ʊ̯3	
叡	zwe̞ɪ̯5	
叢	t͡sʰɔŋ2	
口	kʰə̞ʊ̯3	
古	ku̜3	
句	t͡ɕy5	
另	l̃in5	
叨	tɑʊ̯1	
叩	kʰə̞ʊ̯5	
叫	t͡ɕi̯ɑʊ̯5	
召	t͡sɑʊ̯5	
叭	pɑ1	
可	kʰɔ3	
叱	t͡sʰe̞7	
史	szᵚ3	
右	jə̞ʊ̯5	
司	szᵚ1	
叾	tɔ7	
吁	ɕy1	氣喘～～（噓噓）
吃	t͡sʰe̞7	
各	kɔ7	
合	kɔ7	1.作計量單位，十合=一升2.作動詞表（相處，合攏）之意，如：～不拢。～孽,指打架駡架產生矛盾糾紛不和睦友好。俗字可作（𪝙）
合	xɔ7	
吉	t͡ɕi̯e̞7	
吊	ti̯ɑʊ̯5	
同	tʰɔŋ2	
名	mᵇin2	
后	xə̞ʊ̯5	
吏	l̃i5	
吐	tʰu̜3	
向	ɕi̯ɑŋ5	
君	t͡ɕyn1	
吝	l̃in5	
吞	tʰə̞n1	
吟	l̃in2	又音
吟	l̃in5	
吠	fe̞ɪ̯5	
吡	pi3	
吢	t͡ɕʰin5	
否	fɔŋ3	部分老派口音
否	fə̞ʊ̯3	
含	xɑ̟n2	
吭	ŋɑŋ1	白讀，表示高亢的聲音
吳	ʋ̩2	
吵	t͡sʰɑʊ̯3	
吶	l̃ɑ7	
吷	ɕy̑e̞7	
吸	ɕi̯e̞7	
吹	t͡sʰwe̞ɪ̯1	
吻	wə̞n3	
吼	xə̞ʊ̯3	
吾	ŋu̜3	
呂	l̃we̞ɪ̯3	
呆	ŋɑɪ̯2	
呆	tɑɪ̯1	文讀
呈	t͡sʰə̞n2	
告	kɑʊ̯5	
呝	ŋɐ̝7	
呡	mᵇin3	動詞，表示用嘴略舔
呢	l̃i2	毛呢，呢子
周	t͡sə̞ʊ̯1	
呫	tʰi̯e̞7	
味	we̞ɪ̯5	
呴	xə̞ʊ̯1	1.鹽吃多了而得的病2.～巴：哮喘病人
呵	xɔ1	表示欺騙
呷	ɕi̯ɑ7	
呻	t͡sʰə̞n1	白讀，如：～喚
呻	sə̞n1	
呼	fʋ̩1	
命	mᵇin5	
呾	tɑ7	
咀	t͡ɕy3	
咀	t͡swe̞ɪ̯3	主要用于地名
咄	tɔ7	
咇	pi̯e̞7	
咈	fɔ7	
咋	t͡sɑ7	～䨱，表示反覆提醒，吩咐
和	xɔ2	
和	xɔ5	
咍	xɑɪ̯1	
咎	t͡ɕi̯ə̞ʊ̯5	
咒	t͡sə̞ʊ̯5	
咕	ku̜1	～蝎･
咖	kʰɑ1	
咟	xwɐ̝7	
咠	t͡ɕʰi̯e̞7	
咢	ŋɔ7	
咥	t͡sʰe̞7	
咨	t͡szᵚ1	
咪	mᵇi1	
咬	ŋɑʊ̯3	
咬	l̃i̯ɑʊ̯3	文讀
咭	ɕi̯e̞7	
咰	sɔ7	
咳	kʰɐ̝7	
咵	kʰwɑ3	
咹	ɔ7	
咽	je̞7	哽咽
哀	ŋɑɪ̯1	
品	pʰin3	
哄	xɔŋ3	
哉	t͡sɑɪ̯1	
哊	jɔ7	
員	ɥɐ̝n2	
哥	kɔ1	
哨	sɑʊ̯5	
哪	l̃ɑ3	
哫	t͡ɕi̯ɔ7	
哭	kʰɔ7	
哱	pʰɔ7	
哲	t͡sɐ̝7	
哳	t͡sɑ7	
哴	l̃ɑŋ2	～吭：吹的樣子。
哴	l̃i̯ɑŋ5	唴～：因痛苦過度而失聲
哵	pɑ7	
哷	l̃ɐ̝7	
哹	fə̞ʊ̯2	
哼	xə̞n1	
哽	kə̞n3	
哿	kɑ3	白讀表示阻截
哿	kɔ3	
唂	kɔ7	
唆	sɔ1	
唇	swə̞n2	
唈	je̞7	
唉	ŋɑɪ̯1	
唉	ŋɑɪ̯3	
唊	t͡ɕi̯ɑ7	
唐	tʰɑŋ2	
唧	t͡ɕi̯e̞7	
售	sə̞ʊ̯5	
唯	we̞ɪ̯2	
唰	swɑ7	
唱	t͡sʰɑŋ5	
唴	t͡ɕʰi̯ɑŋ5	
唾	tʰɔ5	
啀	ŋɑɪ̯2	
啃	kʰə̞n3	
啄	t͡sɔ7	
啄	t͡swɑ7	白讀1，如：雞～米
啄	twɑ7	白讀2，如：～木鳥
商	sɑŋ1	
啇	ti̯e̞7	
啎	ʋ̩3	
問	wə̞n5	問題
啐	t͡ɕi̯ɔ7	
啑	t͡sɑ7	
啒	kɔ7	
啖	tɑ̟n5	
啖	tɑɪ̯3	白讀,表示吃或飲的意思如:～一口水意為喝水。俗字可作(𠯪)
啚	pʰi3	
啜	t͡sʰwɐ̝7	
啞	jɑ3	
啟	t͡ɕʰi3	
啪	pʰi̯ɑ3	擬聲詞
啵	pɔ1	打～
啻	szᵚ5	
啼	tʰi2	
喀	kʰɐ̝7	
喂	we̞ɪ̯3	
喃	l̃ɑ̟n2	
善	sɑ̟n5	
喅	jɔ7	
喆	t͡sɐ̝7	
喇	l̃ɑ3	
喉	xɔŋ2	喉嚨，喉嚨管
喉	xə̞ʊ̯2	
喊	xɑ̟n3	
喋	ti̯e̞7	
喌	t͡sɔ7	
喑	ŋɑ̟n1	
喔	ɔ7	
喘	t͡sʰwɑ̟n3	
喚	xwɑ̟n5	
喜	ɕi3	
喝	xɔ1	白讀
喝	xɔ7	文讀
喝	xɔ1	白讀，如：喝水
喢	sɑ7	
喢	t͡sʰɑ7	
喥	tɔ7	
喦	l̃i̯e̞7	
喧	ɕy̑ɐ̝n1	
喪	sɑŋ1	
喪	sɑŋ5	
喫	t͡ɕʰi̯e̞7	
喫	t͡ɕʰi1	白讀，如：～飯
喬	t͡ɕʰi̯ɑʊ̯2	
單	tɑ̟n1	
單	sɑ̟n2	單于
單	sɑ̟n5	作姓氏
喳	t͡sɑ1	
喵	mᵇi̯ɑʊ̯1	
喻	jy5	
喿	t͡sʰɑʊ̯5	
嗃	xɔ7	
嗅	ɕi̯ə̞ʊ̯5	
嗆	t͡ɕʰi̯ɑŋ5	
嗇	sɐ̝7	
嗉	su̜5	
嗋	ɕi̯e̞7	
嗌	je̞7	
嗎	mᵇɑ̃1	表疑問
嗑	kʰɔ7	
嗒	tʰɑ7	
嗓	sɑŋ3	
嗕	zɔ7	
嗗	wɑ7	
嗜	szᵚ5	
嗝	kɐ̝7	
嗟	t͡ɕi1	
嗢	wɑ7	
嗣	szᵚ5	
嗤	t͡sʰzᵚ1	
嗦	sɔ7	
嗨	xɑɪ̯1	
嗼	mᵇɔ7	
嗽	sə̞ʊ̯5	
嗿	tʰɑ̟n3	
嘁	t͡sɑ7	
嘆	tʰɑ̟n5	
嘉	t͡ɕi̯ɑ1	
嘍	l̃ə̞ʊ̯2	
嘎	kɑ7	鴨叫
嘓	kwɐ̝7	
嘔	ŋə̞ʊ̯3	
嘕	ɕi̯ɐ̝n1	
嘖	t͡sɐ̝7	
嘗	sɑŋ2	
嘛	mᵇɑ2	
嘮	l̃ɑʊ̯2	
嘯	ɕi̯ɑʊ̯5	
嘴	t͡swe̞ɪ̯3	
嘹	l̃i̯ɑʊ̯2	
嘻	ɕi1	
噆	t͡sɑ7	
噈	t͡ɕi̯ɔ7	
噊	jɔ7	
噎	je̞7	
噏	ɕi̯e̞7	
噓	ɕy1	
噝	szᵚ1	
噣	t͡sɔ7	
噥	l̃ɔŋ1	咕～
噦	jy3	嘔吐
噦	ɥe̞7	文讀
噧	tʰɑ7	
器	t͡ɕʰi5	
噩	ŋɔ7	
噪	t͡sʰɑʊ̯5	
噱	t͡ɕi̯ɔ7	大笑，如：談笑大～
噱	ɕi̯ɔ7	噱頭
噴	fə̞n5	白讀，如：打～嚏
噴	pʰə̞n1	
嚃	tʰɑ7	
嚄	xwɐ̝7	
嚇	ɕi̯ɑ7	文讀
嚇	xɑ7	白讀二
嚇	xɐ̝7	
嚗	pɔ7	
嚛	xɔ7	
嚞	t͡sɐ̝7	
嚥	jɐ̝n1	
嚧	l̃u̜2	嘴裏～著糖，表示嘴裏含著糖
嚨	l̃ɔŋ1	白讀，如：喉～
嚨	l̃ɔŋ2	
嚭	pʰi3	
嚳	kʰɔ7	
嚴	l̃i̯ɐ̝n2	
嚷	zɑŋ3	
嚼	t͡ɕi̯ɔ7	文讀
嚼	t͡ɕi̯ɑʊ̯5	白讀音，作動詞
囁	l̃i̯e̞7	
囂	ɕi̯ɑʊ̯1	
囃	t͡sʰɑ7	
囈	l̃i5	
囉	l̃ɔ1	
囊	l̃ɑŋ2	
囋	t͡sɑ7	
囐	t͡sɑ7	
囑	t͡sɔ7	
囚	ɕi̯ə̞ʊ̯2	最老派
四	szᵚ5	
回	xwe̞ɪ̯2	
因	jin1	
囡	l̃ɑ̟n1	
囤	tʰə̞n2	
囤	tə̞n5	動詞，表示把物品放置在某處
囧	t͡ɕyn3	
囪	t͡sʰɔŋ1	
囫	xɔ7	
困	kʰwə̞n5	困難
固	ku̜5	
囿	jə̞ʊ̯5	
囿	jɔ7	
圀	kwɐ̝7	
圇	l̃ə̞n2	
圈	t͡ɕʰy̑ɐ̝n1	房～：臥室
圈	t͡ɕy̑ɐ̝n5	
國	kwɐ̝7	
圍	jy2	老派口語弱化，比如：周圍團轉
圍	we̞ɪ̯2	
園	ɥɐ̝n2	田
圓	ɥɐ̝n2	
圔	jɑ7	
圖	tʰu̜2	
團	tʰwɑ̟n2	
圛	je̞7	
圝	l̃wɑ̟n2	表示講話，說話，咀嚼，或口齒不清的樣子，一說又作（𪢮），（𭈅）或（圞）
圞	l̃wɑ̟n2	表示講話，說話，咀嚼，或口齒不清的樣子，一說又作（𪢮），（𭈅）或（圝）
土	tʰu̜3	
圠	jɑ7	
圤	pʰɔ7	
在	tɑɪ̯5	白讀
在	t͡sɑɪ̯5	
圩	ɕy1	嶺南地名中“墟”的俗字
圩	jy2	
圩	we̞ɪ̯2	江淮地名中作此音
圪	kɐ̝7	語言學術語如～頭詞
圪	l̃i̯e̞7	
圭	kwe̞ɪ̯1	
圯	ji2	
地	ti5	
圻	t͡ɕʰi2	
圻	jin2	
圼	l̃i̯e̞7	
圾	t͡ɕi̯e̞7	
圿	t͡ɕi̯ɑ7	
址	t͡szᵚ3	
坄	jɔ7	
均	t͡ɕyn1	
坊	fɑŋ1	牌～
坊	fɑŋ2	作～
坍	tʰɑ̟n1	
坎	kʰɑ̟n3	
坐	t͡sɔ5	
坑	kʰə̞n1	
