#漢字	音標	解釋
□	tsʰɪ4	看见
一	iʔ7	
丁	tɛ1	
七	tsʰiʔ7	
万	uːɐ6	
丈	tɕʰiɔu4	
三	sɔu1	
上	ɕiɔu4	～山
上	ɕiɔu6	楼～
下	xo4	
丐	kuɤ5	
丑	tɕʰiu3	
專	tɕyːɐ1	
丘	tɕʰiu1	
丙	pɛ3	
業	ȵia1	
東	tan1	
丟	tiu1	
兩	liɔu4	
嚴	ȵiːɐ2	
个	ko5	
丫	ŋo1	
中	tsan1	～问
丰	fan1	
串	tɕʰyːɐ5	
臨	lin2	
丹	tɔu1	
爲	uɪ2	行～
爲	uɪ6	～什么
主	tɕy3	
舉	tɕy3	
久	tɕiu3	
義	ȵi6	
之	tɕi1	
烏	u1	
樂	lo1	
喬	tɕʰiu2	
乖	kua1	
乙	iʔ7	
九	tɕiu3	
也	ia4	
習	tsʰɪ1	
鄉	ɕiɔu1	
書	ɕy1	
買	ma4	
亂	luːɐ6	
乳	y4	
了	liu4	～结
爭	tɕiːɐ1	
事	sɿ6	
于	y2	
虧	tɕʰyɪ1	
雲	yan2	
互	xu6	
五	n̩4	
亞	ŋo5	
些	siːɐ1	
交	ko1	
畝	miu3	
享	ɕiɔu3	
亭	tɛ2	
亮	liɔu6	
親	tsʰin1	
人	ȵian2	
什	ɕi1	
仁	ȵian2	
今	tɕian1	
介	ka5	
从	tsʰian2	
倉	tsʰɔu1	
他	tʰa1	文
仗	tɕiɔu5	
仙	siːɐ1	
代	tʰɤ6	
令	lɛ6	
以	i4	
件	tɕʰiːɐ4	
價	ko5	
任	ian2	姓～
任	ian6	～务
份	fɛ6	
仿	fɔu3	
伍	n̩4	
休	ɕiu1	
優	iu1	
伙	xo3	
傘	sɔu3	
傳	tɕʰyːɐ2	
傷	ɕiɔu1	
伯	paʔ7	
估	ku3	
伴	pʰɔu4	
伸	ɕian1	
位	uɪ6	
低	tɪ1	
佐	tso3	
佑	iu6	
體	tʰɪ3	
何	xo2	
余	y2	
作	tsoʔ7	
你	ȵi3	文
佳	ka1	
使	sɿ3	
侍	ɕi6	
供	kan5	
依	i1	
側	tsʰaʔ7	
僑	tɕʰiu2	
侯	ɕiu2	
侵	tsʰin1	
便	piːɐ2	～宜
便	pʰiːɐ6	～利
促	tsʰiuʔ7	
俄	ŋo2	
俏	tsʰiu5	
俗	siu1	
保	pɤ3	
俞	y2	
信	sin6	
修	siu1	
倒	tɤ3	打～
倒	tɤ5	～水
借	tsiːɐ5	
倡	tɕʰiɔu5	
債	tsa5	
值	tɕʰi1	
假	ko3	真～，放～
偏	pʰiːɐ1	
停	tɛ2	
健	tɕʰiːɐ6	
偶	ȵiu4	
偷	tʰiu1	
償	ɕiɔu2	
像	tsʰiɔu4	
僧	tsɛ1	
僧	sɛ1	
僵	tɕiɔu1	
兒	ɤ2	说得较少
兒	n̩2	说得较多
元	ȵyːɐ2	
兄	ɕyːɐ1	
充	tsʰan1	
先	siːɐ1	
光	kɔu1	
克	kʰɤʔ7	
免	miːɐ4	
黨	tɔu3	
兜	tiu1	
入	i1	
全	tsʰiːɐ2	
八	pɔuʔ7	
公	kan1	
六	liu1	
蘭	lɔu2	
共	kan6	
關	kuːɐ1	
興	ɕian5	
兵	pɛ1	
其	tɕʰi2	
典	tiːɐ3	
養	tɕʰiu2	
養	iɔu4	
獸	ɕiu5	
岡	kɔu1	
冊	tsʰaʔ7	
再	tsɤ5	
冒	mɤ6	
寫	siːɐ3	
軍	tɕyan1	
農	lan2	
冠	kuːɐ5	
冤	yːɐ1	
冬	tan1	
馮	fan2	
冰	pɛ1	
决	tɕyːɐʔ7	
况	kʰɔu5	
冷	lɛ4	
凍	tan5	
準	tɕyan3	
凉	liɔu2	
凌	lin2	
減	ko3	
減	kɔu3	
湊	tsʰiu5	
几	tɕi3	
凡	fɔu2	
凱	kʰuɤ3	
凶	ɕian1	
出	tsʰɤʔ7	
函	xɔu2	
刀	tɤ1	
刁	tiu1	
分	fɛ1	
切	tsʰiːɐʔ7	
划	xua2	文
划	xuːɐ2	白
列	liːɐ1	
劉	liu2	
剛	kɔu1	
創	tsʰɔu5	
初	tsʰɤ1	
刨	pʰo2	
利	li6	
别	pʰiːɐ1	
