#漢字	音標	解釋
复	vu8	～转
复	vɜ6	～活
夏	ɦo6	
外	ɦʋa6	
多	tu1	
夜	ɦji6	
够	kau5	
大	di6	～家娘：婆婆
大	du6	～舌: 口吃
大	da6	我～家
天	tʰie1	
太	tʰa5	
夫	fʉ1	
央	ʔie1	
失	sai7	
頭	diu2	
奪	dø8	抢～
奪	dai8	～去
奇	dʑiɿ2	
奈	na6	
奉	vʊŋ4	
套	tʰɜ5	
奧	ʔɜ5	
女	ȵy4	
女	da2	～儿
奴	du2	
奶	da2	～儿
奶	na4	吃～
奸	ka1	
好	hɜ3	假～人
如	ʑiɿ2	
妃	fi1	
妄	vɔ4	
妝	tɕɔ1	
婦	vʉ4	
妒	tʉ5	～忌
妓	dʑiɿ6	
妙	miɛ6	
妹	mai6	
妻	tsʰi1	
姊	tsɿ3	
姑	ku1	
姓	siŋ5	
娒	ʔmai1	小孩
娘	ȵie2	
婢	bi6	
嬰	ʔjaŋ1	
嫁	ko5	
嫖	biɛ2	
嫩	nø6	
子	tsɿ3	
字	zɿ6	
存	zø2	
孫	sø1	
孝	hɔ5	
孤	ku1	
學	ɦo8	
孩	ɦe2	
孺	ʑiɿ2	新～人：新娘
寧	ȵaŋ2	
宇	ɦy4	
守	siu3	
安	ʔye1	
完	ɦjye2	
宕	dɔ4	
宗	tsʊŋ1	
定	diŋ6	
寶	pɜ3	
審	saŋ3	
客	kʰa7	
宮	tɕʊŋ1	
宰	tse3	
害	ɦe6	
家	ko1	
容	ɦjʊŋ2	
寬	kʋʰa1	
宿	ɕo7	
富	fʉ5	
寡	ko3	
對	tai5	
尋	zaŋ2	
導	dɜ6	
封	fʊŋ1	
將	tsie1	～来
將	tsie5	～领
尊	tsø1	
小	ɕiɛ3	
少	ɕiɛ3	
尖	tsie1	
尘	dzaŋ2	
嘗	zie2	
就	ziu6	～是讲
就	ziu8	～把渠大家医好
屍	sɿ1	
尺	tsʰi7	
尼	ȵi2	
尽	zaŋ4	
局	dʑo8	
層	zaŋ2	
居	tɕy1	
屈	tɕʰye7	
屋	ʔu7	
屏	piŋ5	～墙
屢	dʉ4	
山	sa1	
歲	ɕiɿ5	
豈	tɕʰiɿ3	
岙	ʔɜ5	
島	tɜ3	
岩	ŋa2	
岸	ɦjye6	
崇	zʊŋ2	
工	kʊŋ1	
左	tsi7	
左	tsu3	～手
巧	kʰɔ3	
差	tsʰu1	～不多
差	tsʰa1	～使
己	tɕiɿ3	
己	ɦji4	
巳	zɿ4	
巴	po1	
巷	ɦɔ6	
巾	tɕaŋ1	
市	zɿ4	
布	pʉ5	
師	sɿ1	
希	ɕiɿ1	
帳	tsie5	
帖	tʰie7	
帘	lie2	
帝	ti5	
帶	ta5	
席	zi8	
幫	pɔ1	
常	dzie2	
平	biŋ2	
年	ȵie2	
并	biŋ4	～且
幹	kø5	能～;才干
庇	pi5	
牀	ʑɔ2	
序	ʑiɿ4	
庫	kʰu5	
應	ʔjaŋ1	～该
應	ʔjaŋ5	报～
底	ti3	人或事物随动作由外面到里面；里面
店	tie5	
廟	miɛ6	
府	fʉ3	
廢	fi5	
度	dʉ6	
座	zo6	
廊	lɔ2	
廿	ȵie6	
開	kʰe1	
异	ɦji6	
弃	tɕʰiɿ5	
弄	lʊŋ6	
式	si5	
引	ɦjaŋ4	
弗	ʔmai7	
弟	di4	
張	tsie1	
彎	ʔʋa1	
弱	ɕa8	
彈	da2	
强	dʑie2	
歸	kʋai1	
