#漢字	音標	解釋
花	ho1	
芸	ɦjʊŋ2	
芹	dʑaŋ2	
芽	ŋo2	
苏	sʉ1	
若	dʑa8	
苦	kʰu3	
茅	mɔ2	
茴	ɦʋai2	
草	tsʰɜ3	
荒	hɔ1	
蕩	dɔ6	浪～
榮	ɦjʊŋ2	
荫	ʔjaŋ1	
藥	ɦja8	
荷	hu5	薄～
莎	so1	
蓮	lie2	
菜	tsʰe5	
蘿	lu2	
營	ɦjʊŋ2	
薩	sa7	
落	lo8	下: ～船;下去:放～乐～园
葬	tsɔ5	
蒙	mʊŋ2	～恩
蒲	bʉ2	～桃：葡萄
蔬	su1	
薄	bu2	～荷
藏	zɔ2	动词
蘸	tsa5	
虛	ɕy1	
蟲	dʑʊŋ2	
雖	ɕiɿ1	
蛀	tɕiɿ5	
蛇	zi2	
蠻	ba2	
蛾	ŋ2	
蜂	fʊŋ1	
蜜	mie8	
蝎	ɕie7	
蝗	ɦɔ2	
血	ɕye7	
行	ɦɛ2	～走
行	ɦɔ2	同～
街	ka1	
衙	ŋo2	
衣	ʔi1	
補	pʉ3	
衫	sa1	
衰	sai1	
袋	de6	
袍	bɜ2	
被	bi4	
裁	ze2	
裂	lie8	
裙	dʑʊŋ2	
裳	zie2	
裸	lai4	
襟	tɕaŋ1	
西	si1	
要	iɛ5	～紧
覅	fai1	勿、不要
覆	pʰu7	伏、趴
覆	fu7	翻来～去
見	tɕie5	
規	tɕy1	条～
規	kʋai1	～矩
覺	ko7	
角	ko7	
解	ka3	～说
解	ka5	押～
言	ȵie2	
訾	tsɿ1	～那：怎么
譬	pʰi3	动词，比喻、比方  
計	tɕiɿ5	
認	ȵaŋ6	
討	tʰɜ3	
讓	ȵie6	
訓	ɕʊŋ5	
議	n4	
記	tɕiɿ5	
講	kɔ3	
許	ɕy3	
許	he3	那
論	lø6	
訟	ʑɔ6	
設	si7	
訪	fɔ3	
证	tsiŋ5	
評	biŋ2	
識	si7	
訴	sʉ5	
試	sɿ5	
詩	sɿ1	
誠	ziŋ2	
話	ɦo6	
話	ɕʋo5	
詭	tɕy3	
該	ke1	应～
該	ke7	这
誡	ka5	
語	ȵy4	
誘	ɦjau6	
說	ɕye7	
請	tsʰiŋ3	
諾	no8	
讀	du8	
調	diɛ6	～换
談	da2	
謀	mɜ2	
謊	hɔ3	
諭	ɦy6	上～
謝	zi6	
謠	ɦjie6	名声～开
謗	pɔ5	
謙	tɕʰie1	
謹	tɕaŋ3	～醒
譜	pʉ3	
谷	ku7	～仓
豆	diu6	
豺	za2	
貌	mɔ6	
贏	ɦjaŋ2	
貝	pai5	
負	vʉ4	
財	ze2	
責	tsa7	
敗	ba6	
賬	tsie5	
貨	hu5	
貪	tʰø1	
貧	biŋ2	
貫	kye5	
賤	zie6	
貼	tʰie7	
貴	tɕy5	
費	fi5	
賀	ɦʋu6	
賊	ze8	
資	tsɿ1	
贖	ʑo8	
賜	sɿ5	
賜	si5	
賺	dza6	错也
賽	se5	
赞	tsa5	
赤	tɕʰiɿ7	～膊裸： 光着上身
赦	si5	
走	tsau3	
趕	kye3	
起	tɕʰiɿ3	
趁	tsʰaŋ5	
越	ɦjye8	
足	tɕo7	
跌	tie7	
跔	ɡau2	蜷缩
跟	ɡaŋ1	
跪	dʑy4	
路	dʉ6	
跳	tʰiɛ5	
踏	da8	
踢	tʰi7	
踫	bɛ2	跨
躄	pʰie7	跛脚
身	saŋ1	
躲	tu3	
車	tsʰi1	
轉	tɕye3	上～:上面;走～:走回来
軛	ʔa7	
軟	ȵye4	
輕	tɕʰaŋ1	
辭	zɿ2	
辣	la8	半死
辨	bie4	
辯	bie4	
辰	zaŋ2	
辱	ɕu8	
邊	pø1	后～
邊	pie1	
达	da8	
過	ku5	
迎	ȵaŋ2	
近	dʑaŋ4	
還	ɦʋa2	～有
進	tsaŋ5	
遠	ɦjye4	
違	ɦy2	
連	lie2	
遲	dzɿ2	
迫	pa7	
迷	mi2	～惑
迹	tsi7	
追	tɕiɿ1	
退	tʰai5	
送	sʊŋ5	
逃	dɜ2	推
逃	dɜ2	
逆	ȵai8	
遞	di6	
通	tʰʊŋ1	
速	su7	
造	tsʰɜ5	～次
造	zɜ4	创～
逢	vʊŋ4	
逮	de6	介词, 把
逼	pie7	
逾	ɦy2	
遁	daŋ6	
遍	pie5	
道	dɜ4	
遮	tsi1	
遵	tɕʊŋ1	
避	bi6	
那	ʔna7	訾～:怎么
邪	zi2	
鄰	liŋ2	
郎	lɔ2	
部	bʉ4	
都	tʉ1	～城
酉	ɦjau4	
配	pʰai5	
酒	tsiu3	
酢	tso5	酒～
酵	kɔ5	
醉	tɕiɿ5	
醒	siŋ3	
釋	si7	
里	li4	一～路
里	ʔli1	我该～ ：我这里  
里	de2	酒～
重	dʑɔ2	～生
重	dʑɔ4	贵～
野	ʔi3	
量	lie2	～商
量	lie6	限～
金	tɕaŋ1	
鏨	zø4	
釘	tiŋ1	～子
釘	tiŋ5	～十字架里
釣	tiɛ5	
鉤	kau1	
錢	die2	
鐵	tʰie7	
銅	dʊŋ2	
銀	ȵaŋ2	
鋪	pʰʉ1	～直主的小路  
链	lie2	
链	lie6	
鎖	so3	
鏽	siu5	
錯	tsʰo7	
錨	mɔ2	
長	tsie3	～老
長	dzie2	～久
門	maŋ2	
閃	ɕa7	
閉	pi5	
問	maŋ6	
問	vaŋ6	
闲	ɦa2	
間	ka1	中～
閔	miŋ4	
悶	maŋ6	
鬧	nɔ6	
聞	vaŋ2	
闊	kʰo7	
隊	dai6	
防	vɔ2	
陰	ʔjaŋ1	
陣	dzaŋ6	
阻	tsu3	
阿	ʔa7	～爸
陳	dzaŋ2	
降	kɔ5	
限	ɦa4	
院	ɦjye6	
除	dʑiɿ2	
陪	bai2	
隨	ʑiɿ2	
隱	ʔjaŋ3	
隔	ka7	
難	da2	～过
難	na6	灾～
雅	ŋo4	
集	zai8	
雇	ku5	
雕	tɜ1	名词
雕	tiɛ1	～刻
雨	ɦy4	
雪	ɕye7	
零	liŋ2	
雷	lai2	
震	tsaŋ5	
霉	mai2	
青	tsʰiŋ1	
靜	ziŋ4	
非	fi1	
靠	kʰɜ5	
面	mie6	四～; ～粉
面	mai6	底～
革	ka7	
鞋	ɦa2	
鞭	pie1	
音	ʔjaŋ1	愔～静:寂静:使寂静
頂	tiŋ3	
順	zʰʊŋ6	
顧	ku5	
頓	taŋ5	
領	liŋ4	
頸	tɕaŋ3	
頷	ɦø4	
額	ŋa8	
風	fʊŋ1	
飛	fi1	
食	zi8	
餐	tsʰa1	
饥	tɕiɿ1	
飭	tsʰi7	绞杀
飯	va6	
飲	ʔjaŋ3	
飽	pɔ3	
餅	piŋ3	
餓	ɦʋai6	
館	kye3	
首	siu3	
香	ɕie1	
馬	mo4	
駁	po7	
驢	dʉ2	
駛	sa3	
駝	du2	
驕	tɕiɛ1	
駱	lu8	
騎	dʑiɿ2	
騙	pʰie5	
骨	kye7	
骷	kʰu1	
髏	lau2	
高	kɜ1	
鬼	tɕy3	
魂	ɦjye2	
魚	ŋʉ2	
魯	lu4	
鱗	liŋ2	
鶻	pʰɔ3	
鳥	tiɛ3	
鳩	tɕau1	
雞	tɕiɿ1	
鴉	ʔo1	
鶴	ŋo8	
鷹	ʔjaŋ1	
鹿	lu8	
麥	ba8	
麻	mo2	
黃	ɦɔ2	
黑	he7	
齊	zi2	
齒	tsʰɿ3	
𠡒	tai3	拉扯
𠢢	ʔjau3	植物枯萎
𡇠	tsa7	～实: 牢固、坚实
𢄺	tɕʰiɛ3	抹、 拭
𢳀	mo2	丸:抓阄
𣥼	tsi5	盛物于器
𣧥	ʔjau3	植物枯萎
𤌙	tʰa7	
𤍐	tʰai1	宰杀
𤖼	pʰa7	用手分开或折断东西:把饼～开
𤳗	pø1	后～
𦗭	bɛ4	耳聋
𦜇	kʰye7	脚～: 膝盖
𧟰	fai1	勿、不要
𧠵	tsʰɿ5	看
𧮙	zo8	责骂
𧺤	ɡau2	蜷缩
𧻸	zi8	跑  
𩑦	ʔʋai7	人溺水
𩥑	tʰa7	～拉:最末的
𫦉	ʔlau1	挖掘: ～屋底;抠
𰃳	ɡaŋ3	盖子
