#漢字	音標	解釋
㐴	pʰan1	
㑁	t͡s̻o̞7	
㑉	ɕi̯o̞7	
㑘	kaɪ̯5	
㑙	ti̯e̞7	
㑛	s̻o̞7	
㑲	nan2	
㑳	na7	
㑵	t͡ɕi̯e̞7	
㑻	mᵇa7	
㒊	s̻e̞7	生三
㒌	t͡ɕʰy̑in2	
㒓	tʰa7	
㒔	s̻o̞7	
㒝	mᵇi̯e̞7	
㒝	wa7	
㒨	ɕi̯e̞n1	
㒴	ko̞7	
㓀	po̞7	
㓖	pi̯e̞7	
㓢	no̞7	
㓣	t͡ɕʰi̯a7	
㓤	t͡ɕʰi̯a7	
㓤	t͡ɕi̯e̞7	
㓹	t͡s̻ʰwe̞ɪ̯5	
㓺	t͡ɕi̯e̞n1	
㓼	t͡s̻ʰe̞7	
㔄	ɕi̯o̞7	
㔍	t͡s̻ʰa7	
㔍	t͡s̻ʰwa7	
㔎	ɕi̯e̞7	
㔎	n̠ᶽi̯e̞7	
㔏	ni̯e̞7	
㔞	kʰwaɪ̯1	
㔠	ɕi̯a7	
㔡	pi̯e̞7	
㔢	t͡ɕy̑e̞7	
㔩	o̞7	
㔴	j̟e̞7	
㔹	ne̞7	
㕇	na7	
㕎	kʰo̞7	
㕡	xo̞7	
㕯	na7	
㕯	z̻we̞7	
㕯	no̞7	
㕰	xo̞7	
㖅	ɕi̯o̞7	
㖏	n̠ᶽi̯e̞7	
㖪	xwe̞7	
㗁	ŋo̞7	
㗉	ni̯o̞7	
㗊	t͡s̻e̞7	莊三
㗘	po̞7	
㗙	na7	
㗚	ni̯e̞7	
㗤	t͡ɕi̯o̞7	
㗥	kʰo̞7	
㗧	t͡s̻e̞7	
㗩	ɕi̯e̞7	
㗫	t͡ɕʰi̯e̞7	
㗱	t͡ɕi̯e̞7	
㗲	xwe̞7	
㗳	ta7	
㗵	ɕi̯o̞7	
㗼	n̠ᶽi̯e̞7	
㘀	t͡s̻o̞7	
㘁	j̟e̞7	
㘈	n̠ᶽi̯e̞7	
㘉	t͡s̻e̞7	
㘌	t͡ɕi̯e̞7	
㘍	t͡ɕi̯e̞7	
㘙	n̠ᶽi̯e̞7	
㘝	na7	
㘝	n̠ᶽi̯e̞7	
㘠	pi̯e̞7	
㘨	n̠ᶽi̯e̞7	
㘲	t͡ɕi̯o̞7	
㙁	mᵇo̞7	
㙅	pɑʊ̯3	
㙇	t͡s̻ʰo̞7	
㙏	fo̞7	
㙓	kʰwe̞ɪ̯2	
㙷	t͡s̻e̞7	
㚒	s̻e̞7	
㚔	n̠ᶽi̯e̞7	
㚖	t͡s̻ʰe̞7	
㚜	j̟o̞7	
㚜	xwe̞7	
㚤	j̟e̞7	
㚫	s̻a7	
㛍	t͡ɕʰi̯e̞7	
㛘	pʰo̞7	
㛥	tʰa7	
㛹	pʰi̯e̞n2	
㛼	t͡s̻ʰa7	
㜅	ɕi̯o̞7	
㜓	ta7	
㜗	t͡s̻ʰa7	
㜰	s̻o̞7	
㜰	j̟o̞7	
㜸	n̠ᶽi̯e̞7	
㜽	t͡s̻ɹ̆ᶤ̞3	
㝓	kʰo̞7	
㝣	j̟e̞7	
㝪	ti̯e̞7	
㞏	t͡s̻e̞7	
㞕	ɕi̯e̞7	
㞚	t͡s̻a7	
㞚	t͡s̻ʰe̞7	初三
㞞	s̻o̞ŋ2	
㞽	ɕy̑e̞7	
㟐	mᵇɑŋ5	
㟳	ni̯e̞7	
㠋	ŋo̞7	
㠍	t͡ɕi̯e̞7	
㠛	j̟o̞7	
㠴	z̻e̞7	
㠷	ko̞7	
㡇	t͡s̻e̞7	
㡊	t͡ɕʰi̯a7	
㡋	j̟e̞7	
㡍	mᵇo̞7	
㡔	mᵇo̞7	
㡜	ɕy̑e̞7	
㡯	t͡s̻ʰe̞7	
㡿	t͡s̻ʰe̞7	
㢒	t͡s̻ʰɑ2	
㢓	t͡s̻ɑŋ5	
㢵	ɕi̯e̞7	
㢸	pi̯e̞7	
㢼	pi̯e̞7	
㣂	ŋe̞7	
㣎	mᵇo̞7	
㣙	ti̯e̞7	
㣟	ɕi̯e̞7	
㣮	nan2	
㣱	t͡s̻e̞7	
㣿	t͡s̻o̞7	
㤄	po̞7	
㤄	fa7	
㤕	t͡s̻o̞7	
㤞	to̞7	
㤩	kʰo̞7	
㤲	t͡ɕʰi̯e̞7	
㤴	t͡s̻ʰe̞7	
㤸	ɕi̯e̞7	
㥁	te̞7	
㥂	tʰe̞7	
㥃	mᵇə̟n1	～黑：昧良心，使手段
㥈	ti̯e̞7	
㥌	t͡ɕi̯o̞7	
㥒	t͡s̻ʰaɪ̯3	
㥛	t͡ɕi̯e̞7	
㥡	t͡s̻ʰɹ̆ᶤ̞5	
㥦	t͡ɕʰi̯e̞7	
㥶	s̻e̞7	
㥽	t͡s̻ʰe̞7	
㥾	n̠ᶽi̯e̞7	
㦅	ti̯e̞7	
㦇	no̞7	
㦌	xo̞7	
㦎	xwe̞7	
㦜	xo̞7	
㦝	mᵇo̞7	
㦦	ɕi̯e̞7	
㦯	xwe̞7	
㦱	ŋɔ3	
㦴	ke̞7	
㦺	z̻o̞7	
㦼	s̻wɑŋ5	
㧀	t͡ɕi̯e̞7	
㧊	pʰo̞7	
㧍	fɑŋ1	不給人面子，使某人下不了台
㧒	j̟o̞7	
㧖	ŋe̞7	
㧚	wɑ3	動詞，表示舀
㧦	ɕy̑e̞n5	～牆：指粉刷牆壁
㧧	s̻u̜1	
㧯	nɑʊ̯3	動詞
㧹	tʰe̞7	
㧺	tʰa7	
㧻	t͡s̻wa7	動詞，表示踢
㧾	kʰo̞7	
㨁	t͡s̻e̞7	
㨂	to̞ŋ1	表示慫恿，煽動之意
㨂	to̞ŋ2	又音，表示慫恿，煽動
㨎	z̻we̞7	
㨝	ɕi̯e̞7	
㨡	xo̞7	
㨣	o̞ŋ1	覆蓋
㨤	kʰwaɪ̯1	
㨥	na7	
㨦	s̻o̞ŋ3	
㨹	ɕy̑e̞7	
㩆	t͡ɕi̯əʊ̯5	1.表示扭傷 2.表示彎曲頸部的動作
㩉	na7	
㩋	ɕi̯o̞7	
㩐	tə̟n5	也可作（扽）
㩚	mᵇo̞ŋ3	動詞，如：把眼睛～著
㩛	tʰwan3	～攏：使聚集二表示巴結的意思
㩢	mᵇi̯e̞7	
㩧	pʰo̞7	
㩧	po̞7	
㩩	t͡ɕʰy̑in3	
㩭	kɑʊ̯5	白讀，動詞。表示嘗試。或作（𫽊）。正字作（校）
㩱	t͡ɕi̯o̞7	
㩳	s̻o̞ŋ3	
㩵	t͡s̻a7	
㩵	ŋo̞7	
㩹	ti̯e̞7	
㩼	t͡s̻ɹ̆ᶤ̞1	
㩿	kʰo̞7	
㪉	ko̞7	
㪍	po̞7	
㪐	no̞7	
㪑	j̟e̞7	
㪖	no̞7	
㪗	tʰəʊ̯3	抻～，1.作動詞，表示把鋪蓋（衣服等）鋪平整，理好。引審出把衣著形象理順，使看起來得體。2.作形容詞，形容衣著或人的（形象）等大方得體有風度。又作（敨）
㪤	pi̯e̞7	
㪧	ɕi̯e̞7	
㪩	ɕi̯o̞7	
㪪	s̻a7	
㪬	t͡s̻ʰo̞7	
㫏	j̟ɑʊ̯3	
㫐	j̟ɑʊ̯3	
㫛	kʰwɑŋ5	
㫽	no̞7	
㬎	ŋo̞7	
㬤	t͡ɕʰi̯e̞7	
㬽	ŋo̞7	
㭈	t͡ɕy̑e̞7	
㭊	ɕi̯e̞7	
㭘	xo̞7	
㭩	ne̞7	
㭭	pi̯e̞7	
㭯	t͡s̻e̞7	
㭼	tʰa7	
㮂	t͡ɕi̯o̞7	
㮇	tʰi̯e̞n5	
㮖	t͡ɕi̯a7	
㮙	ŋo̞7	
㮚	ni̯e̞7	
㮝	xe̞7	
㮟	kʰɑ1	
㮦	s̻o̞7	
㮨	t͡ɕi̯e̞7	
㮩	ɕi̯e̞7	
㮰	pʰi2	
㮰	pi̯e̞7	
