#漢字	音標	解釋
㼦	koŋ2	瓶子、杯子，替字
䃭	kam2	埋
一	ik4	
一	iau1	训读，本字“幺”
一	tsek8	训读，本字“蜀”
一	tsik8	训读，本字“蜀”
丁	teŋ1	
七	tsʰik4	
七	tsik4	田七
丈	tsiaŋ6	文读
丈	tiõ6	丈人，白读
丈	tŋ6	万丈，白读
三	sã1	白读
三	sam1	文读
三	saŋ1	一二三，老派文读
上	siaŋ6	文读
上	tsiõ6	白读
上	tsiõ7	白读
上	tsʰiõ6	上坟，白读
上	tsʰiõ7	上油，白读
上	siõ7	占卜学中指大吉利的卦象、上碑、上杯（也叫圣杯），白读
下	hia6	文读
下	he6	种下、伸入，白读
下	he7	下伯公
下	ke6	低
下	e6	低
下	e7	一下
不	pfuk4	
丐	kai3	
丑	tʰiu2	
且	tsʰiã2	
丕	pʰi1	
世	si3	白读
世	su3	观世音，老派文读
世	sua3	接着、接下来，白读
丘	kʰu1	白读
丘	kʰiu1	文读
丙	piã2	白读
丙	peŋ2	文读
丞	seŋ5	
丟	tiu1	
並	peŋ3	
並	peŋ6	
丫	ia1	
中	toŋ1	文读
中	tioŋ1	文读
中	toŋ3	文读
中	tioŋ3	文读
中	taŋ1	白读
中	teŋ3	中状元，白读
中	tã1	中央，白读
中	ta1	中央，白读
中	kioŋ1	人中，棉城音
串	tsʰuaŋ3	
丸	uaŋ5	
丸	ĩ5	训读，本字“圆”
丹	taŋ1	文读
丹	tuã1	白读
主	tsu2	
乃	nai2	
久	ku2	白读
久	kiu2	文读
么	mo7	
么	moʔ4	
之	tsu1	
乍	tsa3	
乎	hu1	
乏	huak8	新派音
乏	hek8	累、腻，白读
乏	huap8	老派音
乏	hak8	乏食，白读
乖	kuai1	
乘	seŋ5	
乙	ik4	
九	kau2	白读
九	kiu2	文读
乞	kʰik4	
乞	kʰiʔ4	替字，本字“给”
也	ia7	
也	e7	
也	a7	
乳	dzu2	文读
乳	lu2	白读
乳	ni6	白读，训做“奶”字
乾	kaŋ1	文读
乾	kaŋ3	文读
乾	kuã1	白读
乾	kʰiaŋ5	
亂	luaŋ6	
亂	loŋ6	
亂	dzuaŋ6	随便
了	liau2	
了	lau2	
了	au2	
了	o2	
了	ou2	
了	liaʔ8	
事	su7	
事	tai7	
二	dzi6	
二	dzi7	
二	no6	训读
二	ni5	扑克牌2
二	dzi5	扑克牌2
二	o6	新文读
于	i1	
于	u1	
云	huŋ5	
云	uŋ5	
互	hu6	
互	hu5	
五	ŋou2	
五	ŋou6	
五	ŋom6	
五	ŋom2	
井	tsẽ2	
亘	keŋ3	
些	se1	
亞	a1	
亞	a3	
亡	bvuaŋ5	
交	kau1	
亥	hai6	
亦	ia7	训读
亦	ek8	
亨	heŋ1	
享	hiaŋ2	
京	kiã1	
亭	teŋ5	
亮	liaŋ6	
人	dziŋ5	
人	naŋ5	训读
什	sip8	文读
什	tsap8	白读
仁	dziŋ5	
仇	tsʰiu5	
今	kim1	
今	kiŋ1	
介	kai3	
仍	dzeŋ5	峡山、棉城音
仍	dzioŋ5	陈店音
仍	dziŋ5	陈店音
他	tʰa1	
仗	tsiaŋ6	
付	hu3	
仙	siaŋ1	
仙	siŋ1	仙庵，惠来地名
仙	suã1	仙门城，潮阳地名
代	tai3	文读
代	tʰoi3	训读，本字“替”
代	to7	白读
令	leŋ6	
以	ĩ2	
仰	ŋiaŋ2	文读
仰	ŋo3	仰头，白读
仰	ŋ3	依靠、仰仗，白读
仲	tioŋ6	
件	kiã6	
任	dzim7	担任、任职
任	dzim6	责任
份	huŋ7	
仿	huaŋ2	
企	kʰi2	文读
企	kʰia6	白读
伊	i1	
伍	ŋou2	
伍	ŋou6	五的大写
伍	ŋu2	退伍，文读
伏	hok8	文读
伏	pʰak4	趴，白读
伏	pfu7	孵，白读
伐	huak8	文读
伐	huaʔ8	迈，白读
休	hiũ1	
伯	peʔ4	白读
伯	pek4	人名，文读
估	kou2	
估	kau1	以为
伴	pfʰuã6	
伶	leŋ5	
伸	siŋ1	
伸	tsʰuŋ1	本字可能是“春”
伺	su6	
似	su6	
佃	taĩ7	
佃	tʰiaŋ5	
但	taŋ6	
但	taŋ5	
佈	pou3	白读
佈	pfu3	文读
位	ui7	
低	ti1	
住	tsu6	文读
住	tiu7	白读
佐	tso2	
佔	tsiam3	
何	ho5	文读
何	ua5	与“几”字合音成kua2，白读
余	u5	
佛	huk8	
作	tsak4	文读
作	tsoʔ4	白读
作	tso3	同“做”
佞	leŋ6	
你	lu2	
你	ni2	迷你，音译词
佩	pfue6	
佳	kia1	
使	sai2	
使	sai3	
侃	kʰaŋ2	
侄	tiak4	
來	lai5	
侈	tsʰi2	
例	li7	
侍	si6	白读
侍	su6	文读
供	kioŋ1	文读
供	keŋ1	白读
供	kioŋ3	供应，文读
供	keŋ3	供神，白读
依	hi1	
侮	bvu2	
侯	hou5	文读
侯	kau5	姓，白读
侵	tsʰim5	
侶	lu6	
便	piaŋ6	文读
便	pʰiaŋ1	文读
便	pʰĩ1	白读
便	paŋ5	便宜，老派音
便	piaŋ7	现成
係	hi6	
促	tsʰok4	
俄	ŋo5	
俊	tsuŋ3	
俏	tsʰiau2	
俗	siok8	
俗	sok8	
俗	sioʔ8	俗气
俘	hu1	
保	po2	白读
保	pau2	老派文读
俟	su6	
俠	hiap8	
信	siŋ3	
信	siaŋ3	
修	siu1	
俯	hu2	
俯	hu6	
俱	ku6	
俸	hoŋ6	
俾	pi2	
倉	tsʰaŋ1	文读
倉	tsʰŋ1	白读
個	kai5	
個	ko3	个人
個	kou3	个月
倍	pfue6	
倒	to2	白读
倒	to3	白读
倒	tau2	文读
倒	tau3	文读
倔	kuk8	
倘	tʰaŋ2	
候	hau7	
借	tsioʔ4	
借	tsia6	借口
倡	tsʰiaŋ3	
倦	kuaŋ6	
倪	ɡoi7	姓，白读
倪	ŋi5	文读
