#漢字	音標	解釋
䉪	luj3	一種捕魚工具、深䉪，地名
庠	tsʰuŋ2	
度	tou4	度量衡
度	tuk8	量度
座	tsu4	
庫	fu1	
庭	heɪŋ2	
庵	ŋɐm3	茶庵
庶	si1	
康	huŋ1	
庸	joʊŋ2	
廁	si1	
廂	sjuŋ1	
廈	hᴀ4	
廉	lim2	
廊	luŋ2	
廓	kʰwɐk7	
廖	liw4	
廚	tsʰi2	
廚	tsʰuj2	
廝	si1	
廟	miw4	
廠	tsʰuŋ3	
廢	fei1	
廣	kwɐŋ3	
廩	lɐm2	
廬	lou2	
廳	hɛŋ1	
延	jᴀn2	
廷	heɪŋ2	
建	kin1	
廿	jᴀ4	
廿	jɪᴀ4	
弄	noʊŋ4	
弇	jᴀm3	
弊	pei4	
式	seɪk6	
弓	koʊŋ1	
弔	tiw1	
引	jɐn3	
弗	fɐt6	
弘	wɐŋ2	
弛	tsʰi2	
弟	tei4	
弦	jᴀn2	
弧	wu2	
弩	nou2	
弱	jjuk8	
張	tsjuŋ1	
強	kjuŋ4	倔強
強	kʰjuŋ1	勉強
強	kʰjuŋ2	強壯
彆	pit7	
彈	tᴀn4	彈丸
彈	hᴀn2	彈劾
彌	mei2	
彌	nei2	
彎	wᴀn1	
彗	wei4	
彙	wuj4	
形	jeɪŋ2	
彤	hoʊŋ2	
彥	jᴀn4	
彩	tsʰuj3	
彪	piw1	
彬	pɐn1	
彭	pʰɐŋ2	
彰	tsjuŋ1	
影	jɛŋ3	人影
影	jeɪŋ3	
彷	fɐŋ3	
彷	pʰuŋ2	
役	jeɪk8	
彼	pei3	
彿	fɐt6	
往	wɐŋ2	
征	tseɪŋ1	
待	tuj4	
很	hɐn3	
徉	jjuŋ2	
徊	wuj2	
律	lɐt8	效率
後	hou4	
徐	tsʰuj2	
徑	keɪŋ1	
徒	hou2	
得	tɐk6	
得	tɐk7	得知隨
徘	pʰuj2	
徙	sᴀj3	
徜	sjuŋ2	
從	tsʰoʊŋ2	
從	soʊŋ1	
從	tsoʊŋ4	
御	ji4	
徨	wɐŋ2	
復	foʊk8	復原
復	foʊk6	回復
循	tsʰɐn2	
徬	pʰuŋ2	彷徨
微	mei2	
徵	tsi3	古代五音之一
徵	tseɪŋ1	徵求
德	tɐk6	
徹	tsʰit7	
徽	fei1	
心	sɐm1	
必	pit6	
忌	kei4	
忍	jɐn3	
忐	hᴀn3	
忑	heɪk6	
忒	heɪk6	
忖	tsʰɐn3	
志	tsi1	
忘	muŋ2	
忙	muŋ2	
忠	tsoʊŋ1	
忡	tsʰoʊŋ1	
忪	soʊŋ1	惺忪
忪	tsoʊŋ1	怔忪
快	fᴀj1	
忱	sɐm2	
念	nim4	
忽	fɐt6	
忿	fɐn4	
怎	tsɐm3	
怒	nou4	
怔	tseɪŋ1	
怕	pʰᴀ1	
怖	pou1	
思	si1	
思	suj1	于思
怠	tuj4	
怡	ji2	
急	kɐp6	
性	seɪŋ1	
怨	jᴀn1	
怪	kwᴀj1	
怯	hip7	
怵	tsɐt6	
恁	jɐm4	
恁	neɪŋ2	
恃	tsʰi1	
恆	hɐŋ2	
恍	fɐŋ3	
恐	hoʊŋ3	
恕	si1	
恢	fuj1	
恣	tsi1	恣意
恤	sɐt6	
恥	tsʰi3	
恨	hɐn4	
恩	jɐn1	
恬	him2	
恭	koʊŋ1	
息	seɪk6	
恰	hɐp6	
恿	joʊŋ3	
悄	tsʰiw3	
悅	jᴀt8	
悉	seɪk6	
悍	hun4	
悔	fuj1	
悖	puj1	
悖	puj4	
悚	soʊŋ3	
悟	m̍4	
悠	jou2	
患	wᴀn4	
您	nei1	
悱	fei3	
悲	pei1	
悴	suj4	
悵	tsʰjuŋ1	
悶	mun4	
悸	kwei1	
悼	tᴀw4	
悽	tsʰei1	
情	tsʰɛŋ2	情願
情	tsʰeɪŋ2	
惆	tsʰu2	
惋	wun3	
惑	wɐk8	
惕	heɪk6	
惘	muŋ3	
惚	fɐt6	
惜	tsʰɛk7	疼愛
惜	sɛk7	疼愛
惜	seɪk6	
惟	wei2	
惠	wei4	
惡	ŋuk6	
惡	ŋuk7	惡毒
惡	wu1	可惡
惦	tim1	
惰	tu4	
惱	nᴀw3	
想	sjuŋ3	
惴	tsuj1	
惶	wɐŋ2	
惹	jɪᴀ3	
惺	seɪŋ1	
惻	tsʰɐk7	
愁	sou2	
愈	ji4	
愉	ji2	
意	ji1	
愕	ŋuk8	
愚	ji2	
愛	ŋuj1	
愜	hip7	
感	kɐm3	
愣	leɪŋ4	
愧	kʰwei1	
愴	tsʰuŋ1	
愾	kʰuj1	
慄	lɐt8	
慈	tsʰi2	
態	hᴀj1	
慌	fɐŋ1	
慎	sɐn4	
慕	mou4	
慘	tsʰᴀm3	
慚	tsʰᴀm2	
慢	mᴀn4	
慣	kwᴀn1	
慧	wei4	
慨	kʰuj1	
慫	soʊŋ3	
慮	luj4	
慰	wei1	
慶	heɪŋ1	
慷	huŋ3	
慾	joʊk8	
憂	jou1	
憊	pei4	
憎	tsɐŋ1	
憐	lin2	
憑	pʰɐŋ2	
憔	tsʰiw2	
憚	tᴀn4	
憤	fɐn4	
憧	tsʰoʊŋ3	
憨	hɐm1	
憩	hei1	
憫	mɐn1	
憫	mɐn3	
憬	keɪŋ3	
憲	hin1	
憶	jeɪk6	
憾	hɐm4	
懂	toʊŋ3	
懇	hɐn3	
懈	hᴀj4	
應	jeɪŋ1	
懊	ŋᴀw1	
懍	lɐm2	
懦	nu4	
懲	tsʰeɪŋ2	
懵	moʊŋ3	
懶	lᴀn2	
懷	wᴀj2	
懸	jᴀn2	
懼	kuj4	
懾	sip7	
懿	ji1	
戀	lyn3	
戈	kwᴀ1	
戊	mou4	
戌	sɐt6	
成	sɛŋ2	
成	seɪŋ2	
我	ŋᴀj1	
我	ŋu1	
戒	kᴀj1	
戕	tsʰjuŋ2	
或	wɐk8	
戚	tsʰeɪk6	
截	tsit8	
戰	tsin1	
戲	hei1	
戳	tsʰuk7	
戴	tᴀj1	
戶	fu4	又音
戶	wu4	
戾	luj4	
房	fɐŋ2	
所	su3	
扁	pin3	扁平
扁	pʰin1	一葉扁舟
扇	sin1	
扈	wu4	
扉	fei1	
手	su3	
才	tsʰuj2	
扎	tsᴀt7	
扒	pʰᴀ3	扒飯
扒	pʰᴀ2	豬扒
打	tᴀ3	
扔	weɪŋ1	
托	huk7	
扛	kuŋ1	
扣	kʰou1	
扭	now3	
扮	pᴀn4	
扯	tsʰi3	
扯	tsʰɪᴀ3	
扶	fu2	
批	pʰei1	
扼	ŋɐk6	
找	tsᴀw3	
承	seɪŋ2	
技	kei4	
抄	tsʰᴀw1	
抄	tsʰᴀw3	
抉	kʰyt7	
把	pᴀ3	
抑	jeɪk6	
抒	si1	
抓	tsᴀw3	
投	hou2	
抖	tou3	
抗	kʰuŋ1	
折	sit8	折本
折	tsɪᴀt1	語氣助詞
折	tsit7	
披	pʰei1	
抬	huj2	
抱	pʰᴀw1	擁抱
抱	pʰᴀw3	抱住
抵	tei3	
抹	mᴀt7	抹檯
抹	mut7	
押	ŋᴀt7	
抽	tsʰu1	
拂	fɐt6	
拄	tsi3	
拆	tsʰɐk7	
拇	mou2	
拈	nim1	拈花惹草
拈	nim3	拈線
拉	lᴀj1	
拋	pʰiw1	
拌	pun4	
拍	pʰɐk7	
拎	leɪŋ1	
拐	kwᴀj3	
拑	kʰim2	
拒	kʰuj1	
拓	tᴀp8	拓本
拓	huk7	
拔	pɐt8	
拖	hu1	
拘	kʰuj1	
拙	tsyt7	骨折
拚	pʰun1	
招	tsiw1	
拜	pᴀj1	
括	kʰut7	
拭	seɪk6	
拮	kit7	
拯	tsʰeɪŋ3	
拱	koʊŋ3	
拳	kʰyn2	
拴	tsʰyn2	
拴	sᴀn1	
拷	hiw1	
拼	pʰeɪŋ1	
拾	sɐp8	
拿	nᴀ2	
持	tsʰi2	
指	tsi3	
按	ŋun1	
挑	hᴀw1	挑達
挑	hiw1	挑水
挖	wᴀt7	
挨	ŋᴀj2	
挪	nu2	
挫	tsʰu1	
振	tsɐn1	
挺	heɪŋ1	
挽	wᴀn1	
挾	hip7	
捆	kʰwɐn3	
捉	tsoʊk6	
捉	tsuk6	
捌	pit7	
捏	nip8	
捐	kyn1	
捕	pou4	
捧	pʰoʊŋ3	
捨	sɪᴀ3	
捩	lei4	
捩	lit8	捩手
据	kuj1	
捱	ŋᴀj2	
捲	kyn3	
捷	tsit8	
捺	nᴀt8	
掀	hin1	
掃	sᴀw1	
掄	lɐn2	
授	su4	
掉	tiw4	
掌	tsjuŋ3	
掏	hᴀw2	
掐	hᴀp7	
排	pʰᴀj2	
掘	kwɐt8	
掙	tsɐŋ1	掙脫
掙	tsɐŋ4	掙錢
掛	kwᴀ1	
掛	kʰwᴀ1	
掠	ljuk8	
採	tsʰuj3	
探	hᴀm1	
掣	tsei1	
接	tsip7	
控	hoʊŋ1	
推	huj1	
掩	jᴀm3	
措	tsʰou1	
掬	koʊk6	
揀	kᴀn3	
揆	kʰwei2	
揉	jou2	
揍	tsou1	
描	miw2	
提	hei2	
插	tsʰᴀp7	
揖	jɐp6	
揚	jjuŋ2	
換	wun4	
揠	ŋᴀt7	
握	ŋɐk6	
揣	tsʰyn3	
揪	tsɐu1	
揭	kʰit7	
揮	fei1	
援	wun2	
搆	kou1	
損	sɐn3	
搏	puk7	
搓	tsʰu1	
搔	sᴀw1	
搖	jᴀw2	
搗	tᴀw3	
搜	sou3	
搞	kiw3	
搥	tsʰuj2	
搧	sin1	
搬	pun1	
搭	tᴀp7	
搶	tsʰjuŋ1	
搶	tsʰjuŋ3	
摀	wu3	
摆	pᴀj3	
摒	peɪŋ3	
摔	sɐt6	
摘	tsɐk8	
摟	low3	
摟	lou2	摟抱
摧	tsʰuj1	
摩	mu1	
摯	tsi1	
摳	kʰou1	
摸	mu3	
摹	mou2	
摺	tsip7	
摻	tsʰᴀm1	
撅	kʰyt7	
撇	pʰit7	
撈	lᴀw2	
撐	tsʰɐŋ1	
撒	sᴀt7	
撓	nᴀw2	
撕	si1	
撞	tsuŋ4	
撢	tᴀn4	雞毛撢子
撤	tsʰit7	
撥	put8	
撩	liw3	撩開
撩	liw2	撩動
撫	fu3	
播	pu1	
撮	tsʰut7	
撰	tsᴀn4	
撲	pʰuk7	
撼	hɐm4	
撿	kim3	
擁	joʊŋ3	
擂	luj2	
擄	lou1	
擅	sin4	
擇	tsɐk8	
擊	keɪk6	
擋	tuŋ1	摒擋
擋	tuŋ3	阻擋
操	tsʰᴀw1	
擎	kʰeɪŋ2	
擒	kʰɐm2	
擔	tᴀm1	
據	kuj1	
擠	tsei1	
擢	tsuk8	
擣	tᴀw3	
擤	sɐŋ1	
擦	tsʰᴀt7	
擬	ji2	
擱	kuk7	
擲	tsɐk8	
擴	kʰwɐŋ1	
擺	pᴀj3	
擻	sou1	擻火
擻	sou3	抖擻
擾	jᴀw3	
攀	pʰᴀn1	
攏	loʊŋ2	
攔	lᴀn2	
攘	jjuŋ2	攘除
攘	jjuŋ2	擾攘
攙	tsʰᴀm1	參加
攜	kʰwei2	
攝	sip7	
攤	hᴀn1	
攪	kiw3	
攬	lᴀm3	
攬	lᴀm2	
支	tsi1	
收	su1	
攸	jou2	
改	kuj3	
攻	koʊŋ1	
放	fɐŋ1	
政	tseɪŋ1	
故	ku1	
效	hiw4	
敏	mɐn1	
救	kɐu1	
敕	tsʰeɪk6	
敖	ŋᴀw2	
敗	pᴀj4	
敘	tsuj4	
教	kiw1	教室
敝	pei4	
敞	tsʰuŋ3	
敢	kɐm3	
散	sᴀn1	散文
散	sᴀn3	散步
敦	tɐn1	
敬	kɛŋ1	敬惜
敬	keɪŋ1	尊敬
敲	hiw1	
整	tseɪŋ3	
敵	teɪk8	
敷	fu1	
數	sou1	數字
數	sou3	數一下
數	suk7	數見不鮮
斂	lim1	
斃	pei4	跛腳
文	mɐn2	
斐	fei3	
斑	pᴀn1	
斕	lᴀn2	
斗	tou3	
料	liw4	
斛	foʊk8	
斜	tsʰɪᴀ2	
斟	tsɐm1	
斤	kɐn1	
斥	tsʰeɪk6	
斧	fu3	
斬	tsᴀm3	
斯	si1	
新	sɐn1	
斷	tun4	診斷
斷	tun4	恩斷義絕
斷	hun1	斷咗
方	fɐŋ1	
於	ji1	
施	si1	
旁	pʰuŋ2	
旅	luj2	
旋	syn2	
旋	syn4	
族	tsoʊk8	
旗	kʰei2	
既	kei1	
日	jɐt8	
旦	tᴀn1	
旨	tsi3	
早	tsᴀw3	
旬	tsʰɐn2	
旭	joʊk6	
旱	hun4	
旺	wɐŋ4	
昂	ŋuŋ2	
昆	kʰwɐn1	
昇	seɪŋ1	
昌	tsʰjuŋ1	
明	meɪŋ2	
昏	fɐn1	
易	ji4	容易
易	jeɪk8	交易
昔	seɪk6	
星	seɪŋ1	
映	jɛŋ3	放映
映	jeɪŋ3	
春	tsʰɐn1	
昧	muj4	
昨	tsuk8	
昭	tsʰiw1	
是	si4	
昱	joʊk6	
晁	tsʰiw2	
時	si2	
晃	fɐŋ3	
晉	tsɐn1	
晌	hjuŋ3	
晏	ŋᴀn1	
曬	sᴀj1	
晚	mᴀn2	
晝	tsu1	
晤	m̍4	
晦	fuj1	
晨	sɐn2	
普	pʰou3	
景	keɪŋ3	
晰	seɪk6	
晴	tsʰɛŋ2	晴水
晴	tsʰeɪŋ2	
晶	tseɪŋ1	
晷	kwei3	
智	tsi1	
晾	luŋ4	
暄	hyn1	
暇	hᴀ4	
暈	wɐn2	頭暈
暈	wɐn4	日暈
暉	fei1	
暑	si3	
暖	nun1	
暗	ŋɐm1	
暢	tsʰjuŋ1	
暨	kʰei1	
暫	tsᴀm4	
暮	mou4	
暱	nᴀt7	暱埋，躲藏
暱	neɪk6	
暱	neɪk6	暱名
暴	pᴀw4	凶暴
暴	poʊk8	一暴十寒
曆	leɪk8	
曉	hiw3	
曙	si1	
曜	jᴀw4	
曝	poʊk8	
曠	kʰwɐŋ1	
曦	hei1	
曰	jᴀt8	
曰	jjuk7	
曲	kʰoʊk6	
曳	jᴀj4	
更	kɐŋ1	
書	si1	
曹	tsʰᴀw2	
曼	mᴀn4	
曾	tsʰɐŋ2	曾經
曾	tsɐŋ1	曾孫
替	hei1	
最	tsuj1	
會	wuj2	會游泳
會	wuj4	會計
月	jᴀt8	
月	jᴀt9	
有	jiw2	
有	jou4	十有一
朋	pʰɐŋ2	
服	foʊk8	
朔	suk7	
朕	tsɐm4	
朗	luŋ2	
望	muŋ4	
朝	tsʰiw2	朝廷
朝	tsɪᴀw2	朝早
朝	tsiw1	朝夕
期	kei1	期年
期	kʰei2	日期
朦	moʊŋ2	
朧	loʊŋ2	
木	moʊk8	
未	mei4	
末	mut8	
本	pun3	
札	tsᴀt7	
朮	sɐt8	
朱	tsi1	
朵	tu3	
朽	now3	
杆	kun1	
杉	tsʰᴀm1	
李	lei3	
杏	hɐŋ4	
材	tsʰuj2	
村	tsʰɐn1	
村	tsʰɐn4	
杖	tsjuŋ4	
杜	tou4	
杞	kei3	
束	tsʰoʊk6	
杭	huŋ2	
杯	puj1	
杰	kit8	
東	toʊŋ1	
杳	miw1	
杵	tsʰi1	
杷	pʰᴀ2	
杼	tsʰi1	
松	tsʰoʊŋ2	
板	pᴀn3	
枇	pʰei2	
枉	wɐŋ3	
析	seɪk6	
枒	ŋᴀ2	
枕	tsɐm1	枕戈待旦
枕	tsɐm3	枕頭
林	lɐm2	
枚	muj2	
果	kwᴀ3	
枝	tsi1	
枯	fu1	
枳	tsi3	
枴	kwᴀj3	
架	kᴀ1	
枷	kᴀ1	
枸	kou3	
柄	pɛŋ1	
柄	peɪŋ3	
柏	pʰɐk6	柏樹
柏	pʰɐk7	
某	mou1	
柑	kɐm1	
柒	tsʰɐt6	
染	jᴀm1	
柔	jou2	
柚	jou4	
柢	tei3	
查	tsʰᴀ2	檢查
查	tsᴀ1	姓查
柯	fu1	
柯	kʰu1	
柯	ŋu1	
柱	tsʰi1	
柳	low2	
柴	tsʰᴀj2	
柵	tsʰɐk7	木柵
柵	sᴀn1	柵極
柿	si3	柿餅
柿	si3	
柿	si2	
栓	sᴀn1	
栗	lɐt8	
校	kiw1	校對
校	hiw4	學校
栩	huj3	
株	tsi1	
核	hɐt8	
核	wɐt2	
核	wɐt8	
根	kɐn1	
格	kɐk9	
格	kɐk7	
栽	tsuj1	
桂	kwei1	
桃	hᴀw2	
桅	wei2	
框	huŋ1	
案	ŋun1	
桌	tsʰjuk7	
桐	hoʊŋ2	
桑	suŋ1	
桓	wun2	
桔	kɐt6	桔梗
桔	kʰit7	桔柣
桕	kʰɐu1	
桶	hoʊŋ3	
桿	kun1	
梁	ljuŋ2	
梅	muj2	
梓	tsi3	
梗	kɐŋ3	
梗	kwɐŋ3	
條	hiw2	
梢	sᴀw1	
梧	m̍2	
梨	lei2	
梭	su1	
梯	hei1	
械	hᴀj4	
梳	su1	
梵	fᴀn2	
棄	hei1	
棉	min2	
棋	kʰei2	
棍	kwɐn1	
棒	pʰɐŋ2	
棕	tsoʊŋ1	
棗	tsᴀw3	
棘	keɪk6	
棚	pʰɐŋ2	
棟	toʊŋ4	
棠	huŋ2	
棧	tsᴀn4	
森	sɐm1	
棲	tsʰei1	
棵	fu3	
棺	kun1	
椅	ji3	
植	tseɪk8	
椎	tsʰuj2	鐵椎
椎	tsuj1	脊椎
椏	ŋᴀ1	
椒	tsiw1	
椰	jɪᴀ2	
楊	jjuŋ2	
楓	foʊŋ1	
楔	sit7	
楚	tsʰu3	
楞	leɪŋ2	楞角
楞	leɪŋ4	發楞
楠	nᴀm2	
楣	mei2	
楨	tseɪŋ1	
業	jᴀp8	
極	keɪk8	
楷	kᴀj1	楷書
楷	kʰᴀj3	楷模
概	kʰuj1	
榆	ji2	
榔	luŋ2	
榕	joʊŋ2	
榜	puŋ3	
榨	tsᴀ1	
榭	tsɪᴀ4	
榮	weɪŋ2	
榴	low2	
榻	hᴀp7	
構	kʰou1	
槌	tsʰuj2	
槍	tsʰjuŋ1	
槎	tsʰᴀ2	
槐	wᴀj2	
槓	kuŋ1	
槳	tsjuŋ3	
槽	tsʰᴀw2	
槿	kɐn3	
樁	tsuŋ1	
樂	luk8	快樂
樂	ŋᴀw4	仁者樂山
樂	ŋuk8	音樂
樅	tsoʊŋ1	
樊	fᴀn2	
樓	lou2	
標	piw1	
樞	si1	
樟	tsjuŋ1	
模	mou2	
樣	jjuŋ4	
樵	tsʰiw2	
樸	pʰuk7	
樹	si4	
樺	wᴀ2	
橄	kᴀm1	
橋	kʰiw2	
橘	kɐt6	
橙	tsʰɐŋ2	
橛	kit8	兩橛
橛	kʰit7	木橛子
機	kei1	
橡	tsjuŋ4	
橢	hu1	
橫	wɐŋ2	
檀	hᴀn2	
檔	tuŋ1	拍檔
檔	tuŋ3	檔案
檜	kʰuj3	
檢	kim3	
檬	moʊŋ1	
檯	huj2	
檳	pɐn1	
檸	neɪŋ2	
檻	lᴀm4	
櫃	kwei4	
櫓	lou1	
櫚	luj2	
櫛	tsit7	
櫥	tsʰi2	
櫥	tsʰuj2	
櫸	kuj3	
櫻	jeɪŋ1	
欄	lᴀn2	
權	kʰyn2	
欖	lᴀm3	
欖	lᴀm2	
欠	him1	
次	si1	
欣	jɐn1	
欲	joʊk8	
欸	ʔᴀj3	
欺	hei1	
欽	jɐm1	
款	fun3	
歇	hit7	
歉	him1	
歌	ku1	
歎	hᴀn1	
歐	ŋou1	
歡	fun1	
止	tsi3	
正	tsɛŋ1	好正
正	tseɪŋ1	正月
此	tsʰi3	
步	pou4	
武	mou2	
歧	kʰei2	
歪	wᴀj1	
歲	suj1	
歷	leɪk8	
歸	kwei1	
歹	tᴀj3	
死	sei3	
殃	jjuŋ1	
殆	tuj4	
殉	sɐn1	
殊	si2	
殖	tseɪk8	
殘	tsʰᴀn2	
殫	tᴀn1	
殮	lim4	
段	tun4	
殷	jɐn1	
殺	sᴀj1	殺哀
殺	sᴀt7	殺敵
殼	huk7	
殿	tin4	
毀	wei3	
毅	ŋei4	
毋	mou2	
母	mou3	
母	mou2	
每	muj1	
每	muj3	
每	muj2	
毒	toʊk8	
比	pei3	被動
毛	mᴀw2	
毫	hᴀw2	
毬	kʰɐu2	
毯	hᴀn3	
毽	kin1	
氈	tsin1	
氏	si4	姓氏
氏	tsi1	月氏
民	mɐn2	
氛	fɐn1	
氣	hei1	
氧	jjuŋ2	
氫	heɪŋ1	
氯	loʊk8	
水	suj3	
永	weɪŋ2	
氾	fᴀn4	
汀	heɪŋ1	
汁	tsɐp6	
求	kʰɐu2	
汐	tseɪk8	
汗	hun2	可汗
汗	hun4	流汗
汙	wu1	
汝	ji1	
江	kuŋ1	
池	tsʰi2	
污	wu1	
汪	wɐŋ1	
汰	hᴀj1	
汲	kɐp8	
汲	kʰɐp8	
汲	kʰɐp6	
汴	pin4	
決	kʰyt7	
汽	hei1	
沁	sɐm1	
沃	joʊk6	
沈	sɐm3	
沉	tsʰɐm2	
沌	tɐn4	
沏	tsʰei1	
沐	moʊk8	
沒	mut8	
沓	tᴀp8	
沖	tsʰoʊŋ1	
沙	sᴀ1	
沛	pʰuj1	
沫	mut8	
沮	tsuj1	沮水，水名
沮	tsuj1	沮洳
沮	tsuj3	沮喪
沱	hu2	
河	hu2	
沸	fei1	
油	jou2	
治	tsi4	
沼	tsiw3	
沽	ku1	
沾	tsim1	
沿	jᴀn2	
況	fɐŋ1	
泄	sit7	
泉	tsʰyn2	
泊	puk8	
泌	pei1	
法	fᴀt6	
法	fᴀt7	
泛	fᴀn4	
泡	pʰᴀw1	好多泡
泡	pʰiw1	燈泡
泡	pʰiw1	浸泡
波	pu1	
泣	jɐp6	
泥	nei2	
泥	nei4	泥土
注	tsi1	
泰	hᴀj1	
泳	weɪŋ4	
洄	wuj2	
洋	jjuŋ2	
洗	sᴀj3	
洛	luk7	
洞	toʊŋ4	
津	tsɐn1	
洩	jᴀj4	洩洩
洩	sit7	排洩
洪	hoʊŋ2	
洱	nei3	拘泥
洱	nei4	
洲	tsu1	
洶	hoʊŋ1	
活	wut8	
洽	hɐp6	
派	pʰᴀj1	
派	pʰᴀj3	老派新派
流	low2	
浙	tsit7	
浞	tsuk8	
浣	wun3	
浦	pʰou3	
浩	hᴀw4	
浪	luŋ2	滄浪
浪	luŋ4	波浪
浪	nuŋ4	
浪	nuŋ4	波浪（又音）
浮	fou2	
浴	joʊk8	
海	huj3	
浸	tsɐm1	
浹	tsip7	
涂	hou2	
涇	keɪŋ1	
消	siw1	
涉	sip7	
涓	kyn1	
涔	sɐm2	
涕	hei1	
涯	ŋᴀj2	
液	jeɪk8	無射
涴	jᴀn1	
涵	hᴀm2	
涸	kʰuk7	
涼	ljuŋ2	
淅	seɪk6	
淆	ŋᴀw2	
淇	kʰei2	
淋	lɐm2	
淌	huŋ3	
淑	soʊk8	
淒	tsʰei1	
淘	hᴀw2	
淙	tsoʊŋ1	
淚	luj4	
淡	tᴀm4	冷淡
淡	hᴀm1	好淡
淨	tsɛŋ4	
淨	tseɪŋ4	
淪	lɐn2	
淫	jɐm2	
淬	suj4	
淮	wᴀj2	
深	sɐm1	
淳	sɐn2	
淵	jᴀn1	
混	wɐn4	
淹	jᴀm1	
淺	tsʰin3	
添	him1	
清	tsʰɛŋ1	水清
清	tsʰeɪŋ1	
渙	wun4	
減	kim3	
渝	ji2	
渠	kʰuj2	
渡	tou4	
渣	tsᴀ1	
渤	put8	
渥	ŋɐk6	
渦	kwᴀ1	渦河
渦	wᴀ1	漩渦
測	tsʰɐk7	
渭	wei4	
港	kʰuŋ3	
渲	syn1	
渴	hut7	
游	jou2	
渺	miw2	
渾	wɐn2	渾人，雄渾
渾	wɐn4	
湃	pᴀj1	
湊	tsʰou1	
湍	tsʰun3	
湖	wu2	
湘	sjuŋ1	
湛	tsᴀm1	
湧	joʊŋ3	
湯	huŋ1	
湲	wun2	
溉	kʰuj1	
源	jᴀn2	
準	tsɐn3	
溜	low4	
溝	kʰou1	
溢	jɐt8	
溪	kʰei1	
溫	wɐn1	
溯	sou1	
溶	joʊŋ2	
溺	neɪk8	溺死
溺	niw4	便溺
溼	sɐp6	
滂	pʰuŋ2	
滄	tsʰuŋ1	
滅	mit8	
滋	tsi1	
滌	teɪk8	
滑	kwɐt6	滑稽
滑	wit8	光滑
滔	hᴀw1	
滬	wu4	
滯	tsei4	
滲	sɐm1	
滴	tɛk7	滴水
滴	teɪk8	
滷	lou1	
滸	wu3	
滾	kwɐn3	
滿	mun3	
漁	ji2	
漂	pʰiw1	
漆	tsʰɐt6	
漉	loʊk6	
漏	lou4	
漓	lei2	
演	jᴀn3	
漠	muk8	
漢	hun1	
漣	lin2	
漩	sin2	
漪	ji1	
漫	mᴀn4	
漬	tsi1	
漱	sou1	
漲	tsjuŋ1	
漳	tsjuŋ1	
漸	tsim1	漸車帷裳
漸	tsim4	逐漸
漾	jjuŋ4	
漿	tsjuŋ1	
潁	weɪŋ4	
潑	pʰut7	
潔	kit6	
潔	kit7	
潘	pʰun1	
潛	tsʰim2	
潢	wɐŋ2	
潤	jɐn4	
潦	liw2	
潭	hᴀm2	
潮	tsʰɪᴀw2	地名
潮	tsʰiw2	
潰	kʰuj3	
潺	sᴀn2	
澀	sᴀp7	
澄	tsʰeɪŋ2	
澆	kiw1	
澈	tsʰit7	
澎	pʰɐŋ2	
澗	kᴀn1	
澗	kᴀn3	地名，石澗
澡	tsʰᴀw1	
澤	tsɐk8	
澱	tin4	
澳	ŋᴀw1	
澹	tᴀm4	
激	keɪk6	
濁	tsoʊk8	
濃	noʊŋ2	
濕	sɐp6	
濘	neɪŋ4	
濛	moʊŋ2	
濟	tsei1	救濟
濤	hᴀw2	
濫	lᴀm4	
濯	tsuk8	
濱	pɐn1	
濺	tsin1	濺濺
濺	tsin4	飛濺
濾	luj4	
瀆	toʊk8	
瀉	sɪᴀ1	
瀏	low2	
瀑	poʊk8	
瀕	pʰɐn2	
瀚	hun4	
瀝	lɛk8	大瀝，地名
瀝	lɛk7	瀝乾
瀝	leɪk8	瀝乾
瀟	siw1	
瀰	mei2	
瀰	nei2	
瀾	lᴀn2	
灌	kun1	
灑	sᴀ3	
灘	hᴀn1	
灣	wᴀn1	
灣	wᴀn2	南灣，地名
火	fu3	
灰	fuj1	
灶	tsᴀw1	
灸	kɐu1	
灼	tsjuk7	
災	tsuj1	
炊	tsʰuj1	
炎	jᴀm2	
炒	tsʰᴀw3	
炕	huŋ1	
炕	kʰuŋ1	
炙	tsɛk7	
炫	jᴀn2	
炬	kuj4	
炭	hᴀn1	
炮	pʰiw1	
炯	kweɪŋ3	
炳	peɪŋ3	
炸	tsᴀ1	
烈	lit8	
烊	jjuŋ2	
烏	wu1	
烘	hoʊŋ1	
烙	luk7	
烤	hiw1	
烯	hei1	
烷	jᴀn2	
烹	pʰɐŋ1	
烽	foʊŋ1	
焉	jᴀn1	焉知非福
焉	jᴀn2	心不在焉
焙	puj4	
焚	fɐn2	
無	mou2	
焦	tsiw1	
焰	jᴀm4	
然	jᴀn2	
煉	lin4	
煌	wɐŋ2	
煎	tsin1	
煒	wei3	
煒	wei2	
煙	jᴀn1	
煞	sᴀt7	
煤	muj2	
煥	wun4	
煦	huj3	
照	tsiw1	
煩	fᴀn2	
煮	tsi3	
煲	pᴀw1	
煽	sin1	
熄	seɪk6	
熊	hoʊŋ2	
熔	joʊŋ2	
熙	hei1	
熟	soʊk8	
熨	huŋ1	
熨	wɐt6	熨貼
熬	ŋᴀw2	
熱	jᴀt8	
熹	hei1	
熾	tsʰi1	
燃	jᴀn2	
燄	jᴀm4	
燈	tɐŋ1	
燉	tɐn4	
燎	liw2	
燒	siw1	
燕	jᴀn1	燕子
燙	huŋ1	
燜	mun4	
