#漢字	音標	解釋
□	ɛ0	应答声
冲	tʂʰɘŋ1	
决	tʂʯæ7	
况	kʰɞ̞ᵑ5	
冷	lan3	
凍	tɘŋ5	
淨	tɕʰin6	
準	tʂʯən3	
凉	ȵiɞ̞ᵑ2	
凌	ȵin2	
減	tɕian3	
湊	tsʰəu̜5	
凝	ȵin2	
几	tɕi3	
凡	fan2	
凭	pʰin2	
凱	kʰai3	
凳	tɛ̃5	
凶	ɕiɘŋ1	
出	tʂʰʯ7	
擊	tɕi7	
函	xan2	
刀	tɔ1	
刁	tiɔ1	
分	fən1	
切	tɕʰiæ7	
刈	i6	
刊	kʰan1	
刎	uən3	
刑	ɕin2	
划	xua5	
列	ȵiæ7	
劉	ȵiəu̜2	
則	tsæ7	
剛	kɞ̞ᵑ6	
創	tsʰɞ̞ᵑ5	
初	tsʰəu̜1	
刪	san1	
判	pʰɛ̃5	
刨	pʰɔ6	
利	ȵi6	
别	pʰiæ7	
刮	kua7	
到	tɔ5	
制	tʂʅ5	
刷	ʂʯa7	
券	tʂʰʯɛ̃5	
刺	tsʰɿ5	
刻	kʰæ7	
剁	tɯ5	
劑	tɕi5	
剃	tʰi5	
削	ɕiɯ7	
前	tɕʰieⁿ2	
剮	kua3	
劍	tɕieⁿ5	
剔	tʰi7	
剖	pʰɔ1	
剜	uɛⁿ1	
剝	pɯ7	
劇	tʂʯ5	
剩	ʂən6	
剪	tɕieⁿ3	
副	fu5	
割	kæ7	
剿	tɕiɔ3	
劈	pʰia7	
劐	xɯ7	
力	ȵi7	
勸	tʂʰʯɛ̃5	
功	kɘŋ1	
加	tɕia1	
務	u6	
劣	ȵiæ7	
動	tʰɘŋ6	
助	tsʰəu̜6	
努	ləu̜3	
劫	tɕiæ7	
勁	tɕin5	
勞	lɔ2	
勢	ʂʅ6	
勃	pɯ7	
勇	iɘŋ3	
勉	mieⁿ3	
勋	ʂʯən1	
勒	læ7	
勘	kʰan1	
勤	tɕʰin2	
勺	ʂai2	
勾	kəu̜1	
勿	u7	
勻	ʯən2	
包	pɔ1	
化	xua5	
北	pæ7	
匙	ʂʅ2	
匠	tɕʰiɞ̞ᵑ6	
匡	kʰɞ̞ᵑ1	
匣	ɕia2	
匪	fei3	
匹	pʰi7	一～布
區	tʂʰʯ1	
醫	i1	
匾	pieⁿ3	
匿	ȵi7	
十	ʂʅ5	
千	tɕʰieⁿ1	
升	ʂən1	
午	u3	
卉	xuei6	
半	pɛ̃5	
華	xua2	
華	xua6	～山
協	ɕiæ7	
卑	pei1	
卒	tsəu̜7	
卓	tsɯ7	
單	tan1	
賣	mai6	
南	lan2	
博	pɯ7	
卜	pʰu7	
占	tʂɛ̃5	
卡	tɕʰia3	
盧	ləu̜2	
卤	ləu̜3	
卦	kua5	
衛	uei6	
卯	mɔ3	
印	in5	
危	uei1	
即	tɕi7	
卻	tɕʰiɯ7	
卵	lan3	
卷	tʂʯɛ̃5	
卸	ɕiɛ6	
卿	tɕʰin1	
廠	tʂʰɞ̞ᵑ3	
廳	tʰin1	
历	ȵi7	
厲	ȵi6	
壓	ia7	
厭	ieⁿ6	
廁	tsʰæ7	
厘	ȵi2	
厚	xai6	
原	ʐʯɛ̃2	
廂	ɕiɞ̞ᵑ1	
厥	tʂʯæ7	
廚	tʂʰʯ2	
厮	sɿ1	
去	tɕʰi5	
参	tsʰan1	～加
参	sɛ̃1	人～
参	tsʰən1	～差
又	iəu̜6	
叉	tsʰa1	
及	tɕi7	
友	iəu̜3	
雙	sɞ̞ᵑ1	
反	fan3	
发	fa7	
叔	ʂəu̜7	
取	tɕʰi3	
受	ʂəu̜6	
變	pieⁿ5	
敘	ɕi6	
叛	pʰan6	
叟	səu̜3	
疊	tiæ7	
口	kʰəu̜3	～头作文
口	tɕʰiɔ3	
古	ku3	
句	tʂʯ5	
另	ȵin6	
叨	tɔ1	
叩	kʰɯ7	
只	tʂʅ3	
只	tʂa7	
召	tʂai1	
可	kʰɯ3	
台	tʰai2	
史	sɿ3	
右	iəu̜6	
葉	iæ7	
號	xɔ6	
司	sɿ1	
嘆	tʰan5	
吁	ʯ1	
吃	tɕʰiæ7	
各	kɯ7	
吆	iɔ1	
合	xɯ5	
吉	tɕi7	
同	tʰɘŋ2	
名	mian2	
后	xai6	
吏	ȵi6	
吐	tʰəu̜3	～痰
吐	tʰəu̜5	呕～
向	ɕiɞ̞ᵑ6	
吕	ȵi3	
君	tʂʯən1	
吝	ȵin6	
吞	tʰən1	
吟	in2	
吠	fei5	
含	xan2	
听	tʰian5	
启	tɕʰi3	
吴	u2	
吵	tsʰɔ3	
吸	ɕi7	
吹	tʂʰʯ1	
吻	uən3	
吼	xəu̜3	
吾	u2	
呀	ia1	
呆	tai1	
呈	tʂʰən2	
告	kɔ5	
嘔	ŋəu̜3	作～
員	ʐʯɛ̃2	
周	tʂəu̜1	
味	uei6	
呼	xu1	
和	xɯ2	
咎	tɕʰiəu̜6	
咏	iɘŋ3	
咒	tʂəu̜3	
咨	tsɿ1	
咬	ŋɔ3	
咳	kʰæ7	
咸	xan2	
咸	ɕian2	
哀	ŋai1	
品	pʰin3	
哄	xʯəŋ3	
哈	xa3	～达
響	ɕiɞ̞ᵑ3	
啞	ŋa3	
噦	lɯ1	
哥	kɯ1	
哪	la3	
哭	kʰu7	
哲	tʂæ7	
哽	kən3	
唆	sɯ1	
脣	tʂʰʯən2	
唐	tʰɞ̞ᵑ2	
嘮	lɔ1	
喚	xuɛⁿ6	
售	ʂəu̜6	
唯	uei2	
唱	tʂʰɞ̞ᵑ5	
唾	tʰɯ7	
啄	tsɯ7	
商	ʂɞ̞ᵑ1	
啦	la1	
嗇	sæ7	
啼	tʰi2	
善	ʂɛ̃6	
喇	la3	
喇	la7	
喉	xai2	
喊	xan3	
喘	tʂʰʯɛ̃3	
喜	ɕi3	
喝	xɯ7	～酒；～彩
喧	ʂʯɛ̃1	
噴	pʰən1	～水
喻	ʯ6	
嗅	ɕiəu̜6	
嗓	sɞ̞ᵑ3	
嗜	ʂʅ6	
嗣	sɿ6	
嗤	tʂʰʅ1	
嗽	səu̜5	咳～
嘈	tsʰɔ2	
嘉	tɕia1	
噓	ʂʯ1	
囑	tʂəu̜7	
嘴	tɕi3	
噎	iæ7	
器	tɕʰi5	
噩	ŋɯ7	
噪	tsɔ5	
嚇	xa7	～一跳
囂	ɕiɔ1	
嚷	ʐɞ̞ᵑ3	
嚼	tɕiɯ7	
囊	lɞ̞ᵑ2	
囚	tɕʰiəu̜2	
四	sɿ5	
回	xuei2	
因	in1	
团	tʰɛ̃1	
囤	tʰən2	
囥	kʰɞ̞ᵑ5	
困	kʰuən5	
囱	tsʰɘŋ1	
圍	uei2	
固	ku3	
國	kuæ7	
圖	tʰəu̜2	
圓	ʐʯɛ̃2	
圈	tʂʰʯɛ̃1	
圈	tʂʰʯɛ̃6	猪～
土	tʰəu̜3	
聖	ʂən6	
在	tsʰai6	
圬	u1	
圭	kuei1	
地	tʰi6	～球
地	tʰia6	～里
場	tʂʰɞ̞ᵑ3	
址	tʂʅ3	
均	tʂʯən1	
坍	tʰan1	
坎	kʰan3	
壞	xuai6	
坐	tsʰɯ6	
坑	kʰən1	
塊	kʰuai3	
堅	tɕieⁿ1	
壩	pa5	
墜	tʂʯei5	
坡	pʰɯ1	
坦	tʰan3	
坪	pʰian1	
坯	pʰi1	
坳	ŋɔ6	
垂	tʂʰʯei2	
壟	lɘŋ3	
型	ɕin2	
垒	ȵi3	
垛	tʰɯ6	
墾	kʰən3	
墊	tʰieⁿ6	
垮	kʰua3	
埂	kən3	
埃	ŋai1	
埋	mai2	
城	tʂʰən2	
域	ʯ7	
埠	pʰu6	商～
埯	ŋan1	坑淹
培	pʰi2	
堂	tʰɞ̞ᵑ2	
堆	ti1	
堡	pɔ3	
堤	ti1	
堪	kʰan1	
堵	təu̜3	
塌	tʰa7	
塍	ʂən2	
塑	sɯ7	
塔	tʰa7	
塘	tʰɞ̞ᵑ2	
塞	sæ7	
填	tʰieⁿ2	
境	tɕʰin6	
墓	mɯ6	
牆	tɕʰiɞ̞ᵑ2	
增	tsən1	
墟	ʂʯ1	
墨	mæ7	
墩	tən1	
壁	pi7	
壁	pia7	
壇	tʰan2	
壕	xɔ2	
壤	ʐɞ̞ᵑ3	
士	sɿ6	
壬	ʐən2	
壯	tsɞ̞ᵑ1	
聲	ʂan1	
殼	kʰɯ7	
壺	xu2	
處	tʂʰʯ3	
備	pʰi6	
复	fu7	
夏	ɕia6	
夕	ɕi7	
外	uai6	
多	tɯ1	
夜	ia6	
够	kəu̜5	
大	tʰai6	
天	tʰieⁿ1	
太	tʰai5	
夫	fu1	
央	iɞ̞ᵑ1	
夯	xɞ̞ᵑ1	
失	ʂʅ7	
夷	i2	
夸	kʰua1	
夾	ka7	～嘚
奪	tʰɯ7	
奇	tɕʰi2	
奈	lai6	
奉	fɘŋ6	
奮	fən5	
奎	kʰuei2	
奏	tsəu̜5	
契	tɕʰi5	
奔	pən1	～跑
奔	pən5	～头
獎	tɕiɞ̞ᵑ3	
套	tʰɔ5	
奠	tʰieⁿ6	
奢	ʂɛ1	～侈
奢	tʂʰʅ3	
奧	ŋɔ6	
女	ʯ3	
奴	ləu̜2	
奶	lai3	
奸	tɕian1	
她	tʰa1	
好	xɔ3	～坏
好	xɔ6	喜～
如	ʐʯ2	
妃	fei1	
妄	uɞ̞ᵑ6	
婦	fu5	
媽	ma1	
妓	tɕi5	
妖	iɔ1	
妗	tɕin1	
妙	miɔ6	
妥	tʰɯ3	
妨	fɞ̞ᵑ2	
妹	mi6	
妻	tɕʰi1	
妾	tɕʰiæ7	
姊	tsɿ3	
始	ʂʅ3	
姐	tɕiɛ3	
姑	ku1	
姓	ʐən2	
姓	ɕin5	
姓	ɕia6	
委	uei3	
姘	pʰieⁿ2	
姚	iɔ2	
姜	tɕiɞ̞ᵑ1	
姨	i2	
姻	in1	
姿	tsɿ1	
威	uei1	
嬌	tɕiɔ1	
娘	ȵiɞ̞ᵑ2	
娠	tʂʰən2	
娩	mieⁿ3	
娛	ʯ2	
媧	ua1	
娶	tɕʰi3	
婆	pʰɯ2	
婊	piɔ3	
婚	xuən1	
婢	pʰi6	
嬰	in1	
嬸	ʂən3	
婿	ɕi6	
媒	mi2	
媚	mi6	
媳	ɕi7	
嫁	tɕia5	
嫂	sɔ3	
嫌	ɕieⁿ2	
嫖	pʰiɔ2	
嫡	ti7	
嫩	lən6	
嬉	ɕi1	
孀	sɞ̞ᵑ1	
子	tsɿ3	
孔	kʰɘŋ3	
孕	ʯən6	
