#漢字	音標	解釋
□	ɛ0	应答声
捲	tʂʯɛ̃3	～起
捷	tɕiæ7	
捺	la7	
掀	ɕieⁿ1	
掂	tieⁿ1	
掇	tieⁿ1	
掇	tɯ7	拾～，两手～起
授	ʂəu̜6	
掉	tiɔ5	
掌	tʂɞ̞ᵑ3	
掏	tʰɔ1	
掐	tɕʰia7	
排	pʰai2	
掘	tʂʯæ7	
掠	ȵiɯ7	
採	tsʰai3	
探	tʰan5	
接	tɕiæ7	
控	kʯəŋ5	
推	tʰi1	
掩	ieⁿ3	
措	tsʰɯ5	
掮	tɕʰieⁿ2	
掰	pai1	
撣	tan3	
摻	tsʰan1	
揉	ʐəu̜2	
描	miɔ2	
提	tʰi2	
插	tsʰa7	
揖	tɕi7	
揞	ŋɛ̃5	
握	ɯ7	
揣	tʂʰʯai3	
揩	kʰai1	
揭	tɕiæ7	
援	ʐʯɛ̃2	
攬	lan3	
擱	kɯ7	
摟	ləu̜3	
攪	tɕiɔ3	
搓	tsʰɯ1	
搛	kan3	
搜	səu̜1	
搞	kɔ3	
搡	sɞ̞ᵑ3	
搧	ʂɛ̃5	
搬	pɛ̃1	
搭	ta7	
搽	tsʰa2	
攝	ʂæ7	
摆	pai3	
摇	iɔ2	
攤	tʰan1	
摘	tsa7	～苹果
摞	lɯ6	
摩	mɯ2	
摸	mɯ1	
摹	mɯ2	
摺	tʂæ7	
撇	pʰiæ7	
撑	tsʰən1	
撒	sa3	～水
撕	sɿ1	
撙	tsən1	
撞	tsʰɞ̞ᵑ6	
撤	tʂʰæ7	
撩	ȵiɔ1	撩起來
撮	tsʰɯ7	
攆	ȵieⁿ3	
擼	ləu̜3	
撼	xan6	
擀	kɛ̃3	
操	tsʰɔ1	
擎	tɕʰin2	
擒	tɕʰin2	
擦	tsʰa7	
攀	pʰan1	
攢	tsan3	
攘	ʐɞ̞ᵑ3	
支	tʂa7	
收	ʂəu̜1	
改	kai3	
攻	kɘŋ1	
放	fɞ̞ᵑ5	
政	tʂən6	
故	ku3	
效	ɕiɔ6	
敵	tʰi7	
敏	min3	
救	tɕiəu̜5	
教	tɕiɔ1	～书
教	tɕiɔ5	
斂	ȵieⁿ3	
敢	kɛ̃3	
散	san3	鞋带～了
散	san5	分～
敦	tən1	
敬	tɕin5	
數	səu̜3	动词
數	səu̜5	～字
敲	kʰɔ1	
整	tʂən3	
敷	fu1	
斃	pʰi6	
文	uən2	
斑	pan1	
斗	tai3	
斗	təu̜5	
料	ȵiɔ6	
斜	ɕia2	
斟	tʂən1	
斤	tɕin1	
斥	tʂʰʅ7	
斧	fu3	
斬	tsan3	
斷	tʰɛ̃6	
斯	sɿ1	
新	ɕin1	
方	fɞ̞ᵑ1	
施	ʂʅ1	
旁	pʰɞ̞ᵑ2	
旅	ȵi3	
旋	ɕieⁿ2	
族	tsəu̜7	
旗	tɕʰi2	
无	u2	
既	tɕi5	
日	ɭ̩7	
旦	tan5	
舊	tɕʰiəu̜6	
旨	tʂʅ3	
早	tsɔ3	
旬	ʂʯən2	
旱	xɛ̃6	
時	tʂʰən3	
旺	uɞ̞ᵑ6	
昂	ŋɞ̞ᵑ2	
昆	kʰuən1	
昌	tʂʰɞ̞ᵑ1	
明	mian7	
昏	xuən1	
易	lan2	
易	i6	
昔	ɕi7	
星	ɕian1	
映	in6	
春	tʂʰʯən1	
昧	mi6	
昨	tsʰɯ7	
昭	tʂai1	
是	ʂʅ6	
晝	tʂəu̜3	
顯	ɕieⁿ3	
時	ʂʅ2	
晃	xɞ̞ᵑ6	
晉	tɕin5	
晌	ʂɞ̞ᵑ5	
晏	ŋan5	晚也
曬	sai5	
曉	ɕiɔ3	
暈	ʯən1	
晚	uan3	
晦	xuei6	
晨	tʂʰən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰian2	
智	tʂʅ5	
暫	tsan5	
暇	ɕia2	
暑	ʂʯ3	
暖	lan3	
暗	ŋɛ̃5	
暴	pʰɔ6	
曝	pʰu7	
曩	lɞ̞ᵑ2	
曰	ʯæ7	
曲	tʂʰʯ7	
更	kən1	
更	kən5	
曹	tsʰɔ2	
曾	tsən1	姓～
替	tʰi5	
最	tɕi5	
月	ʯæ7	
有	iəu̜3	
服	fu7	
朔	sɯ7	
朗	lɞ̞ᵑ3	
望	uɞ̞ᵑ6	
朝	tʂai1	今～
朝	tʂʰai2	～代
期	tɕʰi1	
木	mɯ7	
未	uei6	
末	mæ7	
本	pən3	
札	tsa7	
术	ʂʯ6	
朱	tʂʯ1	
朴	pʰu7	
朵	tɯ3	
機	tɕi1	
朽	ɕiəu̜3	
殺	sa7	
雜	tsʰa5	
權	tsʰa1	
權	tʂʰʯɛ̃2	
杉	san1	
李	ȵi3	
杏	ɕin6	
材	tsʰai2	
村	tsʰən1	
杖	tʂɞ̞ᵑ5	
杜	tʰəu̜6	
杞	tɕʰi3	
束	ʂəu̜7	
杠	kɞ̞ᵑ5	
條	tʰiɔ2	
來	lai2	
楊	iɞ̞ᵑ2	
杭	xɞ̞ᵑ2	
杯	pei1	
杰	tɕiæ7	
杳	iɔ3	
杴	ɕieⁿ1	
杵	tʂʰʯ3	
杷	pʰa2	
松	sɘŋ1	
板	pan3	
極	tɕi7	
構	kəu̜5	
枇	pʰi2	
枉	uɞ̞ᵑ3	
析	ɕi7	
枕	tʂən3	
林	ȵin2	
枚	mi2	
果	kɯ3	
枝	tʂʅ1	
樅	tsʰɘŋ2	
樞	ʂʯ1	
棗	tsɔ3	
槍	tɕʰiɞ̞ᵑ1	
楓	fɘŋ1	
枯	kʰu1	
架	tɕia5	
柄	pin3	
柏	pæ7	
某	mɔ3	
柑	kɛ̃1	
染	ʐʯɛ̃3	
柔	ʐəu̜2	
柚	iəu̜6	
櫃	kʰuei6	
查	tsʰa2	
柩	tɕʰiəu̜6	
柱	tʂʰʯ6	
柳	ȵiəu̜3	
柴	tsʰai2	
柴	tʰɯ6	
柺	kuai3	
柿	sɿ6	
梔	tʂʅ1	
棧	tsan5	
棟	tɘŋ5	
樹	tʂʰʯən1	
樹	ʂʯ6	
栗	ȵi7	
校	ɕiɔ6	学～
株	tʂʯ1	
樣	iɞ̞ᵑ6	
核	xæ7	
根	kən1	
格	kæ7	
栽	tsai1	
栿	fu7	～梁
桂	kuei5	
桃	tʰɔ2	
桅	uei2	
案	ŋɛ̃5	
桌	tsɯ7	
桐	tʰɘŋ2	
桑	sɞ̞ᵑ1	
桑	ʂən6	
桓	xuɛⁿ2	
椏	ŋa1	
橈	ʐai2	
檔	tɞ̞ᵑ3	
橋	tɕʰiɔ2	
槳	tɕiɞ̞ᵑ3	
樁	tsɞ̞ᵑ1	
桶	tʰɘŋ3	
桿	kɛ̃1	
梁	ȵiɞ̞ᵑ2	
梁	pæ7	
梅	mi2	
梓	tsɿ3	
梗	kɛ̃3	
梢	sɔ1	
夢	mɘŋ6	
梧	u2	
梨	ȵi2	
梭	sɯ1	
梯	tʰi1	
械	kai5	
梳	səu̜1	
檢	tɕieⁿ3	
棉	mieⁿ2	
棋	tɕʰi2	
棍	kuən5	
棒	pɞ̞ᵑ5	
棕	tsɘŋ1	
棚	pʰɘŋ2	
棠	tʰɞ̞ᵑ2	
森	sən1	
棵	kʰɯ1	
棺	kuɛⁿ1	
椅	i3	
植	tʂʰʅ7	
椒	tɕiɔ1	
椴	tʰɛ̃6	
椽	ʐʯɛ̃2	
椿	tʂʰʯən1	
楔	ɕiæ7	
楚	tsʰəu̜3	
楞	lən6	
楣	mi2	
楦	ʂʯɛ̃1	鞋楦
楷	kai1	
楷	kʰai3	
樓	lai2	
概	kʰai5	
欖	lan3	
榆	ʯ2	
榛	tʂən1	
榜	pɞ̞ᵑ3	
榨	tsa5	
榫	sən3	
榴	ȵiəu̜3	
榻	tʰa7	
槌	tʂʰʯ2	
槐	xuai2	
檳	pin1	
槽	tsʰɔ2	
標	piɔ1	
樟	tʂɞ̞ᵑ1	
模	mɯ2	
橫	xuən2	
橫	xən6	
櫻	in1	
樵	tɕʰiɔ2	
橄	kɛ̃3	
橘	tʂʯ7	
橙	tʂʰən2	
橛	tʂʯæ7	
橢	tʰɯ3	
檀	tʰan2	
檐	ieⁿ2	
檁	ȵin3	
欛	pa5	
欠	tɕʰieⁿ5	
次	tsʰɿ5	
歡	xuɛⁿ1	
欣	ɕin1	
歐	ŋəu̜1	
欲	ʯ7	
欺	tɕʰi1	
款	kʰuɛⁿ3	
歇	ɕiæ7	
歉	tɕʰieⁿ5	
歌	kɯ1	
止	tʂʅ3	
正	tʂən1	
正	tʂən6	
此	ʯ2	
此	tsʰɿ3	
步	pʰu6	
武	u3	
歪	uai1	
歹	tai3	
死	sɿ3	
殃	iɞ̞ᵑ1	
殆	tʰai6	
殉	ʂʯən6	
殊	ʂʯ1	
殘	tsʰan2	
殮	ȵieⁿ3	
殖	tʂʰʅ7	
殯	pin6	
毆	ŋəu̜1	
段	tʰɛ̃6	
殷	in1	
殿	tʰieⁿ6	
毁	xuei3	
毅	i6	
母	mɯ3	
每	mi3	
毒	tʰəu̜5	
比	pi3	
畢	pi7	
毛	mɔ2	
毫	xɔ2	
毯	tʰan3	
氏	ʂʅ6	
民	min2	
气	tɕʰi5	
水	ʂʯ3	
永	iɘŋ3	
氽	tsʰɛ̃1	
汁	tʂʅ7	
求	tɕʰiəu̜2	
汇	xuei6	
漢	xɛ̃6	
汗	xɛ̃6	
汝	ʐʯ2	
汞	kɘŋ3	
江	tɕiɞ̞ᵑ1	
池	tʂʰʅ2	
污	u1	
湯	tʰɞ̞ᵑ1	
汪	uɞ̞ᵑ1	一～水
汴	pʰieⁿ6	
汽	tɕʰi5	
汾	fən2	
沂	tɕʰi2	
沃	ɯ7	
沈	ʂən3	
沉	tʂʰən2	
沓	tʰa7	
沙	sa1	
沛	pʰi6	
沒	mɯ7	沉没
漚	ŋəu̜1	
淪	lən2	
滬	xu6	
沫	mæ7	
沱	pʰɞ̞ᵑ1	
河	xɯ2	
油	iəu̜2	
治	tʂʰʅ6	
沼	tʂai3	
沾	tʂɛ̃1	
沿	ieⁿ2	
泄	ɕiɛ6	
泅	tɕʰiəu̜2	
泉	tɕʰieⁿ2	
泊	pɯ7	
泊	pæ7	
泌	mi7	
泔	kɛ̃1	
法	fa7	
泛	fan6	
泡	pʰɔ5	
波	pɯ1	
泣	tɕʰi7	
泥	ȵi2	
注	tʂʰʯ6	
淚	ȵi6	
泰	tʰai5	
泳	iɘŋ3	
泵	pɘŋ5	
瀉	ɕiɛ6	
潑	pʰæ7	
澤	tsʰæ7	
涇	tɕin1	
潔	tɕiæ7	
洇	in1	
洋	iɞ̞ᵑ2	
洒	sa3	
洗	ɕi3	
洛	lɯ7	
洞	tʰɘŋ6	
津	tɕin1	
洪	xɘŋ2	
洲	tʂəu̜1	
活	xuæ5	
洽	tɕʰia7	
派	pʰai5	
流	ȵiəu̜2	
淺	tɕʰieⁿ3	
澆	tɕiɔ1	
濁	tʂɯ7	
測	tsʰæ7	
濟	tɕi5	
渾	xuən2	
滸	xu3	
濃	lɘŋ2	
浙	tʂæ7	
浜	pin1	
浦	pʰu3	
浩	xɔ6	
浪	lɞ̞ᵑ6	
浮	fu2	
浴	ʯ6	
海	xai3	
浸	tɕin5	
消	ɕiɔ1	
涉	ʂæ7	
涎	ɕieⁿ2	
涕	tʰi7	
濤	tʰɔ1	
澇	lɔ6	
渙	xuɛⁿ6	
潤	ʐʯən6	
澗	tɕian5	
漲	tʂɞ̞ᵑ3	
澀	sæ7	
涮	ʂʯɛ̃5	
涯	ia2	
液	iæ7	
淆	ɕiɔ2	
淋	ȵin2	
淑	ʂəu̜7	
淘	tʰɔ2	
淡	tʰan6	
淤	ʯ2	
淫	in2	
淮	xuai2	
深	ʂən1	
混	xuən6	
添	tʰieⁿ1	
清	tɕʰian1	
淵	ʐʯɛ̃1	
漸	tɕʰieⁿ6	
澠	mieⁿ3	
漁	ʯ2	
滲	ʂən6	
渠	tʂʰʯ2	
渡	tʰəu̜6	
渣	tsa1	
溫	uən1	
港	kɞ̞ᵑ3	
渴	kʰɯ7	
游	iəu̜2	
渺	miɔ3	
湖	xu2	
湘	ɕiɞ̞ᵑ1	
湧	iɘŋ3	
灣	uan1	
溼	ʂʅ7	
潰	kʰuei5	
濺	tɕʰieⁿ6	
溉	kai5	
源	ʐʯɛ̃2	
溪	ɕi1	
溺	ȵi7	
溻	tʰa7	
滂	pʰɞ̞ᵑ1	
滋	tsɿ1	
滑	xua2	
滓	tsɿ3	
滔	tʰɔ1	
滕	tʰən2	
滾	kuən3	
滯	tʂʅ5	
滿	man6	水～出去了
濾	ȵi6	
濫	lan6	
灘	tʰan1	
滴	ti7	
漂	pʰiɔ1	～起来
漂	pʰiɔ5	～亮
漆	tɕʰi7	
漉	ləu̜7	
漏	ləu̜6	
演	ieⁿ3	
漫	man6	
漱	səu̜5	～口
潘	pʰɛ̃1	
潭	tʰan2	
潮	tʂʰai2	
潲	sɔ5	
澄	tʂʰən2	
澄	tʂʰən2	～清
澡	tsɔ3	
激	tɕi7	
濬	tʂʯən5	～河
瀑	pʰu7	
灌	kuɛⁿ5	
火	xɯ3	
滅	miæ7	
燈	tɛ̃1	
灰	xuei1	
靈	ȵin2	
灸	tɕiəu̜3	
災	tsai1	
燦	tsʰan5	
爐	ləu̜2	
炊	tʂʰʯei1	
炎	ieⁿ2	
炒	tsʰɔ3	
炕	kʰɞ̞ᵑ5	
炙	tʂa7	～火
炭	tʰan5	
炮	pʰɔ5	
炸	tsa5	
點	tieⁿ3	
炼	ȵieⁿ6	
爍	ʂɯ7	
爛	lan6	
烈	ȵiæ7	
烊	iɞ̞ᵑ6	
烘	xɘŋ1	
烘	xʯəŋ1	
烙	lɯ7	
燭	tʂəu̜7	
烟	ieⁿ1	
烤	kʰɔ3	
煩	fan2	
燒	ʂai1	
燙	tʰɞ̞ᵑ5	
熱	ʐʯæ7	
烹	pʰɘŋ1	
焉	ieⁿ1	
焊	xɛ̃6	
焚	fən2	
焦	tɕiɔ1	
焯	tʂʰɯ7	
焰	ieⁿ6	
然	ʐʯɛ̃2	
煎	tɕieⁿ1	
煤	mi2	
照	tʂai5	
煨	uei1	
煮	tʂʯ3	
熄	ɕi7	
熊	ɕiɘŋ2	
熏	ʂʯən1	
熙	ɕi1	
熟	ʂəu̜5	
熨	ʯən6	
熬	ŋɔ2	
燃	ʐʯɛ̃2	
燎	ȵiɔ6	火燎眉毛
燕	ieⁿ1	～京
燕	ieⁿ3	～子
爆	pɔ5	
爪	tsɔ3	鸡～
爪	tʂʯa3	
爬	pʰa2	
愛	ŋai5	
爵	tɕiɯ7	
父	fu6	
爺	ia2	
爸	pa7	
爹	tia1	
爽	sɞ̞ᵑ3	
片	pʰieⁿ5	
版	pan3	
牌	pʰai2	
牘	tʰəu̜7	
牒	tiæ7	
牙	ŋa2	～齿
牛	ȵiɘŋ2	
牡	mɔ3	
牢	lɔ2	
牧	mɯ7	
物	u7	
牯	ku3	
牲	sɛ̃1	
牽	tɕʰieⁿ1	
牸	tsʰɿ6	
犀	ɕi1	
犢	tʰəu̜7	
犍	tɕieⁿ5	
犍	tɕʰieⁿ6	
犒	kʰɔ5	
犬	tʂʰʯɛ̃3	
犯	fan6	
狀	tsʰɞ̞ᵑ6	
猶	iəu̜2	
狂	kʰɞ̞ᵑ2	
狄	tʰi7	
狗	tɕiɔ3	
狡	tɕiɔ3	
獨	tʰəu̜7	
狹	ɕia7	
獅	ʂʅ1	
獄	ʯ7	
狸	ȵi2	
狼	lɞ̞ᵑ2	
獵	ȵiæ7	
猛	mɘŋ3	
猜	tsʰai1	
猝	tsʰəu̜7	
貓	mɔ1	
獻	ɕieⁿ6	
猴	xai2	
猾	xua2	
獒	ŋɔ2	
玄	ɕieⁿ2	
率	ʂʯai5	
率	ȵi7	
玉	ʯ7	
王	uɞ̞ᵑ2	
玩	uan2	
環	xuan2	
現	ɕieⁿ6	
玻	pɯ1	
珊	san1	
珍	tʂən1	
瓏	lɘŋ2	
珠	tʂʯ1	
班	pan1	
球	tɕʰiəu̜2	
理	ȵi3	
琉	ȵiəu̜2	
瑣	sɯ3	
琢	tsɯ7	
琴	tɕʰin2	
琵	pʰi2	
琶	pʰa2	
瓊	tɕʰiɘŋ2	
瓊	tʂʰʯən2	
瑕	ɕia2	
瑞	ʐʯei6	
瑟	sæ7	
璃	ȵi2	
璧	pi7	
瓜	kua1	
瓠	xu6	
瓢	pʰiɔ2	
瓤	ʐɞ̞ᵑ2	
瓦	ua3	
瓶	pʰin2	
瓷	tsʰɿ2	
甕	ʯəŋ3	
甘	kɛ̃1	
甚	ʂən6	
甜	tʰieⁿ2	
生	san1	
甥	sɛ̃1	
用	iɘŋ6	
甫	fu3	
甬	iɘŋ3	
田	ʂən2	
田	tʰieⁿ2	
由	iəu̜2	
甲	ka7	大指～
甲	tɕia7	
申	ʂən1	
電	tʰieⁿ6	
男	lan2	
畫	xua6	
暢	tʂʰɞ̞ᵑ5	
界	kai5	
畏	uei6	
畏	tɕʰiæ7	
留	ȵiəu̜2	
畜	tʂʰəu̜7	
畜	ɕiəu̜7	畜牧
略	ȵiɯ7	
畦	tɕʰi2	
番	fan1	
疆	tɕiɞ̞ᵑ1	
疏	səu̜1	
疑	i2	
療	ȵiɔ2	
疝	san1	
瘧	iɯ7	
瘍	iɞ̞ᵑ2	
疤	pa1	
疥	kai5	
疫	i7	
瘡	tsʰɞ̞ᵑ1	
瘋	fɘŋ1	
疲	pʰi2	
疵	tsʰɿ2	
疹	tʂən3	
疼	tʰən2	
疾	tɕi7	
痂	tɕia1	
病	pʰian1	
症	tʂan3	
痒	iɞ̞ᵑ3	
痔	tʂʰʅ6	
痕	xən2	
痛	tʰɘŋ5	
痢	ȵi6	
痣	tʂʅ5	
痰	tʰan2	
痱	fei5	
痳	ma2	
癡	tʂʰʅ1	
痹	pʰi6	
瘟	uən1	
瘦	səu̜5	
瘩	ta7	
瘴	tʂɞ̞ᵑ5	
瘸	tʂʰʯɛ2	
癩	lai6	
癬	ɕieⁿ3	
癸	kʰuei2	
登	tɛ̃1	
白	pʰɛ5	
百	pæ7	
皂	tsʰɔ6	
的	ti1	
的	ti7	目～
皆	kai1	
皇	xɞ̞ᵑ2	
皓	xɔ6	
皖	uɛⁿ3	
皮	pʰi2	
皴	tsʰən1	脸～
皿	min3	
盂	ʯ2	
盅	tʂɘŋ1	
盆	pʰən2	
盈	in2	
益	i7	
盎	ŋɞ̞ᵑ6	
盞	tsan3	
鹽	ieⁿ2	
監	tɕian1	
盒	xɯ5	
盔	kʰuei1	
盖	kai5	
盜	tʰɔ6	
盛	ʂan2	～满了
盛	ʂən6	～典
盟	mɘŋ2	
目	mɯ7	
盲	mɞ̞ᵑ2	
直	tʂʰʅ2	
相	ɕiɞ̞ᵑ5	
盼	pʰan6	
盾	tən5	
省	sən3	
眉	mi2	
看	kʰɛ̃5	看～
真	tʂən1	
眠	mieⁿ2	
眨	tsa7	
眶	kʰɞ̞ᵑ1	
眷	tʂʯɛ̃5	
眼	ŋan3	
着	tʂɯ7	
睜	tsan1	
睛	tɕian1	
睡	tʂʰʯei2	
督	təu̜7	
睬	tsʰai3	
瞄	miɔ1	
瞎	xa7	1，～眼
瞒	man2	
瞧	tɕʰiɔ2	
瞪	tən1	
瞭	ȵiɔ6	
瞳	tʰɘŋ2	
瞻	tʂɛ̃1	
瞿	tʂʰʯ2	
矛	mɔ2	
矢	ʂʅ3	
矣	i3	
知	tʂʅ1	
矩	tʂʯ3	
矯	tɕiɔ3	
矬	tsʰɯ5	
短	tɛ̃3	
矮	ŋai3	
石	ʂai5	
礦	kʰɞ̞ᵑ5	
碼	ma3	
砂	sa1	
砌	tɕʰi5	
砍	kʰan3	
研	ieⁿ2	
磚	tʂʯɛ̃1	
硯	ieⁿ6	
破	pʰɯ5	
硃	tʂʯ1	
碩	ʂɯ7	
硝	ɕiɔ1	
硫	ȵiəu̜2	
硬	ŋan6	
確	tɕʰiɯ7	
礙	ŋai6	
碎	ɕi5	
碑	pei1	
碓	ti5	
碗	uɛⁿ3	
碟	tiæ7	
碧	pi7	
碾	ȵieⁿ3	
磁	tsʰɿ2	
磕	kʰɯ7	
磨	mɯ2	磨～
磨	mɯ6	～嘚
磬	tɕʰin6	
礓	tɕiɞ̞ᵑ1	
示	ʂʅ6	
禮	ȵi3	
社	ʂɛ6	
祀	sɿ6	
祁	tɕʰi3	
祈	tɕʰi3	
祖	tsəu̜3	
祝	tʂəu̜7	
神	ʂən2	
祠	tsʰɿ2	
祥	ɕiɞ̞ᵑ2	
票	pʰiɔ5	
祭	tɕi5	
禱	tɔ3	
禍	xɯ6	
禀	pin3	
禁	tɕin1	
禁	tɕin5	
禄	ləu̜7	
禪	tʂʰɛ̃2	
福	fu7	
禹	ʯ3	
离	ȵi2	
禽	tɕʰin2	
禾	xɯ2	
秀	ɕiəu̜5	
私	sɿ1	
禿	tʰəu̜7	
秉	pin3	
秋	tɕʰiəu̜1	
種	tʂɘŋ3	
種	tʂɘŋ5	
科	kʰɯ1	
秒	miɔ3	
秘	mi7	
租	tsəu̜1	
秤	tʂʰən5	一杆～
秦	tɕʰin2	
秧	iɞ̞ᵑ1	
秩	tʂʰʅ7	
秫	ʂʯ7	
稱	tʂʰən1	～呼
稱	tʂʰən5	相～
移	i2	
稀	ɕi1	
稈	kɛ̃1	
程	tʂʰən2	
稍	sɔ1	
稅	ʂʯei5	
稗	pʰai6	
稠	tʂʰəu̜2	
穩	uən3	
稻	tʰɔ6	
稼	tɕia5	
稽	tɕi6	
稿	kɔ3	
穆	mɯ7	
穴	ɕiæ7	
究	tɕiəu̜1	
窮	tɕʰiɘŋ2	
空	kɘŋ1	
空	kʯəŋ1	
穿	tʂʰʯɛ̃1	
突	tʰəu̜7	
窄	tsa7	
窑	iɔ2	
窖	kɔ5	
窗	tsʰɞ̞ᵑ1	
窘	tɕiɘŋ3	
竄	tsʰɛ̃1	
窩	ɯ1	
窟	kʰu1	
窠	kʰɯ1	
窺	kʰuei1	
立	ȵi7	
站	tsan5	
競	tɕin5	
竟	tɕin5	
章	tʂɞ̞ᵑ1	
童	tʰɘŋ2	
端	tɛ̃1	
竹	tʂəu̜7	
竿	kɛ̃1	
笋	sən3	
笑	ɕiɔ5	
笔	pi7	
笙	sɛ̃1	
笛	tʰi7	
笠	ȵi7	
符	fu2	
笨	pʰən6	
第	tʰi6	
箋	tɕʰieⁿ1	
籠	lɘŋ2	蒸～
籠	lɘŋ3	～罩
等	tɛ̃3	
筋	tɕin1	
筏	fa2	
筐	kʰɞ̞ᵑ1	
筑	tʂəu̜7	
筒	tʰɘŋ3	
答	ta7	
策	tsʰæ7	
篩	sai1	
箏	tsan1	
筵	ieⁿ6	
筷	kʰuai3	
籌	tʂʰəu̜2	
签	tɕʰieⁿ1	
簡	tɕian3	
箅	pʰi6	
箍	ku1	
管	kuɛⁿ3	
籮	lɯ2	
簫	ɕiɔ1	
箭	tɕieⁿ5	
箱	ɕiɞ̞ᵑ1	
篅	tʂʰʯɛ̃2	
篆	tʂʯɛ̃5	
篇	pʰieⁿ1	
簍	ləu̜3	
篙	kɔ1	
篡	tsʰɛ̃5	
篦	pʰi6	
籃	lan2	
篱	ȵi2	
篷	pʰɘŋ2	
篾	miæ7	
簧	xɞ̞ᵑ2	
簪	tsan1	
簰	pʰai2	
簸	pɯ5	
籍	tɕi7	
籰	xɯ7	
米	mi3	
类	ȵi6	
粉	fən3	
粑	pa1	
粒	ȵi7	
粗	tsʰəu̜1	
粘	tʂɛ̃1	
粤	ʯæ7	
粥	tʂəu̜7	
糞	fən5	
糧	ȵiɞ̞ᵑ2	
粱	ȵiɞ̞ᵑ2	
粳	kən1	
粹	tsʰei5	
糉	tsɘŋ5	
精	tɕian1	
糕	kɔ1	
糖	tʰɞ̞ᵑ2	
糗	tɕʰiəu̜3	
糙	tsʰɔ1	
糜	mi2	
糟	tsɔ1	
糠	kʰɞ̞ᵑ1	
糯	lɯ6	
系	ɕi6	
素	səu̜5	
索	sɯ7	
緊	tɕin3	
紫	tsɿ3	
累	ȵi6	
絮	ɕi5	
縊	i6	
繁	fan2	
繫	tɕi5	～鞋带
糾	tɕiəu̜1	
紅	xɘŋ2	
紂	tʂʰəu̜6	
約	iɯ7	
紀	tɕi3	～律
紉	ʐən6	缝～
緯	uei3	
純	tʂʰʯən2	
紗	sa1	
綱	kɞ̞ᵑ6	
納	la7	
縱	tsɘŋ5	
紛	fən1	
紙	tʂʅ3	
紋	uən2	
紡	fɞ̞ᵑ3	
紐	ȵiəu̜3	
線	ɕieⁿ5	
練	ȵieⁿ6	
組	tsəu̜3	
細	ɕi5	
織	tʂʅ7	
終	tʂɘŋ1	
縐	tsəu̜1	
絆	pan5	
紹	ʂai6	
經	tɕin1	
綁	pɞ̞ᵑ3	
絨	ʐɘŋ2	
結	tɕiæ7	
繞	ʐai6	
繪	xuei6	
給	tɕi3	供～
絡	lɯ7	
絞	tɕiɔ3	
統	tʰɘŋ3	
絹	tʂʯɛ̃5	
繡	ɕiəu̜5	
繼	tɕi5	
績	tɕi7	
緒	ɕi6	
續	ɕiəu̜7	
綽	tʂʰɯ7	
繩	ʂən2	
維	uei2	
綿	mieⁿ2	
绷	pɘŋ1	
綢	tʂʰəu̜2	
綜	tsɘŋ1	
綠	ləu̜7	
綠	ȵiəu̜7	
綴	tʂʯei5	
緬	mieⁿ3	
纜	lan3	
緩	xuɛⁿ3	
編	pieⁿ1	
緣	ʐʯɛ̃2	
縛	fu6	
縛	fu7	
縫	fɘŋ2	
縫	fɘŋ6	
纏	tʂʰɛ̃2	
纓	in1	
縮	səu̜7	
繮	tɕiɞ̞ᵑ1	
繳	tɕiɔ3	
缸	kɞ̞ᵑ6	
缺	tʂʰʯæ7	
罐	kuɛⁿ5	
网	uɞ̞ᵑ3	
罔	uɞ̞ᵑ3	
罕	xɛ̃3	
羅	lɯ2	
罰	fa2	
罷	pa5	
罪	tɕʰi6	
置	tʂʅ5	
署	ʂʯ3	
羊	iɞ̞ᵑ2	
羌	tɕʰiɞ̞ᵑ1	
美	mi3	
羔	kɔ1	
羞	ɕiəu̜1	
羡	ɕieⁿ6	
羹	kən1	
羽	ʯ3	
翁	ʯəŋ1	
翅	tʂʰʅ5	
翎	ȵin2	
翠	tsʰei5	
翡	fei3	
翰	xɛ̃6	
翱	ŋɔ2	
翻	fan1	
翼	i6	
耀	iɔ6	
老	lɔ3	
考	kʰɔ3	
者	tʂɛ3	
而	ɭ̩2	
耍	ʂʯa3	
耐	lai6	
耕	kan1	
耗	xɔ6	
耙	pʰa5	
耳	ɭ̩3	
耶	iɛ1	
恥	tʂʰʅ3	
耽	tan1	
耿	kən3	
聶	ȵiæ7	
聊	ȵiɔ2	
職	tʂʅ7	
聯	ȵieⁿ2	
聘	pʰin5	
聚	tɕʰi6	
聰	tsʰɘŋ1	
肅	səu̜7	
肄	i6	
肆	sɿ5	
肉	ʐəu̜7	
肋	læ7	
肌	tɕi1	
肘	tʂəu̜3	
肚	tʰəu̜6	
肝	kɛ̃1	
肝	tʂʯən1	
腸	tʂʰɞ̞ᵑ2	
股	ku3	
肢	tʂʅ1	
肤	fu1	
肥	fei2	
肩	tɕieⁿ1	
肪	fɞ̞ᵑ2	
肫	tʂʯən1	
肯	kʰən3	
育	iəu̜7	
肴	iɔ2	
肺	fei5	
腎	ʂən6	
腫	tʂɘŋ3	
脹	tʂɞ̞ᵑ5	
脅	ɕiæ7	
胃	uei6	
膽	tan3	
背	pi5	～后
背	pʰi6	～诵
胎	tʰai1	
胖	pʰɞ̞ᵑ1	～头鱼
胖	pʰɞ̞ᵑ5	
胚	pʰi1	
胛	tɕia7	
勝	ʂən6	
胞	pɔ1	
胡	xu2	
