#漢字	音標	解釋
□	kʰa3	咳：咯痰
佑	iəu5	
體	tʰi3	
佔	tʂan5	
何	xo2	
佘	ʂɛ2	
余	y2	
佛	fu5	
作	tso5	
佞	ȵin5	
佩	pʰei5	
佳	tɕia1	
併	pin5	合～
使	ʂʅ3	
侄	tʂʅ2	
侈	tʂʰʅ3	
侉	kʰua3	
例	li6	
侍	sɿ5	
供	koŋ1	～不起
供	koŋ5	～养
依	i1	
僥	tɕiau3	～幸
偵	tʂən1	
側	tsʰɛ5	
僑	tɕiau2	
侮	vu3	
侯	xəu2	
侵	tɕin1	
便	pʰian2	～宜
便	pian6	方～
促	tsʰəu5	
俄	ŋo2	
俊	tɕyən5	
俏	tɕʰiau5	
俗	səu5	
俘	fu2	
保	pau3	
信	ɕin5	
儼	ian2	
儉	tɕian3	
修	ɕiəu1	
俯	fu3	
俱	tɕy1	
俸	xoŋ6	
俾	pi3	
倍	pei5	
倒	tau3	颠～
倒	tau5	～水
倔	tɕyɛ5	牌气～
倘	tʰaŋ3	
候	xəu6	
倚	i3	
借	tɕiɛ5	
倡	tʂʰaŋ5	
倦	tɕyan5	
倪	ȵi2	
倭	vo1	
債	tsai5	
值	tʂʅ5	
傾	tɕʰin3	
假	tɕia3	真～
假	tɕia5	放～
偏	pʰian1	
做	tsəu5	
停	tin2	
健	tɕian5	
偶	ŋəu3	配～；～然
偷	tʰəu1	
償	tʂaŋ2	
傀	kʰei3	～儡
傅	fu5	
儲	tɕy2	～备
催	tsʰei1	
傲	ŋau5	
傻	ʂa3	
像	ɕiaŋ5	
僧	sən1	
僵	tɕiaŋ1	
僻	pʰi5	
儒	y2	
儘	tɕin3	
儡	lei3	傀～
兒	ər2	
允	yən3	
元	yan2	
兄	ɕioŋ1	
充	tʂʰoŋ1	
兆	tʂau6	
兇	ɕioŋ1	～恶
先	ɕian1	
光	kuaŋ1	
克	kʰɛ5	
免	mian3	
兌	tei5	
兔	tʰəu5	
兖	ȵian3	
黨	taŋ3	
兜	təu1	
入	y5	
全	tɕyan2	
八	pa5	
公	koŋ1	
六	ləu5	
兮	ɕi1	
蘭	lan2	
關	kuan1	
興	ɕin1	～旺
興	ɕin5	～趣
兵	pin1	
其	tɕi1	
具	tɕy5	
典	tian3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕian1	
獸	ʂəu6	
冀	tɕi5	
內	lei5	～容
內	lei6	～外
冇	mau6	没有
岡	kaŋ1	
冉	ʐan3	
冊	tsʰɛ5	
再	tsai5	
冒	mau6	
寫	ɕiɛ3	
軍	tɕyən1	
農	loŋ2	
冠	kuan1	鸡～子
冠	kuan5	～军
冢	tʂoŋ3	
冤	yan1	
冬	toŋ1	
馮	xoŋ2	
冰	pin1	
冲	tʂʰoŋ1	
决	tɕyɛ5	
况	kʰuaŋ5	
冷	lən3	
凍	toŋ5	
淨	tɕin5	
準	tɕyən3	
凉	liaŋ2	
凌	lin2	
減	tɕian3	
湊	tsʰəu5	
凝	lin2	
凝	lin5	～固
几	tɕi3	茶～
凡	fan2	
鳳	xoŋ5	
凭	pin2	～空
凳	tən5	
凶	ɕioŋ1	吉～
擊	tɕi5	
函	xan2	
鑿	tso5	
刀	tau1	
刁	tiau1	
刃	ʐən6	
分	fən1	
切	tɕʰiɛ5	
刈	i5	
刎	vən3	
刑	ɕin2	
划	fa2	～船
划	xua5	
列	liɛ5	
劉	liəu2	
則	tsɛ5	
剛	kaŋ1	
創	tsʰaŋ3	
初	tsʰəu1	
刪	ʂan1	
判	pʰan5	
刨	pau2	拨弄
利	li6	
别	piɛ5	
刮	kua3	
刮	kua5	
到	tau5	
制	tʂʅ5	
刷	sa1	
刷	ɕya1	(又)
券	tɕʰyan5	
刺	tsʰɿ5	
刻	kʰɛ5	
劊	kuei5	
剁	to5	
劑	tɕi5	
剃	tʰi5	
削	ɕio5	
前	tɕian2	
劍	tɕian5	
剔	tʰi5	
剖	pʰo6	解～
剜	van1	
剝	po5	
劇	tɕy5	～烈；戏～
剩	ʂən5	
剪	tɕian3	
副	fu5	
割	ko5	
剿	tɕiau3	
劈	pi5	
力	li5	
勸	tɕʰyan5	
功	koŋ1	
加	tɕia1	
務	vu6	
劣	liɛ5	
動	toŋ6	
助	tsəu5	
努	ləu3	
劫	tɕiɛ5	
勵	li6	
勁	tɕin5	
勞	lau2	
勢	ʂʅ5	
勃	po5	
勇	ioŋ3	
勉	mian3	
勒	liɛ5	
勘	kʰan1	～探
募	mo5	
勤	tɕin2	
勳	ɕyən1	
勺	ʂo2	～子
勾	kəu1	
勾	kəu5	～当
勿	u5	
勻	yən1	
包	pau1	
匆	tsʰoŋ1	原文声调作214阴去，疑误
化	fa5	
北	piɛ5	
匙	ʂʅ1	
匠	tɕiaŋ6	
匣	ɕia5	
匪	fei3	
匯	fei5	～钱
匹	pi2	
區	tɕʰy1	～域
醫	i1	
匾	pian3	
匿	ȵi5	
十	ʂʅ5	
千	tɕʰian1	
升	ʂən1	
午	vu3	
半	pan5	
華	fa2	中～
華	fa5	姓
協	ɕiɛ5	
卑	pi1	
卒	tsəu5	
卓	tso5	
單	tan1	～独
單	ʂan5	姓
賣	mai6	
南	lan2	
博	po5	
卜	pu2	
占	tʂan1	～卜
盧	ləu2	
卦	kua5	
臥	o5	
衛	uei5	
卯	mau3	
印	in5	
危	vei2	
即	tɕi5	
卻	tɕʰio5	
卵	lan3	
卷	tɕyan5	
卸	ɕiɛ5	
卿	tɕʰin1	
廠	tʂʰaŋ3	
廳	tʰin1	
历	li5	
厲	li6	
壓	ŋa1	
厭	ian5	
廁	sɿ1	茅～
厚	xəu6	
原	yan2	
廂	ɕiaŋ1	
厥	tɕyɛ5	
厦	sa3	
廚	tɕʰy2	
去	tɕʰy5	
縣	ɕyan6	
参	tsʰan1	
参	tsʰən1	～差
参	sən1	人～
又	iəu6	
叉	tsʰa1	
及	tɕi5	
友	iəu3	
雙	saŋ1	
雙	saŋ5	～生
反	fan3	
叔	ʂəu5	
取	tɕʰy3	
受	ʂəu6	
變	pian5	
敘	ɕy5	
叛	pan5	
疊	tiɛ2	
口	kʰəu3	
古	ku3	
句	tɕy5	
另	lin5	
叨	tau1	唠～
叩	kʰəu5	
只	tʂʅ2	
只	tʂʅ3	
叫	tɕiau5	
召	tʂau1	
可	kʰo3	
台	tai2	
史	ʂʅ3	
右	iəu6	
葉	iɛ5	
號	xau2	～哭
號	xau6	吹～
司	sɿ1	
嘆	tʰan5	
吃	tɕʰia5-	
各	ko5	
吆	iau1	～喝
合	xo6	～成
吉	tɕi5	
吊	tiau5	
同	toŋ2	
名	min2	
后	xəu6	
吏	li5	
吐	tʰəu3	～痰
向	ɕiaŋ5	
嚇	xɛ5	恐～
吕	lei3	姓
君	tɕyən1	
吝	lin5	
吞	tʰən1	
吟	in2	
吠	fei5	
否	fu3	
含	xan2	
听	tʰin5	
启	tɕʰi3	
吴	vu2	
吵	tsʰau3	
吸	ɕi1	
吹	tɕʰyei1	
吻	vən3	
吼	xəu3	
吾	vu2	
呆	tai1	
呆	ŋai2	～滞
呈	tʂʰən2	
告	kau5	
嘔	ŋəu2	～吐
員	yan2	
周	tʂəu1	
呰	tsʰɿ3	(存疑)口残
味	vei5	
呼	fu1	
命	min6	
和	xo2	～气
和	xo5	～面
咎	tɕiəu1	
咏	yən3	
咒	tʂəu5	
咨	tsɿ1	
咬	ŋau3	
咯	ko5	鸡～～(儿语)
咸	xan2	
哀	ŋai1	
品	pʰin3	
哄	xoŋ3	
響	ɕiaŋ3	
啞	ŋa3	
噦	yɛ5	
哥	ko1	
哪	la3	～个
哭	kʰu5	
哲	tʂɛ5	
哼	xən1	
哽	kən3	噎住：～哒嘚
唆	so1	啰～
脣	tɕyən2	
唐	taŋ2	
