#漢字	音標	解釋
□	kʰa3	咳：咯痰
晏	ŋan5	晚了
曬	sai5	
曉	ɕiau3	
暈	yən5	
晚	man3-	～崽：排行最小的
晚	uan3=	
晦	fei5	
晨	tʂən2	
普	pʰu3	
景	tɕin3	
晴	tɕʰin2	
晶	tɕin1	
智	tʂʅ5	
暫	tsan5	
暇	ɕia5	
暑	ɕy3	
暖	lan3	
暗	ŋan5	
暮	mo5	
暴	pau5	
曝	pu5	
曩	laŋ3	
曰	yɛ5	
曲	tɕʰy1	
更	kən1	
更	kən5	
曹	tsau2	
曾	tsən1	姓
曾	tsən2	～经
替	tʰi5	
最	tsei5	
月	yɛ5	
有	iəu3	
朋	poŋ2	
朔	so5	
朗	laŋ3	
望	vaŋ6	
朝	tʂau1	～夕
朝	tʂau2	～代
期	tɕi1	
木	mo5	
未	vei5	
末	mo5	
本	pən3	
札	tsa5	
朮	ɕy5	
朱	tɕy1	
朴	pʰu2	
朵	to3	
機	tɕi1	
朽	ɕiəu3	
殺	sa5	
雜	tsa2	
權	tɕyan2	
杆	kan3	
杈	tsʰa1	
杉	san1	
李	li3	
杏	xən5	
材	tsai2	
村	tsʰən1	
杖	tʂaŋ6	
杜	təu6	
杞	tɕʰi3	
束	səu5	
杠	kaŋ5	
條	tiau2	
來	lai2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ5	
杳	iau3	～无音信
杴	ɕian1	
杵	tɕʰy3	
杷	pa2	批～
松	soŋ1	
板	pan3	
極	tɕi5	
構	kəu5	
枇	pi2	～杷
枉	uaŋ3	
析	ɕi1	
枕	tʂən3	
林	lin2	
枚	mei2	
果	ko3	
枝	tʂʅ1	
樞	tɕʰy1	
樞	kʰəu1	
棗	tsau3	
槍	tɕʰiaŋ1	
楓	xoŋ1	
枯	kʰu1	
枵	ɕiau1	
架	ka5	
柄	pin3	
柏	piɛ5	
某	mo3	
柑	kan1	
染	ʐan3	
柔	ʐəu2	
柚	iəu6	
櫃	kuei5	
查	tsa2	
柩	tɕiəu5	
柬	tɕian3	
柱	tɕy6	
柳	liəu3	
柴	tsai2	
柿	ʂʅ6	
梔	tʂʅ1	～子花
標	piau1	
棟	toŋ5	
欄	lan2	
樹	ɕy6	
栓	san5	门～
栖	ɕi1	
栗	li2	
校	kau5	用秤称称，用升斗量量：～秤
校	ɕiau5	学～；上～
株	tɕy1	
樣	iaŋ6	
核	fu2	(训读，本字⿲木月骨)桃子～
根	kən1	
格	kɛ5	
栽	tsai1	
桂	kuei5	
桃	tau2	
桅	ei6	
案	ŋan5	
桌	tso5	
桐	toŋ2	
桑	saŋ1	
桓	fan2	
橋	tɕiau2	
樺	fa6	
檜	fei5	
槳	tɕiaŋ3	
桶	tʰoŋ3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梢	sau1	
夢	moŋ6	
梧	vu2	～桐
梨	li2	
梭	so1	
梯	tʰi1	
械	tɕiai5	
梳	səu1	～头
檢	tɕian3	
棉	mian2	
棋	tɕi2	
棍	kuən5	
棒	paŋ5	
棕	tsoŋ1	
棚	poŋ2	
棠	taŋ2	
森	sən1	
棵	kʰo3	
棺	kuan1	
椅	i3	
植	ʂʅ5	
椒	tɕiau1	
橢	tʰo3	
椴	tan6	
椽	tɕyan2	
椿	tɕʰyən1	
楔	ɕiɛ1	
楚	tsʰəu3	
楝	lian5	
楞	lən2	
楣	mei2	
楦	ɕyan5	鞋～头
楷	kʰai3	
樓	ləu2	
概	kʰai5	
榆	y2	
榖	ku5	
榛	tʂən1	
榜	paŋ3	
榨	tsa5	
榫	sən3	
榴	liəu3	石～
榻	tʰa5	
槌	tɕyei1	擂～：捣衣棒
槐	xuai2	
檳	pin1	
槽	tsau2	猪～
樟	tʂaŋ1	
模	mo2	～范
橫	xən2	
櫻	in1	
樵	tɕiau2	
橄	kan3	
橕	tsʰən1	
橘	tɕy5	
橙	tʂən2	
橛	tɕyɛ5	
橡	ɕiaŋ6	
檀	tan2	
檐	ian2	
檁	lin3	
欛	pa5	锄～
欠	tɕʰian5	
次	tsʰɿ5	
歡	fan1	
欣	ɕin1	
歐	ŋəu1	
欲	y5	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiɛ5	
歉	tɕʰian5	
歌	ko1	
止	tʂʅ3	
正	tʂən1	～月
正	tʂən5	端～
此	tsʰɿ3	
步	pʰu6	
武	vu3	
歪	uai1	
死	sɿ3	
殲	tɕian1	
殃	iaŋ1	
殆	tai6	
殉	ɕyən5	
殊	ɕy2	
殘	tsan2	
殮	lian5	
殖	ʂʅ5	
殯	pin1	
毆	ŋəu2	
段	tan6	
殷	in1	
殿	tian6	
毁	fei3	
毅	i5	
母	mo3	
每	mei3	
毒	təu5	
比	pi3	
畢	pi5	
斃	pi5	
毛	mau2	
毡	tʂan1	
毫	xau2	
毯	tʰan3	
氏	ʂʅ6	
民	min2	
气	tɕʰi5	
氧	iaŋ3	
水	ɕyei3	
永	yən3	
汀	tʰin1	
汁	tʂʅ5	
求	tɕiəu2	
汆	tsʰan1	
漢	xan5	
汗	xan6	
汝	y3	
汞	koŋ3	
江	tɕiaŋ1	
池	tʂʅ2	
污	vu1	
湯	tʰaŋ1	
汪	uaŋ1	
汴	pian5	
汽	tɕʰi5	
沂	i2	
沈	ʂən3	
沉	tʂən2	
沌	tən5	
沓	tʰa5	一～纸
沙	sa1	
沛	pʰei5	
溝	kəu1	
沒	mei5	
漚	ŋəu5	久浸水中
淪	lən2	
滬	fu6	
沫	mo5	
河	xo2	
油	iəu2	
治	tʂʅ5	
沼	tʂau1	～气
沾	tʂan1	
沿	ian2	
泄	ɕiɛ5	
泅	tɕiəu2	游水
泉	tɕyan2	
泊	po5	
泔	kan1	
法	fa5	
泛	fan5	
泡	pʰau1	松软
泡	pʰau5	～在水里
波	po1	
泣	tɕʰi2	
泥	ȵi2	
注	tɕy5	
泰	tʰai5	
泳	yən3	
瀉	ɕiɛ5	
潑	pʰo5	
澤	tsɛ5	
潔	tɕiɛ5	
洇	in1	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	lo5	
洞	toŋ6	
津	tɕin1	
洪	xoŋ2	
洲	tʂəu1	
活	xo5	
洽	tɕʰia3	
派	pʰai5	
流	liəu2	
淺	tɕʰian3	
漿	tɕiaŋ1	
澆	tɕiau1	
濁	tʂo5	
測	tsʰɛ5	
濟	tɕi5	
滸	fu3	水～
濃	loŋ2	
浙	tʂɛ5	
浜	paŋ1	
浦	pu2	
浩	xau6	
浪	laŋ6	
浮	fu2	
浴	y5	
浸	tɕʰin5	
涂	tʰəu2	
消	ɕiau1	
涉	ʂɛ5	
涌	ioŋ3	
涎	xan1	
涕	tʰi5	
濤	tau2	
澇	lau5	
潤	yən5	
澗	tɕian5	
漲	tʂaŋ3	
澀	sɛ5	
涮	ɕyan5	
涯	ia2	天～
液	i5	
淆	iau2	
淋	lin2	
淑	ʂəu5	
淘	tau2	～米
淡	tʰan6	
淤	y2	
淫	in2	
淮	xuai2	
深	ʂən1	
混	fən6	～子
淹	ian1	
添	tʰian1	
清	tɕʰin1	
淵	yan1	
漸	tɕian5	
澠	mian3	～池
漁	y2	
滲	sən5	
渠	tɕy2	
渡	tʰəu6	
溫	uən1	
港	kaŋ3	
渴	kʰo5	
游	iəu2	
渺	miau3	
湖	fu2	～南
湘	ɕiaŋ1	
灣	van1	
溼	ʂʅ5	
潰	kʰuei5	～烂
濺	tɕian5	～水
溉	kʰai5	
溏	tʰaŋ2	～鸡屎
源	yan2	
準	tɕyən3	
溜	liəu5	
溪	ɕi1	
溺	ȵi5	
溻	tʰa5	汗～湿了
滂	pʰaŋ2	
滋	tsɿ1	
滑	fa2	
滓	tsɿ3	
滔	tʰau1	
滾	kuən3	
滯	tʂʅ5	
濾	ly5	
濫	lan6	
灘	tʰan1	
滴	ti5	
滴	tia5	～水
滷	ləu3	
漂	pʰiau3	～洗
漂	pʰiau5	～亮
漆	tɕʰi2	
漏	ləu6	
演	ian3	
漫	man6	
漱	səu5	～口
潘	pʰan1	
潛	tɕian3	
潛	tɕʰian3	
潭	tan1	
潮	tʂau2	
潲	sau5	～水：猪食
澄	tən1	
澄	tʂən2	
澡	tsau3	
激	tɕi5	
瀑	pu5	
灌	kuan5	
灑	sa3	
灒	tsan5	
火	xo3	
滅	miɛ5	
燈	tən1	
灰	fei1	
靈	lin2	
竈	tsau5	
灸	tɕiəu3	针～
災	tsai1	
燦	tsʰan5	
爐	ləu2	
炊	tsʰei1	
炎	ian5	
炒	tsʰau3	
炕	kʰaŋ5	
炙	tʂʅ2	
炭	tʰan5	
炮	pʰau5	
炸	tsa5	～弹
點	tian3	
炼	lian5	
爛	lan6	
烈	liɛ5	
烘	xoŋ1	
烙	lo5	
燭	tʂəu5	
烟	ian1	
烤	kʰau3	
煩	fan2	
燒	ʂau1	
燙	tʰaŋ5	
熱	ʐɛ5	
烹	poŋ1	
焉	ian1	
焊	xan6	
焌	tɕʰy2	
煥	fan5	
焙	pei6	～干
焚	fən2	
焦	tɕiau1	
焰	ian5	
然	ʐan2	
煎	tɕian1	
煠	tsa5	
煤	mei2	
照	tʂau5	
煨	vei1	
煮	tɕy3	
熄	ɕi5	
熊	ɕioŋ2	
熏	ɕyən1	
熙	ɕi1	
熟	ʂəu5	
熨	yən5	～贴：好了，停当了
熬	ŋau2	
燃	ȵian2	
燎	liau2	
燎	liau3	火～眉毛
燐	lin2	
燕	ian5	～子
爆	pau5	
爊	ŋau2	
爪	tɕya3	～牙
爬	pa2	
愛	ŋai5	
爵	tɕio5	
父	fu5	
爺	iɛ2	
爹	tia1	～～：祖父或祖母
爽	saŋ3	
片	pʰian5	
版	pan3	
牌	pai2	
牘	təu5	
牒	tiɛ2	
牚	tsʰən5	
牛	ȵiəu2	
牡	mo3	
牢	lau2	
物	u5	
牯	ku3	～子牛
牲	sən1	
牽	tɕʰian1	
特	tʰiɛ1	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	təu5	
犍	tɕian2	
犬	tɕʰyan3	
犯	fan6	
狀	tsaŋ5	
猶	iəu2	
狂	kuaŋ2	
狄	ti2	
狐	fu2	
狗	kəu3	
狡	tɕiau3	
獨	təu5	
狹	ɕia5	
獅	sɿ1	
獄	y5	
狸	li2	
狼	laŋ2	
獵	liɛ5	
猛	moŋ3	
猜	tsʰai1	
猝	tsʰəu5	
豬	tɕy1	
貓	mau1	
獻	ɕian5	
猴	xəu2	
猾	fa2	
獺	tʰa1	水～
玄	ɕyan2	
率	ly5	
率	sai5	～领
玉	y5	
王	vaŋ2	
王	uaŋ2	
玩	uan2	
環	fan2	
現	ɕian5	
璽	ɕi3	
玻	po1	
珊	san1	
珍	tʂən1	
珠	tɕy1	
班	pan1	
球	tɕiəu2	
理	li3	
琉	liəu2	～璃瓦
瑣	so3	
琢	tso5	
琴	tɕin2	
琵	pi2	～琶
琶	pa2	琵～
瓊	tɕioŋ2	
瑕	ɕia2	
瑞	ɕyei5	
璃	li2	
璧	pi5	
瓜	kua1	
瓠	fu2	～芦
瓠	fu6	～子
瓢	pʰiau2	
瓣	pan6	
瓤	ʐaŋ2	
瓦	va3	
瓦	ua3	动词
瓮	uŋ5	
甌	ŋəu1	
瓶	pin2	
瓷	tsɿ1	～器
甘	kan1	
甚	ʂən5	
甜	tian2	
生	sən1	
甥	sən1	
用	ioŋ6	
甫	fu3	
甬	ioŋ3	
田	tian2	
由	iəu2	
甲	tɕia5	
申	ʂən1	
電	tian6	
男	lan2	
畫	fa6	
暢	tʂʰaŋ3	
界	kai5	
畏	vei5	
留	liəu2	
畜	tʂʰəu5	～牲
畜	ɕiəu5	
略	liɛ5	
番	fan1	
疆	tɕiaŋ1	
疏	səu1	～远
疏	səu6	注～
疑	ȵi2	
疔	tin1	
療	liau2	
疝	ʂan5	～气
瘍	iaŋ2	
疤	pa1	
疥	kai5	
疫	i5	
瘡	tsʰaŋ1	
瘋	xoŋ1	
疲	pi2	
疵	tsʰɿ1	瑕～
疹	tʂən1	
疾	tɕi2	
痂	ka1	
病	pin6	
症	tʂən5	
痒	iaŋ3	
痕	xən2	
痛	tʰoŋ5	
痢	li6	～疾
痣	tʂʅ5	
癆	lau2	～伤
癆	lau5	～药：毒药
痰	tan2	
痱	fei5	～子
痳	ma2	
癡	tʂʰʅ2	～呆
痹	pi5	麻～
瘊	xəu2	～子
瘌	la5	
瘟	uən1	
瘦	səu5	
瘧	ȵio5	～疾
瘴	tʂaŋ3	
瘸	tɕʰyɛ2	～腿杆
癩	lai6	
癸	kuei3	
登	tən1	
發	fa5	
白	piɛ5	
百	piɛ5	
皂	tsau5	
的	ti5	
皆	kai1	
皇	faŋ2	
皖	van3	
皮	pi2	
皺	tsəu5	
皴	tsʰən1	
皿	min3	
盅	tʂoŋ1	
盆	pən2	
盈	in2	
益	i5	
盞	tsan3	
鹽	ian2	
監	tɕian1	～视；国子～
盒	xo2	
盔	kʰei1	
盖	kai5	
盜	tʰau6	
盛	ʂən5	
盟	min2	
盤	pan2	
盲	maŋ2	
直	tʂʅ5	
相	ɕiaŋ1	互～
相	ɕiaŋ5	～貌
盼	pʰan5	
盾	tən5	
省	sən3	
眉	mi2	
看	kʰan5	～见
瞘	kʰəu1	眼～
真	tʂən1	
眠	mian2	
眨	tsa3	
眩	ɕyan5	
眷	tɕyan5	
着	tʂo5	睡～；～衣
睜	tsən1	
睏	kʰuən5	～觉：睡觉
睛	tɕin1	
睡	ɕyei5	
督	təu1	
睬	tsʰai3	
瞎	xa5	
瞒	man2	
瞖	i5	～子
瞧	tɕiau2	
瞪	tən5	
瞭	liau3	
瞳	toŋ2	
瞻	tʂan1	
瞿	tɕy2	
矁	tsʰəu3	
矢	ʂʅ3	
矣	i3	
知	tʂʅ1	
矩	tɕy3	规～
矯	tɕiau3	
矬	tsʰo5	矮
短	tan3	
矮	ŋai3	
石	ʂʅ5	
礦	kʰuaŋ5	
碼	ma3	
砌	tɕi5	
砍	kʰan3	
研	ȵian3	
磚	tɕyan1	
硯	ȵian5	
破	pʰo5	
硝	ɕiau1	
硫	liəu2	～黄
硬	ŋən6	
確	tɕʰio5	
礙	ŋai3	
碎	sei5	
碑	pi1	
碓	tei5	～窝：捣米器具
碗	van3	
碟	tiɛ2	
碧	pi5	
碾	ȵian3	
磁	tsɿ2	
磉	saŋ3	～礅
磑	ŋai2	～墨
磕	kʰo5	
磨	mo2	～刀
磨	mo6	石～
磬	tɕʰin5	
礓	tɕiaŋ1	
示	ʂʅ5	
禮	li3	
社	ʂɛ5	
祀	sɿ5	
祁	tɕi2	
祅	ŋau3	
祈	tɕʰi2	
祖	tsəu3	
祝	tʂəu5	
神	ʂən2	
祠	tsɿ2	
祥	ɕiaŋ2	
票	pʰiau5	车～
祭	tɕi5	
禱	tau3	
禍	xo6	
禀	pin3	
禁	tɕin5	
禄	ləu5	
禪	tʂʰan2	～宗
禪	ʂan5	
禹	y3	
离	li6	～开；～别
禽	tɕin2	
禾	xo2	
秀	ɕiəu5	
私	sɿ1	
禿	tʰəu1	
秆	kan3	
秉	pin3	
秋	tɕʰiəu1	～天
種	tʂoŋ3	～类
種	tʂoŋ5	耕～
科	kʰo1	
秒	miau3	
秕	pi3	～穀
租	tsəu1	～子
租	tsəu3	～赁
秤	tʂʰən5	～手：沉，有分量
秦	tɕʰin2	
秧	iaŋ1	
秫	ɕy5	
積	tɕi5	
稱	tʂʰən1	～呼
稱	tʂʰən5	相～
移	i2	
穢	fei5	
稀	ɕi1	
程	tʂʰən2	
稍	sau5	
稅	ɕyei5	
稗	pai6	
稚	tʂʅ5	
稠	tʂəu2	
穩	uən3	
稻	tau6	
稼	tɕia5	
稽	tɕi1	
稿	kau3	
稿	kʰau5	
穄	tɕi5	草～子
穗	sei5	
穰	ʐaŋ2	
穴	ɕiɛ5	
究	tɕiəu5	
窮	tɕioŋ2	
空	kʰoŋ1	～虚
空	kʰoŋ5	～房
穿	tɕʰyan1	
突	tʰəu2	
窄	tsɛ5	
竅	tɕʰiau5	
窐	ua1	
窑	iau2	
窖	kau5	
窗	tsʰaŋ1	
窘	tɕyən6	
竄	tsʰan5	
窩	vo1	
窟	kʰu5	
窠	kʰo1	
窺	kʰuei1	
立	li5	
豎	ɕy6	
站	tsan5	
競	tɕin5	
竟	tɕin5	
章	tʂaŋ1	
童	toŋ2	
端	tan1	
竹	tʂəu5	
竿	kan1	竹～
篤	təu1	
笊	tsau5	～篱
笋	sən3	
笑	ɕiau5	
笔	pi5	
筧	tɕian3	
笙	sən1	
笛	ti2	
笠	li5	
笡	tɕʰiɛ5	斜
符	fu2	
笨	pən6	
第	tʰi6	
箋	tɕian1	
籠	loŋ2	
等	tən3	
筋	tɕin1	
筏	fa5	
筑	tʂəu5	
筒	toŋ2	
答	ta5	
策	tsʰɛ5	
篩	sai1	
箏	tsən1	
筲	ʂau1	～箕：竹制的灶具
筵	ian2	
筷	kʰuai5	
籌	tʂəu2	
簡	tɕian3	
箅	pi5	～子
箍	ku1	
算	tsʰan5	
管	kuan3	
籮	lo2	
簫	ɕiau1	
箭	tɕian5	
箱	ɕiaŋ1	
範	fan6	
篆	tɕyan5	
篇	pʰian1	
簍	ləu3	
篙	kau1	船～
篡	tɕʰyan5	
篦	pi5	
籃	lan2	
篱	li2	
篷	poŋ2	
篾	miɛ5	
簧	faŋ2	
簪	tsan1	
簰	pai2	木～
簸	po3	～一～
簸	po5	(又)～箕
簽	tɕʰian1	
簿	pu5	
籍	tɕi5	
籤	tɕʰian1	
米	mi3	
类	lei5	
粉	fən3	
粒	li5	
粗	tsʰəu1	
粘	tʂan1	
粟	ɕiəu5	
粤	yɛ5	
粥	tʂəu5	
糞	fən5	
糧	liaŋ2	
粱	liaŋ2	
粹	tsʰei5	纯～
糉	tsoŋ5	
精	tɕin1	
糍	tsɿ1	～巴
糕	kau1	
糖	taŋ2	
糗	tɕʰiəu5	
糙	tsʰau5	～米
糜	mi2	
糟	tsau1	
糠	kʰaŋ1	
糯	lo6	～包谷
系	ɕi5	
素	səu5	
索	so5	绳子～
緊	tɕin3	
紫	tsɿ3	
紮	tsa5	
累	lei6	受～；连～
絮	ɕy5	
綑	kʰuən3	
網	vaŋ3	
繁	fan2	
繡	ɕiəu5	
繫	tɕi5	～腰带
纂	tsan5	
纍	lei3	积～
纔	tsai2	
糾	tɕiəu1	～缠
糾	tɕiəu1	～正
紅	xoŋ2	
紂	tʂəu5	桀～
約	io5	
級	tɕi5	
紀	tɕi3	
紉	ʐən5	
緯	vei5	
純	tsʰən2	
紗	sa1	
綱	kaŋ1	
納	la5	
縱	tsoŋ5	
紛	fən1	
紙	tʂʅ3	
紋	vən2	
紐	ȵiəu3	
線	ɕian5	
練	lian5	
組	tsəu3	
細	ɕi5	
織	tʂʅ5	
終	tʂoŋ1	
縐	tsəu5	
絆	pan5	
紹	ʂau5	
經	tɕin1	
經	tɕin5	～线
綁	paŋ3	
絨	ioŋ2	
結	tɕiɛ5	
繞	ʐau2	围～；～线
繪	fei5	
給	tɕi5	供～
絡	lo5	
絕	tɕyɛ5	
絞	tɕiau3	
統	tʰoŋ3	
絹	tɕyan5	
繼	tɕi5	
績	tɕi5	
緒	ɕy5	
續	ɕy5	
綽	tʂʰo2	宽～
繩	ʂən2	
維	uei2	
綿	mian2	
綢	tʂəu2	
綹	liəu3	一～头发
綜	tsoŋ1	
綻	tʂan5	
綰	uan3	卷起：～袖子
綠	ləu5	
綴	tɕyei5	
緬	mian3	
纜	lan3	
緞	tan6	
緩	fan3	
編	pian1	
緣	yan2	
縫	xoŋ2	～补
縫	xoŋ6	～隙
纏	tʂan2	
縊	i5	
纓	in1	
縮	so5	
繮	tɕiaŋ1	
繰	tɕʰiau1	～边
繳	tɕiau1	
缸	kaŋ1	
缺	tɕʰyɛ5	
罕	xan3	
羅	lo2	
罰	fa5	
罷	pa5	～了
罩	tsau5	
罪	tsei6	
置	tʂʅ5	
署	ɕy3	专～
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kau1	
羞	ɕiəu1	
羡	ɕian5	
羣	tɕyən2	
羶	ʂan1	
羹	kən1	
羽	y3	
翁	uŋ2	
翎	lin2	
翠	tsʰei5	
翡	fei3	～翠
翰	xan6	
翻	fan1	
翼	i5	
耀	iau6	
老	lau3	
考	kʰau3	
者	tʂɛ3	
而	ər1	
耍	sa3	
耐	lai5	
耕	kən1	
耗	xau5	
耙	pʰa5	～地
耳	ər3	
耶	iɛ2	
恥	tʂʰʅ3	
耽	tan1	
耿	kən3	
聶	ȵiɛ5	
聊	liau2	
聾	loŋ1	
職	tʂʅ5	
聯	lian2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰoŋ1	原文声调作214阴去，疑误
肅	səu5	
肄	i5	
肆	sɿ5	
肉	ʐəu5	
肋	liɛ5	
肌	tɕi1	
肘	tʂəu3	
肚	təu3	猪～子
肝	kan1	
腸	tʂaŋ2	
股	ku3	
肢	tʂʅ1	
肢	tʂʅ5	
肤	fu1	
肥	fei2	
肩	tɕian1	
骯	ŋaŋ2	～脏
肯	kʰən3	
育	y5	
肴	iau2	
肺	fei5	
腎	ʂən5	
腫	tʂoŋ3	
脹	tʂaŋ5	
脅	ɕiɛ5	
胃	vei5	
膽	tan3	
背	pei5	
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰei1	～胎
胛	ka5	翼～：鸡翅
胛	tɕia5	肩～
勝	ʂən1	
勝	ʂən5	～败
胞	pau1	
胡	fu2	
胥	ɕi5	
胯	kʰa5	～档
胳	ko5	
膠	tɕiau1	
胸	ɕioŋ1	
能	lən2	
脂	tʂʅ3	～肪
脆	tsei5	
脉	mɛ5	
脊	tɕi5	
脏	tsaŋ1	
臍	tɕi5	
腦	lau3	
膿	loŋ2	
腳	tɕio5	
脯	pʰu2	
脫	tʰo5	
腡	lo2	手指纹
臉	lian3	
脾	pi2	
腆	tʰian3	
臘	la1	
腋	i5	
腋	ia6	～胛
腌	ian1	
腐	fu3	
腔	tɕʰiaŋ1	
腕	van3	
腥	ɕin1	
腮	sai1	
腰	iau1	
腱	tɕian5	
膩	ȵi5	
騰	tən2	
腿	tʰei3	
膏	kau1	
膏	kau5	～油
膘	piau1	肥～
膜	mo5	
膝	ɕi3	
膨	pʰən2	
膳	ʂan5	
臀	tʰən2	
臂	pi5	
臊	sau1	
臣	tʂən2	
自	tsɿ6	
臭	tʂʰəu5	香～
至	tʂʅ5	
致	tʂʅ5	
臻	tʂən1	
臼	tɕiəu1	
舀	iau3	
舂	tʂʰoŋ1	
舅	tɕiəu6	
舌	ʂɛ5	
舍	ʂɛ5	
舒	ɕy1	
舔	tʰian3	
舜	ɕyən5	
舞	vu3	
舟	tʂəu1	
航	xaŋ2	
般	pan1	
艦	tɕian5	
舵	to5	
船	tɕyan2	
艫	ləu3	
艇	tʰin3	
良	liaŋ2	
艱	tɕian1	
色	sɛ5	
艳	ian5	
藝	ȵi5	
艾	ŋai6	～蒿
節	tɕiɛ5	
芋	y6	～头
芍	ʂo2	～药花
芒	maŋ2	
芙	fu2	
芝	tʂʅ1	
芥	kai5	
蘆	ləu2	～苇
芬	fən1	
芭	pa1	
芮	yei5	
花	fa1	
芹	tɕin2	
葦	vei3	
莧	xan5	～菜
蒼	tsʰaŋ1	
苧	tɕy5	～麻
苏	səu1	
苔	tai2	青～
苗	miau2	
苟	kəu3	
若	ʐo5	
苦	kʰu3	
英	in1	
苶	ȵiɛ5	
茂	mau5	
范	fan6	
茄	tɕia2	～子
茅	mau2	
莖	tɕin1	
茫	maŋ2	
茬	tsʰa2	
茴	fei2	
茶	tsa2	
茸	ʐoŋ2	
荀	ɕyən2	
荆	tɕin1	
草	tsʰau3	
薦	tɕian5	
荒	faŋ1	
蕎	tɕiau2	
薺	tɕi2	
蕩	taŋ5	
榮	ioŋ2	
葷	ɕyən1	
滎	ɕin2	～阳
藥	io5	
荷	xo2	～花
荷	xo6	薄～
莊	tsaŋ1	
莠	iəu5	
莫	mo5	
蓮	lian2	
获	xo5	
鶯	in1	
蓴	tɕyən2	
莽	maŋ3	
菊	tɕy5	
菌	tɕyən6	
菖	tʂʰaŋ1	
菜	tsʰai5	
菠	po1	
菢	pau6	孵：～小鸡
菩	pu2	～萨
菱	lin2	
萄	tau2	
萌	moŋ2	
萍	pin2	
蘿	lo2	
螢	in2	
營	in2	
蕭	ɕiau1	
薩	sa3	
落	lo5	
葚	ʂən5	
葛	ko5	
董	toŋ3	
葬	tsaŋ5	
葱	tsʰoŋ1	原文声调作214阴去，疑误
葵	kuei2	
蔣	tɕiaŋ3	
蒙	moŋ2	
蒜	tsʰan5	
蒯	kuai3	
蒲	pʰu2	
蒸	tʂən1	
蒿	xau1	艾～
蓄	ɕiəu5	
蓉	ioŋ2	
蓋	kai5	
蓑	so1	
蓖	pi1	
藍	lan2	
蓬	poŋ2	
蔓	uan5	瓜～子
蔗	tʂɛ5	
蔡	tsʰai5	
蔫	ȵian1	
蔬	səu1	
蔸	təu1	庄稼的根部：包谷～；量词：一～包谷
藹	ŋai3	和～
蔽	pi5	
蕉	tɕiau1	芭～
薄	po5	
薄	pʰo5	～荷
薅	xau1	～草
薑	tɕiaŋ1	
薛	ɕiɛ5	
薪	ɕin1	
薯	ɕy3	红～
薰	ɕyən1	
藉	tɕi5	
藉	tɕiɛ5	～故
藏	tsaŋ2	隐～
藏	tsaŋ5	西～
藐	miau3	～视
藕	ŋəu3	
藤	tən2	
藩	fan1	
藩	fan2	
藿	xo5	
蘸	tsan5	
虎	fu3	
虜	ləu3	
虐	ȵio5	
虑	ly5	
虔	tɕian2	
虛	ɕy1	
虞	y2	
虢	ko5	
蟲	tʂoŋ2	
虹	xoŋ2	
虹	tɕiaŋ5	
虻	maŋ2	
雖	sei2	
蝕	ʂʅ5	
蟻	ȵi6	
蚊	vən2	
蚌	paŋ3	
蚌	paŋ5	
蠶	tsan2	
蚣	koŋ1	
蚤	tsau3	
蛀	tɕy5	
蛆	tɕʰi1	～牙子
蛇	ʂa1	
蛋	tan6	
蛙	ua1	
蛛	tɕy1	
蠻	man2	
蟄	tʂʅ5-	惊～
蛾	ŋo2	
蜀	ʂəu5	
蜂	xoŋ1	
蜇	ʂa5	蝎子～人
蜈	vu2	
蜓	tin2	
蛻	tei5	～皮
蝸	uo1	
蜘	tʂʅ5	
蜜	mi5	
蠟	la1	
蜻	tɕʰin1	～蜓
蠅	in2	
蟬	tʂʰan2	
蝗	faŋ2	
蝙	pian1	
蝶	tiɛ2	
螂	laŋ2	
螃	paŋ2	
融	ioŋ2	
螳	taŋ2	
螺	lo2	～蛳
蟀	sai5	
蟆	ma2	蛤～
蟒	maŋ3	
蟹	xai3	
蟾	tʂan2	
蠓	moŋ3	
蠢	tɕʰyən3	
血	ɕiɛ5	
衅	ɕin5	
行	ɕin2	～为
行	xaŋ2	
行	ɕin5	品～
術	ɕy5	
銜	xan2	
街	kai1	
衡	xən2	
衣	i1	
補	pu3	
表	piau3	
衫	san1	
襯	tsʰən5	
衰	sai1	
袁	yan2	
袋	tai6	
袍	pau2	龙～
袖	ɕiəu5	
袜	va5	
被	pi5	～打
被	pi6	～子
襲	ɕi3	
袴	kʰu5	
裁	tsai2	
裂	liɛ5	
裝	tsaŋ1	
裏	li3	
裕	y5	
裙	tɕyən2	
褲	kʰu5	
裱	piau3	
裳	tʂaŋ2	
裴	pei2	
裸	lo3	～体
裹	ko3	
製	tʂʅ5	
褒	pau1	
褥	ʐəu3	
褪	tʰən5	
褶	tʂɛ5	皱纹
襄	ɕiaŋ1	
襟	tɕin5	
襻	pʰan5	
西	ɕi1	
要	iau1	～求
要	iau5	重～
覈	xɛ5	审～
觀	kuan1	
觀	kuan5	道～
規	kuei1	
覓	mi5	
視	ʂʅ5	
