#漢字	音標	解釋
侯	ɣai2	
侵	tsʰiən5	
便	bĩ2	～宜
便	bĩ6	方～
係	ɣi6	關～
促	tsʰɯ7	
俄	ŋʊ2	
俊	tsuən5	
俏	tsʰiau5	
俗	sɯ7	
俘	ɸu1	
保	pau3	
信	siən5	
修	siɯ1	
俯	ɸu3	
俱	tʯ1	
俸	xuən5	
倉	tsʰaŋ1	
個	kʊ5	
倍	bai6	
倒	tau3	打～；顛～
倒	tau5	～水
倔	tuɛ7	～彊
倘	tʰaŋ3	
候	ɣai6	
倚	i1	
借	tsiɔ5	
倡	tʰaŋ1	提～
倣	xaŋ3	～效
倦	tuɛ̃5	
倪	ɲĩ2	
倫	nən2	
值	tʂʰʅ5	
假	ciɔ3	眞～；放～
偉	uei5	(又)
偉	uei3=	
偏	pʰĩ1	
做	tsɯ5	
停	diən2	
健	ɟĩ6	
側	tsiɛ7	
偵	tən1	
偶	ŋai3	配～；～然
偷	tʰai1	
傅	ɸu5	
傍	baŋ2	
傑	cʰiɛ7	
傘	sã3	
備	bi6	
傢	ciɔ1	～俱
催	tsʰuai1	
傲	ŋau6-	
傲	ŋau5=	
傳	duɛ̃2	～達
傳	duɛ̃6	～記
債	tsa5	
傷	çiaŋ1	
傻	sua3	
傾	tʰuən1	
僅	cʰiən5	
像	siaŋ5	
僑	ɟiau2	
僕	pʰʊ7	～人
僞	uei5	
僧	siɛ̃1-	
僧	sən1=	
僱	ku5	
僵	ciaŋ1	
價	ciɔ5	
僻	pʰi7	
儀	ɲĩ2	
儂	nən2	我，你
億	i5	
儉	ɟĩ6	
儒	ʯ2	
儘	dziən6	～可能
償	ɣiaŋ2	
優	iɯ1	
儲	dʯ2	
允	uən3	
元	uɛ̃2	
兄	çiən1	
充	tʰən1	
兆	dau6	
兇	çiən1	～惡
先	sĩ1	
光	kaŋ1	
克	cʰiɛ7	
兌	tuai5	
免	mĩ3	
兒	ai2	
兔	tʰɯ5	
兔	tʰiɯ5	(又)
兜	tai1	
入	ʯ7	
內	nuai6	
全	dziɛ̃2	
兩	niaŋ3	～個；幾～
八	pa7	
公	kən1	
六	nɯ7	
六	niɯ7	(又)
兮	çi1	
共	ɡən6	
兵	piən1	
其	ɟi2	
具	dʯ6	
典	tĩ3	
兼	cĩ1	
冀	ci5	
冊	tsʰiɛ7	
再	tsai5	
冒	mau6-	
冒	mau5=	
冠	kuɛ̃1	衣～
冠	kuɛ̃5	～軍
冤	uɛ̃1	
冬	tən1	
冰	piən1	
冲	tʰən1	
冷	niɔ̃3-	
冷	niən3=	
凌	niən2	
凍	tən5	
几	ci1	茶～
凡	ɣuã2	
凱	kʰuai3	
凳	tiɛ̃5	
凶	çiən1	吉～
出	tʰʯ7	
函	ɣã2	
刀	tau1	
刁	tiau1	
刃	iən6	
分	xuən1	～開
切	tsʰiɛ7	～開
刊	kʰuɛ̃1	
刎	uən3	
刑	ɣiən2	
划	ɣɔ2	～船
列	niɛ7	
初	tsʰɯ1	
判	pʰiɛ̃5	
別	pʰiɛ5-	區～；離～
別	pʰiɛ7=	區～；離～
刨	bau2	～地
刨	bau6	～子
利	ni6	
刪	suã1	
刮	kua7	
到	tau5	
制	tʂʅ5	～度
刷	sua7	
券	tuɛ̃5	
刺	tsʰɿ5	
刻	cʰiɛ7	時～；～字
剁	tʊ5	
剃	tʰi5	
則	tsiɛ7	
削	siʊ7	
前	dzĩ2	
剔	tʰi7	
剖	pʰʊ3	解～
剖	pʰʊ5	～開
剛	kaŋ1	
剝	pʊ7	
剩	ɣiən6	
剪	tsĩ3	
剮	kɔ3	
副	ɸu5	
割	kuɛ7	
創	tsʰɔ̃5	(又)
創	tsʰaŋ5	
剿	tsiau3	
劃	ɣɔ6	
劇	tʯ5	～烈；戲～
劈	pʰiɔ7-	
劈	pʰi7=	
劉	niɯ2	
劊	kʰuei5	
劍	cĩ5	
