#漢字	音標	解釋
料	niau6	
斛	ɸu5	
斜	dziɔ2	
斟	tən1	
斤	ciən1	
斥	tʂʰʅ7	
斧	ɸu3	
斬	tsã3	
斯	sɿ1	
新	siən1	
斷	tuɛ̃5	決～
斷	duɛ̃6	～絕
方	xaŋ2	
於	ʯ2	
施	ʂʅ1	
旁	baŋ2	
旅	ni3	
旋	dziɛ̃2	
族	tsʰɯ5	
旗	ɟi2	
旣	ci5	
日	i7	
旦	tã5	
旨	tʂʅ3	
早	tsau3	
旬	dzuən2	
旱	ɣuɛ̃6	
旺	uaŋ6	興～；火～
昂	ŋau2	
昆	kʰuən1	
昌	tʰaŋ1	
明	miɔ̃2-	
明	miən2=	
昏	xuən1	
易	i6	難～
易	i7	交～
昔	si7	
星	siɔ̃1-	
星	siən1=	
映	iaŋ5-	
映	iən5=	
春	tʰuən1	
昧	mai5	
昨	tsʊ7	
昭	tau1	
是	dzɿ6	
時	dʐʅ2	
晃	xaŋ3	
晉	tsiən5	
晏	ŋã5	晚也
晚	uã5	
晝	tiɯ5	
晦	xuei5	
晨	ɣiən2	
普	pʰu3	
景	ciən3	
晴	dziɔ̃2-	
晴	dziən2=	
晶	tsiən1	
智	tʂʅ5	
暑	ʂʯ3	
暖	nʊ3	
暗	ŋã5	
暢	tʰaŋ5	
暫	dzã6	
暮	mʊ6	
暴	bau6	
曆	ni5	日～
曉	çiau3	
曠	kʰaŋ5	
曬	sɔ5	
曰	uɛ7	
曲	cʰiɯ7	～折；歌～
更	ciɛ̃1	～換；五～
更	ciɛ̃5	～加
書	ʂʯ1	
曹	dzau2	
曾	tsiɛ̃1	姓
曾	dziɛ̃2	～經
替	tʰi5	
最	tsi5	
會	kʰua5	～計
會	ɣuai6	開～；～不～
月	uɛ7	
有	iɯ3	
朋	baŋ2-	
朋	bən2=	
服	ɸu5	
朔	sʊ7	
朗	naŋ3	
望	uaŋ6	
朝	tau1	今～
朝	dau2	～代
期	ɟi2	
木	mʊ7	
未	uei6	
末	miɛ̃7	
本	piən3	
札	tsa7	
朮	ʂʯ5	白～
朱	tʯ1	
朵	tʊ3	
朽	çiɯ3	
杆	kuɛ̃3	旗～
杈	tsʰɔ1	
杉	sɔ1	
李	ni3	
杏	ɣiən6	
材	dzai2	
村	tsʰuən1	
杖	daŋ6	
杜	dɯ6	
杜	diɯ6	(又)
杞	ci3	枸～子
杞	cʰi3	～人憂天
束	cʰiɯ7	
杭	ɣaŋ2	
杯	pai1	
東	tən1	
杵	tʰʯ3	
松	suən1	～樹
板	pã3	
枇	bi2	～杷
枉	uaŋ3	
析	si7	
枕	tən3	
林	niən2	
枚	mai2	
果	kʊ3	
枝	tʂʅ1	
枯	kʰu1	
架	kɔ5-	
架	ciɔ5=	
柄	piən3	
柏	piɛ7	
某	mai3	
柑	kuɛ̃1	
染	ɲĩ3	
柔	iɯ2	
柚	iɯ5	
查	dzɔ2	調～
柩	ciɯ5	
柬	kã3	
柱	dʯ6	
柳	niɯ3	
柴	dza2	
查	tsɔ1	姓
柿	dzɿ6	
柿	dʐʅ6	(又)
栗	ni5	
校	ciau5	～對；(又)學～，～長
校	ɣiau6	學～，～長；上～
株	tʯ1	
核	xai5	果～
核	xuei5	(訓讀)本字𣝗。果～
根	ciɛ̃1-	
根	kən1=	
格	ciɛ7	
栽	tsai1	
栿	ɸu5	梁
桂	kuei5	
桃	dau2	
桅	uei2	～桿
案	uɛ̃5-	
案	ŋã5=	
桌	tsʊ7	
桐	dən2	
桑	saŋ1	
桓	ɣuɛ̃2	
桶	tʰən3	
梁	niaŋ2	
梅	mai2	
梓	tsɿ3	
梔	tʂʅ1	～子花
梗	kɔ̃3	莖
條	diau2	
梢	sau1	
梧	u2	
梧	ŋʊ2	(又)
梨	ni2	
梭	sʊ1	
梯	tʰĩ1-	
梯	tʰi1=	
械	ka5	
梳	sɯ1	
棄	cʰi5	
棉	mĩ2	
棋	ɟi2	
棍	kuən5	
棒	baŋ6	
棕	tsən1	
棕	tsuən1	(又)
棗	tsau3	
棚	baŋ2	
棟	tən5	
棠	daŋ2	
棧	dzã6	
森	siɛ̃1	
棵	kʰʊ3	
棺	kuɛ̃1	
椅	i3	
植	tʂʰʅ5	
椏	iɔ1=	
椏	ŋɔ̃1=	
椒	tsiau1	
椴	tuɛ̃5	
椽	ɣuɛ̃2	
椿	tʰuən1	
楊	iaŋ2	
楓	xuən1	
楚	tsʰɯ3	
楝	nĩ5	
楣	mĩ2	
楦	suən5	
業	ɲiɛ̃7	
極	cʰi5	
楷	kʰa3	
概	kʰuai5	
榆	ʯ2	
榛	tsiɛ̃1	
榜	paŋ3	
榨	tsɔ5	
榫	suən3	
榮	uən2	
榴	niɯ2	
榻	tʰa7	
構	kai5	
槌	dʯ2-	
槌	duei2=	
槍	tsʰiaŋ1	
槐	ɣua2	
槓	kaŋ5	
槳	tsiaŋ3	
槽	dzau2	
樁	tsaŋ1	
樂	nʊ7	
樂	iʊ7	音～
樓	nai2	
標	piau1	
樞	tʰʯ1	
樟	taŋ1	
模	mʊ2	～子；～範
樣	iaŋ6	
樵	dziau2	
樸	pʰʊ7	～素；厚～
樹	ʂʯ6	
樺	ɣɔ2	
橋	ɟiau2	
橘	tʯ7	
機	ci1	
橡	siaŋ5	
橢	tʰʊ3	
橫	ɣuən2	～直；蠻～
檀	dã2	
檁	niən3	
檗	piɛ7	黃～
檜	kʰuei5	
檢	cĩ3	
檳	piən1	
櫃	dʯ6-	大的
櫃	ɡuei6=	小的
櫓	nɯ3	
櫓	niɯ3	(又)
櫻	iən1	
欄	nã2	
權	duɛ̃2	
欛	pɔ5	(又)
欛	puɔ5	
欠	cʰĩ5	
次	tsʰɿ5	
欣	çiən1	
欲	iɯ7	
欺	cʰi1	
欽	cʰiən1	
款	kʰuɛ̃3	
歇	çiɛ7	
歉	cʰĩ5	
歌	kʊ1	
歎	tʰã5	
歐	ŋai1	
歡	xuɛ̃1	
止	tʂʅ3	
正	tən1	～月
正	tən5	公～
此	tsʰɿ3	
步	bu6	
武	u3	
歪	ua1	
歲	si5-	
歲	sai5=	
歷	ni5	～史
歸	kuei1	
死	sɿ3	
殃	iaŋ1	
殆	dai6	
殉	dzuən2	
殊	ʂʯ2	
殖	tʂʰʅ5	
殘	dzã2	
殮	nĩ3	
殯	piən5	
殲	tsʰĩ1	～滅
段	duɛ̃6	
殷	iən1	
殺	sa7	
殼	kʰʊ7	
殿	dĩ6	
毀	xuei3	
毅	ɲĩ6	
母	mʊ3	
每	mai3	
毒	tiɯ7	
比	pi3	～較
毛	mau2	
毫	ɣau2	
毯	tʰã3	
氈	tiɛ̃1	
氏	dzɿ6	
民	miən2	
氣	cʰi5	
水	ʂʯ3	
永	uən3	
汀	tiən1	
汁	tʂʅ7	
求	ɟiɯ2	
汗	ɣuɛ̃6	
汝	ai3	
汞	kən5	
江	ciaŋ1	
池	dʐʅ2	
污	u1	
汪	uaŋ1	一～水
決	tuɛ7	
汽	cʰi5	
沃	u1	
沈	sən3	
沉	dən2	
沌	duən6	
沒	miɛ̃7	沉～；～有
沙	sɔ1	
沛	pʰai5	
河	ɣʊ2	
油	iɯ2	
治	dʐʅ6	
沼	tau1	～氣
沾	tiɛ̃1	
沿	uɛ̃2	
況	kʰaŋ5	
泅	dziɯ2	
泉	dziɛ̃2	
泌	pi5	
泔	kuɛ̃1	
法	xua7	
泛	xuã5	
泡	pʰau1	水～
泡	pʰau5	浸～
波	pʊ1	
泣	çi7	
泥	ɲĩ2	
注	tʯ5	灌～
泰	tʰa5	
泳	uən5	
洋	iaŋ2	
洗	si3	
洛	nʊ7	
洞	dən6	
津	tsiən1	
洩	siɛ7	
洪	xən2	
洲	tiɯ1	
活	xuai5	
洽	çia5	
派	pʰa5	
流	niɯ2	
浙	tiɛ7	
浚	tsuən5	
浜	paŋ1	
浦	pʰu3	
浩	ɣau6	
浪	naŋ6-	
浪	naŋ3=	
浮	bau2-	
浮	ɣau2=	
浴	iɯ7	
海	xuai3	
浸	tsʰiən5	
消	siau1	
涉	siɛ5-	
涉	siɛ7=	
涕	tʰi5	
涯	iɔ1	
液	i7	
涼	niaŋ2	
涿	tsʊ7	
淆	ɣau2	
淋	niən2	
淑	siɯ7	
淘	dau2	
淚	ni6	
淡	dã6	
淤	ʯ2	
淨	dziən6	
淪	nən2	
淫	iən2	
淮	ɣua2	
深	sən1	
淵	uɛ̃1	
混	ɣuən6	相～
淸	tsʰiɔ̃1-	
淹	ɲĩ1	
淹	ɲĩ3	(又)
淺	tsʰiɛ̃3	
添	tʰĩ1	
清	tsʰiən1=	
減	kã3	
渠	dʯ2	
渡	diɯ6	
渣	tsɔ1	
測	tsʰiɛ7	
港	kaŋ3	
渴	kʰuɛ7	
游	iɯ2	
渺	miau3	
渾	xuən1	
湊	tsʰai5	
湖	βu2	
湘	siaŋ1	
湧	iən3	
湯	tʰaŋ1	
溉	kʰuai5	
源	uɛ̃2	
準	tuən3	標～；～確
溜	niɯ5	
溝	kai1	
溪	çi1	
溫	uən1	
溺	ɲĩ7	
滅	miɛ̃7	
滋	tsɿ1	
滑	ua5	
滔	tʰau1	
滬	βu6	
滴	tiɔ7-	
滴	ti7=	
滷	nɯ3	
滷	niɯ3	(又)
滸	ɸu3	
滾	kuən3	
滿	miɛ̃3	
漁	ʯ2	
漂	pʰiau3	～洗
漂	pʰiau5	～亮
漆	tsʰi7	
漏	nai5	
演	ɲĩ3	
漚	ŋai5	～麻
漢	xuɛ̃5-	
漢	xã5=	
漫	mã5	
漱	sɯ5	～口
漲	taŋ3	
漸	dzã6	
漿	tsiaŋ1	
潑	pʰiɛ7	
潔	ciɛ7	
潘	pʰiɛ̃1	
潛	dzĩ2	
潤	uən6	
潭	dã2	
潮	dau2	
潰	kʰuei5	～膿
潲	sau5	豬～
澀	siɛ7	
澄	dən2	
澆	ciau1	
澇	nau5	
澗	kã5	
澡	tsau3	
澤	tsʰiɛ7	
激	ci7	
濁	tsʰʊ5	
濃	nən2	
濕	ʂʅ7	
濟	tsi5	
濤	dau2	
濫	nã5	
濾	ni6	
瀉	siɛ7	
灌	kuɛ̃5	
灑	sua3-	
灑	sa3=	
灒	tsã5	
灘	tʰã1	
灣	uã1	
火	xʊ3	
灰	xuai1	
災	tsai1	
炊	tʰuei1	
炎	ɲĩ2	
炒	tsʰau3	
炕	kʰaŋ5	
炭	tʰã5	
炮	pʰau5	槍～
炸	tsɔ5	～彈
炸	tsa7	油～
烈	niɛ7	
烊	iaŋ2	
烏	u1	
烘	xən1	
烤	kʰau3	
烹	pʰiɛ̃1	
焊	ɣuɛ̃6	
焙	bai6	
焚	ɣuən2	
無	u2	
焦	tsiau1	
焰	ɲĩ6	
然	ɲĩ2	
煉	nĩ6	
煎	tsĩ5	
煑	tʯ3	
煙	ɲĩ1	
煤	mai2	
煥	xuɛ̃5	
照	tau5	
煨	uai1	
煩	ɣuã2	
熄	si7	
熊	ɣiən2	
熏	suən1	
熙	çi1	
熟	siɯ5	
熨	uən5	
熬	ŋau1	～白菜
熬	ŋau2	煎～
熱	iɛ7	
燃	ɲĩ2	
燈	tiɛ̃1	
燎	niau2	
燒	siau1	
燕	ɲĩ5	～子
燙	tʰaŋ5	
營	uən2	
燦	tsʰã5	
燭	tiɯ7	
爆	pau5	
爐	nɯ2	
爐	niɯ2	(又)
爛	nã6	
爪	tsau3	
爬	bɔ2	(又)
爬	buɔ2	
爭	tsiɛ̃1-	
爭	tsən1=	
爲	uei2	
爵	tsiʊ7	
父	βu6	
爸	pɔ1	(又)
爸	puɔ1	
爹	ti1	
爺	iɔ2	
爽	saŋ3	
爾	ai3	
牆	dziaŋ2	
片	pʰĩ5	
版	pã3	
牌	ba2	
牒	tʰiɛ5	
牘	tiɯ7	
牙	ŋɔ̃2	
牛	ɲiɯ2	
牡	miau3	
牢	nau2	
牧	mʊ7	
物	u7	
牯	ku3	
牲	siɛ̃1	
牸	dzɿ6	～牛
特	tʰiɛ7	
牽	cʰĩ1	
犀	si1	
犁	ni2	
犢	tiɯ7	
犧	çi1	
犬	tʰuɛ̃3	
犯	ɣuã6	
狀	dzaŋ6	
狂	ɡaŋ2	
狂	ɡuaŋ2	(又)
狄	tʰi5	
狐	βu2	
狗	kai3	
狡	ciau3	
狸	ni3	
狹	xa5-	
狹	çia5=	
狼	naŋ2	
猛	maŋ3	
猜	tsʰa1	
猝	tsʰɯ7	
猴	ɣai2	
猶	iɯ2	
猾	ua5	
獄	iɯ7	
獅	sɿ1	
獎	tsiaŋ3	
獨	tiɯ7	
獲	xuɛ7	
獵	niɛ7	
獸	siɯ5	
獺	tʰa7	
獻	çĩ5	
玄	ɣuɛ̃2	
率	ni5	速～
率	sʊ7	～領
玉	ʯ5	
王	uaŋ2	
玩	uã2	古～；遊～
玻	pʊ1	
珊	sã1	
珍	tən1	
珠	tʯ1	
班	pã1	
現	ɣĩ6	
球	ɟiɯ2	
理	ni3	
琉	niɯ2	～璃
琢	tsʊ7	
琴	ɟiən2	
琵	bi2	～琶
瑞	ʂʯ6-	
瑞	ʂuei5=	
瑟	siɛ7	
瑣	sʊ3	
璃	ni2	
璧	piɔ7-	
璧	pi7=	
環	ɣuã2	
璽	si3	
瓊	duən2	
瓜	kɔ1	
瓠	βu6	～瓜
瓢	biau2	
瓣	bã6	
瓦	ŋɔ̃3	
瓶	biən2	
瓷	dzɿ2	
甌	ŋai1	
甕	uən5	
甘	kuɛ̃1	
甚	ɣiən6	
甜	dĩ2	
生	siɛ̃1-	
生	sɔ̃1-	不熟
生	sən1=	
產	tsʰã3	
甥	siɛ̃1	
用	iən6	
甫	pʰu3	
甬	iən3	
甯	ɲiən5	～可
田	dĩ2	
由	iɯ2	
甲	ka7-	
甲	cia7=	
申	sən1	
男	nã2	
界	ka5	
畏	uei5	
留	niɯ2	
畜	tʰiɯ7	～牲；～牧
畝	mʊ3-	
畝	mai3=	
畢	pi7	
略	niʊ7	
番	xuã1	幾～
畫	ɣɔ6	
異	i6	
當	taŋ1	應～
當	taŋ5	～作
疆	ciaŋ1	
疊	tiɛ7	
疏	sɯ1	
疑	ɲĩ2	
疔	tiən1	
疤	pɔ1	(又)
疤	puɔ1	
疥	ka5	
疫	ʯ5	
疲	bi2	
疹	tən3	
疹	tʰən3	
疼	diɛ̃2	
疾	tsi7	
疿	xuei1	
病	biɔ̃6-	
病	biən6=	
症	tən5	
痔	dʐʅ6	
痕	ɣiɛ̃2-	
痕	xən2	
痛	tʰən5	
痢	ni6	
痣	tʂʅ5	
痰	dã2	
痲	mɔ̃2	(又)
痲	muɔ̃2	
痴	tʂʰʅ1	
痹	pi5	
瘋	xuən1	
瘍	iaŋ2	
瘟	uən1	
瘡	tsʰaŋ1	
瘦	sai5	
瘧	ɲiʊ7	
瘴	taŋ5	
療	niau2	
癢	iaŋ3	
癩	na6	
癬	ʂuɛ̃3	
癸	kuei5	
登	tiɛ̃1	
發	xua7	出～
白	piɛ7	
百	piɛ7	
皂	dzau6	
的	ti7	目～
皆	ka1	
皇	ɣaŋ2	
皖	xuɛ̃3	
皮	bi2	
皴	tsʰən1	臉～
皺	tsai5	
皿	miən3	
盂	ʯ2	
盅	tən1	
盆	biən2	
盈	iən2	
益	i7	
盒	xuai5	
盔	kʰuai1	
盛	ɣiən6	興～
盜	dau6	
盞	tsã3	
盟	miən2	
監	kã5	～牢；國子～
盤	biɛ̃2	
盧	nɯ2	
盧	niɯ2	(又)
目	mʊ7	
盲	maŋ2	
直	tʂʰʅ5	
相	siaŋ1	互～
相	siaŋ5	～貌
盼	pʰã5	
盾	suən3	人名
盾	tən5	矛～
盾	tuən5	矛～
省	sɔ3-	～長；節～
省	sɔ̃3-	～長；節～
省	siən3	反～
省	siɛ̃3=	～長；節～
眉	mĩ2	
看	kʰuɛ̃5-	～守；～見
看	kʰã5=	～守；～見
眞	tən1	
眠	mĩ2	
眨	tsa7	
眩	ɣuɛ̃5	
眶	cʰiaŋ1	眼～
眷	tuɛ̃5	
眼	ŋã3	
眾	tən5	
着	tʊ7	～衣；睡～
睛	tsiən1	
睜	tsiɛ̃1	
睡	ʂuei5	
督	tiɯ7	
睬	tsʰai3	
瞎	xa7	
瞞	miɛ̃2	
瞧	dziau2	
瞭	niau2	
瞳	dən2	
瞻	tiɛ̃1	
瞿	dʯ2	
矛	mau2	～盾
矛	miau3	～子
矢	ʂʅ3	
矣	i1	
知	tʂʅ1	
矩	tʯ3	
短	tuɛ̃3	
矮	ŋã3	
石	siɔ5-	
石	ʂʅ5=	
砌	tsʰi5	
砍	kʰã3	
研	ɲĩ1	
破	pʰʊ5	
硃	tʯ1	
硝	siau1	
硫	niɯ2	
硬	ɲiɛ̃6	
硯	ɲĩ6	
碎	suai5	
碑	pai1	
碓	tuai5	
碗	uɛ̃3	
碟	tʰiɛ5	
碧	pi7	
確	kʰʊ7	
碼	mɔ̃3	(又)
碼	muɔ̃3	
碾	ɲĩ3	
磁	dzɿ2	
磉	saŋ3	
磕	kʰʊ7	
磚	tuɛ̃1	
磨	mʊ2	～刀
磨	mʊ6	～面；石～
磬	cʰiɔ̃5-	
磬	cʰiən5=	
磷	niən2	
礎	tsʰɯ3	
礓	ciaŋ1	
礦	kʰaŋ5	
礬	ɣuã2	
示	dzɿ6	
社	ɣiɔ6	
祀	dzɿ6	祭～
祁	ɟi2	
祈	ɟi2	
祖	tsɯ3	
祝	tiɯ7	
神	ɣiən2	
祠	dzɿ2	
祥	dziaŋ2	
票	pʰiau5	
祭	tsi5	
祿	nɯ7	
祿	niɯ7	(又)
禀	piən3	
禁	ciən1	～不住
禁	ciən5	～止
禍	ɣʊ6	
福	ɸu7	
禦	ʯ5	防～
禮	ni3	
禱	tau3	
禹	ʯ3	
禽	ɟiən2	
禾	u2	
禿	tʰɯ7	
秀	siɯ5	
私	sɿ1	
秉	piən3	
秋	tsʰiɯ1	～天
科	kʰʊ1	
秒	miau3	
秕	pʰiɛ3	～穀子
秘	pi5	
租	tsɯ1	
秤	tʰən5	
秦	dziən2	
秧	iaŋ1	
秩	tʂʰʅ7	
移	i2	
稀	çi1	
稅	ʂʯ5-	
稅	ʂuei5=	
稈	kuɛ̃3	稻～
程	dən2	
稍	sau3	
稗	bɔ̃6	
稚	dʐʅ2	
稠	diɯ2	
種	tən3	～類
種	tən5	～樹
稱	tʰən1	～呼；相～
稻	dau6-	
稻	tau5=	
稼	ciɔ5	
稽	ci1	
稿	kau3	
穀	ku7	～子
穆	mʊ7	
積	tsi7	
穎	iən3	
穗	ɣuei6	
穢	uei5	
穩	uən3	
穴	tʰuɛ7	
究	ciɯ5	
空	kʰən1	～虛
空	kʰən5	～缺
穿	tʰuɛ̃1	
突	tʰiɯ7	(又)
窖	kau5	
窗	tsʰaŋ1	
窘	duən6	
窟	kʰu1	
窠	kʰu1-	
窠	kʰʊ1=	
窨	iən5	
窩	ʊ1	
窮	ɟiən2	
窯	iau2	
窺	kʰuei1	
竄	tsʰuɛ̃5	
竅	cʰiau5	
竈	tsau5	
立	ni7	
站	dzã6-	立；車～
站	tsã5=	立；車～
竟	ciən5	
章	taŋ1	
童	dən2	
端	tuɛ̃1	
競	ciən5	
竹	tiɯ7	
竿	kuɛ̃3-	
竿	kã3=	
笑	siau5	
笙	siɛ̃1	
笛	ti7	
笠	ni5	
符	βu2	
笨	piən3	
第	di6	
筆	pi7	
等	tiɛ̃3	
筋	ciən1	
筍	suən3	
筏	xua5	
筐	cʰiaŋ1	
筒	dən2	
答	ta7	
策	tsʰiɛ7	
筵	ɲĩ2	
筷	kʰua5	
箋	tsʰiɛ̃5	
箍	ku1	
箏	tsiɛ̃1	
算	ʂuɛ̃5	
管	kuɛ̃3	
箭	tsĩ5	
箱	siaŋ1	
節	tsiɛ7	
範	ɣuã6	模～
篆	duɛ̃6	
篇	pʰĩ1	
築	tiɯ7	
篙	kau1	
篡	tsʰuɛ̃5	
篤	tiɯ7	
篦	bi6	
篩	sa1	
篷	baŋ2	
篾	mĩ5	
簍	nai3	
簟	dĩ6	
簡	kã3	
簧	ɣaŋ2	
簪	tsã1	
簫	siau1	
簰	ba2	筏
簷	ɲĩ2	
簸	pu5	～一～
簸	pʊ5	～箕
簽	tsʰĩ1	～字
簾	nĩ2	
簿	bu6	
籃	nã2	
籌	diɯ2	
籍	tsi7	
籠	nən2	
籤	tsʰĩ1	竹～
籬	ni2	
籮	nʊ2	
籲	ʯ2	呼～
米	mĩ3	
粉	xuən3	
粒	ni5	
粗	tsʰɯ1	
粘	tiɛ̃1	～貼
粘	tiɔ̃1	(存疑)粘貼
粟	siɯ7	
粥	tiɯ7	
粱	niaŋ2	
粳	ciɛ̃1	
粵	uɛ7	
粹	tsʰi5	
糉	tsuən5	
精	tsiɔ̃1-	～肉
精	tsiən1=	
糕	kau1	
糖	daŋ2	
糙	tsʰau5	
糜	mĩ2	粥
糞	xuən5	
糟	tsau1	
糠	kʰaŋ1	
糧	niaŋ2	
糯	nʊ6	
糰	duɛ̃2	
糴	tʰi5	
糶	tʰiau5	
系	ɣi6	～統
糾	ciɯ1	～纏；～正
紀	ci3	
紂	diɯ6	
約	iʊ7	
紅	xən2	
紋	uən2	
納	na7	
紐	ɲiɯ3	
純	ɣiuən2	
紗	sɔ1	
紙	tʂʅ3	
級	ci7	
紛	xuən1	
紝	iən6	
素	sɯ5	
紡	xaŋ3	
索	sʊ7	
紫	tsɿ3	
累	nai3	困～；連～
累	nuai3	(又)困～
細	si5	
紹	siau5	
終	tən1	
組	tsɯ3	
絆	pʰã5	
結	ciɛ7	
絕	tsuɛ7	
絞	ciau3	
絡	nʊ7	
給	ci7	
絨	iən2	
絮	ʂʯ5-	
絮	ʂuei5=	
統	tʰən3	
絲	sɿ1	
絹	tuɛ̃5	
綁	paŋ3	
綏	si1	
經	ciən1	
綜	tsən5	織布機上的綜
綜	tsuən5	(又)織布機上的綜
綠	nɯ7	
綠	niɯ7	(又)
綢	diɯ2	
維	uei2	
綱	kaŋ1	
網	uaŋ3	
綽	tsʊ7	寬～
綿	mĩ2	
緊	ciən3	
緖	dzi6	
線	sĩ5	
緞	duɛ̃6	
緣	uɛ̃2	
編	pʰĩ1	
緩	xuɛ̃3	
緯	uei5	
練	nĩ6	
縊	i5	
縐	tsai5	
縛	xʊ5	
縣	ɣuɛ̃6	
縫	ɣuən2	～衣服
縫	xən6	一條～
縮	sɯ7	
縱	tsuən5	～橫；放～
縷	nai3	
總	tsən3	
績	tsi7	
繁	ɣuã2	
織	tʂʅ7	
繞	iau3	圍～；～線
繡	siɯ5	
繩	ɣiən2	
繪	kʰuei5	
繫	ci5	～鞋帶
繫	ɣi6	聯～
繭	cĩ3	
繰	tsʰiau1	
繳	ciau3	
繼	ci5	
續	sɯ7	
纍	nai3	～積
纏	diɛ̃2	
纓	iən1	
纔	dzai2	方～
纜	nã2	
缸	kaŋ1	
缺	tʰuɛ7	
罐	kuɛ̃5	
罕	xuɛ̃3	
罩	tsau5	
罪	dzuai6	
置	tʂʰʅ5	
罰	xua5	
署	ʂʯ5	
罵	mɔ̃6	(又)
罵	muɔ̃6	
罷	bɔ6	
羅	nʊ2	
羊	iaŋ2	
羌	cʰiaŋ1	
美	mĩ3	
羔	kau1	
羞	siɯ1	
羣	duən2	
羨	sĩ5	
義	ɲĩ6	
羹	ciɛ̃1	
羽	ʯ3	
翁	uaŋ1	
翅	tʂʅ5	
翎	niən2	
習	si7	
翠	tsʰi5	
翡	xuei1	
翰	ɣuɛ̃6	
翻	xuã1	
翼	i7	
耀	iau6	
老	nau3	
考	kʰau3	
者	ta3	着
者	tiɛ̃3	(又)
而	ai2	
耍	sɔ3	
耐	na6	
耕	ciɛ̃1	
耗	xau5	
耙	bɔ2	(又)犁～；～地
耙	buɔ2	犁～；～地
耳	ai3	
耶	iɔ1	
耽	tã1	
耿	ciɛ̃3	
聊	niau2	
聒	kua7	
聖	sən5	
聘	pʰiən5	
聚	dzi6	
聞	uən2	
聯	nĩ2	
聰	tsʰən1	
聰	tsʰuən1	(又)
聲	siɔ̃1-	
聲	sən1=	
聶	ɲiɛ̃7	姓
職	tʂʅ7	
聽	tʰiɔ̃5-	～見
聽	tʰiən5	～任；(文)～見
聾	nən1	
肅	sɯ7	
肆	sɿ5	
肉	iɯ7	
肋	niɛ7	
肌	ci1	
肘	tiɯ3	
肚	tɯ3	魚～；腹～
肚	tiɯ3	(又)魚～；腹～
肝	kuɛ̃1	
股	ku3	
肢	tʂʅ1	
肥	ɣuei2	
肩	cĩ1	
肪	ɣaŋ2	
肯	cʰiɛ̃3	
育	iɯ5	
肴	ɣau2	
肺	xuei5	
胃	uei5	
背	pai5	～包袱
背	bai6	～誦
胎	tʰai1	
胖	pʰaŋ5	
胚	pʰai1	
胛	ka7-	
胛	cia7=	
胞	pau1	
胡	βu2	～琴
胮	pʰaŋ1	腫
胳	kʊ7	
胸	çiən1	
能	niɛ̃2	
脂	tʂʅ3	
脂	tʂʅ7	(又)
脅	çiɛ7	
脆	tsʰuei5	
脈	miɛ̃7	
脊	tsiɔ7-	
脊	tsi7=	
脫	tʰuɛ7	
脯	bu2	胸～
脹	taŋ5	
脾	bi2	
腋	i7	
腎	sən5	
腐	ɸu3	
腑	ɸu3	
腔	cʰiaŋ1	
腕	uã3	
腡	nʊ2	
腥	siɔ̃3-	
腥	siən3=	
腦	nau3	
腫	tən3	
腮	suai1	
腰	iau1	
腳	tʊ7	
腸	daŋ2	
腹	ɸu7	
腿	tʰuai3	
膏	kau1	
膘	piau1	
膚	ɸu1	
膜	mʊ7	
膝	tsʰi7	
膠	kau1-	
膠	ciau1=	
膨	biɛ̃2	
膩	ɲĩ5	
膳	ɣiɛ̃6	
膽	tã3	
膿	nən2	
臀	duən2	
臂	pi7	
臉	nĩ3	
臍	dzi2	
臟	dzaŋ6	
臘	na7	
臣	dən2	
臥	ŋʊ6-	
臥	ŋʊ5=	
臨	niən2	
自	dzɿ6	
臭	tʰiɯ5	
至	tʂʅ5	
致	tʂʅ5	
臺	dai2	戲～
臻	tsiɛ̃1	
臼	ɟiɯ6	
舀	iau3	
舂	tʰən1	
舅	ɟiɯ6	
與	ʯ6	及；給與
興	çiən1	～旺
興	çiən5	高～
舉	tʯ3	
舊	ɟiɯ6	
舌	siɛ5	
舍	siɛ5	宿～
舒	ʂʯ1	
舔	tʰĩ3	
舜	suən5	
舞	u3	
舟	tiɯ1	
航	ɣaŋ2	
般	piɛ̃1	
舵	dʊ6-	
舵	tʊ5=	
船	duɛ̃2	
艇	tʰiən3	
艦	kʰã5	
良	niaŋ2	
艱	kã1	
色	siɛ7	
艷	ɲĩ5	
艾	ŋã6	
芋	ʯ6	
芍	çiʊ5	
芒	maŋ2	
芙	βu2	
芝	tʂʅ1	
芥	ka5	
芬	xuən1	
芭	pɔ1	(又)
芭	puɔ1	
芮	ʂuei5	姓
花	xɔ1	
芳	xaŋ2	
芹	ɟiən2	
芽	ŋɔ̃2	
苔	tʰai1	舌～
苔	dai2	青～
苗	miau1	
苟	kai3	
若	iʊ7	
苦	kʰu3	
苧	dʯ6	
英	iən1	
茂	mai6-	
茂	mai5=	
范	ɣuã6	姓
茄	dɔ2	～子
茅	mau2	
茫	maŋ2	
茲	tsɿ1	
茴	ɣuai2	
茶	dzɔ2	
茸	iən2	
草	tsʰau3	
荊	ciən1	
荒	xaŋ2	
荔	ni6	
荷	ɣʊ2	～花
莊	tsaŋ1	
莧	ɣã6	
莫	mʊ5	
莽	maŋ3	
菊	ciɯ7	
菌	duən6	
菖	tʰaŋ1	
菜	tsʰai5	
菠	pʊ1	
菢	bau6	～雞婆
菩	bu2	
華	ɣɔ2	中～；姓
菱	niən2	
萄	dau2	
萌	miən2	
萍	biən2	
萎	uei1	
萬	uã6	
落	nʊ5	
落	nʊ7	
