#漢字	音標	解釋
䉪	lui2	一種捕魚工具、深䉪，地名
一	jɐt7a	
丁	ʔiaŋ1	白讀
丁	ʔɪŋ1	
七	tʰɐt7a	
丈	tsiaŋ6	
三	sam1	
上	siaŋ1	
上	siaŋ6	上面
下	ha5	打一下
下	ha6	下面
不	pɐt7a	
丐	kʰɔi1	
丑	tsʰɐu2	
且	tʰia2	
世	sɔi1	
丘	jou1	
丙	pɪŋ2	
丞	sɪŋ4	
丟	ʔiau1	
並	pɪŋ6	
丫	ŋa1	
中	tsʊŋ1	
丰	fʊŋ1	
串	tsʰin1	
丸	juan4	
丹	ʔan1	
主	tsi2	
乃	nai5	
久	kɐu2	
么	jiau1	
之	tsi1	
乍	tsa1	
乎	fu4	
乏	fɐt8	
乏	fut8	又音
乒	pɪŋ1	
乓	pɐm1	
乖	kwai1	
乘	sɪŋ4	乘船
乘	sɪŋ6	萬乘之國
乙	jit8	
九	kɐu2	
乞	hɐt7a	
也	ja5	
乳	ji2	又音
乳	ji5	
乳	jui5	汁液，白讀
乾	kɔn1	乾燥
乾	kʰin4	乾坤
亂	luan6	
了	liau1	了結
了	liau5	了解
予	ji5	給予
事	si6	
二	ji6	
于	ji1	
云	wɐn4	
云	wun4	又音
互	wu6	
五	m2	
井	tiaŋ2	
亙	kaŋ2	
些	sia1	
亞	ŋa1	
亟	kɪk8	亟需
亟	kʰei1	亟請
亟	kʰi1	亟請，又音
亟	kʰiɛ1	亟請，又音
亡	mɔŋ4	
亢	kʰɔŋ1	高亢
交	kiau1	
亥	hɔi6	
亦	jɪk8	
亨	haŋ1	
享	hiaŋ2	
京	kɪŋ1	
亭	hiaŋ4	天亭，地名
亭	hɪŋ4	
亮	liaŋ6	
人	jɐn4	
什	dap8	什錦
什	sɐm6	什麼
仁	jɐn4	
仃	ʔɪŋ1	
仄	tsak7a	
仄	tsɪk7a	
仆	pʊk8	
仆	fu6	前仆後繼
仆	pʰʊk8	
仆	pʰʊk7a	仆倒
仇	kʰɐu4	姓仇
仇	sɐu4	仇人
今	kɐm1	
今	kɐm4	今日
介	kai1	
仍	jɪŋ4	
仔	tai2	豬仔
仔	ti2	仔細
仕	si6	
他	ha1	
仗	tsiaŋ1	打仗
仗	tsiaŋ6	仗義
付	fu6	
仙	sin1	
仝	hʊŋ4	
仞	jɐn6	
仟	tʰin1	
代	ʔɔi6	
令	liaŋ6	白讀
令	lɪŋ1	一令紙
令	lɪŋ4	令狐
令	lɪŋ6	命令
以	ji5	
仰	jiaŋ2	
仰	ŋɔŋ2	
仲	tsʊŋ6	
件	kin6	
任	jɐm4	姓任
任	jɐm6	信任
份	fɐn6	
份	fun6	又音
仿	fɔŋ2	仿佛
企	kʰei1	
企	kʰei2	
企	kʰei5	
企	kʰi1	又音
企	kʰi2	屋企，家
企	kʰi5	又音
企	kʰiɛ1	又音
企	kʰiɛ2	又音
企	kʰiɛ5	又音
伊	ji1	
伍	m2	
伏	fʊk8	
伐	fɐt8	
伐	fut8	又音
休	jou1	
伙	fɔ2	
伯	pa1	春秋五伯
伯	pak8	
伯	pak9	阿伯
伯	pak7b	伯爺
估	ku1	估衣
估	ku2	估計
伴	puan6	
伶	lɪŋ4	
伸	sɐn1	
伺	ti6	窺伺
伺	si1	
似	si1	
伽	ka1	瑜伽
伽	kʰia4	伽藍
佃	hin4	佃作
佃	ʔin6	佃農
但	ʔan6	
佇	tsʰi1	
佈	pou1	
佈	pu1	又音
佈	puɔ1	又音
位	wi6	
低	ʔɛ1	
住	tsi6	
佐	tɔ1	
佑	jou6	
佔	tsiam1	
何	hɔ4	
佗	hɔ4	
余	ji4	
佚	jɐt8	
佛	fɐt8	佛教
佛	fɐt7a	仿佛
佛	fut8	佛教，又音
佛	fut7a	仿佛，又音
作	tɔk7a	
作	tɔk7b	
你	nei1	
你	ni1	又音
你	niɛ1	又音
佣	jʊŋ2	
佩	pʰuai1	
佳	kai1	
併	pʰɪŋ1	
使	si1	使者
使	sɔi2	
侃	hɔn2	
來	lɔi4	
侈	tsʰi2	
例	lɔi6	
侍	si6	
侏	tsi1	
供	kʊŋ1	
依	ji1	
侮	mou5	
侮	mu5	又音
侮	muɔ5	又音
侯	hou4	
侵	tʰɐm1	
侶	lui5	
便	pin6	便利
便	pʰin4	大腹便便
係	hɔi6	
促	tʰʊk7a	
俄	ŋɔ4	
俊	tɐn1	
俎	tsɔ2	
俏	tʰiau1	
俐	lei6	
俐	li6	又音
俐	liɛ6	又音
俐	lɔi6	
俑	jʊŋ2	
俗	tʊk8	
俘	fu1	
保	pau2	
俠	hɐp8	
信	sɐn1	
修	sɐu1	
俯	fu2	
俱	kʰui1	
俸	fʊŋ2	
俺	jiam2	
倆	liaŋ2	姓氏
倉	tʰɔŋ1	
個	kai1	
個	kə1	語流變讀
個	kɔ1	
倌	kuan1	
倍	pʰuai1	
倍	pʰuai5	
倏	sʊk7a	
們	muan4	
倒	ʔau1	
倒	ʔau2	
倔	kun8	又音
倔	kwɐt8	
倖	haŋ6	
倘	hɔŋ2	
候	hou6	
倚	ji2	
借	tia1	
倡	tsʰiaŋ1	
倦	kin6	
倩	sin6	
倪	ŋɔi4	
倫	lɐn4	
值	tsɪk8	
假	ka1	假如
假	ka2	放假
偉	wi2	
偉	wi5	
偎	wuai1	
偏	pʰin1	
偕	kai1	
做	tou6	
做	tsu6	又音
做	tsuɔ6	又音
停	hɪŋ4	
健	kin6	
側	sak7a	邊側，地方
側	tsak7a	
偵	tsɪŋ1	
偶	ŋou1	
偷	hou1	
僞	ŋɔi6	
傀	fai1	傀儡
傀	kwi1	傀偉
傅	fu6	傅粉施朱
傍	pɔŋ6	依山傍水
傍	pɔŋ6	傍晚
傍	pʰɔŋ4	傍晚
傑	kit8	
傘	san1	
備	pei6	
備	pi6	又音
備	piɛ6	又音
傢	ka1	
催	tʰui1	
傭	jʊŋ4	
傲	ŋau6	
傳	tsʰuan4	傳播
傳	tsuan6	傳奇
債	tsai1	
傷	siaŋ1	
傻	sɔ4	
傾	kʰɪŋ1	
僅	kɐn2	
像	tiaŋ6	
僑	kʰiau4	
僕	pʊk8	
僚	liau4	
僥	hiau1	僥倖
僥	jiau4	僬僥，短人，西南夷別名
僧	tsaŋ1	
僮	hʊŋ4	書僮
僮	tsɔŋ6	僮族
僱	ku1	
僵	kiaŋ1	
價	ka1	
僻	pʰɪk7a	
儀	ji4	
億	jɪk7a	
儉	kiam6	
儒	ji4	
儘	tɐn6	
償	siaŋ4	
儡	lui1	
優	jou1	
儲	tsʰi1	
儸	lɔ4	
儼	jiam4	
兀	ŋɐt8	
允	wɐn1	
允	wɐn2	姓氏
允	wun1	又音
元	juan4	
兄	hɪŋ1	
充	tsʰʊŋ1	
兆	siau6	
兇	hʊŋ1	
先	sin1	
光	kɔŋ1	
克	hak7a	
兌	ʔui1	
免	min2	
兒	ji4	
兔	hou1	
兔	hu1	又音
兔	huɔ1	又音
兜	ʔou1	
兢	kɪŋ1	
入	jɐp8	
內	nɔi6	
全	tʰin4	
兩	liaŋ2	
八	pɛt7a	八卦
八	pɛt7b	數字八
公	kʊŋ1	
六	lʊk8	
兮	hɔi4	
共	kʊŋ6	
兵	pɪŋ1	
其	kʰei4	
其	kʰi4	又音
其	kʰiɛ4	又音
具	kui6	
典	ʔin2	
兼	kiam1	
冀	kʰei1	
冀	kʰi1	又音
冀	kʰiɛ1	又音
冉	jiam1	
冊	tsʰak7b	
再	tɔi1	
冑	tsɐu6	
冒	mak8	冒頓
冒	mau6	冒犯
冕	min2	
冚	hɐm5	冚家鏟
冚	hɐm6	全部
冠	kuan1	
冢	tsʰʊŋ2	
冤	juan1	
冥	mɪŋ4	
冬	ʔʊŋ1	
冰	pɪŋ1	
冶	jia5	
冷	laŋ1	
冽	lit8	
准	tsɐn2	
凋	ʔiau1	
凌	liaŋ4	雪凌，冰錐
凌	lɪŋ4	
凍	ʔʊŋ1	
凜	lɐm1	
凝	jɪŋ4	
几	kei1	
几	ki1	又音
几	kiɛ1	又音
凡	fan4	
凰	wɔŋ4	
凱	hɔi2	
凳	ʔaŋ1	
凶	hʊŋ1	
凸	ʔɐt8	
凹	nɐp7a	
出	tsʰɐt7a	
函	ham4	
刀	ʔau1	
刁	ʔiau1	
刃	jɐn6	
分	fɐn1	分開
分	fɐn6	本分
分	fun1	分開，又音
分	fun6	本分，又音
切	tʰit7b	急切
切	tʰɔi1	一切
刊	hɔn1	
刎	mɐn1	
刑	jɪŋ4	
划	wa1	划船
列	lit8	
初	tsʰɔ1	
判	pʰuan1	
別	pit8	
刨	pʰiau4	
利	lei6	
利	li6	又音
利	liɛ6	又音
利	lɔi6	
刪	san1	
刮	kwɛt7b	
到	ʔau1	
制	tsɔi1	
刷	tsʰat9	
刷	tsʰat7b	
券	kin1	
券	kʰin1	
刺	tʰi1	
刻	hak7a	
剃	hɔi1	
則	tak7a	
削	siak7b	
剋	hak7a	
前	tʰin4	
剎	sat7b	
剔	hɪk7a	
剖	fou2	
剛	kɔŋ1	
剝	mɔk7a	
剩	sɪŋ6	文讀
剩	tsɪŋ6	
剪	tin2	
副	fu1	
割	kɔt7b	
創	tsʰɔŋ1	
剷	tsʰan2	
劃	wak8	
劇	kʰiak8	
劇	kʰiak9	
劈	pʰɪk7a	
劉	lɐu4	
劍	kiam1	
劑	tɔi1	
力	lɪk8	
功	kʊŋ1	
加	ka1	
劣	lit8	
助	tsɔ6	
努	nou2	
努	nu2	又音
努	nuɔ2	又音
劫	kiap7b	
劭	siau6	
劾	hɐt8	
勁	kɪŋ6	
勃	puat8	
勇	jʊŋ5	
勉	min1	
勒	lak8	
動	ʔʊŋ6	
勘	hɐm1	
務	mou6	
務	mu6	又音
務	muɔ6	又音
勛	fɐn1	
勛	fun1	又音
勝	sɪŋ1	
勞	lau4	
募	mou6	
募	mu6	又音
募	muɔ6	又音
勢	sɔi1	
勢	sɔi5	手勢，變調
勤	kʰɐn4	
勵	lɔi6	
勸	hin1	
勺	tsiak7b	
勻	wɐn4	
勻	wun4	又音
勾	kou1	勾當
勾	ŋou1	勾劃
勿	mɐt8	
包	piau1	
匆	tsʰʊŋ1	
匈	hʊŋ1	
匍	pʰou4	
匍	pʰu4	又音
匍	pʰuɔ4	又音
匐	fʊk8	
化	fa1	
北	pak7a	
匙	tsʰi4	茶匙，湯匙，一本作“瓷”
匙	si4	鑰匙
匠	tiaŋ6	
匣	hap8	
匪	fi2	
匯	wui6	
匱	kwi6	
匹	pʰɐt7a	
匾	pin2	
匿	nei2	
匿	ni2	又音
匿	niɛ2	又音
匿	nɪk7a	躲藏
匿	nɪk7a	匿名
區	kʰui1	區別
區	ŋou1	姓區
十	sɐp8	
千	tʰin1	
卅	sa1	
升	sɪŋ1	
午	m2	
卉	wi2	
半	puan1	
卑	pei1	
卑	pi1	又音
卑	piɛ1	又音
卒	tɐt7a	士卒
卓	tsʰiak7b	
協	hiap7b	
南	nam4	
博	pɔk7a	
博	pɔk7b	
卜	pak8	萝卜
卜	pɔk7a	
卜	pʊk7a	
占	tsiam1	
卡	kʰa2	
卦	kwa1	
卬	ŋɔk9	我哋
卯	mau1	
印	jɐn1	
危	ŋɔi4	
即	tɪk7a	
即	tɪk7b	又音
卵	luan2	
卷	kin2	卷曲
卷	kin6	試卷
卸	sia1	
卻	kʰiak7b	
卿	hɪŋ1	
厄	ŋak7a	
厘	lei4	
厘	li4	又音
厘	liɛ4	又音
厚	hou1	
厝	tʰou1	
厝	tʰu1	又音
厝	tʰuɔ1	又音
原	juan4	
厥	kʰiak9	佢哋
厭	jiam1	
厲	lɔi6	
去	hui1	
參	tsʰɐm1	參差
參	sam1	三的大寫
參	sɐm1	人參
參	tʰam1	
又	jou6	
叉	tsʰa1	
及	kʰɐp8	
友	jou5	
反	fan2	
叒	jiak8	
叔	sʊk7a	
叕	tsit7b	
取	tʰui2	
受	sou6	
叛	puan6	
叟	sou2	
叢	tʰʊŋ4	
口	hou2	
古	ku2	
句	kui1	
另	lɪŋ6	
叨	hau1	叨擾
叨	ʔau1	嘮叨
叩	kʰou1	
只	tsi2	
叫	kiau1	
召	siau6	召南
召	tsiau6	召喚
叭	pɛt7b	
叮	ʔiaŋ1	
叮	ʔɪŋ1	
可	hak7a	可汗
可	hɔ2	可以
台	hɔi1	天台，地名
台	ji4	
叱	tsʰɪk7a	叱石，地名
史	si2	
右	jou6	
司	si1	
叻	liak7a	聰明
叼	ʔiau1	
吁	hui1	
吃	kɐt8	口吃
吃	hiak7b	吃飯
各	kɔk7a	
各	kɔk7b	
吆	jiau1	
合	kap8	一合
合	hap8	合格
吉	kɐt7a	
吊	ʔiau1	
同	hʊŋ4	
名	miaŋ2	你叫乜名？
名	miaŋ4	名聲，白讀
名	mɪŋ4	
后	hou6	
吏	lei6	
吏	li6	又音
吏	liɛ6	又音
吏	lɔi6	
吐	hou1	
吐	hu1	又音
吐	huɔ1	又音
