#漢字	音標	解釋
□	sã7	～話，打斷別人的話
抑	ɛt7	
抓	tsua1	
投	tau2	
抖	tou3	
折	tsɛt7	
披	pʰi1	
抱	pʰo6	
抱	pʰau6	
抵	tei3-	
抵	ti3	
抵	tu3	
抹	buaʔ7-	
抹	buat7	
押	aʔ7	
抽	tʰiu1	
拆	tʰiaʔ7-	
拇	bo3	
拈	nĩ1-	
拈	liam1	
拉	l1	
拋	pʰ1	～網
拋	pʰau1	
拌	puã6-	
拌	pʰuan1	
拌	puan6	
拍	pʰaʔ7	
拐	kuai3	
拒	ki6	
拓	tʰok7	
拔	peʔ8-	
拔	puat8	
拖	tʰua1-	
拖	tʰo1	
拗	au3	
拘	kʰi1	
拙	tsuat7	
招	tsio1-	
招	tsiau1	
拜	pai5	
拮	kʰɛt7	
拯	tsin3	
拱	kioŋ3	
拳	kʰuan2	
拼	piã5-	
拾	sip8	
拿	nã3	
指	tsai3	手～
指	tsi3	
挈	kʰɛt7	
按	an5	
挑	tʰio1-	
挑	tʰiau1	
挖	ueʔ7-	
挨	ei1-	
挨	ai1	
振	tsin3	
挹	ip7	
挺	tʰɛn3	
挽	ban3-	
捅	tʰoŋ3	
捆	kʰun3	
捉	tsʰiok7	
捋	luaʔ8	～頭毛
捋	luat8	
捌	peʔ7-	
捌	pat7	
捏	liap7	
捕	pou6	
捧	pʰaŋ2-	
捧	pʰoŋ3	
捨	sia3	
捫	bun3	
捲	kuĩ3	
捶	tui2	
捷	tsɛt8	
掀	hɛn1	
掃	sau1-	
掃	so5	
掇	tuat7	
授	siu6	
掌	tsiũ3-	手～
掌	tsiaŋ3	
掏	to2	
排	pai2	
掘	kut8	
掛	kʰua5-	
掛	kua5	
掛	kʰuɛ5	～念
掠	liaʔ8-	
掠	liak8	
探	tʰam1	
探	tʰam5	
接	tsiʔ7-	
接	tsiap7	
控	kʰoŋ5	
推	tʰe1-	～托
推	tʰui1-	
推	tʰei1	～托
掩	iam3	
措	tsʰou5	
掬	kiok7	
描	bio2-	
描	biau2	
提	tʰei2	
插	tsʰaʔ7	
揖	ip7	
揚	iaŋ2	
換	uã6-	
握	ak7	
揣	tsʰui3	
揣	tsʰue6	
揬	tu8	
揭	kɛt7	
揮	hui1	
援	uan6	
揶	ɡia2	
損	suĩ3-	
損	sun3	
搏	poʔ7-	
搏	pʰok7	
搓	tsʰo1	
搔	so1	
搖	io2-	
搖	iau2	
搗	to3	
搜	tsʰiau1-	
搜	sou1	
搡	soŋ3	
搥	tui2	
搦	lɛt8	
搪	tʰŋ6-	
搬	puã1-	
搬	puan1	
搭	taʔ7	
搭	tap7	
搶	tsʰiũ3-	
搶	tsʰiaŋ3	
摘	tiaʔ7-	
摟	lou2	
摯	tsi5	
摸	boŋ1-	
摸	mo1	
摻	siam1	
摻	sam3	
撇	pʰɛt7	
撐	tʰɛn1	
撓	nau2	
撚	lɛn3	
撤	tʰɛt7	
撥	puat7	
撩	liau3	
撫	bu3	
撬	kʰiau1	
撮	tsʰomʔ7	
撮	tsʰuat7	
撰	tsuan6	
撲	pʰok7	
撻	tʰat7	
撼	ham3	
撿	kiam3	
擁	ioŋ5	
擂	lui2	
擅	sɛn6	
擋	taŋ5-	
擋	toŋ5	
操	tsʰo1	
操	tsʰau1	
操	tsʰo5	
擒	kʰim2	
擔	tã1-	～穀
擔	tã5-	兩～
擔	tam1	
擔	tam5	
據	ki5	
擠	tsei1	
擦	tsʰat7	
擬	ɡi3	
擯	pin5	
擲	kak8-	
擲	tɛt8	
擴	kʰok7	
擷	kʰɛt7	
擺	pai3	
擾	dziau3	
攀	pʰan1	
攏	loŋ3	
攔	nuã2-	
攔	lan2	
攘	dziaŋ3	
攙	tsʰam1	
攜	hei2	
攝	liap7	
攢	tsuan5	
攤	tʰuã1-	
攤	tʰan1	
攪	kiau3	
攬	lam3	
支	tsi1	
收	siu1	
改	kei3-	
改	kai3	
攻	koŋ1	
放	paŋ5-	
放	hoŋ5	
政	tsɛn5	
故	kou5	
敏	bin3	
救	kiu5	
敕	tʰit7	
敗	pai6	
教	k5-	
教	kau5	
敞	tsʰiaŋ3	
敢	kã3-	
敢	kam3	
散	suã5-	
散	san3	
散	san5	
敦	tun1	
敬	kɛn5	
敲	kʰau1	
整	tsɛn3	
敵	tɛt8	
敷	hu1	
數	siau5-	
數	sok7	
斂	liam3	
斃	pi6	
文	bun2	
斌	pin1	
斑	pɛn1-	～臉
斑	pan1	
斗	tau3-	
斗	tou3	
料	liau6	
斛	hak8	
斜	sia2	
斟	tsim1	
斡	uat7	
斤	kin1	
斥	tʰɛt7	
斧	pu3-	
斫	tsioʔ7-	
斫	tok7	
斫	tsiak7	
斬	tsam3	
新	sin1	
斷	tuĩ6-	
斷	tuan5	決～
斷	tuan6	
方	puĩ1-	姓
方	hoŋ1	
施	si1	
旁	poŋ2	
旅	li3	
旋	suan2	
旌	sɛn1	
族	tsok8	
旖	ĩ3	
旗	ki2	
日	dzit8	
旦	tuã5-	小～
旦	tan5	
旨	tsi3	
早	ts3-	
早	tso3	
旬	sun2	
旭	hiok7	
旱	uã6-	
旱	han3	
暘	iaŋ2	
旺	oŋ6	
旻	bun2	
昂	ɡaŋ2	
昆	kʰun1	
昌	tsʰiaŋ1	
明	bɛn2	
昏	huĩ1-	
昏	hun1	
易	kei6-	
易	i6	
易	ɛt8	
昔	sɛt7	
昕	him1	
星	tsʰĩ1-	
星	sɛn1	
映	iaŋ5	
春	tsʰun1	
昨	ts6-	
昨	tsok8	
昭	tsiau1	
是	si6	
昴	bau3	
昶	tsʰiaŋ3	
昶	tsʰiaŋ5	
昺	pɛn3	
晁	tiau6	
時	si2	
晃	hoŋ3	
晉	tsin5	
晏	an5	
晏	uã5	日～
晚	muĩ3-	～季
晚	buan3	
晝	tau5-	日午
晝	tiu5	
晟	sɛn6	
晡	pou1	
晤	ɡou6-	
普	pʰou3	
景	kɛn3	
晶	tsĩ1	
智	ti5	
暇	hɛ6	
暈	un6	
暉	hui1	
暑	si3	
暗	am5	
暝	bɛn2	
暢	tʰioŋ5-	
暢	tʰiaŋ5	
暫	tsiam6	
暮	bou6	
暴	po6	
暵	han5	
暹	siam6	
暾	tun1	
暾	tʰun1	
曄	iap7	
曆	lɛt8	
曇	tʰam2	
曉	hiau3	
曌	tsiau5	
曖	luan3	
曜	iau6	
曝	pʰak8-	
曝	pʰok8	
曠	kʰoŋ5	
曦	hi1	
曩	loŋ3	
曰	ɛt8	
曲	kʰiok7	
更	kĩ1-	
更	kɛn1	
更	kɛn5	
曷	hat7	
書	si1	
曹	tso2	
曼	ban6	
曾	tsan1-	姓
曾	tsɛn1	
替	tʰe5	
替	tʰei5	
最	tsue5	
會	hue6	
月	ɡueʔ8-	
月	ɡɛt8	
月	ɡuat8	
有	u6-	
有	iu3	
朋	pɛn2	
服	hok8	
朔	sok7	
朕	tim6	
朗	loŋ3	
望	baŋ6-	
望	boŋ6	
朝	tiau1	
朝	tiau2	
期	ki2	
朦	boŋ1	
木	bak8-	
木	bok8	
未	bue6-	
未	bi6	
末	buaʔ8-	粉～
末	buat8	
本	pun3	
朱	tsu1	
朽	hiu3	
杆	kan1	
杆	kan3	
杉	sam1	
李	li3	
杏	hɛn6	
材	tsai2	
村	tsʰun1	
杓	pʰiau1	
杖	tiaŋ6	
束	sok7	
杪	biau3	
杭	haŋ2	
杯	pue1	
東	taŋ1-	
東	toŋ1	
杳	biau3	
杷	pɛ2-	
松	sioŋ2	
板	pan3	
枇	pi2	
枉	oŋ3	
枕	tsim3	
林	nã2-	樹～
林	lim2	
果	kue3-	～子
果	ko3	
枝	ki1	
枯	kou1	
枵	iau1-	
枵	hiau1	
架	kɛ5	
枷	kɛ2	
柄	pĩ5-	
柄	pɛn5	
柏	pɛʔ7-	
柏	pɛt7	
某	bou3	
柑	kam1	
染	nĩ3-	
染	dziam3	
柔	dziu2	
柘	tsia5	
柚	iu6	
查	tsʰɛ2-	～戶口
查	ts1	～埠，男；～畝，女
查	tsɛ1	
查	kʰuã5	
柩	kiu6	
柬	kan3	
柯	kua2-	姓
柱	tʰiau6-	
柱	tsu6	
柳	liu3	
柴	tsʰ2	
柴	tsʰai2	
柿	kʰi6-	
栗	lɛt7	
校	kau5	～對
栩	hi3	
株	ti1	
株	tʰi1	
核	hut8-	
核	hɛt8	
根	kin1	
格	kɛt7	
栽	tsai1	
桂	kui5	
桃	tʰo2	
桅	ui2	
框	kʰoŋ1	
案	an5	
桌	to6	
桐	tʰaŋ2-	～子
桐	toŋ2	
桐	tiu2	
桑	sŋ1-	
桑	soŋ1	
桔	kit7	
桴	hu1	
桶	tʰaŋ3-	
桷	kak7	
桸	hia1	匏～
梁	niũ2-	姓
梁	liaŋ2	
梅	bue2	
梆	paŋ1	
梏	kʰok7	
梓	tsu3	
梔	tsi1	
梗	kɛn6	
梘	kɛn3	
條	tiau2	
梟	hiau1	
梧	ɡou2	
梨	lai2-	
梭	so1	
梯	tʰui1-	
梯	tʰei1	
械	hai6	
梳	sei1-	
棄	kʰi5	
棉	mĩ2-	
棉	bɛn2	
棋	ki2	
棍	kun5	
棒	poŋ3	
棒	paŋ6	
棕	tsaŋ1-	
棕	tsoŋ1	
棗	tso3	
棘	kɛt7	
棟	toŋ5	
棣	tei6	
森	som1	
棱	lɛn2	
棲	tsʰei1	
棺	kuã1-	
棺	kuan1	
椅	i3	
植	sit8	
椎	tsui1	
椒	tsio1-	
椒	tsiau1	
椰	ia2	
椽	ɛn2	
椽	tʰuan2	
椿	tʰun1	
楂	tsɛ1	
楊	iũ2-	姓
楊	iaŋ2	
楓	puĩ1-	
楓	hoŋ1	
楚	tsʰou3	
楞	lɛn2	
楠	lam2	
楣	bai2-	
楣	bi2	
楫	tsʰip7	
業	ɡiap8	
楯	tun3	
極	kɛt8	
楷	kʰai3	
概	kʰai5	
榔	nŋ2-	
榕	ioŋ2	
榜	pŋ3-	
榜	poŋ3	
榨	tsɛ5	
榫	sun3	
榭	sia6	
榮	ɛn2	
榴	liu2	
榻	tʰap7	
槊	sok7	
構	kou3	
構	kou5	
槌	tʰui2	
槍	tsʰiũ1-	
槍	tsʰiaŋ1	
槐	huai2	
槧	tsʰiam3	
槳	tsiũ3-	
槳	tsiaŋ3	
槽	tso2	
樂	lok8	
樅	tsaŋ2-	
樓	lau2-	
樓	lou2	
標	pio1-	
標	piau1	
標	pʰiau1	
樟	tsiũ1-	
樟	tsiaŋ1	
模	bou2	
樣	iũ6-	
樣	iaŋ6	
樵	tsiau2	
樸	pʰok7	
樹	tsʰiu6-	
樹	si6	
樽	tsun1	
橄	kã1-	
橄	kam3	
橋	kio2-	
橋	kiau2	
橙	tsʰiam2-	
橛	kuat8	
機	ki1	
橡	tsʰiaŋ6	
橫	huĩ2-	
橫	hɛn2	
檀	tʰan2	
檁	lim3	
檜	kue1-	
檢	kiam3	
檨	suãi6	
檳	pin1	
檻	lam6	
櫃	kui6	
櫓	lou3	
櫬	tsʰin5	
欄	nuã2-	
欄	lan2	
欒	luan2	
欖	lam3	
欠	kʰiam5	
次	tsʰu5	
欣	him1	
欲	iok8	
欹	kʰi1	
欺	kʰi1	
欽	kʰim1	
款	kʰuan3	
歂	tsʰuan3	
歃	tsʰap7	
歆	him1	
歇	heʔ7-	
歇	hɛt7	
歉	kʰiam3	
歌	kua1-	
歌	ko1	
歎	tʰan5	
歐	au1	
歙	hip7	
歡	huã1-	
歡	huan1	
止	tsi3	
正	tsiã1-	～月
正	tsiã5-	公～
正	tsɛn5	
此	tsʰu3	
步	pou6	
武	bu3	
歪	uai1	
歲	sue5	
歸	kui1	
死	si3-	
死	su3	
歿	but8	
殂	tsou3	
殃	iaŋ1	
殄	tʰɛn3	
殆	tai6	
殊	su2	
殍	piau3	
殘	tsan2	
殞	un3	
殫	tsʰɛn3	
殮	liam5	
殲	tsʰiam1	
段	tuã6-	
殷	in1	
殺	suaʔ7-	～雞
殺	sat7	
殼	kʰak7	
殿	tɛn6	
毀	hui3	
毆	au3	
毋	m6	
母	bo3	
毐	ai3	
毒	tak8-	
毒	tʰau6	動詞，毒殺
毒	tok8	
毓	iok8	
比	pi3	
毗	pi3	
毛	mo2	
毫	ho2	
毯	tʰan3	
毿	sam5	
氅	tsʰiaŋ3	
氈	tsɛn1	
氈	tsĩ1	
民	bin2	
氓	bin2	
氣	kʰi5	
氣	kʰui5	喘～
氤	un1	
氧	iaŋ3	
水	tsui3-	
水	sui3	
永	ɛn3	
汀	tʰɛn1	
汁	tsiap7	
求	kiu2	
汐	sɛt8	
汕	suã5-	
汕	san5	
汗	kuã6-	
汗	han3	
汙	u1	
汝	li3-	
汝	dzi3	
江	kaŋ1	
池	ti2	
汪	aŋ1-	姓
汪	oŋ1	
汰	tʰai3	
汲	kʰip7	
汴	pɛn6	
決	kuat7	
汽	kʰi5	
汾	hun2	
沃	ak7	
沈	sim3	
沉	tiam2-	
沉	tim2	
沌	tun6	
沐	bok8	
沒	but8	
沖	tsʰioŋ1	
沙	sua1-	
沙	s1	豆～
沙	sɛ1	
沛	pʰai5	
沫	buat8	
河	ho2	
沸	pui5	
油	iu2	
治	ti6	
沼	tsiau3	
沾	tiam1	
況	hoŋ3	
泄	sɛt7	
泅	siu2	
泉	tsuã2-	
泉	tsuan2	
泊	pok8	
泌	pi5	
泔	kam1	
法	huat7	
泛	huan5	
泠	lɛn2	
泡	pʰ6-	
泡	pʰau5	
波	pʰo1	
泣	kʰip7	
泥	ni2	
注	tsu5	
泮	pʰuan5	
泰	tʰai5	
泱	iaŋ1	
泳	ɛn6	
泵	poŋ1	
洋	iũ2-	
洋	iaŋ2	
洎	ki6	
洗	sei3-	
洗	sɛn3	
洘	kʰo3	水幹
洚	kaŋ5	
洛	lok8	
洞	taŋ1-	
洞	toŋ6	
津	tsin1	
洪	aŋ2-	姓
洪	hoŋ2	
洲	tsiu1	
洶	hioŋ1	
活	uaʔ8-	
活	huat8	
洽	hap7	
派	pʰai5	
流	lau2-	
流	liu2	
浙	tsɛt7	
浦	pʰou3	
浪	loŋ6	
浮	pʰu2-	
浮	hu2	
浴	iok8	
海	hai3	
浸	tsim5	
消	siau1	
消	siau5	
涉	siap8	
涎	ɛn2	
涓	kɛn1	
涔	ɡim2	
涕	tʰei5	
涯	ɡai2	
液	ɛt8	
涵	am2	～洞
涼	liaŋ2	
淅	sɛt7	
淋	lim2	
淌	tʰaŋ3	
淑	siok7	
淒	tsʰei1	
淝	hui2	
淞	sioŋ1-	
淞	sioŋ2	
淡	tam6	
淨	tsɛn6	
淨	tsiã6	烏～
淩	lɛn2	
淫	im2	
淮	huai2	
深	tsʰim1	
淵	ɛn1	
混	hun6	
淹	im1-	
淹	iam1	
淺	tsʰɛn3	
添	tʰĩ1-	
添	tʰiam1	
淼	biau3	
清	tsʰɛn1	
渚	tsi3	
減	kiam3	
渠	ki2	
渡	tou6	
渣	tsɛ1	
渤	put8	
測	tsʰɛt7	
渭	ui6	
港	kaŋ3	
渴	kʰuaʔ7-	
渴	kʰat7	
渺	biau3	
渾	hun2	
渾	hun6	
湃	pʰai5	
湊	tsʰau1-	
湍	tʰuan1	
湍	tsʰuan1	
湖	ou2	
湘	siaŋ1	
湛	tam1	
湣	bin3	
湧	ioŋ3	
湫	tsʰiu1	
湮	ɛn1	
湯	tʰŋ1-	
湯	tʰoŋ1	
溉	kʰai5	
源	ɡuan2	
溜	liu1	
溝	kau1-	
溝	kou1	
溪	kʰei1	
溫	un1	
溫	un5	
溶	iũ2-	
溶	ioŋ2	
滂	poŋ2	
滄	tsʰoŋ1	
滅	bɛt8	
滇	tʰɛn2	
滌	tɛt8	
滑	kut8	
滓	tai3-	油～
滓	tsai3	
滔	tʰo1	
滯	ti6	
滲	tsʰam1	
滴	tiʔ7-	
滴	tɛt7	
滹	hou1	
滾	kun3	
滿	muã3-	
滿	buan3	
漁	hi2-	
漂	pʰio5-	
漂	pʰiau5	
漆	tsʰat7-	
漈	tsua5	
漏	lau6-	
漏	lou6	
漓	li2	
演	ɛn3	
漚	au1	
漚	ou1	
漚	ou3	
漠	bou2	
漢	han5	
漩	suan2	
漫	ban2	
漫	ban6	
漲	tŋ3-	
漲	tiaŋ1	
漳	tsiũ1-	
漳	tsiaŋ1	
漸	tsiam6	
漾	iaŋ6	
漿	tsiũ1-	
漿	tsiaŋ1	
潑	pʰuaʔ7-	
潑	pʰuat7	
潔	kɛt7	
潘	pʰuã1-	姓
潘	pʰun1-	洗米水
潘	pʰuan1	
潛	tsiam2	
潭	tʰam2	
潮	tio2-	
潮	tiau2	
潯	sim2	
潺	tsʰan1	
潼	toŋ2	
澀	siap7	
澄	tɛn2	
澆	dziau2	
澈	tʰɛt7	
澎	pʰĩ2-	
澗	kan5	
澤	tɛt8	
澧	lei3	
澳	o5	
澹	tam2	訓，濕
澹	tam6	
激	kɛt7	
濁	tsok8	
濃	loŋ2	
濕	sip7	
濘	lɛn3	
濟	tsei3	
濟	tsei5	
濤	to2	
濫	lam6	
濯	tsok8	
濱	pin1	
濺	tsuã6-	
濾	li6	
瀁	iaŋ3	
瀉	sia5	
瀑	pʰok8	
瀚	han3	
瀟	siau1	
瀨	lua5	
瀨	nai6	
瀲	liam3	
灌	kuan5	
灑	sɛ3	
灘	tʰuã1-	
灘	tʰan1	
灣	uan1	
灩	iam6	
火	hue3-	
火	hõ3	
灰	hue1	
竈	tsau1-	
竈	tso5	
灸	ku5	
災	tsai1	
炊	tsʰue1-	
炊	tsʰui1	
炎	iam2	
炒	tsʰ3	
炒	tsʰau3	
炙	tsia5	
炭	tʰuã3-	
炭	tʰan5	
炭	tsɛt7	
炮	pʰau5	
炯	kɛn3	
炳	pɛn3	
炸	tsɛ5	
爲	ui2	
爲	ui6	
烈	lɛt7	
烏	ou1	
烘	haŋ1-	
烹	pʰɛn1	
焉	ɛn1	
焊	huã6-	～錫
焊	han3	
焚	hun2	
焜	kʰun1	
無	bo2-	
無	bu2	
焦	t1	訓，曝～
焦	tsiau1	
焰	iam6	
然	dzɛn2	
煆	tʰuan5	
煉	lɛn6	
煎	tsuã1-	
煎	tsɛn1	
煖	luan3	
煙	ɛn1	
煜	iok8	
煞	suaʔ7	
煢	kɛn2	
煤	bue2	
煥	huan5	
照	tsio5-	
照	tsiau5	
煨	ue1	
煩	huan2	
煮	tsi3	
煽	sɛn5	
熄	sit7	
熊	him2	
熏	hun1	
熙	hi1	
熟	siok8	
熨	ut7	
熬	ŋau2	
熱	dzuaʔ8-	
熱	dzɛt8	
熾	tsi5	
燁	iap7	
燃	hiã2-	～火
燃	dzɛn2	
燈	tɛn1	
燎	liau2	
燒	sio1	
燒	siau1	
燕	ĩ5-	
燕	ɛn1	
燕	ɛn5	
燙	tʰŋ5-	
營	iã2-	
營	ɛn2	
燥	so5	
燦	tsʰan5	
燧	sui6	
燭	tsiok7	
燮	sɛt7	
燹	sɛn3	
燼	sin6	
燿	iau6	
爆	pʰok8	
爐	lou2	
爛	nuã6-	
爛	lan6	
爨	tsʰuan5	
爪	dziau3-	
爬	pɛ2	
爭	tsɛn1	
爵	tsiak7	
父	hu6	
爸	pɛ6-	
爹	tia1	
爺	ia2	
爻	ŋau2	
爽	sŋ3-	玩
爽	soŋ3	
爾	dzi3	
牆	tsʰiũ2-	
牆	tsʰiaŋ2	
片	pʰĩ5-	
片	pʰɛn5	
版	pan3	
牌	pai2	
牘	tok8	
牙	ɡɛ2	
牛	ɡu2-	
牛	ŋiu2	
牝	pʰin3	
牟	bou2	
牡	bou3	
牢	lo8	
牧	bok8	
物	mĩ8-	
物	but8	
牯	kou3	
牲	sɛn1	
特	tɛt8	
牽	kʰan1	
牽	kʰɛn1	
犀	sai1-	
犀	sei1	
犁	lei2	
犢	tok8	
犧	hi1	
犬	kʰɛn3	
犯	huan6	
狀	tsŋ6-	
狀	tsoŋ6	
狁	un3	
狂	koŋ2	
狂	kʰoŋ2	
狄	tɛt8	
狎	ap8	
狐	hou2	
狗	kau3-	
狠	hin3	
狡	kau3-	
狸	li2	
狹	eʔ8-	
狼	loŋ2	
猊	ɡei2	
猖	tsʰiaŋ1	
猛	bɛn3	
猜	tsʰai1	
猱	no2	
猴	kau2-	
猴	hou2	
猻	sun1	
猾	kut8	
獃	ɡai2	
獄	ɡiok8	
獅	sai1-	
獎	tsiaŋ3	
獠	liau2	
獨	tok8	
獲	hɛt8	
獵	laʔ8-	
獵	lap8	
獸	siu5	
獺	tʰuaʔ7-	
獺	tʰat7	
獻	hɛn5	
玄	hɛn2	
率	sut7	
率	lut8	
玉	ɡiok8	
王	oŋ2	
玨	kak7	
玲	lɛn2	
玻	po1	
珊	san1	
珍	tin1	
珍	tsin3	
珠	tsiu1-	
珠	tsu1	
珢	ɡin2	
班	pan1	
璫	toŋ1	
現	hɛn6	
球	kiu2	
琅	loŋ2	
理	li3	
琉	liu2	
琛	tʰim1	
琢	tok7	
琪	kioŋ3	
琯	kuan3	
琰	tam6	
琳	lim2	
琴	kʰim2	
琵	pi2	
琶	pɛ2	
瑁	mo6	
瑉	bin2	
瑕	hɛ2	
瑛	ɛn1	
瑞	sui6	
瑟	sɛt7	
瑣	so3	
瑤	iau2	
瑩	ɛn2	
瑪	m3	
瑾	kin3	
璃	li2	
璉	lɛn3	
璐	lou6	
璜	hoŋ2	
璞	pʰok7	
璧	pʰɛt7	
環	huan2	
璿	suan2	
瓊	kɛn2	
瓊	kʰɛn2	
瓊	kʰioŋ2	
瓚	tsan5	
瓜	kuɛ1	
瓠	hou2	
瓢	pʰio2-	
瓢	pʰiau2	
瓣	pan3	
瓦	hia6-	
瓦	ua3	
瓶	pan2-	
瓶	pin2	
瓷	tsu2	
瓷	hui2	訓
甌	au1	
甑	tsɛn6	
甕	aŋ5-	
甕	oŋ5	
甘	kam1	
甚	sim6	
甜	tĩ1-	
甜	tiam2	
生	sĩ1-	先～
生	sɛn1	
產	san3	
甥	sɛn1	
甦	sou1	
用	ioŋ6	
甫	hu3	
田	tɛn2	
由	iu2	
甲	kaʔ7	
申	sin1	
男	lam2	
甸	tɛn6	
町	tɛn3	
畋	tɛn2	
界	kai5	
畎	kʰɛn3	
畏	uĩ5-	
畏	ui1	
留	lau2-	
留	liu2	
畚	pun3	
畜	tʰiok7	
畜	hiok7	
畝	bou3	
畢	pit7	
略	liak8	
番	huan1	
畫	uɛ6	
畫	uɛ8	～畫
異	i6	
當	tŋ1-	
當	tŋ5-	
當	taŋ1-	
當	toŋ1	
當	toŋ5	
畿	ki1	
疊	tʰaʔ8-	重～
疊	tʰiap8	
疋	pʰit7	
疏	sei1-	
疏	sou1	
疑	ɡi2	
疥	kei5-	
疥	kai5	
疫	iaʔ8-	
疫	ɛt8	
疲	pʰi2	
疳	kam1	
疵	tsʰu2	
疸	tʰan3	
疹	tsin3	
疾	tsit8	
病	pĩ6-	
病	pɛn6	
痔	ti6	
痕	hun2	
痛	tʰiã5-	
痛	tʰoŋ5	
痞	pʰi3	
痢	li6	
痣	ki5-	
痣	tsi5	
痧	sua1-	
痰	tʰam2	
痱	pui5-	
瘀	i5	
瘁	tsui6	
瘟	un1	
瘠	tsit7	
瘡	tsʰŋ1-	
瘡	tsʰoŋ1	
瘢	puan2	
瘧	ɡiak8	
瘴	tsiaŋ1	
療	liau2	
癡	tsʰi1	
癢	tsiũ6-	
癢	iaŋ6	
癩	nai6	
癰	ioŋ1	
癱	tʰan1	
癲	tɛn1	
癸	kui5	
登	tɛn1	
發	huat7	
白	pɛʔ8-	
白	pɛt8	
百	pɛʔ7-	
百	pɛt7	
皂	tso6	
皂	laʔ8	訓
的	tɛt7	
皆	kai1	
皆	hiau1	
皇	hoŋ2	
皈	kui1	
皋	ko1	
皎	kiau3	
皮	pʰue2-	
皮	pʰi2	
皺	dziau1-	
皺	niau5	
皿	bɛn3	
盅	tsioŋ1	
盆	pʰun2	
盈	ɛn2	
益	iaʔ7-	
益	ɛt7	
盎	iaŋ5	
盒	ap8	
盛	sɛn6	
盜	to6	
盞	tsuã3-	
盞	tsan3	
盡	tsin6	
監	kã1-	～獄
監	kam1	
監	kam5	
盤	puã2-	
盤	pʰan2	
盤	puan2	
盥	kuan3	
盧	lou2	
目	bak8-	
目	bok8	
盲	boŋ1	
直	tit8	
相	siũ1-	～思
相	siũ5-	～片
相	sio1	～共
相	siaŋ1	
相	siaŋ5	
盼	pʰan5	
盾	tun3	
省	sĩ3-	
省	sɛn3	
眇	biau3	
眉	bai2-	
眉	bi2	
看	kʰan1	
看	kʰan5	
真	tsin1	
眠	bɛn2	
眩	hin2-	頭～
眩	hɛn2	
眷	kuan5	
眸	bou2	
眺	tʰiau5	
眼	ɡan3	
眾	tsioŋ5	
睏	kʰun5	
睘	kɛn2	
睛	tsɛn1	
睛	tsɛn2	
睞	lai3	
睡	sui5	
督	tok7	
睥	pʰei3	
睦	bok8	
睫	tsɛt8	
睬	tsʰai3	
睹	tou3	
瞞	muã1-	
瞞	muã2-	
瞥	pʰɛt7	
瞧	tsiau1	
瞧	tsiau2	
瞭	liau3	
瞰	kʰam5	
瞳	toŋ2	
瞻	tsiam1	
矍	kiak8	
矗	tsʰiok7	
矛	mau2	
矢	si3	
知	tsai1-	
知	ti1	
矧	sin3	
矩	ki3	
短	te3-	
短	tuan3	
矮	e3	
矮	ai3	
矮	ei3	
矯	kiau3	
石	tsioʔ8-	
石	sɛt8	
砍	kʰam3	
研	ɡan3-	
研	ɡɛn2	
研	ɡɛn3	～末
砣	to2	
砦	tsɛ6	
砧	tsim1	
砭	pɛn3	
砰	pʰɛn1	
破	pʰua5-	
破	pʰo5	
硃	tsu1	
硝	siau1	
硫	liu2	
硬	ɡɛn6	
硯	hĩ6-	
硯	hɛn6	
碉	tiau1	
碎	tsʰui5	
碑	pi1	
碖	lun3	
碗	uã3-	
碟	tiʔ8-	
碧	pʰɛt7	
碨	ue1	
碩	sɛt8	
碰	pʰoŋ6	
確	kʰak7	
碼	m3	
碼	bɛ3	
碾	lɛn3	
磁	tsu2	
磅	poŋ6	
磋	tsʰo1	
磐	puan2	
磐	dziak8	
磔	kak8	
磕	kʰap8	
磚	tsuĩ1-	
磚	tsuan1	
磣	tsʰam3	
磨	bo6-	
磨	mo2	
磨	bua2	
磯	ki1	
磷	lin2	
礁	t1	
礁	tsiau1	
礎	tsʰou3	
礙	ɡai6	
礦	kʰoŋ5	
礬	huan2	
礱	laŋ2-	
礽	dzioŋ2	
社	sia6	
祀	tsʰai6-	～神
祀	si6	
祀	su6	
祈	ki2	
祉	tsi3	
祖	tsou3	
祚	tsou1	
祚	tsou6	
祝	tsiok7	
神	sin2	
祟	sui5	
祠	si2-	～堂
祠	su2	
祥	siaŋ2	
票	pʰio5-	
票	pʰiau5	
祭	tsei5	
祲	tsʰim1	
祿	lok8	
禁	kim5	
禊	hei6	
禍	hua6-	
禍	ho6	
福	hok7	
禔	tʰei2	
禦	ɡi3	
禪	sɛn2	
禪	sɛn6	
禮	lei3	
禱	to3	
禳	dziaŋ2	
禹	u3	
禽	kʰim2	
禾	ho2	
禿	tʰut7	
秀	siu5	
私	su1	
秉	pɛn3	
秋	tsʰiu1	
科	kʰo1	
秒	biau3	
秕	pi3	
秘	pi5	
租	tsou1	
秣	buat7	
秦	tsin2	
秧	ŋ1-	
秧	iaŋ1	
秩	tɛt8	
秫	tsut8-	
秫	tut8	
移	i2	
稀	hi1	
稅	sue5	
稈	kan3	
程	tiã2-	姓
程	tʰiã2-	
程	tɛn2	
稔	dzim1	
稗	pʰei6-	
稚	ti6	
稟	pin3	
種	tsioŋ3	
種	tsioŋ5	
稱	tsʰɛn1	
稱	tsʰɛn5	
稱	tsʰin5	
稷	tsɛt7	
稻	tiu6-	
稻	to6	
稽	kei1	
稽	kʰei1	
稿	ko3	
穀	kok7	
穆	bok8	
