#漢字	音標	解釋
□	sã7	～話，打斷別人的話
叢	tsoŋ2	
口	kʰou3	
古	kou3	
句	ku5	
另	lɛn6	
叨	tʰo1	
叩	kʰau5-	
叩	kʰou5	
只	tsiaʔ7-	
只	tsi3	
叫	kio5-	
叫	kiau5	
召	tiau6	
可	kʰua3-	小～
可	kʰo3	
史	su3	
右	iu6	
叵	pʰo3	
司	si1	
吃	ɡit8	
各	kok7	
合	haʔ8	～意
合	hap8	
吉	kit7	
吊	tiau5	
同	taŋ2-	
同	toŋ2	
名	miã2-	
名	bɛn2	
吏	li6	
吐	tʰou1	
向	ŋ5-	
向	hiaŋ5	
吒	tsʰ5	
君	kun1	
吝	lin6	
吞	tʰun1	
吟	ɡim2	
吠	pui6-	
否	pʰãi3	～人
否	pʰi3	
吩	hun1	
含	kam2-	
含	ham2	
吮	un3	
吳	ɡou2	
吵	tsʰ3	
吵	tsʰau3	
吸	kʰip7	
吹	tsʰue1-	
吹	tsʰui1	
吻	tsim1	訓，～嘴
吻	bun3	
吼	hau3	
吾	ɡou2	
呂	li6	
呆	tai1	
呈	tiã2-	
告	ko5	
周	tsiu1	
呱	kua1	
味	bi6	
呵	h1-	～氣
呵	ho1	
呼	hou1	
呼	kau6	
命	miã6-	
命	bɛn6	
咀	tsou3	
咄	tut7	
和	ho2	
咎	kiu6	
咒	tsiu5	
咩	mɛʔ7	
咫	tsi3	
咬	k6-	
咯	kok8-	
咱	lan3	訓
咸	ham2	
咽	ɛt7	
哀	ai1	
品	pʰin3	
哂	sim3	
哄	hoŋ6	
哈	haʔ7	
員	uan2	
哥	ko1	
哨	sau1	
哭	kʰau5	
哭	kʰok7	
哲	tɛt7	
哳	tsiauʔ7	鳥聲
哺	pou6	
唆	so1	
唆	so6	
脣	tun2	
唉	hai1	
唐	tŋ2-	
唐	toŋ2	
售	siu2	
唯	ui2	
唱	tsʰiũ5-	
唱	tsʰiaŋ5	
唾	tʰo5	
啄	tok7	
商	siaŋ1	
問	muĩ6-	
問	bun6	
啐	tsʰui3	
啖	tam3	
啜	tuat7	
啜	tsʰuat7	
啞	ɛ3-	
啟	kʰei3	
啥	siã3-	
啦	l1	
啻	tʰei5	
啼	tʰei2	
啼	tʰi2	
喃	lam1	
喃	lam2	
善	sɛn6	
喉	au2-	
喉	hou2	
喊	hiam5-	
喊	ham3	
喋	tiap8	
喑	im1	
喘	tsʰuan3	
喙	tsʰui5	
喚	huan5	
喜	hi3	
喝	hat7-	
喝	huaʔ7-	
喝	hak7	
喪	sŋ1-	
喪	soŋ1	
喪	soŋ5	
喫	kʰei5	
喬	kiau2	
單	tuã1-	
單	tan1	
單	sɛn2	～於
單	sɛn6	姓
喻	dzi6	
嗅	hiu5	
嗎	m1	
嗓	saŋ3-	
嗔	tʰɛn2	
嗚	ou1	
嗟	tsia1	
嗤	tsʰi1	
嗽	sau1	
嘉	kɛ1	
嘔	au3	
嘔	ou3	
嘩	huɛ1	
嘬	tsʰueʔ7	～湯
噍	tsiau6	
噎	ɛt7	
噠	tat7	
噤	kim5	
器	kʰi5	
噩	ɡok8	
噴	pʰun5-	
噸	tun5	
嚇	hã3	威脅人
嚇	hɛʔ7	威～
嚏	tʰi5	
嚥	ɛn5	
嚴	ɡiam2	
嚷	dziaŋ3	
嚼	tsio6-	
囀	tsuan3	
囁	nĩ7	～目
囂	hiau1	
囊	loŋ2	
囑	tsiok7	
囚	siu2	
四	si5	
四	su5	
囝	kiã3-	
回	hue2	
因	in1	
囡	kin3	～仔，小孩
囥	kʰŋ5	藏東西
困	kʰun5	
固	kou5	
圃	pʰou3	
圇	lun2	
圈	kʰuan2	
國	ui2	
國	kok7	
園	huĩ2-	
圓	ĩ2-	
圖	tou2	
團	tʰuan2-	
團	tuan2	
土	tʰou3	
在	tʰi3	
在	tsai6	
圭	kui1	
地	tei6	
圳	tsun5	
址	tsi3	
均	kin1	
坎	kʰam3	
坎	kʰam5	
坐	tse6-	
坐	tso6	
坑	kʰĩ1-	
坑	kʰɛn1	
坡	pʰo1	
坤	kʰun1	
坦	tʰan3	
坩	kʰã1-	飯～
坪	pʰiã2-	
坯	pʰue1-	
坳	au1	
垂	sue2-	
垂	sui2	
垠	ɡin2	
垢	kou3	
垣	huan2	
垮	kʰua1	
埃	ai1	
埋	bai2	
埋	tai2	訓
城	siã2-	
城	sɛn2	
埒	luat8	
埔	pou1	
埕	tiã2-	
域	hɛt8	
埠	pou1	
執	tsip7	
培	pue2	
基	ki1	
堂	tŋ2-	
堂	toŋ2	
堅	kɛn1	
堆	tui1	
堊	ok7	
堞	tiap8	
堡	po3	
堤	te1	崩～
堤	tei1	
堪	kʰam1	
堯	ɡiau2	
報	po5	
場	tiũ2-	
場	tsʰiaŋ2	
堿	kĩ1-	
塊	kʰuai5	
塌	tʰap7	
塍	tʰɛn2	
塍	sin5	
塑	sok7	
塔	tʰaʔ7-	
塔	tʰap7	
塗	tou2	
塗	tʰou2	
塗	tʰou2	泥土
塚	tʰioŋ3	
塞	sai5	
塞	sat7	
塞	sɛt7	
填	tʰɛn2	
塵	tin2	
塾	siok8	
墊	tiam6	
墓	boŋ6	
墘	kĩ2-	
墘	kiã2-	
墜	tʰui6-	拖墜
墜	tui6	
增	tsɛn1	
墟	hi1	
墨	bak8-	
墨	bɛt8	
墩	tun1	
墳	pʰun2	
墳	hun2	
墾	kʰun3	
壁	piaʔ7-	
壁	pɛt7	
壅	ioŋ5	
壇	tuã2-	
壇	tʰan2	
壑	hak7	
壓	ap7	
壕	tʰioŋ3	
壘	lui3	
壞	huai6	
壟	laŋ1-	
壟	loŋ3	
壟	lioŋ3	
壤	dziaŋ3	
士	su6	
壬	dzim2	
壯	tsoŋ5	
壺	ou2	
壽	siu6	
夏	hɛ6	
夕	sɛt8	
外	ɡua6-	
外	ɡue2	
夙	siok7	
多	to1	
多	tsei6	訓
夜	ia6	
夠	kau5-	
夠	kou5	
夢	baŋ6-	
夢	boŋ6	
夥	hue3	
大	tua6-	
大	tai6	
天	tʰĩ1-	
天	tʰɛn1	
太	tʰai5	
夫	hu1	
夭	iau1	
夭	iau3	
央	ŋ1-	
央	iaŋ1	
失	sit7	
夷	i2	
夾	kiap7	
奄	iam1	
奇	kʰia1-	～數
奇	ki2	
奈	nai6	
奉	hoŋ6	
奎	kui1	
奏	tsau1	
奏	tsou1	
奐	huan5	
契	kʰei5	
奔	pʰun1	
奕	ɛt8	
套	tʰo5	
奚	hei2	
奠	tɛn6	
奢	tsʰia1	
奩	liam2	
奪	tuat8	
奮	hun5	
女	li3	
奴	nou2	
奶	lɛn1-	
奶	nai3	
奸	kan1	
好	ho3-	
好	hõ3	
好	hõ5	
如	dzi2	
妄	boŋ6	
妊	dzim2	
妊	dzim6	
妍	ɡɛn1	
妒	tou5	
妓	ki1	
妖	iau1	
妗	kim6	
妙	biau6	
妝	tsŋ1-	
妝	tsoŋ1	
妥	tʰo5	
妨	hoŋ2	
妯	tiok8	
妲	tat7	
妹	mɛ5	
妻	tsʰei1	
妻	tsʰei5	
妾	tsʰiap7	
姆	m3	
始	si3	
姐	tse3	
姑	õu1-	
姑	kou1	
姒	sai6-	同～
姒	su6	
姓	sɛn5	
委	ui3	
姚	iau2	
姪	tit8	
姬	ki1	
姻	in1	
姿	tsu1	
威	ui1	
