#漢字	音標	解釋
□	mɔŋ1	帶黏性的半透明網狀物：lou4-6zou1～(蛛網)|豬腸～(豬網油)
心	ɬɐm1	
㘝	ȵɐp7	抓取
㙢	mun4	
㚊	kɐi03	「咁閪」或「極閪」的合音
㚊	kʰɐi03	「咁閪」或「極閪」的合音
㜷	mɛ4	
㣺	ɬɐm1	
㭋	pɐŋ5	打
㷳	ŋɔn6	文火煮
㾤	kʰoŋ3	～瘕：咳嗽
㿭	tɕʰa2	
䏲	tʰɐi3	
䓛	wɐt7	
䛩	wu3	罵
䟸	kʷɐi4	小腿（因殘疾）彎曲
䠻	kʰoŋ2	
䥑	ma6	
䦯	ti6	
䨙	jɐm4	
䩼	poŋ4	
䫖	ɬɐm6	弱，差勁
䬆	lɐt9	風雨暴疾
䳨	wɔŋ4	
一	jɐt7	
一	ɐt7	弱讀。～過：難道；～是：抑或
丁	ɗeŋ1	
七	tʰɐt7	
万	mɐk9	～俟：複姓
丈	tɕa5	
三	ɬɔm1	
上	ɕa5	～山
上	ɕa6	山～
下	ɔ5	～桩：扎馬步；播種（～穀|～菜米）
下	ɔ6	
下	hɔ2	～子：一下子，一股腦儿
下	kɛ5	牲畜長大不；人身材矮小：老～(人老後，身材變矮)
丌	ki1	
不	ɓɐt7	
不	fɐu2	同「否」
丐	kʰɔi3	
丑	tɕʰɐu2	
且	tʰɛ2	
丕	pʰi1	
世	ɕi3	文讀：～界
世	ɕɐi3	白讀：一～、出～。
丘	jɐu1	
丙	ɓeŋ2	
丞	ɕeŋ4	
丟	ɗiu1	
並	peŋ5	
丨	kʷɐn2	
丫	ɔ1	
丬	pɔn4	
中	tɕoŋ1	～央
中	tɕoŋ3	繫～
丰	foŋ1	
串	tɕʰÿn3	
丵	pok9	
丶	tɕy2	
丸	jÿn4	
丹	ɗɔn1	
主	tɕy2	
丿	pʰit7	
丿	jɐi6	
乂	ȵi6	
乃	nɔi5	
乃	nɔi2	土～ 山：山名
久	tɕɐu2	
乇	tɕʰɐk7	
之	tɕi1	
乍	tɕɔ3	忽也，猝也
乍	tɕʰɔ02	始，方，纔
乎	wu4	
乏	fɔt10	
乒	ɓeŋ1	
乓	ɓɐŋ1	
乖	kʷɔi1	
乘	ɕeŋ4	
乘	ɕøŋ4	白讀
乙	jit7	
乜	mɐt7	方言用字，意爲「甚麼」
乜	mɛ1	～斜，～斜轍
九	kɐu2	異讀
九	tɕɐu2	
乞	hɐt7	
也	jɛ5	
乩	kɐi1	
乳	ȵui5	腐～
乳	ɕy5	文：～汁|水～交融
乾	kɔn1	～燥
乾	kin4	～坤
亂	lÿn6	
了	liu5	
了	lᴇɐ̯u5	文讀。助詞，表示動作或變化已經完成
予	jy5	
事	ɕi6	
二	ȵi6	
亍	tɕʰok7	
于	jy1	
云	wɐn4	
互	wu6	
亓	ki4	
五	ŋ̍5	
井	ɗeŋ2	
亙	kɐŋ3	
些	ɬɛ1	
亞	ɐt8	用於「～公」等稱謂詞首
亞	ɔt8	
亟	kek7	
亠	tɐu4	
亡	mɔŋ4	
亢	kʰɔŋ3	
交	kɔu1	
交	kᴇɐ̯u1	白讀
亥	ɔi5	
亦	ek9	
亨	ha1	
享	ja2	
京	keŋ1	
亭	teŋ4	
亮	la3	
亮	la6	又讀
亳	pɔk10	
人	ȵɐn4	
人	ȵɐn1	各人，各自：各～｜～睇～｜～望～
亻	ȵɐn4	
什	ɕɐp9	
仁	ȵɐn4	
仁	ŋɐn4	果核；睾丸（兒童語）
仂	lɐk9	
仃	ɗeŋ1	
仄	tɕɐk7	
仆	pʰok7	
仇	tɕɐu4	姓
仉	tɕa2	
今	kɐm1	異讀
今	tɕɐm1	
介	kɔi3	
仌	ɓeŋ1	
仍	ŋeŋ4	
仔	ɗɐi2	牛～
仔	ɗi2	～細
仕	ɕi6	
他	tʰɔ1	
仗	tɕa3	打～
仗	tɕa6	炮～
付	fu3	
付	fu6	～款
仙	ɬin1	
仝	toŋ4	
仞	ȵɐn6	
仟	tʰin1	
仡	ŋɐt9	勇壯
仡	kɔt8	～佬族：我國少數民族之一，古稱「獦獠」
代	tɔi6	
令	leŋ6	
以	ji5	
以	ji4	所～：又讀
仨	ɬɔm1	
仫	mu6	～佬族：我國少數民族之一，南北朝時稱「木籠僚」，元朝稱「木佬」「木婁」「木搖」「狇老」
仰	ȵa5	
仲	tɕoŋ6	
仳	pʰi2	
仵	ŋ̍5	
件	kin5	文讀
件	kin6	白讀
任	ȵɐm6	
份	fɐn6	
仿	fɔŋ2	
企	ki5	
伉	kʰɔŋ3	
伊	ji1	
伍	ŋ̍5	
伏	fok9	
伐	fɔt10	
休	jɐu1	
伙	fɵ2	
伢	ɛ1	
伯	ɓa2	
估	ku2	
伲	ni5	
伴	pun5	
伴	ɓɔn3	帶上（某人），跟（某人）作伴：～我去
伶	leŋ4	
伸	ɕɐn1	
伺	ti6	
似	ti5	
伽	kɔ1	
佃	tin6	～農
但	tɔn6	
佇	tɕy5	
佈	ɓu3	
位	wɐi6	
低	ɗɐi1	
住	tɕy6	
佐	ɗɵ2	
佑	jɐu6	
佔	tɕim3	
何	ɵ4	
佗	tɵ4	
佘	ɕɛ4	
余	jy4	
佚	jɐt9	
佛	fɐt7	仿～
佛	fɐt9	
作	ɗɔk8	
佝	kɐu1	～僂
佝	kʰɐu3	～瞀
佞	neŋ6	
佟	toŋ4	
你	ni5	
佢	ky4	
佣	joŋ4	
佤	wɔ5	～族：我國少數民族之一。「佤」是佤族人諸多自稱[ˀa vɤˀ][voˀ][vaˀ]的音譯，佤語意爲「門」
