#漢字	音標	解釋
㾪	san3	瘦也
一	it7	序數詞
一	tsit8	訓，基數詞
丁	tiŋ1	
七	tsʰit7	
三	sã1	
上	tsiɔ̃6	～山
下	ha6	～降
下	ɛ6	～面
丐	kai5	
丑	tsʰiu3	～時
且	tsʰiã3	
世	se5	
丘	hiu1	姓
丙	piã3	
丞	siŋ2	
丫	a1	
中	tiɔŋ1	～間
中	tiɔŋ5	～獎
丸	ĩ2	
丹	tan1	
主	tsu3	
久	ku3	
么	io1	～二三
之	tsi1	
乏	huaʔ7	
乖	kuai1	
乘	siŋ2	～法
乙	it7	
九	kau3	
也	ia3	
乾	kuã1	
乾	kʰian2	
亂	luan6	
了	liau3	～結
事	su6	
二	dzi6	
于	i2	
互	hɔ6	
五	ɡɔ6	
井	tsɛ̃3	
亞	a5	
亡	bɔŋ2	
交	kau1	
亥	hai6	
亦	ik8	
享	hiaŋ3	
京	kiã1	
亭	tiŋ2	
亮	liaŋ6	
仁	dzin2	
仇	siu2	
今	kim1	
介	kai5	
仕	su6	
付	hu5	
仙	sian1	
代	tai6	
令	liŋ6	
以	i3	
件	kiã6	
任	dzim6	責～
份	hun6	
仿	hɔŋ3	
企	kʰi3	
伊	i1	
伍	ŋɔ̃3	
伏	hɔk8	
伐	huat7	
休	hiu1	
伙	hue3	
伯	pɛk7	
估	kɔ3	
伴	pʰuã6	
伸	sin1	
伺	su6	
但	tan6	
佈	pɔ5	
位	ui6	
低	te2	～燒
佐	tso6	
佑	iu6	
佔	tsiam5	
何	ho2	
佘	sia2	
余	i2	
佛	hut7	
佛	hut8	
你	li3	
佩	pʰue5	
佳	kɛ1	
使	su3	
侄	tit8	
來	lai2	
來	tiak8	
例	le6	
供	kiɔŋ1	
依	i1	
侮	bu3	
侵	tsʰim1	
侷	kiɔk8	
便	pan2	～宜
便	pian6	方～
促	tsʰiɔk7	
俄	o2	
俏	kʰiau5	
俗	siɔk8	
俘	hu1	
保	po3	
信	sin5	
修	siu1	
俯	hu3	
俸	hɔŋ6	
倉	tsʰəŋ1	
個	kai5	
倍	pue6	
倒	to3	打～
倒	to5	～水
倔	kʰut7	
候	hau6	
借	tsio5	
倫	lun2	
值	tak8	
假	kɛ1	
偉	ui3	
偏	pʰian1	
做	tso5	
停	tʰiŋ2	
健	kian6	
側	tsʰik7	
偵	tsiŋ1	
偶	ŋaũ2	
偷	tʰau1	
僞	ui3	
傀	kʰui3	
傅	hu6	
傑	kiat8	
傘	suã5	
備	pi6	
傢	kɛ1	
催	tsʰui1	
傲	ŋɔ̃6	
傳	tʰuan2	～達
傳	tsuan6	～記
債	tsɛ5	
傷	siɔŋ1	
傻	sɔ2	
傾	kʰiŋ1	
像	tsʰiɔ̃6	
僑	kiau2	
僕	pʰɔk7	
僚	liau2	
僵	kiaŋ1	
價	kɛ5	
僻	pʰiak7	
儀	ɡi2	
儂	lɔŋ2	
億	ik7	
儉	kʰiam6	
