#漢字	音標	解釋
□	kʰõŋ4	～嗽
丁	tiən1	
七	tɕʰi1	
万	van6	
丈	dʐõŋ6	
三	san1	
上	ʂõŋ6	～山,～面
下	ʑia6	底～
下	ʑia6	
不	ŋ̍5-	
不	pu5=	
与	vy2	及，给
丐	kai5	
丑	tɕʰiou4	
專	kyẽ1	
且	tɕʰie4	
丕	pʰi4	
世	sɿ5	
丘	tɕʰiou1	
丙	piən3	
業	ȵiẽ1	
叢	dzəŋ2	
東	təŋ1	
絲	sɿ1	
丞	dʑiən2	
丟	tiou1	
兩	ȵiaŋ3	～个
嚴	ȵiẽ2	
喪	sõŋ5	～失
个	ko5	～人。一～
丫	ia1	～头
中	tɕiən1	当～
中	tɕiən1	射～
丰	fəŋ1	
串	kʰyẽ1	
臨	ȵiən2	
丸	ʋyẽ2	～肉
丹	tan1	
爲	ʋi2	作～
爲	ʋi5	～什么
主	tɕy3	
丽	li5	美～
舉	tɕy3	
乃	lai3	
久	tɕiou3	
義	ȵi5	
之	tsɿ1	
烏	ʋu1	
乍	tsa5	
乎	fu1	
乏	fan5	
樂	lo5	
樂	io5	音～
喬	dʑio2	
乖	kuai1	
乘	dʑiən2	
乙	e1	
九	tɕiou3	
乞	tɕʰi1	
也	ia3-	
也	ie3=	～是
習	ɕi5	
鄉	ɕiaŋ1	
書	fy1	
買	mai3	
亂	nõŋ5	
乳	vy2	
乾	dʑiẽ2	～坤
了	lio3	
爭	tɕiẽ1-	
爭	tʂən1=	
事	zɿ6	
二	e5	
于	vy2	
于	kan5	
虧	kʰuei1	
雲	ʋyn2	
互	vu6	
五	ʋu3	
井	tɕiaŋ3-	
井	tɕiən3=	
亞	ia5	
些	ɕiɛ1	
亡	ɣõŋ2	
交	tɕi1	
交	tɕio1	
亥	ɣai6	
亦	i5	
產	tsʰan4	
亨	xəŋ1=	
畝	mio3	
享	xiẽ1-	
享	ʂõŋ3	
京	tɕiən1	
亭	diən2	
亮	ȵiaŋ5	
親	tɕʰiən1	
親	tɕʰiən5	～家
人	ʐən2	
億	i5	
什	ʂʅ5	～物
仁	ʐən2	
僅	dʑiən6	
仆	pʰu1	～倒
仆	pʰu1	～人
仇	dʑiou2	
仇	dʑiou2	～姓
今	tɕiən1	
介	kai5	
仍	ʂən6	
从	tsʰəŋ1	～容
从	dzəŋ2	跟～
仑	ȵiən2	
倉	tsʰõŋ1	
仕	zɿ6	
他	tʰa1	
仗	tʂõŋ5	
付	fu5	
付	tsʰəŋ5	
仙	ɕiẽ1	
代	de6	
令	ȵiən5	
以	i3	
儀	ȵi2	
仰	iaŋ3	
仲	dʑiən6	
件	dʑiẽ6	
價	tɕia5	
任	ʐən6	～姓
任	ʑiən6	责～
份	vən6	一～
仿	xõŋ3	～效
企	dʑi6-	
企	tɕʰi4=	
伊	i1	
伍	ʋu3	
伏	fu5	
伐	fa5	
休	ɕiou1	
衆	tɕiən5	
優	iou1	
優	ɕiou2	
伙	xo3	
會	ve2	～不～
會	kʰuai5	～计
會	ve6	开～
會	ve6	～不～
傘	san3	
偉	ʋi3	
傳	ɡyẽ2	～达
傳	ɡyẽ2	～记
伢	ŋa2	～子，小孩子
傷	ʂõŋ1	
倫	ȵiən2	
僞	ʋi5	
伯	piɛ1	
估	ku3-	～计
估	ku1=	～计
伴	põŋ5	
伶	ȵiən2	
伸	ʂən1	
伺	zɿ6	
似	zɿ6	
佃	diẽ6	
但	dan6	
位	ʋi5	
低	ti1	
住	dʑy6	
佐	tso3	
佑	iou5	
體	tʰi4	
何	ɣo2	
佘	ʂa2	～姓
余	vy2	
佛	fu5	
作	tso1	～坊，～作
你	n̩3-	
你	ȵi3=	
佩	pʰe5	
佳	tɕia1	
併	piən5	
使	sɿ3	
侄	tʂʅ5	
例	lie5	
侍	zɿ6	
供	kəŋ5	～给，～不起
供	kəŋ5	～养，上～
依	i1	
僥	ʑio2	
偵	tɕiən1	
側	tɕʰiɛ5	
僑	dʑio2	
儂	nəŋ2	我，你
侮	vu2	
侯	ʑio2	
侵	tɕʰiən5=	
便	biẽ2	～宜
便	biẽ6	方～
促	tsʰu5	
俄	ŋo2	
俊	tɕiən5	
俏	ɕio1	
俗	su5	
俘	fu1	～虏
保	tɕia1	
保	pɔ3	
信	ɕiən5	
儼	ȵiẽ2	～然
倆	ȵiaŋ3	
儉	dʑiẽ6	
修	ɕiou1	
俯	fu5	
俱	tɕy1	
俸	vəŋ6	
俾	pi3	
倍	be6	
倒	tɔ3	打～，颠～
倒	tɔ5	～水
倘	ʂõŋ6	～使
候	ʑio6	
倚	i1	
借	tɕiɛ5	
倡	tʂʰõŋ1	提～
倦	kyẽ5	
倪	i2	
倭	vi3	
債	tsai5	
值	tʂʰʅ5	
傾	kʰuəŋ1	
假	tɕia3	真～
假	tɕia3	放～
偏	pʰiẽ1	
做	tsu5-	
做	tso5=	
停	diən2	
健	dʑiẽ6	
偶	ŋio3	配～
偶	ŋio3	～然
偷	tʰio1	
償	ʂõŋ3	
傀	kʰuai4	～儡
傅	fu5	
傍	bõŋ2	
傢	tɕia1	～具，～俬
儲	dʑy2	～蓄
催	tsʰe1	
傲	ŋɔ5	
傻	xa3-	
傻	sa3=	
像	dʑiaŋ6	
僧	ɕiẽ1	
僵	tɕʰiaŋ1	
僻	pʰi1	
儒	vy2	
儡	le3	傀～
兒	e2	
允	ʋyn3	
元	ʋyẽ2	
兄	ɕiən1	
充	tɕʰiən1	
兆	dʑio6	
先	ɕiẽ1	
光	kõŋ1	
克	kʰiɛ1	
免	miẽ3	
兌	te5	
兔	tʰu5	
黨	tõŋ3	
兜	tio1	
入	vy6	
全	dʑiẽ2	
八	pa1	
公	kəŋ1	
六	lu5	
六	liou5=	
兮	ɕi1	
蘭	nan2	
共	ɡəŋ6	
關	kõŋ1	
興	ɕiən1	～旺
興	ɕiən1	～高
興	ɕiən5	高～
兵	piən1	
其	dʑi2	
具	dʑy6	
典	tiẽ3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiẽ1	
獸	ɕiou5	
冀	i5	
內	ne5	
岡	kõŋ1	
冊	tɕʰiɛ5	
再	tse5	
冒	mɔ5	
寫	ɕiɛ3	
軍	kyn1	
農	nəŋ2	
冠	kõŋ1	衣～
冠	kõŋ5	～军
冤	ʋyẽ1	
冬	təŋ1	
馮	ɣəŋ2	
冰	piən1	
冲	tɕʰiən1	
决	kye1	
况	kʰõŋ5	
冷	ȵiən3	
凍	təŋ5	
淨	dʑiən6	
準	kyn3	
凉	ȵiaŋ2	
凌	ȵiən2	
減	kan3	
湊	tɕʰio5	
凝	ȵi2	汤凝成冻了
几	tɕi3	茶～
几	tɕi3	～乎
几	tɕi3	～个
凡	van2	
鳳	vəŋ6	
凭	biən2	
凱	kʰai4	
凳	tiẽ5	
凶	ɕiən1	～吉
凶	ɕiən1	～恶
出	tɕʰy1	
擊	tɕi1	
函	ɣan2	
鑿	tsʰo5	
刀	tɔ1	
刁	tio1	
刃	ʑiən2	
分	fən1	～开
切	tɕʰie1	～开
刊	kʰan1	
刎	vəŋ2	
刑	ʑiən2	
划	va2	～船
划	va6	
列	lie5	
劉	liou2	
則	tɕiɛ1	
剛	kõŋ1	
創	tsʰõŋ5	
初	tsʰu1	
刪	san1	
判	pʰõŋ5	
刨	bɔ2	～地
刨	bɔ6	
利	li5	
别	pʰie5	区～，离～
刮	kua1	
到	tɔ5	
制	tsɿ5	
刷	sa1	
券	kyẽ5	国务～
刺	tsʰɿ5	
刻	kʰiɛ1	～时
刻	kʰiɛ1	用刀～
劊	kʰuai4	
剁	to5	
劑	tɕi5	一～药
剃	tʰi5	
削	ɕio1	
前	dʑiẽ2	
剮	kua3	
劍	tɕiẽ5	
剖	pʰo5	
剜	õŋ3	
剝	po1	
劇	tɕy5	～烈
劇	tɕy5	戏～
剩	ʐən6	
剪	tɕiẽ3	
副	fu5	
割	kyɛ1-	
割	ko1=	
剿	tɕio3	
劈	pʰiɛ1-	
劈	pʰi1=	
力	li5	
勸	kʰyẽ5	
辦	ban6	
功	kəŋ1	
加	tɕia1	
