#漢字	音標	解釋
㒔	人13	
㒕	人13	
㒖	人13	
㒗	人13	
㒘	人13	
㒙	人14	
㒚	人14	
㒛	人14	
㒜	人14	
㒝	人15	
㒞	人15	
㒟	人16	
㒠	人16	
㒡	人17	
㒢	人17	
㒣	人17	
㒤	人18	
㒥	人18	
㒦	人18	
㒧	人19	
㒨	人19	
㒩	人21	
㒪	人24	
㒫	儿4	
㒬	儿6	
㒭	儿8	
㒮	儿9	
㒯	儿16	
㒰	入3	
㒱	入3	
㒲	入4	
㒳	入5	
㒴	入5	
㒵	八5	
㒶	八5	
㒷	八5	
㒸	八7	
㒹	八18	
㒺	冂6	
㒻	冂9	
㒼	冂9	
㒽	冂10	
㒾	冂11	
㒿	冂20	
㓀	冖2	
㓁	冖2	
㓂	冖7	
㓃	冖10	
㓄	冖13	
㓅	冫2	
㓆	冫4	
㓇	冫4	
㓈	冫5	
㓉	冫6	
㓊	冫6	
㓋	冫6	
㓌	冫6	
㓍	冫6	
㓎	冫7	
㓏	冫7	
㓐	冫8	
㓑	冫8	
㓒	冫8	
㓓	冫9	
㓔	冫10	
㓕	冫10	
㓖	冫11	
㓗	冫12	
㓘	几9	
㓙	凵4	
㓚	刀3	
㓛	刀3	
㓜	刀3	
㓝	刀4	
㓞	刀4	
㓟	刀5	
㓠	刀5	
㓡	刀6	
㓢	刀6	
㓣	刀6	
㓤	刀6	
㓥	刀6	
㓦	刀6	
㓧	刀7	
㓨	刀7	
㓩	刀7	
㓪	刀7	
㓫	刀7	
㓬	刀8	
㓭	刀8	
㓮	刀8	
㓯	刀8	
㓰	刀8	
㓱	刀9	
㓲	刀9	
㓳	刀9	
㓴	刀9	
㓵	刀9	
㓶	刀9	
㓷	刀10	
㓸	刀10	
㓹	刀10	
㓺	刀10	
㓻	刀10	
㓼	刀11	
㓽	刀11	
㓾	刀12	
㓿	刀12	
㔀	刀12	
㔁	刀12	
㔂	刀12	
㔃	刀12	
㔄	刀12	
㔅	刀12	
㔆	刀12	
㔇	刀12	
㔈	刀12	
㔉	刀12	
㔊	刀13	
㔋	刀14	
㔌	刀14	
㔍	刀14	
㔎	刀15	
㔏	刀15	
㔐	刀16	
㔑	刀17	
㔒	刀18	
㔓	力3	
㔔	力4	
㔕	力4	
㔖	力4	
㔗	力5	
㔘	力5	
㔙	力6	
㔚	力6	
㔛	力6	
㔜	力7	
㔝	力8	
㔞	力8	
㔟	力8	
㔠	力9	
㔡	力10	
㔢	力12	
㔣	力15	
㔤	力15	
㔥	力15	
㔦	力15	
㔧	力16	
㔨	勹9	
㔩	勹10	
㔪	勹11	
㔫	匕2	
㔬	匕6	
㔭	匕9	
㔮	肉17	
㔯	匚5	
㔰	匚5	
㔱	匚9	
㔲	匚11	
㔳	匚11	
㔴	匚11	
㔵	匚12	
㔶	匚24	
㔷	匸5	
㔸	匸10	
㔹	十2	
㔺	十4	
㔻	十4	
㔼	十11	
㔽	卜6	
㔾	卩1	
㔿	卩1	
㕀	卩5	
㕁	卩6	
㕂	厂4	
㕃	厂4	
㕄	厂4	
㕅	厂5	
㕆	厂5	
㕇	厂5	
㕈	厂6	
㕉	厂6	
㕊	厂7	
㕋	厂8	
㕌	厂8	
㕍	厂8	
㕎	厂10	
㕏	厂11	
㕐	厂12	
㕑	厂12	
㕒	厂13	
㕓	厂15	
㕔	厂22	
㕕	厶2	
㕖	厶8	
㕗	厶9	
㕘	厶9	
㕙	厶13	
㕚	又2	
㕛	又2	
㕜	又4	
㕝	又5	
㕞	又6	
㕟	又7	
㕠	又10	
㕡	又12	
㕢	貝7	
㕣	口2	
㕤	口2	
㕥	口2	
㕦	口3	
㕧	口3	
㕨	口3	
㕩	口4	
㕪	口4	
