#漢字	音標	解釋
㖪	xɔʔ7	吵鬧
㗘	pʰaʔ7	講～
㞎	pɑ3	
㞞	sɔŋ2	
㧼	piɔ5	拉，牽制
㧾	xuəʔ7	擊打
㩓	xuɛ3	揮甩
㪕	tʂʰaʔ7	舀起，～米
㪬	tʂʰuaʔ8	搗碎
㹕	xʲuɛ̃1	硬
㾭	tɕiʊ5	縮
䁃	piɔ1	看
穇	tsʰʊ̃ᵘ̃3	
䙀	pɔŋ3	～脆的
䞁	ĩ5	比較
䬬	iã5	膩
䬵	kʰɛ2	打饱嗝
䴛	sɔ5	咸
䵑	ɻəŋ6	潮
䶠	kʰʲɛ̃2	虾蟹的螯
䶠	ŋʲɛ̃2	夾；虾蟹的螯
一	iəʔ7	
丁	tiŋ1	
七	tɕʰiəʔ7	
丈	tʂʰã6	
三	sʲɛ̃1	
上	ʂã6	
下	xɑ6	白讀
下	ɕiɑ6	文讀
不	pəʔ7	
丐	kɛ5	
丑	tʂʰəɪ3	
且	tɕʰiɑ3	
世	ʂʅ5	
丘	tɕʰiʊ1	
丙	piŋ3	
丞	tʂʰəŋ2	
丟	təɪ1	白讀
丟	tiʊ1	文讀
並	pʰiŋ6	
丫	iɑ1	
丫	ŋɑ1	
中	tʂɔŋ1	
中	tʂɔŋ5	
丰	fɔŋ1	
串	tʂʰʊ̃ᵘ̃5	
丸	ʊ̃ᵘ̃2	
丹	tʲɛ̃1	
主	tʂʋ3	
乃	nɛ3	
久	tɕiʊ3	
之	tʂʅ1	
乎	xʋ1	
乏	fʲɛʔ8	
乒	pʰiŋ1	
乓	pʰã1	
乖	kuɛ1	
乘	tʂʰəŋ2	
乙	iəʔ7	
乜	miɑ1	
乜	miɑ3	窺視
乜	niɑ6	
九	tɕiʊ3	
也	iɑ3	
乳	ɻʋ3	
乾	kʊ̃ᵘ̃1	
乾	tɕʰĩ2	
亂	lʊ̃ᵘ̃6	
了	liɔ3	
予	ɥyᶨ3	
事	sɿ6	
二	ɚ6	
于	ɥyᶨ2	
云	yŋ2	
互	xʋ6	
五	ʋ̩3	
井	tɕiŋ3	
些	ɕiɑ1	
亞	iɑ5	
亡	ʋã2	
亢	kʰã5	
交	kɔ1	白讀
交	tɕiɔ1	
亥	xɛ6	
亦	iəʔ7	
亨	xəŋ1	
享	ɕiã3	
京	tɕiŋ1	
亭	tʰiŋ2	
亮	liã6	
人	ɻəŋ2	
什	ʂəʔ8	
仁	ɻəŋ2	
仇	tʂʰəɪ2	
今	kəŋ1	白讀
今	tɕiŋ1	文讀
介	kɛ5	白讀
介	tɕiɛ5	文讀
仍	ɻəŋ2	
仔	tsɿ3	
仕	ʂʅ6	
他	tʰɑ1	
仗	tʂʰã6	白读
仗	tʂã5	
付	fʋ5	
仙	ɕĩ1	
代	tʰɛ6	
令	liŋ2	
令	liŋ6	
以	jɨᶨ3	
仨	sʲɛ̃1	
仰	iã3	文讀
