#漢字	音標	解釋
□	ts‘a1	失败，谈～了
一	i1	
丁	tiŋ1	
七	tɕ‘i1	
万	vã5	
丈	tʂaŋ5	
三	sã1	
上	ʂaŋ1	
上	ʂaŋ2	～声
下	ɕia5	
与	y3	
丐	kai5	
丑	tʂ‘ou3	
專	tʂuã1	
且	tɕ‘iɛ3	
世	sʅ5	
丘	tɕ‘iou1	
丙	piŋ3	
業	iɛ5	
叢	ts‘uŋ2	
東	tuŋ1	
絲	sɿ1	
丞	tʂ‘əŋ2	
丟	tiou1	
兩	liaŋ3	
嚴	iã2	
喪	saŋ1	
个	kə5	
丫	ia1	
中	tsuŋ1	
丰	fəŋ1	
串	tʂ‘uã5	
臨	liⁿ2	
丸	vã2	
丹	tã1	
爲	vei2	
爲	vei5	
主	tʂu3	
丽	li5	
舉	tɕy3	
久	tɕiou3	
義	i5	
之	tsɿ1	
烏	vu1	
乍	tsa5	
乎	xu1	
乏	fa2	
樂	lə5	
樂	lɑu5	
乒	p‘iŋ1	
乓	p‘aŋ1	
喬	tɕ‘iɑu2	
乖	kuai1	
乘	tʂ‘əŋ2	
乙	i3	
九	tɕiou3	
乞	tɕ‘i3	
也	iɛ3	
習	ɕi2	
鄉	ɕiaŋ1	
書	ʂu1	
買	mai3	
亂	luã5	
乳	ʐu3	
乾	tɕ‘iã2	
了	liɑu3	
予	y2	
爭	tʂəŋ1	
事	sɿ5	
二	ɚ5	
于	y2	
虧	k‘uei1	
雲	yⁿ2	
互	xu5	
五	vu3	
井	tɕiŋ3	
亘	kəⁿ5	
亞	ia5	
些	ɕiɛ1	
亡	vaŋ2	
亢	k‘aŋ5	
交	tɕiɑu1	
產	ts‘ã3	
亨	xəŋ1	
畝	mu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	t‘iŋ2	
亮	liaŋ5	
親	tɕ‘iⁿ1	
親	tɕ‘iŋ5	～家
人	ʐəⁿ2	
什	sʅ2	
什	ʂəⁿ2	～么
仁	ʐəⁿ2	
仄	tsə5	
僅	tɕiⁿ3	
仆	p‘u3	
仇	tʂ‘ou2	
仇	tɕ‘iou2	
今	tɕiⁿ1	
介	tɕiai5	
从	ts‘uŋ2	
仑	t‘uəⁿ2	
倉	ts‘aŋ1	
他	t‘a1	
仗	tʂaŋ5	
付	fu5	
仙	ɕiã1	
代	tai5	
令	liŋ5	
以	i3	
儀	i2	
仰	iaŋ3	
件	tɕiã5	
價	tɕia5	
任	ʐəⁿ2	姓～
任	ʐəⁿ5	
仿	faŋ3	
企	tɕ‘i3	
伊	i1	
伍	vu3	
伏	fu2	
伐	fa2	
休	ɕiou1	
衆	tsuŋ5	
優	iou1	
伙	xuə3	
會	k‘uai5	
會	xuei5	
傘	sã3	
偉	vei3	
傳	tʂ‘uã2	
傳	tʂuã5	～记
傷	ʂaŋ1	
倀	tʂ‘aŋ1	
倫	t‘uəⁿ2	
僞	vei3	
伯	pai1	大～哥
伯	pə2	
估	ku1	
伴	pã5	
伸	ʂəⁿ1	
伺	ts‘ɿ5	
似	sɿ5	
佃	tiã5	
但	tã5	
位	vei5	
低	ti1	
住	tʂu5	
佐	tsuə3	
佑	iou5	
體	t‘i3	
何	xə2	
余	y2	
佛	fə2	
作	tsuə5	
佞	niŋ5	
你	ni3	
佣	iuŋ5	
佩	p‘ei5	
佳	tɕia1	
使	sɿ3	
侃	k‘ã3	
侄	tʂʅ2	
侈	tʂ‘ʅ3	
侉	k‘ua3	
例	li5	
供	kuŋ1	
供	kuŋ5	～认
依	i1	
僥	tɕiɑu3	
偵	tʂəⁿ1	
側	ts‘ə5	
僑	tɕ‘iɑu2	
侮	vu1	
侯	xou2	
侵	tɕ‘iⁿ1	
便	p‘iã2	～宜
便	piã5	
促	ts‘u5	
俄	ŋə2	
俊	tsuəⁿ5	
俏	tɕ‘iɑu5	
俗	su2	
俘	fu2	
保	pɑu3	
俞	y2	
信	ɕiⁿ5	
倆	lia3	
儉	tɕiã3	
修	ɕiou1	
俯	fu3	
俱	tɕy5	
俸	fəŋ5	
倍	pei5	
倒	tɑu3	
倒	tɑu5	
倔	tɕyɛ2	
倔	tɕyɛ5	
倘	t‘aŋ3	
候	xou5	
倚	i3	
借	tɕiɛ5	
倡	tʂ‘aŋ5	
倦	tɕyã5	
倪	ni2	
倭	və1	
債	tsai5	
值	tʂʅ2	
傾	tɕ‘iŋ1	
假	tɕia3	真～
假	tɕia5	放～
偎	vei1	
偏	p‘iã1	
偕	ɕiɛ2	
做	tsuə5	
做	tsou5	
停	t‘iŋ2	
健	tɕiã5	
偶	ŋou3	
偷	t‘ou1	
傀	k‘uei2	
傅	fu5	
傍	paŋ5	
傣	tai3	
儲	tʂ‘u3	
催	ts‘uei1	
傲	ŋɑu5	
傻	ʂa3	
像	ɕiaŋ5	
僚	liɑu2	
僧	səŋ1	
僵	tɕiaŋ1	
僻	p‘i5	
儒	ʐu2	
儡	lei3	
兒	ɚ2	
允	yⁿ3	
元	yã2	
兄	ɕiuŋ1	
充	ts‘uŋ1	
兆	tʂɑu5	
先	ɕiã1	
光	kuaŋ1	
克	k‘ə5	
免	miã3	
兌	tuei5	
兔	t‘u5	
黨	taŋ3	
兜	tou1	
入	ʐu5	
全	tɕ‘yã2	
八	pa1	
公	kuŋ1	
六	liou5	
蘭	lã2	
共	kuŋ5	
關	kuã1	
興	ɕiŋ1	
興	ɕiŋ5	
兵	piŋ1	
具	tɕy5	
典	tiã3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiã1	
獸	ʂou5	
冀	tɕi5	
內	nei5	
岡	kaŋ1	
冉	ʐã3	
冊	ts‘ə5	
再	tsai5	
冒	mɑu5	
冕	miã3	
寫	ɕiɛ3	
軍	tɕyⁿ1	
農	nuŋ2	
冠	kuã1	
冠	kuã5	
冢	tsuŋ3	
冤	yã1	
冥	miŋ2	
冬	tuŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	ts‘uŋ1	
冲	ts‘uŋ5	～我发火
决	tɕyɛ2	
况	k‘uaŋ5	
冶	iɛ3	
冷	ləŋ3	
凍	tuŋ5	
冽	liɛ5	
淨	tɕiŋ5	
凄	tɕ‘i1	
準	tʂuəⁿ3	
凉	liaŋ2	
凋	tiɑu1	
減	tɕiã3	
湊	ts‘ou5	
凛	liⁿ3	
凝	niŋ2	
几	tɕi1	
几	tɕi3	
凡	fã2	
鳳	fəŋ5	
凭	piŋ2	
凱	k‘ai3	
凰	xuaŋ2	
凳	təŋ5	
凶	ɕiuŋ1	
凸	t‘u1	
凹	ŋɑu1	
出	tʂ‘u1	
擊	tɕi1	
函	xã2	
鑿	tsɑu2	
刀	tɑu1	
刁	tiɑu1	
刃	ʐəⁿ5	
分	fəⁿ1	
分	fəⁿ5	
切	tɕ‘iɛ1	
切	tɕ‘iɛ5	
刊	k‘ã1	
刎	vəⁿ3	
刑	ɕiŋ2	
划	xua2	
划	xua5	
列	liɛ5	
劉	liou2	
則	tsə1	
剛	kaŋ1	
創	ts‘uaŋ1	～伤
創	ts‘uaŋ5	
初	tʂ‘u1	
刪	ʂã1	
判	p‘ã5	
刨	p‘ɑu2	
刨	pɑu5	
利	li5	
别	piɛ2	
别	piɛ5	～扭
刮	kua1	
到	tɑu5	
制	tʂʅ5	
刷	sua1	
券	tɕ‘yã5	
刹	sa1	
刺	ts‘ɿ5	
刻	k‘ə5	
劊	kuei5	
剁	tuə5	
劑	tɕi5	
剃	t‘i5	
削	ɕyɛ1	
削	ɕiɑu1	
剌	la2	
前	tɕ‘iã2	
剮	kua3	
劍	tɕiã5	
剔	t‘i5	
剖	p‘ɑu1	
剖	p‘ou1	
剜	vã1	
剝	pɑu1	
劇	tɕy5	
剩	ʂəŋ5	
剪	tɕiã3	
副	fu5	
割	kə1	
剽	p‘iɑu1	
劈	p‘i1	
力	li5	
勸	tɕ‘yã5	
辦	pã5	
功	kuŋ1	
加	tɕia1	
務	vu5	
劣	liɛ5	
動	tuŋ5	
助	tsu5	
努	nu3	
劫	tɕiɛ2	
勵	li5	
勁	tɕiⁿ5	
勞	lɑu2	
劾	xə2	
勢	sʅ5	
勃	pə2	
勇	iuŋ3	
勉	miã3	
勋	ɕyⁿ1	
勒	lei1	
勒	lə5	
勘	k‘ã1	
募	mu5	
勤	tɕ‘iⁿ2	
勺	ʂɑu2	
勾	kou1	
勿	vu5	
勻	yⁿ2	
包	pɑu1	
匆	ts‘uŋ1	
匈	ɕiuŋ1	
匐	fu3	
化	xua5	
北	pei1	
匝	tsa1	
匠	tɕiaŋ5	
匣	ɕia2	
匪	fei3	
匱	k‘uei5	
匹	p‘i1	
區	tɕ‘y1	
醫	i1	
匾	piã3	
匿	ni5	
十	sʅ2	
千	tɕ‘iã1	
卅	sa5	
升	ʂəŋ1	
午	vu3	
卉	xuei5	
半	pã5	
華	xua2	
華	xua5	
協	ɕiɛ2	
卑	pei1	
卒	tsu2	
卓	tsuə2	
單	tã1	
單	ʂã5	
賣	mai5	
南	nã2	
博	pə2	
卞	piã5	
占	tʂã1	
占	tʂã5	
卡	tɕ‘ia2	
卡	k‘a3	
盧	lu2	
卤	lu3	
卦	kua5	
臥	və5	
衛	vei5	
卯	mɑu3	
印	iⁿ5	
危	vei1	
即	tɕi2	
卻	tɕ‘yɛ5	
卵	luã3	
卷	tɕyã3	花～儿
卸	ɕiɛ5	
卿	tɕ‘iŋ1	
廠	tʂ‘aŋ3	
廳	t‘iŋ1	
历	li5	
厲	li5	
壓	ia1	
厭	iã5	
廁	ts‘ə5	
厘	li2	
厚	xou5	
原	yã2	
廂	ɕiaŋ1	
厥	tɕyɛ2	
厦	sa5	
厦	ɕia5	～门
廚	tʂ‘u2	
厮	sɿ1	
去	tɕ‘y5	
縣	ɕiã5	
叄	sã1	
参	ts‘ã1	
参	ts‘əⁿ1	～差
参	səⁿ1	
又	iou5	
叉	ts‘a1	
叉	ts‘a3	裤～
叉	ts‘a5	树～
及	tɕi2	
友	iou3	
雙	suaŋ1	
