#漢字	音標	解釋
□	so1	羊膻味
一	i7	
丁	tiɑŋ1	
七	tsʰe7	
万	van5	麻将牌
丈	tʰɔŋ5	
三	san1	
上	sɔŋ2	～面
上	sɔŋ5	～去
下	xɑ5	方位
下	xɑ5	
不	pue7	
与	i5	
丑	tɕʰiə3	
專	tuan1	
且	tɕʰie3	
丕	pʰe1	
世	sɿ9a	
丘	tɕʰiə2	
丙	pin3	
業	ȵie7	
叢	tsʰəŋ2	
東	təŋ1	
絲	sɿ1	
丞	tʰin2	
丟	tiə1	
兩	tiɔŋ3	
嚴	ȵiɛn2	
喪	sɔŋ5	
个	ko2	
丫	ŋɑ2	
中	təŋ1	当～
中	təŋ3	射～
丰	fəŋ1	
串	tʰuan2	
臨	tin3	
丸	yan2	
丹	tan1	
主	ku3	
丽	te5	
舉	tɕi3	
乃	lai3	
久	tɕiə3	
麼	iɔ1	
義	le5	
之	tsɿ2	
烏	vu1	
乍	tsʰɑ2	
乎	fu2	
樂	lo7	快～，音～
喬	tɕʰiɔ2	
乖	kuai1	
乘	ɕin2	
乙	ie7	
九	tɕiə3	
乞	tɕʰi7	
也	ia3	
習	se7	
鄉	ɕiɔŋ1	
書	fu1	
買	mai3	
亂	luɔn5	
乾	tɕʰiɛn2	～坤
了	liɔ3	
爭	tsɑŋ1	
事	sɿ5	
二	ʮ5	
于	i1	
于	i2	於，介词，源～
虧	kʰue1	
雲	yn2	不知所～、～彩
互	fu3	
五	ŋ3	
井	tɕiɑŋ3	
亞	ŋɑ5	
些	ɕie1	
亡	vɔŋ3	
交	kɔ1	
亥	xuai5	
亦	i5	
產	tsʰan3	～妇
亨	xan1	
畝	mia3	
享	ɕiɔŋ3	
京	tɕin1	
亭	tʰin2	
亮	tiɔŋ5	
親	tsʰin1	
人	ȵin2	
億	i5	
什	sɿ7	～锦
仁	in2	
僅	tɕin2	
仆	pʰə5	僕，～人
仆	pʰə7	前～后继
仇	tɕʰiə2	～恨
仇	tɕʰiə9a	姓
今	tɕin1	
介	kai2	
仍	ȵin3	
从	tsʰəŋ2	
仑	lun3	
倉	tsʰɔŋ1	
仕	sɿ5	
他	ke2	
仗	tɔŋ3	
付	fu2	
仙	ɕiɛn1	
代	xuai1	
令	tin5	
以	i3	
儀	le2	
仰	iɔŋ3	
仲	təŋ2	
件	tɕʰiɛn5	
價	kɑ2	
任	in5	
份	fiɛn5	
仿	fɔŋ3	倣，效～，～造
仿	fɔŋ3	相～
仿	fɔŋ3	～佛
企	tɕʰi5	
伊	i1	
伍	ŋ3	
伏	fu7	
伐	fa7	
休	ɕiə1	
衆	təŋ5	
優	iə1	
會	kʰuai2	～计
會	fue5	开～，～不～
傘	san3	
偉	ve5	
傳	tʰuan2	～下来
傳	tʰuan5	～记
伢	ŋɑ2	
傷	ɕiɔŋ1	
倫	lun2	
僞	ve2	
伯	pɑ7	
估	ku1	
伴	pʰuɔn5	
伶	lin2	
伸	sin1	
伺	sɿ2	
似	sɿ5	
佃	tʰiɛn5	
但	tʰan5	
