#漢字	音標	解釋
性	ɕiʌŋ5	
怨	yɪ5	
怪	kyɛ5	
怯	tɕʰiaʔ7	
總	tsuʌŋ3	
恃	sɿ5	
戀	luæ5	
恐	kʰuʌŋ3	
恆	xʌŋ2	
恕	su5	
恢	xuɐɪ1	
恤	ɕyəʔ7	
恨	xʌŋ5	
恩	ŋʌŋ1	
恬	tʰiɪ2	
恭	kuʌŋ1	
息	ɕiəʔ7	
恰	tɕʰiaʔ7	
懇	kʰʌŋ3	
恶	ŋəʔ7	厌～
恶	ŋəʔ7	善～
惱	nou3	
恿	yʌŋ3	
悄	tɕʰiou1	
悉	ɕiəʔ7	
悔	xuɐɪ3	
悟	u5	
悠	iʌu1	
患	xuæ5	
悅	yəʔ8	
懸	ɕyɪ2	
憫	miʌŋ3	
悲	pɐɪ1	
悼	tou5	
情	tɕʰiʌŋ2	
驚	tɕiʌŋ1	
惑	xuəʔ7	
惕	tʰiəʔ7	
惜	ɕiəʔ7	
惟	uɐɪ2	
惠	xuɐɪ5	
懼	tsu5	
慘	tsʰæ1	
懲	tsʰʌŋ1	
慚	tsʰæ1	
慣	kuæ5	
惰	tuo5	
想	ɕiɔ3	
惹	iɛ3	
愁	tsʰʌu2	
愈	zu2	
愉	zu2	
意	zɿ5	
愚	zu2	
感	kæ3	
愣	lʌŋ5	
憤	xuʌŋ5	
愧	kʰuɐɪ5	
願	yɪ5	
慈	tsʰɿ2	
慌	xuo1	
慎	sʌŋ5	
慕	mu5	
慢	mæ5	
慧	xuɐɪ5	
慨	kʰɐɪ5	
慰	zu5	
慰	uɐɪ5	
慷	kʰɔ1	
憋	piəʔ7	
憎	tsʌŋ1	
憠	tɕyəʔ7	
憨	xiɪ1	
憨	xæ1=	
憾	xæ3	
懂	tuʌŋ3	
懈	ɕiɛ5	
懊	ŋou5	
懶	læ3	
懵	mʌŋ3	
戈	kuo1	
戊	u5	
戌	ɕyəʔ7	
戍	su5	
戎	zuʌŋ2	
戲	sɿ5	
成	sɘr2-	
成	tsʰʌŋ2=	
我	ŋa3	
戒	tɕiɛ5	
或	xuəʔ7	
戰	tɕiɪ5-	
戰	tsæ5=	
戚	tɕʰiəʔ7	
戟	tɕiəʔ7	
截	tɕʰiəʔ8	
戳	tsʰuaʔ7	
戴	tɐɪ5	
戶	xu5	
房	xuo2	
所	suo3	
扁	piɪ3	
扇	ɕiɪ1-	
扇	ɕiɪ5-	
扇	sæ5=	
手	sʌu3	
才	tsʰɐɪ2	
扎	tsaʔ7	
扑	pʰu2	～克
扑	pʰəʔ7	
打	ta3	
扔	zʌŋ3	
托	tʰaʔ7	
扛	kʰɔ3	
扣	kʰʌu5	
執	tsəʔ7	
擴	kʰuəʔ7	
掃	sou3	～地
掃	sou5	～帚
揚	iɔ2	
扭	zʌu3-	
扭	niʌu3=	
扮	pæ5	
扯	tɕʰiɛ3	
擾	zou3	
扳	pæ1	
扶	xu2	
批	pʰɿ1	
扼	ŋəʔ7	
找	tsou3	
承	tsʰʌŋ2	
技	tsɿ5	
抄	tsʰou1	
把	pa3	～握
把	pa5	刀～
抑	iəʔ7	
抓	tsua1	
投	tʰʌu2	
抖	tʌu3	
抗	kʰɔ5	
折	tsəʔ7	
折	səʔ8	～本
撫	u5	
抛	pʰou1	
摳	kʰʌu1	
搶	tɕʰiɔ3	
護	xu5	
報	pou5	
披	pʰɿ1	
抬	tʰɐɪ2	
抱	pu5	
抱	pou5=	
抲	tɕʰia1	
抵	tɿ3	
抹	məʔ8	
押	niaʔ7-	
押	iaʔ7=	
抽	tsʰʌu1	
抿	miʌŋ3	
拄	tsu3	
擔	tæ1	
擔	tæ5	～子
拆	tsʰaʔ7	
拇	mu3	
拈	niɪ2	
拉	la1	
拌	pou5-	
拌	pæ5=	
拍	pʰiəʔ7	
拐	kyɛ3	
拒	tsu5	
拓	tʰaʔ7	
拔	pʰaʔ8	
拖	tʰɔ1	
拘	tsu1	
拙	tɕyəʔ7-	笨
拙	tsuəʔ7=	
招	tsou1	
拜	piɛ5-	～年
拜	pɐɪ5=	
擬	nɿ5	
攏	luʌŋ3	
揀	tɕiæ3	
擁	yʌŋ3	
攔	læ2	
撥	pəʔ7	
擇	tsʰaʔ8-	～日子
擇	tsaʔ7=	
括	kʰuəʔ7	
拭	səʔ7	～布：洗碗后擦拭水渍的抹布
拯	tsʌŋ3	
拱	kuʌŋ1	
拳	tɕʰyɪ2	
拴	suæ1	
拷	kʰou5	
拼	pʰiʌŋ5	
拽	tɕyɛ5	
拿	na2	
持	tsʰɘr2	
挂	kua5	
指	tsɿ3	
按	ŋiɪ5-	
按	ŋæ5=	
挑	tʰiou1	～选
挑	tʰiou3	～战
挾	tɕiaʔ7	
撓	zou2-	
擋	tɔ3	
擠	tsɿ3	
揮	xuɐɪ1	
挨	ŋiɛ1	
挪	nɔ2	
振	tsʌŋ3	
挺	tʰiʌŋ3	
挽	uæ3	
捅	tʰuʌŋ3	
捆	kʰuʌŋ3	
捉	tsuaʔ7	
捋	lyəʔ8	轻扫也
捎	sou1	
捏	niəʔ8	
捐	tɕyɪ5	
捕	pu3	
撈	lou2	
損	suʌŋ3	
換	xou5-	
換	xuæ5=	
搗	tou3	
捧	pʰʌŋ1	
据	tsu5	
捱	niɛ2	～打
捷	tɕʰiəʔ8-	～近路
捷	tɕiəʔ7=	
捺	naʔ8	
捻	niɪ3	
掀	ɕiɪ1	
掂	tiɪ1	
掇	tuəʔ7	
授	sʌu5	
掉	tiou5	
掌	tsɔ3	
掏	tʰou2	
掐	tɕʰiaʔ7	
排	pʰiɛ2-	
排	pʰɐɪ2=	
掘	tɕʰyəʔ7	
掘	tɕʰyəʔ8	
掠	liəʔ7	
探	tʰæ5	～见：够得着
接	tɕiəʔ7	
控	kʰuʌŋ3	
推	tʰuɐɪ1	
掩	iɪ3	
措	tsʰʌu5	
掬	tɕʰyəʔ7	
撣	tʰæ3	～子
揉	zʌu2	
描	miou2	
提	tʰɿ2	
插	tsʰaʔ7	
揖	iəʔ7	
揞	ŋiɪ3	～盖：掩盖
揞	ŋæ5=	
握	uaʔ7	
揣	tɕʰyɛ3	
揩	tɕʰiɛ1	
揪	tɕiʌu1	
揭	tɕiəʔ7	
援	yɪ2	
攬	læ3	
撳	tɕʰiʌŋ5	
攙	tsʰæ2	
擱	kəʔ7	
摟	lʌu2	～柴
摟	lʌu3	抱也
攪	tɕiou3	
搋	tɕʰiɛ1	～馅子：以手用力压和揉馅，使之充分混合
搓	tsʰɔ1	
搜	sʌu1	
搞	kou3	
搬	pou1-	
搬	pæ1=	
搭	taʔ7	
携	sɿ1	
搽	tsʰa2	
攝	səʔ7	
摆	piɛ3	
摇	iou2	
攤	tʰæ1	
摘	tsaʔ7	
摞	luo2	垛～～：叠成一摞
摞	luo5	
摩	muo2	
摸	məʔ8	
摹	mu2	
摺	tsəʔ7	
撇	pʰiəʔ7	从液面上轻轻地舀
撑	tsʰʌŋ1	
撒	sa3	
撕	sɿ1	
撖	tsʌu1	
撞	tsʰuo5	
撤	tsʰəʔ7	
撩	liou2	
撮	tsuəʔ7	
撰	tsuæ5	
攆	niɪ3	
撼	xæ3	
擀	kiɪ3	
操	tsʰou1	
擎	tɕʰiʌŋ2	
擒	tɕʰiʌŋ2	
擦	tsʰaʔ7	
攀	pʰæ1	
攢	tsæ3	
攫	tɕyəʔ7	
攮	nɔ3	
支	tsɿ1	
收	sʌu1	
改	kɐɪ3	
攻	kuʌŋ1	
放	xuo5	
政	tsʌŋ5	
故	ku5	
效	ɕiou5	
敵	tʰiəʔ8-	不～：比不上
敵	tiəʔ7=	
敏	miʌŋ3	
救	tɕiʌu5	
教	tɕiou1	使也，让也
教	tɕiou5	～书
斂	liɪ3	
敝	pɿ5	
敢	kæ3	
散	sæ3	松～
散	sæ5	解～
敦	tuʌŋ1	
敬	tɕiʌŋ5	
數	tsʰu3-	倒～
數	su3	
數	su5	
敲	tɕʰiou1	
整	tsɘr3-	
整	tsʌŋ3=	
敷	xu2	
文	uʌŋ2	
斋	tsɐɪ1	
斑	pæ1	
斗	tʌu3	～子：车斗子
斗	tʌu5	争～
料	liou5	
斛	xuəʔ8	
斜	ɕiɛ2	
斟	tsʌŋ1	
斤	tɕiʌŋ1	
斥	tsʰəʔ7	
斧	xu3	
斬	tsæ3	
斷	tu5-	
斷	tsəʔ7	
斷	tuæ5=	
斯	sɿ1	
新	ɕiʌŋ1	
方	xuo1	
於	zu2	
施	sɿ1	
旁	pʰuo2	
旅	lu3	
旋	ɕyɪ2	～转
族	tsuəʔ7	
旗	tsʰɿ2	
无	u2	
既	tsɿ5	
日	zəʔ8	
旦	tæ5	
舊	tɕiʌu5	
旨	tsɿ3	
早	tsou3	
旬	ɕyʌŋ2	
旭	ɕyəʔ7	
旱	xiɪ5-	
旱	xæ5=	
時	sɿ2	
曠	kʰuo5	
旺	uo5	
昂	ŋɔ2	
昆	kʰuʌŋ1	
昌	tsʰɔ3	
明	mɿ2-	
明	miʌŋ2=	
昏	xuʌŋ1	
易	zɿ5	容-
易	iəʔ7	交～
昔	ɕiəʔ7	
星	sɿ1-	
星	ɕiʌŋ1=	
映	zɿ5-	～：映照
映	iʌŋ5	
春	tsʰuʌŋ1	
昧	mɐɪ5	
昨	tsa3	
昭	tsou1	
是	sɿ5	
晝	tsʌu5	
顯	ɕiɪ3	
晃	xuo3	
晃	xɔ5	
晉	tɕiʌŋ5	
晌	sɔ5	
曬	ɕiɛ5	
曉	ɕiou3	
暈	yʌŋ3	
晚	uæ3	
晦	xuɐɪ3	
晨	tsʰʌŋ2	
普	pʰu3	
景	tɕiʌŋ3	
晴	tsʰɿ2-	
晴	tɕʰiʌŋ1=	
晶	tɕiʌŋ1	
智	tsɘr5	
暫	tsæ5	
暑	tsʰu3	～假
暖	nou3-	～天：夏天
暖	nuæ3=	
暗	ŋiɪ5-	黄尘黑～
暗	ŋæ5=	
暮	mu5	
暴	pou5	
曰	yəʔ7	
曲	tɕʰyəʔ7	
曳	iəʔ8	
更	tɕiɛ1	～深半夜
更	kʌŋ1=	
更	kʌŋ3=	～新
更	kʌŋ5=	～加
曹	tsʰou2	
曾	tsʌŋ1	姓
曾	tsʰʌŋ2	～经
替	tʰɿ5	
最	tsuɐɪ3	
月	yəʔ8	
有	iʌu3	
朋	pʰʌŋ2	
服	xuəʔ8	
朔	suaʔ7	
朗	lɔ5	
望	uo5	
朝	tsou1	
朝	tsʰou2	
期	tsʰɿ1	
木	məʔ8	
未	uɐɪ5	
末	məʔ8	
本	pʌŋ3	
札	tsaʔ7	
术	suəʔ7	
朱	tsu1	
朴	pʰəʔ7	
朵	tuo1	
機	tsɿ1	
朽	ɕiʌu3	
殺	saʔ7	
雜	tsʰaʔ8	
權	tɕʰyɪ2	
杆	kiɪ3-	旗～
杆	kæ3=	～杆
杈	tsʰa1	
李	liɪ3	
杏	ɕiɛ5-	～树
杏	ɕiʌŋ5=	
材	tsʰɐɪ2	
村	tsʰuʌŋ1	
杖	tsɔ5	
杜	tu5	
杞	tsʰɿ3	
束	suəʔ7	
杠	kɔ5	～子
條	tʰiou2	
來	lɐɪ2	
楊	iɔ2	
杭	xɔ2	
杯	pɐɪ1	
杰	tɕiəʔ7	
杳	miou3	
杴	tɕʰiɪ1	铁～
杵	tsʰu3	
松	tsʰuʌŋ1	
松	suʌŋ1	
板	pæ3	
極	tɕiəʔ7	
構	ŋʌu5	
枉	uo3	
析	ɕiəʔ7	
枕	tsʌŋ5	
林	liʌŋ2	
枚	mɐɪ2	
果	kuo3	
枝	tsɿ1	
棗	tsou3	
槍	tɕʰiɔ1	
楓	xuʌŋ1	
架	tɕia5	
柄	piʌŋ3	
柏	piəʔ7	
某	mu3	
柑	kiɪ1-	
柑	kæ1=	
染	iɪ5-	
染	zæ3=	
柔	zʌu2	
柚	iʌu5	
櫃	kuɐɪ5	
查	tsʰa2	
柩	tɕiʌu5	
柬	tɕiæ3	
柯	kɔ1	勒～：连枷
柱	tsu5	
柳	liʌu3	
柴	tɕʰiɛ2-	
柴	tsʰɐɪ2=	
柿	sɿ5	
梔	tsɿ1	
柵	tsa5	
標	piou1	
棧	tsæ5	
棟	tuʌŋ3	
欄	læ2	
樹	su5	
栗	liəʔ7	
校	tɕiou5	～对
校	ɕiou5	学～
株	tsu1	
樣	iɔ5	
核	kuəʔ7-	枣～子
核	xəʔ7	～心
根	kʌŋ1	
格	kəʔ7	
栽	tsɐɪ1	
桂	kuɐɪ1	
桃	tʰou2	
框	kʰuo1	
案	ŋiɪ5-	
案	ŋæ5=	
桌	tsuaʔ7	
桐	tʰuʌŋ2	
桑	sɔ1	
桓	xuæ2	
桔	tɕiəʔ7	～梗
桔	tɕyəʔ7	～子
橋	tɕʰiou2	
樺	xua5	
槳	tɕiɔ3	
桶	tʰuʌŋ3	
梁	liɔ2	
梅	mɐɪ2	
梓	tsɿ3	
梢	sou1	
夢	mʌŋ5	
梧	u1	
梧	u5	
梨	liɪ2	
梭	suo1	
梯	tʰɿ1	
械	tɕiɛ5	
梳	su1	
檢	tɕiɪ3	
棉	miɪ2	
棋	tsʰɿ2	
棍	kuʌŋ5	
棒	puo5	
棕	tɕyʌŋ1	
棚	pʰiɛ2-	～～：小棚子
棚	pʰʌŋ2=	
棠	tʰɔ2	
森	sʌŋ1	
棱	lʌŋ2	
棵	kʰuo1	
棺	kou1-	～材
棺	kuæ1=	
椅	zɿ3	
植	səʔ8-	木～
植	tsəʔ7=	
椒	tɕiou1	
橢	tʰuo3	
椽	tɕʰyɪ2-	
椽	tsʰuæ2=	
椿	tsʰuʌŋ1	
楂	tsʰa2	
楔	ɕiəʔ7	
楚	tsʰu3	
楝	liɪ5	
楣	mɿ2	
楦	ɕyɪ5	
楷	kʰɐɪ3	
樓	lʌu2	
概	kɐɪ5	
欖	læ3	
榆	zɿ2	
榔	lɔ2	
榕	yʌŋ2	
榛	tsʌŋ1	
榜	puo3	
榧	xuɐɪ1	
榨	tsa5	
榴	liʌu2	
榻	tʰaʔ7	
槌	tsʰu2-	
槌	tsʰuɐɪ2=	
槎	tsa5	刀砍，剁也
槐	xyɛ2-	
槐	xuɐɪ2=	
檻	xæ3-	门～：门槛
檳	piʌŋ1	
槽	tsʰou2	
樟	tsɔ1	
模	mu2	～型
橫	ɕyɛ2-	
橫	xʌŋ2=	
橫	xuʌŋ2=	～泉水库
櫻	iʌŋ1	
樵	tɕʰiou1	
橄	kæ3	
橘	tɕyəʔ7	
橙	tsʰʌŋ2	
橛	tɕʰyəʔ8	～子
橡	ɕiɔ5	
櫥	tsʰu2	
櫓	lʌu3	
檀	tʰæ2	
檁	liʌŋ3	
欠	tɕʰiɪ5	
次	tsʰɿ5	
歡	xou1-	～喜
歡	xuæ1=	
欣	ɕiʌŋ1	
歐	ŋʌu1	
欲	yəʔ8	
欺	tsʰɿ1	
款	kʰou3-	～～地：缓慢小心地
款	kʰuæ3=	
歇	ɕiəʔ7	
歉	tɕʰiɪ5	
歌	kɔ1	
止	tsɿ3	
正	tsɘr1-	～月
正	tsɘr5-	～好
正	tsʌŋ5	公～
正	tsʌŋ1=	～月
此	tsʰɿ3	
步	pu5	
武	u3	
歧	tsʰɿ2	
歪	yɛ1	
歪	uɐɪ3=	
死	sɿ3	
殲	tɕʰiɪ1	
殃	iɔ1	
殆	tɐɪ5	
殉	ɕyʌŋ1	
殊	su1	
殘	tsʰæ2	
殞	xuɐɪ5	
殮	xæ2	
殖	səʔ8-	骨～
殖	tsəʔ7=	～民
殯	piʌŋ5	
毆	ŋʌu1	
段	tu5-	一～书
段	tuæ5=	
殷	iʌŋ1	
殿	tiɪ5	
毁	xuɐɪ3	
毅	zɿ5	
母	mu3	
每	mɐɪ3	
毒	tʰuəʔ8-	～药
毒	tuəʔ7=	
比	pɿ3	
畢	piəʔ7	
斃	pɿ5	
毛	mu2-	～袄
毛	mou2=	
毡	tsɘr1	
毡	tsæ1=	
毫	xou2	
毯	tʰæ3	
氏	sɿ5	
民	miʌŋ2	
气	tsʰɿ5	
水	su3	
永	yʌŋ3	
汁	tsəʔ7	
求	tɕʰiʌu2	
汇	xuɐɪ5	
漢	xiɪ5-	好～
漢	xæ5=	
汗	xiɪ5-	脚～
汗	xæ5=	
汝	zu3	
汞	kuʌŋ3	
江	tɕiɔ1	
池	tsʰɘr2	
污	u1	
湯	tʰɔ1	
汪	uo1	
汴	piɪ5	
汽	tsʰɿ5	
沃	uəʔ7	
沈	sʌŋ3	
沉	tsʰʌŋ2	
沓	tʰaʔ7	
沙	sa1	
沛	pʰɐɪ5	
溝	kʌu1	
沒	məʔ8	
漚	ŋʌu5	
淪	luʌŋ2	
滬	xu5	
沫	məʔ8	
沫	miəʔ8	唾～
河	xɔ2	
油	iʌu2	
治	tsɘr5	
沼	tsou1	
沾	tɕiɪ1-	
沾	tsæ1=	
沿	iɪ2	
泄	ɕiəʔ7	
泉	tɕʰyɪ2	
泊	piəʔ7	
泌	miəʔ8	
泔	kiɪ1	
泔	kæ1=	
法	xuaʔ7	
泛	xuæ5	
泡	pʰou1	不实
泡	pʰou5	～沫
波	pʰuo1	
泣	tɕʰiəʔ7	
泥	nɿ2	～土
泥	nɿ5	～刀
注	tsu5	
淚	lu5	
泰	tʰiɛ5-	～化
泰	tʰɐɪ5=	
泳	yʌŋ3	
瀉	ɕiɛ5	
潑	pʰəʔ7	
澤	tsaʔ7	
潔	tɕiəʔ7	
洇	iʌŋ5	
洋	iɔ1	
洒	sa3	
洗	sɿ3	
洚	pʰuo1	
洛	laʔ8	
洞	tuʌŋ5	
津	tɕiʌŋ1	
洪	xuʌŋ2	
洲	tsʌu1	
活	xuəʔ8	
洼	ua1	
洽	tɕʰiaʔ7	
派	pʰiɛ3-	～头
派	pʰɐɪ3=	
流	liʌu2	
淺	tɕʰiɪ3	
漿	tɕiɔ1	
澆	tɕiou1	
濁	tsuəʔ7	
測	tsʰaʔ7	
濟	tsɿ5	
渾	xuʌŋ1	
渾	xuʌŋ2	～身
滸	xu3	
濃	nuʌŋ2	
浙	tsəʔ7	
浜	pa5	
浦	pʰu2	
浩	xou5	
浪	lɔ5	
浮	pʰiou1	
浮	xu2	
浴	yəʔ8	
海	xɐɪ3	
浸	tɕiʌŋ5	
涂	tʰu2	
消	ɕiou1	
涉	səʔ7	
涌	yʌŋ3	
涎	ɕiɪ1	
涕	tʰɿ5	
濤	tʰou2	
澇	lou5	
滌	tiəʔ7	
潤	zuʌŋ5	
澗	tɕiæ5	
漲	tsɔ3	
漲	tsɔ5	～大
澀	saʔ7	
涮	suæ5	
液	iɛ5	
涿	tsuəʔ7	
淀	tiɪ5	
淆	niou3	
淋	liʌŋ2	～湿
淑	suəʔ7	
淘	tʰou2	
淡	tæ5	
淤	zu2	
淫	iʌŋ2	
淮	xyɛ2-	
淮	xuɐɪ2=	
混	xuʌŋ5	
添	tʰiɪ1	
清	tsʰɿ1-	～汤
清	tɕʰiʌŋ1=	
淵	yɪ2	
漸	tɕiɪ5	
漁	zu2	
滲	sʌŋ5	
渠	tsʰu2	
渡	tu5	
渣	tsa1	
溫	uʌŋ1	
港	kɔ1	
渴	kʰəʔ7	
游	iʌu2	
渺	miou3	
湍	tʰou1	～水头
湖	xu2	
湘	ɕiɔ1	
灣	uæ1	
溼	səʔ7	
濺	tɕiɪ5	
溉	kɐɪ5	
源	yɪ2	
溜	liʌu2	
溪	sɿ1	
溶	yʌŋ2	
溺	niəʔ8	
溻	tʰaʔ7	
滋	tsɿ1	
滑	xuaʔ8	
滔	tʰou2	
滗	pʰiəʔ7	
滾	kuʌŋ3	
滯	tsɘr5	
滿	mou3-	
滿	mæ3=	
濾	lu5	
濫	læ5	
灘	tʰæ1	
滴	tiəʔ7	
漂	pʰiou1	
漂	pʰiou3	～白
漂	pʰiou5	～亮
漆	tɕʰiəʔ7	
漏	lʌu5	
演	iɪ3	
漫	mou5-	～地
漫	mæ5=	
漱	sʌu5	
漾	iɔ5	
潘	pʰou1-	
潘	pʰæ1=	
潛	tɕʰiɪ2	
潭	tʰæ2	
潮	tsʰou2	
澄	tsʰʌŋ2	
澄	tʌŋ5	
澡	tsou3	
澥	xiɛ5	
澳	ŋou5	
激	tɕiəʔ7	
瀑	pʰəʔ7	
灌	kou5-	
灌	kuæ5=	
火	xuo3	
滅	miəʔ8	
燈	tʌŋ1	
灰	xuɐɪ1	
靈	liʌŋ2	
竈	tsou5	
灸	tɕiʌu3	
災	tsɐɪ1	
燦	tsʰæ5	
爐	lʌu2	
炊	tsʰu1-	
炊	tsʰuɐɪ1=	
炎	iɪ5	
炒	tsʰou3	
炕	kʰɔ5	
炙	tsəʔ7	
炭	tʰæ5	
炮	pʰou5	枪～
炸	tsa5	
點	tiɪ3	
炼	liɪ5	
爛	læ5	
烈	liəʔ8	
烙	lou5	
燭	tsuəʔ7	
烟	iɪ1	
烤	kʰou3	
煩	xuæ2	
燒	sou1	
燙	tʰɔ5	
熱	zəʔ8	
烹	pʰʌŋ1	
焉	iɪ1	
焊	xæ5	
煥	xou5-	
煥	xuæ5=	
焗	tɕʰyəʔ8-	闷热不透气
焙	pɐɪ5	
焚	xuʌŋ2	
焦	tɕiou1	
焯	tsʌu5	
焰	iɪ5	
然	iɪ2-	
然	zæ2=	
煎	tɕiɪ1	
煞	saʔ7	
煠	tsʰaʔ8	～油条
煤	mɐɪ2	
照	tsou5	
煮	tsu3	
煽	ɕiɪ1-	
熄	ɕiəʔ7	
熊	ɕyʌŋ2	
熏	ɕyʌŋ2	
熔	yʌŋ2	
熙	sɿ3	
熟	suəʔ8	
熨	yʌŋ5	
熬	ŋou2	
燃	iɪ2-	
燃	zæ2=	
燎	liou2	～原
燎	liou3	火～头发
燕	iɪ5	
爆	pou5	
爨	tsʰou1	～子：烧水器具
爪	tsua3	～子
爪	tsou3	～牙
爬	pʰa2	
愛	ŋɐɪ5	
爵	tɕiəʔ7	
父	xu2-	～师
父	xu5=	
爺	iɛ2	
爸	pa2	～～:又读
爸	pa5	
爹	tiɛ1	
爹	tiɛ5	面称:又读
爽	suo3	
片	pʰiɪ3	照～
片	pʰiɪ5	～柴：劈柴
版	pæ3	
牌	pʰiɛ2-	
牐	tsʰaʔ8	把门～上
牙	nia2	
牛	niʌu2	
牡	mou3	
牢	lou2	
物	uəʔ8	
牲	sʌŋ1	
牽	tɕʰiɪ1	
特	tʰaʔ7	
犧	sɿ1	
犀	sɿ3	
犁	liɪ2	
犢	tʰuəʔ8	
犍	tɕiɪ1	
犒	kʰou5	
犬	tɕʰyɪ3	
犯	xuæ5	
狀	tsuo5	
猶	iʌu1	
狂	kʰuo2	
狄	tiəʔ7	
狐	xu2	
狗	kʌu3	
狡	tɕiou1	
獨	tʰuəʔ8-	～身：单身
獨	tæ1	
獨	tuəʔ7=	
狹	ɕiaʔ7	
獅	sɿ1	
獄	yəʔ7	
狸	liɪ2	
狼	lɔ2	
獵	liəʔ7	
猛	miɛ3-	～不防
猛	mʌŋ3=	
猜	tsʰuɐɪ1-	
猜	tsʰɐɪ1=	
猝	tɕʰyəʔ7	
猩	ɕiʌŋ1	
豬	tsu1	
貓	mou2	
猬	uɐɪ5	
獻	ɕiɪ5	
猴	xʌu2	
猾	xuaʔ8	
猿	yɪ2	
玄	ɕyɪ2	
率	suaʔ7	～领
率	luəʔ8	效～
率	suɐɪ5=	～领
玉	zu5	
王	uo2	
玩	uæ2	
玫	mɐɪ2	
環	xuæ2	
現	ɕiɪ5	
璽	sɿ3	
玻	puo1	
珊	sæ2	
珍	tsʌŋ1	
珠	tsu1	
班	pæ1	
球	tɕʰiʌu2	
理	liɪ3	
琉	liʌu2	
瑣	suo3	
琢	tsuəʔ7	
琴	tɕʰiʌŋ2	
琵	pʰɿ2	
琶	pʰa2	
瓊	tɕʰyʌŋ2	
瑕	ɕia2	
瑞	zuɐɪ5	
瑟	saʔ7	
璃	liɪ2	
璧	piəʔ7	
璺	uʌŋ5	
瓜	kua1	
瓢	pʰiou2	
瓣	pæ5	
瓤	zɔ2	
瓦	ua3	砖～
瓦	ua5	～刀
瓮	uʌŋ5	
甌	ŋʌu1	
瓶	pʰɿ2	
瓶	pʰiʌŋ2=	
瓷	tsʰɿ2	
甑	tsɿ5	～糕：枣糕
甘	kæ1=	
甚	sʌŋ5	
甜	tʰiɪ2	
生	ɕiɛ1-	～汉：生人
生	sʌŋ1=	
甥	ɕiɛ1-	
甥	sʌŋ1=	
用	yʌŋ5	
甫	xu3	
甬	yʌŋ3	
田	tʰiɪ2	
由	iʌu2	
甲	tɕiaʔ7	
申	sʌŋ1	
電	tiɪ5	
男	næ2	
畫	xua5	
暢	tsʰɔ3	
界	tɕiɛ5	
畏	uɐɪ5	
畔	pou5	
留	liʌu2	
畜	ɕyəʔ7	
略	liəʔ7	
畦	tsʰɿ2	
番	xuæ1	
疆	tɕiɔ1	
疏	su1	
疑	nɿ2	
疔	tɿ1-	～痘：鸡眼
疔	tiʌŋ1=	
癤	tɕiəʔ7	
療	liou2	
疝	sæ5	
疝	suæ5	
瘧	iəʔ7	
瘍	iɔ1	
疤	pa1	
疥	tɕiɛ5	
疫	zɿ2-	
疫	iəʔ7=	
瘡	tsʰuo1	
瘋	xuʌŋ1	
疲	pʰɿ1	
疵	tsʰɿ5	
疹	tsʌŋ1	
疼	tʰʌŋ2	
疾	tɕʰiəʔ8	～雨
疾	tɕiəʔ7=	
痂	tɕia1	
病	pɿ5-	
病	piʌŋ5=	
症	tsʌŋ5	
痒	iɔ3	
痔	tsɘr5	
痕	xʌŋ2	
痘	tʌu5	
痛	tʰuʌŋ5	
痢	liɪ5	
痣	tsɿ5	
癆	lou2	
痰	tʰæ2	
痱	xuɐɪ1	
痲	ma2	
癡	tsʰɘr1	
痹	pʰɿ3	
瘊	xʌu2	
瘟	uʌŋ1	
瘦	sʌu5	
癱	tʰæ3	
瘴	tsɔ5	
瘸	tɕʰyɛ2	
癌	ŋɐɪ3	
癩	liɛ5-	
癩	lɐɪ5=	
癬	ɕiɪ3	
癲	tiɪ1	
癸	kʰuɐɪ3	
登	tʌŋ1	
白	pʰiəʔ8-	～菜，～矾
白	piɛ1=	～花钱
百	piəʔ7	
皂	tsou5	
的	təʔ7	我～
的	tiəʔ7	目～
皆	tɕiɛ1	
皇	xuo2	
皖	uæ3	
皮	pʰɿ2	
皺	tsʌu5	
皴	tsʰuʌŋ1	
皿	miʌŋ3	
盂	zu2	
盅	tsuʌŋ1	
盆	pʰʌŋ2	
盈	iʌŋ1	
益	iəʔ7	
盞	tsæ3	
鹽	iɪ2	
監	tɕiæ1	
盒	xəʔ8	
盔	kʰuɐɪ1	
盖	kɐɪ5	
盜	tou5	
盤	pʰou2-	
盤	pʰæ2=	
盛	sɘr2-	～满
盛	sʌŋ5=	兴～
盟	mʌŋ2	
目	məʔ8	
盲	muo2	
直	tsʰəʔ8-	～洞子：烟洞
直	tsəʔ7=	
相	ɕiɔ1	互～
相	ɕiɔ5	照～：相片
盼	pʰæ5	
盾	tuʌŋ5	
省	sɿ3-	～不得
省	sʌŋ3	
省	ɕiʌŋ3=	～察
眉	mɿ2	
看	kʰiɪ1	小～：看不起
看	kʰiɪ5	～见
看	kʰæ1=	～守
真	tsʌŋ1	
眠	miɪ2	
眨	tsaʔ7	
眩	ɕyɪ2	
眶	kʰuo1	
眷	tɕyɪ5	
眼	niæ3	
着	tsʰəʔ8-	～火
着	tsəʔ7	～意
睜	tɕiɛ1-	
睜	tsʌŋ1=	
睛	tsɿ1-	眼～：眼球
睛	tɕiʌŋ1=	
睡	su5	
督	tuəʔ7	
睬	tsʰɐɪ3	
瞅	tsʰʌu3	
瞌	kʰəʔ7	
瞎	xaʔ7	
瞒	mou2-	
瞒	mæ2=	
瞧	tɕʰiou2	
瞪	tʌŋ5	
瞭	liou5	
