#漢字	音標	解釋
催	tsʰuɐɪ1	
傲	ŋou5	
傻	sa3	
像	ɕiɔ5	
僚	liou2	
僧	sʌŋ1	
僵	tɕiɔ1	
僻	pʰiəʔ7	
儒	zu2	又读
儒	zu3	
儡	luɐɪ3	
兒	zɿ2-	
兒	ɐr2=	
允	yʌŋ3	
元	yɪ2	
兄	su1	
兄	ɕyʌŋ1=	
充	tsʰuʌŋ1	
兆	tsou5	
先	ɕiɪ1	
光	kuo1	
光	muo2	
克	kʰəʔ7	
免	miɪ3	
兌	tuɐɪ5	
兔	tʰu5	
黨	tɔ3	
兜	tʌu3	
全	tɕʰyɪ2	
八	paʔ7	
公	kuʌŋ1	
六	liʌu5	
六	luəʔ8=	
兮	sɿ1	
蘭	læ2	
共	kuʌŋ5	
關	kuæ1	
興	ɕiʌŋ1	～旺
興	ɕiʌŋ5	高～
兵	piʌŋ1	
其	tsʰɿ2	
具	tsu5	
典	tiɪ3	
兹	tsɿ1	
養	iɔ3	
兼	tɕiɪ1	
獸	sʌu5	
冀	tsɿ5	
內	nuɐɪ5	
岡	kɔ1	
冉	zæ3=	
冊	tsʰaʔ7	
再	tsɐɪ5	
冒	mou5	
寫	ɕiɛ3	
軍	tɕyʌŋ1	
農	nuʌŋ2	
冠	kou1-	插在头上
冠	kou5-	鸡～子
冠	kuæ1=	衣～
冠	kuæ5=	～军
冤	yɪ1	
冥	mɿ2-	
冥	miʌŋ2=	
冬	tuʌŋ1	
馮	xuʌŋ2	
冰	piʌŋ1	
冲	tsʰuʌŋ1	
决	tɕyəʔ7	
况	kʰuo5	
冷	liɛ3-	～水
冷	lʌŋ3=	
冹	pʰaʔ8	寒也
凍	tuʌŋ5	
淨	tsɿ5-	干～
淨	tɕiʌŋ5=	
準	tsuʌŋ3	
凉	liɔ2	
凌	liɛ2-	冬～：冰
凌	liʌŋ2	
減	tɕiæ3	
湊	tsʰʌu5	
凝	niʌŋ2	
几	tsɿ1	茶～
几	tsɿ3	～个
凡	xuæ2	
鳳	xuʌŋ5	
凭	pʰɿ2-	～谁
凭	pʰiʌŋ2=	
凱	kʰɐɪ3	
凰	xuo2	
凳	tʌŋ5	
凶	ɕyʌŋ1	
出	tsʰuəʔ7	
擊	tɕiəʔ7	
函	xæ2=	
刀	tou1	
刀	muo2	
刁	tiou1	
刃	zʌŋ5	
分	xuʌŋ1	～开
分	xuʌŋ5	本～
切	tɕʰiəʔ7	
刊	kʰæ1	～物
刊	kʰæ3	～登
刎	uʌŋ3	
刑	ɕiʌŋ2	
划	xua2	～船
划	xua5	计～
划	xuaʔ8	
列	liəʔ8	
劉	liʌu2	
則	tsaʔ7	
剛	kɔ1	
創	tsʰuo5	
初	tsʰu1	
刪	sæ2	
判	pʰou5-	
判	pʰæ5=	
刨	pou1	
利	liɪ5	
别	pʰiəʔ8-	～住
别	piəʔ7=	分～
刮	kuaʔ7	
到	tou5	
制	tsɘr5	
刷	suaʔ7	
券	tɕyɪ5	
刺	tsʰɿ5	
刻	kʰəʔ7	
劊	kʰuɐɪ5	
剁	tuo5	
劑	tsɿ5	
剃	tʰɿ5	
削	ɕyəʔ7	
前	tɕʰiɪ2	
剮	kua3	
劍	tɕiɪ5	
剔	tʰiəʔ7	
剖	pʰou1	
剜	uou1-	
剜	uæ1=	
剝	paʔ7	
劇	tsu5	
剩	sɘr5-	
剩	sʌŋ5=	
剪	tɕiɪ3	
副	xu5	
割	kəʔ7	
剿	tɕiou1	
劈	pʰiəʔ7	
劐	xuəʔ7	
力	liəʔ8	
勸	tɕʰyɪ5	
辦	pæ5	
功	kuʌŋ1	
加	tɕia1	
務	u5	
劣	liəʔ7	
動	tuʌŋ5	
助	tsu5	
努	nʌu1	
劫	tɕiəʔ7	
勵	liɪ5	
勁	tɕiʌŋ5	
勞	lou2	
勢	sɘr5	
勃	pʰəʔ8	
勇	yʌŋ3	
勉	miɪ3	
勒	luəʔ8-	
勒	ləʔ8=	
勘	kʰiɪ1-	
勘	kʰæ1=	
勛	ɕyʌŋ2	
募	mu5	
勤	tɕʰiʌŋ2	
勺	suəʔ8	
勾	kʌu1	
勿	uəʔ8	
勻	iʌŋ2-	
勻	yʌŋ2=	
包	pou1	
匆	tsʰuʌŋ1	
匈	ɕyʌŋ1	
化	xua5	
北	piəʔ7	
匙	sɿ2	
匠	tsɔ5-	
匡	kʰuo1	
匣	xaʔ8	
匪	xuɐɪ1	
匹	pʰiəʔ7	
區	tsʰu1	
醫	zɿ1	
匾	piɪ3	
匿	niəʔ8	
十	səʔ8	
千	tɕʰiɪ1	
升	sɘr1-	～子
升	sʌŋ1=	
午	uəʔ8-	
午	u3	
半	pou5-	
半	pæ5=	
華	xua1	
協	ɕiaʔ7	
卑	pɐɪ1	
卒	tsʰuəʔ8	
卓	tsuaʔ7	
單	tæ1	
單	sæ5=	姓
賣	miɛ5	
南	næ2	
博	pəʔ7	
卜	pəʔ7	
卜	pʰəʔ8	萝～
占	tɕiɪ5-	
占	tsæ5=	～领
占	tsæ5=	～卜
卡	tɕʰia3	
盧	lʌu2	
卤	lʌu3	
卦	kua5	
臥	uo5	
衛	uɐɪ5	
卯	mou3	
印	iʌŋ5	
危	uɐɪ1	
即	tɕiəʔ7	
卻	tɕʰiəʔ7	
卵	luæ3	
卷	tɕyɪ3	～子
卸	ɕiɛ5	
卿	tɕʰiʌŋ2	
廠	tsʰɔ3	
厄	ŋəʔ7	
廳	tʰiʌŋ1	
历	liəʔ7	
厲	liɪ5	
壓	niaʔ7-	
壓	ia5=	
厭	iɪ5	
廁	tsʰaʔ7	
厘	liɪ2	
厚	xʌu5	
原	yɪ2	
