#漢字	音標	解釋
䘆	ɕya3	～子：蚯蚓
一	i6	多用于量词前
一	iɛ3	
丁	tiŋ1	
七	tɕʰiɛ3	
万	ua6	
丈	tʰiaŋ1	白读
丈	tsʰaŋ6	文读
三	sa1	
上	saŋ1	白读
上	saŋ6	文读
上	naŋ6	方位词
下	xo1	白读
下	xo6	文读
下	xo3	又音
不	puɛ3	
与	y3	
丐	kai5	
丑	tsʰɛu3	
專	tsua1	
且	tɕʰio3	
世	sɿ5	
丘	ɕy1	白读，量词
丘	tɕʰiəu1	文读
丙	piŋ3	
業	ȵiɛ1	
叢	tsʰoŋ2	
東	toŋ1	
絲	sɿ1	
丟	tiəu1	
兩	liaŋ1	量词
兩	liaŋ3	
喪	saŋ5	
个	kɛi5	白读
个	ko5	文读
丫	o1	
中	tsoŋ1	
中	tsoŋ5	～意
丰	foŋ1	
串	tsʰua5	
臨	liŋ2	
丸	ya2	
爲	uəi2	
主	tɕy3	
丽	li6	
舉	tɕy3	
久	tɕiəu3	
義	ȵi6	
烏	u1	
樂	lu6	
樂	ŋu2	普天～：曲牌名
喬	tɕʰiau2	
乖	kuai1	
乘	sɛŋ2	～除
乙	iɛ3	
九	tɕiəu3	
也	iɛ1	白读
也	iɛ3	文读
習	tɕʰiɛ1	
鄉	ɕiaŋ1	
書	ɕy1	
買	mai1	白读
買	mai3	文读
亂	lua6	
乳	y3	豆腐～
乾	tɕʰia2	
了	liau3	
予	y2	～乐湾：地名
爭	tsaŋ1	白读
爭	tsɛŋ1	文读
事	sɿ6	
二	ȵi6	
于	y1	少～：不经常
于	y2	
虧	kʰuəi1	
雲	yŋ2	
互	u6	白读
互	xu6	文读
五	ŋ3	白读
五	u3	文读
井	tɕiŋ3	
亞	o5	
些	ɕiɛ1	
亡	uaŋ2	
交	kau1	白读
交	tɕiau1	文读，～代
產	tsʰa3	
畝	mɛu3	
享	ɕiaŋ3	
京	tɕiŋ1	
亭	tʰiŋ1	凉～
亭	tiŋ2	
亮	liaŋ6	
親	tɕʰiŋ1	
人	ȵiŋ2	白读
人	iŋ2	文读
億	i5	
仁	iŋ2	
仇	sɛu2	
今	tɕiŋ1	
介	kai5	
从	tsʰoŋ2	
倉	tsʰaŋ1	
付	fu5	
仙	ɕia1	
代	tuai6	白读
代	tai6	文读
令	liŋ6	
以	i3	
儀	ȵi2	
件	tɕʰia6	
價	ko5	
任	iŋ6	
份	fuəŋ6	
仿	faŋ3	
企	tɕʰi3	
伍	u3	
伏	fu6	
休	ɕiəu1	
衆	tsoŋ5	
優	iəu1	
伙	xu3	
會	uəi6	白读
會	xuəi6	文读
會	kʰuai5	～计
傘	sa3	
偉	uəi3	
傳	tɕʰya2	
傳	tɕʰya6	水浒～
傷	saŋ1	
傷	tsʰaŋ1	又音，～脑筋
伯	po5	
估	ku1	
估	ku3	
伴	pua6	
伸	suəŋ1	
但	ta6	
位	uəi6	
低	tɛi1	白读
低	ti1	文读
住	ty6	白读
住	tɕʰy6	文读
佑	iəu6	
體	tʰi3	
何	xu2	
余	y2	
佛	fuɛ1	
作	tsu5	
你	ŋ1	白读
你	ȵi3	文读
佩	puəi6	～服
佬	lau3	
佮	kuɛ3	
佳	ko1	
佻	tʰiau1	
使	sɛi3	白读
使	sɿ3	文读
侄	tsʰɛ6	子～：侄子
例	li6	
侍	sɿ6	
供	tɕioŋ1	
供	tɕioŋ5	
依	i1	
側	tsɛ5	
僑	tɕʰiau2	
侯	xɛu2	
便	pia2	
便	pia6	
促	tsʰu5	
俄	ŋu2	
俊	tɕyŋ5	
保	pau3	
信	ɕiŋ5	
修	ɕiəu1	
俵	piau5	
倒	tau3	
倒	tau5	～车
候	xɛu6	
借	tɕio5	
倡	tsʰaŋ5	
債	tsai5	
值	tɕʰi6	
傾	tɕʰyŋ3	
假	ko3	
假	ko5	放～
偏	pʰia1	
做	tsu5	
停	tiŋ2	
健	tɕʰia6	
偶	ŋɛu3	
偷	tʰɛu1	
傍	paŋ6	～夜唧
催	tsʰuəi1	
傲	ŋau6	
像	tɕʰiaŋ6	
像	tɕʰia6	又音，似
僻	pi6	
儒	y2	
兒	ɛ2	
元	ȵya2	老派
元	ya2	新派
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsʰau6	
先	ɕia1	
光	kuaŋ1	
克	kʰɛ5	
免	mia3	
兔	tʰu5	
黨	taŋ3	
兜	tɛu1	
入	iɛ1	
全	tɕʰya2	
八	pa3	
公	koŋ1	
六	liəu5	
蘭	la2	
共	tɕʰioŋ6	
關	kua1	
興	ɕiŋ1	
兵	piŋ1	
其	tɕʰi2	
具	tɕʰy6	
典	tia3	
養	iaŋ1	白读
養	iaŋ3	文读
獸	tsʰɛu5	
內	nuəi6	
冊	tsʰɛ5	
再	tsai5	
冒	mau6	
寫	ɕio3	
軍	tɕyŋ1	
農	noŋ2	
冠	kua1	
冠	kua5	
冠	kua2	又音，鸡～
冤	ya1	
冬	toŋ1	
冰	piŋ1	
冲	tsʰoŋ1	
决	tɕyɛ3	
冷	lɛŋ1	白读
冷	lɛŋ3	文读
凍	toŋ5	
淨	tɕʰiŋ6	
準	tsuəŋ3	
凉	liaŋ2	
減	ka3	
湊	tsʰɛu5	
几	tɕi3	
凡	fa2	
鳳	foŋ6	
凭	pɛŋ2	文～
凭	pɛŋ6	倚靠
凱	kʰai3	
凰	xuaŋ2	
凳	tɛŋ5	
凶	ɕioŋ1	
出	tɕʰyɛ3	
擊	tɕi5	
鑿	tsʰu6	～唧
刀	tau1	
刁	tiau1	
分	fuəŋ1	
分	fuəŋ6	处～
切	tɕʰiɛ3	
刑	ɕiŋ2	
划	xo2	
列	liɛ3	
劉	liəu2	
則	tsɛ5	
剛	kaŋ1	
創	tsʰaŋ5	
初	tsʰu1	
刪	sa1	
刨	pau6	
利	li6	
别	piɛ1	
刮	kuɛ3	
刮	kuɛ2	又音
到	tau5	
制	tɕi5	
刷	ɕyɛ3	
刺	tɕʰi5	
刻	kʰɛ5	
剃	tʰɛi5	白读
剃	tʰi5	文读
削	ɕiəu5	
前	tɕʰia2	
劍	tɕia5	
剝	pu5	～皮
劇	tɕy5	
剩	suəŋ6	
剪	tɕia3	
副	fu5	
割	kuɛ3	
力	li6	
勸	tɕʰya5	
辦	pa6	
功	koŋ1	
加	ko1	
加	tɕia2	又音，越～
務	u6	
動	tʰoŋ1	白读
動	toŋ6	文读
助	tsʰu6	
努	nu3	
劫	tɕiɛ3	
勵	li6	
勁	tɕiŋ5	
勞	lau2	
勢	sɿ5	
勃	puɛ1	
勇	ioŋ3	
勉	mia3	
勒	lɛ6	
勤	tɕʰiŋ2	
勺	su6	
勾	kɛu1	
勾	kɛu2	又音
勻	yŋ2	
包	pau1	
包	pau2	又音
化	xo5	
北	pɛ5	
匙	sɿ2	锁～
匝	tsa3	
匠	tɕʰiaŋ6	
匪	fuəi3	
匹	pʰiɛ3	
區	tɕʰy1	
醫	i1	
匾	pia3	
十	sɛ1	
千	tɕʰia1	
升	sɛŋ1	
午	u3	
半	pua5	
華	xo2	
協	ɕiɛ1	
卒	tɕyɛ3	
單	ta1	
賣	mai6	
南	na2	
博	pu5	
占	tsa5	
卡	kʰa3	
盧	lu2	
臥	mu6	白读，～槽：象棋术语
臥	u6	文读，～室
衛	uəi6	
印	iŋ5	
危	ŋuəi2	老派白读
危	uəi2	老派文读
危	muəi2	新派白读
危	uəi1	新派文读
即	tɕi5	
卵	lua3	
卷	tɕya3	
廠	tsʰaŋ3	
廳	tʰiŋ1	
历	li6	
厲	li6	
壓	a3	
厭	ia5	
廁	tsʰɛ5	～所
廁	sɿ1	茅～
厘	li2	
厚	xɛu1	白读
厚	xɛu6	文读
原	ȵya2	
厦	xo6	
廚	tɕʰy2	
去	sɿ5	白读
去	tɕʰy5	文读
縣	ɕya6	
叄	sa1	
参	tsʰa1	
参	sɛŋ1	人～
又	iəu6	
及	tɕʰiɛ1	
友	iəu3	
雙	suaŋ1	
反	fa3	
发	fuɛ3	
叔	su5	
取	tɕʰy3	
受	sɛu6	
變	pia5	
叛	pua6	～徒
疊	tiɛ1	
口	kʰɛu3	
口	kʰɛu2	又音
古	ku3	
句	tɕy5	
另	lɛŋ6	
叩	kʰɛu5	
只	tɕi2	
叫	tɕiau5	
召	tsʰau6	
叭	pa1	喇～
可	kʰu3	
台	tuai2	
史	sɿ3	
右	iəu6	
葉	iɛ1	
號	xau6	
司	sɿ1	
吃	tɕʰiɛ3	～亏
吃	tɕʰia3	又音，～唔消
各	kʰu5	
合	xuɛ1	
吉	tɕiɛ3	
吊	tiau5	
同	toŋ2	
名	miŋ2	
后	xɛu1	白读
后	xɛu6	文读
吏	li6	
向	ɕiaŋ5	
嚇	xo5	
吕	ly3	
嗎	ma1	
君	tɕyŋ1	
吞	tʰuəŋ1	
吨	tuəŋ5	
含	xɛŋ2	白读
含	xa2	文读
听	tʰiŋ1	
听	tʰiŋ5	
启	tɕʰi3	
吴	ŋu2	老派
吴	u2	新派
吵	tsʰau3	
吸	ɕiɛ3	～铁
吸	tɕiɛ3	又音，呼～
吹	tsʰuəi1	
吾	ŋu2	
告	kau5	
呐	na3	
嘔	ɛu3	
員	ya2	
周	tsɛu1	
味	uəi6	
命	miŋ6	
和	u2	白读，～尚
和	xu2	文读
咒	tsɛu5	骂
咬	ŋau1	
咳	kʰɛ2	
咸	xa2	
咽	ia1	
哀	ŋai1	
品	pʰiŋ3	
哄	xoŋ3	
響	ɕiaŋ3	
啞	o3	
哥	ko1	
哪	lai2	老派
哪	ai2	新派
哭	xu5	白读
哭	kʰu5	文读
哲	tsɛ3	
哽	kaŋ3	白读
哽	kɛŋ3	文读
脣	suəŋ2	
唐	taŋ2	
唔	ŋ2	
唱	tsʰaŋ5	
啄	tsu5	
商	saŋ1	
商	tsʰaŋ1	又音，打～量
啤	pi2	
啼	tɛi2	白读
啼	ti2	文读
善	sa6	
喇	la1	
喉	xɛu2	
喊	xa5	
喏	io1	唱～
喜	tɕʰi3	
喜	sɿ3	
噴	fuəŋ5	～雾器
噴	pʰuəŋ1	
噴	pʰuəŋ5	～香
嗅	ɕiəu5	闻
嗽	sɛu5	
嘉	ko1	
嘴	tsuəi3	
器	tɕʰi5	
囂	ɕiau1	
嚼	tɕʰiau6	
囊	naŋ2	
四	sɿ5	
回	xuəi2	
因	iŋ1	
团	tua2	
園	ya2	
困	kʰuəŋ5	
囱	tsʰoŋ1	
圍	uəi2	
固	ku5	
國	kuɛ3	
圖	tu2	
圓	ya2	
圈	tɕʰya1	
土	tʰu3	
聖	sɛŋ5	
在	tsʰai6	
地	ti6	
圳	tɕyŋ5	水沟
場	tiaŋ2	白读
