#漢字	音標	解釋
一	il	
丁	jeong	
丂	gyo	
七	chil	
丄	sang	
丅	ha	
丆	myeon	
万	man	
丈	jang	
三	sam	
上	sang	
下	ha	
丌	gi	
不	bu	
不	bul	
与	yeo	
丏	myeon	
丐	gae	
丑	chuk	
丑	chu	
丒	chuk	
專	jeon	
專	dan	
且	cha	
且	jeo	
且	jo	
丕	bi	
世	se	
丗	se	
丘	gu	
丙	byeong	
業	eop	
業	buk	
業	bae	
叢	chong	
東	dong	
絲	sa	
絲	myeok	
丞	seung	
丞	jeung	
丟	ju	
丠	gu	
兩	ryang(yang)	
丟	ju	
丣	yu	
丣	myo	
兩	ryang(yang)	
兩	nyang(yang)	
嚴	eom	
並	byeong	
喪	sang	
丨	gon	
丩	gu	
个	gae	
丫	a	
丬	jang	
丬	sang	
中	jung	
丮	geuk	
丯	gae	
丯	bong	
丯	pung	
丰	bong	
丰	pung	
丱	gwan	
丱	gwang	
串	gwan	
串	cheon	
串	chan	
丳	chan	
丳	gwan	
丳	cheon	
臨	rim(im)	
丵	chak	
丶	ju	
丷	ha	
丸	hwan	
丹	dan	
丹	ran(nan)	
爲	wi	
主	ju	
丼	jeong	
丽	ryeo(yeo)	
舉	geo	
舉	yeo	
丿	byeol	
乀	bul	
乁	i	
乂	ye	
乂	ae	
乃	nae	
乃	ae	
乄	o	
久	gu	
乆	gu	
乇	tak	
么	yo	
么	ma	
義	ui	
義	cha	
乊	ho	
之	ji	
烏	o	
烏	a	
乍	sa	
乍	jak	
乎	ho	
乏	pip	
樂	ak	
樂	rak(nak)	
樂	yo	
乑	eum	
乑	ban	
乑	jung	
乒	byeong	
乒	ping	
乓	byeong	
乓	pang	
喬	gyo	
乕	ho	
乖	goe	
乘	seung	
乘	seung	
乙	eul	
乚	eun	
乛	ya	
乜	mya	
九	gu	
九	gyu	
乞	geol	
乞	gi	
也	ya	
也	i	
習	seup	
鄉	hyang	
乢	gae	
乣	gyu	
乤	hal	
乥	hol	
書	seo	
乧	dul	
乨	si	
乨	chi	
乨	ran(nan)	
乩	gye	
乪	nang	
乫	gal	
乬	geol	
乭	dol	
乮	myol	
乯	ol	
買	mae	
亂	ran(nan)	
乲	chal	
乳	yu	
乴	seol	
乵	yeom	
乶	bol	
乶	pol	
乷	sal	
乸	na	
乹	geon	
乺	sol	
乻	eol	
乻	neul	
乼	jul	
乽	jal	
乾	geon	
乾	gan	
乿	chi	
乿	i	
龜	gu	
龜	gwi	
龜	gyun	
亁	geon	
亂	ran(nan)	
亃	rin(in)	
亄	ui	
亅	gwol	
了	ryo(yo)	
亇	ma	
予	yeo	
予	ye	
爭	jaeng	
亊	sa	
事	sa	
二	i	
亍	chok	
亍	ma	
于	u	
于	hyu	
亏	u	
亏	hyu	
亐	ul	
亐	u	
云	un	
互	ho	
亓	gi	
五	o	
井	jeong	
亖	sa	
亗	se	
亘	geung	
亘	seon	
亙	geung	
亙	seon	
亞	a	
亞	ap	
些	sa	
亞	a	
亞	ap	
亝	je	
亝	jae	
亝	ja	
亞	a	
亞	ap	
亟	geuk	
亟	gi	
亠	du	
亡	mang	
亡	mu	
亢	hang	
亣	dae	
交	gyo	
亥	hae	
亦	yeok	
亦	aek	
產	san	
亨	hyeong	
亨	hyang	
亨	paeng	
畝	mu	
畝	myo	
亪	ran(nan)	
亪	yeok	
享	hyang	
享	paeng	
京	gyeong	
亭	jeong	
亮	ryang(yang)	
亯	hyang	
亯	hyeong	
亯	paeng	
亰	gyeong	
亱	ya	
亱	aek	
親	chin	
亳	bak	
亴	u	
褻	seol	
亶	dan	
亶	jeon	
亶	seon	
亷	ryeom(yeom)	
嚲	ta	
亹	mi	
亹	mun	
人	in	
亻	in	
亼	jip	
亽	ra(na)	
亾	mang	
亾	mu	
億	eok	
什	sip	
什	jip	
仁	in	
仂	reuk(neuk)	
仂	ryeok(yeok)	
仃	jeong	
仄	cheuk	
仅	bu	
仅	geun	
仅	ui	
仆	bu	
仆	bok	
仇	gu	
仈	pal	
仉	jang	
今	geum	
介	gae	
仌	bing	
仌	eung	
仍	ing	
从	jong	
佛	bul	
佛	bal	
佛	pil	
仐	san	
仐	geum	
仑	ryun(yun)	
仒	eo	
倉	chang	
仔	ja	
仕	sa	
他	ta	
