#漢字	音標	解釋
㐄	cʰᴀ2	跨
㑳	tsɘu4	
㑳	tsɘu4	
㒃	ɛ˞4	
㒠	ɕiɐɛ4	
㒲	zɿᵊ2	性交，粗语
㒲	tsʰɐɛ2	
㕛	jʱɘu3	
㖿	jʱɛ1	
㞎	b̥ᴀ3	粪便
㞓	tɕi1	男阴，粗语
㞗	tɕʰiɘu2	
㞠	nᵈiᴀɔ2	
㥮	tsʰᴀɔ3	文读
㥮	tsɘu2	白读
㧙	b̥iɛ3	
㧚	wʱᴀ3	
㧯	l̃ᴀɔ3	
㨃	d̥uɘi3	
㨄	tsʰɘu1	
㩇	çuᴀ1	切割
㩟	tsɐɛ4	
㩭	ɟ̊ᴀɔ4	即“校”
㩯	b̥ɐ̃3	扭动
㪗	tʰɘu3	
㭍	tɕʰi2	
㮟	cʰᴀ1	塞
㮢	ɕiɘu2	
㯱	pʰᴀɔ1	
㰖	l̃ɐ̃3	
㰵	tɕi̹u2	吮吸
㲃	tɕiɘu3	拧
㴑	sʋ4	
㴘	mᵇᴀɔ4	～菜
㶸	ɕiɛ2	
㸉	ɕiɛ2	
㸰	tʰᴀ1	文读
㸰	l̃ᴀ1	白读
㺵	tɕiɘu3	
䀇	ɟ̊ʋ3	
䃯	nᵈi2	
䇏	d̥uɘi3	
䇡	tsʋ4	
䋓	tsɘu4	
䌫	l̃ɐ̃3	
䏘	pʰi1	
䏘	pʰi2	
䐒	tsᴀ1	
䕡	l̃ʋ2	
䖩	b̥i2	
䘊	mᵇɛ2	
䘵	l̃ʋ2	
䞀	ɕiɘu2	
䞵	tsuɛ2	
䟕	tsʰᴀ1	
䟾	tsuɛ2	
䪡	tɕi1	
䪥	ɕiɐɛ4	
䬃	sᴀ2	
䯊	cʰuᴀ4	
䰍	tɕʰi2	
䵙	nᵈiᴀ1	即“黏”
一	jʱi2	
七	tɕʰi2	
万	mᵇɛ2	～俟，少数民族复姓
丈	d̥ɐ̃4	城门城门几～高
三	sɐ̃1	
下	çᴀ1	一～～，指一会儿
下	çᴀ4	一～，指全部
下	ɕiᴀ1	地～
下	ɕiᴀ4	
不	b̥ʋ1	～有
不	b̥ʋ2	
不	b̥i̹u3	即“冇”
丐	ɟ̊ɐɛ4	
丑	tsʰɘu3	
且	tɕi1	～兰，即今黄平
且	tsʰɛ3	
丕	pʰi4	构词法“……～剌沙”
丕	pʰɐɛ3	双手侧平举时中指尖之间距离，约1.7米；一字排开；实～～，指真实存在
丕	pʰɘi3	
世	sɿᵊ4	
丘	tɕʰiɘu1	
丟	d̥iɘu1	文读
丟	nᵈiɘu1	白读
丫	ɲᶡᴀ1	脚～巴
丫	jʱᴀ1	
丸	jʱɛ̃2	～子
丹	d̥ɐ̃1	
主	tsʋ3	
丼	d̥ɐ̃3	
乃	l̃ɐɛ3	
久	tɕiɘu3	
么	jʱᴀɔ1	～～，感叹词，相当于“天，菩萨”
之	tsɿᵊ1	
乍	tsᴀ4	
乎	fʋ2	
乎	çɔ1	热～
乏	fᴀ2	
乖	ɟ̊uɐɛ1	
乙	jʱi2	
九	tɕiɘu3	
乞	tɕʰi2	
乞	cʰɛ2	～膝头；～膝脑壳
也	jʱɛ3	
乳	zʋ3	
乾	ɟ̊ɐ̃1	
乾	tɕʰiɛ̃2	
了	l̃ᴀ3	白读一
了	ɔ4	白读二
了	nᵈiᴀɔ3	文读
予	jʱi3	
事	sɿᵊ4	
二	ɛ4	白读
二	ɛ˞4	文读
互	fʋ4	
五	vʋ3	
亖	sɿᵊ4	
些	ɕi1	晚～家；黑～家
些	ɕiɛ1	
亞	jʱᴀ3	东～
亞	jʱᴀ4	
亟	tɕi2	
交	tɕiᴀɔ1	
亥	çɐɛ4	
亦	jʱi2	
畝	mᵇɘu3	文读
什	sɿᵊ2	
仄	tsɛ2	
仆	pʰʋ2	
仇	tsʰɘu2	
仇	tɕʰiɘu2	姓氏
介	ɟ̊ɐɛ4	
仔	tsɿᵊ3	
仔	tsɐɛ3	
仕	sɿᵊ4	
他	tʰᴀ1	文读
他	l̃ᴀ1	白读
付	fʋ4	
仙	ɕiɛ̃1	
仡	d̥ɛ2	～佬族
仡	ɟ̊ɛ2	～伶族，即侗族
代	d̥ɐɛ4	
以	jʱi3	
件	tɕiɛ̃4	
企	tɕʰi4	
伊	jʱi1	
伍	vʋ3	
伍	vʋ4	队～
伏	pʰʋ2	～起；～趴
伏	fʋ2	
伐	fᴀ2	
休	ɕiɘu1	
伢	jʱᴀ2	
伯	b̥ɛ2	
估	ɟ̊ʋ3	
伴	b̥ɐ̃4	
伹	tɕʰi1	
伺	tsʰɿᵊ4	
似	sɿᵊ4	
伽	tɕiᴀ1	
伽	tɕʰiɛ2	～蓝寺
佃	d̥iɛ̃4	
但	d̥ɐ̃4	
佈	b̥ʋ4	
位	wʱɘi4	
低	d̥i1	
住	tsʋ4	
佐	tsɔ3	
佐	tsɔ4	扎～
佑	jʱɘu1	经～，指关心、照顾
佑	jʱɘu4	
佔	tsɐ̃4	
何	çɔ2	
佗	tʰɔ2	
佛	fʋ2	
作	tsɔ2	
佝	ɟ̊iɘu1	
佝	ɟ̊iɘu2	～起～起的，指勾腰驼背的样子
你	nᵈi3	
佤	wʱᴀ4	
佩	pʰɘi4	
佬	l̃ᴀɔ3	
佮	ɟ̊ɔ2	相處
佶	tɕi2	
佼	tɕiᴀɔ3	
使	sɿᵊ3	
侃	cʰuᴀ3	屄～卵～，形容人胡搅蛮缠
侃	cʰɐ̃3	文读
侄	tsɿᵊ2	
來	lɛ2	白读
來	l̃ɐɛ2	文读
侈	tsʰɿᵊ3	
例	nᵈi4	
侍	sɿᵊ4	
依	jʱi1	
侮	vʋ3	
侯	çiɘu2	
侶	l̃uɘi3	
便	b̥iɛ̃4	
促	tsʋ2	文读
促	tsʰɔ2	白读
促	tɕʰi̹u2	仓～
俄	ɣɔ2	
俗	ɕi̹u2	
俘	fʋ1	
俚	nᵈi3	
保	b̥ᴀɔ3	
保	b̥ᴀɔ4	宫～肉丁
俞	jʱi2	
俟	sɿᵊ4	
俟	tɕʰi2	万～，少数民族复姓
俠	ɕiᴀ2	
修	ɕiɘu1	
俱	tɕi1	
俱	tɕi4	家～
俷	fɘi4	调皮
俺	ɲᶡɐ̃3	
俾	b̥ɘi3	
個	ɟ̊ɔ4	
個	ɲᶡɔ4	这～，程度副词，表示“这么”
倍	b̥ɘi4	
倒	d̥ᴀɔ3	
倒	d̥ᴀɔ4	
倔	tɕʰi̹u2	
候	çiɘu4	
倚	jʱi1	
借	tɕiɛ4	
倦	tɕiɛ̃4	
倪	nᵈi2	
倭	ɣɔ1	
倮	l̃ɔ3	
值	tsɿᵊ2	
倽	sɛ1	相当于“……的话”，表示条件假设
假	tɕiᴀ3	
偈	tɕiɛ2	
偉	wʱɘi3	
偌	zɔ3	
偏	pʰiɛ̃1	
偕	ɟ̊ɐɛ1	宠辱～忘
偕	çɐɛ2	
做	tsʋ4	文读
做	tsɔ2	～爱
做	tsɘu4	白读
健	tɕiɛ̃4	
側	tsɛ2	～边
側	tsʰɛ2	
偶	ɲᶡiɘu3	
偷	tʰɘu1	文读
偷	l̃ɘu1	白读
僞	wʱɘi4	
傀	cʰuɐɛ3	
傅	fʋ4	
傐	ɟ̊ᴀɔ4	属于仡佬族分支
傑	tɕiɛ2	
傕	cʰɔ2	
傘	sɐ̃3	
備	b̥i4	
備	b̥ɘi4	预～
傢	tɕiᴀ1	
催	tsʰuɘi1	
傲	ɲᶡᴀɔ4	
債	tsɐɛ4	
傻	sᴀ3	文读
傻	çᴀ3	白读
僂	l̃ɘu2	
僉	tɕʰiɛ̃1	
僕	pʰʋ2	
僚	nᵈiᴀɔ2	
僞	wʱɘi2	
僥	ɕiᴀɔ1	
僱	ɟ̊ʋ4	
價	tɕiᴀ4	
僻	pʰi2	
儀	nᵈi2	白读
