#漢字	音標	解釋
□	ŋan5	～菜：一种腌制的放在坛子里的菜
杷	ba2	
松	soŋ1	宽～
松	dzoŋ2	～树
板	pan3	
极	tɕi7	
構	keu5	
枇	bi2	
枉	uaŋ3	
析	ɕi7	
枕	tsen3	
林	lin2	
枚	mei2	
果	ko3	
枝	tsɿ1	
樞	su1	
棗	tsɔu3	
槍	tɕʰiaŋ1	
楓	foŋ1	
枯	kʰu1	
架	ka5-	
架	tɕia5=	
柄	pin3	
柏	pai7	
某	meu3	
柑	kan1	
染	zan3	
柔	zeu2	
柚	ieu5	
柜	kuei5	
查	dza2	
柩	tɕieu5	
柬	tɕiɛn3	
柱	tsu5	
柳	lieu3	
柴	dzɛi2	
柿	sɿ5	
梔	tsɿ1	
標	piɔu1	
棧	tsan5	
棟	toŋ5	
欄	lan2	
樹	su5	
栖	ɕi1	
栗	li7	
校	tɕiau5	～对
校	ɕiau5	～园
株	tsu1	
样	iaŋ5	
核	xai7	
根	ken1	
格	kai7	
栽	tsɛi1	
桂	kuei5	
桃	dɔu2	
桅	uei2	
案	ŋan5	
桌	tso7	
桐	doŋ2	
桑	saŋ1	
桓	xuan2	
橋	dʑiɔu2	
檜	kʰuai5	
槳	tɕiaŋ3	
樁	tsuaŋ1	
桶	tʰoŋ3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梗	ken3	
梢	sɔu1	
夢	moŋ5	
梧	u2	～桐
梨	li2	
梭	so1	
梯	tʰi1	
械	kai5	
梳	su1	
檢	tɕiɛn3	
棉	miɛn2	
棋	dʑi2	
棍	kuen5	
棒	paŋ5	
棕	tsoŋ1	
棚	boŋ2	
棠	daŋ2	
森	sen1	
棵	kʰo3	
棺	kuan1	
椅	i3	
植	tsɿ7	
植	tsɿ7	(早种禾)
椒	tɕiɔu1	
橢	tʰo3	
椽	dʑyɛn2	
椿	tsʰuen1	
楚	tsʰu3	
楝	liɛn5	
楞	len5	
楣	mei2	
楷	kʰɛi3	
樓	leu2	
概	kai5	
欖	lan3	
榆	y2	
榛	tsen1	
榜	paŋ3	
榨	tsa5	
榫	suen3	
榴	lieu2	
榻	tʰa7	
槌	dzuei2	
槐	xuɛi2	
檳	pin1	
槽	dzɔu2	
樟	tsaŋ1	
模	mo2	
橫	xuen2	
櫻	in1	
樵	dʑiɔu2	
橄	kan3	
橘	tɕy7	
橙	dzen2	
櫓	lu3	
檀	dan2	
欠	tɕʰiɛn5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕin1	
歐	ŋeu1	
欲	y5	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiɛ7	
歉	tɕʰiɛn5	
歌	ko1	
止	tsɿ3	
正	tsen1	～月
正	tsen5	～确
此	tsʰɿ3	
步	pu5	
武	u3	
歧	dʑi2	
歪	uɛi1	
死	sɿ3	
殲	tɕiɛn1	
殃	iaŋ1	
殆	tai5	
殉	ɕyn2	
殊	su1	
殘	dzan2	
殮	liɛn5	
殖	tsɿ7	
殯	pin1	
毆	ŋeu1	
段	tuan5	
殷	in1	
殿	tiɛn5	
毁	xuei3	
毅	i5	
母	mu3	
每	mei3	
毒	tu7	
比	pi3	
畢	pi7	
斃	pi5	
毛	mɔu2	
毯	tʰan3	
氏	sɿ5	
民	min2	
气	tɕʰi5	
水	suei3	
永	ioŋ3	
氽	tsʰuan1	
汁	tsɿ7	
求	dʑieu2	
汇	xuei5	
漢	xan5	
汗	xan5	
汝	zu3	
汞	koŋ3	
江	tɕiaŋ1	
池	dzɿ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	
汲	tɕi7	
汴	piɛn5	
汽	tɕʰi5	
沂	i2	
沃	o5	
沈	sen3	
沉	dzen2	
沓	tʰa7	
沙	sa1	
沛	pʰei5	
沟	keu1	
沒	mi5	～的
沒	mai7	沉～
漚	ŋeu5	
淪	luen2	
沫	mo7	
河	xo2	
油	ieu2	
治	tsɿ5	
沼	tsɔu1	
沾	tsan1	
沿	yɛn2	
泄	ɕiɛ5	
泅	dʑieu2	
泉	dʑyɛn2	
泊	po7	
泌	mi7	
泔	kan1	
法	fa7	
泛	fan5	
泡	pʰau5	
波	po1	
泣	tɕʰi5	
泥	li2	
注	tsu5	
淚	luei5	
泰	tʰai5	
泳	ioŋ3	
瀉	ɕiɛ5	
潑	pʰo7	
澤	tsai7	
洁	tɕiɛ7	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	lo7	
洞	toŋ5	
津	tɕin1	
洪	xoŋ2	
洲	tseu1	
活	xo7	
洼	ua1	
洽	tɕʰia7	
派	pʰai5	
流	lieu2	
淺	tɕʰiɛn3	
漿	tɕiaŋ1	
澆	tɕiɔu1	
濁	tso7	
測	tsʰai7	
濟	tɕi5	
渾	xuen2	
滸	xu3	水～
濃	loŋ2	
浙	tsai7	
浚	ɕyn5	
浜	paŋ1	
浦	pʰu3	
浩	xau5	
浪	laŋ5	
浮	fu2	
浴	y5	
海	xɛi3	
浸	tɕin5	
涂	du2	
消	ɕiɔu1	
涉	sai7	
涌	ioŋ3	
涎	ɕiɛn2	
涕	tʰi5	
濤	tʰɔu1	
澇	lɔu2	
潤	zuen5	
澗	tɕiɛn5	
澀	sai7	
涮	suan5	
涯	ia2	
液	i7	
淆	ɕiɔu1	
淋	lin2	
淑	su7	
淘	dɔu2	
淡	tan5	
淤	y1	
淫	in2	
淮	xuɛi2	
深	sen1	
混	xuen5	
添	tʰiɛn1	
清	tɕʰin1	
淵	yɛn1	
漸	tɕiɛn5	
漁	y2	
滲	sen5	
渠	dʑy2	
渡	tu5	
渣	tsa1	
溫	uen1	
港	kaŋ3	
渴	kʰo7	
游	ieu2	
渺	miɔu3	
湖	xu2	
湘	ɕiaŋ1	
灣	uan1	
溼	sɿ7	
潰	kʰuei5	
濺	tɕiɛn5	
溉	kai5	
源	yɛn2	
溜	lieu1	
溪	tɕʰi1	
溺	li7	
滋	tsɿ1	
滑	xua7	
滓	tsɿ3	
滔	tʰɔu1	
滾	kuen3	
滯	tsɿ5	
滿	man3	
濾	ly5	
濫	lan5	
灘	tʰan1	
滴	ti7	
漂	pʰiɔu1	～流
漂	pʰiɔu3	～白
漂	pʰiau5	～亮
漆	tɕʰi7	
漏	leu5	
演	iɛn3	
漫	man5	
漱	su5	
漾	iaŋ5	
潘	pʰan1	
潛	tɕʰiɛn3	
潭	dan2	
潮	dzɔu2	
潲	sau5	
澄	ten5	
澡	tsɔu3	
激	tɕi7	
瀑	pʰu5	
灌	kuan5	
灒	tsan5	
火	xo3	
滅	miɛ7	
灯	ten1	
灰	xuei1	
灵	lin2	
灸	tɕieu3	
灾	tsɛi1	
燦	tsʰan5	
爐	lu2	
炊	tsʰuei1	
炎	iɛn2	
炒	tsʰɔu3	
炕	kʰaŋ5	
炙	tsɿ7	～火
炭	tʰan5	
炮	pʰau5	
炸	tsa5	～弹
炸	tsa7	用油～
點	tiɛn3	
炼	liɛn5	
爛	lan5	
烈	liɛ7	
烊	iaŋ2	
烘	xoŋ1	
烙	lo7	
烛	tsu7	
烟	iɛn1	
烤	kʰɔu3	
煩	fan2	
燒	sɔu1	
燙	tʰaŋ5	
熱	zai7	
烹	pʰen1	
焉	iɛn1	
焊	xan5	
煥	xuan5	
焙	pei5	～干
焚	fen2	
焦	tɕiɔu1	
焯	tsʰɔu1	
焰	iɛn5	
然	zan2	
煎	tɕiɛn1	
煤	mei2	
照	tsau5	
煨	uei1	
煮	tsu3	
熄	ɕi7	
熊	ɕioŋ2	
熏	ɕyn1	
熙	ɕi1	
熟	su7	
熨	yn5	
燃	zan2	
燎	liɔu2	
燕	iɛn1	～京，又姓
燕	iɛn5	～子
爆	pau5	
爪	tsua3	
爪	tsɔu3	
爬	ba2	
愛	ŋai5	
爵	tɕio7	
父	fu5	
爺	iɛ2	
爸	pa5	
爹	tiɛ1	
爽	suaŋ3	
片	pʰiɛn5	
版	pan3	
牌	bɛi2	
牘	tu7	
牒	tiɛ7	
牙	ŋa2	
牛	lieu2	
牡	meu3	
牢	lɔu2	
牧	mu7	
物	u7	
牯	ku3	
牲	sen1	
牽	tɕʰiɛn1	
特	tʰai7	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tu7	
犍	tɕiɛn5	
犒	kʰau5	
犟	tɕiaŋ5	
犬	tɕʰyɛn3	
犯	fan5	
狀	tsuaŋ5	
犹	ieu2	
狂	ɡuaŋ2	
狍	bɔu2	
狐	xu2	
狡	tɕiɔu3	
獨	tu7	
狹	ŋai5	
狹	ɕia7	
獅	sɿ1	
獄	y5	
狸	li3	
狼	laŋ2	
猎	liɛ7	
猛	moŋ3	
猜	tsʰɛi1	
猝	tsʰu7	
豬	tsu1	
貓	mɔu1	
猬	uei5	
獻	ɕiɛn5	
猴	xeu2	
猾	xua7	
獺	tʰa7	
玄	ɕyɛn2	
率	ly5	效～
率	suai5	～领
玉	y5	
王	uaŋ2	
玩	uan2	
環	xuan2	
現	ɕiɛn5	
璽	ɕi3	
玻	po1	
珊	san1	
珍	tsen1	
珠	tsu1	
班	pan1	
球	dʑieu2	
理	li3	
琉	lieu2	
瑣	so3	
琢	tso7	
琴	dʑin2	
琵	bi2	
琶	ba2	
瓊	dʑyn2	
瑕	ɕia2	
瑞	zuei5	
瑟	sai7	
璃	li2	
璧	pi7	
瓜	kua1	
瓠	xu5	～子，～瓜
瓢	biɔu2	
瓣	pan5	
瓤	laŋ2	
瓤	zaŋ2	
瓦	ua3	
甌	ŋeu1	
瓶	bin2	
瓷	dzɿ2	
甘	kan1	
甚	sen5	
甜	diɛn2	
生	sen1	
甥	suen1	
用	ioŋ5	
甫	pʰu3	
甬	ioŋ3	
田	diɛn2	
由	ieu2	
甲	ka7-	
甲	tɕia7=	
申	sen1	
電	tiɛn5	
男	lan2	
畫	xua5	
暢	tsʰaŋ5	
界	kai5	
畏	uei5	
留	lieu2	
畜	ɕy5	～牧
畜	tsʰu7	～牲
略	lio7	
番	fan1	几～
疆	tɕiaŋ1	
疏	su1	
疑	li2	
疔	tin1	
療	liɔu2	
疝	san5	
瘧	lio7	
瘍	iaŋ2	
疤	pa1	
疥	kai5	
疫	y5	
瘡	tsʰuaŋ1	
瘋	foŋ1	
疲	bi2	
疵	tsʰɿ1	
疹	tsen3	
疼	den2	
疾	tɕi7	
病	pin5	
症	tsen5	
癰	ioŋ1	
痒	iaŋ3	
痔	tsɿ5	
痕	xen2	
痛	tʰoŋ5	
痞	pʰi3	
痢	li5	
痣	tsɿ5	
痰	dan2	
痱	fei5	
痴	tsʰɿ1	
痹	pi5	
瘊	xeu2	～子
瘟	uen1	
瘦	seu5	
瘴	tsaŋ5	
瘸	tɕʰyɛ7	
癩	lai5	
癬	ɕyɛn3	
登	ten1	
白	pai7	
百	pai7	
皂	tsɔu3	
的	ti3	目～
皆	kɛi1	
皇	xuaŋ2	
皖	uan3	
皮	bi2	
皺	tseu5	
皴	tsʰuen1	
皿	min3	
盂	y2	
盅	tsoŋ1	
盆	ben2	
盈	in2	
益	i5	
盞	tsan3	
鹽	iɛn2	
監	tɕiɛn1	
盒	xo7	
盔	kʰuei1	
盖	kai5	
盜	tau5	
盤	ban2	
盛	dzen2	～满了
盛	sen5	兴～
盟	moŋ2	
目	mu7	
盲	maŋ2	
直	tsɿ7	
相	ɕiaŋ1	～关
相	ɕiaŋ5	～貌
盼	pʰan5	
盾	tuen5	
省	sen3	
眉	mei2	
看	kʰan5	
瞘	kʰeu1	
真	tsen1	
眠	miɛn2	
眨	tsa7	
眩	ɕyɛn5	
眶	kʰuaŋ1	
眷	tɕyɛn5	
眼	ŋan3-	
着	tso7	
睜	tsen1	
睛	tɕin1	
睡	suei5	
督	tu1	
睬	tsʰɛi3	
瞎	xa7	
瞒	man2	
瞧	dʑiɔu2	
瞪	ten5	
瞳	doŋ2	
瞻	tsan1	
瞿	dʑy2	
矛	mɔu2	
矢	sɿ3	
知	tsɿ1	
矩	tɕy3	
矬	tsʰo5	
短	tuan3	
矮	ŋɛi3	
石	sɿ7	
礬	fan2	
礦	kʰuaŋ5	
碼	ma3	
砌	tɕʰi5	
砍	kʰan3	
研	liɛn1-	
研	iɛn2=	
磚	tsuan1	
硯	iɛn5	
破	pʰo5	
礎	tsʰu3	
硝	ɕiɔu1	
硫	lieu2	
硬	ŋen5	
确	tɕʰio7	
礙	ŋai5	
碎	suei5	
碑	pei1	
碓	tuei5	
碟	tiɛ7	
碧	pi5	
鹼	tɕiɛn3	
碾	liɛn3	
磁	dzɿ2	
磕	kʰo7	
磨	mo2	(动词)
磨	mo5	(名词)
磬	tɕʰin5	
磷	lin2	
礓	tɕiaŋ1	
示	sɿ5	
禮	li3	
社	sai5	
祀	sɿ5	
祁	dʑi2	
祈	dʑi2	
祖	tsu3	
祝	tsu7	
神	sen2	
祠	dzɿ2	
祥	dʑiaŋ2	
票	pʰiau5	
祭	tɕi5	
禱	tɔu3	
禍	xo5	
禀	pin3	
禁	tɕin1	～不住
禁	tɕin5	～止
禄	lu7	
禪	dzan2	～宗
禪	san5	～让
福	fu7	
禹	y3	
离	li2	
禽	dʑin2	
禾	xo2	
秀	ɕieu5	
私	sɿ1	
禿	tʰu7	
秆	kan3	
秉	pin3	
秋	tɕʰieu1	
种	tsoŋ3	
科	kʰo1	
秒	miɔu3	
秕	pi5	～子
租	tsu1	
秤	tsʰen5	
秦	dʑin2	
秧	iaŋ1	
积	tɕi7	
稱	tsʰen1	～呼
稱	tsʰen5	相～
移	i2	
穢	suei5	
稀	ɕi1	
程	dzen2	
稍	sɔu1	
稅	suei5	
稗	pai5	
稚	tsɿ5	
稠	dzeu2	
穩	uen3	
稻	tau5	
稽	tɕi1	
稿	kɔu3	
穆	mu7	
穗	suei5	
穴	ɕyɛ7	
究	tɕieu1	
窮	dʑioŋ2	
空	kʰoŋ1	～虚
空	kʰoŋ5	有～
突	tʰu7	
窄	tsai7	
竅	tɕʰiau5	
窑	iɔu2	
窗	tsʰuaŋ1	
窘	tɕioŋ3	
竄	tsʰuan5	
窩	o1	
窟	kʰu1	
窺	kʰuei1	
窨	in5	～子屋
立	li7	
豎	su5	
站	tsan5	
竟	tɕin5	
章	tsaŋ1	
童	doŋ2	
端	tuan1	
竹	tsu7	
竿	kan1	
篤	tu7	
笋	suen3	
笑	ɕiau5	
笔	pi7	
笙	sen1	
笛	ti7	
笠	li7	
符	fu2	
笨	pen5	
第	ti5	
箋	tɕiɛn1	
籠	loŋ2	
等	ten3	
筋	tɕin1	
筏	fa7	
筐	kʰuaŋ1	
筑	tsu7	
筒	tʰoŋ3	
答	ta7	
策	tsʰai7	
篩	sɛi1	
箏	tsen1	
筵	iɛn2	
筷	kʰuai5	
籌	dzeu2	
签	tɕʰiɛn1	
簡	tɕiɛn3	
箅	pi5	～子
箍	ku1	
算	suan5	
管	kuan3	
籮	lo2	
簫	ɕiɔu1	
箭	tɕiɛn5	
箱	ɕiaŋ1	
箸	tsu5	
篆	tsuan5	
篇	pʰiɛn1	
簍	leu3	
篙	kɔu1	
篡	tsʰuan5	
籃	lan2	
篱	li2	
篷	boŋ2	
篾	miɛ7	
簧	xuaŋ2	
簪	tsan1	
簸	po5	
簿	pu5	
籍	tɕi7	
米	mi3	
类	luei5	
粉	fen3	
粒	li7	
粗	tsʰu1	
粘	tsan1	
粟	su7	
粤	yɛ7	
粥	tseu1	
糞	fen5	
糧	liaŋ2	
粱	liaŋ2	
粳	ken1	
粹	tsʰuei5	
糉	tsoŋ5	
精	tɕin1	
糍	dzɿ2	
糕	kɔu1	
糖	daŋ2	
糙	tsʰɔu1	
糟	tsɔu1	
糠	kʰaŋ1	
糯	lo5	
系	ɕi5	
素	su5	
索	so7	
緊	tɕin3	
紫	tsɿ3	
累	luei3	～计
累	luei5	连～
絮	ɕy5	
繁	fan2	
糾	tɕieu1	
紅	xoŋ2	
紂	tseu5	
約	io7	
級	tɕi7	
紀	tɕi3	～律
紀	tɕi5	世～
紉	zen5	
緯	uei3	
純	dzuen2	
紗	sa1	
綱	kaŋ1	
納	la7	
縱	tsoŋ5	
紛	fen1	
紙	tsɿ3	
紋	ven2	
紡	faŋ3	
紐	lieu3	
線	ɕiɛn5	
練	liɛn5	
組	tsu3	
細	ɕi5	
織	tsɿ7	
終	tsoŋ1	
縐	tseu5	
絆	pan5	
紹	sau5	
經	tɕin1	
綁	paŋ3	
絨	zoŋ2	
結	tɕiɛ7	
繞	zɔu3	
繪	xuei5	
絡	lo7	
絕	tɕyɛ7	
絞	tɕiɔu3	
統	tʰoŋ3	
絹	tɕyɛn1	
繡	ɕieu5	
綏	suei2	
繼	tɕi5	
績	tɕi7	
緒	ɕy5	
續	ɕy5	～弦
續	su7	～续
綽	tsʰo5	
繩	suen2	
維	uei2	
綿	miɛn2	
綢	dzeu2	
綜	tsoŋ1	
綻	tsan5	
綠	lu7	
綴	tsuei5	
緬	miɛn3	
纜	lan3	
緝	tɕi7	
緞	tuan5	
緩	xuan3	
縷	luei3	
編	piɛn1	
緣	yɛn2	
縛	fu7	
縫	foŋ2	～衣服
縫	foŋ5	一条～
纏	dzan2	
縊	i5	
纓	in1	
縮	su7	
繮	tɕiaŋ1	
繳	tɕiɔu3	
缸	kaŋ1	
缺	tɕʰyɛ7	
罐	kuan5	
网	uaŋ3	
罕	xan3	
羅	lo2	
罰	fa7	
罷	pa5	
罩	tsau5	
罪	tsuei5	
置	tsɿ5	
羊	iaŋ2	
羌	tɕʰiaŋ1	
美	mei3	
羔	kɔu1	
羞	ɕieu1	
羡	ɕiɛn5	
羣	dʑyn2	
羹	ken1	
羽	y3	
翁	oŋ1	
翅	tsʰɿ5	
翎	lin2	
翠	tsʰuei5	
翡	fei3	
翰	xan5	
翳	i5	
翻	fan1	
翼	i5	
耀	iau5	
老	lɔu3	
考	kʰɔu3	
者	tsɛi3	
而	ɚ2	
耍	sua3	
耐	lai5	
耕	ken1	
耗	xau5	
耙	ba2	
耳	ɚ3	
耶	iɛ2	
恥	tsʰɿ3	
耽	tan1	
耿	ken3	
聶	liɛ7	
聊	liɔu2	
聾	loŋ1	
職	tsɿ7	
聯	liɛn2	
聘	pʰin5	
聚	tɕy5	
聰	tsʰoŋ1	
肅	su7	
肄	i5	
肆	sɿ5	
肉	zu7	
肋	lai7	
肌	tɕi1	
肘	tseu3	
肚	tu3	猪～子
肚	tu5	～皮
肝	kan1	
腸	dzaŋ2	
股	ku3	
肢	tsɿ1	
肤	fu1	
肥	fei2	
肩	tɕiɛn1	
肪	faŋ2	
肮	aŋ1	
肯	kʰen3	
育	y5	
肴	iɔu2	
肺	fei5	
腎	sen5	
腫	tsoŋ3	
脹	tsaŋ5	
脅	ɕiɛ7	
胃	uei5	
胆	tan3	
背	pei5	
胎	tʰɛi1	
胖	pʰaŋ5	
胚	pʰei1	～胎
胛	tɕia7	
胜	sen5	
胞	pɔu1	
胡	xu2	
胳	kai7	
胶	tɕiɔu1	
胸	ɕioŋ1	
能	len2	
脂	tsɿ3	
脆	tsʰuei5	
脉	mai7	
脊	tɕi7	
脏	tsaŋ1	
臍	dʑi2	
腦	lɔu3	
膿	loŋ2	
腳	tɕio7	
脯	pʰu3	
脫	tʰo7	
腡	lo2	
臉	liɛn3	
脾	bi2	
腆	tʰiɛn3	
腊	la7	
腋	iɛ7	
腌	iɛn1	
腐	fu3	
腑	fu3	
腔	tɕʰiaŋ1	
腕	uan3	
腥	ɕin1	
腮	sɛi1	
腰	iɔu1	
腱	tɕiɛn5	
腹	fu7	
膩	li5	
騰	den2	
腿	tʰuei3	
膏	kɔu1	
膘	piɔu1	
膜	mo2	
膝	tɕʰi7	
膨	boŋ2	
膳	san5	
臀	duen2	
臂	pi5	
臊	sɔu1	
臣	dzen2	
自	tsɿ5	
臭	tsʰeu5	
至	tsɿ5	
致	tsɿ5	
臻	tsen1	
臼	tɕieu5	
舀	iɔu3	
舂	tsʰoŋ1	～米
舅	tɕieu5	
舌	sai7	
舍	sɛi3	～得
舍	sai5	宿～
舐	sɿ5	～犊情深
舒	su1	
舔	tʰiɛn3	
舜	suen5	
舞	u3	
舟	tseu1	
航	xaŋ2	
般	pan1	
舵	to5	
船	dzuan2	
艇	tʰin3	
良	liaŋ2	
艱	tɕiɛn1	
色	sai7	
艳	iɛn5	
藝	i5	
艾	ŋai5	
節	tɕiɛ7	
芋	y5	
芍	sɔu2	
芒	maŋ2	
芙	fu2	
芝	tsɿ1	
芥	kai5	
芦	lu2	
芬	fen1	
芭	pa1	
芮	zuei5	(姓)
花	xua1	
芳	faŋ1	
芹	dʑin2	
芽	ŋa2	
葦	uei3	
莧	xan5	
蒼	tsʰaŋ1	
苧	tsu5	
苏	su1	
苔	dɛi2	
苗	miɔu2	
苟	keu3	
若	zo7	
苦	kʰu3	
英	in1	
茂	mau5	
范	fan5	
茄	dʑyɛ2	
茅	mɔu2	
莖	tɕin5	
茧	tɕiɛn3	
茫	maŋ2	
茬	tsʰa5	
茴	xuei2	
茶	dza2	
茸	zoŋ2	
茼	doŋ2	
荀	ɕyn2	
荆	tɕin1	
草	tsʰɔu3	
荐	tɕiɛn5	
荒	xuaŋ1	
荔	li5	
蕎	dʑiɔu2	
榮	yn2	
葷	xuen1	
荫	in1	
荷	xo2	
莠	ieu5	
莫	mo7	
获	xuai7	
鶯	in1	
莽	maŋ3	
菊	tɕy7	
菌	tɕyn5	
菖	tsʰaŋ1	
菜	tsʰai5	
菠	po1	
菢	pau5	
菩	bu2	
菱	lin2	
萄	dɔu2	
萌	moŋ2	
萍	bin2	
萎	uei3	
螢	in2	
營	yn2	
蕭	ɕiɔu1	
薩	sa3	
落	lo7	
著	tsu5	
葚	sen5	
葛	ko7	
董	toŋ3	
葫	xu2	～芦
葬	tsaŋ5	
葱	tsʰoŋ1	
葵	ɡuei2	
蔣	tɕiaŋ3	
蒙	moŋ2	
蒜	suan5	
蒲	bu2	
蒸	tsen1	
蒿	xɔu1	
蓄	ɕy5	
蓉	ioŋ2	
蓑	so1	
蓖	pi5	
藍	lan2	
蓬	boŋ2	
蔓	man5	
蔗	tsa1	甘～
蔡	tsʰai5	
蔫	iɛn1	
蔬	su1	
藹	ŋɛi3	
蔽	pi5	
蕉	tɕiɔu1	
蕊	zuei3	
薄	po7	
薅	xɔu1	
薛	ɕyɛ7	
薪	ɕin1	
薯	su3	
薰	ɕyn1	
藉	tɕi7	
藏	dzaŋ2	隐～
藏	tsaŋ5	西～
藐	miɔu3	
藕	ŋeu3	
藤	den2	
藩	pʰan1	
蘸	tsan5	
虎	fu3	
虜	lu3	
虐	lio7	
虑	ly5	
虔	dʑiɛn2	
虛	ɕy1	
虞	y2	
虫	dzoŋ2	
虱	sai7	
虹	xoŋ2	
虻	maŋ2	
雖	suei1	
蝦	xa1-	
蝦	ɕia1=	
蝕	sɿ7	
蟻	i5	
蚊	ven2	
蚌	paŋ5	
蚕	dzan2	
蚣	koŋ1	
蚤	tsɔu3	
蛀	tsu5	
蛆	tɕʰy1	
蛇	sɛi2	
蛋	tan5	
蛙	ua1	
蛛	tsu1	
蛤	ŋɛi2	～蟆
蠻	man2	
蟄	tsai7	惊～
蛾	o2	
蜀	su7	
蜂	foŋ1	
蜇	tsai7	蜜蜂～人
蜈	u2	～蚣
蜋	laŋ2	
蜓	din2	
蛻	tʰuei5	
蝸	o1	
蜘	tsɿ1	
蜜	mi7	
蜡	la7	
蜻	tɕʰin1	
蠅	in2	
蟬	dzan2	
蝎	ɕiɛ7	
蝗	xuaŋ2	
蝙	piɛn1	
蝠	fu7	
蝶	tiɛ7	
螃	baŋ2	
融	zoŋ2	
螳	daŋ2	
螺	lo2	
蟀	suai5	
蟒	maŋ3	
蟹	ɕiɛ5	
蟾	dzan2	
蠢	tsʰuen3	
血	ɕyɛ7	
行	ɕin2	品～
行	xaŋ2	～列
銜	xan2	
衙	ŋa2-	
衙	ia2=	
衡	xen2	
衣	i1	
補	pu3	
表	piɔu3	
衫	san1	
襯	tsʰen5	
衰	suɛi1	
袁	yɛn2	
襖	ŋɔu3	
袋	tai5	
袍	bɔu2	
袖	ɕieu5	
被	pei5	
襲	ɕi7	
袱	fu7	
裁	dzɛi2	
裂	liɛ7	
裝	tsuaŋ1	
裕	y5	
裙	dʑyn2	
褲	kʰu5	
裳	saŋ3	
裴	bei2	
裸	lo3	
裹	ko3	
製	tsɿ5	
褒	pɔu3	
褚	tsʰu3	(姓)
褥	zu3	
褶	tsai7	
襄	ɕiaŋ1	
襟	tɕin1	
襻	pʰan5	
西	ɕi1	
要	iɔu1	～求
要	iau5	想～
覆	fu7	
見	tɕiɛn5	
觀	kuan1	参～
觀	kuan5	寺～
規	kuei1	
覓	mi5	
視	sɿ5	
覽	lan3	
覺	kau5	睡～
覺	tɕiau5	睡～
覺	tɕio7	直～
角	ko7	～落
角	tɕio7	一～钱
解	kɛi3	
解	ɕiɛ5	(姓)
觸	tsʰu7	
言	iɛn2	
謄	den2	
誓	sɿ5	
警	tɕin3	
譬	pʰi7	
計	tɕi5	
訂	tin5	
訃	pʰu5	
認	zen5	
譏	tɕi1	
討	tʰɔu3	
讓	zaŋ5	
訖	tɕʰi5	
訓	ɕyn5	
議	i5	
訊	ɕyn5	
記	tɕi5	
講	kaŋ3	
諱	xuei5	
許	ɕy3	
論	luen2	～语
論	luen5	～文
訟	soŋ5	
諷	foŋ3	
設	sai7	
訪	faŋ3	
訣	tɕyɛ7	
证	tsen5	
評	bin2	
識	sɿ7	
詐	tsa5	
訴	su5	
診	tsen3	
詞	dzɿ2	
詔	tsau5	
譯	i5	
試	sɿ5	
詩	sɿ1	
誠	dzen2	
誅	tsu1	
話	xua5	
誕	tan5	
詭	kuei3	
該	kɛi1	
詳	dʑiaŋ2	
語	y3	
誤	u5	
誘	ieu5	
說	suai7	～明
誦	soŋ5	
請	tɕʰin3	
諸	tsu1	
讀	tu7	
課	kʰo5	
誰	suei2	
調	diɔu2	～和
調	tiau5	～动
諒	liaŋ5	
談	dan2	
誼	i5	
謀	meu2	
諜	tiɛ7	
謊	xuaŋ3	
諫	tɕiɛn3	
諧	ɕiɛ2	
謂	uei5	
讒	dzan2	
諺	iɛn5	
謎	mi2	
謝	ɕiɛ5	
謠	iɔu2	
謗	paŋ3	
謙	tɕʰiɛn1	
謹	tɕin3	
謬	miau5	
譚	dan2	
譜	pʰu3	
谷	ku7	
豁	xo7	～嘴
豆	teu5	
豇	kaŋ1	
豉	sɿ3	
豌	uan1	
豚	duen2	
象	ɕiaŋ5	
豪	xɔu2	
豫	y5	
豶	fen2	
豹	pau5	
豺	dzɛi2	
貂	tiɔu1	
貌	mau5	
貝	pei5	
貞	tsen1	
負	fu5	
貢	koŋ5	
財	dzɛi2	
責	tsai7	
賢	ɕiɛn2	
敗	pai5	
賬	tsaŋ5	
貨	xo5	
質	tsɿ7	
販	fan5	
貪	tʰan1	
貧	bin2	
購	keu5	
貫	kuan5	
賤	tɕiɛn5	
貼	tʰiɛ7	
貸	tai5	
貿	mau5	
賀	xo5	
賊	tsai7	
賈	tɕia3	
賄	xuei5	
賃	lin5	
資	tsɿ1	
賒	sɛi1	
賦	fu5	
賭	tu3	
贖	su7	
賞	saŋ3	
賜	tsʰɿ5	
賠	bei2	
賴	lai5	
贅	tsuei5	
賺	tsuan5	
賽	sai5	
赞	tsan5	
贈	tsen5	
贏	in2	
赤	tsʰɿ7	
赦	sai7	
赫	xai7	
走	tseu3	
赴	fu5	
趙	tsau5	
赶	kan3	
起	tɕʰi3	
趁	tsʰen5	
超	tsʰɔu1	
越	yɛ7	
趨	tɕʰy1	
趟	tʰaŋ5	
趣	tɕʰy5	
足	tsu7	
趾	tsɿ3	
躍	io7	
跌	tiɛ7	
跑	pʰɔu3	
距	tɕy5	
跟	ken1	
跨	kʰua1	
跪	kuei5	
路	lu5	
跳	tʰiau5	
