#漢字	音標	解釋
□	ŋan5	～菜：一种腌制的放在坛子里的菜
快	kʰuai5	
念	liɛn5	
忽	xu1	
忽	xu7	
忿	fen5	
怀	xuɛi2	
態	tʰai5	
慫	soŋ3	
慪	ŋeu5	
怒	lu5	
怕	pʰa5	
怖	pu5	
怜	liɛn2	
思	sɿ1	
怠	tai5	
急	tɕi7	
性	ɕin5	
怨	yɛn5	
怪	kuai5	
怯	tɕʰiɛ7	
總	tsoŋ3	
恃	sɿ5	
恐	kʰoŋ3	
恆	xen2	
恕	su5	
恢	xuei1	
恤	ɕy5	
恨	xen5	
恩	ŋen1	
恭	koŋ1	
息	ɕi7	
恰	tɕʰia7	
懇	kʰen3	
恶	o7	
惱	lɔu3	
悄	tɕʰiɔu1	
悉	ɕi7	
悔	xuei3	
悟	u5	
悠	ieu1	
悅	yɛ7	
懸	ɕyɛn2	
憫	min3	
悲	pei1	
情	dʑin2	
惊	tɕin1	
惑	xuai7	
惜	ɕi7	
惟	uei2	
惠	xuei5	
懼	tɕy5	
慘	tsʰan3	
慚	dzan2	
慣	kuan5	
惰	to5	
想	ɕiaŋ3	
惹	zɛi3	
愁	dzeu2	
愈	y5	
愉	y2	
意	i5	
愚	y2	
感	kan3	
憤	fen5	
愧	kʰuei5	
愿	yɛn5	
慈	dzɿ2	
慌	xuaŋ1	
慎	sen5	
慕	mu7	
慧	xuei5	
慨	kʰɛi3	
慰	uei5	
慷	kʰaŋ1	
憋	piɛ7	
憎	tsen5	
憨	xan1	
憾	xan5	
懂	toŋ3	
懈	ɕiɛ5	
懊	ŋau5	
懶	lan3	
懵	moŋ3	
戈	ko1	
戊	u5	
戌	ɕy1	
戍	su5	
戎	zoŋ2	
成	dzen2	
我	ŋo3	
戒	kai5	
或	xuai7	
戰	tsan5	
戚	tɕʰi7	
截	tɕiɛ7	
戳	tsʰo7	
戴	tai5	
戶	xu5	
房	faŋ2	
所	so3	
扁	piɛn3	
扇	san1	(动词)
扇	san5	(名词)
手	seu3	
才	dzɛi2	
扎	tsa7	
扑	pʰu7	
打	ta3	
扔	zen1	
托	tʰo7	
扛	ɡaŋ2	
扣	kʰeu5	
執	tsɿ7	
擴	kʰo7	
掃	sɔu3	～地
掃	sau5	～帚
揚	iaŋ2	
扭	lieu3	
扮	pan5	
扯	tsʰɛi3	
扳	pan1	
扶	fu2	
批	pʰi1	
扼	ŋai7	
扽	tuen5	
承	dzen2	
技	tɕi5	
抄	tsʰɔu1	
把	pa3	～握，一～
把	pa5	刀～
抑	i5	
抓	tsua1	
投	deu2	
抖	teu3	
抗	kʰaŋ5	
折	tsai7	
抛	pʰɔu1	
摳	kʰeu1	
搶	tɕʰiaŋ3	
護	xu5	
報	pau5	
披	pʰi1	
抬	dɛi2	
抱	pau5	
抵	ti3	
抹	ma7	
抹	mo7	～子：瓦工用来抹灰泥的器具
押	ŋa7-	
押	ia7=	
抽	tsʰeu1	
抿	min3	
拄	tsu5	
担	tan1	～任
担	tan5	～子
拆	tsʰai7	
拇	mu3	
拉	la1	
拉	la7	
拌	pan5	
拍	pʰai7	
拐	kuɛi3	
拒	tɕy5	
拓	tʰa7	
拔	pa7	
拖	tʰo1	
拘	tɕy1	
拙	tso7	
招	tsɔu1	
拜	pai5	
攏	loŋ3	
擁	ioŋ3	
攔	lan2	
撥	po7	
擇	tsai7	
括	kʰo7	
拯	tsen3	
拱	koŋ3	
拳	dʑyɛn2	
拴	suan1	
拼	pʰin1	
拾	sɿ7	
拿	la7	
持	dzɿ2	
挂	kua5	
指	tsɿ3	
按	ŋan5	
挑	tʰiɔu1	
挖	ua1	
挾	ka7	
撓	lɔu2	
擋	taŋ3	
擠	tɕi3	
揮	xuei1	
挨	ŋɛi1	～着
挨	ŋɛi2	～打
挪	lo2	
振	tsen5	
挻	tʰin3	
挽	uan3	
捅	tʰoŋ3	
捆	kʰuen3	
捉	tso7	
捎	sɔu1	
捏	liɛ1	
捐	tɕyɛn1	
捕	pu3	
撈	lɔu1	
損	suen3	
撿	tɕiɛn3	
換	xuan5	
捧	pʰoŋ3	
据	tɕy5	
捱	ŋɛi2	
捷	tɕiɛ7	
捺	la7	
捻	liɛn3	
掀	ɕyɛn1	
授	seu5	
掉	tiau5	
掌	tsaŋ3	
掏	tʰɔu1	
掐	kʰa7	
排	bɛi2	
掘	tɕyɛ7	
掠	lio7	
探	tʰan5	
接	tɕiɛ7	
推	tʰuei1	
掩	iɛn3	
措	tsʰo5	
掬	tɕy7	
擲	tsɿ5	
撣	tan3	
揉	zeu2	
描	miɔu2	
提	di2	
插	tsʰa7	
揖	i7	
握	o7	
揣	tsuɛi3	～摩
揪	tɕieu1	
揭	tɕiɛ1	～发
揭	tɕiɛ7	～竿而起
援	yɛn2	
攬	lan3	
攙	dzan2	
擱	ko7	
摟	leu3	
攪	tɕiɔu3	
搊	tsʰeu1	
搓	tsʰo1	
搛	tɕiɛn1	
搜	seu1	
搞	kɔu3	
搡	saŋ3	
搬	pan1	
搭	ta7	
搽	tsʰa7	
攝	sai7	
摆	pɛi3	
摇	iɔu2	
攤	tʰan1	
摔	suɛi1	
摘	tsai7	
摞	lo3	
摩	mo2	
摸	mo1	
摹	mo2	
撇	pʰiɛ7	
撒	sa3	
撕	sɿ1	
撞	tsuaŋ5	
撤	tsʰai7	
撩	liɔu2	
撮	tsʰo7	
撰	tsuan5	
攆	liɛn3	
撼	xan5	
擀	kan3	
操	tsʰɔu1	
擎	dʑin2	
擒	dʑin2	
擦	tsʰa7	
攀	pʰan1	
攢	tsan3	
攘	zaŋ3	
支	tsɿ1	
收	seu1	
改	kɛi3	
攻	koŋ1	
放	faŋ5	
政	tsen5	
故	ku5	
效	ɕiau5	
敌	ti7	
敏	min3	
救	tɕieu5	
教	tɕiɔu1	～书
教	tɕiau5	～育
斂	liɛn3	
敝	pi5	
敢	kan3	
散	san3	鞋带～了
散	san5	分～
敦	tuen1	
敨	tʰeu3	
敬	tɕin5	
數	su3	(动词)
數	su5	(名词)
敲	tɕʰiɔu1	
整	tsen3	
敷	fu1	
文	ven2	
斋	tsɛi1	
斑	pan1	
斗	teu3	一～米
斗	teu5	～争
料	liau5	
斛	xu2	
斜	ɕiɛ2	
斟	tsen1	
斤	tɕin1	
斥	tsʰɿ7	
斧	fu3	
斬	tsan3	
斷	tuan5	
斯	sɿ1	
新	ɕin1	
方	faŋ1	
施	sɿ1	
旁	baŋ2	
旅	luei3	
旋	ɕyɛn2	
族	tsu7	
旗	dʑi2	
无	u7	
既	tɕi5	
日	zɿ7	
旦	tan5	
舊	tɕieu5	
旨	tsɿ3	
早	tsɔu3	
旬	ɕyn2	
旱	xan5	
時	sɿ2	
曠	kʰuaŋ5	
旺	uaŋ5	
昂	aŋ2	
昆	kʰuen1	
昌	tsʰaŋ1	
明	min2	
昏	xuen1	
易	i5	
昔	ɕi7	
星	ɕin1	
映	in5	
春	tsʰuen1	
昧	mei5	
昨	tso7	
昭	tsɔu1	
是	sɿ5	
晝	tseu5	
顯	ɕiɛn3	
晃	xuaŋ5	
