#漢字	音標	解釋
㐴	pʰɐ̞n1	
㑁	t͡swɛ7	
㑉	ɕy̑ɛ7	
㑘	kɐ̞ɪ̯5	
㑙	ti̯e7	
㑛	swɛ7	
㑲	nɐ̞n2	
㑳	nɑ7	
㑵	t͡ɕi̯e7	
㑻	mᵇɑ7	
㒊	sɐ̟7	生三
㒌	t͡ɕʰy̑in2	
㒓	tʰɑ7	
㒔	swɛ7	
㒝	mᵇi̯e7	
㒝	wɑ7	
㒨	ɕi̯ɐ̟n1	
㒴	kwɛ7	
㓀	pe7	
㓖	pi̯e7	
㓢	nɔ7	
㓣	t͡ɕʰi̯ɑ7	
㓤	t͡ɕʰi̯ɑ7	
㓤	t͡ɕi̯e7	
㓹	t͡sʰwɛ̝ɪ̯5	
㓺	t͡ɕi̯ɐ̟n1	
㓼	t͡sʰe7	
㔄	swɛ7	
㔍	t͡sʰɑ7	
㔍	t͡sʰwɑ7	
㔎	ɕi̯e7	
㔎	n̠ʲi̯e7	
㔏	ni̯e7	
㔞	kʰwɐ̞ɪ̯1	
㔠	ɕi̯ɑ7	
㔡	pi̯e7	
㔢	t͡ɕy̑ɛ7	
㔩	ɔ7	
㔴	je7	
㔹	nɐ̟7	
㕇	nɑ7	
㕎	kʰɔ7	
㕡	xɔ7	
㕯	nɑ7	
㕯	zwɛ7	
㕯	nwɛ7	
㕰	xɔ7	
㖅	ɕy̑ɛ7	
㖏	n̠ʲi̯e7	
㖪	xwɛ7	
㗁	ŋɔ7	
㗉	ni̯ɔ7	
㗊	t͡sɐ̟7	莊三
㗘	pɔ7	
㗙	nɑ7	
㗚	ni̯e7	
㗤	t͡ɕy̑ɛ7	
㗥	kʰɔ7	
㗧	t͡se7	
㗩	ɕi̯e7	
㗫	t͡ɕʰi̯e7	
㗱	t͡ɕi̯e7	
㗲	xwɛ7	
㗳	tɑ7	
㗵	ɕy̑ɛ7	
㗼	n̠ʲi̯e7	
㘀	t͡sɔ7	
㘁	je7	
㘈	ŋi1	一點兒～𫪦都不打：形容答应別人請求時干脆，爽快
㘈	n̠ʲi̯e7	
㘉	t͡se7	
㘌	t͡ɕi̯e7	
㘍	t͡ɕi̯e7	
㘙	n̠ʲi̯e7	
㘝	nɑ7	
㘝	n̠ʲi̯e7	
㘠	pi̯e7	
㘨	n̠ʲi̯e7	
㘲	t͡ɕy̑ɛ7	
㙁	mᵇe7	
㙅	pɑʊ̯3	
㙇	t͡sʰwɛ7	
㙏	fe7	
㙓	kʰwɛ̝ɪ̯2	
㙷	t͡sɐ̟7	
㙷	t͡se7	
㚒	se7	
㚔	n̠ʲi̯e7	
㚖	t͡sʰe7	
㚜	ɥɛ7	
㚜	xwɛ7	
㚤	je7	
㚫	sɑ7	
㛍	t͡ɕʰi̯e7	
㛘	pʰɔ7	
㛥	tʰɑ7	
㛹	pʰi̯ɐ̟n2	
㛼	t͡sʰɑ7	
㜅	ɕy̑ɛ7	
㜓	tɑ7	
㜗	t͡sʰɑ7	
㜰	sɔ7	
㜰	jɔ7	
㜸	n̠ʲi̯e7	
㜽	t͡sɹe̠ᶦ3	
㝓	kʰɔ7	
㝣	je7	
㝪	ti̯e7	
㞏	t͡se7	
㞕	ɕi̯e7	
㞚	t͡sɑ7	
㞚	t͡sʰɐ̟7	初三
㞞	sɔŋ2	
㞽	ɕy̑ɛ7	
㟐	mᵇɑŋ5	
㟳	ni̯e7	
㠋	ŋɔ7	
㠍	t͡ɕi̯e7	
㠛	ɥɛ7	
㠴	ze7	
㠷	kɔ7	
㡇	t͡sɐ̟7	
㡊	t͡ɕʰi̯ɑ7	
㡋	je7	
㡍	mᵇɔ7	
㡔	mᵇe7	
㡜	ɕy̑ɛ7	
㡯	t͡sʰɐ̟7	
