#漢字	音標	解釋
䉪	lui2	一種捕魚工具、深䉪，地名
一	jit7a	
丁	tɛŋ1	白讀
丁	tɪŋ1	
七	tsʰɐt7a	
丈	tsœŋ6	
三	sam1	
上	sœŋ1	
上	sœŋ6	上面
下	ha5	打一下
下	ha6	下面
不	pɐt7a	
丐	kʰui1	
丑	tsʰiau2	
且	tsʰia2	
世	sei1	
丘	jiu1	
丙	pɪŋ2	
丞	sɪŋ4	
丟	tiu1	
並	pɪŋ6	
丫	ʔa1	
中	tsʊŋ1	
丰	fʊŋ1	
串	tsʰin1	
丸	jan4	
丹	tan1	
主	tsi2	
乃	nai5	
久	kɐu2	
么	jau1	
之	tsi1	
乍	tsa1	
乎	fu4	
乏	fut8	
乒	pɪŋ1	
乓	pɐm1	
乖	kwai1	
乘	sɪŋ4	乘船
乘	sɪŋ6	萬乘之國
乙	jat8	
九	kɐu2	
乞	hɐt7a	
也	ja5	
乳	ji2	又音
乳	ji5	
乳	jui5	汁液，白讀
乾	kun1	乾燥
乾	kʰin4	乾坤
亂	lun6	
了	liu1	了結
了	liu5	了解
予	ji5	給予
事	su6	
二	ji6	
于	ji1	
云	wun4	
互	wu6	
五	m2	
井	tsɛŋ2	
亙	kɐŋ2	
些	sia1	
亞	ʔa1	
亟	kɪk8	亟需
亟	kʰi1	亟請
亡	mɔŋ4	
亢	kʰɔŋ1	高亢
交	kɛu1	
亥	hui6	
亦	jɪk8	
亨	hɐŋ1	
享	hœŋ2	
京	kɪŋ1	
亭	hɛŋ4	天亭，地名
亭	hɪŋ4	
亮	lœŋ6	
人	jin4	
什	sɐm6	什麼
什	tsap8	什錦
仁	jin4	
仃	tɪŋ1	
仄	tsɪk7a	
仆	pʊk8	
仆	fu6	前仆後繼
仆	pʰʊk8	
仆	pʰʊk7a	仆倒
仇	kʰɐu4	姓仇
仇	sɐu4	仇人
今	kɐm1	
今	kɐm4	今日
介	kai1	
仍	jɪŋ4	
仔	tsai2	豬仔
仔	tsi2	仔細
仕	si6	
他	ha1	
仗	tsœŋ1	打仗
仗	tsœŋ6	仗義
付	fu6	
仙	sin1	
仝	hʊŋ4	
仞	jin6	
仟	tsʰin1	
代	tui6	
令	lɛŋ6	白讀
令	lɪŋ1	一令紙
令	lɪŋ4	令狐
令	lɪŋ6	命令
以	ji5	
仰	jœŋ2	
仰	ŋɔŋ2	
仲	tsʊŋ6	
件	kin6	
任	jim4	姓任
任	jim6	信任
份	fun6	
仿	fɐŋ2	仿佛
企	kʰi1	
企	kʰi2	
企	kʰi5	
伊	ji1	
伍	m2	
伏	fʊk8	
伐	fut8	
休	jiu1	
伙	fu2	
伯	pa1	春秋五伯
伯	pɐk8	
伯	pɐk9	阿伯
伯	pɐk7b	伯爺
估	ku1	估衣
估	ku2	估計
伴	pun6	
伶	lɪŋ4	
伸	sɐn1	
伺	si1	
伺	tsi6	窺伺
似	si1	
伽	ka1	瑜伽
伽	kʰia4	伽藍
佃	tin6	佃農
佃	hin4	佃作
但	tan6	
佇	tsʰi1	
佈	pu1	
位	wi6	
低	tei1	
住	tsi6	
佐	tsu1	
佑	jiu6	
佔	tsim1	
何	hu4	
佗	hu4	
余	ji4	
佚	jit8	
佛	fut8	佛教
佛	fut7a	仿佛
作	tsɔk7a	
作	tsɔk7b	
你	ni1	
佣	jʊŋ2	
佩	pʰui1	
佳	kai1	
併	pʰɪŋ1	
使	sai2	
使	si1	使者
侃	hun2	
來	lui4	
侈	tsʰi2	
例	lei6	
侍	si6	
侏	tsi1	
供	kʊŋ1	
依	ji1	
侮	mu5	
侯	hou4	
侵	tsʰɐm1	
侶	lui5	
便	pin6	便利
便	pʰin4	大腹便便
係	hei6	
促	tsʰʊk7a	
俄	ŋu4	
俊	tsɐn1	
俎	tsu2	
俏	tsʰiu1	
俐	lei6	
俐	li6	
俑	jʊŋ2	
俗	tsʊk8	
俘	fu1	
保	pau2	
俠	hɐp8	
信	sɐn1	
修	sɐu1	
俯	fu2	
俱	kʰui1	
俸	fʊŋ2	
俺	jam2	
倆	lœŋ2	姓氏
倉	tsʰɔŋ1	
個	kai1	
個	kə1	語流變讀
個	ku1	
倌	kun1	
倍	pʰui1	
倍	pʰui5	
倏	sʊk7a	
們	mun4	
倒	tau1	
倒	tau2	
倔	kut8	
倖	hɐŋ6	
倘	hɔŋ2	
候	hou6	
倚	ji2	
借	tsia1	
倡	tsʰœŋ1	
倦	kin6	
倩	sin6	
倪	ŋei4	
倫	lɐn4	
值	tsɪk8	
假	ka1	假如
假	ka2	放假
偉	wi2	
偉	wi5	
偎	wui1	
偏	pʰin1	
偕	kai1	
做	tsu6	
停	hɪŋ4	
健	kin6	
側	sɐk7a	邊側，地方
側	tsɪk7a	
偵	tsɪŋ1	
偶	ŋou1	
偷	hou1	
僞	ŋei6	
傀	fai1	傀儡
傀	kwi1	傀偉
傅	fu6	傅粉施朱
傍	pɔŋ6	依山傍水
傍	pɔŋ6	傍晚
傍	pʰɔŋ4	傍晚
傑	kit8	
傘	san1	
備	pi6	
傢	ka1	
催	tsʰui1	
傭	jʊŋ4	
傲	ŋau6	
傳	tsʰan4	
傳	tsʰun4	傳播
傳	tsun6	傳奇
債	tsai1	
傷	sœŋ1	
傻	su4	
傾	kʰɪŋ1	
僅	kɐn2	
像	tsœŋ6	
僑	kʰiu4	
僕	pʊk8	
僚	liu4	
僥	hiu1	僥倖
