#漢字	音標	解釋
抖	tou3	
抗	kʰaŋ5	
折	tʂɤ1	折断
折	ʂɤ2	弄折了
撫	fu3	
抛	pʰɔ1	
摳	kʰou1	
搶	tɕʰiaŋ3	
護	xu5	
報	pɔ5	
披	pʰei1	
抬	tʰɛ2	
抱	pɔ5	
抵	ti3	
抹	ma1	2
抹	ma3	抹布，抹桌子
抹	mo3	
押	ia1	
抽	tsʰou1	
抿	min3	
拄	tʂu3	拄拐杖
担	tan1	担任
担	tan5	挑担
拆	tsʰɛ1	开
拇	mu3	
拈	niɛn1	拈起来
拉	la1	
拌	pan5	
拍	pʰɛ1	打
拎	lin1	
拒	tɕy5	
拔	pa2	
拖	tʰuo1	
拘	tɕy1	
拙	tʂuo1	
拚	pʰan5	拚命
招	tʂɔ1	
拜	pɛ5	
擬	ni3	
攏	loŋ3	
揀	tɕiɛn3	
擁	yuŋ3	
攔	lan2	
撥	po1	
擇	tsɛ2	择菜，选择
括	kʰuo1	包括
拯	tʂəŋ3	拯救
拱	koŋ3	拱手
拳	tɕʰyɛn2	
拴	ʂuan1	
拼	pʰin1	
拽	iɛ5	拖
拽	tʂuɛ5	拉
拾	ʂʅ2	拾起来
拿	na2	
持	tʂʰʅ2	
挂	kua5	
指	tʂʅ3	
按	ɣan5	
挑	tʰiɔ1	
挖	ua1	
挾	ɕiɛ2	挟菜
撓	nɔ2	
擋	taŋ3	阻挡
擠	tɕi3	
揮	xuei1	
挨	ɛ1	挨近，挨住
挪	nuo2	
振	tʂən5	
挺	tʰiŋ3	
挽	uan3	
捅	tʰoŋ3	捅破了
捉	tʂuo1	
捋	ly3	捋袖
捎	ʂɔ1	捎带
捏	niɛ1	
捐	tɕyɛn1	
捕	pu2	
撈	lɔ1	
損	ɕyn3	
換	xuan5	
捧	pʰəŋ3	
据	tɕy5	
捱	ɛ2	捱打，捱骂
捷	tɕiɛ2	
捺	na5	撇捺
捻	niɛn3	以指捻碎
掀	ɕiɛn1	
掂	tiɛn1	掂掇
掇	tuo1	拾掇，两手掇起
掇	tuo1	掂掇
授	ʂou5	
掉	tiɔ5	
掌	tʂaŋ3	
掏	tʰɔ1	掏出来
掐	tɕʰia1	
排	pʰɛ1	
掘	tɕyɛ2	
掠	lyɛ1	
探	tʰan5	试探，侦探
接	tɕiɛ1	
控	kʰoŋ5	
推	tʰei1	
掩	iɛn3	
措	tsʰuo5	措施
掫	tsou1	望上掫
掬	tɕy1	一掬，一捧
掭	tʰiɛn5	掭笔
掮	tɕʰiɛn2	
掰	pɛ1	用手掰开
擲	tʂʅ5	
撣	tan3	鸡毛掸子
揉	ʐou2	
描	miɔ2	
提	tʰi2	
插	tʂʰa1	
揖	i1	作揖
揞	ɣan5	手覆，揞住
握	uo1	
揢	tɕʰia2	捕，捉，拿住
揣	tʂʰuɛ3	揣度
揩	kʰɛ3	
揪	tɕiou1	一把揪住
揭	tɕiɛ1	
援	yɛn2	援救
攬	lan3	
撳	tɕʰin5	按
攙	tʂʰan1	
擱	kɤ1	
摟	lou1	搂取
摟	lou3	抱
攪	tɕiɔ3	
搉	tɕʰyɛ5	击，搉蒜
搊	tʂʰou1	搊起来
搓	tsʰuo3	
搛	tɕiɛn1	搛菜
搜	sou1	
搜	sou1	搜集
搞	kɔ3	
搡	saŋ3	
搨	tʰa5	搨本
搬	pan1	
搭	ta1	
携	ɕiɛ2	
搽	tsʰa2	
攝	ʂɤ5	
摆	pɛ3	
摇	iɔ2	
攤	tʰan1	
摔	ʂuɛ1	
摘	tsɛ1	
摞	luo5	摞起来
摩	mo2	
摸	mo1	
摹	mo2	摹仿
摺	tʂɤ2	摺曡
撇	pʰiɛ3	撇捺，撇开
撑	tʂʰəŋ1	
撒	sa3	撒手，撒种
撕	sɿ1	
撙	tsuen3	
撞	tʂuaŋ5	
撤	tʂʰɤ5	
撩	liɔ1	撩起来
撮	tsʰuo1	一撮米
撰	tʂuan5	
攆	niɛn3	
撼	xan5	
擀	kan3	擀面
操	tsʰɔ1	操作，操演
擎	tɕʰiŋ2	
擒	tɕʰin2	
擖	kʰa1	
擦	tsʰa1	
擩	ʐu3	擩进去
攀	pʰan1	
攋	lɛ5	把攋
攢	tsan3	积攒
攘	ʐaŋ3	
攮	naŋ3	用刀子攮
支	tʂʅ1	
收	ʂou1	
改	kɛ3	
攻	koŋ1	攻击
放	faŋ5	
政	tʂəŋ5	
故	ku5	
效	ɕiɔ5	
敌	ti2	
敏	min3	
救	tɕiou5	
教	tɕiɔ1	教书
教	tɕiɔ1	教育，教他去
斂	liɛn3	
敝	pi5	
敢	kan3	
散	san3	鞋带散了
散	san5	分散
敦	tuen1	敦厚
敬	tɕiŋ5	
數	ʂuo3	1动词
數	ʂuo3	2动词
數	ʂu5	名词
數	ʂuo5	2名词
敲	tɕʰiɔ1	
整	tʂəŋ3	
敷	fu1	
文	uen2	
斋	tʂɛ2	
斑	pan1	
斗	tou3	
斗	tou5	
料	liɔ5	
斛	xu2	
斜	ɕiɛ1	
斟	tʂən1	
斤	tɕin1	
斥	tʂʰʅ5	
斧	fu3	
斬	tʂan3	
斷	tuan5	决断
斷	tuan5	断绝
斯	sɿ1	
新	ɕin1	
方	faŋ1	
施	ʂʅ1	
旁	pʰaŋ2	
旅	ly3	
旋	ɕyɛn2	
旋	ɕyɛn5	旋吃旋做
族	tsu2	
旗	tɕʰi2	
无	u2	
既	tɕi5	
日	ʐi1	
旦	tan5	
舊	tɕiou5	
旨	tʂʅ3	
早	tsɔ3	
旬	ɕyn2	
旱	xan5	
時	ʂʅ2	
曠	kʰuaŋ5	
旺	uaŋ5	兴旺，火旺
昂	aŋ2	
昆	kʰuen1	
昌	tʂʰaŋ1	
明	miŋ2	
昏	xuen1	
易	i5	交易
易	i5	
昔	ɕi1	
星	ɕiŋ1	
映	iŋ5	
春	tsʰuen1	
昧	mei5	
昨	tsuo2	
昭	tʂɔ1	
是	ʂʅ5	
晝	tʂou5	
顯	ɕiɛn3	
晃	xuaŋ3	晃眼
晉	tɕin5	
晌	ʂaŋ3	晌午
晏	iɛn5	晚也
曬	ʂɛ5	
曉	ɕiɔ3	
暈	yn1	
晚	uan3	
晦	xuei5	
晨	tʂʰən2	
普	pʰu3	
景	tɕiŋ3	
晴	tɕʰiŋ2	
晶	tɕiŋ1	
智	tʂʅ5	
暫	tʂan5	
暇	ɕia2	
暑	ʂu3	
暖	nuan3	
暗	ɣan5	
暮	mu5	
暴	pɔ5	
曝	pʰɔ5	
曩	naŋ3	
曰	yɛ1	
曲	tɕʰy1	酒曲
曲	tɕʰy3	曲折，歌曲
更	kəŋ1	更换，五更
更	kəŋ5	更加
曹	tsʰɔ2	
曾	tsəŋ1	姓
曾	tsʰəŋ2	曾经
替	tʰi5	
最	tsuei5	
月	yɛ1	
有	iou3	
朋	pʰəŋ2	
服	fu2	
朔	ʂuo5	
朗	laŋ3	
望	uaŋ5	
朝	tsɔ1	今朝
朝	tʂʰɔ2	朝代
期	tɕʰi1	时期
木	mu1	
未	uei5	
末	mo1	
本	pən3	
札	tʂa1	用针札
札	tʂa2	
术	tʂu2	白朮，苍朮
术	ʂu2	
朱	tʂu1	
朴	pʰu3	
朵	tuo3	
机	tɕi1	
朽	ɕiou3	
殺	ʂa1	
雜	tsa2	
權	tɕʰyɛn2	
杆	kan3	
杈	tʂʰa5	枝杈
杉	ʂan1	
杌	u5	杌子，杌凳
李	li3	
杏	xəŋ5	
杏	ɕəŋ5	
材	tsʰɛ2	
村	tsʰuen1	
杖	tʂaŋ5	
杜	tu5	
杞	tɕʰi3	
束	su5	
杠	kaŋ5	
條	tʰiɔ2	
來	lɛ2	
楊	iaŋ2	
杭	xaŋ2	
杯	pei1	
杰	tɕiɛ2	
杳	iɔ3	杳无音信
杵	tʂʰu3	
杷	pʰa2	枇杷
松	soŋ1	
板	pan3	
极	tɕi2	
構	kou5	
枇	pʰi2	枇杷
枉	uaŋ3	
析	ɕi1	
枕	tʂən3	
枕	tʂən3	动词
林	lin2	
枚	mei2	
果	kuo3	
枝	tʂʅ1	
樞	ʂu1	
棗	tsɔ3	
槍	tɕʰiaŋ1	
楓	fəŋ1	
枯	kʰu1	
枵	ɕiɔ1	
架	tɕia5	
柄	piŋ3	
柏	pɛ3	
某	mou3	
柑	kan1	
染	ʐan3	
柔	ʐou2	
柚	iou5	
柜	kei5	
柞	tsuo5	橡树
查	tʂʰa2	山查
查	tʂʰa2	调查
柩	tɕiou5	
柬	tɕiɛn3	
柱	tʂu5	
柳	liou3	
柴	tsʰɛ2	
柺	kuɛ3	
柿	ʂʅ5	
梔	tʂʅ5	栀子花
柵	tʂa5	栅栏
標	piɔ1	
棧	tsan5	
棟	toŋ5	
欄	lan2	
樹	ʂu5	
栖	tɕʰi1	
栗	li5	
校	tɕiɔ5	校对
校	ɕiɔ5	学校
校	ɕiɔ5	上校
株	tʂu1	
样	iaŋ5	
核	xu2	果子核
核	xɛ2	
核	xɛ2	审核
根	kən1	
格	kɤ2	
栽	tsɛ1	
栿	fu2	梁
桂	kuei5	
桃	tʰɔ2	
桄	kuaŋ5	一桄线
桅	uei2	船桅杆
案	ɣan5	
桌	tsuo1	
桐	tʰoŋ2	
桑	saŋ1	
桓	xuan2	
椏	ia1	桠杈
橈	ʐɔ2	桨
橋	tɕʰiɔ2	
樺	xua5	桦树
檜	xuei5	
槳	tɕiaŋ3	
樁	tʂuaŋ1	
桶	tʰoŋ3	
梁	liaŋ2	
梅	mei2	
梓	tsɿ3	
梗	kəŋ3	梗子，茎
梢	ʂɔ1	树梢
夢	məŋ5	
梧	u1	梧桐
梨	li2	
梭	suo1	织布梭
梯	tʰi1	
械	ɕiɛ5	
梳	ʂuo1	梳头
檢	tɕiɛn3	
棉	miɛn2	
棋	tɕʰi2	
棌	tsʰɛ3	橡树
棍	kuen5	
棒	pʰaŋ5	
棕	tsoŋ1	
棚	pʰəŋ2	
棠	tʰaŋ2	
森	sən1	
棵	kʰuo1	
棹	tʂɔ5	桨
棺	kuan1	
椅	i3	
植	tʂʅ2	
椒	tɕiɔ1	
橢	tʰuo2	椭圆
椴	tuan5	
椽	tʂʰuan2	
椿	tsʰuen1	椿树
楔	ɕiɛ1	楔子，楔橛子
楚	tʂʰuo3	
楝	liɛn5	楝树
楞	ləŋ5	
楣	mei2	
楦	ɕyɛn5	鞋楦
楷	kʰɛ3	
樓	lou2	
概	kɛ5	
欖	lan3	橄榄
榆	y2	
榛	tʂən1	
榜	paŋ3	
榧	fei2	榧子
榨	tʂa5	榨油
榫	suen3	榫头
榴	liou2	石榴
榻	tʰa5	
槌	tʂʰuei2	
槐	xuɛ2	
檳	piŋ1	槟榔
槽	tsʰɔ2	马槽
樟	tʂaŋ1	
模	mo2	模范
模	mu3	模子
橫	xəŋ2	横直
橫	xəŋ5	蛮横
櫻	iŋ1	樱桃
樵	tɕʰiɔ2	
橄	kan3	橄榄
橘	tɕy2	
橙	tʂʰəŋ2	
橙	tʂʰəŋ2	橙子
橛	tɕyɛ2	橛子
橡	ɕiaŋ5	橡树
櫓	lu3	
檀	tʰan2	
檐	iɛn2	
檗	po5	黄檗（柏），药名
檁	lin3	
欛	pa3	2柄
欛	pa5	柄
欠	tɕʰiɛn5	
次	tsʰɿ5	
歡	xuan1	
欣	ɕin1	
歐	ou1	
欲	y5	
欺	tɕʰi1	
款	kʰuan3	
歇	ɕiɛ1	
歉	tɕʰiɛn5	
歌	kɤ3	
止	tʂʅ3	
正	tʂəŋ1	正月
正	tʂəŋ5	
此	tsʰɿ3	
步	pu5	
武	u3	
歪	uɛ1	
死	sɿ3	
殲	tɕiɛn1	歼灭
殃	iaŋ1	
殆	tɛ5	
殉	ɕyn5	
殊	ʂu1	
殘	tsʰan2	
殮	liɛn5	
殕	fou3	食上生白毛
殖	tʂʅ2	
殯	pin5	
毆	ou3	
段	tuan5	
殷	in1	
殿	tiɛn5	
毁	xuei3	
毅	i5	
母	mu3	
每	mei3	
毒	tu2	
比	pi3	比較
畢	pi5	
斃	pi5	
毛	mɔ2	
毡	tʂan1	
毫	xɔ2	
毯	tʰan3	
氏	ʂʅ5	
民	min2	
气	tɕʰi5	
水	suei3	
永	yuŋ2	
汀	tʰiŋ1	
汁	tʂʅ1	
求	tɕʰiou2	
汆	tsʰuan1	汆丸子
汇	xuei5	
漢	xan5	
汗	xan5	
汝	ʐu3	
汞	koŋ3	
江	tɕiaŋ1	
池	tʂʰʅ2	
污	u1	
湯	tʰaŋ1	
汪	uaŋ1	一汪水
汴	piɛn5	
汽	tɕʰi5	
沂	i2	沂河
沃	uo5	
沈	ʂən3	
沉	tʂʰən2	
沌	tuen5	
沓	tʰa5	一沓纸
沙	ʂa1	
沛	pʰei5	
沟	kou1	
沒	mo5	沉没，没有
漚	ou5	久浸水中
淪	luen2	
滬	xu5	
沫	mo1	
河	xɤ2	
油	iou2	
治	tʂʅ5	
沼	tʂɔ3	池沼，沼气
沾	tʂan1	
沿	iɛn2	
泄	ɕiɛ5	泄漏
泅	tɕʰiou2	游水
泉	tɕʰyɛn2	
泊	po2	梁山泊
泊	po2	
泌	mi5	
泔	kan1	泔水
法	fa3	方法，法子
泛	fan5	
泡	pʰɔ5	
泡	pʰɔ5	泡在水里
波	po1	
泣	tɕʰi5	
泥	ni2	
注	tsu5	
注	tʂu5	
淚	lei5	
泰	tʰɛ5	
泳	yuŋ2	
瀉	ɕiɛ5	
潑	pʰo1	
澤	tsɤ2	
洁	tɕiɛ2	
洇	in1	
洋	iaŋ2	
洒	sa3	
洗	ɕi3	
洛	luo1	
洞	toŋ5	
津	tɕin3	
洪	xoŋ2	
洲	tʂou1	
活	xuo2	
洼	ua5	
洽	tɕʰia5	
派	pʰɛ5	
流	liou2	
淺	tɕʰiɛn3	
漿	tɕiaŋ1	
澆	tɕiɔ1	
濁	tʂuo2	
測	tsʰɛ1	
濟	tɕi5	
渾	xuen2	浑浊
滸	xu2	水浒
濃	noŋ2	
浙	tʂɤ1	
浚	ɕyn5	浚河
浜	paŋ1	一条浜
浞	tʂuo2	水湿
浦	pʰu3	
浩	xɔ5	
浪	laŋ5	
浮	fu2	
浴	y1	
海	xɛ3	
浸	tɕin5	
涂	tʰu2	
消	ɕiɔ1	
涉	ʂɤ5	
涌	yuŋ3	
涎	ɕiɛn2	
涕	tʰi5	鼻涕
濤	tʰɔ1	
澇	lɔ5	旱涝
潤	yn5	
澗	tɕiɛn5	
漲	tʂaŋ3	
澀	sɤ5	
涮	ʂuan5	涮洗
涯	ia2	天涯
液	iɛ1	
涴	uo5	弄脏
涿	tsuo1	涿县，涿鹿
淆	ɕiɔ2	
淋	lin2	淋漓，淋湿
淑	ʂu1	
淘	tʰɔ2	淘米
淡	tan5	
淤	y1	
淫	in2	
淮	xuɛ2	
深	ʂən1	
混	xuen2	相混，混沌
淹	iɛn1	
添	tʰiɛn1	
清	tɕʰiŋ1	
淵	yɛn1	
漸	tɕiɛn5	
澠	miɛn3	渑池
漁	y2	
滲	ʂən5	水渗透
渠	tɕʰy2	他
渡	tu5	
渣	tʂa1	
溫	uen1	
港	kaŋ3	港口
渴	kʰɤ3	
游	iou2	
渺	miɔ3	
湖	xu2	
湘	ɕiaŋ1	
灣	uan1	
溼	ʂʅ1	
潰	kʰuei5	溃脓
濺	tɕiɛn5	溅一身水
溉	kɛ5	
源	yɛn2	
溜	liou5	
溪	ɕi1	
溺	ni5	溺死
溻	tʰa1	汗溻湿了
滂	pʰaŋ2	滂沱
滋	tsɿ1	
滑	xua2	
滓	tsɿ3	
滔	tʰɔ1	
滾	kuen3	
滯	tʂʅ5	停滞，积滞
滿	man3	
濾	ly5	
濫	lan5	
灘	tʰan1	
滴	ti1	
漂	pʰiɔ3	
漂	pʰiɔ5	漂亮
漆	tɕʰi1	
漏	lou5	
演	iɛn3	
漤	lan3	漤柿子，漤菜
漫	man5	
漱	su5	漱口
潘	pʰan1	
潛	tɕʰiɛn2	
潭	tʰan2	
潮	tʂʰɔ2	
潲	ʂɔ5	猪食
潲	ʂɔ5	潲雨
澄	tʂʰəŋ2	
澄	təŋ5	水浑，澄一澄
澡	tsɔ3	
激	tɕi1	
瀑	pʰu5	瀑布
灌	kuan5	
灒	tsan5	溅
火	xuo3	
滅	miɛ1	
灯	təŋ1	
灰	xuei1	
灵	liŋ2	
灶	tsɔ5	
灸	tɕiou3	针灸
灾	tsɛ1	
燦	tsʰan5	
爐	lu2	
炊	tsʰuei1	
炎	iɛn2	
炒	tʂʰɔ3	
炕	kʰaŋ5	
炙	tʂʅ5	
炭	tʰan5	
炮	pʰɔ5	枪炮
炸	tʂa1	炸弹
炸	tʂa2	用油炸
點	tiɛn3	
爛	lan5	
烈	lɛ1	
烊	iaŋ2	融化
烘	xoŋ1	烘干
烙	luo1	
烛	tʂu2	
烟	iɛn1	
烤	kʰɔ3	
煩	fan2	
燒	ʂɔ1	
燙	tʰaŋ5	
熱	ʐɤ1	
烹	pʰəŋ1	
焉	iɛn1	心不在焉
焊	xan5	銲铁壶
焌	tɕyn5	火焌手了
煥	xuan5	
焙	pei5	焙干
焚	fən2	
焦	tɕiɔ1	
焯	tʂʰɔ1	把菜放在开水里焯焯
焰	iɛn5	
然	ʐan2	
煎	tɕiɛn1	
煤	mei2	
照	tʂɔ5	
煨	uei1	
煮	tʂu3	
熄	ɕi1	
熊	ɕyoŋ2	
熏	ɕyn1	
熔	ʐoŋ2	
熙	ɕi1	
熟	ʂu2	煮熟，熟悉
熥	tʰəŋ1	把包子熥熥
熨	yn5	
熬	ɔ2	
燃	ʐan2	
燎	liɔ2	
燎	liɔ3	火燎眉毛
燕	iɛn1	燕京，姓
燕	iɛn5	燕子
爆	pɔ5	
爪	tʂua3	爪牙，爪子
爬	pʰa2	
愛	ɛ5	
爵	tɕyɛ2	
父	fu5	
爺	iɛ2	
爸	pa5	
爹	tiɛ1	
爽	ʂuaŋ3	
爿	pʰan2	
牀	tʂʰuaŋ2	
片	pʰiɛn5	
版	pan3	
牌	pʰɛ2	筏
牘	tu3	
牒	tiɛ2	
牙	ia2	
牚	tʂʰəŋ5	椅子牚儿
牛	niou2	
牡	mu3	
牢	lɔ2	
牧	mu1	
物	u1	
牯	ku3	
牲	ʂəŋ1	
牽	tɕʰiɛn1	
牸	tsɿ5	牝牛
特	tʰɤ1	
犧	ɕi1	
犀	ɕi1	
犁	li2	
犢	tu2	牛犊子
犍	tɕiɛn1	犍为县
犍	tɕiɛn5	犍子
犒	kʰɔ5	
犬	tɕʰyɛn3	
犯	fan5	
狀	tʂuaŋ5	
犹	iou2	
狂	kʰuaŋ2	
狄	ti2	
狍	pʰɔ2	
狐	xu2	
狗	kou3	
狡	tɕiɔ3	
獨	tu2	
狹	ɕia2	
獅	ʂʅ1	
獄	y1	
狸	li2	狸猫
狼	laŋ2	
猎	liɛ5	
猛	məŋ3	
猜	tsʰɛ1	
猝	tsʰu5	仓猝
豬	tʂu1	
貓	mɔ2	
猬	uei5	
獻	ɕiɛn5	
猴	xou2	
猾	xua2	狡猾
獺	tʰa3	水獭
玄	ɕyɛn2	
率	ly5	速率
率	ʂuɛ5	率领
玉	y5	
王	uaŋ2	
玩	uan2	古玩，游玩
環	xuan2	
現	ɕiɛn5	
璽	ɕi3	
玻	po1	玻璃
珊	ʂan1	
珍	tʂən1	
珠	tsu1	
班	pan1	
球	tɕʰiou2	
理	li3	
琉	liou2	琉璃
瑣	suo3	琐碎
琢	tsuo2	
琴	tɕʰin2	
琵	pʰi2	琵琶
琶	pʰa2	琵琶
瓊	tɕʰyuŋ2	
瑕	ɕia2	
瑞	ʐuei5	
瑟	sɤ5	
璃	li2	玻璃
璧	pi5	
璺	uen5	裂璺
瓜	kua1	
瓠	xu5	瓠子，瓠瓜
瓢	pʰiɔ2	
瓣	pʰan5	
瓤	ʐaŋ2	瓜瓤
瓦	ua3	
瓦	ua5	动词
瓮	uoŋ5	
甌	ou1	
瓶	pʰiŋ2	
瓷	tsʰɿ2	
甘	kan1	
甚	ʂən5	
甜	tʰiɛn2	
生	ʂəŋ1	
甥	ʂəŋ1	
用	kʰa1	
用	yuŋ5	
甫	fu3	
甬	yuŋ3	甬道
田	tʰiɛn2	
由	iou2	
甲	tɕia3	
申	ʂən1	
電	tiɛn5	
男	nan2	
畫	xua5	
暢	tʂʰaŋ5	
界	tɕiɛ5	
畏	uei5	
留	liou2	
畜	tʂʰu5	畜牲
畜	ɕy5	畜牧
略	lyɛ1	
畦	tɕʰi2	菜畦
番	fan1	几番
疃	tʰuan3	
疆	tɕiaŋ1	
疏	ʂu1	注疏
疏	ʂuo1	疏远
疑	i2	
疔	tiŋ1	
療	liɔ5	
疝	ʂan5	疝气
瘧	nyɛ5	疟疾，发疟子
瘍	iaŋ2	溃疡
疤	pa2	
疥	tɕiɛ5	
疫	i5	
瘡	tsʰuaŋ1	
瘋	fəŋ1	
疲	pʰi2	
疵	tsʰɿ1	吹毛求疵
疹	tʂən3	
疼	tʰəŋ2	
疾	tɕi2	
疿	fei5	疿子
痂	tɕia1	
病	piŋ5	
症	tʂəŋ5	
癰	yuŋ1	
痒	iaŋ3	
痔	tʂʅ5	
痕	xən2	
痛	tʰoŋ5	
痢	li5	
痣	tʂʅ5	
痰	tʰan2	
痲	ma2	
痴	tʂʰʅ1	
痹	pi5	麻痹
瘊	xou2	瘊子
瘌	lɛ5	
瘟	uen1	
瘦	sou5	
瘰	luo3	瘰癧
瘴	tʂaŋ5	瘴气
瘸	tɕʰyɛ2	瘸腿
癩	lɛ5	
癬	ɕyɛn3	
癸	kuei3	
登	təŋ1	
白	pɛ2	
百	pɛ3	
皂	tsɔ5	
的	ti3	目的
皆	tɕiɛ1	
皇	xuaŋ2	
皖	uan3	安徽
皮	pʰi2	
皺	tsou5	
皴	tsʰuen1	脸皴
皿	min3	
盂	y2	
盅	tʂoŋ1	
盆	pʰən2	
盈	iŋ2	
益	i5	
盞	tʂan3	
鹽	iɛn1	腌
鹽	iɛn2	
監	tɕiɛn1	监察，监视，监牢
監	tɕiɛn1	国子监
盒	xɤ2	烟盒
盔	kʰuei1	
盖	kɛ5	
盜	tɔ5	
盤	pʰan2	
盛	tʂʰəŋ2	盛满了
盛	ʂəŋ5	兴盛
盟	məŋ2	
目	mu1	
盲	maŋ2	
直	tʂʅ2	
相	ɕiaŋ1	互相
相	ɕiaŋ5	相貌
盼	pʰan5	
盾	tuen5	矛盾，赵盾
盾	tuen5	矛盾
省	ʂən3	省长
省	ʂəŋ3	节省
省	ɕiŋ3	反省
眉	mei2	
看	kʰan1	看守
看	kʰan5	看见
瞘	kʰou1	眼眍
真	tʂən1	
眠	miɛn2	
眨	tʂa3	眨眼
眩	ɕyɛn5	
眵	tʂʰʅ1	眼眵
眶	kʰuaŋ5	眼眶
眷	tɕyɛn5	
眼	iɛn3	
着	tʂuo2	着衣
着	tʂuo2	睡着，附着
着	tʂu5	显著
睜	tʂəŋ1	
睛	tɕiŋ1	眼睛
睡	ʂei5	
督	tu1	
睬	tsʰɛ3	
瞎	ɕia1	
瞒	man2	
瞖	i5	目瞖
瞧	tɕʰiɔ2	
瞪	təŋ5	瞪眼
瞳	tʰoŋ2	
瞻	tʂan1	
瞿	tɕʰy2	
矁	tʂʰou3	
矛	mɔ2	
矢	ʂʅ3	
矣	i3	
知	tʂʅ1	
矩	tɕy3	规矩
矯	tɕiɔ3	矫诈
矬	tsʰuo2	矮
短	tuan3	
矮	ɛ3	
石	ʂʅ2	
礬	fan2	
礦	kʰuaŋ5	
碼	ma3	码子
砌	tɕʰi5	
砍	kʰan3	
砑	ia5	砑平
研	iɛn2	
磚	tʂuan1	
硯	iɛn5	
破	pʰo5	
礎	tʂʰu3	柱下石
硝	ɕiɔ1	
硫	liou2	硫黄
硬	ɣəŋ5	
确	tɕʰyo1	
礙	ɛ5	
碎	suei5	
碑	pei3	
碓	tuei5	
碗	uan3	
碟	tiɛ2	
碧	pi5	
鹼	tɕiɛn3	
碾	niɛn3	
磁	tsʰɿ2	磁石
磉	saŋ3	柱下石
磑	uei5	磨，研
磕	kʰɤ1	
磨	mo2	磨刀
磨	mo5	磨面，石磨
磬	tɕʰiŋ5	钟磬
磷	lin2	
礓	tɕiaŋ1	礓石
示	ʂʅ5	
禮	li3	
社	ʂɤ5	
祀	sɿ5	祭祀
祈	tɕʰi2	
祐	iou5	
祖	tsu3	
祝	tʂu5	
神	ʂən2	
祠	tsʰɿ2	
祥	ɕiaŋ2	
票	pʰiɔ5	车票
祭	tɕi5	
禱	tɔ3	
禍	xuo5	
禀	piŋ3	
禁	tɕin5	禁不住
禁	tɕin5	禁止
禄	lu5	
禪	tʂʰan2	禅宗
禪	ʂan5	禅让
福	fu2	
禹	y3	
离	li2	离开半寸
离	li3	离别
禽	tɕʰin2	
禾	xɤ2	
秀	ɕiou5	
私	sɿ1	
禿	tʰu1	
秆	kan3	稻秆
秉	piŋ3	
秋	tɕʰiou1	秋天
秋	tɕʰiou1	秋千
种	tʂoŋ3	种类
种	tʂoŋ5	种树
科	kʰɤ1	
秒	miɔ3	
秕	pi3	秕子，秕穀
秘	mi5	
租	tsu2	
秤	tʂʰəŋ5	一杆秤
秦	tɕʰin2	
秧	iaŋ1	
秩	tʂʅ5	
秫	ʂu2	
积	tɕi1	
稱	tʂʰəŋ1	称呼，称重量
稱	tʂʰən5	相称
秸	tɕiɛ2	麦稭
移	i2	
穢	xuei5	
稀	ɕi1	
稆	ly3	野生
程	tʂʰəŋ2	
稍	ʂɔ1	
稅	ʂuei5	
稗	pɛ5	
稙	tʂʅ2	早种禾
稚	tʂʅ5	幼稚
稠	tʂʰou2	
穩	uen3	
稻	tɔ5	
稼	tɕia3	
稽	tɕi1	
稿	kɔ3	
穀	ku3	
穄	tɕi5	穄子
穆	mu1	
穗	suei5	
穰	ʐaŋ2	禾茎
穴	ɕyɛ2	
究	tɕiou1	
窮	tɕʰyuŋ2	
空	kʰoŋ1	空虚
空	kʰoŋ5	空缺
穿	tʂʰuan1	
突	tʰu1	
窄	tsɛ3	
竅	tɕʰiɔ5	
窖	tɕiɔ5	
窗	tʂʰuaŋ1	
窘	tɕyuŋ3	
竄	tsʰuan5	
窩	uo1	
窟	kʰu1	窟窿
窠	kʰɤ1	
窺	kʰuei1	
窨	in5	地窨子
窰	iɔ5	
立	li5	
豎	ʂu5	
站	tsan5	立
站	tʂan5	车站
競	tɕiŋ5	
竟	tɕiŋ5	
章	tʂaŋ1	
童	tʰoŋ2	
端	tuan1	
竹	tsu2	
竿	kan1	竹竿
篤	tu3	
笊	tʂɔ5	笊篱
笋	ɕyn3	
笑	ɕiɔ5	
笔	pei1	
筧	tɕiɛn3	以竹通水
笙	ʂəŋ1	
笛	ti2	
笠	li5	
笡	tɕʰiɛ5	斜
符	fu2	
笨	pən5	
第	ti5	
箋	tɕiɛn1	
籠	loŋ2	
等	təŋ3	
筋	tɕin1	
筏	fa2	
筐	kʰuaŋ1	
筑	tsu5	
筒	tʰoŋ3	
答	ta2	
策	tsʰɤ1	
篩	ʂɛ1	筛子
箏	tʂəŋ1	
筵	iɛn2	
筷	kʰuɛ5	
籌	tʂʰou2	
签	tɕʰiɛn1	
簡	tɕiɛn3	
箅	pi5	箅子
箍	ku2	
算	suan5	
管	kuan3	
籮	luo2	
簫	ɕiɔ1	
箭	tɕiɛn5	
箱	ɕiaŋ1	
箸	tʂu5	筷子
篅	tʂʰuan2	盛谷具
篆	tʂuan5	
篇	pʰiɛn1	
簍	lou3	
篙	kɔ1	进船竿
篡	tsʰuan5	
篦	pi5	
籃	lan2	
篱	li3	
篷	pʰəŋ2	
篾	miɛ5	竹篾
簟	tiɛn5	席
簧	xuaŋ2	锁簧
簪	tsan1	
簸	po5	簸一簸
簸	po5	簸箕
簿	pu5	
籍	tɕi1	
