#漢字	音標	解釋
關	kuan1	
興	ɕiŋ1	兴旺
興	ɕiŋ5	高兴
兵	piŋ1	
其	tɕʰi2	2
具	tɕy5	
典	tiɛn3	
兹	tsɿ1	
養	iaŋ3	
兼	tɕiɛn1	
獸	ʂou5	
冀	tɕi5	
內	nei5	
岡	kaŋ1	
冉	ʐan3	
冊	tsʰɛ1	
再	tsɛ5	
冒	mɔ5	
冗	ʐoŋ3	拨冗，冗长
寫	ɕiɛ3	
軍	tɕyn1	
農	noŋ2	
冠	kuan5	衣冠
冠	kuan5	冠军
冢	tʂuo3	2地名黄冢
冢	tʂoŋ3	
冤	yɛn1	
冬	toŋ1	
馮	fəŋ2	
冰	piŋ1	
冲	tʂʰoŋ1	
决	tɕyɛ2	
况	kʰuaŋ5	
冷	ləŋ3	
凍	toŋ5	
淨	tɕiŋ5	
准	tsuen3	
准	tʂuen3	
凉	liaŋ2	
凌	liŋ2	
減	tɕiɛn3	
湊	tsʰou5	
凝	niŋ2	
凝	niŋ2	汤凝成冻了
几	tɕi1	几乎
几	tɕi3	茶几
几	tɕi3	几个
凡	fan2	
鳳	fəŋ5	
凭	pʰiŋ2	
凱	kʰɛ3	
凳	təŋ5	
凶	ɕyoŋ1	凶吉
凶	ɕyoŋ1	凶恶
出	tsʰu1	
擊	tɕi1	
函	xan2	
鑿	tsɔ2	
刀	kʰa1	
刀	tɔ1	
刁	tiɔ1	
刃	ʐən5	
分	fən1	分开
切	tɕʰiɛ1	切开
刈	i5	
刊	kʰan1	
刎	uen3	
刑	ɕiŋ2	
划	xua5	
列	lɛ1	
劉	liou2	
則	tsɤ2	
剛	kaŋ1	
創	tsʰuaŋ5	
初	tʂʰuo1	
刪	ʂan1	
判	pʰan5	
刨	pʰɔ2	刨地
刨	pʰɔ2	
利	li5	
别	piɛ2	区别
别	piɛ2	离别
刮	kʰa1	
刮	kua1	
到	tɔ5	
制	tsɿ5	
制	tʂʅ5	
刷	ʂua1	
券	tɕʰyɛn5	
刺	tsʰɿ5	
刻	kʰɤ1	用刀刻
刻	kʰɤ5	时刻
劊	kei5	
剁	tuo5	
劑	tɕi5	一剂藥，面剂子
剃	tʰi5	
削	ɕyo1	
前	tɕʰiɛn2	
剮	kua3	
劍	tɕiɛn5	
剔	tʰi5	
剖	pʰɔ3	
剜	uan1	
剝	po1	
劇	tɕy5	剧烈
劇	tɕy5	戏剧
剩	ʂəŋ5	
剪	tɕiɛn3	
副	fu5	
割	kɤ1	
剿	tɕiɔ3	
劈	pʰi1	
劐	xuo1	用刀劐开
力	li1	
勸	tɕʰyɛn5	
辦	pʰan5	
功	koŋ1	
加	tɕia1	
務	u5	
劣	lyɛ1	
動	toŋ5	
助	tʂuo5	
努	nu3	
劫	tɕiɛ2	
勵	li5	
勁	tɕin5	劲敌
勁	tɕin5	有劲
勞	lɔ2	
勢	ʂʅ5	
勃	po2	
勇	yuŋ3	
勉	miɛn3	
勋	ɕyn1	
勒	lei1	
勘	kʰan2	勘误，勘探
募	mu5	
勤	tɕʰin2	
勺	ʂuo2	勺子
勺	ʂɔ2	2勺子
勾	kou1	
勾	kou5	勾当
勿	u5	
勻	yn2	
包	pɔ1	
化	xua5	
北	pei3	
匙	tʂʰʅ2	汤匙，钥匙
匠	tɕiaŋ5	
匡	kʰuaŋ1	
匣	ɕia2	箱匣
匪	fei2	
匹	pʰi3	一匹布，一匹马
區	tɕʰy1	区域
医	i1	
医	i5	
匾	piɛn3	
匿	ni5	
十	ʂʅ2	
千	tɕʰiɛn1	
升	ʂəŋ1	
午	u1	
半	pan5	
華	xua2	划船
華	xua2	中华
華	xua5	华山，姓
協	ɕiɛ2	
卑	pei3	
卒	tsu1	兵卒
卓	tʂuo2	
單	tan1	单独
單	ʂan5	姓
賣	mɛ5	
南	nan2	
博	po2	
卜	pʰu1	
占	tʂan5	占卜
占	tʂan5	
盧	lu2	
卤	lu3	
卦	kua5	
臥	uo5	
衛	uei5	
卯	mɔ3	
印	in5	
危	uei1	
即	tɕi5	
卻	tɕʰyo1	
卵	luan3	
卷	tɕyɛn3	卷起
卷	tɕyɛn5	
卸	ɕiɛ5	
卿	tɕʰiŋ1	
厂	tʂʰaŋ3	
廳	tʰiŋ1	
历	li5	
厲	li5	
壓	ia1	
厭	iɛn5	
廁	tsʰɛ1	厕所，茅厕
廁	tʂʰɛ1	厕所，茅厕
厘	li2	
厚	xou5	
原	yɛn2	
廂	ɕiaŋ1	
厥	tɕyɛ2	
厦	ʂa5	偏厦，前廊后厦
厦	ɕia5	厦门
廚	tsʰu1	
厮	sɿ1	
去	tɕʰy5	来去，去皮
縣	ɕiɛn5	
参	tsʰan1	
参	tsʰən1	参差
参	ʂən1	人参
又	iou5	
叉	tʂʰa1	
及	tɕi2	
友	iou3	
雙	ʂuaŋ1	
雙	ʂuaŋ1	双生
反	fan3	
发	fa1	
发	fa5	
叔	ʂu1	
取	tɕʰy3	
受	ʂou5	
變	piɛn5	
敘	ɕy5	
叛	pʰan5	
叟	sou3	
疊	tiɛ2	
口	kʰou3	
古	ku1	
句	tɕy5	
另	liŋ5	
叨	tɔ2	唠叨
叩	kʰou5	叩头
只	tsɿ1	
只	tʂʅ3	只有
叫	tɕiɔ5	
召	tʂɔ5	
可	kʰɤ3	
台	tʰɛ2	天台，台州打
台	tʰɛ2	
史	ʂʅ3	
右	iou5	
叶	iɛ1	
号	xɔ5	呼号
号	xɔ5	号数
司	sɿ1	
叹	tʰan5	
吁	y1	
吃	tʂʰʅ1	
各	kɤ1	
吆	iɔ1	吆喝
合	xɤ2	十合一升
合	xɤ2	
吉	tɕi2	
吊	tiɔ5	
同	tʰoŋ2	
名	miŋ2	
后	xou5	
吏	li5	
吐	tʰu3	吐痰
吐	tʰu5	嘔吐
向	ɕiaŋ5	
吓	ɕia5	吓一跳
吓	xɤ5	恐吓
吕	ly3	
君	tɕyn1	
吝	lin5	吝啬
吞	tʰuen1	
吟	in2	
吠	fei5	
吣	tɕʰin5	猫吣
否	fou3	
含	xan2	
听	tʰiŋ1	听见，听话
听	tʰiŋ1	听其自然
启	tɕʰi3	
吴	u2	
吵	tʂʰɔ3	
吸	ɕi1	
吹	tsʰuei1	
吻	uen3	
吼	xou3	
吾	u1	
呆	tɛ1	
呈	tʂʰəŋ2	
告	kɔ5	
嘔	ou3	呕吐
員	yɛn2	
周	tsou1	
味	uei5	
呼	xu1	
命	miŋ5	
和	xɤ2	和气
和	xuo5	和面
咎	tɕiou5	
咏	yuŋ2	
咒	tʂou5	
咨	tsɿ1	
咬	iɔ3	
咳	kʰɤ2	咳嗽
咸	ɕiɛn2	
咽	iɛn5	
哀	ɛ1	
品	pʰin3	
哄	xoŋ3	哄骗
哄	xoŋ5	
哈	xa1	
響	ɕiaŋ3	
啞	ia3	
噦	yɛ3	干哕
哥	kɤ1	
哪	na2	哪个
哭	kʰu1	
哲	tʂɤ2	
哽	kəŋ3	骨哽在喉
唆	suo1	囉唆
唐	tʰaŋ2	
嘮	lɔ2	唠叨
喚	xuan5	
售	ʂou5	
唯	uei3	
唱	tʂʰaŋ5	
唾	tʰuo5	唾液，唾沫
啄	tsuo2	
商	ʂaŋ1	
嗇	sɤ5	吝啬
囉	luo1	啰嗦
啼	tʰi2	
善	ʂan5	
喉	xou2	
喊	xan3	
喘	tʂʰuan3	
喜	ɕi3	
喝	xɤ1	喝酒
喝	xɤ5	喝采，吆喝
喧	ɕyɛn1	
噴	pʰən1	喷水
噴	pʰən5	喷香，喷嚏
喻	y5	
嗅	ɕiou5	用鼻嗅
嗅	ɕiou5	用鼻子闻
嗉	su5	鸟嗉子
嗓	saŋ3	
嗜	ʂʅ5	
嗣	sɿ5	
嗤	tʂʰʅ1	嗤笑
嗽	sou5	咳嗽
嘉	tɕia1	
噓	ɕy1	吹嘘
囑	tʂu2	
嘴	tsuei3	
噇	tʂʰuaŋ2	
噍	tɕiɔ5	牛倒噍
噎	iɛ1	噎住了
器	tɕʰi5	
囂	ɕiɔ1	
嚷	ʐaŋ3	
嚼	tɕyo2	
囊	naŋ2	
囚	tɕʰiou2	
四	sɿ5	
囝	nan1	
回	xuei2	
因	in1	
团	tʰuan2	
囤	tʰuen2	
囥	kʰaŋ5	藏
园	yɛn2	
困	kʰuen5	
囱	tsʰoŋ1	烟囱
圍	uei2	
固	ku5	
國	kuɛ1	
圖	tʰu2	
圓	yɛn2	
圈	tɕʰyɛn1	圆圈
圈	tɕyɛn5	猪圈
土	tʰu3	
圣	ʂəŋ5	
在	tsɛ5	
圭	kuei1	
地	ti5	
場	tʂʰaŋ2	
址	tʂʅ3	
均	tɕyn1	
坍	tʰan1	坍下来
坎	kʰan3	
坏	xuɛ5	
坐	tsuo5	
坑	kʰəŋ1	
块	kʰuɛ5	
堅	tɕiɛn1	
坛	tʰan2	
壩	pa5	堤
壩	pa5	平川
塢	u3	
墳	fən2	
墜	tsuei5	与堕异
坡	pʰo1	
坤	kʰuen1	
坦	tʰan3	
坪	pʰiŋ2	
坯	pʰei1	土坯
坳	ɔ5	山坳
垂	tʂʰuei2	
壠	loŋ3	
型	ɕiŋ2	
垒	lei3	
垛	tuo5	柴垛
垦	kʰən3	
墊	tiɛn5	垫钱
垮	kʰua3	
垵	an3	坑
埂	kəŋ3	田埂
埃	ɛ1	尘埃
埋	mɛ2	
城	tʂʰəŋ2	
域	y5	
