#漢字	音標	解釋
㝓	kʰap7	用器皿覆蓋、扣住
㞘	tək7	
㤢	jək7	動
㨃	tui3	
㵀	tsʰək8	
㶧	nat7	燙
㾓	ŋœ3	酸痛，軟
䁅	maŋ3	煩躁、情緒大
䁆	am3	偷窺，探望
䂿	tap8	捶打
䏱	kək8	膨脹、隆起；苦想； 憋
一	it7	
丁	tiaŋ1	男～
丁	teŋ1	
七	tsʰit7	
丈	tsʰɔŋ6	
三	ɬam1	
上	sɔŋ5	～去
上	sɔŋ6	～海
下	ha6	
不	put7	
丐	kɔi5	
丑	tsʰiu3	
且	tsʰa3	
且	tsʰɛ3	
丕	pʰi1	
世	sɛi5	
丘	hiu1	
丙	peŋ3	
丞	seŋ2	
丟	tiu1	
並	pʰeŋ6	
丫	a1	
中	tsəŋ1	～心
中	tsəŋ5	～獎
串	tsʰɔn5	
丹	tan1	
主	tsy3	
乃	nai5	
久	kiu3	
之	tsi1	
乎	hu2	
乏	vat8	
乒	peŋ1	
乖	kai1	
九	kiu3	
也	ja6	
乳	jy5	
乸	na5	
乾	kʰiɛn2	
乾	kɔn1	～濕
亂	lɔn6	
了	liɛu3	
事	sɛi6	
二	ŋi6	
于	jy2	
云	wun2	
互	hu6	
五	ŋu3	
井	tsiaŋ3	
些	ɬɛ1	
亞	a5	
亡	mɔŋ2	
亢	hɔŋ5	
交	kau1	
亥	hɔi6	
亥	jiɛn6	
亦	jek8	
亨	haŋ1	
享	hyœŋ3	
京	keŋ1	
亭	tʰeŋ2	
亮	lyœŋ6	
人	ŋin2	
什	sip8	
仁	ŋin2	
仃	teŋ1	
仆	pʰək7	
今	kim1	
今	kin1	
介	kai5	
仍	jeŋ2	
仔	tsɛi3	
仔	tɔi9	借自東莞話“仔”
仕	sɛi6	
他	kʰi9	
他	tʰa1	
仗	tsɔŋ5	打～
仗	tsʰɔŋ6	爆～
付	hu5	
仙	ɬiɛn1	
代	tʰɔi6	
令	leŋ2	～狐沖
令	leŋ6	命～
以	ji5	
仰	ŋɔŋ5	
仲	tsʰəŋ6	
件	kʰiɛn6	
任	ŋim6	
