#漢字	音標	解釋
㞎	pɔ3	屎～～
㰩	xᴀ1	篾制的扑蜻蜒用的器具
碽	kõ3	
䏵	mã1	
一	ʑi2	
丁	tĩ1	
七	tɕʰi2	
万	vã4	
丈	tsã4	
上	sã4	
下	ɕi1	地～
下	xɔ4	打一～；那～
下	ɕiɔ4	
不	pʉ2	
与	ʑi3	
丐	kᴀ4	
丑	tsʰɘ˞3	
專	tʃuɐ̃1	
且	tɕʰi3	
丘	tɕʰiɘ1	
丙	pĩ3	
業	ni2	
叢	tsʰõ2	
東	tõ1	
絲	sɿᵊ1	
丟	tiɘ1	
兩	liã3	
嚴	ʑiɛ2	
喪	sã1	
喪	sã4	～失
个	ko4	
丫	ʑiɔ1	
中	tsʉ1	人～
中	tsõ1	
中	tsõ4	
丰	fõ1	
串	tʃʰuɐ̃4	
臨	lĩ2	
丸	uɐ̃2	
丹	tã1	
爲	uɘi2	作～
爲	uɘi4	～什么
主	tsʉ3	
丽	li4	
舉	tɕi3	
乃	nᴀ3	
久	tɕiɘ3	
義	ʑi4	
烏	vʉ1	
乍	tsɔ4	
乎	xʉ1	
樂	lo2	快～
樂	ʑio2	音～
乒	pʰĩ1	
乓	pʰã1	
喬	tɕʰiɑ2	
乖	kuᴀ1	
乘	tsʰɐ̃2	～法
乘	tsʰɐ̃4	～车
乙	ʑi2	
九	tɕiɘ3	
乞	kʰɘi2	白
也	ʑi3	
習	ɕi2	
鄉	ɕiã1	
書	sʉ1	
買	mᴀ3	
亂	luɐ̃4	
乳	zʉ3	
乾	tɕʰiɛ2	～坤
了	liɑ3	～结
予	ʑi4	
爭	tsɐ̃1	
事	sɿᵊ4	
二	ɣɯ˞4	
于	ʑi2	
虧	kʰuɘi1	
雲	zĩ2	
互	xʉ4	
五	vʉ3	
亞	ʑiɔ4	
些	ɕi1	
亡	vã2	
交	tɕiɑ1	
亥	xᴀ4	
產	tsʰã3	
亨	xɐ̃1	
畝	mɘ˞3	
享	ɕiã3	
京	tsĩ1	
亭	tʰĩ2	
亮	liã4	
親	tsʰĩ1	～人
親	tsʰĩ4	～家
人	zɐ̃2	
什	sɿᵊ2	
仁	zɐ̃2	
僅	tsĩ3	
仆	pʰʉ2	
仇	tsʰɘ˞2	
仇	tɕʰiɘ2	姓
介	kᴀ4	
仍	zɐ̃3	
从	tsʰõ2	
倉	tsʰã1	
仕	sɿᵊ4	
他	tʰɔ1	文
他	tɘi1	白
仗	tsã3	炮～
仗	tsã4	打～
付	fʉ4	
仙	ɕiɛ1	
代	tᴀ4	
令	lĩ4	
以	ʑi3	
儀	ʑi4	
們	mɐ̃2	
仰	niã3	
仲	tsõ4	
件	tɕiɛ4	
價	tɕiɔ4	
任	zɐ̃2	姓
任	zɐ̃4	主～
份	fɐ̃4	
仿	fã3	
企	tɕi1	～业
伊	ʑi1	
伍	vʉ3	
伏	fʉ2	
伐	fɔ2	
休	ɕiɘ1	
衆	tsõ4	
優	ʑiɘ1	
伙	xo3	
會	kʰuᴀ4	～计
會	xuɘi4	～议
傘	sã3	
偉	uɘi3	
傳	tʃʰuɐ̃2	宣～
傳	tʃuɐ̃4	记～
傷	sã1	
倫	lõ2	
僞	uɘi4	
伯	pɘi2	
估	kʉ3	
伴	pã4	
伸	sɐ̃1	
伺	sɿᵊ4	
似	sɿᵊ4	
伽	kɔ1	
佃	tiɛ4	
但	tã4	
位	uɘi4	
低	ti1	
住	tsʉ4	
住	tĩ4	
