#漢字	音標	解釋
廩	lɪŋ	
廬	luə	
廳	tʰɪŋ	
延	iẽ	
廷	dɪŋ	
建	kiẽ	
廿	ȵiẽ	
弄	loŋ	
弋	iɐʔ	
式	seʔ	
弓	koŋ	
弓	kioŋ	
引	ɦɪŋ	
引	ɪŋ	
弗	foʔ	
弗	feʔ	
弘	ɦoŋ	
弟	di	徒弟di
弟	die	die弟郎
弦	ɦiẽ	
弦	ʑiẽ	
弱	ʑiɐʔ	
弱	ȵiɐʔ	
張	tɕiã	tɕiã張（姓氏）
張	tiã	量詞
張	tiã	千張tiã皮（豆製品）
張	tɕiã	tɕiã張仲景（姓名）
強	kʰiã	勉強kʰiã
強	ɡiã	ɡiã強盜
弼	bɐʔ	
彀	kəɯ	
彈	dã	
彈	tã	
彌	mi	
彎	uã	
彗	ue	
彝	ȵi	
形	ɦɪŋ	
彩	tsʰɐi	
彪	piɐɯ	
彬	pɪŋ	
彭	boŋ	
彭	bæ̃	
影	ɪŋ	
彷	fɔ̃	
彷	bɔ̃	
役	iʔ	
役	ioʔ	
彼	pi	
往	ɔ̃	
征	tsɪŋ	
待	dɐi	
很	xæ̃	
律	lɐʔ	
後	ɦəɯ	ɦəɯ後土（後土皇地）
後	u	u後頭
徐	ʑye	ʑye徐言
徐	zə	虛徐zə
徐	dʑye	dʑye徐（姓氏）
徑	kɪŋ	
徒	duə	duə徒弟
徒	dɐʔ	dɐʔ徒步
得	tɐʔ	tɐʔ得到
得	teʔ	曉得teʔ
徙	ɕi	
從	dzoŋ	
從	dʑioŋ	
御	ȵye	ȵye御賜
循	ʑioŋ	
微	ue	ue微信
微	mi	笑微微mi
微	vi	vi微波爐
德	tɐʔ	
徹	tɕʰiɐʔ	
徹	tsʰɐʔ	
徽	xue	
心	sɪŋ	
必	peʔ	
忌	ɡi	
忍	zɪŋ	zɪŋ忍受
忍	nɪŋ	nɪŋ忍讓
忒	tʰɐʔ	
忖	tsʰuə̃	
忖	tsʰɪŋ	tsʰɪŋ忖事
忖	tsʰuə̃	tsʰuə̃忖嬉
志	tɕi	
忘	moŋ	moŋ忘tsəɯ（忘記）
忘	mɔ̃	mɔ̃忘年
忙	miã	
忙	mɔ̃	
忝	tʰiẽ	
忠	tɕioŋ	
快	kʰuai	
念	ȵiẽ	
忽	xuɐʔ	
忾	xi	
忿	væ̃	
怒	nuə	
怕	pʰa	
怖	puə	
思	sə	
怠	dɐi	
怡	i	
急	kieʔ	
性	sɪŋ	
怨	yẽ	
怪	kuai	
怯	kʰiɐʔ	
恃	ʑi	
恍	xɔ̃	
恐	kʰioŋ	惶恐kʰioŋ
恐	kʰoŋ	kʰoŋ恐怖
恆	ɦæ̃	
恕	ɕye	
恘	kʰã	恘（凶）
恙	iã	
恢	kuɐi	
恤	ɕyɐʔ	
恥	tɕʰi	
恨	ɦæ̃	
恩	æ̃	
恭	kioŋ	kioŋ恭（姓氏）
恭	koŋ	koŋ恭喜
息	seʔ	
恰	kʰɐʔ	
恰	kʰiɐʔ	
悄	tɕʰiɐɯ	
悅	yɐʔ	
悉	seʔ	
悉	ɕyeʔ	
悔	xuɐi	
悟	ŋo	孫悟ŋo空
悟	ŋuə	覺悟ŋuə
悠	iəɯ	
患	ɦuã	
患	uã	
悲	pi	
悲	pue	
悴	dzue	
悵	tɕʰiã	
悶	moŋ	
悶	mæ̃	
情	dzɪŋ	
惑	ɦuɐʔ	
惜	sɐʔ	
惟	vi	
惟	ue	
惠	ue	
惡	uə	
惡	ɐʔ	
惰	do	
惱	nɐɯ	
想	ɕiã	
惹	ȵiẽ	
惻	tsʰɐʔ	
愁	ʑiɐɯ	
愈	ye	
愉	ye	
意	i	
愚	ȵye	
愛	ɐi	
感	kæ̃	
感	kã	
愧	ɡue	
愷	kʰai	
慈	zə	
態	tʰɐi	
慌	xɔ̃	
慎	zɪŋ	
慕	muə	
慕	mɐʔ	
慘	tsʰã	
慚	dzã	
慢	mã	
慣	kuã	
慧	ɦue	
慧	uɐi	
慨	kʰɐi	
慪	əɯ	
慫	soŋ	
慫	ʑioŋ	
慮	lye	
慰	ue	
慶	kʰɪŋ	
慷	kʰɔ̃	
憂	iəɯ	
憋	pieʔ	
憋	piɐʔ	
憎	tsæ̃	
憎	tsɪŋ	
憐	liẽ	
憑	bɪŋ	
憚	dã	
憚	dæ̃	
憤	fæ̃	
憨	xã	
憫	mɪŋ	
憲	xiẽ	
憶	i	
憾	ɦã	
懂	toŋ	
懇	kʰɪŋ	
懈	kai	
懈	xai	
應	ɪŋ	
懊	ɐɯ	
懲	dzɪŋ	
懵	moŋ	
懶	lã	
懷	uai	
懸	ɦyẽ	
懺	tsʰã	
懼	ɡye	
懿	i	
戀	liẽ	
戇	xæ̃	
戈	kua	kua戈戲
戈	ko	金戈ko
戈	kɐʔ	干戈kɐʔ
戊	muə	
戊	vuə	
戌	ɕyɐʔ	
戍	ɕyeʔ	
戎	zoŋ	
戎	ʑioŋ	眾戎ʑioŋ（藥材）
成	zɪŋ	
我	ŋa	ŋa我儂
我	ŋaa	ŋaa我儂（我們）
戒	kai	豬八戒kai
戒	ka	ka戒指
戒	ɡa	ɡa戒指
戕	ʑiã	
或	ɦuɐʔ	
戚	tsʰeʔ	
戟	kiɐʔ	
截	dʑiɐʔ	
戮	lɐʔ	
戰	tɕiẽ	
戰	tsã	
戲	xi	
戳	tɕʰiɐʔ	tɕʰiɐʔ戳pieʔ（性交、罵人）
戳	tsʰɐʔ	tsʰɐʔ戳心相
戳	tsʰoʔ	郵戳tsʰoʔ
戴	tai	tai戴（穿戴）
戴	tɐi	tɐi戴（姓氏）
戶	uə	
戽	xuə	
房	fɔ̃	
房	vɔ̃	
所	so	
扁	piẽ	
扇	ɕiẽ	
扇	sæ̃	
手	səɯ	səɯ手機
手	tɕʰye	衫手tɕʰye
才	zɐi	文才zɐi
才	dzɐi	dzɐi才子
打	ta	ta打架ta打蕩車（散步、遛彎）
打	tai	單字音
扔	zɪŋ	
扔	ʑye	
托	tʰɐʔ	
扛	kɔ̃	
扣	kʰiəɯ	
扭	ȵiəɯ	
扭	ȵiɐɯ	
扮	pã	
扯	tsʰəɯ	扯tsʰəɯ（拉）
扯	tsəɯ	扯tsəɯ（撕）
扳	pã	
扶	buə	buə扶梯
扶	vuə	vuə扶持
扶	fuə	fuə扶貧
批	pʰi	
扼	ŋɐʔ	
找	tsɐɯ	
承	zɪŋ	
技	ɡi	
抄	tsʰɐɯ	
把	pa	pa把手
把	pie	百把pie
抑	ieʔ	
抓	tsa	
投	dəɯ	
抖	təɯ	
抗	kʰɔ̃	
折	ʑiɐʔ	ʑiɐʔ折本
折	tɕiɐʔ	轉折tɕiɐʔ
折	tsɐʔ	tsɐʔ折紙戲
披	pʰi	
抬	dɐi	
抱	bɐɯ	
抱	buə	
抵	ti	
抹	mɐʔ	
押	ɐʔ	
抽	tsʰəɯ	
拂	fɐʔ	
拆	tsʰɐʔ	
拇	mɐʔ	
拇	moʔ	
拈	ȵiẽ	
拉	la	
拋	pʰɐɯ	
拍	pʰɐʔ	
拎	læ̃	
拐	kuai	
拒	ɡye	
拔	bɐʔ	
拖	tʰo	tʰo拖拉機
拖	tʰai	tʰai拖手
拗	ɐɯ	
拘	kye	
拙	tɕiɐʔ	
拚	pʰæ̃	
拚	pʰɪŋ	
拚	biẽ	
招	tɕiɐɯ	
拜	pai	
括	kʰuɐʔ	
括	kuɐʔ	
拯	tsɪŋ	
拱	kioŋ	星拱kioŋ
拱	koŋ	koŋ拱橋
拳	ɡyẽ	
拴	ɕyẽ	
拴	suã	
拼	pʰɪŋ	
拾	zɐʔ	
拾	ʑiɐʔ	
拿	na	
持	dʑi	
指	tɕi	tɕi指南針手指頭tɕi
指	tsəɯ	戒指tsəɯtsə指甲
按	æ̃	
挑	tʰiɐɯ	
挖	uɐʔ	
挖	ua	
挨	ŋai	ŋai挨駡
挨	ŋɐi	ŋɐi挨邊
挪	no	
振	tsɪŋ	
挺	tʰɪŋ	
挽	uã	
挾	ɡiɐʔ	
捅	tʰoŋ	
捆	kʰuə̃	
捉	tɕiɐʔ	
捋	luɐʔ	
捎	sɐɯ	
捎	ɕiɐɯ	
捏	ȵiɐʔ	
捐	kyẽ	
捕	buə	
捧	pʰoŋ	
捷	dʑiɐʔ	
捺	nɐʔ	
掀	xiẽ	
掂	tiẽ	
掃	sɐɯ	sɐɯ掃興
掃	suə	suə掃帚
掃	sɐɯ	sɐɯ掃描
掃	suə	suə掃地
掇	tɐʔ	
掇	tɕiɐʔ	
授	zəɯ	
掉	diɐɯ	
掌	tɕiã	
掏	dɐɯ	
掐	kʰɐʔ	
排	bai	
掘	kʰyɐʔ	
掘	ɡyɐʔ	
掛	kua	
掠	liɐʔ	
探	tʰã	勘探tʰã
探	tʰæ̃	窥、张、望
接	tɕiɐʔ	
控	kʰoŋ	
推	tʰuɐi	
掩	iẽ	
措	tsʰuə	
揀	kã	擇、挑、拾
揆	ɡue	
揉	zəɯ	
揉	ʑiəɯ	
描	miɐɯ	
提	di	
插	tsʰɐʔ	
揖	iɐʔ	
揖	tsʰɐʔ	
揖	tɕiɐʔ	
揖	dzɐʔ	
揚	iã	
換	uã	
握	uɐʔ	
握	oʔ	
揣	tsʰuai	
揣	tsʰuɐʔ	
揩	kʰai	
揪	tsəɯ	
揭	kʰiɐʔ	
揮	xue	
援	yẽ	
損	kyẽ	
搓	tsʰo	
搖	iɐɯ	
搜	seʔ	
搜	səɯ	
搞	kɐɯ	
搬	pæ̃	
搭	tɐʔ	
搶	tɕʰiã	
搽	dza	
摔	suai	
摘	tsɐʔ	
摞	lo	一摞lo
摞	ləɯ	ləɯ摞台
摞	lue	lue摞積
摟	ləɯ	
摩	ma	ma摩托車
摩	mo	mo摩擦
摳	kʰəɯ	
摸	mɐʔ	
摸	moʔ	
撇	pʰiɐʔ	
撈	lɐɯ	
撐	tsʰæ̃	
撒	sɐʔ	
撓	nɐɯ	
撕	sə	
撕	tsʰəɯ	
撚	ȵiẽ	
撞	dʑiɔ̃	
撤	tɕʰiɐʔ	
撤	tsʰɐʔ	
撥	pɐʔ	
撩	liɐɯ	
撫	vuə	vuə撫養
撫	fuə	fuə撫州
播	po	廣播po
撮	tsuɐʔ	
撰	dzæ̃	
撲	pʰɐʔ	
撼	ɦã	
擀	kã	
擁	ioŋ	
擅	ʑiẽ	
擇	dzɐʔ	選擇dzɐʔ
擇	deʔ	dɐʔ擇菜
擊	kiʔ	拳擊kiʔ
擊	kieʔ	kieʔ擊鼓
擋	tɔ̃	
操	tsʰɐɯ	體操tsʰɐɯ
操	sɐɯ	sɐɯ操（姓氏）
擎	ɡɪŋ	
擒	ɡɪŋ	
擔	tæ̃	
擔	tã	
據	kye	論據kye
擠	tɕi	
擦	tsʰɐʔ	
擬	ȵi	
擲	dzɐʔ	
擴	kʰɔ̃	
擺	pai	
擾	ʑiɐɯ	
擾	ȵiɐɯ	
擾	iɐɯ	
攀	pʰã	
攆	ȵiẽ	
攏	loŋ	
攔	lã	
攘	ʑiã	
攙	tsʰã	
攜	ɦue	
攜	ʑie	
攝	ɕiɐʔ	
攤	tʰã	
攪	kɐɯ	kɐɯ攪屎棍
攪	kiɐɯ	打攪kiɐɯ
攬	lã	
支	tɕi	
收	səɯ	
改	kɐi	
攻	koŋ	
放	fɔ̃	解放fɔ̃
放	pɔ̃	pɔ̃放声
放	poŋ	poŋ放爆仗
政	tsɪŋ	
故	kuə	
效	ɦɐɯ	
敏	mɪŋ	
救	kəɯ	
敗	bai	
敘	ʑye	
教	kɐɯ	
敝	bi	
敢	kæ̃	
敢	kuə̃	
散	sã	
散	sæ̃	
敦	tuə̃	
敬	kɪŋ	
敲	kʰɐɯ	
整	tsɪŋ	
敵	deʔ	
敷	fuə	
數	suə	
數	ɕye	
斂	liẽ	
斃	bi	
文	væ̃	語文væ̃
文	voŋ	voŋ文化
料	liɐɯ	
斛	ɦɐʔ	
斜	ʑie	
斟	tsɪŋ	
斡	uɐʔ	
斤	kɪŋ	kɪŋ斤量
斤	kæ̃	五斤kæ̃
斥	tsʰɐʔ	
斬	tsã	
斯	sə	
新	sɪŋ	
斷	tæ̃	
斷	dæ̃	
斷	duə̃	
方	fɔ̃	
方	fiã	
於	ye	
施	ɕi	ɕi施工
施	sə	sə施（姓氏）
旁	bɔ̃	
旅	lye	
旋	ɦyẽ	頭旋ɦyẽ
旋	ʑyẽ	ʑyẽ旋轉
旌	tsɪŋ	
族	ʑiɐʔ	ʑiɐʔ族望
族	dzɐʔ	宗族dzɐʔ
旗	ɡi	
既	ki	
日	nɐʔ	今日nɐʔ
日	ȵiɐʔ	ȵiɐʔ日頭
日	zɐʔ	zɐʔ日本佬
日	nɐʔ	nɐʔ日暝
旦	tã	
旦	tæ̃	
旨	tɕi	
早	tsɐɯ	
旬	ʑioŋ	
旭	xiɐʔ	
旱	ɦã	
旺	ɔ̃	
昂	ɦɔ̃	
昆	kʰuə̃	
昌	tɕʰiã	
明	ma	ma明年
明	mɪŋ	光明mɪŋ
明	mɐʔ	mɐʔ明日
昏	xuə̃	
易	i	容易i
易	iɐʔ	iɐʔ易（姓氏）
昔	sɐʔ	
星	sɪŋ	
映	ɪŋ	
春	tɕʰioŋ	
昧	mɐi	
昨	zɐʔ	zɐʔ昨暝
昨	dzɐʔ	dzɐʔ昨日
昩	mɐʔ	
昭	tɕiɐɯ	
是	dʑi	是
是	dʑiʔ	肯定附和
是	ʑi	ʑi是非
昵	ȵi	
時	ʑi	ʑi時節
時	zəɯ	多時zəɯ
時	ʑi	ʑi時辰
晉	tɕioŋ	
晉	tɕioŋ	tɕioŋ晉（姓氏）
晉	tsɪŋ	tsɪŋ晉級
晏	æ̃	
晚	uã	
晝	təɯ	təɯ晝pa(午後、下午)
晝	tsəɯ	tsəɯ晝夜
晝	təɯ	晝ba（午後、下午）
晦	xuɐi	
晨	zɪŋ	
普	pʰuə	
景	kɪŋ	
晴	zɪŋ	
晶	tsɪŋ	
晶	kɪŋ	
晷	kue	
智	tɕi	tɕi智商
智	tsə	tsə智能
暇	ɦa	
暈	ioŋ	
暑	ɕye	
暖	nuə̃	
暖	nã	
暗	æ̃	
暝	mɪŋ	mɪŋ暝茫
暝	mæ̃	昨暝mæ̃
暢	tɕʰiã	
暫	dzã	
暮	muə	
暴	bɐɯ	
暹	ɕiẽ	
暹	xiẽ	
曆	lɐʔ	
曆	leʔ	
曉	xiɐɯ	
曝	bɐʔ	
曝	bɐɯ	
曠	kʰɔ̃	
曩	nɔ̃	
曬	sa	sa曬衫
曬	sai	西曬sai
曰	ye	
曰	vɐʔ	
曲	kʰioʔ	
曲	kʰiɐʔ	曲kʰiɐʔ（姓氏）
曲	kʰioʔ	戲曲kʰioʔ
曲	kʰiɐʔ	文曲kʰiɐʔ星（星宿神官）
更	kæ̃	
更	kɪŋ	
曷	ɦɐʔ	
書	ɕie	讀書ɕie
書	ɕye	ɕye書畫
曹	tsɐɯ	
曾	tsɪŋ	tsɪŋ曾空
曾	tsæ̃	tsæ̃曾（姓氏）
曾	dzæ̃	dzæ̃曾經
替	tʰi	
最	tsuɐi	
最	tsue	
會	kʰuɐʔ	
會	uɐi	
月	ȵioʔn	正月ȵioʔ
月	ȵiɐʔ	ȵiɐʔ月光
有	iəɯ	
朋	boŋ	
服	vɐʔ	vɐʔ服侍
服	voʔ	voʔ服務
朔	sɐʔ	
朔	ɕiɐʔ	
朕	dzɪŋ	
朗	lɔ̃	
望	miã	看、眺
望	mɔ̃	失望mɔ̃mɔ̃望遠鏡
朝	dʑiɐɯ	南北朝dʑiɐɯ鲜
朝	tɕiɐɯ	二月花朝tɕiɐɯ（花朝节）
期	ɡi	
木	moʔ	moʔ木魚（樂器、法器）
木	mɐʔ	mɐʔ木頭戲（傀儡戲）
木	moʔ	moʔ木（笨）
木	mɐʔ	mɐʔ木頭戲（動畫片）
未	mɐi	副詞（無有）
未	vi	vi未免
末	mɐʔ	
本	pæ̃	
朱	tɕye	
朵	to	
朽	xiəɯ	
杆	kã	
杈	tsʰa	
杉	sã	
李	li	
杏	ɦæ̃	
杏	ɦɪŋ	ɦɪŋ杏花
杏	ɦæ̃	ɦæ̃杏仁
材	zɐi	棺材zɐi
材	dzɐi	dzɐi材料
村	tsʰuə̃	
杖	dʑiã	
杖	tɕiã	
杖	dzæ̃	
杜	duə	
杞	ki	
束	ɕioʔ	ɕioʔ束身
束	soʔ	約束soʔ
杭	ɦɔ̃	
杯	pɐi	
東	toŋ	toŋ東西
東	tɔ̃	王tɔ̃東風（地名）
杳	miɐɯ	
松	zoŋ	zoŋ松樹
板	pã	
枉	ɡɔ̃	
枉	ɔ̃	
枋	fɔ̃	謝枋fɔ̃得（宋朝抗元民族英雄）
析	seʔ	
枕	tsɪŋ	
林	lɪŋ	
枚	mɐi	
果	kua	水果kua
果	ko	水果ko糖
果	kye	如果kye
枝	tɕi	
枝	ki	
枯	kʰuə	
枵	xiɐɯ	
架	ka	
柄	pɪŋ	
柄	pæ̃	
柏	pɐʔ	
某	məɯ	
某	mɐɯ	
柑	kæ̃	
染	ʑiẽ	
染	ȵiẽ	
柔	zəɯ	
柔	ȵiɐɯ	
柚	iəɯ	
查	dza	檢查dza
查	tsa	tsa查良鏞（姓名）
柩	ɡəɯ	
柬	kã	請柬kã
柬	kiẽ	kiẽ柬埔寨
柱	dʑye	
柳	ləɯ	
柴	dzai	
柴	zai	
柵	tsʰɐʔ	
栗	lɐʔ	
栝	kuɐʔ	
校	kɐɯ	kɐɯ校場
校	ɡɐɯ	ɡɐɯ校對
校	ɦɐɯ	ɦɐɯ校長
校	ɦiɐɯ	ɦiɐɯ考校
株	tɕye	
核	ɦɐʔ	ɦɐʔ核對
核	ɦeʔ	ɦeʔ核桃
核	ɦɐʔ	審核ɦɐʔ
根	kæ̃	
格	kɐʔ	
栽	tɕi	
栽	tsɐi	
桂	kue	
桂	ky	
桃	dɐɯ	
桅	ŋuɐi	
桅	kue	
桅	ue	
案	æ̃	
桌	tiɐʔ	四方桌tiɐʔ
桌	tɕyɐʔ	tɕyɐʔ卓依婷（姓名）
桌	tiɐʔ	八仙桌tiɐʔ
桌	tɕyɐʔ	tɕyɐʔ桌（姓氏）
桐	doŋ	
桑	sɔ̃	
桓	uã	
桶	tʰoŋ	
梁	liã	
梅	mɐi	
梓	tsə	
梔	tɕi	
梔	ki	
條	diɐɯ	
梢	sɐɯ	
梧	ŋuə	
梨	li	
梭	so	
梯	tʰi	
械	kai	機械kai
械	ɦai	ɦai械鬥
梳	sa	sa梳頭
梳	suə	suə梳妝
梳	sa	頭梳sa
梵	vã	
梵	fã	
棄	kʰi	
棉	miẽ	
棋	ɡi	
棍	kuæ̃	kuæ̃棍子
棍	kuɐʔ	石棍kuɐʔ
棒	bɔ̃	
棕	tsoŋ	
棗	tsɐɯ	
棘	kiɐʔ	
棚	bæ̃	瓜棚bæ̃
棚	boŋ	茅棚boŋ
棟	toŋ	
棧	dzã	
森	sæ̃	
棲	ɕi	
棲	tɕʰi	
棵	kʰua	kʰua棵稈
棵	kʰo	kʰo棵（量詞）
椅	i	
植	dzɐʔ	
椒	tɕiɐɯ	
椰	ie	
椽	dʑyẽ	
椿	tɕʰioŋ	
楊	iã	
楚	tsʰuə	清楚tsʰuə
楚	tɕʰye	tɕʰye楚留香（姓名）
楞	læ̃	
楣	mi	
楦	xyẽ	
業	ȵiɐʔ	
極	ɡieʔ	
楷	kʰai	
概	kʰɐi	
榆	ye	
榛	tɕioŋ	
榜	pɔ̃	
榨	tsa	
榮	kioŋ	
榮	ioŋ	
榴	ləɯ	
榻	tʰɐʔ	
構	kəɯ	
槌	dzue	
槌	dʑy	
槍	tɕʰiã	
槐	uai	
槳	tɕiã	
樁	tɔ̃	
樂	lɐɯ	要
樂	lɐʔ	lɐʔ樂平（地名）快樂lɐʔ
樂	ŋɐʔ	音樂ŋɐʔ
樂	lɐɯ	lɐɯ樂（要）
樂	lɐʔ	娛樂lɐʔ
樓	ləɯ	
標	piɐɯ	
樞	ɕye	
樟	tɕiã	
模	mo	
模	muə	
樣	iã	
樣	ȵiã	
樵	dʑiɐɯ	
樵	ʑiɐɯ	
樹	dzəɯ	棕樹dzəɯ
樹	ʑye	樹ʑye人（人名）
樹	dʑye	一蓬樹dʑye
樹	ʑye	鄭樹ʑye人（人名）
橄	kæ̃	
橋	ɡiɐɯ	
橘	kioʔ	
橘	kyɐʔ	
橙	dzæ̃	
橛	kyeʔ	
機	ki	
橫	ɦæ̃	ɦæ̃橫店
橫	uæ̃	uæ̃横峰（地名、山名）uæ̃橫豎uæ̃橫直
檀	dã	
檢	kiẽ	
檳	pɪŋ	
櫃	ɡue	
櫓	luə	
櫻	ɪŋ	
欄	lã	
權	ɡyẽ	
欖	lã	
欛	pa	
欠	kʰiẽ	
次	tsʰə	
欣	xɪŋ	
欲	yeʔ	
欺	kʰi	
欽	kʰɪŋ	
款	kʰuã	
歇	xiɐʔ	xiɐʔ歇暝（夜宿、過夜）
歉	kʰiẽ	
歌	ko	
歎	tʰã	
歐	əɯ	
歙	xiɐʔ	xiɐʔ歙縣
歡	xuã	
歡	xuə̃	
止	tɕi	
止	tsə	
正	tsɪŋ	
正	tsæ̃	
此	tsʰə	
步	buə	
武	vu	
武	uə	
歪	uai	
歲	suɐi	
歲	ɕy	
歲	suɐi	年歲suɐi
歲	ɕy	kʰɐʔ歲ɕy錢（壓歲錢）
歸	kuɐi	kuɐi歸來
歸	kue	當歸kue（藥名）
死	sə	
殃	iã	
殆	dɐi	
殉	ɕioŋ	
殉	ɕyn	
殊	ʑye	
殖	zɐʔ	
殘	dzã	
殮	liẽ	
殯	pɪŋ	
殲	tɕiẽ	
殲	tɕʰiẽ	
段	duə̃	
殷	ɪŋ	
殺	sɐʔ	
殼	kʰɐʔ	紙殼kʰɐʔ
殼	kʰoʔ	戲面殼kʰoʔ（面具）
殿	diẽ	
毀	xue	
毅	ȵi	
毆	əɯ	
毋	vuə	vuə毋（姓氏）
毋	muə	muə毋懼貪
母	moŋ	親家母moŋ
母	muə	父母muə親
母	məɯ	母
每	mɐi	
毒	dɐʔ	膿毒dɐʔ
毒	doʔ	惡毒doʔ
比	pi	
毛	mɐɯ	
毫	ɦɐɯ	
毯	tʰã	
氈	tɕiẽ	
氏	ʑi	
民	mɪŋ	
氣	kʰi	
氯	lɐʔ	
氯	luə	
水	ɕy	泉水ɕy
水	sue	sue水獺
水	ɕy	自來水ɕy
水	sue	sue水滸傳
永	ioŋ	
汀	tʰɪŋ	
汁	tsɐʔ	
求	ɡəɯ	
汆	tɕʰyẽ	tɕʰyẽ汆湯肉
汊	tsʰa	
汊	tsʰu	
汕	sã	
汗	ɦuə̃	ɦuə̃汗毛
汗	ɡæ̃	蒙汗ɡæ̃藥
汗	ɦã	血汗ɦã錢
汙	uə	
汝	ʑye	
汞	koŋ	
江	kɔ̃	信江kɔ̃河
江	kiã	姓氏
池	dʑi	臨池dʑi
池	zə	水池zə
汪	ɔ̃	
汲	kiɐʔ	
汴	biẽ	
決	kyɐʔ	
汽	kʰi	
沂	i	
沃	uɐʔ	
沈	sæ̃	
沉	dzɪŋ	
沉	dzæ̃	
沌	duə̃	
沌	dæ̃	
沐	moʔ	
沒	mɐʔ	
沖	tɕʰioŋ	
沙	sa	
沛	pʰɐi	
沫	mɐʔ	
河	ɦo	
沸	fi	
油	iəɯ	
治	dʑi	
沼	tɕiɐɯ	
沾	tɕiẽ	
沾	tsã	
沾	tʰiẽ	
沿	iẽ	
況	xɔ̃	況情
況	kʰɔ̃	姓氏
泄	ɕiɐʔ	
泉	dʑyẽ	
泊	bɐʔ	
泌	pi	
泔	kæ̃	
法	fɐʔ	
泛	fã	
泡	pʰɐɯ	
波	po	寧波po
波	po	po波及
泣	kiɐʔ	
泥	ȵi	拘泥ȵi
泥	ȵie	ȵie泥土
注	tɕye	
泯	mɪŋ	
泰	tʰai	
泳	ioŋ	
洋	iã	
洗	ɕi	ɕi洗衫
洗	ɕiẽ	ɕiẽ洗（姓氏）
洛	lɐʔ	
洞	doŋ	
津	tɕioŋ	天津tɕioŋ
津	tsɪŋ	雪津tsɪŋ
津	tɕioŋ	
洪	ɦoŋ	
洲	tsəɯ	
活	uɐʔ	
洽	iɐʔ	
派	pʰai	
流	ləɯ	
浙	tɕiɐʔ	
浙	tɕioʔ	
浚	ɕioŋ	
浜	pæ̃	
浦	pʰuə	
浩	ɦɐɯ	
浪	lɔ̃	
浮	vuə	vuə浮華
浮	fuə	fuə浮腫
浮	vuə	
浮	fuə	
浴	ioʔ	
海	xɐi	
浸	tsɪŋ	
消	ɕiɐɯ	
涉	ʑiɐʔ	
涎	dʑiẽ	
涎	ʑiẽ	
涓	kyẽ	
涕	tʰi	
涮	suã	
涯	ŋa	
液	iɐʔ	
涴	uə	
涼	liã	
淆	ɦiɐɯ	
淆	iɐɯ	
淋	lɪŋ	
淑	ɕioʔ	明淑ɕioʔ
淑	seʔ	seʔ淑女
淒	tɕʰi	
淚	lue	
淚	ləɯ	
淡	dã	
淤	ye	
淨	dzɪŋ	
淩	lɪŋ	
淪	lɪŋ	
淫	ɦɪŋ	
淫	ɪŋ	
淮	xuai	
淮	uai	
深	sɪŋ	
淵	yẽ	
混	xuə̃	
淹	iẽ	
淺	tɕʰiẽ	
添	tʰiẽ	
清	tsʰɪŋ	
減	kã	
渠	ɡye	ɡye管道
渠	ŋə	ŋə渠儂(他、他們)
渡	duə	
渣	tsa	
渧	ti	
渧	tie	
測	tsʰɐʔ	
港	kɔ̃	
渴	kʰɐʔ	
渺	miɐɯ	
渾	xuə̃	
湊	tsʰəɯ	
湖	uə	
湧	ioŋ	
湯	tʰɔ̃	
溉	kʰɐi	
源	ȵyẽ	
溜	ləɯ	
溝	kəɯ	
溪	kʰi	沙溪kʰi
溪	kʰie	kʰie溪邊
溫	uə̃	
溺	ȵiʔ	
溺	ȵiɐʔ	
滂	pʰɔ̃	
滅	miɐʔ	
滋	tsə	
滑	uɐʔ	
滔	tʰɐɯ	
滬	uə	
滯	dʑi	
滯	zə	
滲	sæ̃	
滲	sɪŋ	
滴	teʔ	
滸	xuə	
滾	kuə̃	
滿	mæ̃	
漁	ŋə	
漂	pʰiɐɯ	
漆	tsʰeʔ	
漏	liəɯ	
演	iẽ	
漚	əɯ	
漢	xæ̃	楚漢xæ̃
漢	xuə̃	羅漢xuə̃兒（混混、流氓、匪徒）
漢	xã	xã漢人
漫	mã	
漱	suə	
漲	tɕiã	
漸	dʑiẽ	
漿	tɕiã	
潑	pɐʔ	
潑	pʰiɐʔ	
潔	kiɐʔ	
潘	pʰæ̃	
潛	dʑiẽ	
潤	ʑioŋ	
潤	ʑyn	
潭	dã	水潭dã
潭	dæ̃	鷹潭dæ̃
潭	duə̃	水窟潭duə̃
潮	dʑiɐɯ	
潰	ɡue	
潲	sɐɯ	
潶	xɐʔ	
潺	zã	
澀	sɐʔ	
澀	ɕiɐʔ	
澄	dzæ̃	
澆	kiɐɯ	
澡	tsɐɯ	
澤	dzɐʔ	江澤dzɐʔ民
澤	dzeʔ	沼澤dzeʔ地
激	kiɐʔ	
濁	dʑiɐʔ	
濃	ȵiɔ̃	
濕	sɐʔ	
濕	ɕiɐʔ	
濟	tɕi	
濤	dɐɯ	
濤	tʰɐɯ	
濫	lã	
濯	dzɐʔ	
濺	tɕiẽ	
濾	lye	
瀉	ɕie	
瀋	sɪŋ	
瀑	bɐʔ	
灌	kuã	
灑	sa	瀟灑sa
灑	sai	sai灑水
灘	tʰã	
灣	uã	
火	xua	xua火鍋劉火火xua（人名）香火xua機（供桌）
火	xue	洋火xue打火xue機心火xue
火	xue	xue火光
火	xua	香火xua
灰	xuɐi	
灶	tsɐɯ	
灸	kəɯ	
災	tsɐi	
