#漢字	音標	解釋
凡	vã	
凡	fã	
凱	kʰai	
凳	tɪŋ	
凳	tæ̃	
凶	xioŋ	凶煞
凶	xioŋ	吉凶
出	tɕʰioʔ	
出	tɕʰyɐʔ	
函	ɦã	
刀	tɐɯ	
刁	tiɐɯ	
刃	zɪŋ	
刃	nɪŋ	
分	fæ̃	
切	tɕʰiɐʔ	
刈	ȵi	
刊	kʰã	
刎	væ̃	
刑	ɦɪŋ	
列	liɐʔ	
初	tsʰuə	
判	pʰæ̃	
別	bɐʔ	bɐʔ別儂
別	biɐʔ	差別biɐʔ
刨	bɐɯ	
利	li	
利	lie	
利	liʔ	
刪	sã	
刮	kuɐʔ	
到	tɐɯ	
制	tɕi	
制	tsə	
刷	ɕyɐʔ	
券	kyẽ	
刺	tsʰə	tsʰə刺刀
刺	tɕʰie	魚刺tɕʰie
刻	kʰɐʔ	
剁	to	
剃	tʰi	
則	tsɐʔ	
削	ɕiɐʔ	
前	ʑiẽ	
前	dʑiẽ	
前	zuai	
剔	tʰiʔ	
剔	tʰeʔ	
剖	pʰai	
剖	pʰu	
剖	pʰo	
剛	kɔ̃	
剛	kʰã	
剝	pɐʔ	
剝	piɐʔ	
剩	sæ̃	
剩	zɪŋ	
剪	tɕiẽ	
剮	kuɐʔ	
副	fuə	
割	kɐʔ	
割	kuɐʔ	
創	tsʰɔ̃	
剿	tɕiɐɯ	
劃	uɐʔ	
劄	tɐʔ	
劇	ɡieʔ	ɡieʔ劇烈
劇	ɡyeʔ	越劇ɡyeʔ
劇	kiɐʔ	
劈	pʰɐʔ	
劉	ləɯ	
劊	kuɐi	
劊	kuai	
劍	kiẽ	
力	lɐʔ	
功	koŋ	
加	ka	
劣	liɐʔ	
努	nuə	
劫	kiɐʔ	
勁	kɪŋ	
勃	bɐʔ	
勇	ioŋ	
勉	miẽ	
勒	lɐʔ	
動	doŋ	
勘	kʰæ̃	
務	vuə	
務	uə	
勝	sɪŋ	
勞	lɐɯ	
募	muə	
勢	ɕi	
勢	sə	
勤	ɡɪŋ	ɡɪŋ勤勞
勤	ɡæ̃	ɡæ̃勤辦
勳	xioŋ	
勵	li	
勸	kʰyẽ	
勺	ʑiɐʔ	
勻	ioŋ	
勾	kəɯ	
勿	vɐʔ	
包	pɐɯ	
匆	tɕʰioŋ	
匆	tsʰoŋ	
化	xua	
北	pɐʔ	
匙	ʑi	藥匙ʑi
匙	ʑie	鎖匙ʑi
匠	ʑiã	
匡	kʰɔ̃	
匣	ɦɐʔ	
匪	fi	
匯	ɦue	
匯	uɐi	
匹	pʰeʔ	
匾	piẽ	
匿	ȵiɐʔ	
區	kʰye	
十	zɐʔ	
十	ʑiɐʔ	
千	tɕʰiẽ	
卅	sɐʔ	
升	sɪŋ	
午	ŋuə	ŋuə午時茶
卉	xue	
半	pæ̃	
卑	pi	
卑	pue	
卒	tɕioʔ	
卒	tɕiɐʔ	
卒	tsɐʔ	
卓	tɕiɐʔ	
協	ɦiɐʔ	
協	iɐʔ	
南	na	敲南na無（敲木魚）
南	nã	nã南天門
博	pɐʔ	
占	tɕiẽ	
占	tsã	
卦	kua	
卯	mɐɯ	
印	ɪŋ	
危	ue	
即	tseʔ	
卵	læ̃	
卵	lã	
卷	kyẽ	
卸	ɕie	
卸	səɯ	
卻	kʰiɐʔ	
卿	kʰɪŋ	
厄	ŋɐʔ	
厘	li	
厚	ɡu	
原	ȵyẽ	
厥	kiɐʔ	
厥	kyɐʔ	
厭	iẽ	
厭	iɐʔ	
厲	li	
厴	iẽ	魚厴iẽ（魚鱗）結厴iẽ（結痂）
去	kʰə	歸去kʰə
去	kʰye	逝去kʰie
參	sæ̃	人參sæ̃
參	tsʰã	tsʰã參軍
參	tsʰã	tsʰã參加
又	iəɯ	
叉	tsʰa	
及	ɡiɐʔ	
友	iəɯ	
反	fã	fã反抗
反	pã	pã反手
叔	ɕioʔ	
取	tɕʰye	tɕʰye取笑
取	tsʰəɯ	tsʰəɯ取錢
受	zəɯ	
叛	bæ̃	
叟	səɯ	
叢	dzoŋ	
口	kʰəɯ	
古	kuə	
句	ɡye	
另	lɪŋ	
叨	tɐɯ	
叩	kʰiəɯ	
只	tseʔ	
只	tsɐʔ	
叫	kiɐɯ	kiɐɯ叫花雞
叫	kɐɯ	kɐɯ叫花子
叫	kɔ̃	kɔ̃叫花胚
叫	iɐɯ	叫iɐɯ
叫	ɐɯ	叫ɐɯ
召	tɕiɐɯ	
可	ko	ko可樂
可	kue	弗可kue
台	dɐi	dɐi臺灣
台	tʰɐi	tʰɐi台州
史	ɕi	ɕi史官
史	səɯ	歷史səɯ
右	iəɯ	
司	sə	
吃	kʰieʔ	kʰieʔ吃虧
吃	kʰiʔ	kʰiʔ吃苦
各	kɐʔ	
合	ɦɐʔ	
吉	kieʔ	
吊	tiɐɯ	
同	doŋ	
名	mɪŋ	
后	ɦiəɯ	ɦiəɯ后羿
吏	li	
吐	tʰuə	
向	xiã	
君	kioŋ	
吝	lɪŋ	
吞	tʰæ̃	
吟	ŋɪŋ	
吟	ȵɪŋ	
吠	vu	
吠	fi	
否	fəɯ	
含	ɦæ̃	
含	ɦã	
含	ɡæ̃	
吳	ŋo	
吳	ŋo	ŋo吳（姓氏）
吳	ŋuə	ŋuə吳哥窯（地名）
吵	tsʰɐɯ	
吸	xiɐʔ	
吹	tɕʰy	tɕʰy吹哨
吹	tsʰue	tsʰue吹捧
吻	væ̃	
吻	mæ̃	
吻	poŋ	
吼	xəɯ	
吾	ŋu	
呂	lye	
呆	ŋɐi	
呈	dzɪŋ	
告	kɐɯ	
呢	ȵi	
呢	n	
周	tsəɯ	
味	ue	ue味（新音）
味	vi	vi味精
味	mi	mi味道
呼	xuə	
命	mɪŋ	
和	ɦo	ɦo和睦
和	ua	ua和尚
和	uə	uə和罷
和	o	和平
咎	kəɯ	
咒	tsəɯ	
咥	tieʔ	喫、食
咬	ŋɐɯ	
咳	kʰɐʔ	
咵	kʰua	
咽	iẽ	
哀	ɐi	
品	pʰɪŋ	
哄	xoŋ	
員	yẽ	
哥	ko	
哭	kʰoʔ	
哲	tiɐʔ	
哲	tɕiɐʔ	
哽	kæ̃	
唆	so	
