#漢字	音標	解釋
㲃	tɕiəu5	拧
燶	noŋ1	软和
䀦	ku3	轻视
䍐	kan5	网
一	ʑi2	
丁	tin1	
七	tɕʰi2	
丈	tsaŋ5	
三	san1	
上	saŋ3	
上	saŋ5	
下	ha5	白，等一下
下	ɕia5	文
不	pu1	疑問
不	pu2	
丐	kai5	
丑	tsʰəu3	
且	tɕʰie3	
丕	pʰəi1	老
丕	pʰi1	新
世	sɿ5	
丘	tɕʰiəu1	
丙	pin3	
丞	tsʰən2	
丟	tiəu1	
並	pin5	
丫	ŋa1	
中	tsoŋ1	
中	tsoŋ5	
串	tɕʰyen5	
丸	van2	
丹	tan1	
主	tɕy3	
乃	nai3	
久	tɕiəu3	
么	mo3	
之	tsɿ1	
乍	tsa5	
乎	fu1	
乏	fa2	
乒	pʰaŋ1	
乓	pʰaŋ1	
乖	kuai1	
乘	tsʰən2	
乘	sən5	
乙	ʑi2	
九	tɕiəu3	
乞	tɕʰi3	
也	ʑe3	
乳	ɣəu3	白
乳	zəu3	文
乾	kan1	
亂	luan5	
了	la3	白
了	liau3	文
予	ʑy3	
事	sɿ5	
二	ɣə5	
于	ʑy2	
云	ʑyn2	
互	fu5	
五	vu3	
井	tɕin3	新
井	tsin3	老
亙	kən5	
些	sie1	老
些	ɕie1	新
亞	ŋa5	
亞	ʑa5	
亟	tɕi2	
亡	vaŋ2	
亢	kʰaŋ5	
交	tɕiau1	
亥	hai5	
亦	ʑi5	
亨	hən1	
享	ɕiaŋ3	
京	tɕin1	
亭	tʰin2	
亮	liaŋ5	
人	ɣən2	白
人	zən2	文
什	sɿ2	
仁	ɣən2	白
仁	zən2	文
仄	tse5	
仆	pʰu5	仆倒
仇	tɕʰiəu2	
今	tɕin1	今明两天
今	tsən1	今朝
介	ke5	蒋介石
介	kai5	
仍	ɣən1	白
仔	tsɿ3	
仕	sɿ5	
他	tʰa1	
仗	tsaŋ5	
付	fu5	
仙	sien1	老
仙	ɕien1	新
仟	tsʰen1	老
仟	tɕʰien1	新
代	tai5	
令	lin5	
以	ʑi3	
仨	san1	
仰	ȵiaŋ3	白，就着
仰	ʑaŋ3	
仲	tsoŋ5	
仳	pʰi2	
件	tɕien5	
任	ɣən2	白
任	ɣən5	
份	fən5	
仿	faŋ3	
企	tɕʰi3	
伊	ʑi1	
伍	vu3	
伎	tɕi5	
伏	pu5	白读
伏	fu2	文读
伐	fa2	
休	ɕiəu1	
伕	fu1	
伙	ho3	
伯	pe2	
估	ku3	
伲	ȵi2	
伴	pan5	新
伴	puan5	老
伶	lin2	
伸	sən1	
伺	tsʰɿ5	
伺	sɿ5	
似	sɿ5	
伽	tɕia1	
佃	tien5	
但	tan5	
位	vəi5	
低	ti1	
住	tɕy5	
佐	tso3	
佑	ʑəu5	
佔	tsan5	新
佔	tsen5	老
何	ho2	
佘	se1	
余	ʑy2	
佛	ho2	
作	tso2	
佝	kəu1	
佞	ȵin5	
你	ȵi3	
佣	ʑoŋ1	
佩	pʰəi5	
佬	lau3	
佯	ʑaŋ2	
佰	pe2	
佰	me2	
佳	ka1	
併	pin5	
使	sɿ3	
侃	kʰan3	
來	lai2	
侈	tsʰɿ3	
例	li5	
侍	sɿ5	
侖	nən2	
侗	toŋ5	
供	koŋ1	
供	koŋ5	
依	ʑi1	
侮	vu1	
侯	həu2	
侵	tsʰin5	老
侵	tɕʰin5	新
侶	li3	老
侶	ly3	新
便	pien5	
便	pʰien2	
係	tɕi5	
促	tsʰəu5	
促	tsəu2	督促
俄	ɣo2	
俊	tɕyn5	新
俊	tɕyn5	老
俏	tsʰiau5	老
俏	tɕʰiau5	新
俐	li5	
俗	səu2	
俘	fu2	
俚	li3	
保	pau3	
俞	ʑy2	
俠	ɕia2	
信	sin5	老
信	ɕin5	新
修	siəu1	老
修	ɕiəu1	新
俯	fu3	
俱	tɕy5	
俳	pʰai2	
俸	hoŋ5	
俺	ŋan2	
俾	pi3	
倆	liaŋ3	
倉	tsʰaŋ1	
個	ko5	
倌	kuan1	
倍	pəi5	
倏	səu1	
們	mən1	
倒	tau3	
倒	tau5	
倔	tɕye2	
倖	ɕin5	
倘	tʰaŋ1	
候	həu5	
倚	ʑi3	
借	tɕie5	新
借	tsie5	老
倡	tsʰaŋ5	
倣	faŋ3	
倦	tɕyen5	
倨	ku1	白，同"跍
倩	tsʰen5	老
倩	tɕʰien5	新
倪	ȵi2	
倫	nən2	
值	tsɿ2	
假	ka3	真假
假	lia3	训白
假	tɕia3	
偉	vəi3	
偎	vəi1	
偏	pʰien1	
做	tsəu5	
停	tʰin2	
健	tɕien5	
側	tsʰe2	
偵	tsən1	
偶	ŋəu3	
偷	tʰəu1	
偺	tsa2	
僞	vəi3	
傀	kʰuəi2	
傅	fu5	
傍	paŋ5	
傑	tɕie2	
傘	san3	
備	pəi5	
傢	ka1	家公
傢	tɕia1	
催	tsʰəi1	
傭	ʑoŋ1	
傲	ŋau5	
傳	tɕyen5	
傳	tɕʰyen2	
債	tsai5	
傷	saŋ1	
傻	ha3	白读
傻	sa3	文读
傾	tɕʰin1	
僂	ləu2	
僅	tɕin3	
像	tɕʰiaŋ5	老
像	siaŋ5	老
像	ɕiaŋ5	新
僑	tɕʰiau2	
僕	pʰu2	
僚	liau2	
僥	tɕiau3	
僧	sən1	
僱	ku5	
僳	səu5	
僵	tɕiaŋ1	
價	ka5	
價	tɕia5	
僻	pʰi5	
儀	ȵi2	老
儀	ʑi2	新
儂	noŋ2	
億	ʑi5	
儆	tɕin5	
儈	kʰuai5	
儉	tɕien3	
儒	ɣəu2	白
儒	zəu2	文
儘	tɕin5	新
儘	tsin5	老
償	tsʰaŋ2	文读
償	saŋ2	白读
儡	ləi3	
優	ʑəu1	
儲	tsʰəu3	
允	ʑyn3	
元	ʑyen2	
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	tsau5	
兇	ɕioŋ1	
先	sen1	老
先	ɕien1	新
光	kuaŋ1	
光	kuaŋ5	光滑
克	kʰe2	
兌	təi5	
免	mien3	
兒	ɣə3	
兔	tʰəu5	
兕	sɿ5	
兜	təu1	
兢	tɕin1	
入	ɣəu2	
入	ʑy2	
內	nəi5	
全	tɕʰyen2	
兩	liaŋ3	
八	pa2	
公	koŋ1	
六	ləu2	
共	koŋ5	
兵	pin1	
其	tɕʰi2	
具	tɕy5	
典	tien3	
兼	tɕien1	
冀	tɕi5	
冉	ɣan3	白新
冉	ɣen3	白老
冉	zan3	文
冊	tsʰe2	
再	tsai5	
冒	mau5	
冕	mien3	
冗	ɣoŋ3	白
冗	zoŋ3	文
冠	kuan1	
冠	kuan5	
冤	ʑyen1	
冥	min2	
冪	mi5	
冬	toŋ1	
冰	pin1	
冶	ʑe3	
冷	lən3	
冽	lie2	
准	tɕyn3	
准	tsən3	
凊	tɕʰin5	冷，凉
凋	tiau1	
凌	lin2	
凍	toŋ5	
凜	lin3	
凝	lin5	构凝
凝	ȵin2	
几	tɕi1	
凡	fan2	
凰	hoŋ5	
凱	kʰai3	
凳	tən5	
凶	ɕioŋ1	
凸	tʰəu2	
凹	ŋau1	
出	tɕʰy2	
函	han2	
刀	tau1	
刁	tiau1	
刃	ɣən5	白
刃	zən5	文
分	fən1	
切	tsʰe2	老
切	tɕʰie2	新
刊	kʰan1	
刑	ɕin2	
划	fa5	
列	lie2	
初	tsʰəu1	
判	pʰan5	新
判	pʰuan5	老
別	pie2	
刨	pʰau2	
利	li5	
刪	suan1	
刮	kua2	
到	tau5	
制	tsɿ5	
刷	sa2	
刷	ɕya2	
券	tɕʰyen5	
刹	sa2	
刺	tsʰɿ5	
刻	kʰe2	
剁	to5	
剃	tʰi5	
則	tsʰe2	老
則	tse2	新
削	sio2	老
削	ɕio2	新
剋	kʰe2	
剌	la2	
前	tsʰen2	老
前	tɕʰien2	新
剔	tʰi5	
剖	pʰəu1	
剛	kaŋ1	
剝	po2	
剩	sən5	
剪	tɕien3	新
剪	tsien3	老
剮	kua3	
副	fu5	
割	ke5	白读
割	ko2	文读
創	tsʰaŋ1	
創	tsʰaŋ5	
剷	tsʰan3	
剷	tsʰuan3	
剽	pʰiau2	
剿	tɕiau3	新
剿	tsiau3	老
劃	fa2	
劃	fa5	
劇	tɕy5	
劈	pʰi1	
劉	liəu2	
劊	kʰuai5	
劍	tɕien5	
劑	tɕi5	新
劑	tsəi5	老
力	li2	
功	koŋ1	
加	ka1	
加	tɕia1	
劣	lie2	
助	tsʰəu5	老
助	tsəu5	新
