#漢字	音標	解釋
榴	ləu2	
榻	tʰɔ7	
槌	dʑy2	
槐	va2	
槽	zɛ2	
樟	tɕiɛ1	
模	mu2	
橫	va2	
櫻	ˀiaŋ1	
樵	tɕyø1	
橄	ke3	～榄
橙	dzeŋ2	
機	zɿ2	
橡	ɦiɛ4	
檀	dɔ2	
檐	ɦie2	
欠	tɕʰie5	
次	tsʰɿ5	
歡	ɕyø1	
欣	ɕiaŋ1	
歐	ˀau1	
欺	tɕʰi1	
款	kʰø3	
歇	ɕie7	
歉	tɕʰie3	
歌	ku1	
止	tsɿ3	
正	tseŋ1	～月
正	tseŋ5	
此	tsʰɿ3	
步	bu6	
武	vu4	
歪	va1	
死	sɿ3	
殲	tɕʰie1	
殃	ˀiɛ1	
殊	zəy2	
殘	zɔ2	
殖	dʑi8	
殯	peŋ5	
毆	ˀau1	
段	dø6	
殷	ˀiaŋ1	
殿	die6	
毁	səy3	
毅	ȵi6	
母	mu4	
每	me4	
毒	dəu8	
比	pei3	
畢	pei7	
斃	pei3	
毛	mɛ2	
毫	ɦɛ2	
毯	tʰɔ3	
氏	zɿ6	
民	meŋ2	
气	tɕʰi5	
水	səy3	
永	ˀioŋ3	
汀	teŋ1	又读
汀	tʰeŋ1	
汁	tsɛ7	
求	dʑiau2	
汇	vai6	
漢	hø5	
汗	ɦø6	
汝	zəy4	
江	ko1	
池	dʑi2	
湯	tʰo1	
汪	ˀo1	
汽	tɕʰi5	
沈	saŋ3	
沉	dzaŋ2	
沙	so1	
沛	pʰai5	
溝	kau1	
沒	mø8	
淪	laŋ2	
滬	vu4	
沫	mø8	
河	vu2	
油	ɦiau2	
治	dzɿ6	
沾	tɕie1	
泄	sei5	
泉	ɦyø2	
泌	ˀau1	
泔	ke1	
法	fɔ7	
泛	fɔ5	
泡	pʰɔ5	
波	pu1	
泣	tɕʰie7	
泥	ȵi2	
注	tɕy5	
淚	lai6	
泰	tʰa5	
泳	ˀioŋ3	
瀉	sei5	
潑	pʰø7	
澤	dzɛ8	
潔	tɕie7	
洋	ɦiɛ2	
洒	sa3	
洗	sei3	
洛	lo8	
洞	doŋ6	
津	tsaŋ1	
洪	ɦoŋ2	
洲	tsəu1	
活	ɦuɔ8	
派	pʰa5	
流	ləu2	
淺	tɕʰie3	
漿	tɕiɛ5	
澆	tɕyø1	
濁	dʑyo8	
測	tsʰe7	
濟	tɕi5	
渾	vaŋ6	
濃	ȵyo2	白读
濃	noŋ2	文读
浙	tɕi7	
浩	ɦɛ4	
浪	lo6	
浮	vu2	文读
浮	vɛ2	文读
浴	ɦyo8	
海	he3	
浸	tsaŋ5	
涂	dəy2	
消	ɕyø1	
涉	ɦie8	
涌	ɦyo4	
涕	tʰei5	
潤	ɦyŋ6	
漲	tɕiɛ3	
澀	sɛ7	
液	i8	
淋	leŋ2	
淑	zəu8	
淡	dɔ4	
淮	va2	
深	saŋ1	
混	vaŋ6	
淹	ˀie3	
添	fiɛ1	
清	tsʰeŋ1	
淵	ˀyø1	
漸	ɦie6	
漁	ȵy2	
滲	saŋ5	
渠	dʑy2	
渡	dəy6	
渣	tso1	
溫	ˀyø1	
港	ko3	
渴	kʰø7	
游	ɦiau2	
湖	vu2	
湘	ɕiɛ1	
灣	ˀuɔ1	
溼	sɛ7	
潰	vai4	
濺	tɕie5	
溉	ke5	
源	ȵyø2	
溜	liəu1	
溪	tɕʰi1	
溶	ɦioŋ2	
滋	tsɿ1	
滑	ɦuɔ8	
滔	tʰɛ1	
滕	daŋ2	
滾	kaŋ3	
滿	mø4	
濾	ləy6	
濫	lɔ6	
濱	peŋ1	
灘	tʰɔ1	
滴	tei7	
漂	pʰie1	～亮
漂	pʰie3	～白
漆	tsʰɛ7	
漏	lau6	
演	ɦie4	
漠	mo8	
漫	mɔ6	
潘	pʰø1	
潭	dɔ2	
潭	de2	
潮	dʑyø2	
激	tɕie7	
灌	kyø5	
火	fu3	
滅	mie8	
燈	taŋ1	
灰	fai1	
靈	leŋ2	
竈	tsɛ5	
灸	tɕiau5	
災	tse1	
燦	tsʰɔ5	
爐	ləy2	
炒	tsʰɔ3	
炭	tʰɔ5	
炮	pʰɔ5	
炸	tso5	
點	tiɛ3	
炼	lie6	
爛	lɔ6	
烈	lie8	
烘	hoŋ1	
烙	lo8	
燭	tɕyo7	
烟	ˀie1	
烤	kʰɛ1	
煩	vɔ2	
燒	ɕyø1	
燙	tʰo5	
熱	ȵie6	
烹	pʰa1	
煥	ɕyø5	
焙	bai6	
焦	tɕyø1	
然	ɦie2	
煌	ɦo2	
煎	tɕie1	
煞	sɔ7	
煤	me2	
照	tɕyø5	
煮	tɕi3	
熄	sei7	
熊	ɦioŋ2	
熏	ɕyŋ1	
熔	ɦioŋ2	
熟	zəu8	
熬	ŋɛ2	忍受
熬	ˀɛ1	烧菜
燃	ɦie2	
燕	ˀie3	
爆	bɛ2	
爪	tsɔ3	
爬	buo2	
愛	ˀe5	
父	vu4	
爸	pa1	
爹	tei1	
爽	so3	白读
爽	ɕyo3	文读
爿	bo2	柴～
片	pʰie5	
版	pɔ3	
牌	ba2	
牘	dəu8	
牙	ŋo2	
牛	ŋau2	
牢	lɛ2	
牧	mu8	
物	vɛ8	
牲	sa1	
牽	tɕʰie1	
特	de8	
犧	sei1	
犀	ɕi1	
犁	lei2	
犟	dʑiɛ4	
犬	tɕʰyø3	
犯	vɔ4	
狀	dʑyo6	
猶	ɦiau2	
狂	dʑyo2	
狄	dei8	
狐	vu2	
狗	kau3	
狠	haŋ3	
狡	kɔ3	
獨	dəu8	
獅	sɿ1	
獄	ȵyo8	
狸	lei2	
狼	lo2	
獵	luɔ8	
猛	ma4	
猜	tsʰe1	
猢	vu2	
豬	tɕi1	
貓	mɔ1	
獻	ɕie5	
猴	ɦau2	
猾	ɦuɔ8	
猿	ɦyø4	
獺	tʰɔ7	水～
玄	ɦyø2	
率	lie8	效～
率	sɛ7	～领
玉	ȵyo8	
王	ɦyo2	
玩	ȵyø4	
環	ɦuɔ2	
現	ɦie6	
玻	pu1	
珊	sɔ1	
珍	tsaŋ1	
珠	tɕy1	
班	pɔ1	
球	dʑiau2	
理	lei4	
琉	ləu2	
瑣	səu3	
琳	leŋ2	
琴	dʑiaŋ2	
瓊	dʑioŋ2	
瑙	nɛ4	玛～
瑞	zəy6	
璀	tsʰai1	
璧	pei7	
瓜	kuo1	
瓢	bie2	
瓦	ŋo4	
瓮	ˀoŋ5	
甌	ˀau1	
瓶	beŋ2	
瓷	zɿ2	
甘	kø1	
甚	zaŋ4	
甜	diɛ2	
生	sa1	
甥	sa1	
用	ɦyo6	
甫	fu3	
田	die2	
由	ɦiau2	
甲	kɔ7	
申	saŋ1	
電	die6	
男	ne2	
畫	ɦuo6	
暢	tɕʰiɛ5	
界	ka5	
畏	y1	
留	ləu2	
畜	tsʰəu7	～生
畜	ɕiəu7	～牧
略	luɔ8	
番	fɔ1	
疆	tɕiɛ1	
疏	səu1	
疑	ȵi2	
療	luɔ2	
瘧	ȵiɔ8	
疤	puo1	
疥	ka5	
疫	ɦy8	
瘋	foŋ1	
疲	bei6	
疵	tsʰɿ1	
疹	tsaŋ3	
疾	zɛ8	
病	beŋ6	
症	tseŋ5	
痒	ɦiɛ4	
痔	dzɿ4	
痕	ɦø2	
痘	dəu6	
痛	tʰoŋ5	
痢	lei6	
痣	tsɿ5	
痰	dɔ2	
癡	tsʰɿ1	
瘁	fei5	
瘟	ˀyø1	
瘦	sau3	
癬	ɕie3	
癲	tie1	
登	taŋ1	
白	ba8	
百	pa7	
皂	zɛ4	
的	tei7	
皆	ka1	
皇	ɦo2	
皎	kɔ3	
皖	ɦyø4	
皮	bei2	
皺	tsau5	
皿	meŋ4	
盂	ɦy2	
盅	tsoŋ1	
盆	bø2	
盈	ɦiaŋ2	
益	i7	
盞	tsɔ3	
鹽	ɦie2	
監	kɔ1	
盒	ɦe8	
盔	kʰai1	
盖	ke5	
盜	dɛ6	
盤	bø2	
盛	zeŋ6	兴～
盟	meŋ2	
目	mu8	
盲	ma2	
直	dʑi8	
相	ɕiɛ1	～信
相	ɕiɛ5	照～
盼	pʰɔ5	
盾	dʑyŋ4	
省	sa3	
省	seŋ3	反～
看	tsʰɿ5	白读 眙也
看	kʰø5	文读
真	tsaŋ1	
眠	mie2	
眷	tɕyø5	
眼	ŋɔ4	
着	tɕiɔ7	～裤
睜	tsa1	
睏	kʰyø5	睡
睛	tseŋ1	
睡	zai6	文读
睦	mu8	
睬	tsʰe3	
瞌	kʰø7	
瞎	ha7	
瞒	mø2	
瞪	tʰaŋ5	
瞳	doŋ2	
矛	mɔ2	
矢	sɿ3	
知	tsɿ1	
短	tø3	
矮	ˀa5	
石	zei8	
磯	vɔ2	
礦	kʰo5	
碼	mo4	
砍	kʰø3	
研	ȵi2	
磚	tɕyø1	
破	pʰu5	
礎	tsʰəu3	
硝	ɕyø1	
硫	ləu2	
硬	ŋa6	
確	kʰo7	
礙	ŋe6	
碎	sai3	
碑	pai1	
碗	ˀyø3	
碟	duɔ8	
碰	pʰoŋ5	
鹼	kɔ5	
碾	ȵie4	
磁	zɿ2	
磨	mu2	动词
磨	mu6	石～
示	zɿ6	
禮	lei4	
社	zei4	
祀	zɿ4	
祖	tɕy3	
祜	ɦiau6	
祝	tsəu7	
神	zaŋ2	
祠	zɿ2	
祥	ɦiɛ2	
票	pʰie5	
祭	tɕi5	
禍	vu4	
禁	tɕiaŋ5	
禄	ləu8	
福	fu7	
离	lei2	
禽	dʑiaŋ2	
禾	vu2	
秀	səu5	
私	sɿ1	
禿	tʰəu5	
秆	kø3	稻～
秉	peŋ3	
秋	tsʰəu1	
種	tɕyo3	
種	tɕyo5	～田
科	kʰu1	
秒	mie4	
秘	pei7	
租	tɕy1	
秤	tsʰeŋ1	动词
秤	tsʰeŋ5	
秦	zaŋ2	
秧	ˀiɛ1	
積	tɕi7	
稱	tsʰeŋ1	～呼
稱	tsʰeŋ5	相～
移	i2	
稀	ɕi1	
程	dzeŋ2	
稍	sɔ1	～微
稍	sɔ5	～息
稅	səy5	
稠	dzəu2	
穩	ˀyø3	
稻	dɛ4	
稿	kɛ3	
穴	ɦyø8	
究	tɕiau5	
窮	dʑioŋ2	
空	kʰoŋ1	
空	kʰoŋ5	亏～
穿	tɕʰyø1	
突	dø8	
竊	tɕʰie7	
窄	tso7	
窑	ɦyø2	
窗	tɕʰyo1	
窘	dʑyŋ4	
窩	u1	燕～
窟	kʰyø7	
窠	kʰu1	
立	lie8	
豎	zəy4	
站	dzɔ6	
競	dʑiaŋ6	
竟	tɕiaŋ5	
章	tɕiɛ1	
童	doŋ2	
端	tø1	
竹	tsəu7	
竿	kø1	
笋	ɕyŋ3	
笑	ɕyø5	
笔	pe7	
笛	dei8	
笠	lie8	
符	vu2	
笨	baŋ6	
第	dei4	～一
第	dei6	及～
箋	tɕʰie1	
籠	loŋ2	
等	taŋ3	
筋	tɕiaŋ1	
筏	vɔ8	
筐	tɕʰyo1	
筑	tsəu7	
筒	doŋ2	
答	tø7	
策	tsʰa7	
篩	sɿ1	
箏	tsa1	
籌	dzəu2	
签	tɕʰie1	
簡	kɔ3	
箍	kʰau1	～桶
算	sø5	
管	kyø3	
簫	ɕiɔ1	
箭	tɕie5	
箱	ɕiɛ1	
箸	dʑi6	
篆	dʑyø2	
篇	pʰie1	
簍	lau4	
篦	bei6	
籃	lɔ2	
篱	lei2	
篷	boŋ2	
簧	ɦo2	
簿	bu4	
籍	zei8	
米	mei4	
类	ləy6	
粉	faŋ3	
粒	lø8	
粗	tɕʰy1	
粘	ȵi1	
糶	tʰuɔ5	
粟	ɕyo7	
粤	ɦyø8	
粥	tsəu7	
糞	faŋ5	
糧	liɛ2	
粱	liɛ2	
粳	ka1	
糉	tsoŋ5	
糊	vu2	
糕	kɛ1	
糖	do2	
糙	tsʰɛ5	
糟	tsɛ1	
糠	kʰo1	
糯	noŋ6	～米
系	i2	～统
素	səu5	
索	so7	
緊	tɕiaŋ3	
紫	tsɿ3	
紮	tsɔ7	
累	lai4	
絮	səy5	
繁	vɔ2	
糾	tɕiau1	
紅	ɦoŋ2	
約	ˀiɔ7	
級	tɕie7	
紀	tɕi3	年～
紀	tɕi5	
純	zəŋ2	
紗	so1	
綱	ko1	
納	ne8	
縱	tɕyo5	
紛	faŋ1	
紙	tɕi3	
紋	vaŋ2	
紡	fɔ3	
紐	ȵiau3	
線	ɕie5	
練	lie6	
組	tsəu3	
紳	saŋ1	
細	sei5	
織	tɕi7	
終	tsoŋ1	
縐	tsau5	
絆	bø4	
紹	ɦyø6	
經	tɕiaŋ1	
綁	puo3	
絨	zoŋ2	
結	tɕie7	
繞	ɦyø4	
繪	vai6	
給	tɕie7	
絡	lo8	
絕	ɦyø8	
絞	kɔ3	
統	tʰoŋ3	
絹	tɕyø1	
繡	səu5	
繼	tɕi5	
績	tɕi7	
續	ɦyo8	
繩	zeŋ2	
維	ɦy2	
綿	mie2	
綢	dzəu2	
綜	tsoŋ1	
綠	luo8	
纜	lɔ6	
緞	dø6	
緩	ɦyø4	
縷	lau4	
編	pie1	
縛	ɦuo8	
縫	voŋ2	～衣
縫	voŋ6	一条～
纏	dʑie6	
纓	ˀiaŋ1	
繳	tɕyø3	
缸	ko1	
缺	tɕʰyø7	
罐	kyø5	
网	mo4	
罕	hø3	
羅	ləu2	
罰	vɔ8	
罷	buo2	
罩	tsɔ5	
罪	zai4	
置	tsɿ5	
署	zəy4	
羊	ɦiɛ2	
美	mei4	
羔	kɛ1	
羞	səu1	
羣	dʑyŋ2	
羹	ka1	
翁	ˀoŋ1	
翅	tsʰɿ5	
翔	ɦiɛ2	
翠	tsʰai5	
翻	fɔ1	
翼	i8	
老	lɛ4	
考	kʰɛ3	
者	tɕiɛ3	
而	zɿ6	
耕	ka1	
耗	hɛ5	
耳	zɿ4	文读
耳	ŋ4	
恥	tsʰɿ3	
耽	tɔ1	
耿	ka3	
聊	luɔ2	
聾	loŋ2	
職	tɕi7	
聯	lie2	
聘	pʰeŋ5	
聚	zəy4	
聰	tsʰoŋ1	
肆	sɿ5	
肆	i2	
肉	ȵiəu8	
肋	le8	
肘	tsəu3	
肚	təy3	猪～
肚	dəy4	～皮
肛	ko1	
肝	kø1	
腸	dʑiɛ2	
股	ku3	
肢	tɕi1	
肤	fu1	
肥	vei2	
肩	tɕie1	
肫	tɕyŋ1	
骯	ˀo1	～脏
肯	kʰaŋ3	
育	ɦiəu8	
肺	fei5	
腎	zaŋ4	
腫	tɕyo3	
脹	tɕiɛ5	
胃	ɦy6	
膽	tɔ3	
背	pai1	动词
背	pai5	
背	bai6	～书
胎	tʰe1	
胛	kɔ7	
勝	seŋ5	
胞	pɔ1	
胡	vu2	
膠	kɔ1	
胸	ɕyo1	
能	naŋ2	
脂	tsɿ1	
脆	tsʰai3	
脉	ma8	
脊	tɕi7	
脏	zo6	
臍	zei2	
腦	nɛ4	
膿	noŋ2	
腳	tɕiɔ7	
脯	fu3	
脫	tʰø7	
腡	lai2	指纹
臉	lie4	
脾	bei6	
臘	lɔ8	
腋	i8	
腌	ɦie6	
腐	vu6	
腑	fu3	
腔	tɕʰiɛ1	
腥	seŋ1	
腮	ɕi1	
腮	se1	
腰	ˀyø1	
腹	fu7	
膩	ȵi6	
騰	daŋ2	
腿	tai3	
膏	kɛ1	
膜	mo8	
膨	ba2	
臀	dø2	
臂	pei7	
臣	dzaŋ2	
臧	tso1	
自	zɿ6	
臭	tsʰəu5	
至	tsɿ5	
致	tsɿ5	
臼	dʑiau4	
舀	ˀyø3	
舅	dʑiau4	
舌	ɦie8	
舍	sei3	
舒	səy1	
舔	fiɛ3	
舞	vu4	
舟	tsəu1	
航	ɦo2	
般	bø2	
舵	dəu4	
艇	tʰeŋ3	
艘	sau3	
良	liɛ2	
艱	kɔ1	
色	se7	
藝	ȵi6	
節	tɕie7	
芒	mo2	
芝	tsɿ1	
芥	ka5	
蘆	ləy2	
芬	faŋ1	
花	huo1	
芳	fɔ1	
芹	dʑiaŋ2	
芽	ŋo2	
蒼	tsʰo1	
苧	dʑi4	
苏	səy1	
苑	ɕie5	
苗	mie2	
苟	kau3	
若	ɦiɔ2	
苦	kʰu3	
英	ˀiaŋ1	
蘋	beŋ2	
茂	mɛ6	
范	vɔ4	
茅	mɔ2	
繭	tɕie3	
茫	mo2	
茴	vai2	
茶	dzo2	
茸	zoŋ2	
荆	tɕiaŋ1	
草	tsʰɛ3	
薦	tɕie5	
荒	ho1	
荔	lei6	
蕩	do6	
榮	ɦioŋ2	
葷	ɕyø1	
藥	ɦiɔ2	
荷	vu2	
莫	mo8	
蓮	lie2	
获	va8	
鶯	ˀiaŋ1	
蓴	zəŋ2	
莽	mo4	
菊	tɕiəu7	
菌	dʑyŋ4	
菜	tsʰe5	
菠	pu1	
菱	leŋ2	
菲	fei1	
蘿	ləu2	
螢	ɦioŋ2	
營	ɦioŋ2	
蕭	ɕiɔ1	
薩	sɔ7	
落	lo8	
著	tɕy5	
葛	kø7	
葡	bu2	
董	toŋ3	
葫	vu2	
葬	tso5	
葱	tsʰoŋ1	
葵	dʑy2	
蒂	tei5	
蔣	tɕiɛ3	
蒙	moŋ2	
蒜	sø5	
蒲	bu2	
蒸	tseŋ1	
蒿	hɛ1	
蓄	ɕiəu7	
蓉	ɦioŋ2	
蓑	so1	
藍	lɔ2	
蓬	boŋ2	
蔡	tsʰa5	
蔽	pei5	
蕉	tɕyø1	
蕊	dʑy4	
薄	buo8	
薇	vei2	
薛	sei7	
薪	saŋ1	
薰	ɕyŋ1	
藉	zei8	
藏	zo2	隐～
藐	mie4	
藕	ŋau4	
藤	daŋ2	
蘸	tsɔ5	
虎	fu3	
虐	ȵiɔ8	
虑	ləy6	
虔	dʑie2	
虛	ɕy1	
蟲	dʑioŋ2	
虱	sɛ7	
虹	ɦoŋ2	
虻	ma1	牛～
雖	səy1	
蝦	ho1	
蝕	zei8	
蚊	maŋ2	白读
蚊	vaŋ2	文读
蠶	zø2	
蚣	koŋ1	螟～
蚤	tsɛ3	
蛀	tɕy5	
蛇	zei2	
蛋	dɔ6	
蛔	vai2	
蛙	ˀo1	
蛛	tɕy1	
蠻	mɔ2	
蛾	ŋ2	
蜂	foŋ1	
蜓	deŋ2	蜻～
蜘	tsɿ1	
蜜	mie8	
蠟	lɔ8	
蜻	tsʰeŋ1	
蠅	ˀiaŋ1	
蟬	ɦie2	
蝌	kʰu1	
蝗	ɦo2	
蝴	vu2	
蝶	duɔ8	
螂	lo2	螳～
融	ɦioŋ2	
蟒	mo4	
蟹	ha3	
蠢	tɕʰyŋ5	
血	ɕyø7	
行	ɦa2	～走
行	ɦo2	银～
銜	ɡɔ2	
街	ka1	
衡	va2	
衣	i1	
補	pu3	
表	pie3	
衫	sɔ1	
襯	tsʰaŋ5	
衰	sai1	
衷	tsoŋ1	
袁	ɦyø4	
襖	ˀɛ3	
袋	de6	
袍	bɛ2	
袖	zəu6	
袜	mo8	
被	bei4	
裁	ze2	
裂	lie8	
裝	tso1	
裕	ɦy6	
裙	dʑyŋ2	
褲	kʰu5	
裹	ku1	包～
裹	ku3	动词
褥	zəu8	
褶	pai5	
襄	ɕiɛ1	
襟	tɕiaŋ1	
西	sei1	
要	ˀyø1	～求
要	ˀyø5	
要	ˀe5	～不～ 就是爱字
見	tɕie5	
觀	kyø1	
規	tɕy1	～定
覓	mie8	
視	zɿ6	
覽	lɔ4	
覺	ko7	～得
角	ko7	
解	ka3	
觸	tɕʰyo7	
譽	ɦy6	
譽	daŋ2	
誓	zei6	
警	tɕiaŋ5	
譬	pʰei3	
計	tɕi5	
訂	teŋ5	
認	ȵiaŋ6	
譏	tɕi1	
討	tʰɛ3	
讓	ȵiɛ6	白读
讓	ɦiɛ6	文读
託	tʰø7	
訓	ɕyŋ5	
議	ȵi4	
訊	saŋ3	
記	tɕi5	
講	ko3	
諱	səy3	
許	səy3	
論	lø6	
訟	ɦyo6	
諷	foŋ5	
設	sei7	
訪	fɔ3	
訣	tɕyø7	
证	tseŋ5	
評	beŋ2	
識	sei7	
訴	səy5	
診	tsaŋ1	
詞	zɿ2	
譯	i8	
試	sɿ5	
詩	sɿ1	
誠	zeŋ2	
話	ɦuo6	
該	ke1	
詳	ɦiɛ2	
語	ȵy4	
誤	ŋ6	
誨	fai5	
說	ɕyø7	
誦	ɦyo6	
請	tsʰeŋ3	
諸	tɕy1	
諾	no6	
讀	dəu8	
課	kʰu5	
誰	zəy2	
調	duɔ6	
諒	liɛ6	
談	dɔ2	
謀	mɛ2	
諜	duɔ8	
謊	ho1	
謂	ɦy6	
讒	zɔ2	
謎	mei2	
謝	zei6	
謠	ɦyø2	
謙	tɕʰie1	
謬	mie6	
譚	dɔ2	
譜	pu3	
谷	ku7	
豆	dəu6	
豚	dø2	
象	ɦiɛ4	
豪	ɦɛ2	
豹	pɔ5	
貂	tuɔ1	
貌	mɔ6	
貝	pai5	
貞	tseŋ1	
負	vu4	
貢	koŋ5	
財	ze2	
責	tsɛ7	
賢	ɦie2	
敗	ba6	
貨	fu5	
質	tsɛ7	
貪	tʰø1	
貧	beŋ2	
貶	pie3	
購	kau5	
貫	kyø5	
賤	ɦie6	
貼	tʰuɔ7	
貴	tɕy5	
貸	tʰe5	
貿	mɛ6	
費	fei5	
賀	vu6	
貽	i2	
賊	ze8	
賈	ko3	
賄	fai3	
贓	tso1	
資	tsɿ1	
賭	təy3	
贖	ɦyo8	
賞	ɕiɛ3	
賜	sɿ5	
賠	bai2	
賴	la6	
賽	se5	
赞	tsɔ5	
贈	zaŋ6	
赤	tɕʰi7	
赦	sei5	
走	tsau3	
趙	dʑyø4	
趕	kø3	
起	tɕʰi3	
趁	tsʰaŋ5	
超	tɕʰiɔ1	
越	ɦyø8	
趟	tʰo5	
趣	tɕʰy5	
足	tɕyo7	
趾	tsɿ3	
躍	ɦiɔ2	
跌	tie7	
跑	pʰɔ3	
距	dʑy2	
跟	kaŋ1	
跨	kʰuɔ1	
跪	dʑy4	
路	ləy6	
跳	tʰuɔ5	
踐	dʑie6	
踊	ɦyo4	
踏	dɔ8	
踢	tʰei7	
蹤	tsoŋ1	
踱	do6	
蹄	dei2	
躁	tsɛ5	
身	saŋ1	
躬	tɕioŋ1	
躲	təu3	
躺	tʰo3	
車	tɕy1	～马炮
車	tsʰo1	汽～
軋	ɡɔ8	
軌	tɕy3	
轉	tɕyø3	
輪	laŋ2	
軟	ȵyø4	
轟	hoŋ1	
軸	dzəu8	
輕	tɕʰiaŋ1	
載	tse5	
轎	dʑyø6	
較	kɔ5	
輔	fu3	
輛	liɛ4	
輩	pai5	
輝	səy1	
輸	səy1	
轄	ˀø7	
辛	saŋ1	
辜	ku1	
辭	zɿ2	
辣	lɔ8	
辨	bie4	
辯	bie4	
辮	bie4	
辰	zaŋ2	
辱	zəu8	
邊	pie1	
遼	luɔ2	
达	dɔ8	
迁	tɕʰie1	
迅	saŋ3	
過	ku5	
邁	ma2	
迎	ȵiaŋ2	
運	ɦyŋ6	
近	dʑiaŋ4	
返	fɔ3	
還	ɦuɔ2	
這	tɕyø7	
進	tsaŋ5	
遠	ɦyø4	
違	ɦy2	
連	lie2	
遲	dzɿ2	
迫	pa7	
述	ɦyø8	
迷	mei2	
迹	tɕi7	
追	tɕy1	
退	tai5	
送	soŋ5	
適	sei7	
逃	dɛ2	
逆	ȵie6	
選	ɕyø3	
透	fau5	
遞	dei6	
途	dəy2	
逗	dau6	
通	tʰoŋ1	
逝	zei6	
速	səu7	
造	zɛ4	
逢	voŋ2	
逸	i8	
逼	pei7	
遁	dø6	
遂	zəy2	
遇	ȵy6	
遍	pie5	
道	dɛ4	
遺	ɦy2	
遭	tsɛ1	
遮	tɕie1	
遵	tɕyŋ3	
避	bei6	
邀	ˀyø3	
邓	daŋ6	
邦	puo1	
邪	zei2	
郵	ɦiau2	
邵	ɦyø6	
鄒	tsau1	
鄰	leŋ2	
郊	kɔ1	
郎	lo2	
鄭	dzeŋ6	
郡	dʑyŋ6	
部	bu4	
郭	ko7	
都	təy1	
鄂	ŋo8	
鄙	pei3	卑～
鄙	pei5	～人
配	pʰai5	
酒	tsəu3	
酪	lo8	
酬	dzəu2	
醬	tɕiɛ5	
酷	kʰu7	
酸	sø1	
醇	zəŋ2	
醉	tɕy5	白读
醉	tsai5	文读
醋	tɕʰy5	
醒	seŋ3	
采	tsʰe3	
釉	ɦiau6	
釋	sei7	
里	lei4	
重	dʑyo2	～复
重	dʑyo4	～量
量	liɛ2	衡～
量	liɛ6	重～
金	tɕiaŋ1	
鍊	lie6	
针	tsaŋ1	
釘	teŋ1	
釘	teŋ5	动词
釧	tɕʰyø5	
釣	tuɔ5	
鈍	dø6	
钟	tɕyo1	
鋼	ko1	
鑰	ɦiɔ2	
鈞	tɕyŋ1	
鉤	kau1	
鈕	ȵiau3	
錢	die2	白读 又写作钿
錢	dʑie2	文读
鉗	dʑie2	
鉢	pø7	
鈸	bø8	
鑽	tsø1	
鑽	tsø5	～石
鐵	tʰie7	
鈴	leŋ2	
鉛	kʰa1	
鐸	do8	
銅	doŋ2	
鍘	zɔ8	
鏵	ɦuo2	
銘	meŋ2	
铲	tsʰɔ3	
銀	ȵiaŋ2	
鋪	pʰu1	动词
鋪	pʰu5	店～
銷	ɕyø1	
鎖	səu3	
鋤	zɿ6	～头
鍋	ku1	
鏽	səu5	
鋒	foŋ1	
銳	zai6	
錯	tsʰo7	
錨	mɔ2	
錫	sei7	
鑼	ləu2	
錘	dʑy2	
鍵	dʑie6	
鍛	tø5	～炼
鍍	dəy6	
鎮	tsaŋ5	
鎬	kɛ3	
鏡	tɕiaŋ5	
鑊	ɦo8	锅
鐲	dʑyo8	
镰	lie2	
鑲	ɕiɛ1	
長	tɕiɛ3	生～
長	dʑiɛ2	～短
門	maŋ2	
閂	sø1	
閉	pei5	
問	maŋ6	白读
問	vaŋ6	文读
闖	tɕʰyo3	
閏	ɦyŋ6	
闲	ɦɔ2	
間	kɔ1	
悶	maŋ6	
閘	zɔ8	
鬧	nɔ6	
聞	vaŋ6	
閩	meŋ4	
閣	ko7	阁巷的阁是去声而非入声
閱	ɦyø8	
閻	ɦie2	
闌	lɔ2	
闊	kʰuɔ7	
隊	dai2	
阮	ȵyø4	
防	vɔ2	
陽	ɦiɛ2	
陰	ˀiaŋ1	
陣	dzaŋ6	
階	ka1	
阻	tsəu3	
阿	ˀa1	～哥
附	vu6	
際	tɕi5	
陸	ləu8	
隴	loŋ4	
陳	dzaŋ2	
陋	lau6	
陌	ma8	
降	ko5	升～
降	ɦiɛ2	投～
限	ɦɔ4	
陡	tau3	
院	ɦyø6	
除	dʑy2	
險	ɕie3	
陪	bai2	
陵	leŋ2	
陶	dɛ2	
陷	ɦɔ6	
隆	loŋ2	
隋	zəy2	
隨	zəy2	
隱	ˀiaŋ3	
隔	ka7	
障	tɕiɛ1	
隶	lei6	
難	nɔ2	
難	nɔ6	患～
雀	tɕʰiɔ7	麻～
雁	ŋɔ6	
雄	ɦioŋ2	
雅	ŋo4	
集	zɛ8	
雇	ku5	
雌	tsʰɿ1	
雍	ˀioŋ1	
雕	tuɔ1	
雨	ɦy4	
雪	ɕyø7	
零	leŋ2	
雷	lai2	
霧	vu6	
需	səy1	
霄	ɕiɔ1	
震	tsaŋ5	
霉	me2	
霍	ho7	
霖	leŋ2	
霜	ɕyo1	
霞	ɦo2	
露	ləy6	
霸	puo5	
青	tsʰeŋ1	
靖	zeŋ4	
靜	zeŋ4	
非	fei1	
靠	kʰɛ5	
面	mie6	
革	ka7	
靴	səu1	
鞋	ɦa2	
鞍	ˀø1	
鞭	pie1	
韓	ɦø2	
韭	tɕiau3	
音	ˀiaŋ1	
韵	ɦyŋ6	
韶	ɦyø2	
頁	ɦie8	
