#漢字	音標	解釋
兄	ɕioŋ1	
充	tsʰoŋ1	
兆	dʑyø4	
先	ɕie1	
光	ko1	
克	kʰe7	
免	mie4	
兌	dai2	
兔	tʰəy5	
黨	to3	
兜	tau1	
入	zɛ8	
全	ɦyø2	
八	puo7	
公	koŋ1	
六	ləu8	
蘭	lɔ2	
共	dʑyo6	
關	kuɔ1	
興	ɕiaŋ5	高～
興	ɕiaŋ1	
兵	peŋ1	
其	dʑi2	
具	dʑy6	
典	tiɛ3	
兹	tsɿ1	
養	ˀiɛ3	
兼	tɕie1	
獸	səu5	
內	nai6	
冇	nau4	没有
岡	ko1	
冊	tsʰa7	
再	tse5	
冒	mɛ6	
軍	tɕyŋ1	
農	noŋ2	
冠	kyø1	衣～
冠	kyø5	～军
冤	ˀyø1	
冬	toŋ1	
馮	voŋ2	
冰	peŋ1	
冲	tsʰoŋ1	
决	tɕyø7	
况	ɕyo5	
冷	la4	
凍	toŋ5	
淨	zeŋ6	
凄	tɕʰi1	
準	tɕyŋ3	
凉	liɛ2	
凌	leŋ2	
減	kɔ3	
湊	tsʰau5	
凝	ȵiaŋ2	
几	tɕi1	茶～
几	tɕi3	文读，～个
几	ke3	～个
凡	vɔ2	
鳳	voŋ6	
凭	beŋ2	
凱	kʰe3	
凳	taŋ5	
凶	ɕyo1	
出	tɕʰyø7	
擊	tɕie7	
函	ɦɔ2	
鑿	zø8	
刀	tɛ1	
刁	tuɔ1	
刃	zaŋ6	
分	faŋ1	
切	tɕʰie7	
刊	kʰø1	
刎	vaŋ4	
刑	ɦiaŋ2	
划	va8	计～
划	ɦuo2	～船
列	lie8	
劉	ləu2	
則	tse7	
剛	ko1	
創	tsʰo1	～伤
創	tsʰo5	
初	tsʰəu1	
刪	sɔ1	
判	pʰø5	
刨	bɔ6	
利	lei6	
别	bie8	
刮	kuɔ7	
到	tɛ5	
制	tɕi5	
刷	sø7	
券	tɕʰyø5	
刻	kʰe7	时～
刻	kʰe7	～刀
劊	kai5	
劑	tɕi5	
剃	tʰei5	
削	ɕiɔ7	
剌	tsʰɿ5	
前	ɦie2	
劍	tɕie5	
剔	tʰei7	
剖	pʰɛ3	
剜	ˀyø3	
剝	puo7	
劇	dʑie8	
剩	dzeŋ6	
剪	tɕie3	
割	kø7	
劈	pʰei7	
力	lei8	
勸	tɕʰyø5	
辦	bɔ6	
功	koŋ1	
加	ko1	
務	vu6	
劣	le8	
動	doŋ4	
助	zəu6	
努	nəu4	
勵	lei6	
勁	tɕiaŋ5	
勞	lɛ2	
勢	sei5	
勃	bø8	
勇	ɦyo4	
勉	mie4	
勋	ɕyŋ1	
勒	le8	
勘	kʰø1	
募	mu6	
勤	dʑiaŋ2	
勾	kau1	
勻	ɦyŋ2	
包	pɔ1	
匆	tsʰoŋ1	
匈	ɕyo1	
化	huo5	
北	pe7	
匙	zei2	
匠	ɦiɛ6	
匣	ɦɔ8	
匪	fei3	
匹	pʰie7	
區	tɕʰy1	
醫	i1	
匾	pie3	
十	zɛ8	
千	tɕʰie1	
升	seŋ1	
午	ŋ4	
半	pø5	
華	ɦuo2	
協	ɦie8	
卑	pai1	
卒	tsɛ7	
卓	tɕyo7	
單	tɔ1	
賣	ma6	
南	ne2	
博	puo7	
卜	bu8	
卡	kʰa3	
盧	ləy2	
卤	ləy4	
卦	kuo5	
臥	ŋ6	
衛	ɦy6	
卯	mɔ4	
印	ˀiaŋ5	
危	ȵy6	
即	tɕie7	
卻	tɕʰiɔ7	
卵	laŋ4	
卷	tɕyø3	～心菜
卷	tɕyø5	
卸	sei5	
卿	tɕʰiaŋ1	
廠	tɕʰiɛ3	
廳	tʰeŋ1	
历	lei8	
厲	lei6	
壓	ˀɔ7	
厭	ˀie5	
廁	tsʰe7	
厘	lei2	
厚	ɡau4	白读
厚	ɦau4	文读
原	ȵyø2	
廂	ɕiɛ1	
厦	ɦo6	
廚	dʑy2	
去	kʰi5	白读
去	tɕʰy5	文读
縣	ɦyø6	
参	tsʰø1	～考
参	tsʰe1	～加
参	saŋ1	人～
又	ɦiau6	
叉	tsʰo1	
及	dʑie8	
友	ɦiau4	
雙	ɕyo1	
反	fɔ3	
发	fɔ7	
叔	səu7	
取	tɕʰy3	
受	zəu4	
變	pie5	
敘	zəy4	
叛	bø4	
叟	sau3	
疊	duɔ8	
口	kʰau3	
古	ku3	
