單字	聲紐	呼	等	韻部	聲調	組	攝	聲母_定	韻母_定	聲調_定	聲母_IPA	韻母_IPA	聲調_IPA	備註					
巴	幫	開	二	麻	平	幫	假	v	aa	1	ʋ	a	23						
叭	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	1	ʋ	a	23						
芭	幫	開	二	麻	平	幫	假	v	aa	1	ʋ	a	23						
疤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	1	ʋ	a	23						
笆	幫	開	二	麻	平	幫	假	v	aa	1	ʋ	a	23						
粑	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	1	ʋ	a	23						
把	幫	開	二	麻	上	幫	假	v	aa	2	ʋ	a	45						
靶	幫	開	二	麻	去	幫	假	v	aa	2	ʋ	a	45						
爸	並	開	一	歌	上	幫	果	v	aa	2	ʋ	a	45						
罷	並	開	三	支B	平	幫	止	v	aa	6	ʋ	a	32						
霸	幫	開	二	麻	去	幫	假	v	aa	1	ʋ	a	23						
壩	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	1	ʋ	a	23						
吧	滂	開	二	麻	平	幫	假	v	aa	1	ʋ	a	23						
峇	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aa	1	ʋ	a	23						
擺	幫	開	二	佳	上	幫	蟹	v	aai	2	ʋ	ai	45						
襬	幫	開	三	支B	平	幫	止	v	aai	2	ʋ	ai	45						
拜	幫	開	二	皆	去	幫	蟹	v	aai	1	ʋ	ai	23						
敗	並	開	二	夬	去	幫	蟹	v	aai	6	ʋ	ai	32						
湃	滂	開	二	皆	去	幫	蟹	v	aai	1	ʋ	ai	23						
陛	並	開	四	齊	上	幫	蟹	v	aai	6	ʋ	ai	32						
閉	幫	開	四	齊	去	幫	蟹	v	aai	1	ʋ	ai	23						
敝	並	開	三	祭A	去	幫	蟹	v	aai	6	ʋ	ai	32						
蔽	幫	開	三	祭A	去	幫	蟹	v	aai	1	ʋ	ai	23						
弊	並	開	三	祭A	去	幫	蟹	v	aai	6	ʋ	ai	32						
幣	並	開	三	祭A	去	幫	蟹	v	aai	6	ʋ	ai	32						
斃	並	開	三	祭A	去	幫	蟹	v	aai	6	ʋ	ai	32						
跛								v	aai	1	ʋ	ai	23	跛咗					
跛	幫	開	一	歌	上	幫	果	v	aai	2	ʋ	ai	45	腳有殘疾					
白	並	開	二	庚	入	幫	梗	v	aak	6	ʋ	ak	32						
百	幫	開	二	庚	入	幫	梗	v	aak	1	ʋ	ak	23						
佰	明	開	二	庚	入	幫	梗	v	aak	1	ʋ	ak	23						
北	幫	開	一	登	入	幫	曾	v	aak	2	ʋ	ak	45						
伯	幫	開	二	庚	入	幫	梗	v	aak	5	ʋ	ak	21	伯公					
帛	並	開	二	庚	入	幫	梗	v	aak	6	ʋ	ak	32						
蔔	並	開	一	登	入	幫	曾	v	aak	6	ʋ	ak	32						
乓	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aam	1	ʋ	am	23						
班	幫	開	二	刪	平	幫	山	v	aan	1	ʋ	an	23						
斑	幫	開	二	刪	平	幫	山	v	aan	1	ʋ	an	23						
頒	並	合	三	文	平	幫	臻	v	aan	1	ʋ	an	23						
阪	幫	合	三	元	上	幫	山	v	aan	2	ʋ	an	45						
板	幫	開	二	刪	上	幫	山	v	aan	2	ʋ	an	45						
版	幫	開	二	刪	上	幫	山	v	aan	2	ʋ	an	45						
粄	幫	開	一	寒	上	幫	山	v	aan	2	ʋ	an	45						
闆	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aan	2	ʋ	an	45						
扮	幫	合	三	文	平	幫	臻	v	aan	6	ʋ	an	32						
崩	幫	開	一	登	平	幫	曾	v	aang	1	ʋ	aŋ	23						
繃	幫	開	二	耕	平	幫	梗	v	aang	1	ʋ	aŋ	23	繃帶					
蹦	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aang	1	ʋ	aŋ	23						
棒	並	開	二	江	上	幫	江	v	aang	6	ʋ	aŋ	32						
八	幫	開	二	山	入	幫	山	v	aat	1	ʋ	at	23						
捌	幫	開	二	山	入	幫	山	v	aat	1	ʋ	at	23						
拔	並	合	三	元	入	幫	山	v	aat	6	ʋ	at	32						
跋	並	開	一	寒	入	幫	山	v	aat	6	ʋ	at	32	習讀音應爲與形近字“拔”混淆導致					
包	幫	開	二	肴	平	幫	效	v	aau	1	ʋ	au	23						
苞	幫	開	二	肴	平	幫	效	v	aau	1	ʋ	au	23						
孢	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	aau	1	ʋ	au	23						
胞	幫	開	二	肴	平	幫	效	v	aau	1	ʋ	au	23						
飽	幫	開	二	肴	上	幫	效	v	aau	2	ʋ	au	45						
鮑	並	開	二	肴	上	幫	效	v	aau	1	ʋ	au	23	鮑魚					
爆	幫	開	二	肴	去	幫	效	v	aau	1	ʋ	au	23						
卑	幫	開	三	支A	平	幫	止	v	ei	1	ʋ	ei	23						
悲	幫	開	三	脂B	平	幫	止	v	ei	1	ʋ	ei	23						
碑	幫	開	三	支B	平	幫	止	v	ei	1	ʋ	ei	23						
被	並	開	三	支B	去	幫	止	v	ei	6	ʋ	ei	32	被動					
備	並	開	三	脂B	去	幫	止	v	ei	6	ʋ	ei	32						
憊	並	開	二	皆	去	幫	蟹	v	ei	6	ʋ	ei	32	習讀音應爲讀半邊“備”導致					
鼻	並	開	三	脂A	去	幫	止	v	ei	6	ʋ	ei	32						
比	幫	開	三	脂A	上	幫	止	v	ei	2	ʋ	ei	45	比較					
妣	幫	開	三	脂A	上	幫	止	v	ei	2	ʋ	ei	45						
彼	幫	開	三	支B	上	幫	止	v	ei	2	ʋ	ei	45						
庇	幫	開	三	脂A	去	幫	止	v	ei	1	ʋ	ei	23						
痺	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ei	1	ʋ	ei	23						
避	並	開	三	支A	去	幫	止	v	ei	6	ʋ	ei	32						
臂	幫	開	三	支A	去	幫	止	v	ei	1	ʋ	ei	23						
跛	幫	開	三	支B	去	幫	止	v	ei	1	ʋ	ei	23	站立時重心偏於某一足上					
泌	幫	開	三	脂B	去	幫	止	v	ei	1	ʋ	ei	23						
祕	幫	開	三	脂B	去	幫	止	v	ei	1	ʋ	ei	23						
秘	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ei	1	ʋ	ei	23						
陂	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	ei	4	ʋ	ei	22						
背	並	合	一	灰	去	幫	蟹	v	ei	5	ʋ	ei	21	背小孩					
奔	幫	合	一	魂	平	幫	臻	v	en	1	ʋ	ɜn	23						
笨	幫	合	一	魂	上	幫	臻	v	en	6	ʋ	ɜn	32						
彬	幫	開	三	真B	平	幫	臻	v	en	1	ʋ	ɜn	23						
賓	幫	開	三	真A	平	幫	臻	v	en	1	ʋ	ɜn	23						
濱	幫	開	三	真A	平	幫	臻	v	en	1	ʋ	ɜn	23						
檳	幫	開	三	真A	平	幫	臻	v	en	1	ʋ	ɜn	23						
繽	滂	開	三	真A	平	幫	臻	v	en	1	ʋ	ɜn	23						
臏	並	開	三	真A	上	幫	臻	v	en	1	ʋ	ɜn	23	習讀音應爲讀半邊“賓”導致					
鬢	幫	開	三	真A	去	幫	臻	v	en	1	ʋ	ɜn	23						
稟	幫	開	三	侵B	上	幫	深	v	en	2	ʋ	ɜn	45						
筆	幫	開	三	真B	入	幫	臻	v	et	2	ʋ	ɜt	45						
畢	幫	開	三	真A	入	幫	臻	v	et	2	ʋ	ɜt	45						
嗶	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	et	2	ʋ	ɜt	45						
不	幫	合	三	尤	平	幫	流	v	et	2	ʋ	ɜt	45						
柄	幫	開	三	庚	去	幫	梗	v	iaang	1	ʋ	iaŋ	23	習讀音應爲韻母ing對應的白讀音					
餅	幫	開	三	清A	上	幫	梗	v	iaang	2	ʋ	iaŋ	45	習讀音應爲韻母ing對應的白讀音					
病	並	開	三	庚	去	幫	梗	v	iaang	6	ʋ	iaŋ	32						
啤	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	v	iaa	1	ʋ	ia	23						
