花	fa33				
化	fa33				
块	fai33				
快	fai33				
犯	fan325				
饭	fan325				
翻	fan33				
反	fan55				
罚	fat325				
法	fat55				
发	fat55				
房	fɔŋ225				
防	fɔŋ225				
慌	fɔŋ33				
方	fɔŋ33				
放	fɔŋ33				
纺	fɔŋ55				
肥	fei225				
肺	fei33				
飞	fei33				
费	fei33				
服	fəɯk325				
福	fəɯk55				
蓬	fəɯŋ225				
缝	fəɯŋ225				
凤	fəɯŋ325				
风	fəɯŋ33				
丰	fəɯŋ33				
封	fəɯŋ33				
蜂	fəɯŋ33				
浮	feu225				
妇	fu215				
户	fu325				
父	fu325				
裤	fu33				
富	fu33				
副	fu33				
付	fu33	fu325			
苦	fu55				
虎	fu55				
府	fu55				
课	fuɔ33				
货	fuɔ33				
火	fuɔ55				
灰	fuɔi33				
宽	fuɔn33				
欢	fuɔn33				
阔	fuɔt335				
坟	fun225				
粪	fun325				
婚	fun33				
分	fun33				
熏	fun33				
粉	fun55				
佛	fut325				
下	ha325				
夏	ha325				
虾	ha33				
鞋	hai225				
系	hai325				
梯	hai33				
剃	hai33				
蟹	hai55				
客	hak335				
刻	hak55				
黑	hak55				
潭	ham225				
含	ham225				
咸	ham225				
贪	ham33				
喊	ham33				
弹	han225				
限	han325				
炭	han33				
毯	han33				
藤	haŋ225				
行	haŋ225				
坑	haŋ33				
肯	haŋ55				
盒	hap215				
塔	hap55				
瞎	hat325				
桃	hɑu225				
号	hɑu325				
校	hɑu325				
孝	hɑu33				
讨	hɑu55				
好	hɑu55				
敲	hɑu55				
鹤	hɔk325				
壳	hɔk325				
学	hɔk335				
托	hɔk55				
糖	hɔŋ225				
降	hɔŋ225				
项	hɔŋ325				
汤	hɔŋ33				
糠	hɔŋ33				
戏	hei33				
器	hei33				
气	hei33				
希	hei33				
喜	hei55				
哭	həɯk335				
铜	həɯŋ225				
红	həɯŋ225				
熊	həɯŋ225				
雄	həɯŋ225				
通	həɯŋ33				
痛	həɯŋ33				
烘	həɯŋ33				
凶	həɯŋ33				
桶	həɯŋ55				
统	həɯŋ55				
挺	hen215				
田	hen225				
停	hen225				
恨	hen325				
天	hen33				
牵	hen33				
兴	hen33				
庆	hen33				
兄	hen33				
显	hen55				
铁	het335	het55			
厚	heu215				
头	heu225				
后	heu325				
偷	heu33				
口	heu55				
吃	hiak335				
向	hiaŋ33				
厅	hiaŋ33				
听	hiaŋ33				
轻	hiaŋ33	hen33			
响	hiaŋ55				
甜	hiem225				
欠	hiem33				
添	hiem33				
险	hiem55				
协	hiep325				
贴	hiep335				
条	hieu225				
靴	hiɛ33				
休	hiu33				
图	hu225				
土	hu55				
河	huɔ225				
拖	huɔ33				
可	huɔ55				
台	huɔi225				
害	huɔi325				
胎	huɔi33				
开	huɔi33				
海	huɔi55				
汗	huɔn325				
看	huɔn33				
汉	huɔn33				
渴	huɔt335				
脱	huɔt335				
去	hui33				
许	hui55				
劝	hun33				
吞	hun33				
圈	hun55				
血	hut335				
育	jəɯk325				
褥	jəɯk325				
浴	jəɯk325				
容	jəɯŋ225				
用	jəɯŋ325				
拥	jəɯŋ55				
延	jen225				
蝇	jen225				
形	jen225				
营	jen225				
现	jen325				
烟	jen33				
影	jen55				
益	jet55				
雨	ji215				
余	ji225				
移	ji225				
芋	ji325				
裕	ji325				
意	ji33				
衣	ji33				
姨	ji55				
药	jiak325				
约	jiak55				
痒	jiaŋ215				
赢	jiaŋ225				
样	jiaŋ325				
秧	jiaŋ33				
盐	jiem225				
嫌	jiem225				
炎	jiem325				
厌	jiem33				
叶	jiep325				
摇	jieu225				
腰	jieu33				
要	jieu33				
野	jiɛ215				
爷	jiɛ225				
夜	jiɛ325				
音	jim33				
引	jin215				
隐	jin215				
恩	jin33				
印	jin33				
入	jip325				
一	jit55				
油	jiu225				
右	jiu325				
优	jiu33				
有	jiu33				
幼	jiu33				
匀	jiun225				
完	juɔn225				
圆	juɔn225				
铅	juɔn225				
园	juɔn225				
院	juɔn325				
县	juɔn325				
冤	juɔn33				
远	juɔn55				
越	juɔt325				
嫁	ka33				
瓜	ka33				
假	ka55				
戒	kai33				
街	kai33				
鸡	kai33				
怪	kai33				
解	kai55				
拐	kai55				
隔	kak335				
格	kak55				
甘	kam33				
监	kam33				
感	kam55				
敢	kam55				
减	kam55				
间	kan33				
奸	kan33				
肩	kan33				
关	kan33				
惯	kan33				
更	kaŋ33				
梗	kaŋ33				
耕	kaŋ33				
夹	kap325				
甲	kap55				
刮	kat335				
高	kɑu33				
交	kɑu33				
角	kɔk335				
各	kɔk55				
国	kɔk55				
钢	kɔŋ33				
光	kɔŋ33				
江	kɔŋ33				
讲	kɔŋ55				
跪	kei325				
柜	kei325				
桂	kei33				
寄	kei33				
饥	kei33				
记	kei33				
龟	kei33				
季	kei33				
贵	kei33				
几	kei55				
鬼	kei55				
局	kəɯk325				
谷	kəɯk55				
菊	kəɯk55				
共	kəɯŋ325				
公	kəɯŋ33				
宫	kəɯŋ33				
恭	kəɯŋ33				
件	ken325				
建	ken325				
健	ken325				
劲	ken325				
见	ken33				
经	ken33				
杰	ket325				
极	ket325				
结	ket335				
击	ket55				
够	keu33				
狗	keu55				
挂	kʰa33				
溪	kʰai33				
契	kʰai33				
靠	kʰɑu33				
郭	kʰɔk335				
霍	kʰɔk335				
狂	kʰɔŋ225				
筐	kʰɔŋ33				
骑	kʰe225				
棋	kʰei225				
规	kʰei33				
亏	kʰei33				
曲	kʰəɯk55				
穷	kʰəɯŋ225				
孔	kʰəɯŋ55				
歇	kʰet55				
剧	kʰiak55				
钳	kʰiem225				
桥	kʰieu225				
茄	kʰiɛ325	kʰiɛ55			
琴	kʰim225				
勤	kʰin225				
近	kʰin33				
吸	kʰip55				
舅	kʰiu215				
球	kʰiu225				
箍	kʰu33				
该	kʰuɔi33				
渠	kʰui225				
区	kʰui33				
权	kʰun225				
裙	kʰun225				
困	kʰun33				
卷	kʰun55				
滚	kʰun55				
决	kʰut55				
缺	kʰut55				
脚	kiak335				
姜	kiaŋ33				
镜	kiaŋ33				
剑	kiem33				
及	kiep325				
轿	kieu325				
叫	kieu33				
金	kim33				
根	kin33				
筋	kin33				
紧	kin55				
急	kip55				
吉	kit55				
橘	kit55				
旧	kiu325				
九	kiu55				
古	ku55				
歌	kuɔ33				
过	kuɔ33				
果	kuɔ55				
个	kuɔi33				
盖	kuɔi33				
改	kuɔi55				
肝	kuɔn33				
官	kuɔn33				
割	kuɔt335				
句	kui33				
锯	kui33				
举	kui55				
均	kun33				
军	kun33				
骨	kut55				
拉	la55				
犁	lai225				
西	ɬai33				
洗	ɬai55				
塞	ɬak55				
蓝	lam225				
三	ɬam33				
兰	lan225				
烂	lan325				
懒	lan33				
伞	ɬan33				
冷	laŋ215				
蜡	lap325				
辣	lat325				
老	lɑu55				
嫂	ɬɑu55				
落	lɔk325				
浪	lɔŋ325				
写	ɬe55				
梨	lei225				
四	ɬei33				
李	lei55				
死	ɬei55				
鹿	ləɯk325				
六	ləɯk325				
绿	ləɯk325				
宿	ɬəɯk55				
聋	ləɯŋ225				
龙	ləɯŋ225				
送	ɬəɯŋ33				
松	ɬəɯŋ33				
宋	ɬəɯŋ33				
领	len215				
连	len225				
莲	len225				
鲜	ɬen33				
线	ɬen33				
先	ɬen33				
姓	ɬen33				
星	ɬen33				
列	let325				
力	let325				
历	let325				
息	ɬet55				
惜	ɬet55				
楼	leu225				
削	ɬiak335				
锡	ɬiak335				
零	liaŋ225				
亮	liaŋ325				
两	liaŋ55				
想	ɬiaŋ55				
料	lieu325				
笑	ɬieu33				
箫	ɬieu33				
小	ɬieu55				
林	lim225				
心	ɬim33				
邻	lin225				
新	ɬin33				
立	lip325				
流	liu225				
修	ɬiu33				
路	lu325				
事	ɬu325				
刺	ɬu33				
师	ɬu33				
丝	ɬu33				
祠	ɬu33				
锣	luɔ225				
螺	luɔ225				
锁	ɬuɔ55				
来	luɔi225				
乱	luɔn325				
酸	ɬuɔn33				
算	ɬuɔn33				
吕	lui215				
雷	lui225				
类	lui325				
碎	ɬui33				
岁	ɬui33				
轮	lun225				
孙	ɬun33				
选	ɬun55				
笋	ɬun55				
栗	lut325				
律	lut325				
雪	ɬut55				
马	ma215				
骂	ma325				
埋	mai225				
卖	mai325				
买	mai33				
米	mai55				
墨	mak325				
麦	mak325				
晚	man215				
慢	man325				
万	man325				
猛	maŋ215				
袜	mat325				
毛	mɑu225				
帽	mɑu325				
剥	mɔk55				
忙	mɔŋ225				
网	mɔŋ55				
眉	mei225				
味	mei325				
尾	mei55				
木	məɯk325				
目	məɯk325				
梦	məɯŋ325				
棉	men225				
明	men225				
名	men225				
面	men325				
面	men325				
灭	met325				
篾	met325				
命	miaŋ325	men325			
庙	mieu325				
民	min225				
密	mit325				
猫	miu55				
武	mu215				
母	mu215				
雾	mu325				
磨	muɔ225				
摸	muɔ55				
煤	muɔi225				
妹	muɔi325				
门	muɔn225				
满	muɔn55				
末	muɔt325				
物	muɔt325				
蚊	mun215				
问	mun325				
泥	nai225				
南	nam225				
难	nan225				
能	naŋ225				
闹	nɑu325				
脑	nɑu55				
脓	nəɯŋ225				
弄	nəɯŋ325				
年	nen225				
捏	nen55				
娘	niaŋ225				
念	niem325				
黏	niem33				
鸟	nieu215				
奴	nu225				
暖	nuɔn215				
女	nui55				
嫩	nun325				
牙	ŋa225				
瓦	ŋa55				
危	ŋai225				
艺	ŋai325				
蚁	ŋai55				
额	ŋak55				
岩	ŋam225				
颜	ŋan225				
顽	ŋan225				
银	ŋan225				
眼	ŋan55				
硬	ŋaŋ325				
熬	ŋɑu225				
儿	ŋei225				
义	ŋei325				
二	ŋei325				
耳	ŋei55				
肉	ŋəɯk325				
玉	ŋəɯk325				
浓	ŋəɯŋ225				
迎	ŋen225				
热	ŋet325				
孽	ŋet55				
藕	ŋeu215				
牛	ŋeu225				
钩	ŋeu33				
弱	ŋiak325				
让	ŋiaŋ325				
染	ŋiem215				
严	ŋiem225				
验	ŋiem325				
业	ŋiep325				
绕	ŋieu225				
任	ŋim325				
人	ŋin225				
认	ŋin325				
日	ŋit325				
鹅	ŋuɔ225				
饿	ŋuɔ325				
外	ŋuɔi325				
岸	ŋuɔn325				
鱼	ŋui215				
如	ŋui225				
遇	ŋui325				
言	ŋun225				
原	ŋun225				
闰	ŋun325				
软	ŋun33				
月	ŋut325				
把	pa55				
败	pai325				
币	pai325				
拜	pai33				
摆	pai55				
白	pak325				
百	pak335				
北	pak55				
扮	pan325				
办	pan325				
班	pan33				
板	pan55				
八	pat335	pat55			
抱	pɑu325				
包	pɑu33				
宝	pɑu55				
饱	pɑu55				
薄	pɔk325				
缚	pɔk335				
帮	pɔŋ33				
绑	pɔŋ55				
鼻	pei325				
碑	pei33				
比	pei55				
便	pen325				
变	pen33				
冰	pen33				
兵	pen33				
扁	pen55				
别	pet325				
憋	pet335				
壁	pet335				
逼	pet55				
爬	pʰa225				
排	pʰai225				
牌	pʰai225				
派	pʰai33				
拍	pʰak335				
棒	pʰaŋ215				
朋	pʰaŋ225				
棚	pʰaŋ225				
炮	pʰɑu33				
被	pʰei215				
皮	pʰei225				
屁	pʰei33				
骗	pʰen33				
片	pʰen33				
劈	pʰiak335				
踢	pʰiak335				
瓶	pʰiaŋ215	pʰen225			
平	pʰiaŋ225	pʰen225			
票	pʰieu33				
贫	pʰin225				
匹	pʰit55				
铺	pʰu33				
谱	pʰu55				
婆	pʰuɔ225				
破	pʰuɔ33				
赔	pʰuɔi225				
配	pʰuɔi33				
盘	pʰuɔn225				
判	pʰuɔn33				
盆	pʰun225				
病	piaŋ325				
柄	piaŋ33				
饼	piaŋ55				
表	pieu55				
品	pin55				
笔	pit55				
簿	pu325				
步	pu325				
布	pu33				
贝	puɔi33				
杯	puɔi33				
背	puɔi33				
胖	puɔn325				
搬	puɔn33				
半	puɔn33				
本	puɔn55				
拨	puɔt325				
泼	puɔt325				
沙	sa33				
晒	sai33				
世	sai33				
衫	sam33				
山	san33				
闩	san33				
生	saŋ33				
省	saŋ55				
杀	sat335				
索	sɔk55				
霜	sɔŋ33				
双	sɔŋ33				
熟	səɯk325				
赎	səɯk325				
属	səɯk325				
缩	səɯk335				
叔	səɯk55				
绳	sen225				
善	sen325				
扇	sen33				
升	sen33				
食	set325				
设	set55				
虱	set55				
色	set55				
式	set55				
愁	seu225				
瘦	seu33				
时	si225				
竖	si325				
树	si325				
柿	si325				
市	si325				
书	si33				
输	si33				
试	si33				
鼠	si55				
石	siak325	siak215			
勺	siak55				
尝	siaŋ225				
城	siaŋ225				
伤	siaŋ33				
上	siaŋ33				
声	siaŋ33	sen33			
舌	siet325				
烧	sieu33				
蛇	siɛ225				
射	siɛ325				
深	sim33				
神	sin225				
辰	sin225				
身	sin33				
十	sip325				
实	sit325				
失	sit55				
寿	siu325				
手	siu55				
数	su33				
数	su55				
所	suɔ55				
使	suɔi55				
船	suɔn225				
垂	sui225				
水	sui55				
唇	sun225				
纯	sun225				
顺	sun325				
僧	taŋ33				
杂	tap325				
集	tap325				
灶	tɑu325				
糙	tɑu325				
造	tɑu325				
早	tɑu55				
作	tɔk55				
姐	tei55				
族	təɯk325				
足	təɯk55				
粽	təɯŋ215				
静	ten325				
垫	ten33				
剪	ten55				
截	tet325				
席	tet325				
积	tet55				
节	tet55	tet335			
走	teu55				
贼	tʰak325				
蚕	tʰam225				
参	tʰam33				
层	tʰaŋ225				
草	tʰɑu55				
仓	tʰɔŋ33				
窗	tʰɔŋ33				
葱	tʰəɯŋ215				
松	tʰəɯŋ225				
钱	tʰen225				
前	tʰen225				
清	tʰen33				
浅	tʰen55				
切	tʰet335				
凑	tʰeu33				
青	tʰiaŋ33	tʰen33			
抢	tʰiaŋ55				
签	tʰiem33				
斜	tʰiɛ225				
寻	tʰim225				
亲	tʰin33				
七	tʰit55				
坐	tʰuɔ33				
错	tʰuɔ33				
财	tʰuɔi225				
菜	tʰuɔi33				
徐	tʰui225				
随	tʰui225				
取	tʰui55				
全	tʰun225				
传	tʰun225				
村	tʰun33				
寸	tʰun33				
雀	tiak55				
像	tiaŋ325				
浆	tiaŋ33				
匠	tiaŋ33				
井	tiaŋ55				
尖	tiem33				
接	tiep335				
焦	tieu33				
谢	tiɛ325				
借	tiɛ33				
浸	tim33				
进	tin33				
习	tip325				
袖	tiu325				
酒	tiu55				
字	tu325				
寺	tu325				
租	tu33				
做	tu33				
资	tu33				
紫	tu55				
子	tu55				
左	tuɔ55				
罪	tui325				
醉	tui33				
嘴	tui55				
蹲	tun33				
俊	tun33				
绝	tut325				
卒	tut55				
制	ʦai33				
择	ʦak325				
摘	ʦak325				
窄	ʦak335				
侧	ʦak55				
赚	ʦan325				
争	ʦaŋ33				
闸	ʦap325				
扎	ʦat335				
罩	ʦɑu33				
抓	ʦɑu55				
找	ʦɑu55				
撞	ʦɔŋ325				
装	ʦɔŋ33				
壮	ʦɔŋ33				
桩	ʦɔŋ33				
镯	ʦəɯk325				
竹	ʦəɯk55				
粥	ʦəɯk55				
烛	ʦəɯk55				
重	ʦəɯŋ325				
