#调值	[1]³¹ [2]²⁴ [3]²¹³ [5]⁵³ [6]⁴² [7]⁵																										
#ɿ																											
Ø	[1]畦蛙[3]瓦[5]洼[7]挖袜																										
#ʯa																											
tʂ	[1]抓[3]爪																										
ʂ	[3]耍[7]刷唰																										
#e																											
p	[6]白[7]北百伯柏																										
pʰ	[6][7]泊迫拍魄																										
m	[7]麦脉陌墨默																										
t	[7]得德																										
tʰ	[7]特忒忑																										
n	[1]勒[6]肋																										
k	[3]给[7]革隔																										
kʰ	[7]刻克客咳																										
x	[2]渠{他}[6]核劾[7]吓																										
ŋ	[6]扼轭[7]额																										
ts	[6]贼[7]窄责则择																										
tsʰ	[7]测侧泽册策恻册厕																										
s	[7]塞色瑟虱啬																										
tʂ	[1]遮[3]者[5]这蔗[7]折浙辙衄哲褶蜇摘																										
tʂʰ	[1]车[3]扯[7]拆彻撤																										
ʂ	[1]奢赊[2]蛇余[3]舍[5]赦射麝[6]舌社[7]设摄涉																										
#ue																											
k	[7]国虢																										
kʰ	[7]获或惑																										
x	[7]物																										
#ʯe																											
tʂ	[7]掘倔厥橛决块诀																										
Ø	[3]惹[5]跃乐{音~}[6]哕[7]热月越曰粤阅悦																										
#ei																											
p	[1]杯悲卑婢碑[5]辈臂背{～带}闭[6]被币背倍备避箅蔽敝																										
pʰ	[1]胚坯[2]培陪赔裴[5]配辔佩																										
m	[2]梅眉霉莓楣迷没枚煤媒[3]美每[5]媚寐[6]妹昧谜																										
f	[1]非飞妃菲[2]肥[3]匪榧翡[5]废肺吠痱费																										
t	[1]堆[5]对碓队兑																										
tʰ	[1]梯推[3]腿颓[5]褪退蜕																										
n	[6]累类泪内																										
ts	[3]嘴[5]醉最[6]罪																										
tsʰ	[1]崔催摧[5]粹翠脆																										
s	[1]虽[2]绥随[3]髓隧[5]岁遂穗碎邃																										
#uei																											
k	[1]鬼圭阉规归[3]鬼诡轨[5]鳜桂跪贵[6]柜																										
kʰ	[1]窥亏盔[2]奎葵逵馗魁[3]傀[5]溃愧																										
x	[1]灰恢麾辉挥徽[2]回茴[3]毁[5]慧惠晦讳秽桧[6]会汇绘																										
Ø	[1]威煨[2]围微唯维惟为危伟违苇[3]伪委萎尾纬伟[5]为畏喂胃蝈慰[6]卫位未味魏谓																										
#ʯei																											
tʂ	[1]锥[5]赘缀坠																										
tʂʰ	[1]吹炊[2]垂锤槌																										
ʂ	[2]谁[3]水[5]睡税																										
Ø	[3]蕊[5]锐芮睿瑞																										
#ie																											
p	[6]别[7]憋鳖																										
pʰ	[7]撇																										
m	[7]篾灭																										
t	[1]爹[6]叠碟牒[7]跌谍蝶																										
tʰ	[7]铁帖贴																										
n	[3]咧[7]捏业孽列烈猎聂镊蹑																										
tɕ	[3]姐[5]借[7]结洁截节揭杰劫接捷																										
tɕʰ	[2]茄[3]且[5][6][7]怯切																										
ɕ	[1]些[2]邪斜[3]写[5]泻卸泄[6]穴谢[7]协血歇蝎楔薛																										
Ø	[1]耶[2]爷[3]也野[5]夜[7]叶些页腋																										
#o																											
t	[1]多[3]朵[5]剁[6]夺舵[7]沰																										
tʰ	[1]拖[2]驼驮[6]夺[7]脱托拓																										
n	[1]啰[2]罗箩锣挪骡螺脶[3]虏裸捋[6]糯摞[7]酪诺落洛骆络烙																										
k	[1]歌哥[5]个[7]郭廓鸽割戈葛角各胳阁搁																										
kʰ	[3]可[7]渴叩磕																										
ŋ	[2]鹅蛾俄讹[3]我[6]饿[7]鄂恶																										
ts	[3]左佐[5]做[6]坐座[7]作撮																										
tsʰ	[1]搓[2]矬[5]措错锉[6]昨																										
s	[1]蓑梭唆[3]锁琐所[7]索缩																										
tʂ	[1]啄[6]着镯[7]桌卓琢捉着酌																										
tʂʰ	[7]戳绰																										
ʂ	[7]勺朔硕芍妁																										
ʐ	[7]弱若																										
#əɯ																											
