	字	IPA	吴拼	注释	声母	韵母	调值	吴拼声	吴拼韵	调类	原注	校注	多音字
2218	弱	jɦɔ³¹³			jɦ	ɔ	³¹³			8			
2219	耀	jɦɔ³¹³			jɦ	ɔ	³¹³			8			
2220	药	jɦɔ³¹³			jɦ	ɔ	³¹³			8			
2221	钥	jɦɔ³¹³			jɦ	ɔ	³¹³			8			
2222	约	jɦɔ³¹³		2。大概	jɦ	ɔ	³¹³			8	2。大概		2
2223	嚼	jɦɔ³¹³		1	jɦ	ɔ	³¹³			8	1		2
2224	交	kɔ⁴⁴			k	ɔ	⁴⁴			1			
2225	郊	kɔ⁴⁴			k	ɔ	⁴⁴			1			
2226	胶	kɔ⁴⁴			k	ɔ	⁴⁴			1			
2227	艰	kɔ⁴⁴			k	ɔ	⁴⁴			1			
2228	间	kɔ⁴⁴			k	ɔ	⁴⁴			1			
2229	奸	kɔ⁴⁴			k	ɔ	⁴⁴			1			
2230	绞	kɔ³⁵			k	ɔ	³⁵			3			
2231	狡	kɔ³⁵			k	ɔ	³⁵			3			
2232	铰	kɔ³⁵			k	ɔ	³⁵			3			
2233	橄	kɔ³⁵		~榄	k	ɔ	³⁵			3	~榄		
2234	尴	kɔ³⁵			k	ɔ	³⁵			3			
2235	减	kɔ³⁵			k	ɔ	³⁵			3			
2236	简	kɔ³⁵			k	ɔ	³⁵			3			2
2237	裥	kɔ³⁵			k	ɔ	³⁵			3			
2238	柬	kɔ³⁵			k	ɔ	³⁵			3			
2239	拣	kɔ³⁵			k	ɔ	³⁵			3			
2240	谏	kɔ³⁵			k	ɔ	³⁵			3			
2241	涧	kɔ³⁵			k	ɔ	³⁵			3			
2242	铜	kɔ³⁵			k	ɔ	³⁵			3			2
2243	简	kɔ³⁵			k	ɔ	³⁵			3			2
2244	□	kɔ³⁵		~~：玩儿	k	ɔ	³⁵			3	~~：玩儿		127
2245	教	kɔ⁵³			k	ɔ	⁵³			5			
2246	校	kɔ⁵³		~对，上~	k	ɔ	⁵³			5	~对，上~		2
2247	较	kɔ⁵³			k	ɔ	⁵³			5			
2248	窖	kɔ⁵³			k	ɔ	⁵³			5			
2249	碱	kɔ⁵³			k	ɔ	⁵³			5			
2250	监	kɔ⁵³			k	ɔ	⁵³			5			
2251	鉴	kɔ⁵³			k	ɔ	⁵³			5			
2252	峡	kɔ⁴²⁴			k	ɔ	⁴²⁴			7			
2253	甲	kɔ⁴²⁴			k	ɔ	⁴²⁴			7			
2254	胛	kɔ⁴²⁴			k	ɔ	⁴²⁴			7			
2255	夹	kɔ⁴²⁴			k	ɔ	⁴²⁴			7			
2256	敲	kʰɔ⁴⁴			kʰ	ɔ	⁴⁴			1			
2257	巧	kʰɔ³⁵			kʰ	ɔ	³⁵			3			
2258	恰	kʰɔ³⁵			kʰ	ɔ	³⁵			3			
2259	舰	kʰɔ³⁵			kʰ	ɔ	³⁵			3			
2260	嵌	kʰɔ⁵³			kʰ	ɔ	⁵³			5			
2261	掐	kʰɔ⁴²⁴			kʰ	ɔ	⁴²⁴			7			
2262	衔	ɡɦɔ³¹			ɡɦ	ɔ	³¹			2			
2263	□	ɡɦɔ³¹		助词，相当于普通话“了”	ɡɦ	ɔ	³¹			2	助词，相当于普通话“了”		127
2264	□	ɡɦɔ³¹		~~抖；发抖	ɡɦ	ɔ	³¹			2	~~抖；发抖		127
2265	□	ɡɦɔ¹³		背孩子	ɡɦ	ɔ	¹³			4	背孩子		127
2266	□	ɡɦɔ³¹³		碾：~米	ɡɦ	ɔ	³¹³			8	碾：~米		127
2267	□	ɡɦɔ³¹³		挤	ɡɦ	ɔ	³¹³			8	挤		127
2268	咬	ŋɔ³⁵			ŋ	ɔ	³⁵			3			
2269	眼	ŋɔ³⁵			ŋ	ɔ	³⁵			3			
2270	岩	ŋɦɔ³¹			ŋɦ	ɔ	³¹			2			
2271	颜	ŋɦɔ³¹			ŋɦ	ɔ	³¹			2			
2272	涯	ŋɦɔ³¹			ŋɦ	ɔ	³¹			2			
2273	崖	ŋɦɔ³¹			ŋɦ	ɔ	³¹			2			
2274	昂	ŋɦɔ³¹		气~~	ŋɦ	ɔ	³¹			2	气~~		2
2275	雁	ŋɦɔ²¹²			ŋɦ	ɔ	²¹²			6			
2276	喊	hɔ³⁵			h	ɔ	³⁵			3			
2277	□	hɔ³⁵		枇子	h	ɔ	³⁵			3	枇子		127
2278	孝	hɔ⁵³			h	ɔ	⁵³			5			
2279	酵	hɔ⁵³			h	ɔ	⁵³			5			
2280	喝	hɔ⁴²⁴		1	h	ɔ	⁴²⁴			7	1		2
2281	谎	hɔ⁴²⁴			h	ɔ	⁴²⁴			7			2
2282	坳	ɔ⁴⁴				ɔ	⁴⁴			1			
2283	凹	ɔ⁴⁴				ɔ	⁴⁴			1			
2284	□	ɔ⁴⁴		喊		ɔ	⁴⁴			1	喊		127
2285	鸭	ɔ⁴²⁴				ɔ	⁴²⁴			7			
2286	押	ɔ⁴²⁴				ɔ	⁴²⁴			7			
2287	压	ɔ⁴²⁴				ɔ	⁴²⁴			7			
2288	盒	ɦɔ³¹		~儿	ɦ	ɔ	³¹			2	~儿		
2289	咸	ɦɔ³¹			ɦ	ɔ	³¹			2			
2290	嫌	ɦɔ³¹			ɦ	ɔ	³¹			2			
2291	闲	ɦɔ³¹			ɦ	ɔ	³¹			2			
2292	黄	ɦɔ³¹		1。~昏	ɦ	ɔ	³¹			2	1。~昏		2
2293	效	ɦɔ¹³			ɦ	ɔ	¹³			4			
2294	函	ɦɔ¹³			ɦ	ɔ	¹³			4			
2295	限	ɦɔ¹³			ɦ	ɔ	¹³			4			
2296	晏	ɦɔ¹³		晚	ɦ	ɔ	¹³			4	晚		
2297	肴	ɦɔ²¹²			ɦ	ɔ	²¹²			6			
2298	淆	ɦɔ²¹²			ɦ	ɔ	²¹²			6			
2299	校	ɦɔ²¹²		学~	ɦ	ɔ	²¹²			6	学~		2
2300	陷	ɦɔ²¹²			ɦ	ɔ	²¹²			6			
2301	馅	ɦɔ²¹²			ɦ	ɔ	²¹²			6			
2302	洽	ɦɔ³¹³			ɦ	ɔ	³¹³			8			
2303	匣	ɦɔ³¹³			ɦ	ɔ	³¹³			8			
2304	狭	ɦɔ³¹³			ɦ	ɔ	³¹³			8			
2305	包	poɔ⁴⁴			p	oɔ	⁴⁴			1			
2306	胞	poɔ⁴⁴			p	oɔ	⁴⁴			1			
2307	班	poɔ⁴⁴			p	oɔ	⁴⁴			1			
2308	斑	poɔ⁴⁴			p	oɔ	⁴⁴			1			
2309	颁	poɔ⁴⁴			p	oɔ	⁴⁴			1			
2310	扳	poɔ⁴⁴			p	oɔ	⁴⁴			1			
2311	帮	poɔ⁴⁴			p	oɔ	⁴⁴			1			
2312	邦	poɔ⁴⁴			p	oɔ	⁴⁴			1			
2313	饱	poɔ³⁵			p	oɔ	³⁵			3			
2314	板	poɔ³⁵			p	oɔ	³⁵			3			
2315	版	poɔ³⁵			p	oɔ	³⁵			3			
2316	榜	poɔ³⁵			p	oɔ	³⁵			3			
2317	绑	poɔ³⁵			p	oɔ	³⁵			3			
2318	豹	poɔ⁵³			p	oɔ	⁵³			5			
2319	扮	poɔ⁵³			p	oɔ	⁵³			5			
2320	抛	pʰoɔ⁴⁴			pʰ	oɔ	⁴⁴			1			
2321	攀	pʰoɔ⁴⁴			pʰ	oɔ	⁴⁴			1			
2322	□	pʰoɔ⁴⁴		卵~：青年人的阴茎	pʰ	oɔ	⁴⁴			1	卵~：青年人的阴茎		127
2323	跑	pʰoɔ³⁵			pʰ	oɔ	³⁵			3			
2324	泡	pʰoɔ⁵³			pʰ	oɔ	⁵³			5			
2325	炮	pʰoɔ⁵³			pʰ	oɔ	⁵³			5			
2326	□	pʰoɔ⁵³		鱼鳔	pʰ	oɔ	⁵³			5	鱼鳔		127
2327	盼	pʰoɔ⁵³			pʰ	oɔ	⁵³			5			
2328	瓣	bɦoɔ³¹			bɦ	oɔ	³¹			2			
2329	片	bɦoɔ³¹			bɦ	oɔ	³¹			2			2
2330	滂	bɦoɔ³¹			bɦ	oɔ	³¹			2			
2331	旁	bɦoɔ³¹			bɦ	oɔ	³¹			2			
2332	螃	bɦoɔ³¹			bɦ	oɔ	³¹			2			
2333	谤	bɦoɔ³¹			bɦ	oɔ	³¹			2			
2334	傍	bɦoɔ³¹			bɦ	oɔ	³¹			2			
2335	鲍	bɦoɔ¹³			bɦ	oɔ	¹³			4			
2336	庞	bɦoɔ¹³			bɦ	oɔ	¹³			4			
2337	棒	bɦoɔ¹³			bɦ	oɔ	¹³			4			
2338	刨	bɦoɔ²¹²			bɦ	oɔ	²¹²			6			
2339	办	bɦoɔ²¹²			bɦ	oɔ	²¹²			6			
2340	猫	moɔ⁴⁴			m	oɔ	⁴⁴			1			
2341	茅	mɦoɔ³¹			mɦ	oɔ	³¹			2			
2342	锚	mɦoɔ³¹			mɦ	oɔ	³¹			2			
2343	矛	mɦoɔ³¹			mɦ	oɔ	³¹			2			
2344	蛮	mɦoɔ³¹			mɦ	oɔ	³¹			2			
2345	顽	mɦoɔ³¹			mɦ	oɔ	³¹			2			
2346	卯	mɦoɔ¹³			mɦ	oɔ	¹³			4			
2347	晚	mɦoɔ¹³			mɦ	oɔ	¹³			4			2
2348	挽	mɦoɔ¹³			mɦ	oɔ	¹³			4			
2349	貌	mɦoɔ²¹²			mɦ	oɔ	²¹²			6			
2350	慢	mɦoɔ²¹²			mɦ	oɔ	²¹²			6			
2351	万	mɦoɔ²¹²			mɦ	oɔ	²¹²			6			
2352	蔓	mɦoɔ²¹²			mɦ	oɔ	²¹²			6			
2353	漫	mɦoɔ²¹²			mɦ	oɔ	²¹²			6			
2354	翻	foɔ⁴⁴			f	oɔ	⁴⁴			1			
2355	番	foɔ⁴⁴			f	oɔ	⁴⁴			1			
2356	方	foɔ⁴⁴			f	oɔ	⁴⁴			1			
2357	肪	foɔ⁴⁴			f	oɔ	⁴⁴			1			
2358	芳	foɔ⁴⁴			f	oɔ	⁴⁴			1			
2359	妨	foɔ⁴⁴			f	oɔ	⁴⁴			1			
2360	□	foɔ⁴⁴		躺	f	oɔ	⁴⁴			1	躺		127
2361	反	foɔ³⁵			f	oɔ	³⁵			3			
2362	仿	foɔ³⁵			f	oɔ	³⁵			3			
2363	纺	foɔ³⁵			f	oɔ	³⁵			3			
2364	彷	foɔ³⁵			f	oɔ	³⁵			3			
2365	访	foɔ³⁵			f	oɔ	³⁵			3			
2366	泛	foɔ⁵³			f	oɔ	⁵³			5			
2367	贩	foɔ⁵³			f	oɔ	⁵³			5			
2368	放	foɔ⁵³			f	oɔ	⁵³			5			
2369	法	foɔ⁴²⁴			f	oɔ	⁴²⁴			7			
2370	发	foɔ⁴²⁴			f	oɔ	⁴²⁴			7			
2371	关	koɔ⁴⁴			k	oɔ	⁴⁴			1			
2372	惯	koɔ⁵³			k	oɔ	⁵³			5			
2373	刮	koɔ⁴²⁴			k	oɔ	⁴²⁴			7			
2374	夸	kʰoɔ⁴⁴			kʰ	oɔ	⁴⁴			1			
2375	侉	kʰoɔ⁴⁴			kʰ	oɔ	⁴⁴			1			
2376	跨	kʰoɔ⁴⁴			kʰ	oɔ	⁴⁴			1			
2377	宽	kʰoɔ⁴⁴			kʰ	oɔ	⁴⁴			1			
2378	阔	kʰoɔ⁴²⁴			kʰ	oɔ	⁴²⁴			7			
2379	弯	oɔ⁴⁴				oɔ	⁴⁴			1			
2380	湾	oɔ⁴⁴				oɔ	⁴⁴			1			
2381	皖	oɔ³⁵				oɔ	³⁵			3			
2382	幻	oɔ³⁵				oɔ	³⁵			3			
2383	枉	oɔ³⁵				oɔ	³⁵			3			
2384	饭	oɔ³⁵		1		oɔ	³⁵			3	1		2
2385	凡	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2386	帆	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2387	藩	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2388	烦	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2389	矶	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2390	繁	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2391	还	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2392	房	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2393	防	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2394	亡	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2395	忘	ɦoɔ³¹		1	ɦ	oɔ	³¹			2	1		2
2396	妄	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2397	患	ɦoɔ³¹			ɦ	oɔ	³¹			2			
2398	范	ɦoɔ¹³			ɦ	oɔ	¹³			4			
2399	犯	ɦoɔ¹³			ɦ	oɔ	¹³			4			
2400	换	ɦoɔ²¹²			ɦ	oɔ	²¹²			6			
2401	饭	ɦoɔ²¹²		2。兜~：盛饭，陈~：上一顿剩下的饭	ɦ	oɔ	²¹²			6	2。兜~：盛饭，陈~：上一顿剩下的饭		2
2402	望	ɦoɔ²¹²			ɦ	oɔ	²¹²			6			
2403	巴	po⁴⁴			p	o	⁴⁴			1			
2404	芭	po⁴⁴			p	o	⁴⁴			1			
2405	疤	po⁴⁴			p	o	⁴⁴			1			
2406	把	po³⁵			p	o	³⁵			3			2
2407	霸	po⁵³			p	o	⁵³			5			
2408	把	po⁵³		刀~	p	o	⁵³			5	刀~		2
2409	坝	po⁵³			p	o	⁵³			5			
2410	八	po⁴²⁴			p	o	⁴²⁴			7			
2411	博	po⁴²⁴			p	o	⁴²⁴			7			
2412	剥	po⁴²⁴			p	o	⁴²⁴			7			
2413	驳	po⁴²⁴			p	o	⁴²⁴			7			
2414	卜	po⁴²⁴			p	o	⁴²⁴			7			
2415	扑	po⁴²⁴			p	o	⁴²⁴			7			
2416	醭	po⁴²⁴			p	o	⁴²⁴			7			
2417	仆	po⁴²⁴			p	o	⁴²⁴			7			
2418	怕	pʰo⁵³			pʰ	o	⁵³			5			
2419	帕	pʰo⁴²⁴			pʰ	o	⁴²⁴			7			
2420	泊	pʰo⁴²⁴			pʰ	o	⁴²⁴			7			
2421	朴	pʰo⁴²⁴			pʰ	o	⁴²⁴			7			
2422	爬	bɦo³¹			bɦ	o	³¹			2			
2423	琶	bɦo³¹			bɦ	o	³¹			2			
2424	杷	bɦo³¹			bɦ	o	³¹			2			
2425	罢	bɦo³¹			bɦ	o	³¹			2			
2426	薄	bɦo²¹²		~荷	bɦ	o	²¹²			6	~荷		2
2427	钯	bɦo²¹²			bɦ	o	²¹²			6			
2428	耙	bɦo²¹²			bɦ	o	²¹²			6			
2429	拔	bɦo³¹³			bɦ	o	³¹³			8			
2430	薄	bɦo³¹³			bɦ	o	³¹³			8			2
2431	雹	bɦo³¹³			bɦ	o	³¹³			8			
2432	瀑	bɦo³¹³		2	bɦ	o	³¹³			8	2		2
2433	妈	mo⁴⁴			m	o	⁴⁴			1			
2434	马	mo³⁵			m	o	³⁵			3			
2435	码	mo³⁵			m	o	³⁵			3			
2436	网	mo³⁵			m	o	³⁵			3			
2437	摸	mo³⁵		~子儿：抓子儿	m	o	³⁵			3	~子儿：抓子儿		3
2438	□	mo³⁵		~来：我们	m	o	³⁵			3	~来：我们		127
2439	袜	mo⁴²⁴		1	m	o	⁴²⁴			7	1		2
2440	摸	mo⁴²⁴		1	m	o	⁴²⁴			7	1		3
2441	麻	mɦo³¹			mɦ	o	³¹			2			
2442	蟆	mɦo³¹			mɦ	o	³¹			2			
2443	忙	mɦo³¹			mɦ	o	³¹			2			
2444	芒	mɦo³¹			mɦ	o	³¹			2			2
2445	茫	mɦo³¹			mɦ	o	³¹			2			
2446	袜	mɦo³¹³		2	mɦ	o	³¹³			8	2		2
2447	摸	mɦo³¹³		2	mɦ	o	³¹³			8	2		3
2448	花	fo⁴⁴			f	o	⁴⁴			1			3
2449	讹	fo⁵³			f	o	⁵³			5			
2450	化	fo⁵³			f	o	⁵³			5			
2451	花	fo⁵³		~钱	f	o	⁵³			5	~钱		3
2452	当	to⁴⁴		当时，应当	t	o	⁴⁴			1	当时，应当		2
2453	朵	to³⁵			t	o	³⁵			3			
2454	躲	to³⁵			t	o	³⁵			3			
2455	党	to³⁵			t	o	³⁵			3			
2456	挡	to³⁵			t	o	³⁵			3			
2457	当	to⁵³		当作，典当	t	o	⁵³			5	当作，典当		2
2458	汤	tʰo⁴⁴			tʰ	o	⁴⁴			1			
2459	倘	tʰo³⁵			tʰ	o	³⁵			3			
2460	趟	tʰo³⁵			tʰ	o	³⁵			3			
2461	烫	tʰo⁵³			tʰ	o	⁵³			5			
2462	托	tʰo⁴²⁴			tʰ	o	⁴²⁴			7			2
2463	堂	dɦo³¹			dɦ	o	³¹			2			
2464	棠	dɦo³¹			dɦ	o	³¹			2			
2465	螳	dɦo³¹			dɦ	o	³¹			2			
2466	唐	dɦo³¹			dɦ	o	³¹			2			
2467	糖	dɦo³¹			dɦ	o	³¹			2			
2468	塘	dɦo³¹			dɦ	o	³¹			2			
2469	宕	dɦo¹³			dɦ	o	¹³			4			
2470	荡	dɦo²¹²		逛：~街	dɦ	o	²¹²			6	逛：~街		
2471	□	dɦo²¹²		鐾：~刀	dɦ	o	²¹²			6	鐾：~刀		127
2472	铎	dɦo³¹³			dɦ	o	³¹³			8			
2473	诺	no⁴²⁴		1	n	o	⁴²⁴			7	1		2
2474	囊	nɦo³¹			nɦ	o	³¹			2			
2475	挠	nɦo¹³			nɦ	o	¹³			4			
2476	诺	nɦo³¹³		2	nɦ	o	³¹³			8	2		2
2477	朗	lo³⁵		开~	l	o	³⁵			3	开~		2
2478	落	lo⁴²⁴		1【按】原文声调误作阳入，径改。	l	o	⁴²⁴			7	1	【按】原文声调误作阳入，径改。	2
2479	烙	lo⁴²⁴		1【按】原文声调误作阳入，径改。	l	o	⁴²⁴			7	1	【按】原文声调误作阳入，径改。	2
2480	骆	lo⁴²⁴		1【按】原文声调误作阳入，径改。	l	o	⁴²⁴			7	1	【按】原文声调误作阳入，径改。	2
2481	酪	lo⁴²⁴		1【按】原文声调误作阳入，径改。	l	o	⁴²⁴			7	1	【按】原文声调误作阳入，径改。	2
2482	洛	lo⁴²⁴		1【按】原文声调误作阳入，径改。	l	o	⁴²⁴			7	1	【按】原文声调误作阳入，径改。	2
2483	络	lo⁴²⁴		1【按】原文声调误作阳入，径改。	l	o	⁴²⁴			7	1	【按】原文声调误作阳入，径改。	2
2484	乐	lo⁴²⁴		1【按】原文声调误作阳入，径改。	l	o	⁴²⁴			7	1	【按】原文声调误作阳入，径改。	4
2485	赂	lo⁴²⁴		1【按】原文声调误作阳入，径改。	l	o	⁴²⁴			7	1	【按】原文声调误作阳入，径改。	2
2486	郎	lɦo³¹			lɦ	o	³¹			2			
2487	廊	lɦo³¹			lɦ	o	³¹			2			
2488	狼	lɦo³¹			lɦ	o	³¹			2			
2489	螂	lɦo³¹			lɦ	o	³¹			2			
2490	琅	lɦo³¹			lɦ	o	³¹			2			
2491	朗	lɦo²¹²		~读	lɦ	o	²¹²			6	~读		2
2492	浪	lɦo²¹²			lɦ	o	²¹²			6			
2493	落	lɦo³¹³		2	lɦ	o	³¹³			8	2		2
2494	烙	lɦo³¹³		2	lɦ	o	³¹³			8	2		2
2495	骆	lɦo³¹³		2	lɦ	o	³¹³			8	2		2
2496	酪	lɦo³¹³		2	lɦ	o	³¹³			8	2		2
2497	洛	lɦo³¹³		2	lɦ	o	³¹³			8	2		2
2498	络	lɦo³¹³		2	lɦ	o	³¹³			8	2		2
2499	乐	lɦo³¹³		2	lɦ	o	³¹³			8	2		4
2500	赂	lɦo³¹³		2	lɦ	o	³¹³			8	2		2
2501	渣	tso³¹³			ts	o	³¹³			8			
2502	赃	tso³¹³			ts	o	³¹³			8			
2503	脏	tso³¹³			ts	o	³¹³			8			2
2504	庄	tso³¹³		1	ts	o	³¹³			8	1		2
2505	装	tso³¹³			ts	o	³¹³			8			
2506	□	tso³¹³		拿	ts	o	³¹³			8	拿		127
2507	诈	tso³¹³			ts	o	³¹³			8			
2508	榨	tso³¹³			ts	o	³¹³			8			
2509	炸	tso⁵³		~弹，用油~	ts	o	⁵³			5	~弹，用油~		
2510	葬	tso⁵³			ts	o	⁵³			5			
2511	壮	tso⁵³		1	ts	o	⁵³			5	1		2
2512	作	tso⁴²⁴		作坊，工作	ts	o	⁴²⁴			7	作坊，工作		
2513	窄	tso⁴²⁴			ts	o	⁴²⁴			7			
2514	叉	tsʰo⁴⁴			tsʰ	o	⁴⁴			1			
2515	杈	tsʰo⁴⁴			tsʰ	o	⁴⁴			1			
2516	车	tsʰo⁴⁴			tsʰ	o	⁴⁴			1			3
2517	钞	tsʰo⁴⁴			tsʰ	o	⁴⁴			1			
2518	仓	tsʰo⁴⁴			tsʰ	o	⁴⁴			1			
2519	苍	tsʰo⁴⁴			tsʰ	o	⁴⁴			1			
2520	疮	tsʰo⁴⁴			tsʰ	o	⁴⁴			1			
2521	创	tsʰo⁴⁴			tsʰ	o	⁴⁴			1			
2522	炒	tsʰo³⁵			tsʰ	o	³⁵			3			2
2523	吵	tsʰo³⁵			tsʰ	o	³⁵			3			2
2524	搀	tsʰo³⁵			tsʰ	o	³⁵			3			
2525	岔	tsʰo⁵³			tsʰ	o	⁵³			5			
2526	错	tsʰo⁴²⁴			tsʰ	o	⁴²⁴			7			
2527	茶	dzɦo³¹			dzɦ	o	³¹			2			
2528	搽	dzɦo³¹			dzɦ	o	³¹			2			
2529	查	dzɦo³¹			dzɦ	o	³¹			2			
2530	乍	dzɦo²¹²			dzɦ	o	²¹²			6			
2531	暂	dzɦo²¹²			dzɦ	o	²¹²			6			2
2532	搓	so⁴⁴			s	o	⁴⁴			1			
2533	蓑	so⁴⁴			s	o	⁴⁴			1			
2534	沙	so⁴⁴			s	o	⁴⁴			1			
2535	纱	so⁴⁴			s	o	⁴⁴			1			
2536	桑	so⁴⁴			s	o	⁴⁴			1			
2537	磉	so⁴⁴		柱下石	s	o	⁴⁴			1	柱下石		
2538	嗓	so⁴⁴			s	o	⁴⁴			1			
2539	搡	so⁴⁴			s	o	⁴⁴			1			
2540	痧	so⁴⁴			s	o	⁴⁴			1			
2541	锁	so³⁵			s	o	³⁵			3			
2542	琐	so³⁵			s	o	³⁵			3			
2543	所	so³⁵			s	o	³⁵			3			
2544	索	so⁴²⁴			s	o	⁴²⁴			7			
2545	矬	zɦo³¹			zɦ	o	³¹			2			
2546	藏	zɦo³¹			zɦ	o	³¹			2			2
2547	坐	zɦo¹³			zɦ	o	¹³			4			
2548	座	zɦo²¹²			zɦ	o	²¹²			6			
2549	䖳	zɦo²¹²			zɦ	o	²¹²			6			
2550	藏	zɦo²¹²		西~	zɦ	o	²¹²			6	西~		2
2551	脏	zɦo²¹²		内~	zɦ	o	²¹²			6	内~		2
2552	昨	zɦo²¹²			zɦ	o	²¹²			6			
2553	□	zɦo²¹²		骂	zɦ	o	²¹²			6	骂		127
2554	家	ko⁴⁴			k	o	⁴⁴			1			
2555	加	ko⁴⁴			k	o	⁴⁴			1			
2556	痂	ko⁴⁴			k	o	⁴⁴			1			
2557	嘉	ko⁴⁴			k	o	⁴⁴			1			
2558	傢	ko⁴⁴			k	o	⁴⁴			1			
2559	稼	ko⁴⁴			k	o	⁴⁴			1			
2560	箍	ko⁴⁴		金~棒	k	o	⁴⁴			1	金~棒		
2561	佳	ko⁴⁴			k	o	⁴⁴			1			
2562	冈	ko⁴⁴			k	o	⁴⁴			1			
2563	岗	ko⁴⁴			k	o	⁴⁴			1			2
2564	刚	ko⁴⁴			k	o	⁴⁴			1			
2565	纲	ko⁴⁴			k	o	⁴⁴			1			
2566	钢	ko⁴⁴			k	o	⁴⁴			1			
2567	缸	ko⁴⁴			k	o	⁴⁴			1			
2568	光	ko⁴⁴			k	o	⁴⁴			1			
2569	江	ko⁴⁴			k	o	⁴⁴			1			
2570	寡	ko⁴⁴			k	o	⁴⁴			1			
2571	馃	ko⁴⁴		2	k	o	⁴⁴			1	2		
2572	假	ko³⁵		真~	k	o	³⁵			3	真~		2
2573	暇	ko³⁵			k	o	³⁵			3			
2574	广	ko³⁵			k	o	³⁵			3			
2575	讲	ko³⁵			k	o	³⁵			3			
2576	港	ko³⁵			k	o	³⁵			3			
2577	贾	ko⁵³		姓	k	o	⁵³			5	姓		
2578	假	ko⁵³		放~	k	o	⁵³			5	放~		2
2579	驾	ko⁵³			k	o	⁵³			5			
2580	嫁	ko⁵³			k	o	⁵³			5			
2581	价	ko⁵³			k	o	⁵³			5			
2582	挂	ko⁵³			k	o	⁵³			5			
2583	卦	ko⁵³			k	o	⁵³			5			
2584	降	ko⁵³		下降	k	o	⁵³			5	下降		2
2585	饺	ko⁵³		~儿：饺子	k	o	⁵³			5	~儿：饺子		
2586	揭	ko⁴²⁴		用刀刮	k	o	⁴²⁴			7	用刀刮		2
2587	括	ko⁴²⁴			k	o	⁴²⁴			7			
2588	聒	ko⁴²⁴			k	o	⁴²⁴			7			
2589	各	ko⁴²⁴			k	o	⁴²⁴			7			
2590	阁	ko⁴²⁴			k	o	⁴²⁴			7			
2591	搁	ko⁴²⁴			k	o	⁴²⁴			7			
2592	胳	ko⁴²⁴			k	o	⁴²⁴			7			
2593	觉	ko⁴²⁴		知觉	k	o	⁴²⁴			7	知觉		
2594	角	ko⁴²⁴			k	o	⁴²⁴			7			
2595	搅	ko⁴²⁴			k	o	⁴²⁴			7			
2596	廓	ko⁴²⁴			k	o	⁴²⁴			7			
2597	岗	ko⁴²⁴		量词	k	o	⁴²⁴			7	量词		2
2598	康	kʰo⁴⁴			kʰ	o	⁴⁴			1			
2599	糠	kʰo⁴⁴			kʰ	o	⁴⁴			1			
2600	可	kʰo³⁵			kʰ	o	³⁵			3			
2601	慷	kʰo⁵³			kʰ	o	⁵³			5			
2602	抗	kʰo⁵³			kʰ	o	⁵³			5			
2603	囥	kʰo⁵³		藏，放	kʰ	o	⁵³			5	藏，放		
2604	旷	kʰo⁵³			kʰ	o	⁵³			5			
2605	扩	kʰo⁵³			kʰ	o	⁵³			5			
2606	矿	kʰo⁵³			kʰ	o	⁵³			5			
2607	确	kʰo⁴²⁴			kʰ	o	⁴²⁴			7			
2608	壳	kʰo⁴²⁴			kʰ	o	⁴²⁴			7			
2609	粤	ŋo⁴²⁴		1	ŋ	o	⁴²⁴			7	1		2
2610	鄂	ŋo⁴²⁴		1	ŋ	o	⁴²⁴			7	1		2
2611	鹤	ŋo⁴²⁴		1	ŋ	o	⁴²⁴			7	1		2
2612	岳	ŋo⁴²⁴		1	ŋ	o	⁴²⁴			7	1		2
2613	乐	ŋo⁴²⁴		1。音~，~清：地名	ŋ	o	⁴²⁴			7	1。音~，~清：地名		4
2614	牙	ŋɦo³¹			ŋɦ	o	³¹			2			
2615	芽	ŋɦo³¹			ŋɦ	o	³¹			2			
2616	衙	ŋɦo³¹			ŋɦ	o	³¹			2			
2617	雅	ŋɦo¹³			ŋɦ	o	¹³			4			
2618	瓦	ŋɦo¹³			ŋɦ	o	¹³			4			
2619	砑	ŋɦo²¹²			ŋɦ	o	²¹²			6			
2620	粤	ŋɦo³¹³		2	ŋɦ	o	³¹³			8	2		2
2621	鄂	ŋɦo³¹³		2	ŋɦ	o	³¹³			8	2		2
2622	鹤	ŋɦo³¹³		2	ŋɦ	o	³¹³			8	2		2
2623	岳	ŋɦo³¹³		2	ŋɦ	o	³¹³			8	2		2
2624	乐	ŋɦo³¹³		2。音~，~清：地名	ŋɦ	o	³¹³			8	2。音~，~清：地名		4
2625	虾	ho⁴⁴			h	o	⁴⁴			1			
2626	荒	ho⁴⁴			h	o	⁴⁴			1			
2627	慌	ho⁴⁴			h	o	⁴⁴			1			
2628	谎	ho⁴⁴			h	o	⁴⁴			1			2
