来源：	贺梅梅 2017《临县车赶乡话语音研究》；灰原哀 整理录入
Ø	［1］吁{象声词}淤［2］于余榆=愉俞娱淤羊-杨-央-阳-{～处}鱼=渔瑜迂［3］与雨宇禹羽养-予屿庾语=［5］喂-誉预寓喻玉豫样-{～子}漾-{～出去}遇=御愈尉谕昱煜聿
#ʮ	
ts	［1］猪蛛株朱珠硃诸茱侏［3］阻煮拄主帚［5］坐座著驻柱住注蛀助箸贮伫铸
tsʰ	［1］蛆初［2］除锄厨雏刍滁蜍橱蹰徂殂［3］褚楚处={相～}杵储褚础［5］触处{～长}畜蹴绌黜矗
s	［1］梳蔬疏书舒输殊处-{别～}疏枢姝［3］锁暑鼠黍薯署数{动词}曙琐唢处-{地方：去～，耍～}［5］庶恕数{名词}树竖墅
z	［2］如儒茹儒孺蠕［3］女-{～子}汝乳擩［5］傉
#ɯ	
k	［1］刚-钢-［5］□{跑}
kʰ	［1］糠-康-［5］渴-炕-可{～～且：正好}
ŋ	［1］屙［2］蛾鹅讹［3］我［5］饿
#ʅə	
tʂ	［1］沾-粘-毡-瞻-［3］展-者［5］占-{～位}战-颤-
tʂʰ	［2］缠-蟾-蝉-禅-单-婵-阐-
ʂ	［1］□{趁某个时候快速地干某事}扇-膻-［3］陕-闪-［5］扇-善-射-单-禅-缮-擅-
ɻ	［2］黏-{～扣：粘贴扣}然-燃-［3］染-冉-碾-
#ər	
Ø	［2］儿而□{形容人鲁莽}［3］尔耳饵扔-［5］二贰
#a	
p	［1］巴疤芭吧趴爬-粑［2］爸［3］把{～门}粑靶［5］霸坝罢把{～子：手柄}爸
pʰ	［2］爬=琶杷趴{～下}耙［5］帕怕
m	［1］妈{用于面称}么{怎～}［2］妈{用于背称}麻蟆［3］马蚂玛码［5］骂么{语气词}
f	［2］法{没～：没有办法}
t	［2］□{兀～：那里}［3］打
tʰ	［1］他她它［5］踏=
n	［2］拿［5］那娜捺
l	［1］拉{～人}［2］拉{～开窗子：开个小缝}啦［5］□{～tʰaʔ：闲聊}落{～下东西}
ts	［1］渣站-{～在桌子上}［3］拃闸［5］炸榨诈栅乍咋
tsʰ	［1］杈叉{～子}差{～不多}［2］茶搽茬楂查［3］叉{动词}衩［5］岔差{～远}错
s	［1］沙纱莎砂砂鲨［3］洒撒［5］萨□{挑拣}飒霎
tʂ	［1］遮睁-［5］蔗
tʂʰ	［1］车［3］扯
ʂ	［1］奢赊生-甥［2］蛇佘［3］舍{～得}傻［5］社舍{宿～}
ɻ	［3］惹
k	［5］尬
kʰ	［3］卡
ŋ	［1］腌{～臜}
x	［2］还［5］下-吓-夏-
Ø	［1］啊阿［2］哪{～里}
#ia	
p	［1］绷-{贴，缝}［5］蹦-迸-
pʰ	［2］□{放}棚-［3］□{分开}
m	［2］蒙-［3］蚂-{～蚍蜉}猛-
t	［1］爹
n	［1］□{你们的合音}［2］牙芽涯衙［3］哑仰-{靠}雅［5］压硬-轧
l	［2］□{～了脖子：扭了脖子}［3］冷-
ts	［3］姐［5］褊借
s	［1］些［2］邪斜［3］写［5］卸泻谢
tɕ	［1］家加痂嘉枷佳耕-{～地}羹-［3］假{～如}贾［5］假{～期}架驾嫁价稼
tɕʰ	［1］抗-{抱东西}坑-［2］茄［3］卡{～住}
ɕ	［1］虾［2］霞瑕遐行-暇［5］厦夏=杏-下=
Ø	［2］爷{用于面称}睚涯=崖=呀鸦［3］也野雅［5］亚夜爷{用于背称}
#ua	
ts	［1］庄=装=［3］爪［5］壮=状=
tsʰ	［1］□{～～地做：速度很快地干事情}疮=窗=［2］床=［3］□{～被子：粗鲁地掀被子}闯=［5］创=
s	［1］双=霜=［3］耍
z	［2］□{～人：撒娇}［5］□{甩}
k	［1］瓜剐呱刮光=［3］寡广=犷=［5］挂卦褂□{量词}
kʰ	［1］夸=匡筐=诓=［3］垮胯［5］跨挎矿=况=矿=框=眶=
x	［1］花哗慌=荒=［2］划铧皇华{中～}黄={姓}磺簧=蟥=［5］化华{～山}桦话画划{计～}
Ø	［1］哇洼蛙娃挖娲凹鸹［2］王=［3］瓦搲［5］旺=□{一～：一堆}
#ya	
tɕ	［2］角{性状像角的包子}
tɕʰ	［2］瘸
ɕ	［1］靴［2］横-{与竖相对；蛮横不讲理}
#ɛ	
p	［1］背{～书包}［3］摆［5］贝拜败背{脊～}辈倍焙狈备悖
pʰ	［1］胚坯［2］牌排胚培陪赔裴徘［5］派配佩沛湃
m	［2］梅玫媒煤霉莓玫霾［3］买每［5］卖脉迈妹昧媚寐=
t	［1］呆［3］逮歹傣［5］戴带代袋大{~夫}
tʰ	［1］胎［2］抬台苔抬［3］□{～气：大大方方}［5］态太泰汰
n	［2］奶［3］那{第三人称代词}乃馁［5］耐
l	［2］来［5］赖癞睐籁
ts	［1］灾栽斋［3］宰载{千～难逢}崽［5］在再载{～重}债寨
tsʰ	［1］猜［2］才材财裁豺柴［3］铲产彩採踩睬［5］菜蔡
s	［1］筛腮鳃［3］□{摇晃}［5］赛晒塞{～外}
tʂ	［3］这
k	［1］该［3］改给=［5］概溉盖丐钙
kʰ	［1］开［3］凯楷恺［5］忾
x	［2］孩鞋嫌-［3］海［5］亥害解-骇澥
ŋ	［1］挨哀埃癌［3］矮蔼霭［5］爱碍艾隘暧
#iɛ	
p	［1］鞭编边蝙［3］贬扁=匾［5］辨辩变汴便{方～}辫遍卞
pʰ	［1］篇偏翩［2］便{～宜}［3］片{～子}［5］片{劈}骗
m	［2］绵棉眠［3］免勉娩缅冕渑腼［5］面
t	［1］颠掂滇巅［3］点典碘［5］店电殿奠佃垫甸钿惦靛淀踮癜
tʰ	［1］天添［2］田填甜帖［3］腆舔殄
n	［2］黏=拈鲶颜年言崖-［3］眼碾=撵捻［5］念
l	［2］廉镰连怜莲联随［3］敛脸［5］殓练炼恋链
ts	［1］尖歼煎［3］剪翦［5］渐箭溅践贱荐饯□{凉～：凉快}
tsʰ	［1］签迁千阡扦［2］潜钱前［3］浅且［5］前{变调，前天}□{～指甲：染指甲}□{外～：外面}□{立～：指甲边上的小皮}
s	［1］鲜仙先［2］纤{～维}［3］藓鲜［5］谢=羡线泻腺
tɕ	［1］街监兼间肩奸坚皆阶竖蒹［3］解减检俭简毽茧拣毽捡［5］剑件腱键建健腱见界介僭鉴谏涧锏
tɕʰ	［1］谦牵铅鷂揩骞［2］钳乾虔黔潜［3］遣谴缱［5］嵌欠歉
ɕ	［1］掀憨涎［2］嫌贤弦闲韩-寒-［3］险显［5］陷=羡献现限县□{吃，生气时用}汉-{老～：老汉;丈夫}鼾-旱-蟹泄械宪懈邂榭亵解
k	［1］甘-柑-泔-干-肝-竿-［3］感-敢-杆-擀-赶-
kʰ	［1］堪-龛-［3］坎-砍-槛-［5］看-
ŋ	［1］庵-淹-安-鞍-干-{地名：索达～}［2］严-［3］掩-碹-［5］暗-岸-按-案-砚-
Ø	［1］蔫焉烟腌阉嫣胭咽［2］岩炎盐延言=研芫严=沿妍［3］演黶魇掩充冶衍奄［5］验焰燕宴咽厌艳彦谚雁焱堰厂赝谒炎曳掖
#uɛ	
t	［1］堆［5］对队兑
tʰ	［1］推［3］腿［5］退蜕褪
n	［5］内
l	［2］雷［5］擂卵
ts	［3］最［5］最罪拽晬{十二岁以下的小孩子过生日}
tsʰ	［1］催崔猜［2］□{胖}［3］揣［5］踹
s	［1］衰摔［3］甩［5］碎帅率
k	［1］乖［3］拐［5］怪夬
kʰ	［1］盔［3］块□{哄}［5］会{～计}刽快筷侩哙脍
x	［1］灰挥麾辉诙恢晖［2］回茴怀槐淮踝徊蛔［3］毁悔［5］贿晦汇会绘坏惠慧秽讳蕙烩桧荟诲
Ø	［1］歪［2］□{移动}［3］崴［5］外硙喂
#yɛ	
t	［1］端-［3］短-［5］断-锻-段-缎-椴-
tʰ	［1］猯{獾}［2］团-湍-
n	［3］暖-
l	［5］乱-
tɕ	［1］钻-{～孔}专-砖-捐鹃庄-装-镌［3］捲卷啳{骂}转-［5］钻-{～石}转-传-{自～}绢眷倦圈{猪～}篆-壮-状-□{～袄}
