来源：	贺梅梅 2017《临县车赶乡话语音研究》；灰原哀 整理录入
ts	［1］精=津晶睛=菁=［3］尽{～让}井=阱［5］浸进晋尽{～量}静靖净=烬
tsʰ	［1］亲晴=蜻青=清=侵［2］情［5］亲
s	［1］心新锌辛星={北斗七～}腥=莘芯惺［3］省{反～}醒［5］信姓□{把面和好放一会儿}囟性
tɕ	［1］今斤金巾禁{～不住}襟筋经京惊鲸荆兢［3］仅紧瑾谨槿锦警景颈［5］妗近竟觐敬劲境茎径禁{～止}镜=胫
tɕʰ	［1］倾氢钦卿衾轻［2］勤噙琴禽芹芩擎黥［3］倾寝［5］庆沁磬
ɕ	［1］欣忻兴{时～}馨歆鑫［2］行={自～车}型刑形邢陉［3］□{～～哈哈：不严肃}［5］兴{～奋}悻衅杏=幸悻
Ø	［1］因姻罂音阴英莹婴樱鹰鹦莺瑛膺洇［2］迎=营=匀-赢={～利}蝇=盈楹滢萤茔贏=淫［3］引{娶或嫁；抱}隐瘾尹寅饮郢颖蚓颍影=［5］印应={～该}映{反～}洇映=胤
#uəŋ	
t	［1］东冬咚蹲墩敦［3］董懂□{～下乱子，闯下祸}盹［5］洞冻栋侗顿钝盾炖动恫饨
tʰ	［1］通吞［2］豚屯囤同茼铜桐瞳童潼彤峒臀［3］筒桶捅统［5］痛嗵恸
n	［2］浓农脓侬［5］嫩-
l	［2］笼聋隆龙胧轮伦仑抡珑［3］拢陇垄垅窿［5］弄论
ts	［1］尊遵樽鳟宗棕综踪中{～间}钟终忠盅谆［3］准总肿种{～子}冢踵［5］中{～奖}重种{～地}众纵棕=仲
tsʰ	［1］村皴葱聪匆囱春冲{～喜}充舂［2］存唇丛纯醇重虫琮淙鹑淳［3］寸{一～}蠢宠忖［5］寸{尺～}冲{～我来}□{喝水或吃放时被呛住}
s	［1］孙松嵩狲嵩淞松飧［2］怂□{精液}［3］损笋隼悚吮［5］顺舜瞬宋送诵颂讼
z	［2］戎绒蓉溶榕融茸［3］冗［5］润闰
k	［1］弓躬蚣工宫功攻恭供觥公［3］滚汞巩拱龚衮［5］棍共供=贡
kʰ	［1］空{～虚}崆昆坤箜［3］捆孔恐啃［5］困空{～闲}控
x	［1］婚昏荤浑轰烘哄［2］魂红弘宏洪鸿虹=馄［3］哄{～人}［5］混哄{起～}讧
Ø	［1］翁嗡温瘟［2］闻文纹雯［3］稳吻紊［5］问瓮
#yəŋ	
tɕ	［1］均钩菌军君供-{～不起}［3］炯迥窘炅菌［5］俊骏竣郡粽-
tɕʰ	［2］裙群穷琼穹茕逡
x	［1］胸凶熏薰勋汹［2］熊雄旬询荀循巡浔［3］嗅{紧跟着、缠着某人}［5］讯迅逊殉训驯泯汛
Ø	［1］雍庸晕拥佣［2］匀=云容荣融嵘溶榕［3］允永泳咏勇甬涌俑恿殒陨蛹［5］运韵孕用晕熨佣酝愠韫蕴
#əʔ	
p	［7］不博钵燔帛舶箔播=膊勃驳卜［8］勃=泊=
pʰ	［7］泼泊朴扑仆泡{～茶，又量词}渤瀑［8］薄饽勃-泊-
m	［8］抹末沫木没目穆牧莫寞默们陌
f	［7］福幅蝠腹覆复佛{仿～}复氟［8］服伏缚
t	［7］的{我～}得德
tʰ	［8］特趿{～拉}
ts	［7］脊{～背}子{儿～}则
tsʰ	［7］取-
s	［7］相{～打}厮{～跟}瑟
tʂ	［7］哲蜇浙秩质折{～纸}着={坐～}侄=直=值={～日}殖植织职折汁只［8］这
tʂʰ	［7］尺撤彻赤斥吃痴炽澈坼掣［8］着-{～火}侄-值-{～钱}直-{性子}
ʂ	［7］摄涉湿设失室识式饰释适轼赦慑［8］十拾什舌折{树枝～}了实食石殖-蚀
ɻ	［7］热=［8］热=日
k	［7］鸽割各搁阁格袼革戈嗝［8］隔胳核-{～桃}圪疙旮
kʰ	［7］磕刻可克客壳咳［8］去-
ŋ	［7］鄂恶腭额噩轭扼
x	［7］喝鹤黑核={审～}赫涸［8］合
#iəʔ	
p	［7］鳖憋笔毕必北逼壁臂碧弼［8］别={区～}
pʰ	［7］匹僻劈谝撇辟霹瞥［8］别-{～针}鼻
m	［8］灭秘密蜜墨泌蔑幂
t	［7］的{目～}跌谍蝶碟笛滴敌堤狄涤叠=碟=嫡牒
tʰ	［7］贴帖铁踢剔［8］叠-碟-
n	［8］孽捏镊聂腻{油～}蹑逆溺涅啮
l	［7］猎列烈趔裂劣历笠［8］立粒
ts	［7］接节积截=捷辑痎即鲫迹脊=籍藉绩寂缉集={～合}瘠棘［8］捷
tsʰ	［7］七漆戚{姓}切沏砌缉窃砖［8］截-集-{赶～}
s	［7］薛塞-{～住，～子}膝屑楔悉息熄媳惜袭昔夕锡析蟋隰［8］席□{刺眼}习
tɕ	［7］杰揭洁节结急吉脚既级极激及击戟坝圾稽羁岌［8］极
tɕʰ	［7］怯泣讫乞［8］趄□{一上一下的动作，～黑楞班：跷跷板}
ɕ	［7］歇吸蝎携□{凹进去}协狭［8］学
kʰ	［7］看
Ø	［7］一乙逸抑益译易［8］叶页业药钥噎
#uəʔ	
t	［7］掇独读犊督毒□{～子：屁股}□{～起来：立起来}厾{戳}渎踱铎夺=
tʰ	［7］脱突托讦坨秃凸［8］夺-犊毒-
l	［8］肋勒鹿禄绿率律录陆率
ts	［7］卒术{白～}竹筑逐烛做触-{接～}拙竺灼茁啄擢足={～疗}族=
tsʰ	［7］撮猝出撮□{皱}绰促触=［8］妯卒{～子}
s	［7］说索叔束粟诉溯术硕烁簌述［8］勺朔熟俗=属蜀塾赎
z	［8］入褥辱弱
k	［7］聒骨郭国谷核-{枣～}帼［8］个{一～}
kʰ	［7］窟扩廓括哭酷阔
x	［7］豁忽霍藿镬劐［8］活和{调～}
Ø	［7］污焐沃渥［8］物勿兀五午=
#yəʔ	
n	［7］虐
l	［7］略掠劣
tɕ	［7］绝厥掘决诀橘觉-{～悟}局=菊=炯足-□{～人：愁闷}橛爵桔獗抉倔攫矍
tɕʰ	［7］缺屈鹊雀黢曲{酒～}掬门阙蛐［8］菊-局-
ɕ	［7］薛=雪血戌恤削肃宿畜续旭索-{地名：～达干}［8］穴荽俗-{风~}
Ø	［7］狱阅越粤裕域育浴跃愈［8］月岳
#aʔ	
p	［7］八扒剥驳把
pʰ	［7］胖-［8］拔脖冹
m	［8］□{把帽子笔帽之类的东西摘下}
f	［7］发{~财}法砝［8］乏阀伐筏罚
t	［7］答搭达瘩垯妲
tʰ	［7］塔沓踏遢塌榻溻拓［8］踏达-{地名：索～干}
n	［8］纳捺钠娜衲
l	［7］邋乐{快～}［8］蜡腊辣落{～叶}喇垃雒络洛
ts	［7］扎作则责泽择=眨睫咂{吮吸}［8］杂=
tsʰ	［7］插擦察擦查{检～}册测侧策厕［8］杂-铡炸-
s	［7］杀刹煞
tʂ	［7］窄摘指-{～头}趾侧-
tʂʰ	［7］拆撤［8］择宅
ʂ	［7］虱涩色摄涉
x	［7］瞎［8］盒匣
#iaʔ	
p	［7］北百柏伯佰掰
pʰ	［7］拍魄-迫-珀-拍谝{～打：闲聊，胡侃}［8］白
m	［8］灭麦脉墨-拇{大～指头}
n	［7］鸭押压
tɕ	［7］夹挟甲胛隔-颊荚
tɕʰ	［7］掐恰冾客-
ɕ	［7］狭峡侠辖黠胁
Ø	［7］乐{音～}［8］□{大～指头：大拇指}
#uaʔ	
ts	［7］桌捉啄
tsʰ	［7］戳镯-撞-龊
s	［7］刷缩索=朔
k	［7］刮逛-剐括
x	［8］滑猾获
Ø	［7］握龌［8］袜
#yaʔ	
tɕ	［7］觉-{～得}角
tɕʰ	［7］确□{脏乱}
Ø	［7］约{大～}越
