来源：	张长江 2020《山西屯留方言语音研究》；Hynuza, Skanda 整理录入
说明：
#符号说明：	-白=文*俗?待考
#调值	［1］31［2］11［3］43［5］53［7］1［8］54
#ɿ
ts	［1］知蜘支枝肢栀资姿咨兹滋辎之芝吱［2］自字痔{痔疮}［3］紫纸姊旨指{指挥}子梓止趾址脂籽牸{牸牛}［5］制致置治志掷智至稚滞
tsʰ	［1］疵眵{眵糊（眼屎）}瓷餈嗤词痴辞［2］迟持慈磁池驰祠={晋祠}［3］此豉耻齿侈［5］刺赐翅次伺
s	［1］斯嘶廝撕施私师狮尸司丝思诗饲燍{燍气：饭馊了}［2］是时氏似祀{祭祀}巳{巳辰}士仕柿俟市恃寺嗣事匙祠-{祠堂}［3］屎使史驶始［5］世势誓逝四肆嗜试侍示视
#i
p	［1］屄［2］痹备-被-{被卧}臂［3］鄙比秕{秕谷}婢瘪滗{把水滤出来}［5］蔽敝弊币毙陛闭箅庇=避弼
pʰ	［1］坯-批披丕匹{一匹布}劈痹-{小儿麻痹}［2］皮疲琵{琵琶}枇{枇杷}痞{痞子}啤{啤酒}［3］脾［5］屁譬庇-{包庇}
m	［1］寐-{睡一会儿}咪［2］迷谜泥-靡眉-{眉毛}猕{猕猴桃}［3］米
t	［1］低堤嘀提{提防}［2］帝弟第地［3］底抵［5］递
tʰ	［1］梯［2］蹄屉题提{提拔}啼［3］体［5］替涕剃
l	［2］例厉励犁黎丽隶离篱{篱笆}璃荔梨利痢厘狸吏立笠栗娌{妯娌}［3］礼李里理鲤篱{笊篱}
tɕ	［1］几{几乎}鸡稽饥肌基机讥饥敧{用筷子夹菜}姬叽［2］继技妓［3］挤己几{几个}虮{虱子的卵}［5］寂纪记祭际穄济剂计髻寄忌既季冀系{系鞋带}
tɕʰ	［1］妻期祈凄欺［2］祁鳍杞戚旗芪{黄芪}畦{菜畦}齐脐{脐带}奇骑其棋［3］启企岂起乞祈{祈祷}［5］契器弃气汽泣砌
ȵ	［1］妮［2］泥=弥尼匿逆{逆风}溺腻=倪昵［3］你拟
ɕ	［1］西栖犀溪奚兮牺嬉熙希稀［3］洗喜蟢玺徙［5］细系戏
Ø	［1］伊医衣依揖倚［2］移仪宜颐疑艺谊义议易夷姨肄异意沂遗日-逸忆亿抑翼益疫役腻-{油腻}译亦毅蚁羽-{毛羽，头发}［3］椅矣已以尾-{尾巴}［5］缢瞖溢
#u
p	［2］抱-{抱小孩}菢{菢小鸡}步部布{布局}［3］补捕卜{占卜}堡-{后堡（地名）}哺［5］布{布匹}埠卜{萝卜}怖
pʰ	［1］铺{动词}［2］菩葡蒲［3］谱普浦脯{果脯}［5］铺{店铺}
m	［2］模{模范}慕=墓=募=暮=谋-［3］某=亩=牡=母=拇=
f	［1］夫肤麸敷［2］俘孵扶芙浮妇父={父母}［3］府腑俯甫斧抚釜腐辅否{否定}［5］付赋傅赴讣符附副富负阜驸{驸马}
t	［1］都{首都}嘟［2］杜肚{腹肚}度渡镀妒［3］堵赌肚{鱼肚}睹
tʰ	［1］涂［2］徒屠途图［3］土吐{吐痰，呕吐}［5］兔
n	［2］奴怒［3］努
l	［2］卢炉芦鸬路赂露{露水}鹭庐卤{卤面}［3］鲁橹虏卤{打卤}乳-{乳房}
ts	［1］租猪诸诛蛛株朱硃珠［2］箸{火箸}柱住炷{一炷香}［3］祖组煮拄主帚嘱={遗嘱}苧［5］注蛀铸著{著作}驻
tsʰ	［1］粗焌{火焌手了}［2］除厨［3］褚处{相处}杵储雏［5］醋处{处长}怵{发怵}
s	［1］苏酥书舒枢输殊［2］竖树［3］暑鼠黍署薯蜀［5］素诉塑嗉戍漱{漱口}庶
k	［1］姑孤箍菇箍{箍围脖}锢{锢漏锅}［3］古估盬牯股鼓［5］故固锢雇顾
kʰ	［1］枯［3］苦［5］库裤酷
x	［1］呼互胡{二胡}糊{动词}［2］户沪护瓠胡湖狐壶胡{姓，胡说}斛浒={水浒传}唬蝴瑚糊{迷糊}［3］虎琥
Ø	［1］乌污坞巫诬侮戊［2］吴蜈梧误悟务雾恶{可恶}勿无忤{忤逆}舞［3］五伍午武捂焐［5］鹉吾{余吾：地名}
#y
l	［2］驴滤律={律师}［3］吕旅缕履屡侣铝［5］虑
