#符号说明：-白=文/书*俗?待考	
#调值	［1］21［2］45［3］214［5］33［5］3［6］45
kʰ	[1]亏窥盔 [2]魁奎逵夔葵 [3]傀 [5]溃愧
x	[1]灰恢挥徽辉 [2]回茴蛔 [3]悔毁 [5]会惠汇慧卉烩秽讳
	#yei
tɕ	[1]追锥 [5]罪最缀坠赘醉
tɕʰ	[1]吹炊崔催 [2]锤捶棰槌随 [3]取娶 [5]脆
ɕ	[2]随谁髓隋垂 [3]水 [5]税岁睡瑞碎隧
	[5]锐
	#ɔ
p	[1]包胞 [3]保堡宝饱媬 [5]报爆暴豹瀑抱刨
pʰ	[1]泡{水~}抛 [2]袍跑 [5]炮泡
m	[1]帽冒毷 [2]毛矛茅锚猫 [3]卯铆 [5]貌
t	[1]叨刀 [3]倒{打~}岛捣导蹈祷 [5]到道盗稻倒{~水}
tʰ	[1]滔掏 [2]淘逃桃陶萄 [3]讨 [5]套
n	[1]闹 [2]挠 [3]脑恼 [5]闹
l	[2]捞劳牢痨 [3]老 [5]涝
ts	[1]招糟朝{~夕}昭遭沼 [3]早找蚤澡爪 [5]躁燥皂造罩照诏召赵兆
tsʰ	[1]抄操超 [2]巢曹槽嘈潮朝[3]草吵炒 [5]糙
s	[1]烧骚臊捎稍梢 [2]韶 [3]少扫嫂 [5]绍邵
z	[2]饶 [3]绕{~道} [5]绕{~圈子}
k	[1]高羔糕膏教 [3]搞稿搅 [5]告酵窖校{~秤}
kʰ	[3]考烤 [5]铐靠犒
x	[1]薅哈{~麻味} [2]豪毫嚎壕 [3]好郝 [5]耗浩好号
ŋ	[1]奥澳噢 [2]敖熬 [3]咬袄 [5]傲拗
	[1]二 [2]儿 [3]耳
	#iɔ
p	[1]瞟标膘镖彪 [3]表裱
pʰ	[1]飘漂{~流} [2]瓢嫖 [5]票漂{~白}
m	[2]苗描瞄 [3]秒渺藐 [5]妙庙
t	[1]刁雕貂碉叼 [3]屌 [5]调{~动}掉钓悼
tʰ	[1]挑 [2]条调{~整}笤 [5]跳
n	[3]鸟 [5]尿=
l	[2]聊撩燎嘹缭辽疗瞭 [3]了 [5]廖料撂
tɕ	[1]交蕉焦郊浇椒娇骄皎矫佼 [3]绞搅缴较侥 [5]觉教叫轿
tɕʰ	[1]锹 [2]桥瞧乔侨荞 [3]巧 [5]跷撬翘俏
ɕ	[1]宵硝箫萧逍销霄 [2] 淆 [3]小晓 [5]啸笑效孝校
	[1]夭妖腰要{~求}邀 [2]摇谣遥姚尧 [3]杳舀 [5]跃耀要{重~}
	#o
p	[1]搬 [5]半拌伴
pʰ	[1]潘 [2]盘 [5]叛判
m	[2]瞒 [3]满
t	[1]端 [3]短 [5]段锻断缎
tʰ	[2]团坛
n	[2]男南楠 [3]暖
l	[3]卵 [5]乱
k	[1]官干肝冠{衣~}棺观 [3]管敢馆 [5]灌贯罐冠{~军}
kʰ	[1]宽看 [3]款坎 [5]看
x	[1]欢汗 [2]寒含韩桓 [3]缓 [5]换唤焕焊旱翰
	[1]豌岸安按鞍庵 [2]完丸 [3]碗宛婉腕皖 [5]暗案
	#io
tɕ	[1]专钻砖捐娟 [3]卷 [5]眷券
tɕʰ	[1]穿川氽圈 [2]传船椽全权痊泉拳颧蚕 [3]犬喘 [5]劝串窜纂篡
ɕ	[1]酸宣喧 [2]悬玄旋 [3]选 [5]算蒜楦
	[1]冤鸳渊 [2]园圆缘源元袁猿援辕 [3]软阮远 [5]院怨愿
	#æ̃
p	[1]班斑般瘢颁扳 [3]板版坂 [5]办扮
pʰ	[1]攀 [5]盼绊
m	[2]蛮 [3]马{~上} [5]漫慢
f	[1]番翻蕃 [2]凡烦繁矾樊帆 [3]反返 [5]饭范泛乏犯贩
v	[1]弯湾 [2]玩 [3]晚挽 [5]万
t	[1]丹单担{~任}耽 [3]掸胆 [5]旦但淡蛋诞石担
tʰ	[1]贪滩坍摊瘫 [2]谈痰檀弹潭谭 [3]毯坦袒 [5]炭叹坍探
n	[2]难{困~} [5]难{患~}
l	[2]兰拦栏阑篮蓝 [3]揽懒览 [5]烂
ts	[3]斩 [5]赞站暂栈
tsʰ	[1]搀参 [2]残惭潺谗馋 [3]惨产铲 [5]颤灿餐
s	[1]三删参衫杉山珊 [3]散伞 [5]散{~会}
k	[1]甘柑竿间 [3]敢感橄赶 [5]干
kʰ	[1]堪刊铅看{~守} [3]砍坎舰刊 [5]嵌勘
x	[1]酣憨 [2]咸函邯含 [3]喊 [5]旱=捍焊=汉=汗=翰=撼罕觌
ŋ	[1]淹 [2]颜 [3]眼 [5]晏雁
	#iæ̃
tɕ	[1]艰奸 [3]碱减 [5]监鉴
	#iɪ̃
p	[1]鞭编边蝙煸 [3]贬扁匾 [5]辨辩辫变便遍卞
pʰ	[1]篇偏 [2]便{~宜} [5]片遍{一~}
m	[1]眠 [2]棉绵 [3]免勉娩 [5]面缅
t	[1]掂颠 [3]点典 [5]店殿奠佃垫踮
tʰ	[1]天添 [2]甜田填滇 [3]舔腆 [5]掭
n	[1]拈 [2]粘年严研 [3]碾 [5]念砚
l	[1]连莲联廉镰帘怜 [3]敛脸 [5]练炼
tɕ	[1]尖煎笺肩坚兼 [3]展简剪 [5]剑箭践战件贱饯键建见健腱荐牮
tɕʰ	[1]千迁谦牵 [2]潜钳钱乾{~坤}虔前蝉 [3]浅遣 [5]欠歉
ɕ	[1]仙鲜掀先锨洗 [2]贤弦 [3]癣显险 [5]线献扇现善膳
	[1]烟腌 [2]炎言盐阎檐延筵然燃 [3]掩演 [5]厌艳燕焰验谚宴堰
	#uæ̃
k	[1]关 [5]惯掼贯
kʰ	[2]环
x	[2]还 [5]宦患
	#yæ̃
tɕ	[5]赚
ɕ	[1]闩
	#ən
p	[1]奔锛 [3]本苯 [5]笨
pʰ	[1]喷 [2]盆 [5]喷{香~~}
m	[2]门们扪明 [5]闷焖
f	[1]分芬纷吩 [2]坟 [3]粉焚 [5]愤粪奋忿份
v	[1]瘟温 [2]文纹蚊闻 [3]吻刎稳 [5]问
t	[1]登瞪灯墩敦蹲顿 [3]等戥 [5]凳顿{一~饭}盾遁邓钝扽
tʰ	[1]吞 [2]疼腾誉藤豚臀 [3]汆
n	[2]能 [5]嫩
l	[1]楞 [2]论{~语}仑伦沦轮 [3]冷 [5]论{讨~}
ts	[1]真贞争侦针珍蒸臻斟征罾 [3]整怎拯枕疹诊 [5]正政镇振震阵证
tsʰ	[1]撑称{~呼}村 [2]成诚辰晨丞承臣程呈城橙澄层逞陈 [5]称{相~}剩趁衬
s	[1]生申伸牲甥升声参{人~}身深绅 [2]神绳 [3]省沈审婶 [5]盛圣胜渗肾慎什
z	[2]人仁壬 [3]忍刃 [5]认任
k	[1]根跟耕更羹今 [3]埂梗耿 [5]更{~加}
kʰ	[1]坑吭 [3]肯啃恳垦 [5]□
x	[1]亨哼 [2]痕恒衡 [3]狠很 [5]恨
ŋ	[1]恩 [5]硬
	#in
p	[1]兵宾槟彬斌冰 [3]丙饼禀秉 [5]殡鬓柄病并
pʰ	[1]姘拼 [2]贫频平凭坪瓶屏萍 [3]品评 [5]聘
m	[2]民闽鸣明名铭 [3]悯敏抿皿 [5]命
t	[1]丁钉疔叮 [3]顶鼎 [5]定锭订钉
tʰ	[1]厅汀 [2]亭停廷庭蜓 [3]艇挺听 [5]听
n	[2]宁凝 [5]宁{~可}
l	[2]邻鳞磷麟灵零铃伶翎琳玲林 [3]领岭 [5]令赁吝
tɕ	[1]津巾斤筋京金鲸精晶经睛 [3]紧井仅景谨警锦 [5]近劲竟境镜兢静进晋径颈净靖禁浸
tɕʰ	[1]亲青清轻卿蜻氢 [2]秦勤芹情晴琴擒寻 [3]请寝倾 [5]庆磬揿
ɕ	[1]心芯辛新薪欣兴{~旺}星腥 [2]形型刑行{~动} [3]醒省{反~}笋 [5]衅幸性姓信兴{高~}
	[1]因姻洇殷应莺鹦樱婴英瑛缨荫 [2]银寅迎盈赢萤营莹 [3]引隐影饮 [5]印映应{~付}
	#uən
k	[3]滚磙绲 [5]棍
kʰ	[1]昆鲲坤 [3]捆 [5]困
x	[1]昏婚荤 [2]浑魂 [3]混
	#yən
tɕ	[1]君尊遵均军钧 [3]准 [5]菌俊竣
tɕʰ	[1]春皲 [2]群裙存 [3]蠢 [5]寸
ɕ	[1]熏孙 [2]旬循巡纯 [3]损榫{~头} [5]训汛顺讯舜殉逊
	[1]云芸匀耘 [3]允永 [5]熨酝韵孕运闰晕
	#ɑŋ
p	[1]邦帮 [3]榜绑膀 [5]磅蚌谤棒傍
pʰ	[1]旁螃庞滂 [5]胖
m	[2]忙芒茫盲氓 [3]莽蟒
f	[1]方芳坊 [2]房防床 [3]访纺仿 [5]放
t	[1]当裆哨 [3]挡党档 [5]荡宕当{~铺}
tʰ	[1]汤 [2]唐塘糖堂棠搪膛 [3]淌躺倘 [5]烫趟蹚
n	[2]瓤
l	[1]晾 [2]狼郎廊 [3]朗 [5]浪
ts	[1]张章脏赃 [3]长{~辈}涨掌 [5]帐胀障丈仗葬
tsʰ	[1]昌猖娼仓舱 [2]长{~短}肠场常嫦藏 [3]厂敞 [5]畅唱倡
s	[1]伤丧桑商墒裳 [2]尝偿 [3]搡嗓 [5]上丧{~失}
z	[3]嚷壤 [5]让
k	[1]纲刚钢缸肛 [3]港岗讲{~经} [5]杠
kʰ	[1]康糠 [2]扛 [3]慷 [5]炕抗囥
x	[1]夯 [2]行了航杭 [5]项巷
ŋ	[2]昂
	#iɑŋ
n	[2]娘 [3]仰
l	[2]凉量{动词}梁粱粮良 [3]辆两 [5]亮谅量{重~}
tɕ	[1]江将浆疆姜僵 [3]讲奖蒋 [5]酱降匠象犟
tɕʰ	[1]枪腔呛 [2]强墙详祥 [3]抢 [5]戗{~好了}
ɕ	[1]香乡相箱 [2]翔 [3]响想享饷 [5]象相像橡向
	[1]央泱秧殃鸯 [2]羊洋扬杨阳 [3]痒养 [5]恙漾样
	#uɑŋ
k	[1]光 [3]广 [5]逛
kʰ	[1]匡筐诓框眶 [2]狂 [5]况旷矿
x	[1]荒慌 [3]谎幌 [5]晃
	[1]汪 [2]亡王黄皇煌蝗簧 [3]网 [5]枉
	#yɑŋ
tɕ	[1]庄桩装妆 [3]壮{形容词} [5]壮状撞
tɕʰ	[1]疮窗 [2]床[3]闯 [5]创
ɕ	[1]双霜 [3]爽摤
	#oŋ
p	[1]崩绷 [5]蹦
pʰ	[2]朋棚蓬篷鹏硼彭膨 [3]捧 [5]碰
m	[2]蒙矇濛朦萌盟 [3]猛锰 [5]梦孟
f	[1]风疯枫丰封峰烽蜂锋 [2]逢缝冯 [3]讽 [5]奉俸
t	[1]东冬咚 [3]董懂 [5]冻栋动洞
tʰ	[1]通捅 [2]铜同童瞳侗桐 [3]桶统 [5]痛
n	[2]农脓浓 [5]弄
l	[2]龙笼聋隆 [3]拢 [5]弄
ts	[1]中衷盅宗棕鬃踪终综 [3]总种{~子}肿 [5]纵众种{~树}
tsʰ	[1]冲聪匆葱 [2]虫从崇重{~复}丛穷 [3]宠
s	[1]松嵩凶淘胸 [3]㧐 [5]送宋颂讼诵
z	[2]绒戎茸融容熔溶雄
k	[1]公工功宫弓恭 [3]汞拱巩 [5]共贡供
kʰ	[1]空 [3]孔恐 [5]控空{~闲}
x	[1]烘轰 [2]红洪鸿宏 [3]哄
	[1]翁嗡
	#aʔ
p	[7]驳剥 [8]薄
m	[8]膜摸幕
t	[7]沰{~雨}
tʰ	[7]托
l	[8]落乐{快~}
ts	[8]着{~火}
s	[7]索 [8]勺□{斜}
z	[8]弱
k	[7]角各咯
kʰ	[7]壳
x	[8]鹤
ŋ	[7]恶
	#iaʔ
tɕ	[7]脚觉{~悟}甲 [8]爵嚼
tɕʰ	[7]确
ɕ	[7]削 [8]学
	[7]约 [8]药乐{音~}
	#uaʔ
k	[7]郭
kʰ	[7]扩
x	[7]霍□ {打人巴掌}
	[7]握
	#yaʔ
tɕ	[7]桌捉
tɕʰ	[7]戳
ɕ	[7]□{~筷子}
	#oʔ
p	[7]百北柏拨 [8]白
pʰ	[7]拍扑泼
m	[8]默木脉麦目末
f	[7]福辐幅 [8]伏
v	[8]活{~计}
t	[7]督笃 [8]毒读夺
tʰ	[7]秃脱
l	[8]陆录六绿
ts	[7]足粥竹菊逐 [8]轴局族簇
tsʰ	[7]触畜曲
s	[7]速肃缩蓄塾 [8]熟赎续
z	[7]欲育玉 [8]肉辱
k	[7]国啯谷割葛鸽合{十~一升}
kʰ	[7]哭酷渴阔
x	[7]喝 [8]合
	#ioʔ 
tɕ	[7]决绝撅
tɕʰ	[7]缺阙掘倔撮
ɕ	[7]血说
	[7]月悦越役域
	#əʔ
p	[7]不 [8]□{制做食品时避免彼此沾结用的粉}
pʰ	[8]渤勃
m	[8]没
f	[7]弗拂沸 [8]佛
v	[8]物
t	[7]得德 [8]特凸
tʰ	[8]突
l	[8]勒
ts	[7]摘这 [8]贼只直
tsʰ	[7]尺
s	[7]湿 [8]十什{~锦}石拾
z	[8]肏{本字为“入”}入{俗字作“肏”}
k	[7]革隔格虼
kʰ	[7]咳克刻
x	[7]黑 [8]核
ŋ	[7]扼 [8]额杌
	#iəʔ
p	[7]憋鳖逼壁璧笔毕辟哔臂必 [8]别鼻
pʰ	[7]劈撇滗
m	[7]觅 [8]密蜜灭
t	[7]滴跌的 [8]笛
tʰ	[7]踢剔铁
n	[8]捏孽
l	[7]历立粒栗列律 [8]力裂
tɕ	[7]急接即揭疾及折 [8]绝{~子~孙}
tɕʰ	[7]切彻吃七漆
ɕ	[7]析泄息熄吸雪习 [8]席
	[7]一壹乙缢益邑绎抑翼亦逸益叶日热
	#uəʔ
k	[7]骨
kʰ	[7]窟
x	[7]忽
	#yəʔ
tɕ	[7]□{跳跳~~}
tɕʰ	[7]出
ɕ	[7]术
	#æʔ
p	[7]八 [8]拔
m	[8]抹
f	[7]发法 [8]罚伐阀筏
v	[7]挖 [8]滑袜
t	[7]答搭瘩 [8]达踏
tʰ	[7]塌塔榻獭 [8]遢
n	[8]纳
l	[8]癞辣蜡腊
ts	[7]扎眨 [8]闸杂铡
tsʰ	[7]插察擦
s	[7]杀煞萨刹
k	[7]夹挟 [8]轧
kʰ	[7]掐
x	[7]瞎
ŋ	[7]鸭压押
	#uæʔ
k	[7]刮括垡
x	[7]豁
	#yæʔ
tɕ	[7]□{咂的意思} [8]□{~得很}
ɕ	[7]刷唰
