澄海大新话字表，属于闽南区——潮汕片	
b	[33]蚊（～子）[35]闻（听见）[11]闷[55]文（～化）
n	[213]嫩
s	[33]孙纯[35]顺[55]荀旬巡[53]损笋榫（榫头）[213]逊舜
m	[11]问璺（裂璺）[55]门[53]晚
z	[35]闰
#ŋ	
h	[33]荒方[35]远[55]园
#ɯk	
kʰ	[2]乞
ŋ	[2]吃
#uʔ	
kʰ	[2]窟（窟窿）
#oŋ	
t	[33]中（当中）[35]仲[53]懂[213]冻（～水）栋中（射中）
tʰ	[33]通[55]童[53]统宠
l	[35]弄[55]农隆浓[53]拢
ts	[33]宗终踪[213]综（织布机上的综）
tsʰ	[33]聪充冲[55]崇从（从容）从（跟从）
k	[33]公[213]贡汞
kʰ	[33]空（空虚）空（空缺）[213]控
h	[33]轰丰锋[35]凤奉（～神）[55]虹（天上的虹）弘宏逢[213]讽
p	[35]并（合并）[55]庞
pʰ	[55]蓬[53]捧
s	[33]嵩松（轻～）[35]诵颂[53]怂（怂恿）[213]宋
m	[55]蒙[53]懵（懵懂）
z	[55]绒
#auʔ	
ɡ	[4]乐（音乐）
#iok	
kʰ	[2]克
∅	[4]育欲
h	[2]郁
#ioŋ	
k	[33]恭
kʰ	[53]巩（巩固）恐
∅	[33]雍拥[55]荣融容[53]永勇
h	[33]凶（吉凶）
