澄海大新话字表，属于闽南区——潮汕片	
tsʰ	[33]叉杈（枝杈）差（出差）[55]查（调查）徐雌[53]扯鼠此[213]厕（厕所）
k	[33]家[53]假（真假）贾（姓）[213]架嫁价
ɡ	[55]牙芽
∅	[35]下（底下）[53]哑
h	[11]厦（偏厦）夏（姓）厦（厦门）夏（春夏）[55]虾（鱼虾）
p	[55]杷（枇杷）耙（犁耙）
pʰ	[213]帕
b	[53]马码（码子）
s	[33]师[213]赐
z	[35]腻[53]尔
#eʔ	
tʰ	[4]宅
l	[4]历
ts	[2]织职责积绩
tsʰ	[2]策册
k	[2]格隔
kʰ	[2]客
∅	[2]轭（牛～）
h	[2]吓（吓一跳）吓（恐吓）
p	[4]白[2]爬百伯
b	[4]麦
m	[4]脉
#ieʔ	
ts	[4]石[2]借
#iã	
t	[213]定
tʰ	[33]听（听见）厅[55]程[213]痛
ts	[33]精正（正月）[53]整[213]正
tsʰ	[53]且请
k	[33]惊经[35]件[11]健[55]行（行为）行（品行）[213]镜
∅	[55]赢营
h	[33]兄[11]艾
p	[33]冰兵[53]丙饼[213]拼（拼命）
pʰ	[213]聘
n	[53]领岭
s	[33]声[55]成城[213]圣
m	[55]名[213]命
#ẽ	
t	[213]郑
tʰ	[33]撑（撑伞）[213]牚（椅子牚）
ts	[33]争（相~/吵）[35]静[55]晴[53]井
tsʰ	[33]青星[53]醒
k	[33]粳（粳米）庚耕[53]哽（骨哽在喉）梗（茎）[213]劲（有劲）颈劲（劲敌）径
kʰ	[33]坑
p	[11]病[55]棚平
pʰ	[55]彭
n	[53]冷
s	[33]生[53]耍（骗）省（节省）[213]姓
m	[55]芒[53]猛
ŋ	[35]硬
#ou	
t	[33]都（都城）都（都是）[35]肚（鱼肚）杜[11]度[55]图厨[53]肚（腹肚）[213]昼
tʰ	[53]土[213]吐（吐痰）吐（呕吐）兔
l	[11]路露[55]炉[53]卤
ts	[33]邹[35]骤[53]祖
tsʰ	[33]粗[55]愁[213]醋凑
k	[33]姑孤估（估计）枯[35]靠[53]古牯鼓[213]妬雇购
