#注释	《苍南方言志》中的龙港字表，其成书时龙港尚未脱离苍南，转录人落橙，龙港：太保人
#声调	[1]⁴⁴[2]²¹[3]⁵⁴[4]⁴⁵[5]⁴²[6]²²[7]²⁴[8]²¹³
#ɿ	
ts	[1]知蜘之芝资脂姿兹滋[3]旨指止址趾子紫姊[5]置志痣致至[7]只{〜有}
tsʰ	[1]雌疵痴[3]此耻齿[5]次剌翅
dz	[2]迟驰[4]痔[6]治
s	[1]师狮筛尸诗施思私司丝斯撕梳{白读}[3]始史使驶矢死[5]四试肆赐
z	[2]时辞词祠匙瓷慈磁糍[4]市柿士仕是似尔[6]事示而视氏祀寺饲字自
#i	
p	[1]边鞭编[3]贬扁匾比毙[5]变遍闭鄙蔽篦 
pʰ	[1]偏篇披批[5]片骗屁譬
b	[2]便{～宜}皮疲肥{白读}[4]辨辩辫[6]便{方〜}被备脾避币敝弊[8]鼻
m	[2]绵棉眠眉迷谜弥糜[3]免娩娩缅米[6]面未{白读}味{白读}
f	[1]飞非[3]匪[5]废费痱肺
v	[2]肥微[4]尾[6]未味
t	[1]颠低爹[3]底抵[5]帝[7]的滴
tʰ	[1]天梯[3]体[5]替涕剃
d	[2]田佃填堤题提啼蹄[4]弟第[6]电殿第{门～}递地[8]敌狄笛
l	[2]来{白读}离篱梨犁黎恋连厘狸莲廉镰帘怜联丽{～水}[3]脸敛礼李里理[6]练炼利痢吏丽例厉励泪{白读}隶[8]历力
tɕ	[1]毡沾猪遮支肢枝机讥饥鸡基脊[3]检茧剪展己几纸煮[5]见剑建箭溅荐占战祭挤济剂计纪寄既记借制冀系{～鞋带}继揭[7]折浙积迹绩织职只{一～鸡}哲结洁接节即辄摺劫
tɕʰ	[1]千迁歼牵谦签溪欺妻凄[3]浅启起岂且鼠[5]欠器契弃气汽[7]吃赤尺切挈{提～}
dʑ	[2]钱乾{～坤}虔企钳池驰茄其期麒旗奇骑{4}件俭[6]健技妓忌[8]直值植彻撒杰
ȵ	[1]粘研腻[2]尼泥宜疑严年言倪[3]染你议[6]砚验念{白读}义艺[8]业热聂孽
ɕ	[1]先鲜仙轩希西牺犀熙嬉[3]险陕癣洗写喜[5]线扇宪献显苋细卸泄泻婿系戏[7]释识适式惜息熄析锡设薛歇
ʑ	[2]然燃蝉前脐邪蛇徐[4]善社籍[6]射谢逝渐[8]席食石蚀舌涉
kʰ	[5]去{白读}
ɡ	[2]渠{他}
ɦ	[2]贤延盐檐阎炎姨夷移怡贻[6]现易{容～}夜[8]易{交～}亦译协叶翼
	[1]烟淹衣依医蔫{食物不新鲜}[3]演野椅倚已[5]腌掩厌燕咽宴晏意亿以[7]一{又音}噎谒
#u	
p	[1]波[3]玻补谱[5]布播[7]卜
