聲	呼	等	韻	調	組	攝	單字	多音	罕度	檢	原註	新註	聲母	韻母	聲調	次 聲母	次 韻母	次 聲調	分韻(1782)	英華(1856)	分部(1914)	道漢(1939)	穗書	穗習	IPA 聲母	IPA 韻母	IPA 聲調
並	開	一	歌	上	幫	果	爸	#REF!	0	0			b	aa	1				-	baa1	baa1	baa1	baa1		p	a	55
幫	開	二	麻	平	幫	假	巴	0	0	0			b	aa	1				baa1	baa1	baa1	baa1	baa1		p	a	55
幫	開	二	麻	平	幫	假	笆	0	1	0			b	aa	1				-	baa1	-	baa1	baa1		p	a	55
幫	開	二	麻	平	幫	假	芭	0	1	0			b	aa	1				baa1	baa1	baa1	baa1	baa1		p	a	55
滂	開	二	麻	平	幫	假	吧	0	0	1	酒吧		b	aa	1				-	baa1	-	baa1	baa1		p	a	55
-	-	-	-	-	-	-	疤	0	0	0			b	aa	1				baa1	baa1	baa1	baa1	baa1		p	a	55
-	-	-	-	-	-	-	粑	0	2	0			b	aa	1				-	-	-	-	baa1		p	a	55
-	-	-	-	-	-	-	峇	0	3	0			b	aa	1				-	-	-	-	baa1		p	a	55
-	-	-	-	-	-	-	叭	0	1	0			b	aa	1				-	-	-	baa1	baa1		p	a	55
幫	開	二	麻	上	幫	假	把	0	0	0			b	aa	2				paa4	baa2	baa2	baa2	baa2		p	a	35
幫	開	二	麻	去	幫	假	靶	0	1	0			b	aa	2				baa3	baa3	baa2	baa2	baa3	baa2	p	a	35
幫	開	二	麻	去	幫	假	霸	0	0	0			b	aa	3				baa3	baa3	baa3	baa3	baa3		p	a	33
							伯	0	0	1	春秋五伯		b	aa	3				baa3	baa3			baa3		p	a	33
-	-	-	-	-	-	-	壩	0	0	0			b	aa	3				baa3	baa3	baa3	baa3	baa3		p	a	33
並	開	一	歌	上	幫	果	爸	0	0	0			b	aa	4				-	baa1	baa1	baa1	baa1		p	a	21
並	開	三	支B	平	幫	止	罷	0	0	0			b	aa	6				pi4	baa6	baa6	pei4	baa6		p	a	32
							吧	0	0	1	語助詞		b	aa	6								baa6		p	a	32
幫	開	三	支B	平	幫	止	襬	0	0	0			b	aai	2				-	-	-	baai2	baai2		p	ai	35
幫	開	二	佳	上	幫	蟹	擺	0	0	0			b	aai	2				baai2	baai2	baai2	baai2	baai2		p	ai	35
幫	開	二	皆	去	幫	蟹	拜	0	0	0			b	aai	3				baai3	baai3	baai3	baai3	baai3		p	ai	33
滂	開	二	皆	去	幫	蟹	湃	0	1	0			b	aai	3				-	baai3	-	baai3	baai3		p	ai	33
並	開	二	夬	去	幫	蟹	敗	0	0	0			b	aai	6				baai6	baai6	baai6	baai6	baai6		p	ai	32
並	合	三	文	平	幫	臻	頒	0	1	0			b	aan	1				baan1	baan1	-	baan1	baan1		p	an	55
幫	開	二	刪	平	幫	山	斑	0	0	0			b	aan	1				baan1	baan1	baan1	baan1	baan1		p	an	55
幫	開	二	刪	平	幫	山	班	0	0	0			b	aan	1				baan1	baan1	baan1	baan1	baan1		p	an	55
幫	開	一	寒	上	幫	山	粄	0	3	0			b	aan	2				-	-	-	-	baan2		p	an	35
幫	合	三	元	上	幫	山	阪	0	2	0			b	aan	2				-	-	-	baan2	baan2		p	an	35
幫	開	二	刪	上	幫	山	板	0	0	0			b	aan	2				baan2	-	baan2	baan2	baan2		p	an	35
幫	開	二	刪	上	幫	山	版	0	0	0			b	aan	2				baan2	baan2	baan2	baan2	baan2		p	an	35
-	-	-	-	-	-	-	闆	0	0	0			b	aan	2				-	-	-	baan2	baan2		p	an	35
幫	合	三	文	平	幫	臻	扮	0	0	0			b	aan	6				baan6	baan6	baan6	baan3	baan6		p	an	32
並	開	二	山	去	幫	山	辦	0	0	0			b	aan	6				baan6	baan6	baan6	baan6	baan6		p	an	32
幫	開	二	山	入	幫	山	捌	0	1	0			b	aat	3				baat1	baat3	baat3	baat3	baat3		p	at	3
幫	開	二	山	入	幫	山	八	0	0	0			b	aat	3				baat1	baat3	baat3	baat3	baat3		p	at	3
幫	開	二	肴	平	幫	效	胞	0	0	0			b	aau	1				baau1	baau1	baau1	baau1	baau1		p	au	55
幫	開	二	肴	平	幫	效	苞	0	1	0			b	aau	1				baau1	baau1	baau1	baau1	baau1		p	au	55
幫	開	二	肴	平	幫	效	包	0	0	0			b	aau	1				baau1	baau1	baau1	baau1	baau1		p	au	55
並	開	二	肴	上	幫	效	鮑	0	2	1	鮑魚		b	aau	1				-	baau1	-	baau1	baau1		p	au	55
-	-	-	-	-	-	-	孢	0	2	0			b	aau	1				-	-	-	-	baau1		p	au	55
幫	開	二	肴	上	幫	效	飽	0	0	0			b	aau	2				baau2	baau2	baau1	baau1	baau2		p	au	35
幫	開	二	肴	去	幫	效	爆	0	0	0			b	aau	3				baau3	baau3	baau3	buk6	baau3		p	au	33
並	開	二	肴	上	幫	效	鮑	0	2	1	鮑魚之肆		b	aau	6								baau6		p	au	32
							跛	0	1	1	跛咗		b	ai	1				bai1	bai1	bai1	bai1	bai1		p	ɐi	55
幫	開	三	祭A	去	幫	蟹	蔽	0	0	0			b	ai	3				bai3	bai3	bai3	bai3	bai3		p	ɐi	33
幫	開	四	齊	去	幫	蟹	閉	0	0	0			b	ai	3				bai3	bai3	bai3	bai3	bai3		p	ɐi	33
並	開	三	祭A	去	幫	蟹	敝	0	2	0			b	ai	6				bai6	bai6	bai6	bai6	bai6		p	ɐi	32
並	開	三	祭A	去	幫	蟹	斃	0	0	0			b	ai	6				bai6	bai6	bai6	bai6	bai6		p	ɐi	32
並	開	三	祭A	去	幫	蟹	弊	0	0	0			b	ai	6				bai6	bai6	bai6	bai6	bai6		p	ɐi	32
並	開	三	祭A	去	幫	蟹	幣	0	0	0			b	ai	6				bai6	bai6	bai6	bai6	bai6		p	ɐi	32
並	開	四	齊	上	幫	蟹	陛	0	2	0			b	ai	6				bai6	bai6	bai6	bai6	bai6		p	ɐi	32
幫	開	一	登	入	幫	曾	北	0	0	0			b	ak	1				bak1	bak1	bak1	bak1	bak1		p	ɐk	5
幫	開	二	庚	入	幫	梗	伯	0	0	1	老伯		b	ak	3				baak3	baak3	baak3	baak3	baak3		p	ɐk	3
幫	開	二	庚	入	幫	梗	百	0	0	0			b	ak	3				baak1	baak3	baak3	baak3	baak3		p	ɐk	3
明	開	二	庚	入	幫	梗	佰	0	2	0			b	ak	3				-	baak3	-	baak3	baak3		p	ɐk	3
並	開	二	庚	入	幫	梗	帛	0	2	0			b	ak	6				baak6	baak6	baak6	baak6	baak6		p	ɐk	2
並	開	二	庚	入	幫	梗	白	0	0	0			b	ak	6				baak6	baak6	baak6	baak6	baak6		p	ɐk	2
並	開	一	登	入	幫	曾	蔔	0	0	0			b	ak	6				baak6	baak4	baak6	baak6	baak6		p	ɐk	2
-	-	-	-	-	-	-	乓	0	0	0			b	am	1				-	-	-	bam1	bam1		p	ɐm	55
幫	開	三	真A	平	幫	臻	濱	0	0	0			b	an	1				ban1	ban1	ban1	ban1	ban1		p	ɐn	55
幫	開	三	真A	平	幫	臻	檳	0	2	0			b	an	1				ban1	ban1	ban1	ban1	ban1		p	ɐn	55
幫	開	三	真A	平	幫	臻	賓	0	0	0			b	an	1				ban1	ban1	ban1	ban1	ban1		p	ɐn	55
滂	開	三	真A	平	幫	臻	繽	0	1	0			b	an	1				ban1	ban1	-	ban1	ban1		p	ɐn	55
並	開	三	真A	上	幫	臻	臏	0	2	0			b	an	1				ban1	ban1	ban1	ban1	ban3	ban1	p	ɐn	55
幫	開	三	真B	平	幫	臻	彬	0	1	0			b	an	1				ban1	ban1	ban1	ban1	ban1		p	ɐn	55
幫	合	一	魂	平	幫	臻	奔	0	0	0			b	an	1				ban1	ban1	ban1	ban1	ban1		p	ɐn	55
幫	開	三	侵B	上	幫	深	稟	0	1	0			b	an	2				lam2	lam5	ban2	lam5	ban2		p	ɐn	35
滂	開	三	侵B	上	幫	深	品	0	0	0			b	an	2				pan2	ban2	ban2	ban2	ban2		p	ɐn	35
幫	開	三	真A	去	幫	臻	鬢	0	1	0			b	an	3				ban3	ban3	ban3	ban3	ban3		p	ɐn	33
幫	合	一	魂	上	幫	臻	笨	0	0	0			b	an	6				-	ban6	ban6	ban6	ban6		p	ɐn	32
幫	開	二	耕	平	幫	梗	繃	0	1	1	繃帶		b	ang	1				-	pang4	-	bang1	bang1		p	ɐŋ	55
幫	開	一	登	平	幫	曾	崩	0	1	0			b	ang	1				bang1	bang1	bang1	bang1	bang1		p	ɐŋ	55
-	-	-	-	-	-	-	蹦	0	0	0			b	ang	1				-	-	-	-	bang1		p	ɐŋ	55
幫	開	三	真A	入	幫	臻	畢	0	0	0			b	at	1				bat1	bat1	bat1	bat1	bat1		p	ɐt	5
幫	開	三	真B	入	幫	臻	筆	0	0	0			b	at	1				bat1	bat1	bat1	bat1	bat1		p	ɐt	5
幫	合	三	尤	平	幫	流	不	0	0	0			b	at	1				bat1	bat1	fau4	bat1	bat1		p	ɐt	5
-	-	-	-	-	-	-	嗶	0	2	0			b	at	1				-	bat1	-	bat1	bat1		p	ɐt	5
並	合	三	元	入	幫	山	拔	0	0	0			b	at	6				baat6	baat6	baat6	bat6	baat6	bat6	p	ɐt	2
並	開	一	寒	入	幫	山	跋	0	1	0			b	at	6				but6	but6	baat6	bat6	but6	bat6	p	ɐt	2
-	-	-	-	-	-	-	啤	0	1	0			b	e	1				-	be1	-	bi1	be1		p	ɛ	55
幫	開	三	支A	平	幫	止	卑	0	1	0			b	ei	1				bi1	bi1	bei1	bei1	bei1		p	ei	55
幫	開	三	支B	平	幫	止	碑	0	0	0			b	ei	1				bi1	bi1	bei1	bei1	bei1		p	ei	55
幫	開	三	脂B	平	幫	止	悲	0	0	0			b	ei	1				bi1	bi1	bei1	bei1	bei1		p	ei	55
幫	開	三	支B	上	幫	止	彼	0	0	0			b	ei	2				bi2	bi2	bei2	bei2	bei2		p	ei	35
幫	開	三	脂A	上	幫	止	比	0	0	1	比較		b	ei	2				bi2	bi2	bei2	bei2	bei2		p	ei	35
幫	開	三	脂A	上	幫	止	妣	0	2	0			b	ei	2				bi2	bi2	bei2	bei2	bei2		p	ei	35
幫	開	三	支A	去	幫	止	臂	0	0	0			b	ei	3				bi3	bi3	bei3	bei3	bei3		p	ei	33
幫	開	三	脂A	去	幫	止	庇	0	1	0			b	ei	3				bi3	bi3	bei3	bei3	bei3		p	ei	33
幫	開	三	脂B	去	幫	止	祕	0	0	0			b	ei	3				bi3	bi3	-	bei3	bei3		p	ei	33
幫	開	三	脂B	去	幫	止	泌	0	1	0			b	ei	3				bi3	bi3	bei3	bei3	bei3		p	ei	33
幫	開	三	支B	去	幫	止	跛	0	1	1	站立時重心偏於某一足上		b	ei	3								bei3		p	ei	33
-	-	-	-	-	-	-	秘	0	0	0			b	ei	3				-	bi3	bei3	bei3	bei3		p	ei	33
-	-	-	-	-	-	-	痺	0	3	0			b	ei	3				bi3	bi3	bei3	bei1	bei3		p	ei	33
幫	開	三	脂A	去	幫	止	痹	0	1	0			b	ei	3								bei3		p	ei	33
並	開	二	皆	去	幫	蟹	憊	0	1	0			b	ei	3				paai3	paai3	paai3	paai3	paai3	bei6	p	ei	33
並	開	三	支A	去	幫	止	避	0	0	0			b	ei	6				bi6	bi6	bei6	bei6	bei6		p	ei	32
並	開	三	支B	去	幫	止	被	0	0	1	被動		b	ei	6				bi6	bi6	bei6	bei6	bei6		p	ei	32
並	開	三	脂A	去	幫	止	比	0	0	1	比鄰		b	ei	6					bi6			bei6		p	ei	32
並	開	三	脂A	去	幫	止	鼻	0	0	0			b	ei	6				bi6	bi6	bei6	bei6	bei6		p	ei	32
並	開	三	脂B	去	幫	止	備	0	0	0			b	ei	6				bi6	bi6	bei6	bei6	bei6		p	ei	32
幫	開	三	清A	上	幫	梗	餅	0	0	0		習讀應爲韻母ing對應的白讀音	b	eng	2				bing2	bing2	beng2	beng2	bing2		p	ɛŋ	35
幫	開	三	庚	去	幫	梗	柄	0	0	0		習讀應爲韻母ing對應的白讀音	b	eng	3				bing2	bing3	bing3	bing3	bing3		p	ɛŋ	33
幫	開	三	清A	去	幫	梗	摒	0	2	0		躲藏，習讀應爲韻母ing對應的白讀音	b	eng	3				bing2	bing2	bing3	bing2	bing2	bing3	p	ɛŋ	33
並	開	三	庚	去	幫	梗	病	0	0	0		習讀應爲韻母ing對應的白讀音	b	eng	6				bing6	bing6	bing6	bing6	beng6		p	ɛŋ	32
幫	開	二	庚	入	幫	梗	迫	0	0	0			b	ik	1				bik1	bik1	-	baak1	bik1		p	ɪk	5
幫	開	三	清A	入	幫	梗	璧	0	1	0			b	ik	1				bik1	bik1	bik1	-	bik1		p	ɪk	5
幫	開	三	清B	入	幫	梗	碧	0	0	0			b	ik	1				bik1	bik1	bik1	bik1	bik1		p	ɪk	5
幫	開	四	青	入	幫	梗	壁	0	0	0			b	ik	1				bik1	bik1	bik1	bik1	bik1		p	ɪk	5
幫	開	三	蒸	入	幫	曾	逼	0	0	0			b	ik	1				bik1	bik1	bik1	bik1	bik1		p	ɪk	5
幫	開	三	仙A	平	幫	山	鞭	0	0	0			b	in	1				bin1	bin1	bin1	bin1	bin1		p	in	55
幫	開	四	先	平	幫	山	邊	0	0	0			b	in	1				bin1	bin1	bin1	bin1	bin1		p	in	55
並	開	四	先	上	幫	山	辮	0	0	0			b	in	1				bin1	bin1	-	bin1	bin1		p	in	55
幫	開	四	先	上	幫	山	扁	0	0	1	扁平		b	in	2				bin2	bin2	bin2	bin2	bin2		p	in	35
幫	開	四	先	上	幫	山	匾	0	1	0			b	in	2				-	bin2	-	bin2	bin2		p	in	35
幫	開	三	鹽B	上	幫	咸	貶	0	1	0			b	in	2				bin2	bin2	bin2	bin2	bin2		p	in	35
幫	開	三	仙B	去	幫	山	變	0	0	0			b	in	3				bin3	bin3	bin3	bin3	bin3		p	in	33
並	開	三	仙A	去	幫	山	便	0	0	1	便利		b	in	6				bin6	bin6	bin6	bin6	bin6		p	in	32
並	開	三	仙B	上	幫	山	辨	0	0	0			b	in	6				bin6	bin6	bin6	bin6	bin6		p	in	32
並	開	三	仙B	上	幫	山	辯	0	0	0			b	in	6				bin6	bin6	bin6	bin6	bin6		p	in	32
並	開	三	仙B	去	幫	山	汴	0	2	0			b	in	6				bin6	bin6	bin6	bin6	bin6		p	in	32
幫	開	三	庚	平	幫	梗	兵	0	0	0			b	ing	1				bing1	bing1	bing1	bing1	bing1		p	ɪŋ	55
幫	開	三	蒸	平	幫	曾	冰	0	0	0			b	ing	1				bing1	bing1	bing1	bing1	bing1		p	ɪŋ	55
-	-	-	-	-	-	-	乒	0	0	0			b	ing	1				-	-	-	bing1	bing1		p	ɪŋ	55
幫	開	三	庚	上	幫	梗	炳	0	2	0			b	ing	2				bing2	bing2	bing2	bing2	bing2		p	ɪŋ	35
幫	開	三	庚	上	幫	梗	秉	0	1	0			b	ing	2				-	bing2	bing2	bing2	bing2		p	ɪŋ	35
幫	開	三	庚	上	幫	梗	丙	0	0	0			b	ing	2				bing2	bing2	bing2	bing2	bing2		p	ɪŋ	35
幫	開	三	清A	上	幫	梗	屏	0	1	1	屏除		b	ing	2					ping2	bing2	bing2	bing2		p	ɪŋ	35
幫	開	三	清A	上	幫	梗	併	0	0	0			b	ing	2				bing3	bing3	-	bing3	bing2		p	ɪŋ	35
幫	開	三	清A	去	幫	梗	摒	0	2	0			b	ing	2				bing2	bing2	bing3	bing2	bing2	bing3	p	ɪŋ	35
幫	開	二	耕	去	幫	梗	迸	0	2	0			b	ing	3				bing2	bing3	bing3	bing2	bing3		p	ɪŋ	33
幫	開	三	清A	平	幫	梗	并	0	0	0			b	ing	6				bing3	-	bing1	bing6	bing6		p	ɪŋ	32
並	開	四	青	上	幫	梗	並	0	0	0			b	ing	6				bing6	bing3	bing6	bing6	bing6		p	ɪŋ	32
幫	開	三	真A	入	幫	臻	必	0	0	0			b	it	1				bit1	bit1	bit1	bit1	bit1		p	it	5
幫	開	三	祭A	去	幫	蟹	彆	0	0	0			b	it	6				-	-	-	bai3	bit6		p	it	2
並	開	三	仙B	入	幫	山	別	0	0	0			b	it	6				bit6	bit6	bit6	bit3	bit6		p	it	2
並	開	四	先	入	幫	山	癟	0	1	0			b	it	6				-	-	-	bat1	bit6		p	it	2
幫	開	三	宵A	平	幫	效	飆	0	2	0			b	iu	1				-	-	-	biu1	biu1		p	iu	55
幫	開	三	宵A	平	幫	效	標	0	0	0			b	iu	1				biu1	biu1	biu1	biu1	biu1		p	iu	55
幫	開	三	宵B	平	幫	效	鑣	0	2	0			b	iu	1				biu1	biu1	biu1	biu1	biu1		p	iu	55
幫	開	三	幽	平	幫	流	彪	0	1	0			b	iu	1				bau1	biu1	-	biu1	biu1		p	iu	55
-	-	-	-	-	-	-	錶	0	0	0			b	iu	1				-	-	-	biu1	biu1		p	iu	55
幫	開	三	宵B	上	幫	效	表	0	0	0			b	iu	2				biu2	biu2	biu2	biu2	biu2		p	iu	35
							般	0	0	1	般若		b	o	1								bo1		p	ɔ	55
幫	開	一	歌	平	幫	果	波	0	0	0			b	o	1				bo1	bo1	bo1	bo1	bo1		p	ɔ	55
滂	開	一	歌	平	幫	果	玻	0	0	0			b	o	1				bo1	bo1	bo1	bo1	bo1		p	ɔ	55
幫	開	一	歌	上	幫	果	簸	0	1	0			b	o	1				po3	po3	bo3	bo3	bo3		p	ɔ	55
-	-	-	-	-	-	-	菠	0	0	0			b	o	1				bo1	bo1	bo1	bo1	bo1		p	ɔ	55
幫	開	一	歌	去	幫	果	播	0	0	0			b	o	3				bo3	bo3	bo3	bo3	bo3		p	ɔ	33
幫	開	一	東	入	幫	通	卜	0	0	0			b	ok	1				buk1	buk1	buk1	buk1	buk1		p	ɔk	5
幫	開	二	江	入	幫	江	駁	0	0	0			b	ok	3				bok1	-	bok3	bok3	bok3		p	ɔk	3
幫	合	三	虞	去	幫	遇	搏	0	0	0			b	ok	3				bok1	bok3	-	bok3	bok3		p	ɔk	3
幫	開	一	唐	入	幫	宕	博	0	0	0			b	ok	3				bok1	bok3	bok3	bok3	bok3		p	ɔk	3
滂	開	一	唐	入	幫	宕	膊	0	0	0			b	ok	3				bok1	bok3	bok3	bok3	bok3		p	ɔk	3
並	開	一	歌	去	幫	果	縛	0	1	0			b	ok	3				fok1	fok3	fok6	bok3	kwok3	bok3	p	ɔk	3
並	開	二	江	入	幫	江	雹	0	0	0			b	ok	6				-	buk6	-	buk6	bok6		p	ɔk	2
							魄	0	0	1	旁魄		b	ok	6								bok6		p	ɔk	2
並	開	一	唐	入	幫	宕	薄	0	0	0			b	ok	6				bok6	bok6	bok6	bok6	bok6		p	ɔk	2
並	開	一	唐	入	幫	宕	礴	0	2	0			b	ok	6				bok6	bok6	bok6	bok6	bok6		p	ɔk	2
幫	開	二	江	平	幫	江	邦	0	1	0			b	ong	1				bong1	bong1	bong1	bong1	bong1		p	ɔŋ	55
幫	開	一	唐	平	幫	宕	幫	0	0	0			b	ong	1				bong1	bong1	-	bong1	bong1		p	ɔŋ	55
							膀	0	0	1	肩膀		b	ong	2								bong2		p	ɔŋ	35
並	開	二	庚	平	幫	梗	榜	0	0	0			b	ong	2				bong2	bong2	bong2	bong2	bong2		p	ɔŋ	35
-	-	-	-	-	-	-	綁	0	0	0			b	ong	2				bong2	bong2	bong2	bong2	bong2		p	ɔŋ	35
幫	開	一	唐	去	幫	宕	謗	0	1	0			b	ong	3				pong3	pong3			bong3		p	ɔŋ	33
並	開	一	唐	去	幫	宕	傍	0	0	1	依山傍水		b	ong	6						bong6	bong6	bong6		p	ɔŋ	32
							磅	0	1	1	一磅		b	ong	6						bong6	bong6	bong6		p	ɔŋ	32
幫	開	一	豪	平	幫	效	褒	0	1	0			b	ou	1				bou1	bou1	bou1	bou1	bou1		p	ou	55
-	-	-	-	-	-	-	煲	0	2	0			b	ou	1				bou1	bou1	bou1	bou1	bou1		p	ou	55
幫	開	一	模	上	幫	遇	補	0	0	0			b	ou	2				bu2	bou2	bou2	bou2	bou2		p	ou	35
並	開	一	模	上	幫	遇	簿	0	1	#REF!		记事簿	b	ou	2				bu6	bou6	bou6	bou6	bou6		p	ou	35
幫	開	一	豪	上	幫	效	寶	0	0	0			b	ou	2				bou2	bou2	bou2	bou2	bou2		p	ou	35
幫	開	一	豪	上	幫	效	堡	0	0	0			b	ou	2				bou2	bou2	bou2	bou2	bou2		p	ou	35
幫	開	一	豪	上	幫	效	保	0	0	0			b	ou	2				bou2	bou2	bou2	bou2	bou2		p	ou	35
幫	開	一	豪	上	幫	效	葆	0	2	0			b	ou	2				bou2	bou2	-	bou2	bou2		p	ou	35
幫	開	一	豪	上	幫	效	褓	0	2	0			b	ou	2				bou2	bou2	bou2	bou2	bou2		p	ou	35
幫	開	一	模	去	幫	遇	布	0	0	0			b	ou	3				bu3	bou3	bou3	bou3	bou3		p	ou	33
幫	開	一	模	去	幫	遇	佈	0	0	0			b	ou	3				bu3	bou3	bou3	bou3	bou3		p	ou	33
滂	開	一	模	去	幫	遇	怖	0	0	0			b	ou	3				bu3	bou3	bou3	bou3	bou3		p	ou	33
幫	開	一	豪	去	幫	效	報	0	0	0			b	ou	3				bou3	-	bou3	bou3	bou3		p	ou	33
並	開	一	模	上	幫	遇	簿	0	1	#REF!		主簿	b	ou	6				bu6	bou6	bou6	bou6	bou6		p	ou	32
並	開	一	模	上	幫	遇	部	0	0	0			b	ou	6				bu6	bou6	bou6	bou6	bou6		p	ou	32
並	開	一	模	去	幫	遇	步	0	0	0			b	ou	6				bu6	bou6	bou6	bou6	bou6		p	ou	32
並	開	一	模	去	幫	遇	捕	0	0	0			b	ou	6				bu6	bou6	bou6	bou6	bou6		p	ou	32
並	開	一	模	去	幫	遇	哺	0	1	0			b	ou	6				bu1	bou1	bou6	bou1	bou6		p	ou	32
並	開	一	豪	去	幫	效	暴	0	0	1	凶暴		b	ou	6				bou6	bou6			bou6		p	ou	32
-	-	-	-	-	-	-	埔	0	2	0			b	ou	6				pu1	bou2	-	bou3	bou3		p	ou	32
-	-	-	-	-	-	-	埠	0	1	1	船埠，埠頭		b	ou	6				fau6	fau6	fau6	fau6	bou6		p	ou	32
幫	合	一	灰	平	幫	蟹	杯	0	0	0			b	ui	1				bui1	bui1	bui1	bui1	bui1		p	ui	55
幫	合	一	灰	平	幫	蟹	盃	0	0	0			b	ui	1				bui1	bui1	bui1	bui1	bui1		p	ui	55
幫	開	一	泰	去	幫	蟹	貝	0	0	0			b	ui	3				bui3	bui3	bui3	bui3	bui3		p	ui	33
幫	開	一	泰	去	幫	蟹	狽	0	1	0			b	ui	3				bui3	bui3	bui3	bui3	bui3		p	ui	33
幫	合	一	灰	去	幫	蟹	輩	0	0	0			b	ui	3				bui3	bui3	bui3	bui3	bui3		p	ui	33
幫	合	一	灰	去	幫	蟹	背	0	0	1	背後		b	ui	3				bui3	bui3	bui3	bui3	bui3		p	ui	33
並	合	一	灰	去	幫	蟹	悖	0	2	0			b	ui	3				-	bui3	-	bui3	bui6	bui3	p	ui	33
並	合	一	灰	去	幫	蟹	背	0	0	1	背書		b	ui	6								bui6		p	ui	32
-	-	-	-	-	-	-	焙	0	1	0			b	ui	6				bui6	bui6	bui6	bui6	bui6		p	ui	32
幫	開	一	東	入	幫	通	卜	0	0	0			b	uk	1				buk1	buk1	buk1	buk1	buk1		p	ʊk	5
幫	開	一	東	入	幫	通	蹼	0	2	0			b	uk	6				-	buk6	-	pok3	buk6		p	ʊk	2
並	開	一	東	入	幫	通	僕	0	0	0			b	uk	6				buk6	buk6	buk6	buk6	buk6		p	ʊk	2
並	開	一	東	入	幫	通	暴	0	0	1	一暴十寒		b	uk	6				buk6	buk6	buk6	buk6	buk6		p	ʊk	2
並	開	一	豪	去	幫	效	曝	0	2	0			b	uk	6				buk6	buk6	buk6	buk6	buk6		p	ʊk	2
並	開	一	豪	去	幫	效	瀑	0	1	0			b	uk	6				buk6	buk6	buk6	buk6	buk6		p	ʊk	2
幫	開	一	寒	平	幫	山	般	0	0	1	一般		b	un	1				baan1	bun1	baan1	bun1	bun1		p	un	55
-	-	-	-	-	-	-	搬	0	0	0			b	un	1				bun1	bun1	bun1	bun1	bun1		p	un	55
幫	合	一	魂	上	幫	臻	本	0	0	0			b	un	2				bun2	bun2	bun2	bun2	bun2		p	un	35
幫	合	一	魂	上	幫	臻	畚	0	2	0			b	un	2				-	fan3	bun2	bun2	bun2		p	un	35
幫	開	一	寒	去	幫	山	半	0	0	0			b	un	3				bun3	bun3	bun3	bun3	bun3		p	un	33
並	開	一	寒	上	幫	山	伴	0	0	0			b	un	6				bun6	bun6	bun6	bun6	bun6		p	un	32
幫	開	一	寒	去	幫	山	絆	0	1	0			b	un	6				pun3	bun6	pun3	bun6	bun6		p	un	32
並	開	一	寒	去	幫	山	叛	0	0	0			b	un	6				bun6	bun6	bun6	bun6	bun6		p	un	32
並	開	一	寒	去	幫	山	畔	0	1	0			b	un	6				pun3	bun6	bun6	bun6	bun6		p	un	32
滂	開	一	寒	平	幫	山	拌	0	0	0			b	un	6				-	pun3	pun3	bun6	pun3	bun6	p	un	32
滂	開	一	寒	去	幫	山	胖	0	0	1	肥胖		b	un	6				pun4	pun4	pun4	bun6	pun4	bun6	p	un	32
滂	合	三	鍾	上	幫	通	捧	0	0	0			b	ung	2				fung2	fung2	fung2	pung2	fung2	pung2	p	ʊŋ	35
-	-	-	-	-	-	-	缽	0	2	0			b	ut	3				-	-	-	but3	but3		p	ut	3
並	合	一	魂	入	幫	臻	脖	0	0	0			b	ut	6				-	-	-	but6	but6		p	ut	2
並	合	一	魂	入	幫	臻	渤	0	1	0			b	ut	6				-	-	but6	but6	but6		p	ut	2
並	合	一	魂	入	幫	臻	勃	0	1	0			b	ut	6				but6	but6	but6	but6	but6		p	ut	2
幫	開	一	寒	入	幫	山	撥	0	0	0			b	ut	6				but6	but6	but6	but3	but6		p	ut	2
初	開	二	麻	平	莊	假	差	0	0	1	差別		c	aa	1					chaa1		caa1	caa1		ʦʰ	a	55
初	開	二	佳	平	莊	蟹	叉	0	0	0			c	aa	1				-	chaa1	caa1	caa1	caa1		ʦʰ	a	55
徹	開	二	麻	上	知	假	奼	0	2	0			c	aa	3				chaa3	chaa3	-	caa3	caa3		ʦʰ	a	33
徹	開	二	麻	去	知	假	詫	0	2	0			c	aa	3				chaa3	chaa3	caa3	caa3	caa3		ʦʰ	a	33
-	-	-	-	-	-	-	岔	0	0	0			c	aa	3				-	chaa1	-	caa1	caa3		ʦʰ	a	33
崇	開	二	麻	平	莊	假	查	0	0	1	檢查		c	aa	4				-	chaa4	caa4		caa4		ʦʰ	a	21
澄	開	二	麻	平	知	假	茶	0	0	0			c	aa	4				chaa4	chaa4	caa4	caa4	caa4		ʦʰ	a	21
崇	開	二	麻	平	莊	假	槎	0	2	0			c	aa	4				chaa4	chaa4	caa1	ci1	caa4		ʦʰ	a	21
							查	0	0	0	查姓	文盲音	c	aa	4							zaa1	zaa1		ʦʰ	a	21
初	開	二	佳	平	莊	蟹	差	0	0	1	出差		c	aai	1				chaai1	chaai1	caai1	caai1	caai1		ʦʰ	ai	55
清	開	一	咍	平	精	蟹	猜	0	0	0			c	aai	1				chaai1	chaai1	caai1	caai1	caai1		ʦʰ	ai	55
-	-	-	-	-	-	-	踩	0	0	0			c	aai	2				-	-	-	-	cai2		ʦʰ	ai	35
崇	開	二	佳	平	莊	蟹	柴	0	0	0			c	aai	4				chaai4	chaai4	caai4	caai4	caai4		ʦʰ	ai	21
清	開	一	覃	平	精	咸	參	0	0	1	參加		c	aam	1				caam1	caam1		caam1	caam1		ʦʰ	am	55
崇	開	二	咸	平	莊	咸	攙	0	1	0			c	aam	1				-	chaam4	caam4	caam4	caam1		ʦʰ	am	55
