#符号说明：-白=文/书*俗?待考	
#调值	［1］13［2］53［3］44［5］21
#ɑ	
p	[1]巴笆芭疤扒[2]拔雹[3]八叭{~哒嘴}把吧{~嗒嘴}[5]爸把{花~儿}霸坝罢灞{在井里~一~}鲅耙
pʰ	[1]趴扒{~鸡}啪[2]爬筢[5]怕
m	[1]妈[2]麻蚂{~楞}[3]马码嬷{老~~}抹{~袖子}[5]骂抹蚂祃{~头子}
f	[2]乏罚伐阀[3]发法
v	[1]挖洼哇[2]娃[3]瓦挖{~面}[5]袜瓦{~刀}
t	[2]打{一~}沓{一~}[3]打答搭达瘩褡耷[5]大
tʰ	[3]他她它塔塌溻蹋鳎趿踏{~实}
n	[1]那[2]拿[3]哪[5]纳那捺
l	[1]拉啦{哗~}[2]拉{~呱}剌{~破}垃{坷~}[3]拉喇落邋旯[5]辣腊蜡拉
k	[1]嘎{~巴}[2]嘎{~~地笑}[3]旮尬割疙
kʰ	[3]卡咖喀磕{~破}坷{~垃}
ŋ	[1]腌[2]啊{~~地哭}
x	[1]哈[2]哈{~~地笑}
tʃ	[1]查{酸~}渣咋{~呼}偪{~挲}踏[2]炸{油~}闸铡轧榨[3]扎札眨砟{~子}[5]乍诈炸蚱痄栅茬
tʃʰ	[1]叉杈差[2]茶茬查碴糖察镲[3]插喳揸{~和}馇衩[5]岔差{~劲}叉{劈~}衩开{~杈}
ʃ	[1]沙砂纱痧鲨[2]啥[3]傻杀刹霎煞蛇[5]沙{~拉~拉}杀{~树}
ts	[1]咋[2]杂砸[3]咂[5]咋
tsʰ	[1]嚓[3]擦
s	[1]仨[3]洒撒萨
∅	[3]阿
#iɑ	
l	[3]俩
tɕ	[1]加嘉家佳傢[3]假贾夹荚裌甲钾角[5]嫁稼驾架价
tɕʰ	[1]拤掐{一~}咔{狗~人}卡{发~}[3]卡{关~}掐恰洽
ȵ	[1]□{老~}
ɕ	[1]虾[2]霞峡侠匣辖虾{~蟆}[3]瞎[5]夏厦下吓
∅	[1]丫轧{~草}[2]牙芽蚜讶衙[3]压{~秤}押鸭鸦哑雅[5]亚压轧{~花}
#uɑ	
k	[1]瓜呱挂{~拉}[2]寡[3]剐刮{~风}呱{拉~}[5]挂卦褂
kʰ	[1]夸[3]垮{~垃}坷{~垃}刮{~扯}[5]挎跨胯
x	[1]花哗{~啦}[2]华桦划{~船}滑猾[5]化话画划
tʃ	[1]抓髦[3]爪挝{~腚}
tʃʰ	[3]欻
ʃ	[3]耍刷
#ə	
p	[1]波菠饽跛泊[2]脖鹁驳笸薄[3]簸{~谷}播拨剥渤勃博搏帛[5]簸
pʰ	[1]坡=[2]婆[3]泼迫=[5]破
m	[2]模磨魔蘑膜[3]抹[5]末沫茉抹{~不开}莫寞漠没磨{推~}
f	[2]佛缚
v	[1]窝涡莴蜗沃卧握龌[2]蛾莪{~子}[3]我[5]饿
tʰ	[2]特
l	[3]勒=
k	[1]哥歌[3]革嗝阁葛各戈果[5]个过
kʰ	[1]科颗壳[3]可克=刻=[5]课嗑骒客=
ŋ	[2]鹅讹额俄[3]恶=[5]扼鳄
x	[2]河何合荷{~叶}[3]喝[5]鹤
tʃ	[1]这[2]蛰辙遮[3]折褶哲蜇者蔗浙[5]这
tʃʰ	[1]车[3]扯[5]彻撤澈
ʃ	[1]赊[2]舌折{~耗}[3]舍蛇设奢[5]射社涉
ʒ	[3]惹[5]热
ts	[2]择=[3]泽=责=
tsʰ	[5]侧=测=策=厕=册=
s	[3]色=
#iə	
p	[2]别{~针}[3]憋鳖蹩[5]别{~扭}
pʰ	[1]撇{~~嘴}[3]撇瞥
m	[3]蔑[5]灭
t	[1]爹蹀{~躞}[2]碟蝶迭叠[3]跌
tʰ	[3]铁帖贴
l	[3]咧冽裂劣[5]列烈猎
tɕ	[2]洁杰竭[3]揭结劫羯
tɕʰ	[1]趄[2]茄[5]怯
ȵ	[1]乜[5]捏聂镊孽蹑摄
ɕ	[2]协胁[3]血歇蝎
ts	[2]睫捷截[3]姐节疖接[5]借褯
tsʰ	[3]切且[5]窃妾
s	[1]些[2]邪斜涎[3]写揳楔[5]谢泄卸泻
∅	[1]爷也[2]爷[3]野冶噎椰液咽掖[5]夜叶页业
#uə	
t	[1]多掇{~和}朵[2]夺[3]躲啄掇{拾~}[5]舵剁垛跺
tʰ	[1]拖[2]驼驮砣椭[3]妥托脱
n	[2]挪娜[5]糯
l	[2]罗锣萝箩摞骡[3]烙{芯~}索子[5]落洛骆乐
k	[1]锅[2]硌[3]国帼郭裹胳馃
kʰ	[1]棵[3]括阔{开~}扩嗑{~头}咳渴[5]阔{~气}
x	[1]劐耠[2]和{~面}活或惑获荷{~包}盒[3]和火伙攉{~鱼}豁喝{吆~}[5]祸货贺霍
tʃ	[2]茁镯琢[3]桌捉拙
tʃʰ	[2]戳[3]戳{手~儿}龊绰
ʃ	[3]说缩所
