繁體	简体	聲韻調	註釋	聲	韻	調							
老	老	lɑʊ42		l	ɑʊ	42							
癆	痨	lɑʊ214或45		l	ɑʊ	214或45							
冇	冇	mɑʊ214或45		m	ɑʊ	214或45							
毛	毛	mɑʊ21		m	ɑʊ	21							
蟊	蟊	mɑʊ21		m	ɑʊ	21							
冒	冒	mɑʊ214		m	ɑʊ	214							
帽	帽	mɑʊ214或45		m	ɑʊ	214或45							
茅	茅	mɑʊ21		m	ɑʊ	21							
貓	猫	mɑʊ45		m	ɑʊ	45							
卯	卯	mɑʊ42		m	ɑʊ	42							
貌	貌	mɑʊ214		m	ɑʊ	214							
矛	矛	mɑʊ21		m	ɑʊ	21							
鐃	铙	nɑʊ21		n	ɑʊ	21							
撓	挠	nɑʊ21		n	ɑʊ	21							
鬧	闹	nɑʊ214		n	ɑʊ	214							
凹	凹	ŋɑʊ45		ŋ	ɑʊ	45							
熬	熬	ŋɑʊ45或21		ŋ	ɑʊ	45或21							
傲	傲	ŋɑʊ214		ŋ	ɑʊ	214							
爊	爊	ŋɑʊ45		ŋ	ɑʊ	45							
襖	袄	ŋɑʊ42		ŋ	ɑʊ	42							
懊	懊	ŋɑʊ214		ŋ	ɑʊ	214							
奧	奥	ŋɑʊ214		ŋ	ɑʊ	214							
咬	咬	ŋɑʊ42		ŋ	ɑʊ	42							
坳	坳	ŋɑʊ214		ŋ	ɑʊ	214							
拗	拗	ŋɑʊ214		ŋ	ɑʊ	214							
撬	撬	ŋɑʊ214	白讀	ŋ	ɑʊ	214							
褒	褒	pɑʊ45		p	ɑʊ	45							
保	保	pɑʊ42		p	ɑʊ	42							
堡	堡	pɑʊ42		p	ɑʊ	42							
寶	宝	pɑʊ42		p	ɑʊ	42							
報	报	pɑʊ214		p	ɑʊ	214							
抱	抱	pɑʊ214或45		p	ɑʊ	214或45							
暴	暴	pɑʊ214		p	ɑʊ	214							
鞄	包	pɑʊ45		p	ɑʊ	45							
胞	胞	pɑʊ45		p	ɑʊ	45							
飽	饱	pɑʊ42		p	ɑʊ	42							
豹	豹	pɑʊ214		p	ɑʊ	214							
爆	爆	pɑʊ214		p	ɑʊ	214							
鮑	鲍	pɑʊ214或45		p	ɑʊ	214或45							
刨	刨	pɑʊ214		p	ɑʊ	214							
袍	袍	pʰɑʊ21		pʰ	ɑʊ	21							
泡	泡	pʰɑʊ214或45		pʰ	ɑʊ	214或45							
拋	抛	pʰɑʊ45		pʰ	ɑʊ	45							
炮	炮	pʰɑʊ214		pʰ	ɑʊ	214							
跑	跑	pʰɑʊ42		pʰ	ɑʊ	42							
刨	刨	pʰɑʊ21		pʰ	ɑʊ	21							
騷	骚	sɑʊ45		s	ɑʊ	45							
臊	臊	sɑʊ45		s	ɑʊ	45							
掃	扫	sɑʊ42		s	ɑʊ	42							
嫂	嫂	sɑʊ42		s	ɑʊ	42							
掃	扫	sɑʊ214	掃把	s	ɑʊ	214							
筲	筲	sɑʊ45		s	ɑʊ	45							
梢	梢	sɑʊ45		s	ɑʊ	45							
捎	捎	sɑʊ45		s	ɑʊ	45							
稍	稍	sɑʊ45		s	ɑʊ	45							
潲	潲	sɑʊ214		s	ɑʊ	214							
燒	烧	sɑʊ45		s	ɑʊ	45							
少	少	sɑʊ42		s	ɑʊ	42							
少	少	sɑʊ214		s	ɑʊ	214							
勺	勺	sɑʊ214	后脑勺	s	ɑʊ	214							
韶	韶	sɑʊ21		s	ɑʊ	21							
紹	绍	sɑʊ214		s	ɑʊ	214							
邵	邵	sɑʊ214		s	ɑʊ	214							
刀	刀	tɑʊ45		t	ɑʊ	45							
倒	倒	tɑʊ42		t	ɑʊ	42							
島	岛	tɑʊ42		t	ɑʊ	42							
禱	祷	tɑʊ42		t	ɑʊ	42							
到	到	tɑʊ42	表示动作状态。坐到、站到、跍到。	t	ɑʊ	42							
到	到	tɑʊ214		t	ɑʊ	214							
倒	倒	tɑʊ214		t	ɑʊ	214							
蹈	蹈	tɑʊ214		t	ɑʊ	214							
稻	稻	tɑʊ214或45		t	ɑʊ	214或45							
道	道	tɑʊ214或45		t	ɑʊ	214或45							
導	導	tɑʊ214		t	ɑʊ	214							
盜	盗	tɑʊ214		t	ɑʊ	214							
叨	叨	tʰɑʊ45	动词，意为骂人	tʰ	ɑʊ	45							
掏	掏	tʰɑʊ214		tʰ	ɑʊ	214							
滔	滔	tʰɑʊ45		tʰ	ɑʊ	45							
討	讨	tʰɑʊ42		tʰ	ɑʊ	42							
套	套	tʰɑʊ214		tʰ	ɑʊ	214							
桃	桃	tʰɑʊ21		tʰ	ɑʊ	21							
逃	逃	tʰɑʊ21		tʰ	ɑʊ	21							
陶	陶	tʰɑʊ21		tʰ	ɑʊ	21							
萄	萄	tʰɑʊ21		tʰ	ɑʊ	21							
濤	涛	tʰɑʊ21		tʰ	ɑʊ	21							
導	导	tʰɑʊ214		tʰ	ɑʊ	214							
遭	遭	tsɑʊ21	白讀，表示被動	ts	ɑʊ	21							
糟	糟	tsɑʊ45		ts	ɑʊ	45							
早	早	tsɑʊ42		ts	ɑʊ	42							
棗	枣	tsɑʊ42		ts	ɑʊ	42							
蚤	蚤	tsɑʊ42		ts	ɑʊ	42							
澡	澡	tsɑʊ42		ts	ɑʊ	42							
躁	躁	tsɑʊ214		ts	ɑʊ	214							
灶	灶	tsɑʊ214		ts	ɑʊ	214							
造	造	tsʰɑʊ214		tsʰ	ɑʊ	214							
罩	罩	tsɑʊ214		ts	ɑʊ	214							
爪	爪	tsɑʊ42		ts	ɑʊ	42							
找	找	tsɑʊ42		ts	ɑʊ	42							
笊	笊	tsɑʊ214		ts	ɑʊ	214							
朝	朝	tsɑʊ45		ts	ɑʊ	45							
趙	赵	tsɑʊ214		ts	ɑʊ	214							
兆	兆	tsɑʊ214		ts	ɑʊ	214							
昭	昭	tsɑʊ214		ts	ɑʊ	214							
招	招	tsɑʊ45		ts	ɑʊ	45							
沼	沼	tsɑʊ45		ts	ɑʊ	45							
召	召	tsɑʊ214		ts	ɑʊ	214							
照	照	tsɑʊ214		ts	ɑʊ	214							
詔	诏	tsɑʊ214		ts	ɑʊ	214							
操	操	tsʰɑʊ45		tsʰ	ɑʊ	45							
糙	糙	tsʰɑʊ214		tsʰ	ɑʊ	214							
草	草	tsʰɑʊ42		tsʰ	ɑʊ	42							
曹	曹	tsʰɑʊ21		tsʰ	ɑʊ	21							
皂	皂	tsʰɑʊ214		tsʰ	ɑʊ	214							
抄	抄	tsʰɑʊ45		tsʰ	ɑʊ	45							
鈔	钞	tsʰɑʊ45		tsʰ	ɑʊ	45							
炒	炒	tsʰɑʊ42		tsʰ	ɑʊ	42							
吵	吵	tsʰɑʊ42		tsʰ	ɑʊ	42							
巢	巢	tsʰɑʊ21		tsʰ	ɑʊ	21							
超	超	tsʰɑʊ45		tsʰ	ɑʊ	45							
朝	朝	tsʰɑʊ21		tsʰ	ɑʊ	21							
潮	潮	tsʰɑʊ21		tsʰ	ɑʊ	21							
蒿	蒿	xɑʊ45		x	ɑʊ	45							
薅	薅	xɑʊ45		x	ɑʊ	45							
好	好	xɑʊ42		x	ɑʊ	42							
耗	耗	xɑʊ214		x	ɑʊ	214							
豪	豪	xɑʊ21		x	ɑʊ	21							
毫	毫	xɑʊ21		x	ɑʊ	21							
浩	浩	xɑʊ214		x	ɑʊ	214							
號	号	xɑʊ214或45		x	ɑʊ	214或45							
饒	饶	zɑʊ21		z	ɑʊ	21							
擾	扰	zɑʊ42		z	ɑʊ	42							
繞	绕	zɑʊ42	绕城高速	z	ɑʊ	42							
繞	绕	zɑʊ214	绕口令	z	ɑʊ	214							
晌	晌	sɑʊ42		s	ɑʊ	42							
了	了	lɑʊ42		l	ɑʊ	42							
焯	焯	tsʰɑʊ45	焯水	tsʰ	ɑʊ	45							
雹	雹	pɑʊ214		p	ɑʊ	214							
鴿	鸽	kɔ214		k	ɔ	214							
閣	閣	kɔ214		k	ɔ	214							
割	割	kɔ214		k	ɔ	214							
磕	磕	kʰɔ214		kʰ	ɔ	214							
葛	葛	kɔ214		k	ɔ	214							
歌	歌	kɔ45		k	ɔ	45							
哥	哥	kɔ45		k	ɔ	45							
個	個	kɔ214		k	ɔ	214							
鍋	锅	kɔ45		k	ɔ	45							
過	过	kɔ214		k	ɔ	214							
戈	戈	kɔ45		k	ɔ	45							
果	果	kɔ42		k	ɔ	42							
裹	裹	kɔ42		k	ɔ	42							
聒	聒	kɔ214		k	ɔ	214							
搁	搁	kɔ214	耽搁	k	ɔ	214							
各	各	kɔ214		k	ɔ	214							
閣	阁	kɔ214		k	ɔ	214							
胳	胳	kɔ214		k	ɔ	214							
角	角	kɔ214		k	ɔ	214							
蟈	蝈	kɔ214		k	ɔ	214							
馘	馘	kɔ214		k	ɔ	214							
聝	聝	kɔ214		k	ɔ	214							
幗	帼	kɔ214		k	ɔ	214							
膕	膕	kɔ214		k	ɔ	214							
埻	埻	kɔ214		k	ɔ	214							
摑	掴	kɔ214		k	ɔ	214							
郭	郭	kɔ214		k	ɔ	214							
軻	轲	kʰɔ45		kʰ	ɔ	45							
可	可	kʰɔ42		kʰ	ɔ	42							
苛	苛	kʰɔ45		kʰ	ɔ	45							
科	科	kʰɔ45		kʰ	ɔ	45							
棵	棵	Øɔ45	一颗树	Ø	ɔ	45							
棵	棵	kʰɔ42		kʰ	ɔ	42							
窠	窠	kʰɔ42		kʰ	ɔ	42							
顆	颗	kʰɔ42		kʰ	ɔ	42							
課	课	kʰɔ214		kʰ	ɔ	214							
渴	渴	kʰɔ214		kʰ	ɔ	214							
括	括	kʰɔ214		kʰ	ɔ	214							
搁	搁	kʰɔ45	搁在桌子高点	kʰ	ɔ	45							
㱿	壳	kʰɔ214		kʰ	ɔ	214							
羅	罗	lɔ21		l	ɔ	21							
邏	逻	lɔ214		l	ɔ	214							
鑼	锣	lɔ21		l	ɔ	21							
籮	箩	lɔ21		l	ɔ	21							
騾	骡	lɔ21		l	ɔ	21							
螺	螺	lɔ21		l	ɔ	21							
腡	脶	lɔ21		l	ɔ	21							
摞	摞	lɔ214		l	ɔ	214							
犖	荦	lɔ214		l	ɔ	214							
搙	搙	lɔ214		l	ɔ	214							
魔	魔	mɔ21		m	ɔ	21							
磨	磨	mɔ21	动词	m	ɔ	21							
摩	摩	mɔ45		m	ɔ	45							
磨	磨	mɔ214	新	m	ɔ	214							
磨	磨	mɔ45	灰磨儿（即豆腐），推磨子	m	ɔ	45							
摸	摸	mɔ45		m	ɔ	45							
䔾	䔾	mɔ214		m	ɔ	214							
袜	袜	mɔ214		m	ɔ	214							
末	末	mɔ214		m	ɔ	214							
謨	谟	mɔ214		m	ɔ	214							
莫	莫	mɔ214		m	ɔ	214							
瞙	瞙	mɔ214	瞙瞊：眼部殘疾者	m	ɔ	214							
寞	寞	mɔ214		m	ɔ	214							
漠	漠	mɔ214		m	ɔ	214							
寞	寞	mɔ214		m	ɔ	214							
挪	挪	nɔ21		n	ɔ	21							
糯	糯	nɔ214	糯米	n	ɔ	214							
掿	掿	nɔ214		n	ɔ	214							
搦	搦	nɔ214		n	ɔ	214							
諾	诺	nɔ214		n	ɔ	214							
駱	骆	nɔ214		n	ɔ	214							
㓢	㓢	nɔ214		n	ɔ	214							
落	落	lɔ214或45		l	ɔ	214或45							
洛	洛	lɔ214		l	ɔ	214							
駱	骆	lɔ214		l	ɔ	214							
絡	络	lɔ214		l	ɔ	214							
酪	酪	lɔ214		l	ɔ	214							
烙	烙	lɔ214		l	ɔ	214							
樂	乐	lɔ214		l	ɔ	214							
我	我	ŋɔ42		ŋ	ɔ	42							
訛	讹	Øɔ21		Ø	ɔ	21							
鄂	鄂	Øɔ214		Ø	ɔ	214							
鱷	鳄	Øɔ214		Ø	ɔ	214							
噩	噩	Øɔ214		Ø	ɔ	214							
惡	恶	Øɔ214		Ø	ɔ	214							
餓	饿	Øɔ214或45		Ø	ɔ	214或45							
蛾	蛾	øɔ21		ø	ɔ	21							
鵝	鹅	øɔ21		ø	ɔ	21							
俄	俄	øɔ21		ø	ɔ	21							
阿	阿	Øɔ45	阿彌陀佛，阿胶	Ø	ɔ	45							
峨	峨	øɔ21	峨眉	ø	ɔ	21							
屙	屙	øɔ45		ø	ɔ	45							
臥	卧	Øɔ214		Ø	ɔ	214							
倭	倭	Øɔ45		Ø	ɔ	45							
窩	窝	Øɔ45		Ø	ɔ	45							
蝸	蜗	Øɔ45		Ø	ɔ	45							
遏	遏	Øɔ214		Ø	ɔ	214							
渥	渥	Øɔ214		Ø	ɔ	214							
偓	偓	Øɔ214		Ø	ɔ	214							
幄	幄	Øɔ214		Ø	ɔ	214							
齷	龌	Øɔ214		Ø	ɔ	214							
握	握	Øɔ214		Ø	ɔ	214							
沃	沃	øɔ214		ø	ɔ	214							
波	波	pɔ45		p	ɔ	45							
簸	簸	pɔ42		p	ɔ	42							
播	播	pɔ214		p	ɔ	214							
玻	玻	pɔ45		p	ɔ	45							
癶	癶	pɔ214		p	ɔ	214							
袚	袚	pɔ214		p	ɔ	214							
茇	茇	pɔ214		p	ɔ	214							
盋	盋	pɔ214		p	ɔ	214							
鱍	鱍	pɔ214		p	ɔ	214							
䢌	䢌	pɔ214		p	ɔ	214							
襏	袯	pɔ214		p	ɔ	214							
㤄	㤄	pɔ214		p	ɔ	214							
缽	钵	pɔ214		p	ɔ	214							
撥	拨	pɔ214		p	ɔ	214							
潑	泼	pɔ214	活潑	p	ɔ	214							
博	博	pɔ214		p	ɔ	214							
亳	亳	pɔ214		p	ɔ	214							
箔	箔	pɔ214		p	ɔ	214							
簿	簿	pɔ214	也有读pu214的	p	ɔ	214							
䥬	䥬	pɔ214		p	ɔ	214							
踄	踄	pɔ214		p	ɔ	214							
䭦	䭦	pɔ214		p	ɔ	214							
薄	薄	pɔ214		p	ɔ	214							
薄	薄	pɔ214	薄荷	p	ɔ	214							
泊	泊	pʰɔ214	门泊东吴万里船	pʰ	ɔ	214							
剝	剥	pɔ214		p	ɔ	214							
駁	驳	pɔ214		p	ɔ	214							
卜	卜	pʰɔ214		pʰ	ɔ	214							
頗	颇	pʰɔ45		pʰ	ɔ	45							
坡	坡	pʰɔ45		pʰ	ɔ	45							
破	破	pʰɔ214		pʰ	ɔ	214							
婆	婆	pʰɔ21		pʰ	ɔ	21							
訃	讣	pʰɔ214		pʰ	ɔ	214							
剖	剖	pʰɔ214	白讀，作動詞。如：～魚	pʰ	ɔ	214							
剖	剖	pʰɔ42		pʰ	ɔ	42							
潑	泼	pʰɔ214	潑水	pʰ	ɔ	214							
粕	粕	pʰɔ214		pʰ	ɔ	214							
膊	膊	pʰɔ214		pʰ	ɔ	214							
㩧	㩧	pʰɔ214		pʰ	ɔ	214							
璞	璞	pʰɔ214		pʰ	ɔ	214							
娑	娑	sɔ45		s	ɔ	45							
睃	睃	sɔ21		s	ɔ	21							
蓑	蓑	sɔ45		s	ɔ	45							
梭	梭	sɔ45		s	ɔ	45							
趖	趖	sɔ45		s	ɔ	45							
唆	唆	sɔ45		s	ɔ	45							
鎖	锁	sɔ42		s	ɔ	42							
瑣	琐	sɔ42		s	ɔ	42							
所	所	sɔ42		s	ɔ	42							
𠻜	𠻜	sɔ214		s	ɔ	214							
𠴪	𠴪	sɔ214		s	ɔ	214							
說	说	sɔ214		s	ɔ	214							
率	率	sɔ214	极老派	s	ɔ	214							
索	索	sɔ214		s	ɔ	214							
嗦	嗦	sɔ214		s	ɔ	214							
溹	溹	sɔ214		s	ɔ	214							
㮦	㮦	sɔ214		s	ɔ	214							
𦵫	𦵫	sɔ214		s	ɔ	214							
𩌈	𩌈	sɔ214		s	ɔ	214							
𢱢	𢱢	sɔ214		s	ɔ	214							
勺	勺	sɔ214		s	ɔ	214							
芍	芍	sɔ214		s	ɔ	214							
仢	仢	sɔ214		s	ɔ	214							
杓	杓	sɔ214		s	ɔ	214							
汋	汋	sɔ214		s	ɔ	214							
爍	烁	sɔ214		s	ɔ	214							
鑠	铄	sɔ214		s	ɔ	214							
獡	獡	sɔ214		s	ɔ	214							
㜰	㜰	sɔ214		s	ɔ	214							
䁻	䁻	sɔ214		s	ɔ	214							
䟏	䟏	sɔ214		s	ɔ	214							
碩	硕	sɔ214		s	ɔ	214							
欶	欶	sɔ214		s	ɔ	214							
矟	矟	sɔ214		s	ɔ	214							
槊	槊	sɔ214		s	ɔ	214							
蒴	蒴	sɔ214		s	ɔ	214							
箾	箾	sɔ214		s	ɔ	214							
𦂗	𦂗	sɔ214		s	ɔ	214							
㮶	㮶	sɔ214		s	ɔ	214							
揱	揱	sɔ214		s	ɔ	214							
朔	朔	sɔ214		s	ɔ	214							
𢷾	𢷾	sɔ214		s	ɔ	214							
多	多	tɔ45		t	ɔ	45							
舵	舵	tɔ214		t	ɔ	214							
朵	朵	tɔ45	耳朵	t	ɔ	45							
朵	朵	tɔ42		t	ɔ	42							
躲	躲	tɔ42		t	ɔ	42							
剁	剁	tɔ214	剁，剁碎	t	ɔ	214							
惰	惰	tɔ214		t	ɔ	214							
挩	捝	tɔ214	動詞，可能是戳的白读的后造字	t	ɔ	214							
奪	夺	tɔ214		t	ɔ	214							
敠	敠	tɔ214		t	ɔ	214							
裰	裰	tɔ214		t	ɔ	214							
咄	咄	tɔ214		t	ɔ	214							
祋	祋	tɔ214		t	ɔ	214							
掇	掇	tɔ214		t	ɔ	214							
剟	剟	tɔ214		t	ɔ	214							
鵽	鵽	tɔ214		t	ɔ	214							
鐸	铎	tɔ214		t	ɔ	214							
䐾	䐾	tɔ214		t	ɔ	214							
㤞	㤞	tɔ214		t	ɔ	214							
喥	喥	tɔ214		t	ɔ	214							
仛	仛	tɔ214		t	ɔ	214							
𨍏	𨍏	tɔ214		t	ɔ	214							
踱	踱	tɔ214		t	ɔ	214							
戳	戳	tɔ214	白讀	t	ɔ	214							
拖	拖	tʰɔ45		tʰ	ɔ	45							
駝	驼	tʰɔ21		tʰ	ɔ	21							
陀	陀	tʰɔ21		tʰ	ɔ	21							
馱	驮	tʰɔ21		tʰ	ɔ	21							
妥	妥	tʰɔ42		tʰ	ɔ	42							
唾	唾	tʰɔ214		tʰ	ɔ	214							
墮	堕	tʰɔ214		tʰ	ɔ	214							
脫	脱	tʰɔ214		tʰ	ɔ	214							
托	托	tʰɔ21	摩托	tʰ	ɔ	21							
托	托	tʰɔ214		tʰ	ɔ	214							
拓	拓	tʰɔ214		tʰ	ɔ	214							
左	左	tsɔ42		ts	ɔ	42							
佐	佐	tsɔ214	佐料	ts	ɔ	214							
坐	坐	tsɔ214或45		ts	ɔ	214或45							
座	座	tsɔ214或45		ts	ɔ	214或45							
輟	辍	tsʰɔ214		tsʰ	ɔ	214							
茁	茁	tsɔ214		ts	ɔ	214							
作	作	tsɔ214		ts	ɔ	214							
昨	昨	tsɔ45		ts	ɔ	45							
著	着	tsɔ214	着落、着火	ts	ɔ	214							
晫	晫	tsɔ214		ts	ɔ	214							
菿	菿	tsɔ214		ts	ɔ	214							
𢽚	𢽚	tsɔ214		ts	ɔ	214							
卓	卓	tsɔ214		ts	ɔ	214							
桌	桌	tsɔ214		ts	ɔ	214							
琢	琢	tsɔ214		ts	ɔ	214							
啄	啄	tsɔ214		ts	ɔ	214							
捉	捉	tsɔ214		ts	ɔ	214							
濯	濯	tsɔ214		ts	ɔ	214							
擢	擢	tsɔ214		ts	ɔ	214							
灼	灼	tsɔ214		ts	ɔ	214							
酌	酌	tsɔ214		ts	ɔ	214							
焯	焯	tsɔ214	罕用	ts	ɔ	214							
搓	搓	tsʰɔ45		tsʰ	ɔ	45							
銼	锉	tsʰɔ214		tsʰ	ɔ	214							
矬	矬	tsʰɔ21		tsʰ	ɔ	21							
錯	错	tsʰɔ214		tsʰ	ɔ	214							
攥	攥	tsʰɔ214	摘	tsʰ	ɔ	214							
撮	撮	tsʰɔ214	一撮，少，頭髮一撮厘兒	tsʰ	ɔ	214							
拙	拙	tsʰɔ214		tsʰ	ɔ	214							
錯	错	tsʰɔ214		tsʰ	ɔ	214							
鑿	凿	tsʰɔ214		tsʰ	ɔ	214							
著	着	tsʰɔ45	睡著	tsʰ	ɔ	45							
戳	戳	tsʰɔ214		tsʰ	ɔ	214							
濁	浊	tsʰɔ214		tsʰ	ɔ	214							
呵	呵	xɔ45	呵呵笑	x	ɔ	45							
呵	呵	xɔ214	呵斥	x	ɔ	214							
訶	诃	xɔ45	表示哄騙	x	ɔ	45							
何	何	xɔ21		x	ɔ	21							
河	河	xɔ21		x	ɔ	21							
荷	荷	xɔ21	荷花池	x	ɔ	21							
荷	荷	xɔ214	负荷	x	ɔ	214							
賀	贺	xɔ214		x	ɔ	214							
火	火	xɔ42		x	ɔ	42							
夥	伙	xɔ42		x	ɔ	42							
貨	货	xɔ214		x	ɔ	214							
禾	禾	xɔ21		x	ɔ	21							
和	和	xɔ21	和平	x	ɔ	21							
禍	祸	xɔ214		x	ɔ	214							
和	和	xɔ214	附和	x	ɔ	214							
喝	喝	xɔ214	喝水（老），喝斥	x	ɔ	214							
喝	喝	xɔ45	喝水（新）	x	ɔ	45							
郃	郃	xɔ214		x	ɔ	214							
䢔	䢔	xɔ214		x	ɔ	214							
榙	榙	xɔ214		x	ɔ	214							
㭘	㭘	xɔ214		x	ɔ	214							
詥	詥	xɔ214		x	ɔ	214							
耠	耠	xɔ214		x	ɔ	214							
𪘁	𪘁	xɔ214		x	ɔ	214							
頜	頜	xɔ214		x	ɔ	214							
合	合	xɔ214		x	ɔ	214							
欱	欱	xɔ214		x	ɔ	214							
㽺	㽺	xɔ214		x	ɔ	214							
㾑	㾑	xɔ214		x	ɔ	214							
盒	盒	xɔ214		x	ɔ	214							
𠿒	𠿒	xɔ214		x	ɔ	214							
猲	猲	xɔ214		x	ɔ	214							
𦤦	𦤦	xɔ214		x	ɔ	214							
㿣	㿣	xɔ214		x	ɔ	214							
曷	曷	xɔ214		x	ɔ	214							
䫘	䫘	xɔ214		x	ɔ	214							
褐	褐	xɔ214		x	ɔ	214							
毼	毼	xɔ214		x	ɔ	214							
鶡	鹖	xɔ214		x	ɔ	214							
餲	餲	xɔ214		x	ɔ	214							
鶻	鹘	xɔ214		x	ɔ	214							
鞨	鞨	xɔ214		x	ɔ	214							
眓	眓	xɔ214		x	ɔ	214							
濊	濊	xɔ214	水聲	x	ɔ	214							
奯	奯	xɔ214		x	ɔ	214							
豁	豁	xɔ45	动词，骗人	x	ɔ	45							
豁	豁	xɔ214	豁达	x	ɔ	214							
䄆	䄆	xɔ214		x	ɔ	214							
鬠	鬠	xɔ214		x	ɔ	214							
佸	佸	xɔ214		x	ɔ	214							
秳	秳	xɔ214	秳蔴	x	ɔ	214							
姡	姡	xɔ214	1.羞愧的樣子    2.狡猾，狡詐	x	ɔ	214							
活	活	xɔ214或45		x	ɔ	214或45							
穫	获	xɔ214	收穫	x	ɔ	214							
鑊	镬	xɔ214		x	ɔ	214							
㦜	㦜	xɔ214		x	ɔ	214							
檴	檴	xɔ214		x	ɔ	214							
𢋒	𢋒	xɔ214		x	ɔ	214							
濩	濩	xɔ214		x	ɔ	214							
𤻙	𤻙	xɔ214		x	ɔ	214							
擭	擭	xɔ214		x	ɔ	214							
𤐰	𤐰	xɔ214		x	ɔ	214							
䨥	䨥	xɔ214		x	ɔ	214							
壑	壑	xɔ214		x	ɔ	214							
熇	熇	xɔ214		x	ɔ	214							
鄗	鄗	xɔ214		x	ɔ	214							
㕡	㕡	xɔ214		x	ɔ	214							
蠚	蠚	xɔ214	1.~蔴：一种植物 2.作動詞，表示使身上發癢	x	ɔ	214							
謞	謞	xɔ214		x	ɔ	214							
郝	郝	xɔ214		x	ɔ	214							
鰝	鰝	xɔ214		x	ɔ	214							
熇	熇	xɔ214		x	ɔ	214							
嗃	嗃	xɔ214		x	ɔ	214							
矐	矐	xɔ214		x	ɔ	214							
歊	歊	xɔ214		x	ɔ	214							
臛	臛	xɔ214		x	ɔ	214							
霍	霍	xɔ214		x	ɔ	214							
藿	藿	xɔ214		x	ɔ	214							
攉	攉	xɔ214		x	ɔ	214							
瀖	瀖	xɔ214		x	ɔ	214							
劐	劐	xɔ214		x	ɔ	214							
癨	癨	xɔ214		x	ɔ	214							
隺	隺	xɔ214	通（鶴）	x	ɔ	214							
鶴	鹤	xɔ214		x	ɔ	214							
涸	涸	xɔ214		x	ɔ	214							
貈	貈	xɔ214		x	ɔ	214							
貉	貉	xɔ214		x	ɔ	214							
狢	狢	xɔ214		x	ɔ	214							
佫	佫	xɔ214		x	ɔ	214							
䮤	䮤	xɔ214		x	ɔ	214							
𥉑	𥉑	xɔ214		x	ɔ	214							
䅂	䅂	xɔ214		x	ɔ	214							
𠗂	𠗂	xɔ214		x	ɔ	214							
䶅	䶅	xɔ214		x	ɔ	214							
獲	获	xɔ214		x	ɔ	214							
剨	剨	xɔ214		x	ɔ	214							
㦎	㦎	xɔ214		x	ɔ	214							
掝	掝	xɔ214		x	ɔ	214							
㖪	㖪	xɔ214		x	ɔ	214							
礊	礊	xɔ214		x	ɔ	214							
䐸	䐸	xɔ214		x	ɔ	214							
焃	焃	xɔ214		x	ɔ	214							
湱	湱	xɔ214		x	ɔ	214							
㚜	㚜	xɔ214		x	ɔ	214							
䦝	䦝	xɔ214		x	ɔ	214							
䬉	䬉	xɔ214		x	ɔ	214							
爇	爇	zɔ214		z	ɔ	214							
焫	焫	zɔ214		z	ɔ	214							
蜹	蜹	zɔ214		z	ɔ	214							
㨎	㨎	zɔ214		z	ɔ	214							
㕯	㕯	zɔ214		z	ɔ	214							
箬	箬	zɔ214	粽箬	z	ɔ	214							
若	若	zɔ214		z	ɔ	214							
弱	弱	zɔ214		z	ɔ	214							
了	了	lɔ42		l	ɔ	42							
塑	塑	sɔ214	罕用	s	ɔ	214							
悖	悖	pɔ214		p	ɔ	214							
餑	饽	pɔ214		p	ɔ	214							
脖	脖	pɔ214		p	ɔ	214							
桷	桷	kɔ214	黄桷兰、黄桷树	k	ɔ	214							
閣	阁	ke214	新	k	e	214							
茖	茖	ke214		k	e	214							
骼	骼	ke214		k	e	214							
觡	觡	ke214		k	e	214							
挌	挌	ke214		k	e	214							
㦴	㦴	ke214		k	e	214							
蛒	蛒	ke214		k	e	214							
鉻	铬	ke214		k	e	214							
格	格	ke214		k	e	214							
膈	膈	ke214		k	e	214							
搹	搹	ke214		k	e	214							
鬲	鬲	ke214		k	e	214							
槅	槅	ke214		k	e	214							
諽	諽	ke214		k	e	214							
䪂	䪂	ke214		k	e	214							
䨣	䨣	ke214		k	e	214							
嗝	嗝	ke214		k	e	214							
革	革	ke214		k	e	214							
隔	隔	ke214		k	e	214							
刻	刻	kʰe214		kʰ	e	214							
剋	克	kʰe214		kʰ	e	214							
勀	勀	kʰe214		kʰ	e	214							
䙐	䙐	kʰe214		kʰ	e	214							
緙	缂	kʰe214		kʰ	e	214							
罊	罊	kʰe214		kʰ	e	214							
諽	諽	kʰe214		kʰ	e	214							
礊	礊	kʰe214		kʰ	e	214							
喀	喀	kʰe214		kʰ	e	214							
揢	揢	kʰe214		kʰ	e	214							
客	客	kʰe214		kʰ	e	214							
咳	咳	kʰe214		kʰ	e	214							
那	那	le45	白读	l	e	45							
劣	劣	le214		l	e	214							
勒	勒	le214		l	e	214							
𥖪	𥖪	le214		l	e	214							
眲	眲	le214		l	e	214							
䭆	䭆	le214		l	e	214							
搦	搦	le214		l	e	214							
蹃	蹃	le214		l	e	214							
墨	墨	me214		m	e	214							
默	默	me214		m	e	214							
陌	陌	me214		m	e	214							
麥	麦	me214		m	e	214							
脈	脉	me214		m	e	214							
厄	厄	ŋe214		ŋ	e	214							
㧖	扼	ŋe214		ŋ	e	214							
戹	戹	ŋe214		ŋ	e	214							
搤	扼	ŋe214		ŋ	e	214							
軶	軶	ŋe214		ŋ	e	214							
