繁體	简体	聲韻調	註釋	聲	韻	調							
抲	抲	xa45	動詞，表示用手翻找	x	a	45							
嚇	吓	xa214	白读	x	a	214							
下	下	xa45	一下 等下	x	a	45							
傻	傻	xa42		x	a	42							
尬	尬	ka42		k	a	42							
杉	杉	sa45		s	a	45							
膀	膀	pʰã42	膀子，即猪肘	pʰ	ã	42							
膀	膀	pã42	肩膀	p	ã	42							
膀	膀	pʰã21	膀胱	pʰ	ã	21							
泛	泛	fã214		f	ã	214							
凡	凡	fã21		f	ã	21							
帆	帆	fã21		f	ã	21							
範	范	fã214		f	ã	214							
犯	犯	fã214		f	ã	214							
梵	梵	fã214		f	ã	214							
反	反	fã42		f	ã	42							
翻	翻	fã45		f	ã	45							
番	番	fã45		f	ã	45							
販	贩	fã214		f	ã	214							
煩	烦	fã21		f	ã	21							
礬	矾	fã21		f	ã	21							
繁	繁	fã21		f	ã	21							
藩	藩	fã45		f	ã	45							
飯	饭	fã214或45		f	ã	214或45							
方	方	fã45		f	ã	45							
坊	坊	fã21	茶坊	f	ã	21							
肪	肪	fã45		f	ã	45							
仿	仿	fã42		f	ã	42							
放	放	fã214		f	ã	214							
芳	芳	fã45		f	ã	45							
紡	纺	fã42		f	ã	42							
仿	仿	fã42		f	ã	42							
彷	彷	pʰã21		pʰ	ã	21							
訪	访	fã42		f	ã	42							
房	房	fã21		f	ã	21							
防	防	fã21		f	ã	21							
感	感	kã42		k	ã	42							
柑	柑	kã45		k	ã	45							
泔	泔	kã45		k	ã	45							
甘	甘	kã45		k	ã	45							
敢	敢	kã42		k	ã	42							
橄	橄	kã42		k	ã	42							
尷	尴	kã45		k	ã	45							
肝	肝	kã45		k	ã	45							
竿	竿	kã45		k	ã	45							
幹	干	kã45		k	ã	45							
桿	杆	kã45		k	ã	45							
稈	秆	kã42		k	ã	42							
擀	擀	kã42		k	ã	42							
趕	赶	kã42		k	ã	42							
幹	干	kã214		k	ã	214							
間	间	kã45	一般仅用作量词	k	ã	45							
岡	冈	kã45		k	ã	45							
剛	刚	kã45		k	ã	45							
鋼	钢	kã45		k	ã	45							
缸	缸	kã45		k	ã	45							
綱	纲	kã45		k	ã	45							
崗	岗	kã45		k	ã	45							
肛	肛	kã45		k	ã	45							
槓	杠	kã214		k	ã	214							
港	港	kã42		k	ã	42							
訌	讧	kã214		k	ã	214							
𢷞	𢷞	kʰã42	蓋，動詞	kʰ	ã	42							
堪	堪	kʰã45		kʰ	ã	45							
龕	龛	kʰã45		kʰ	ã	45							
坎	坎	kʰã42		kʰ	ã	42							
勘	勘	kʰã45		kʰ	ã	45							
瞰	瞰	kʰã214		kʰ	ã	214							
刊	刊	kʰã45		kʰ	ã	45							
侃	侃	kʰã42		kʰ	ã	42							
看	看	kʰã214		kʰ	ã	214							
康	康	kʰã45		kʰ	ã	45							
糠	糠	kʰã45		kʰ	ã	45							
嵌	嵌	kʰã45		kʰ	ã	45							
抗	抗	kʰã214		kʰ	ã	214							
炕	炕	kʰã214		kʰ	ã	214							
鈧	钪	kʰã214		kʰ	ã	214							
摃	扛	kʰã21		kʰ	ã	21							
晾	晾	lã45	白讀，如：～衣裳	l	ã	45							
婪	婪	lã21		l	ã	21							
藍	蓝	lã21		l	ã	21							
籃	篮	lã21		l	ã	21							
欖	榄	lã42		l	ã	42							
攬	揽	lã42		l	ã	42							
覽	览	lã42		l	ã	42							
纜	缆	lã42		l	ã	42							
濫	滥	lã214		l	ã	214							
囊	囊	nã21		n	ã	21							
曩	曩	nã42		n	ã	42							
狼	狼	lã21		l	ã	21							
廊	廊	lã21		l	ã	21							
郎	郎	lã21		l	ã	21							
螂	螂	lã21		l	ã	21							
朗	朗	lã42		l	ã	42							
浪	浪	lã214		l	ã	214							
蠻	蛮	mã21		m	ã	21							
慢	慢	mã214或45		m	ã	214或45							
瞞	瞒	mã21		m	ã	21							
饅	馒	mã21		m	ã	21							
滿	满	mã42		m	ã	42							
漫	漫	mã214		m	ã	214							
幔	幔	mã214		m	ã	214							
忙	忙	mã21		m	ã	21							
芒	芒	mã21		m	ã	21							
茫	茫	mã21		m	ã	21							
莽	莽	mã42		m	ã	42							
㟐	㟐	mã214		m	ã	214							
盲	盲	mã21		m	ã	21							
南	南	nã21		n	ã	21							
男	男	nã21		n	ã	21							
難	难	nã21		n	ã	21							
難	难	nã214		n	ã	214							
蘭	兰	lã21		l	ã	21							
攔	拦	lã21		l	ã	21							
欄	栏	lã21		l	ã	21							
懶	懒	lã21	口语用，懒得走，懒得搞	l	ã	21							
懶	懒	lã42		l	ã	42							
爛	烂	lã214或45		l	ã	214或45							
庵	庵	ŋã45		ŋ	ã	45							
諳	谙	ŋã45	文讀音	ŋ	ã	45							
諳	谙	ŋã21	白讀，表示推測，估計	ŋ	ã	21							
暗	暗	ŋã214		ŋ	ã	214							
淹	淹	ŋã45		ŋ	ã	45							
岸	岸	ŋã214		ŋ	ã	214							
安	安	ŋã45		ŋ	ã	45							
鞍	鞍	ŋã45		ŋ	ã	45							
按	按	ŋã214		ŋ	ã	214							
案	案	ŋã214		ŋ	ã	214							
雁	雁	ŋã214		ŋ	ã	214							
晏	晏	ŋã214		ŋ	ã	214							
昂	昂	ŋã21		ŋ	ã	21							
骯	肮	ŋã45		ŋ	ã	45							
嚴	严	ŋã21	把门关严	ŋ	ã	21							
扮	扮	pã214		p	ã	214							
瓣	瓣	pã214		p	ã	214							
辦	办	pã214		p	ã	214							
班	班	pã45		p	ã	45							
扳	扳	pã45		p	ã	45							
頒	颁	pã45		p	ã	45							
板	板	pã42		p	ã	42							
版	版	pã42		p	ã	42							
扳	扳	pã45		p	ã	45							
搬	搬	pã45		p	ã	45							
般	般	pã45		p	ã	45							
半	半	pã214		p	ã	214							
絆	绊	pã214		p	ã	214							
伴	伴	pã214		p	ã	214							
拌	拌	pã214		p	ã	214							
