字目	读音	注释
碑	pi1	
闭	pi1	
必	pi1	~须
毕	pi1	~业
逼	pi1	~迫
□	pi1	牛~，niu2~，牛虻
蟋	pi1	~蟀，~sɔ2
箅	pi2	
痹	pi2	
庇	pi2	包~
□	pi2	~pɔ2，蝙蝠
避	pi6	~开
比	pi3	
琵	pi8	~琶
枇	pi8	~杷
篦	pi6	
批	pʰi1	
肺	pʰi2	
费	pʰi2	
鼻	pʰi6	
匪	pʰi3	土~
□	pʰi3	结~，kie1~，结痂
□	pʰi8	ɕyə2~，翅膀
飞	pʰi8	~机
脾	pʰi9	
弥	mi1	阿~陀佛
□	mi1	~sui3，潜水
米	mi8	
篾	mi8	
□	mi8	~tɕʰie2，睡觉
味	mi6	
美	mi3	~国
袐	mi9	
蜜	mi9	
置	ti2	
嫡	ti2	~亲
知	ti2	~道，~ɕi9
蒂	ti2	瓜~
弟	ti6	
地	ti6	
帝	ti3	皇~
迟	ti8	~到，~tɔ6
池	ti9	
痔	ti9	
值	ti9	
殖	ti9	
敌	ti9	
□	tʰi1	筛
啼	tʰi2	
剃	tʰi2	
提	tʰi8	~问
持	tʰi8	支~
□	tʰi6	聚
□	ni2	saŋ1~ka1，老人家
□	ni8	入
日	ni8	
饵	ni6	
二	ni6	~十
呢	ni9	~衣
砾	li1	瓦~□，ua8~lɛ8，瓦砾
厉	li1	~害
梨	li2	
李	li2	~子
鲤	li2	~鱼
历	li2	~史
李	li3	姓
里	li3	量词
理	li3	
□	li3	tɕia1ka1~，裸体
裂	li8	
篱	li8	~笆
璃	li8	玻~
利	li6	
立	li9	
指	tɕi1	~挥
子	tɕi1	~弹
积	tɕi1	~极
餈	tɕi2	
痣	tɕi2	
祭	tɕi2	~祖
旨	tɕi3	
止	tɕi3	
址	tɕi3	
紫	tɕi3	~色
□	tɕi3	~个，~tɕia2，一个
自	tɕi3	~己
姊	tɕi8	
志	tɕi6	
十	tɕi6	
□	tɕi6	痛
己	tɕi6	自~
字	tɕi9	
集	tɕi9	
习	tɕi9	
绩	tɕi9	
质	tɕi9	
痴	tɕʰi1	傻
刺	tɕʰi2	名
试	tɕʰi2	
翅	tɕʰi2	鱼~
耻	tɕʰi3	无~
视	tɕʰi3	近~
示	tɕʰi3	指~
市	tɕʰi6	
豉	tɕʰi6	豆~
司	ɕi1	公~
丝	ɕi1	
诗	ɕi1	
誓	ɕi1	~愿
世	ɕi2	
四	ɕi2	
□	ɕi2	sɔ2~，钥匙
事	ɕi2	故~
鹚	ɕi2	鸬~
势	ɕi2	~力
时	ɕi2	~辰
眵	ɕi3	
屎	ɕi3	
式	ɕi3	
死	ɕi3	
新	ɕi8	~妇
是	ɕi6	
寿	ɕi6	做~，tsa2~
热	ɕi9	
席	ɕi9	酒~
实	ɕi9	
室	ɕi9	
基	ki1	
枝	ki1	
桂	ki1	~枝
纪	ki1	~律
继	ki2	
记	ki2	
季	ki2	
机	ki2	~器
髻	ki2	~niu3，发髻
技	ki2	~术
麂	ki3	
杞	ki3	枸~
几	ki3	茶~
其	ki8	~他
忌	ki6	
奇	ki9	
岐	ki9	
棋	ki9	
欺	kʰi1	
□	kʰi1	侧着
契	kʰi2	
□	kʰi2	蚂蟥
气	kʰi2	
汽	kʰi2	
器	kʰi2	
弃	kʰi2	放~
	kʰi2	青苔
	kʰi2	~sɔi2，蜗牛
启	kʰi3	
柿	kʰi6	~子
骑	kʰi9	~
□	xi1	~tɕy6，磁铁
戏	xi2	
妃	xi2	
稀	xi2	~罕
希	xi2	~望
牺	xi2	~牲
蟢	xi2	
喜	xi3	
蟢	xi3	
系	xi6	关~
□	ŋi8	ɔŋ2~pian1，傍晚
