繁体	简体	声韵	声调	注释		阴平：334	阳平：312
請	请	tɕʰiɪŋ	423				
豈	岂	tɕʰi	423				
起	起	tɕʰi	423				
遣	遣	tɕʰie	423				
醜	丑	tɕʰiɤu	423				
闖	闯	tɕʰyɔ̃	423				
享	享	ɕia	423				
喜	喜	ɕi	423				
守	守	ɕiɤu	423				
寫	写	ɕi	423				
小	小	ɕiao	423				
少	少	ɕiao	423	多～			
徙	徙	ɕi	423				
想	想	ɕia	423				
手	手	ɕiɤu	423				
晌	晌	ɕia	423				
暑	暑	ɕy	423				
曉	晓	ɕiao	423				
朽	朽	ɕiɤu	423				
榫	榫	ɕyøŋ	423				
水	水	ɕy	423				
洗	洗	ɕi	423				
璽	玺	ɕi	423				
癬	癣	ɕie	423				
省	省	ɕiɪŋ	423	反～			
筍	笋	ɕyøŋ	423				
蟢	蟢	ɕi	423				
賞	赏	ɕia	423				
醒	醒	ɕiɪŋ	423				
陝	陕	ɕie	423				
險	险	ɕie	423				
響	响	ɕia	423				
顯	显	ɕie	423				
首	首	ɕiɤu	423				
髓	髓	ɕy	423				
鯗	鲞	ɕia	423				
黍	黍	ɕy	423				
吼	吼	hɤu	423				
哄	哄	hoŋ	423				
喊	喊	ha	423				
夥	伙	ho	423				
好	好	hao	423	～壞			
很	很	hɤŋ	423				
晃	晃	huɔ̃	423				
毀	毁	huɛ	423				
海	海	hɛ	423				
滸	浒	hu	423				
火	火	ho	423				
虎	虎	hu	423				
蟹	蟹	ha	423				
許	许	hy	423				
謊	谎	huɔ̃	423				
賄	贿	huɛ	423				
丙	丙	ʔbiɪŋ	423				
保	保	ʔbao	423				
匾	匾	ʔbie	423				
堡	堡	ʔbao	423				
寶	宝	ʔbao	423				
彼	彼	ʔbi	423				
扁	扁	ʔbie	423				
把	把	ʔbo	423				
擺	摆	ʔba	423				
本	本	ʔbɤŋ	423				
板	板	ʔba	423				
比	比	ʔbi	423				
版	版	ʔba	423				
秉	秉	ʔbiɪŋ	423				
稟	禀	ʔbiɪŋ	423				
簸	簸	ʔbɛ	423	動詞			
表	表	ʔbiao	423				
補	补	ʔbu	423				
褒	褒	ʔbao	423				
譜	谱	ʔbu	423				
貶	贬	ʔbie	423				
跛	跛	ʔba	423	～足			
鄙	鄙	ʔbi	423				
飽	饱	ʔbao	423				
餅	饼	ʔbiɪŋ	423				
倒	倒	ʔdao	423	打～			
典	典	ʔdie	423				
堵	堵	ʔdu	423				
島	岛	ʔdao	423				
底	底	ʔdi	423				
懂	懂	ʔdoŋ	423				
抖	抖	ʔdɤu	423				
抵	抵	ʔdi	423				
撣	掸	ʔda	423				
擋	挡	ʔdɔ̃	423				
朵	朵	ʔdo	423				
短	短	ʔdø	423				
禱	祷	ʔdao	423				
等	等	ʔdiɪŋ	423				
肚	肚	ʔdu	423	豬～			
膽	胆	ʔda	423				
董	董	ʔdoŋ	423				
賭	赌	ʔdu	423				
躲	躲	ʔdo	423				
陡	陡	ʔdɤu	423				
頂	顶	ʔdiɪŋ	423				
鬥	斗	ʔdɤu	423				
鳥	鸟	ʔdiao	423				
點	点	ʔdie	423				
黨	党	ʔdɔ̃	423				
鼎	鼎	ʔdiɪŋ	423				
了	了	ʔliao	423				
儡	儡	ʔlɛ	423				
兩	两	ʔlia	423				
冷	冷	ʔlã	423				
卵	卵	ʔlɤŋ	423				
呂	吕	ʔly	423				
壘	垒	ʔlɛ	423				
壟	垄	ʔloŋ	423				
屢	屡	ʔly	423				
履	履	ʔly	423				
嶺	岭	ʔliɪŋ	423				
弄	弄	ʔloŋ	423	動詞			
懶	懒	ʔla	423				
摞	摞	ʔlo	423				
摟	搂	ʔlɤu	423				
攏	拢	ʔloŋ	423				
攬	揽	ʔla	423				
旅	旅	ʔly	423				
朗	朗	ʔlɔ̃	423				
李	李	ʔli	423				
櫓	橹	ʔlu	423				
欖	榄	ʔla	423				
理	理	ʔli	423				
禮	礼	ʔli	423				
簍	篓	ʔlɤu	423				
累	累	ʔlɛ	423	勞～			
縷	缕	ʔlɤu	423				
老	老	ʔlao	423				
臉	脸	ʔlie	423				
虜	虏	ʔlo	423				
裏	里	ʔli	423				
裸	裸	ʔlo	423				
覽	览	ʔla	423				
隴	陇	ʔloŋ	423				
領	领	ʔliɪŋ	423				
魯	鲁	ʔlu	423				
鯉	鲤	ʔli	423				
鹵	卤	ʔlu	423				
免	免	ʔmie	423				
勉	勉	ʔmie	423				
卯	卯	ʔmao	423				
娩	娩	ʔmie	423				
尾	尾	ʔmi	423				
彌	弥	ʔmi	423				
憫	悯	ʔmiɪŋ	423				
懵	懵	ʔmoŋ	423				
抿	抿	ʔmiɪŋ	423				
拇	拇	ʔmɤu	423				
挽	挽	ʔma	423				
敏	敏	ʔmiɪŋ	423				
晚	晚	ʔma	423	白			
某	某	ʔm	423				
榜	榜	ʔmɔ̃	423				
母	母	ʔmɤu	423	文			
母	母	ʔm	423	白			
每	每	ʔmɛ	423				
渺	渺	ʔmiao	423				
滿	满	ʔmø	423				
澠	渑	ʔmie	423				
牡	牡	ʔmɤu	423				
猛	猛	ʔmã	423				
畝	亩	ʔm	423				
皿	皿	ʔmiɪŋ	423				
碼	码	ʔmo	423				
秒	秒	ʔmiao	423				
米	米	ʔmi	423				
綁	绑	ʔmɔ̃	423				
網	网	ʔmɔ̃	423				
緬	缅	ʔmie	423				
美	美	ʔmi	423				
莽	莽	ʔmɔ̃	423				
藐	藐	ʔmiao	423				
蟒	蟒	ʔmɔ̃	423				
買	买	ʔma	423				
閩	闽	ʔmiɪŋ	423				
靡	靡	ʔmi	423				
馬	马	ʔmo	423				
乃	乃	ʔna	423				
努	努	ʔnu	423				
哪	哪	ʔno	423				
奶	奶	ʔna	423				
惱	恼	ʔnao	423				
打	打	ʔnã	423				
暖	暖	ʔnɤŋ	423	熱			
耐	耐	ʔnɛ	423				
腦	脑	ʔnao	423				
那	那	ʔno	423				
五	五	ʔŋ	423				
偶	偶	ʔŋɤu	423				
午	午	ʔŋ	423				
咬	咬	ʔŋao	423				
我	我	ʔŋo	423				
爾	尔	ʔŋ	423				
瓦	瓦	ʔŋo	423				
眼	眼	ʔŋa	423				
耳	耳	ʔŋ	423	白			
藕	藕	ʔŋɤu	423				
雅	雅	ʔŋo	423				
仰	仰	ʔȵia	423				
儼	俨	ʔȵie	423				
女	女	ʔȵy	423				
扭	扭	ʔȵiɤu	423				
撚	捻	ʔȵie	423				
擬	拟	ʔȵi	423				
攆	撵	ʔȵie	423				
染	染	ʔȵie	423				
碾	碾	ʔȵie	423				
紐	纽	ʔȵiɤu	423				
蕊	蕊	ʔȵy	423				
蟻	蚁	ʔȵi	423				
語	语	ʔȵy	423				
軟	软	ʔȵyø	423				
阮	阮	ʔȵyø	423				
下	下	o	423				
也	也	ia	423				
亥	亥	ɛ	423				
以	以	i	423				
伍	伍	u	423				
倚	倚	i	423				
偉	伟	y	423				
允	允	yøŋ	423				
勇	勇	yoŋ	423				
友	友	iɤu	423				
右	右	iɤu	423				
啞	哑	o	423				
嘔	呕	ɤu	423				
埃	埃	ɛ	423				
塢	坞	u	423				
夏	夏	o	423	姓			
委	委	uɛ	423				
宇	宇	y	423				
宛	宛	yø	423				
尹	尹	yøŋ	423				
已	已	i	423				
幸	幸	ã	423				
廈	厦	o	423				
引	引	iɪŋ	423				
影	影	iɪŋ	423				
往	往	uɔ̃	423				
後	后	ɤu	423				
懊	懊	ao	423	～惱			
戶	户	u	423				
掩	掩	ie	423				
揞	揞	ø	423	手覆，～住			
旱	旱	ø	423				
有	有	iɤu	423				
杏	杏	ã	423				
杳	杳	iao	423				
枉	枉	uɔ̃	423				
椅	椅	y	423				
毆	殴	ɤu	423				
永	永	yøŋ	423				
浩	浩	ao	423				
混	混	uɤŋ	423				
渾	浑	uɤŋ	423				
湧	涌	yoŋ	423				
滬	沪	u	423				
演	演	ie	423				
甬	甬	yoŋ	423				
癢	痒	ia	423				
皖	皖	ua	423				
矣	矣	i	423				
矮	矮	a	423				
碗	碗	ua	423				
禍	祸	o	423				
禹	禹	y	423				
穎	颖	iɪŋ	423				
穩	稳	uɤŋ	423				
緩	缓	ua	423				
羽	羽	y	423				
腕	腕	ua	423				
舀	舀	iao	423				
莠	莠	iɤu	423				
藹	蔼	ɛ	423				
襖	袄	ao	423				
遠	远	yø	423				
邀	邀	iao	423				
酉	酉	iɤu	423				
限	限	a	423				
隱	隐	iɪŋ	423				
雨	雨	y	423				
項	项	ɔ̃	423				
飲	饮	iɪŋ	423				
養	养	ia	423				
餡	馅	a	423				
駭	骇	a	423				
齷	龌	o	423	～齪			
判	判	pʰø	55				
屁	屁	pʰi	55				
怕	怕	pʰo	55				
沛	沛	pʰɛ	55				
泡	泡	pʰao	55	～在水裏			
派	派	pʰa	55				
漂	漂	pʰiao	55	～亮			
炮	炮	pʰao	55				
片	片	pʰie	55				
盼	盼	pʰa	55				
破	破	pʰa	55	白			
破	破	pʰo	55	文			
票	票	pʰiao	55				
聘	聘	pʰiɪŋ	55				
胖	胖	pʰɔ̃	55				
襻	襻	pʰa	55				
譬	譬	pʰi	55				
配	配	pʰɛ	55				
騙	骗	pʰie	55				
兔	兔	tʰu	55				
剃	剃	tʰi	55				
吐	吐	tʰu	55	嘔～			
唾	唾	tʰo	55	文			
唾	唾	tʰu	55	白			
太	太	tʰa	55				
套	套	tʰao	55				
屜	屉	tʰi	55				
態	态	tʰɛ	55				
探	探	tʰø	55				
掭	掭	tʰie	55				
替	替	tʰi	55				
歎	叹	tʰa	55				
泰	泰	tʰa	55				
涕	涕	tʰi	55				
炭	炭	tʰa	55				
燙	烫	tʰɔ̃	55				
疃	疃	tʰɛ	55				
痛	痛	tʰoŋ	55				
糶	粜	tʰiao	55				
褪	褪	tʰɤŋ	55				
跳	跳	tʰiao	55				
退	退	tʰɛ	55				
透	透	tʰɤu	55				
丐	丐	kɛ	55				
個	个	ko	55				
假	假	ko	55	放～			
價	价	ko	55				
冠	冠	kua	55	～軍			
劊	刽	kuɛ	55				
勾	勾	kɤu	55	～當			
卦	卦	kua	55				
卷	卷	kyø	55				
句	句	ky	55				
告	告	kao	55				
固	固	ku	55				
夠	够	kɤu	55				
嫁	嫁	ko	55				
季	季	ky	55				
干	干	kie	55				
怪	怪	kua	55				
慣	惯	kua	55				
掛	挂	ko	55				
據	据	ky	55				
攻	攻	koŋ	55				
故	故	ku	55				
教	教	kao	55				
會	会	kuɛ	55	～計			
杠	杠	kɔ̃	55				
架	架	ko	55				
校	校	kao	55	～對			
桂	桂	ky	55				
棍	棍	kuɤŋ	55				
概	概	kɛ	55				
構	构	kɤu	55				
檜	桧	kuɛ	55				
汞	汞	koŋ	55				
溉	溉	kɛ	55				
灌	灌	kua	55				
眷	眷	kyø	55				
稼	稼	ko	55				
窖	窖	kao	55				
絹	绢	kyø	55				
繪	绘	kuɛ	55				
罐	罐	kua	55				
蓋	盖	kɛ	55				
覺	觉	kao	55	睡～			
觀	观	kua	55	寺～			
貢	贡	koŋ	55				
貫	贯	kua	55				
貴	贵	ky	55				
賈	贾	ko	55				
購	购	kɤu	55				
較	较	kao	55				
過	过	ku	55				
酵	酵	kao	55				
鋸	锯	ky	55	文			
鋸	锯	kɛ	55	白			
錮	锢	ku	55				
降	降	kɔ̃	55	下～			
雇	雇	ku	55				
顧	顾	ku	55				
駕	驾	ko	55				
鱖	鳜	ky	55				
券	券	kʰyø	55				
勘	勘	kʰø	55				
勸	劝	kʰyø	55				
去	去	kʰy	55	文			
去	去	kʰɛ	55	白			
叩	叩	kʰɤu	55				
囥	囥	kʰɔ̃	55	藏			
困	困	kʰuɤŋ	55				
塊	块	kʰuɛ	55				
寇	寇	kʰɤu	55				
庫	库	kʰu	55				
快	快	kʰua	55				
慨	慨	kʰɛ	55				
扣	扣	kʰɤu	55				
抗	抗	kʰɔ̃	55				
揢	揢	kʰo	55	捕，捉，拿住			
曠	旷	kʰɔ̃	55				
炕	炕	kʰã	55				
烤	烤	kʰao	55				
犒	犒	kʰao	55				
看	看	kʰø	55				
礦	矿	kʰɔ̃	55				
筷	筷	kʰua	55				
褲	裤	kʰu	55				
課	课	kʰo	55				
跨	跨	kʰua	55				
靠	靠	kʰao	55				
顆	颗	kʰo	55				
付	付	fu	55				
副	副	fu	55				
吠	吠	fi	55				
奮	奋	fɤŋ	55				
富	富	fu	55				
廢	废	fi	55				
放	放	fɔ̃	55				
泛	泛	fa	55				
痱	痱	fi	55				
糞	粪	fɤŋ	55				
翡	翡	fi	55				
肺	肺	fi	55				
訃	讣	fu	55				
諷	讽	foŋ	55				
販	贩	fa	55				
費	费	fi	55				
賦	赋	fu	55				
赴	赴	fu	55				
佐	佐	tso	55				
做	做	tso	55				
債	债	tsa	55				
再	再	tsɛ	55				
壯	壮	tsɔ̃	55				
奏	奏	tsɤu	55				
志	志	tsɿ	55				
振	振	tsiɪŋ	55				
晉	晋	tsiɪŋ	55				
智	智	tsɿ	55				
最	最	tsɛ	55				
榨	榨	tso	55				
浸	浸	tsiɪŋ	55				
灒	灒	tsa	55	濺			
灶	灶	tsao	55				
炸	炸	tso	55	～彈			
痣	痣	tsɿ	55				
瘴	瘴	tsɔ̃	55				
皺	皱	tsɤu	55				
笊	笊	tsao	55				
粽	粽	tsoŋ	55				
縐	绉	tsɤu	55				
縱	纵	tsoŋ	55				
罩	罩	tsao	55				
置	置	tsɿ	55				
至	至	tsɿ	55				
致	致	tsɿ	55				
葬	葬	tsɔ̃	55				
蔗	蔗	tso	55				
蘸	蘸	tsa	55				
詐	诈	tso	55				
贊	赞	tsa	55				
蹤	踪	tsoŋ	55				
載	载	tsɛ	55				
進	进	tsiɪŋ	55				
醉	醉	tsɛ	55	文			
鎮	镇	tsiɪŋ	55				
鑽	钻	tsø	55				
障	障	tsɔ̃	55				
震	震	tsiɪŋ	55				
串	串	tsʰø	55				
刺	刺	tsʰɿ	55				
寸	寸	tsʰiɪŋ	55				
岔	岔	tsʰo	55				
措	措	tsʰu	55				
次	次	tsʰɿ	55				
湊	凑	tsʰɤu	55				
燦	灿	tsʰa	55				
牚	牚	tsʰã	55	椅子～兒			
竄	窜	tsʰø	55				
篡	篡	tsʰø	55				
糙	糙	tsʰao	55				
翅	翅	tsʰɿ	55				
翠	翠	tsʰɛ	55				
菜	菜	tsʰɛ	55				
蔡	蔡	tsʰa	55				
襯	衬	tsʰiɪŋ	55				
親	亲	tsʰiɪŋ	55	～家			
趁	趁	tsʰiɪŋ	55				
躁	躁	tsʰao	55				
醋	醋	tsʰu	55				
銼	锉	tsʰo	55				
錯	错	tsʰo	55				
信	信	siɪŋ	55				
喪	丧	sɔ̃	55				
嗽	嗽	sɤu	55				
四	四	sɿ	55				
塑	塑	su	55				
宋	宋	soŋ	55				
帥	帅	sɛ	55				
散	散	sa	55	分～			
數	数	su	55	名詞			
曬	晒	so	55				
滲	渗	siɪŋ	55				
漱	漱	sɤu	55				
疝	疝	sa	55				
瘦	瘦	sɤu	55				
碎	碎	sɛ	55				
算	算	sø	55				
素	素	su	55				
絮	絮	sɿ	55	白，被～			
肆	肆	sɿ	55				
舍	舍	so	55				
蒜	蒜	sø	55				
訊	讯	siɪŋ	55				
訴	诉	su	55				
試	试	sɿ	55				
賜	赐	sɿ	55				
賽	赛	sɛ	55				
赦	赦	so	55				
迅	迅	siɪŋ	55				
送	送	soŋ	55				
遜	逊	siɪŋ	55				
介	介	za	55				
尬	尬	za	55				
屆	届	za	55				
戒	戒	za	55				
澗	涧	za	55				
界	界	za	55				
疥	疥	za	55				
芥	芥	za	55				
諫	谏	za	55				
鑒	鉴	za	55				
中	中	tɕyoŋ	55	射～			
俊	俊	tɕyøŋ	55				
借	借	tɕi	55	白			
借	借	tɕya	55	文			
冀	冀	tɕi	55				
制	制	tɕi	55				
劍	剑	tɕie	55				
劑	剂	tɕi	55				
占	占	tɕie	55				
叫	叫	tɕiao	55				
咒	咒	tɕiɤu	55				
寄	寄	tɕi	55				
將	将	tɕia	55				
帳	帐	tɕia	55				
徑	径	tɕiɪŋ	55				
戰	战	tɕie	55				
拄	拄	tɕy	55				
擠	挤	tɕi	55				
政	政	tɕiɪŋ	55				
救	救	tɕiɤu	55				
敬	敬	tɕiɪŋ	55				
既	既	tɕi	55				
晝	昼	tɕiɤu	55				
正	正	tɕiɪŋ	55				
注	注	tɕy	55				
濟	济	tɕi	55				
濺	溅	tɕie	55				
灸	灸	tɕiɤu	55				
照	照	tɕiao	55				
症	症	tɕiɪŋ	55				
祭	祭	tɕi	55				
禁	禁	tɕiɪŋ	55				
種	种	tɕyoŋ	55	～樹			
稽	稽	tɕi	55				
究	究	tɕiɤu	55				
箭	箭	tɕie	55				
系	系	tɕi	55	～鞋帶			
繼	继	tɕi	55				
脹	胀	tɕia	55				
著	着	tɕy	55				
薦	荐	tɕie	55				
蛛	蛛	tɕy	55				
衆	众	tɕyoŋ	55				
見	见	tɕie	55				
計	计	tɕi	55				
記	记	tɕi	55				
詔	诏	tɕiao	55				
證	证	tɕiɪŋ	55				
賬	账	tɕia	55				
贅	赘	tɕy	55				
醉	醉	tɕy	55	白			
醬	酱	tɕia	55				
鏡	镜	tɕiɪŋ	55				
鑄	铸	tɕy	55				
際	际	tɕi	55				
顫	颤	tɕie	55				
駐	驻	tɕy	55				
髻	髻	tɕi	55				
俏	俏	tɕʰiao	55				
倡	倡	tɕʰia	55				
創	创	tɕʰia	55				
唱	唱	tɕʰia	55				
器	器	tɕʰi	55				
契	契	tɕʰi	55				
慶	庆	tɕʰiɪŋ	55				
撳	揿	tɕʰiɪŋ	55				
暢	畅	tɕʰia	55				
棄	弃	tɕʰi	55				
欠	欠	tɕʰie	55				
歉	歉	tɕʰie	55				
氣	气	tɕʰi	55				
汽	汽	tɕʰi	55				
砌	砌	tɕʰi	55				
秤	秤	tɕʰiɪŋ	55				
竅	窍	tɕʰiao	55				
笡	笡	tɕʰya	55	斜			
脆	脆	tɕʰy	55				
臭	臭	tɕʰiɤu	55				
處	处	tɕʰy	55				
趣	趣	tɕʰy	55				
銃	铳	tɕʰyoŋ	55				
頃	顷	tɕʰiɪŋ	55				
世	世	ɕi	55				
勝	胜	ɕiɪŋ	55				
勢	势	ɕi	55				
卸	卸	ɕya	55				
向	向	ɕia	55				
姓	姓	ɕiɪŋ	55				
婿	婿	ɕi	55				
宿	宿	ɕiɤu	55	星～			
少	少	ɕiao	55	～年			
庶	庶	ɕy	55				
性	性	ɕiɪŋ	55				
恕	恕	ɕy	55				
憲	宪	ɕie	55				
戲	戏	ɕi	55				
扇	扇	ɕie	55				
歲	岁	ɕy	55				
殉	殉	ɕyøŋ	55				
況	况	ɕyɔ̃	55				
瀉	泻	ɕya	55				
獸	兽	ɕiɤu	55				
獻	献	ɕie	55				
相	相	ɕia	55				
秀	秀	ɕiɤu	55				
稅	税	ɕy	55				
笑	笑	ɕiao	55				
細	细	ɕi	55				
絮	絮	ɕy	55	文			
線	线	ɕie	55				
繡	绣	ɕiɤu	55				
聖	圣	ɕiɪŋ	55				
興	兴	ɕiɪŋ	55	高～			
舜	舜	ɕyøŋ	55				
輸	输	ɕy	55	運～			
釁	衅	ɕiɪŋ	55				
鋭	鋭	ɕy	55				
鏽	锈	ɕiɤu	55				
鞘	鞘	ɕiao	55				
餉	饷	ɕia	55				
喚	唤	hua	55				
好	好	hao	55	喜～			
孝	孝	hao	55				
悔	悔	huɛ	55				
戽	戽	hu	55				
晦	晦	huɛ	55				
楦	楦	hyø	55				
漢	汉	hø	55				
煥	焕	hua	55				
罕	罕	hø	55				
耗	耗	hao	55				
莧	苋	ha	55				
訓	训	hyøŋ	55				
諱	讳	huɛ	55				
貨	货	ho	55				
轟	轰	huã	55				
鼾	鼾	hø	55				
並	并	ʔbiɪŋ	55	合～			
半	半	ʔbø	55				
報	报	ʔbao	55				
壩	坝	ʔbo	55				
布	布	ʔbu	55				
庇	庇	ʔbi	55				
怖	怖	ʔbu	55				
扮	扮	ʔba	55				
拜	拜	ʔba	55				
柄	柄	ʔbiɪŋ	55				
欛	欛	ʔbo	55				
殯	殡	ʔbiɪŋ	55				
泌	泌	ʔbi	55				
爸	爸	ʔba	55				
痹	痹	ʔbi	55				
秘	秘	ʔbi	55				
簸	簸	ʔbɛ	55	米～			
背	背	ʔbɛ	55				
臂	臂	ʔbi	55				
蔽	蔽	ʔbi	55				
變	变	ʔbie	55				
豹	豹	ʔbao	55				
貝	贝	ʔbɛ	55				
輩	辈	ʔbɛ	55				
迸	迸	ʔboŋ	55				
遍	遍	ʔbie	55				
閉	闭	ʔbi	55				
霸	霸	ʔbo	55				
鬢	鬓	ʔbiɪŋ	55				
倒	倒	ʔdao	55	～水			
凍	冻	ʔdoŋ	55				
凳	凳	ʔdiɪŋ	55				
到	到	ʔdao	55				
剁	剁	ʔdo	55				
吊	吊	ʔdiao	55				
妒	妒	ʔdu	55				
對	对	ʔdɛ	55				
帶	带	ʔda	55				
店	店	ʔdie	55				
戴	戴	ʔda	55	動詞			
戴	戴	ʔdɛ	55	姓			
擔	担	ʔda	55				
斷	断	ʔdø	55	决～			
旦	旦	ʔda	55				
棟	栋	ʔdoŋ	55				
澄	澄	ʔdiɪŋ	55	水渾，～一～			
當	当	ʔdɔ̃	55	～作，典～			
瞪	瞪	ʔdiɪŋ	55				
碓	碓	ʔdɛ	55				
訂	订	ʔdiɪŋ	55				
釘	钉	ʔdiɪŋ	55	動詞			
釣	钓	ʔdiao	55				
鍛	锻	ʔdø	55				
鐙	镫	ʔdiɪŋ	55				
頓	顿	ʔdɤŋ	55				
鬥	斗	ʔdɤu	55				
謗	谤	ʔmɔ̃	55				
亞	亚	o	55				
印	印	iɪŋ	55				
厭	厌	ie	55				
咽	咽	ie	55				
喂	喂	y	55				
堰	堰	ie	55				
奧	奥	ao	55				
孕	孕	iɪŋ	55				
宴	宴	ie	55				
幼	幼	iɤu	55				
幽	幽	iɤu	55				
怨	怨	yø	55				
惡	恶	u	55	可～			
意	意	i	55				
愛	爱	ɛ	55				
慪	怄	ɤu	55				
慰	慰	y	55				
應	应	iɪŋ	55	～對，響～			
懊	懊	ao	55	～悔			
擁	拥	yoŋ	55				
映	映	iɪŋ	55				
晏	晏	a	55	晚			
暗	暗	ø	55				
案	案	ø	55				
燕	燕	ie	55				
甕	瓮	oŋ	55				
畏	畏	uɛ	55				
穢	秽	uɛ	55				
系	系	i	55				
系	系	i	55	連～			
縊	缢	i	55				
要	要	iao	55				
隘	隘	a	55				
僕	仆	boʔ	2				
別	别	biaʔ	2				
勃	勃	boʔ	2				
帛	帛	baʔ	2				
弼	弼	biɪʔ	2				
拔	拔	bɔʔ	2				
泊	泊	bɔʔ	2				
白	白	baʔ	2				
薄	薄	baʔ	2	～荷			
薄	薄	bɔʔ	2				
蚌	蚌	baʔ	2	～殼：河蚌			
鈸	钹	baʔ	2				
雹	雹	bɔʔ	2				
鼻	鼻	biɪʔ	2				
奪	夺	doʔ	2				
敵	敌	diɪʔ	2				
毒	毒	doʔ	2				
牒	牒	diaʔ	2				
牘	牍	doʔ	2				
特	特	diɪʔ	2				
犢	犊	doʔ	2				
狄	狄	diɪʔ	2				
獨	独	doʔ	2				
疊	迭	diaʔ	2				
碟	碟	diaʔ	2				
突	突	doʔ	2				
笛	笛	diɪʔ	2				
糴	籴	diɪʔ	2				
蝶	蝶	diaʔ	2				
諜	谍	diaʔ	2				
讀	读	doʔ	2				
踏	踏	dɔʔ	2				
踱	踱	dɔʔ	2				
達	达	dɔʔ	2				
遝	沓	daʔ	2	一～紙			
鐸	铎	dɔʔ	2				
掘	掘	gyøʔ	2				
乏	乏	vɔʔ	2				
伏	伏	voʔ	2				
伐	伐	vɔʔ	2				
佛	佛	vɤʔ	2				
服	服	voʔ	2				
物	物	vɤʔ	2				
筏	筏	vɔʔ	2				
縛	缚	vɔʔ	2				
罰	罚	vɔʔ	2				
侄	侄	dzɤʔ	2				
宅	宅	dzaʔ	2				
擇	择	dzaʔ	2				
澤	泽	dzaʔ	2				
秩	秩	dzɤʔ	2				
什	什	zɤʔ	2	～錦菜			
入	入	zɤʔ	2				
十	十	zɤʔ	2				
實	实	zɤʔ	2				
拾	拾	zɤʔ	2				
族	族	zoʔ	2				
昨	昨	zɔʔ	2				
炸	炸	zɔʔ	2	用水～			
疾	疾	zɤʔ	2				
習	习	zɤʔ	2				
襲	袭	zɤʔ	2				
賊	贼	zɤʔ	2				
鍘	铡	zɔʔ	2	～刀			
鑿	凿	zɔʔ	2				
閘	闸	zɔʔ	2				
集	集	zɤʔ	2				
雜	杂	zaʔ	2				
值	值	dʑiɪʔ	2				
傑	杰	dʑiaʔ	2				
劇	剧	dʑiɪʔ	2				
及	及	dʑiɪʔ	2				
寂	寂	dʑiɪʔ	2				
局	局	dʑyoʔ	2				
屐	屐	dʑiɪʔ	2	木～			
撤	撤	dʑiaʔ	2				
擲	掷	dʑiɪʔ	2				
朮	朮	dʑyoʔ	2	白～，蒼～			
植	植	dʑiɪʔ	2				
極	极	dʑiɪʔ	2				
殖	殖	dʑiɪʔ	2				
濁	浊	dʑyɔʔ	2				
直	直	dʑiɪʔ	2				
著	着	dʑyɔʔ	2	睡～，附～			
蟄	蛰	dʑiɪʔ	2				
軸	轴	dʑyoʔ	2				
轍	辙	dʑiaʔ	2				
逐	逐	dʑyoʔ	2				
鐲	镯	dʑyɔʔ	2				
俗	俗	ʑyoʔ	2				
勺	勺	ʑyɔʔ	2				
夕	夕	ʑiɪʔ	2				
屬	属	ʑyoʔ	2				
席	席	ʑiɪʔ	2	～子			
席	席	ʑiɪʔ	2				
弱	弱	ʑyɔʔ	2				
截	截	ʑiaʔ	2				
捷	捷	ʑiaʔ	2				
攝	摄	ʑiaʔ	2				
涉	涉	ʑiaʔ	2				
淑	淑	ʑyoʔ	2				
熟	熟	ʑyoʔ	2				
石	石	ʑiɪʔ	2				
籍	籍	ʑiɪʔ	2				
絶	絶	ʑyɔʔ	2				
續	续	ʑyoʔ	2				
舌	舌	ʑiaʔ	2				
芍	芍	ʑyɔʔ	2				
若	若	ʑyɔʔ	2				
藉	藉	ʑiɪʔ	2				
蜀	蜀	ʑyoʔ	2				
蝕	蚀	ʑiɪʔ	2				
術	术	ʑyoʔ	2				
褥	褥	ʑyoʔ	2				
贖	赎	ʑyoʔ	2				
辱	辱	ʑyoʔ	2				
述	述	ʑyoʔ	2				
食	食	ʑiɪʔ	2				
亦	亦	ɦiɪʔ	2				
劃	划	ɦuaʔ	2				
匣	匣	ɦaʔ	2	箱～			
協	协	ɦiaʔ	2				
合	合	ɦaʔ	2				
域	域	ɦyoʔ	2				
學	学	ɦɔʔ	2				
役	役	ɦyoʔ	2				
悅	悦	ɦyɔʔ	2				
惑	惑	ɦuoʔ	2				
或	或	ɦuaʔ	2				
或	或	ɦuoʔ	2				
易	易	ɦiɪʔ	2	交～			
曰	曰	ɦyɔʔ	2				
核	核	ɦaʔ	2	審～			
核	核	ɦuoʔ	2	果～			
欲	欲	ɦyoʔ	2				
活	活	ɦuɔʔ	2				
洽	洽	ɦaʔ	2				
浴	浴	ɦyoʔ	2				
液	液	ɦiɪʔ	2				
狹	狭	ɦɔʔ	2				
獲	获	ɦuaʔ	2				
疫	疫	ɦyoʔ	2				
盒	盒	ɦaʔ	2				
穴	穴	ɦyaʔ	2				
粵	粤	ɦyɔʔ	2				
翼	翼	ɦiɪʔ	2				
腋	腋	ɦiɪʔ	2				
葉	叶	ɦiaʔ	2				
藥	药	ɦyɔʔ	2				
譯	译	ɦiɪʔ	2				
越	越	ɦyɔʔ	2				
躍	跃	ɦyɔʔ	2				
轄	辖	ɦaʔ	2	管～			
逸	逸	ɦiɪʔ	2				
鑊	镬	ɦuɔʔ	2	鍋			
鑰	钥	ɦyɔʔ	2				
閲	阅	ɦyɔʔ	2				
