繁	简	国际音标	吴语拼音	备注	调类	调值
勢	势	sɿ35	sy5		5	35
誓	誓	zɿ13	zy6		6	13
逝	逝	zɿ13	zy6		6	13
藝	艺	ȵi13	gni6		6	13
閉	闭	ɓi35	pi5		5	35
批	批	pʰi53	phi1		1	53
迷	迷	mi22	mi2		2	22
米	米	mi213	mi4		4	213
謎	谜	mi13	mi6		6	13
謎	谜	me13	me6	猜~~子。	6	13
低	低	ɗi53	ti1		1	53
堤	堤	di22	di2		2	22
底	底	ɗi44	ti3		3	44
抵	抵	ɗi44	ti3		3	44
帝	帝	ɗi35	ti5		5	35
梯	梯	tʰi53	thi1		1	53
體	体	tʰi44	thi3		3	44
替	替	tʰi35	thi5		5	35
涕	涕	tʰi35	thi5		5	35
剃	剃	tʰi35	thi5		5	35
題	题	di22	di2		2	22
提	提	di22	di2		2	22
啼	啼	di22	di2		2	22
蹄	蹄	di22	di2		2	22
弟	弟	di213	di4		4	213
第	第	di13	di6		6	13
泥	泥	ȵi22	gni2		2	22
犁	犁	li22	li2		2	22
黎	黎	li22	li2		2	22
禮	礼	li213	li4		4	213
麗	丽	li13	li6		6	13
麗	丽	li22	li2	~水（浙江地名）。	2	22
隸	隶	di13	di6		6	13
擠	挤	tsi44	tsi3		3	44
濟	济	tsi35	tsi5		5	35
妻	妻	tsʰi53	tshi1		1	53
齊	齐	zi22	zi2		2	22
臍	脐	zi22	zi2		2	22
西	西	si53	si1		1	53
栖	栖	si53	si1	塘~（浙江杭州地名）。	1	53
洗	洗	si44	si3		3	44
細	细	si35	si5		5	35
婿	婿	si35	si5		5	35
胥	胥	si53	si1	伍子~；~门（苏州城门）。	1	53
胥	胥	sy53	siu1	~口（江苏苏州地名）。	1	53
稽	稽	tɕi53	ci1		1	53
雞	鸡	tɕi53	ci1		1	53
計	计	tɕi35	ci5		5	35
繼	继	tɕi35	ci5		5	35
溪	溪	tɕʰi53	chi1		1	53
啟	启	tɕʰi44	chi3		3	44
契	契	tɕʰi35	chi5		5	35
系	系	ɦi13	yi6		6	13
杯	杯	ɓe53	pe1		1	53
輩	辈	ɓe35	pe5		5	35
背	背	ɓe35	pe5	~心。	5	35
背	背	be13	be6	~书。	6	13
揹	背	ɓe53	pe1	~包。	1	53
配	配	pʰe35	phe5		5	35
培	培	be22	be2		2	22
陪	陪	be22	be2		2	22
賠	赔	be22	be2		2	22
倍	倍	be213	be4		4	213
佩	佩	be13	be6		6	13
梅	梅	me22	me2		2	22
枚	枚	me22	me2		2	22
媒	媒	me22	me2		2	22
煤	煤	me22	me2		2	22
每	每	me53	me1	【文读】	1	53
妹	妹	me13	me6		6	13
堆	堆	ɗe53	te1		1	53
對	对	ɗe35	te5		5	35
推	推	tʰe53	the1		1	53
腿	腿	tʰe44	the3		3	44
退	退	tʰe35	the5		5	35
隊	队	de13	de6		6	13
內	内	ne13	ne6		6	13
雷	雷	le22	le2		2	22
累	累	le213	le4	【文读】积~。	4	213
累	累	le13	le6	【文读】连~；劳~。	6	13
累	累	li13	li6	【白读】受~（受苦）。	6	13
催	催	tsʰø53	tshoe1		1	53
崔	崔	tsʰø53	tshoe1		1	53
罪	罪	zø213	zoe4	【文读】犯~。	4	213
罪	罪	ze213	ze4	【白读】~过（可怜）。	4	213
碎	碎	se35	se5		5	35
啐	啐	tsʰe35	tshe5	~人（骂人）。	5	35
恢	恢	kʰue53	khue1		1	53
桅	桅	ŋue22	ngue2		2	22
灰	灰	ɸe53	fe1		1	53
悔	悔	ɸe44	fe3		3	44
悔	悔	ɸe35	fe5		5	35
賄	贿	ɸe35	fe5		5	35
回	回	βe22	ve2		2	22
茴	茴	βe22	ve2		2	22
彙	汇	βe13	ve6	词~；~编。	6	13
潰	溃	gue13	gue6		6	13
蛻	蜕	tʰø35	thoe5		5	35
最	最	tsø35	tsoe5		5	35
會	会	kue35	kue5	~计；~稽（浙江绍兴地名）。	5	35
會	会	βe13	ve6	开~。	6	13
外	外	ŋɑ13	nga6		6	13
繪	绘	βe13	ve6		6	13
乖	乖	kuɑ53	kua1		1	53
怪	怪	kuɑ35	kua5		5	35
塊	块	kʰue35	khue5		5	35
懷	怀	βɑ22	va2	【白读】~孕；姓。	2	22
懷	怀	βe22	ve2	【文读】胸~；~抱；~念。	2	22
槐	槐	βɑ22	va2		2	22
淮	淮	βɑ22	va2		2	22
壞	坏	βɑ13	va6		6	13
拐	拐	guɑ213	gua4	走路不平衡。	4	213
拐	拐	kuɑ44	kua3	手杖。	3	44
掛	挂	ku35	ku5		5	35
卦	卦	ku35	ku5		5	35
歪	歪	ɸɑ53	fa1		1	53
畫	画	βo13	vo6		6	13
快	快	kʰuɑ35	khua5		5	35
快	快	kʰɑ35	kha5	~活。	5	35
筷	筷	kʰuɛ35	khuae5		5	35
話	话	βo13	vo6		6	13
脆	脆	tsʰø35	tshoe5		5	35
歲	岁	sø35	soe5		5	35
稅	税	sø35	soe5	【文读】	5	35
稅	税	sɿ35	sy5	【白读】~宝汇（上海金山地名）。	5	35
衛	卫	βe13	ve6		6	13
銳	锐	sø35	soe5		5	35
廢	废	ɸi35	fi5		5	35
肺	肺	ɸi35	fi5		5	35
桂	桂	kue35	kue5	【文读】~花；~林（广西地名）。	5	35
桂	桂	tɕy35	ciu5	【白读】~皮；姓：~家桥，~家宅，~家木行，~巷（上海宝山地名）。	5	35
惠	惠	βe13	ve6		6	13
彗	彗	βe13	ve6		6	13
慧	慧	βe13	ve6		6	13
碑	碑	ɓe53	pe1		1	53
卑	卑	ɓe53	pe1		1	53
臂	臂	ɓi35	pi5		5	35
披	披	pʰi53	phi1		1	53
皮	皮	bi22	bi2		2	22
疲	疲	bi22	bi2		2	22
脾	脾	bi22	bi2		2	22
被	被	bi213	bi4	~头；~单。	4	213
被	被	be13	be6	~动；~告。	6	13
避	避	bi13	bi6		6	13
離	离	li22	li2		2	22
籬	篱	li22	li2		2	22
璃	璃	li22	li2		2	22
離	离	li22	li2		2	22
紫	紫	tsɿ44	tsy3		3	44
雌	雌	tsʰɿ53	tshy1		1	53
此	此	tsʰɿ53	tshy1		1	53
刺	刺	tsʰɿ35	tshy5		5	35
斯	斯	sɿ53	sy1		1	53
撕	撕	sɿ53	sy1		1	53
撕	撕	si53	si1		1	53
廝	廝	sɿ53	sy1		1	53
知	知	tsɿ53	tsy1		1	53
蜘	蜘	tsɿ53	tsy1		1	53
智	智	tsɿ35	tsy5		5	35
池	池	zɿ22	zy2		2	22
馳	驰	zɿ22	zy2		2	22
支	支	tsɿ53	tsy1		1	53
枝	枝	tsɿ53	tsy1		1	53
肢	肢	tsɿ53	tsy1		1	53
梔	栀	tsɿ53	tsy1		1	53
只	只	tsɿ44	tsy3		3	44
