繁	简	国际音标	吴语拼音	备注	调类	调值
句	句	kɤ53	keu1	“勾”本字：越王~践。高~丽。	1	53
區	区	tɕʰy53	chiu1		1	53
區	区	ɤ53	eu1	姓；具~（太湖的别称）。	1	53
驅	驱	tɕʰy53	chiu1		1	53
瞿	瞿	dʑy22	jiu2		2	22
具	具	dʑy13	jiu6		6	13
愚	愚	ȵy22	gniu2		2	22
虞	虞	ȵy22	gniu2		2	22
娛	娱	ȵy22	gniu2		2	22
遇	遇	ȵy13	gniu6		6	13
寓	寓	ȵy13	gniu6		6	13
於	于	ɦy22	yiu2		2	22
盂	盂	ɦy22	yiu2		2	22
雨	雨	ɦy213	yiu4		4	213
羽	羽	ɦy213	yiu4		4	213
宇	宇	ɦy213	yiu4		4	213
禹	禹	ɦy213	yiu4		4	213
芋	芋	ɦy213	yiu4		4	213
俞	俞	ɦy22	yiu2		2	22
揄	揄	ɦy22	yiu2		2	22
榆	榆	ɦy22	yiu2		2	22
愉	愉	ɦy22	yiu2		2	22
愈	愈	ɦy213	yiu4		4	213
裕	裕	ɦy13	yiu6		6	13
喻	喻	ɦy13	yiu6		6	13
戴	戴	ɗe35	te5	姓。	5	35
戴	戴	ɗɑ35	ta5	动词。本字为“带”。	5	35
埭	埭	de13	de6	堤坝：黄~（江苏苏州地名）。	6	13
埭	埭	dɑ13	da6	条状地形、条状物、量词：一~（一排）。	6	13
埭	埭	dɒ̃13	daon6	表示方位、处所的词，意思是“此处”，多见于地名。	6	13
胎	胎	tʰe53	the1		1	53
態	态	tʰe35	the5		5	35
台	台	tʰe53	the1	星宿名，古代用三台来比喻三公：~州，天~（浙江地名）。	1	53
臺	台	de22	de2	戏~；电视~；~湾。	2	22
檯	台	de22	de2	~子；写字~；讲~。	2	22
颱	台	de22	de2	~风。	2	22
苔	苔	tʰe53	the1	青~；~藓；舌~。	1	53
苔	苔	de22	de2	芸~；韭~。	2	22
抬	抬	de22	de2		2	22
待	待	de213	de4		4	213
怠	怠	de213	de4		4	213
代	代	de13	de6		6	13
袋	袋	de13	de6		6	13
乃	乃	ne53	ne1	【文读】~是。	1	53
乃	乃	ne213	ne4	【白读】杨~武。	4	213
耐	耐	ne13	ne6		6	13
來	来	le22	le2		2	22
災	灾	tse53	tse1		1	53
栽	栽	tse53	tse1		1	53
宰	宰	tse44	tse3		3	44
載	载	tse35	tse5	~重。	5	35
再	再	tse35	tse5		5	35
猜	猜	tsʰø53	tshoe1		1	53
彩	彩	tsʰe44	tshe3	~色；~票。	3	44
綵	彩	tsʰe44	tshe3	张灯结~；剪~。	3	44
採	采	tsʰø44	tshoe3		3	44
