#ɿ	
tʰ	[24]拖[21]舵驼驮坨紽[31]椭
n	[21]揉挪捼{双手揉搓}[51]糯蹂诺
l	[24]□{拖}啰[21]罗萝箩锣逻螺脶{成圈的指纹}裸
ts	[21]左佐[51]做
tsʰ	[24]坐座[51]错措□{分配时依自己意愿占有一份}
s	[24]蓑梭唆嗦□{吃}嗖[21]□{傻，呆}□{仰头}[31]锁所索{粗绳}
k	[24]歌哥瘑{器物用久磨损，钝}□{程度副词，很，县城用}[31]果裹馃{米~}[51]过
kʰ	[24]科棵颗蝌窠苛改{用锄头挖}[31]可[51]课
ŋ	[21]鹅娥俄蛾讹□{发~子：小舌肿大}[51]饿
h	[24]□{顺着哄小孩}[21]河和荷何[31]火伙[51]货藿霍
Ø	[24]屙[31]讹
#io	
m	[24]亩谋[31]某[51]茂缪
f	[21]浮凫□{消~}[31]否
t	[24]兜蔸□{踢}篼[31]斗{一斗；大}抖陡[51]斗{把东西接起来；斗争；凑}
tʰ	[24]偷[21]头投[31]敨{休息}□{用水调}[51]透豆逗
n	[24]揉{使皱}[21]□{稠}[31]纽[51]□{惹小孩玩}
l	[21]楼瘘[31]篓□{用针刺}[51]漏陋□{唤鸡鸭猪等}
tɕ	[24]邹[31]走[51]皱绉
tɕʰ	[24]□{提起鞋跟}[21]茄瘸{单脚跳}糗{哭}[31]搝{按住}[51]凑
ɕ	[24]馊搜[51]瘦嗽
k	[24]勾沟钩阄[31]狗苟[51]够购
kʰ	[24]抠眍[21]□{指人佝偻}[31]口{~才}[51]扣
ŋ	[24]欧[31]偶藕
h	[24]厚[21]猴喉餱{想别人的吃的}[31]口{~水}[51]后候
Ø	[24]瓯殴[31]呕[51]沤怄
#ɔ	
p	[24]包胞苞[31]饱宝保堡煲[51]报爆{裂开；冒出}豹㩧{用拳头打}
pʰ	[24]抛{车颠簸}泡跑[21]刨袍[51]炮暴菢{孵蛋，抱窝}龅
m	[24]毛髦[21]矛茅冇锚[31]卯铆[51]冒貌贸帽
t	[24]刀叨[31]倒岛导祷[51]到倒
tʰ	[24]滔涛[21]桃逃陶萄淘{~饭：汤拌饭}绹{绑}[31]讨[51]道稻盗
n	[21]挠{挠痒}铙绕{缠人}[31]脑恼[51]闹
l	[24]□{把贝壳串成一圈用以跳房子的玩具}捞{讨好别人}摎{混合}[21]捞牢劳唠䀴扰[31]老[51]□{用棍状物打}□{稀疏}
ts	[24]招昭遭糟沼朝㷮{干燥}[31]早枣澡爪皂蚤[51]灶躁罩照笊召燥
tsʰ	[24]抄操钞超[21]潮朝曹槽□{植物因晒或风吹而变干，但还没干透}[31]草炒吵[51]赵造糙□{打搅，指小孩爱犯事}兆潲{淋雨；猪食}□{份量}
s	[24]烧稍捎骚嫂□{鼓动，贬义}[21]韶[31]少[51]扫邵绍少□{~辣：做事利索}臊{馅}睄{~节}
k	[24]高交郊教胶篙糕糟糕羔膏[31]搞稿搅稾{稻茬儿}[51]告较{以物换物；比较}窖教校觉{歇~}□{双手交叉抱胸或翘起二郎腿；缠在一起}骹{牙~}
kʰ	[24]敲[31]考烤[31]靠铐□{两两相交,~驳：正好触着}
ŋ	[24]咬[21]熬聱{歪}鳌[31]□{腌}孬{唔好的合音}[51]傲
h	[21]豪毫嚎[31]好[51]好耗孝号效浩皓
Ø	[31]拗袄[51]坳澳奥
#iɔ	
p	[24]标彪镖猋{跳}[31]表婊裱[51]俵{分发}
pʰ	[24]飘[21]薸{~子：浮萍}嫖瓢[51]票漂瘭
m	[21]苗瞄描[31]秒渺[51]庙妙猫
t	[24]刁□{聪明}鸟雕貂叼碉□{抬脚}[31]鸟{交合}[51]吊钓调
tʰ	[24]挑□{刻图章}[21]条调{调整}□{~起：起床，龙华}[31]调{换}[51]跳掉{头或尾摇摆}□{用锤子等砸}
n	[21]饶绕[51]尿嫑{唔要的合音}
l	[24]□{用脚轻踢}□{量词，细长物的单位。一~子：一点点}□{伸出舌头舔}[21]聊辽燎撩寮疗[31]了[51]料廖嫽{玩}
tɕ	[24]蕉浇椒骄焦娇[31]铰饺绞搅缴狡侥[51]譥{哭}
tɕʰ	[24]锹缲藠{~子：像葱头一样的菜}[21]桥荞侨瞧□{挑剔}[31]撬巧[51]噍{嚼}轿俏跷窍翘
ɕ	[24]消霄宵硝销嚣萧箫肖逍[31]小晓[51]笑效
Ø	[24]妖腰邀吆夭{稀烂泥状物}[21]摇窑谣姚[31]舀[51]要
#æ	
p	[24]□{女阴}[31]摆[51]拜
pʰ	[21]排牌[51]败派
m	[24]买[31]埋[51]卖
v	[24]歪□{凶恶}[21]怀{~崽}[31]崴[51]外{~国}
t	[24]呆[51]带代{~替}戴
tʰ	[21]台{~湾}汰拖{~藤}[51]大太泰态
n	[24]奶{祖母}[31]奶哪[51]奈耐
l	[24]□{拉}[21]勑{累}诔{忘带东西}□{小憩}□{~屎尿：大小便失禁}[51]赖俫{男孩}癞㸊{烫}
ts	[24]斋灾[31]载宰[51]债再
tsʰ	[24]猜搓差[21]柴才材豺[31]踩采彩睬[51]蔡寨
s	[24]筛腮[21]豺{没油水而饿}[31]□{后缀，逍~，恶~}[51]赛晒
k	[24]街阶皆[21]该{这}[31]改解[51]该{那}戒界届钙介芥个械尬解{锯}
kʰ	[24]开{公~}荷{挑}揩{擦干净}[31]概蟹楷凯[51]溉
ŋ	[24]□{不愿意，唔挨的合音}[21]我崖{~鹰：老鹰}呆{~板}癌捱[51]艾爱
