	注释：白读-，文读=
s	[1]狮{豨~：公猪}[2]狸{猫～：狐狸}[3]使-[5]李-[7]虱瑟色啬锡[8]笠-塞□{刺}
k	[5]□{我～：我的}[7]格英隔[8]竭{短缺}
kʰ	[6]刻克咳□{翅}
ŋ	[8]额
x	[7]黑赫[8]核={～算}
∅	[7]厄扼轭
#ie	
p	[6]避[7]鳖屄□{挽袖子}[8]憋
pʰ	[5]劈[7]撇
β	[3]□{裂开}[8]别
m	[8]灭篾
t	[5]弟-[7]哲跌
h	[2]啼[5]剃[6]□{破～：破布}[7]帖铁
n	[8]捏
l	[9]离[5]例[7]捷摺[8]蝶谍列裂烈
ts	[1]支枝肢脂芝[2]匙[3]仔者[7]接浙折节=
tsʰ	[7]妾辄湿切=[8]蠘楔{木桩}
s	[1]撕些[5]世[7]薛泄亵设拭洩泄[8]涉舌=
k	[2]瘸[7]劫给揭结洁
kʰ	[5]契
ŋ	[7]聂银孽摄[8]业
x	[7]歇血=[8]协扶穴侠
∅	[3]椅[5]翳[7]□{掰}
ɦ	[3]热[8]食{吃}叶杰竭
#ue	
β	[9]我
t	[5]戴带㿃[6]大
tʰ	[3]睬{理睬}[5]蔡[7]擦察
h	[1]拖[3]痴[5]太泰[7]脱
l	[2]裁豺才[6]赖[8]达辣夺
ts	[1]灾[5]再[7]紥{缠脚}
s	[1]沙[2]箩-[7]杀煞
k	[1]该乖[3]拐[5]盖芥怪[6]过{菜老}[7]葛括刮
kʰ	[1]□{麻风}[5]快=[7]渴阔
x	[2]怀槐淮[3]海[5]亥[6]害坏[7]发=血-[8]活伐罚
∅	[1]哀[3]倚[5]爱
#ye	
t	[7]缀
l	[3]劣[8]舌-绝-
ts	[3]纸[7]拙[8]绝=
tsʰ	[1]吹炊[5]脆[7]啜
s	[3]髓[5]税[7]雪说
k	[5]徛{站}怪-岐{地名}[7]厥决诀
kʰ	[5]快-[7]缺阙
ŋ	[5]蚁-[6]魏外艾-[8]月
x	[5]岁-[8]□{搅拌}
∅	[1]歪[2]蛇-[7]谒遏
ɦ	[9]飞-[3]蕨曰[5]秽{田间杂草}[8]悦阅越
#ai	
p	[3]摆[5]拜湃[7]八[8]拔跋
pʰ	[5]派[6]稗
β	[9]排牌[5]败
m	[2]埋[3]买[5][6]卖迈
t	[1]獃[2]蹄[9]□{遮}[3]底-[5]戴=
tʰ	[1]猜钗差{出～}[3]彩採睬踩[7]□{勤奋}
h	[1]胎苔[5]态[6]替
n	[2]泥[3]奶乃[6]奈耐
l	[2]台来=裁={～判}[9]齐-豺-[3]□{抓}[5]待怠在[6]代袋=寨贷荔[8]□{滤}
ts	[1]斋[3]宰载{年～}[5]载{～重}债[7]节{过～}[8]裁
s	[1]筛西[3]洒洗[5]赛晒细[7]萨
k	[1]街皆阶鸡-[9]繫[3]改[5]丐界疥届戒介[6]械
kʰ	[1]开=溪[3]凯恺楷[5]概溉慨
ŋ	[2]呆倪冤[9]挨{～打}[6]碾
x	[2]孩谐偕[3]□{事情}[6]骇蟹懈[7]瞎
∅	[1]埃挨[3]蔼{和～}矮霭隘[5]解{会}
ɦ	[9]鞋
#ɔi	
p	[1]碑卑稗飞非妃[9]琵[3]彼譬比匪庇菲[5]箅废肺痹袐泌费[6]吠[7]必笔毕逼碧璧缽拨
pʰ	[1]批[3]疕鄙[5]破杮[6]鼻[7]泼匹辟僻癖霹
β	[2]微薇[9]脾[6]被{～动}备味未斃幣敝弊[8]弼
m	[2]磨迷糜谜[6]媚饵[7]抹[8]袜蜜密末
t	[1]知[3]低[5]帝智置致[6]事-{话～}[7]滴
tʰ	[1]妻凄栖悽[5]砌[7]缉辑七戚
h	[1]梯[5]悌涕[7]剔
n	[2]尼呢[9]宜-你[5]滞[6]滞二[8]日入
l	[2]堤提犁黎齐=篱璃持丽池驰梨迟厘[9]题[3]履李-里裏理鲤[5]第治弟=[6]丽隶地利痢吏寺厉励痔字-[7]粒𦲷[8]立笠=集疾直值植寂力=籍稚狄涤濯
ts	[1]脐[2]餈[3]姐姊[5]祭际济漈[6]自-[7]即鲫稷积迹{遗～}脊绩[8]疾{疼痛}
s	[1]丝犀[3]死玺[5]四肆[7]膝悉息媳熄昔析[8]席袭
#ui	
p	[1]杯悲[2]赔[5]贝背辈[6]焙[7]卜
pʰ	[1]胚坯[5]沛佩
β	[2]陪培[9]裴丕[5]倍[8]物勿
m	[2]梅霉[3]每尾[6]妹昧[8]没
t	[1]堆[3]短-[5]对碓
tʰ	[1]推催崔[5]碎粹瘁[7]□{切}
h	[2]皮疲[3]腿[5]退被-{～子}[7]脱
n	[9]□{男阴}[3]馁[6]内
l	[2]雷=螺=[3]儡累{～积}蕊垒[5]罪[6]袋-队兑锐堕[8]捋突
ts	[1]朘{男阴}[5]晬最[7]卒
tsʰ	[7]粹
s	[1]衰[2]娜{田-脶[5]帅[7]屑刷率
k	[1]□{楼梯}[3]馃傀[5]会{～计}刽绘髻[7]骨国[8]滑猾
kʰ	[1]魁奎溃[3]火-[5]愧愧[7]窟堀
ŋ	[2]巍
x	[1]盔诙灰徽[2]回□{陶瓷}[3]裹-晦毁[5]悔[6]汇会{开～}[7]忽惚弗佛[8]核或佛榾
∅	[1]煨狠[2]禾[3]委伟纬苇
#au	
p	[1]褒包[3]宝饱[5]报豹鲍[6]铇
pʰ	[1]抛[3]跑[5]炮抱泡
β	[2]袍[3]保[6]暴爆
m	[2]毛茅猫[3]卯铆[6]帽冒貌
t	[1]刀叨[3]倒祷[5]到倒{～水}
tʰ	[1]操臊钞抄[2]柴[3]炒吵草[5]糙燥
h	[2]桃[3]讨[5]套[6]□{彩色丝线}
n	[3]脑恼[6]闹
l	[2]逃萄陶涛牢劳唠流-涝[9]捞[3]老=早-稻[5]道造[6]盗导蹈
ts	[1]遭糟[2]巢曹[9]糟[3]枣[5]躁罩皂
s	[1]稍搜筲{蒸饭包}骚[3]嫂[5]扫=[6]潲
k	[1]高糕膏羔胶交郊[9]膏{～油：猪油}[3]稿绞搅搞[5]告诰咬教较校{～对}[6]挢
kʰ	[1]敲骹[3]烤考蚵[5]俈
ŋ	[2]熬邀[3]绞[6]傲
x	[1]教-[2]豪檺壕蚝[3]好{～坏}[5]好{喜～}孝酵[6]号效校{学-浩皓
∅	[1]拗{诬赖}[3]袄懊拗[5]奥懊{～悔}拗{相逆}
ɦ	[9]高
#əu	
p	[2]浮=
pʰ	[3]否剖
m	[3]某亩[6]茂贸
t	[1]兜[3]斗抖陡[5]鬥[6]豆荳逗
tʰ	[9]巢-[5]凑{～数}臭-
h	[1]偷[2]头[3]狗-[5]透[6]毒{～杀人}
l	[2]楼搂篓[9]愁投[5]漏陋[6]骤
ts	[1]糟-{酒～}邹[3]蚤-走[5]灶奏皱
s	[2]刘-留-[3]叟[5]扫-嗽老-瘦
k	[1]沟钩溝阄[9]猴-[3]垢苟狗=[5]够构购媾厚
kʰ	[1]䉐[3]口[5]叩蔻扣
ŋ	[3]藕偶
x	[2]侯猴=[3]吼=[5]後后[6]候
∅	[1]瓯欧讴呕[3]吼-{叫人}
#iu	
t	[1]丢[2]绸稠[2]拄{顶}[5]昼=[6]住
h	[1]抽馊{臭～}[2]筹[3]丑[5]柱-纣宙
n	[2]牛[3]纽扭妞
l	[1]溜[2]流=留=榴硫琉刘=[9]泅=囚[3]柳
ts	[1]周州舟洲[3]酒肘帚[5]咒[6]就鹫
tsʰ	[1]鳅秋醜[5]臭=[6]树-
s	[1]修羞收[2]仇酬售[3]手首守[5]受宿{星~}锈秀绣兽授嗅[6]袖寿
k	[1]鸠纠[2]求[9]球虬[3]九久[5]舅咎救=究柩炙[6]旧
kʰ	[1]丘蚯邱[5]臼桕
x	[1]休[3]韭朽
